InitialReturnMax,EpLenMean,TimeElapsed,ReturnMeanIW,J_sample_variance,InitialReturnStd,EpThisIter,EpisodesSoFar,EmpiricalD2,InitialReturnMin,InitialBound,Weights,EpRewMean,TimestepsSoFar,Bound,InitialReturnMean,Iteration
6.440422,40.99,154.077378988266,0.06416968,4.303764,1.9048303,100,3600,1.0003304,-2.5325623,-311.79553,[ 0.589 -0.547  0.229  0.398 -0.003],-136.85419209117663,155163,-311.75723,-3.4332274e-06,36
5.1401596,40.12,158.6641891002655,0.14738025,3.9854758,1.797157,100,3700,1.000659,-2.163681,-303.38266,[ 0.592 -0.548  0.23   0.398 -0.002],-136.3987298205007,159175,-303.2991,4.653931e-06,37
4.5107956,45.24,163.762188911438,0.03688429,2.8649018,1.6619712,100,3800,1.0003418,-2.1360397,-325.76996,[ 0.595 -0.549  0.229  0.397 -0.003],-141.3768967378873,163699,-325.7479,-4.043579e-06,38
5.6224976,38.43,167.64811277389526,0.051102776,2.614234,1.5485886,100,3900,1.0002475,-1.8189926,-313.3624,[ 0.594 -0.55   0.229  0.397 -0.003],-134.96121972006532,167542,-313.33368,5.569458e-06,39
5.413803,47.24,171.50671553611755,0.3332648,6.421285,2.001537,100,4000,1.0038179,-2.2065887,-329.23965,[ 0.594 -0.55   0.229  0.397 -0.002],-143.18014290163453,172266,-329.0561,-1.4495849e-06,40
6.9067,39.64,176.49894762039185,0.031173553,3.67187,1.8202872,100,4100,1.0002015,-2.0646515,-302.783,[ 0.597 -0.548  0.23   0.396 -0.002],-135.87681991352213,176230,-302.76758,1.0986329e-05,41
5.9205627,39.2,179.8404655456543,0.055410612,3.1267493,1.7328328,100,4200,1.0004141,-1.9507217,-310.0872,[ 0.598 -0.547  0.23   0.396 -0.001],-135.4092529318567,180150,-310.05603,-5.4931643e-06,42
6.2212296,46.52,184.16391944885254,0.05173725,2.8358064,1.6317196,100,4300,1.0002247,-1.696907,-320.40674,[ 5.984e-01 -5.463e-01  2.299e-01  3.952e-01 -2.035e-04],-143.03607153419955,184802,-320.37833,-1.1825561e-05,43
6.520172,44.36,188.38777327537537,0.09574507,3.448454,1.6973993,100,4400,1.0003085,-1.7847214,-322.795,[ 6.000e-01 -5.464e-01  2.299e-01  3.959e-01 -4.921e-04],-140.74266834404386,189238,-322.74225,-8.7738035e-06,44
6.0309677,42.23,192.29744172096252,0.012051868,4.004157,1.9903886,100,4500,1.0000616,-2.2369003,-315.47394,[ 0.599 -0.547  0.23   0.396 -0.002],-138.20395024126412,193461,-315.46683,-2.0599366e-06,45
