EpLenMean,EpRewMean,InitialReturnMin,TimestepsSoFar,Bound,InitialBound,InitialReturnStd,J_sample_variance,InitialReturnMax,Iteration,EpThisIter,EpisodesSoFar,TimeElapsed,InitialReturnMean,Weights,EmpiricalD2,ReturnMeanIW
41.34,-137.14741793132896,-99.53801,216050,-416.36078,-417.14252,1.8514142,64.95687,-92.34288,50,100,5000,239.0740568637848,-97.195755,[ 0.592 -0.513  0.225  0.382  0.013],1.0090898,-95.86545
44.55,-140.85069430718116,-99.65033,220505,-415.81876,-416.0926,1.6959743,23.889791,-92.82197,51,100,5100,243.78889560699463,-97.64822,[ 0.585 -0.515  0.224  0.382  0.009],1.0042592,-97.123344
43.97,-140.18075256263407,-99.64912,224902,-412.91568,-413.3733,1.7186748,29.818148,-91.75227,52,100,5200,248.25371527671814,-97.573105,[ 0.583 -0.519  0.224  0.381  0.008],1.0034043,-96.70041
39.9,-136.18072066725725,-99.60523,228892,-425.4969,-425.7619,1.6583697,14.548602,-91.67826,53,100,5300,252.32194256782532,-97.59555,[ 0.581 -0.521  0.225  0.384  0.003],1.0019308,-97.08266
42.11,-138.21502546751543,-99.71068,233103,-421.29752,-421.7919,1.8796625,58.978157,-91.891205,54,100,5400,257.1944408416748,-97.41773,[ 5.775e-01 -5.205e-01  2.244e-01  3.848e-01 -4.118e-05],1.0100774,-96.40741
39.85,-136.18642364653024,-99.57277,237088,-410.09528,-412.7634,1.7252449,203.04749,-92.11471,55,100,5500,262.1110610961914,-97.622894,[ 0.582 -0.516  0.225  0.388 -0.001],1.0351712,-92.91892
37.93,-134.3628144672342,-99.57631,240881,-401.84628,-402.25897,1.4176366,25.048063,-92.93812,56,100,5600,266.9235849380493,-97.715866,[ 0.592 -0.514  0.23   0.395  0.002],1.0034385,-96.92965
41.14,-137.48677949353302,-99.47627,244995,-401.0567,-402.21088,1.5515108,46.647575,-92.96301,57,100,5700,271.57022619247437,-97.66775,[ 0.592 -0.518  0.231  0.392  0.006],1.0078565,-95.81566
41.2,-137.31494020402627,-99.62706,249115,-406.162,-406.6343,1.7165227,27.336529,-90.427185,58,100,5800,276.6130130290985,-97.45843,[ 0.604 -0.523  0.234  0.397  0.011],1.0043399,-96.574196
43.11,-139.10731454457274,-99.55832,253426,-426.48166,-426.70343,1.7665614,25.459263,-91.40212,59,100,5900,281.86820435523987,-97.38404,[ 0.599 -0.523  0.233  0.392  0.012],1.0037396,-96.95108
43.24,-139.18348334580563,-99.69534,257750,-417.53705,-418.17682,1.6943911,26.303598,-91.62805,60,100,6000,286.96103143692017,-97.329124,[ 0.6   -0.521  0.234  0.394  0.012],1.0036495,-96.083405
39.31,-135.51307896399973,-99.62406,261681,-420.82132,-421.30817,1.7125053,37.961933,-92.31759,61,100,6100,291.4424273967743,-97.52641,[ 0.609 -0.53   0.238  0.39   0.01 ],1.0074955,-96.56031
42.51,-138.88902230511889,-99.53857,265932,-406.18604,-406.40793,1.5870775,13.259088,-92.57248,62,100,6200,296.3494155406952,-97.70285,[ 0.62  -0.533  0.241  0.39   0.012],1.0020895,-97.27113
40.93,-137.01308996963843,-99.610596,270025,-416.31668,-416.63812,1.7436216,17.695368,-91.746284,63,100,6300,301.2362024784088,-97.41873,[ 0.623 -0.539  0.242  0.389  0.015],1.0028396,-96.84128
42.61,-138.64846857283862,-99.62421,274286,-413.7737,-414.43744,1.5504632,20.133379,-92.46239,64,100,6400,306.3537497520447,-97.39944,[ 0.632 -0.543  0.243  0.39   0.018],1.0033727,-96.52007
43.11,-138.83572182061323,-99.77173,278597,-415.09296,-415.59073,2.1679153,25.403172,-88.656,65,100,6500,311.35656905174255,-97.14633,[ 0.641 -0.548  0.246  0.392  0.018],1.0035355,-96.1753
49.08,-144.8467994538131,-99.76966,283505,-425.36588,-426.47818,1.7731812,79.562225,-91.93813,66,100,6600,315.95984172821045,-97.238594,[ 0.642 -0.549  0.244  0.387  0.021],1.0140129,-95.18399
41.39,-137.23085730648316,-99.509926,287644,-413.6889,-414.23447,1.9494424,55.136074,-89.8958,67,100,6700,320.3296778202057,-97.196434,[ 0.636 -0.555  0.245  0.388  0.024],1.0084863,-96.241646
41.58,-137.61958126686977,-99.58289,291802,-423.26834,-423.69974,1.8948768,16.369093,-91.15021,68,100,6800,325.38173484802246,-97.393555,[ 0.644 -0.555  0.247  0.389  0.022],1.0023533,-96.57026
40.99,-137.0757210674936,-99.66156,295901,-419.23727,-419.87817,1.6755271,56.907562,-92.98297,69,100,6900,330.10900831222534,-97.4407,[ 0.645 -0.557  0.246  0.391  0.018],1.0096612,-96.25718
40.35,-136.71055519344227,-99.663635,299936,-409.5508,-410.2631,1.5498718,57.145794,-90.80013,70,100,7000,334.70147252082825,-97.667305,[ 0.638 -0.556  0.243  0.39   0.018],1.0081229,-96.22366
39.96,-136.03997387999615,-99.54976,303932,-418.47467,-419.10693,1.7092243,54.403164,-92.03584,71,100,7100,339.49015522003174,-97.431,[ 0.633 -0.554  0.238  0.387  0.018],1.0077658,-96.218765
