Iteration,MinIW,ReturnStepMax,MaxIW,MeanIW,EpLenMean,OptimizationReturnMin,Bound,OptimizationReturnMean,InitialReturnMax,InitialReturnMean,VarianceInit,ReturnStepMaxmin,InitialReturnMin,Weights,EpRewMean,StdIWNorm,EpThisIter,MinIWNorm,MeanEntropy,StdIW,ESSRenyi,EpisodesSoFar,OptimizationReturnMax,ReturnMeanIW,MeanIWNorm,InitialReturnStd,TimeElapsed,MaxIWNorm,InitialBound,J_sample_variance,EmpiricalD2,TimestepsSoFar,ESSClassic,LearnableVariance
11,0.6023453,9.359967,1.790085,1.0329318,18.42,,70.95039,87.52911,333.8435,168.97661,-1.0,9.359967,81.44749,[ 0.014  0.017  0.024 -0.022 -0.02  -0.013  0.025  0.004  0.     0.  0.   ],168.97659825976888,0.0020257493,100,0.0060234526,0.4189424,0.20257492,96.895035,1100,252.39603,172.69547,0.010329318,44.640003,25.623822450637817,0.017900849,68.82353,9282.609,1.0320446,20592,96.29626,
12,0.13328476,9.359431,1.8745828,1.0780807,19.18,,91.56146,94.45297,313.76453,176.15274,-1.0,9.359431,81.69975,[ 0.013  0.023  0.023 -0.03  -0.027 -0.012  0.027  0.006  0.     0.  0.   ],176.15272607857915,0.002783355,100,0.0013328476,0.4189424,0.2783355,91.708954,1200,232.06477,189.8537,0.010780807,49.943756,27.96570062637329,0.018745827,82.02336,11702.483,1.0904061,22510,93.750984,
13,0.37904587,9.359848,1.5056996,1.026712,19.82,,75.09118,73.20027,378.98706,182.1164,-1.0,9.359848,108.91612,[ 0.016  0.029  0.029 -0.026 -0.022 -0.02   0.043  0.023  0.     0.  0.   ],182.11638968398668,0.002392931,100,0.0037904587,0.4189424,0.2392931,94.16557,1300,270.07092,192.25662,0.01026712,59.858463,30.234869718551636,0.015056996,68.42028,18218.783,1.0619593,24492,94.847824,
14,0.40503556,9.359623,2.2043068,1.0580305,19.87,,50.787094,91.617004,472.60257,182.50183,-1.0,9.359623,90.88484,[ 0.02   0.022  0.035 -0.025 -0.02  -0.034  0.042  0.017  0.     0.  0.   ],182.50184505398067,0.0037363102,100,0.0040503554,0.4189424,0.373631,87.5452,1400,381.7177,202.318,0.010580305,56.87984,32.519997358322144,0.022043068,40.721085,19007.082,1.1422671,26479,88.91207,
15,0.5442673,9.359857,1.6618319,1.0610042,19.88,,47.168137,91.59939,491.10315,182.62444,-1.0,9.359857,91.025055,[ 0.021  0.027  0.036 -0.029 -0.022 -0.03   0.048  0.011  0.     0.  0.   ],182.62444269084452,0.0018847297,100,0.005442673,0.4189424,0.18847299,94.75935,1500,400.0781,198.51831,0.010610043,59.31985,35.25155305862427,0.016618319,35.293503,15613.076,1.0553048,28467,96.94105,
16,0.43592235,9.359957,1.9434148,1.0322022,19.96,,86.347496,92.32245,341.7822,183.30434,-1.0,9.359957,90.981895,[ 0.015  0.029  0.038 -0.025 -0.016 -0.044  0.06   0.019  0.     0.  0.   ],183.30434354216985,0.0024468037,100,0.0043592234,0.4189424,0.24468036,93.053116,1600,250.8003,192.64062,0.010322023,46.61661,38.54121661186218,0.019434148,80.7697,12400.823,1.074655,30463,94.67982,
17,0.32692128,9.359911,2.1758611,1.0625881,20.2,,91.26262,104.14401,352.74487,185.48857,-1.0,9.359911,81.34457,[ 0.015  0.032  0.038 -0.023 -0.014 -0.044  0.066  0.017  0.     0.  0.   ],185.48858968863632,0.0039252997,100,0.0032692128,0.4189424,0.39252996,85.38905,1700,271.4003,205.7825,0.010625881,51.93294,40.58855390548706,0.02175861,79.665115,14751.564,1.1711103,32483,87.992294,
18,0.3346891,9.359789,6.757399,1.032763,21.49,,64.86502,88.55015,471.968,197.55482,-1.0,9.359789,109.004684,[ 0.016  0.028  0.038 -0.017 -0.009 -0.051  0.071  0.011  0.     0.  0.   ],197.5548268046349,0.007780433,100,0.0033468911,0.4189424,0.7780433,78.50529,1800,362.96332,224.6678,0.01032763,53.686913,43.81140685081482,0.06757399,55.96443,75753.29,1.2737995,34632,63.7937,
19,0.33618015,9.359924,1.4425894,1.0377258,21.35,,88.68551,105.66719,380.24677,196.1606,-1.0,9.359924,90.49342,[ 0.024  0.031  0.053 -0.016  0.001 -0.022  0.088  0.005  0.     0.  0.   ],196.16061477618317,0.0019714315,100,0.0033618014,0.4189424,0.19714318,95.04607,1900,289.75336,205.69463,0.010377258,49.76088,47.38879466056824,0.014425893,82.08658,12533.327,1.0521214,36767,96.51663,
20,0.6574265,9.359793,1.5627885,1.0132751,22.41,,94.82828,106.351875,380.2812,206.01213,-1.0,9.359793,99.66025,[ 0.021  0.03   0.053 -0.011  0.009 -0.035  0.097  0.009  0.     0.  0.   ],206.01212878486982,0.0015810208,100,0.0065742647,0.4189424,0.15810208,97.190506,2000,280.62094,210.5498,0.010132751,50.77448,50.89018774032593,0.015627885,91.927765,13935.668,1.0289071,39008,97.62328,
21,0.5087282,9.359765,6.1581855,1.0799956,22.89,,107.53064,101.70498,380.50034,210.59659,-1.0,9.359765,108.89162,[ 0.015  0.037  0.054 -0.007  0.006 -0.051  0.104  0.013  0.     0.  0.   ],210.59660145838788,0.0065607075,100,0.005087282,0.4189424,0.6560707,86.520546,2100,271.6087,230.251,0.010799957,53.269768,53.593998670578,0.061581854,96.44651,34145.21,1.1557949,41297,73.044624,
22,0.35573423,9.359781,1.6506666,1.0501889,23.56,,84.99155,107.98674,473.56427,216.75165,-1.0,9.359781,108.76491,[ 0.02   0.039  0.056  0.006  0.022 -0.037  0.102  0.012  0.     0.  0.   ],216.7516483888746,0.0024584457,100,0.003557342,0.4189424,0.24584459,92.94473,2200,364.79938,232.35431,0.01050189,61.05906,57.30838203430176,0.016506666,74.68237,20326.58,1.0759082,43653,94.80463,
23,0.18178436,9.358945,45.23064,1.8724511,22.89,,166.08882,92.588875,379.5047,210.4613,-1.0,9.358945,117.87245,[ 0.017  0.045  0.061  0.001  0.017 -0.043  0.12   0.017  0.     0.  0.   ],210.46133349265628,0.06150585,100,0.0018178435,0.4189424,6.150585,29.065107,2300,261.63226,377.26865,0.01872451,48.870914,60.458603382110596,0.4523064,96.60992,410744.25,3.4405515,45942,8.481932,
24,0.21715644,9.359539,2.5121608,1.0706041,21.28,,113.36389,95.76645,305.47855,195.54361,-1.0,9.359539,99.77716,[0.024 0.055 0.062 0.028 0.038 0.003 0.097 0.018 0.    0.    0.   ],195.54361290131678,0.004407705,100,0.0021715644,0.4189424,0.4407705,84.86087,2400,205.70139,212.84674,0.010706042,48.269623,63.6427698135376,0.025121607,103.900055,17202.553,1.1783994,48070,85.50671,
25,0.32506055,9.359794,2.0020072,1.0348102,21.21,,94.07084,76.82212,361.79535,194.85844,-1.0,9.359794,118.03633,[0.026 0.06  0.064 0.012 0.02  0.006 0.102 0.02  0.    0.    0.   ],194.85845005890909,0.003016806,100,0.0032506054,0.4189424,0.3016806,89.455696,2500,243.75902,208.82811,0.010348102,50.473476,67.05628752708435,0.020020071,86.31986,20956.697,1.1178718,50191,92.16665,
26,0.55796766,9.359974,2.6944718,1.0904987,22.63,,102.354,90.13371,380.95746,208.24066,-1.0,9.359974,118.10695,[ 0.024  0.059  0.065  0.005  0.012 -0.003  0.111  0.019  0.     0.  0.   ],208.240664906824,0.004105547,100,0.0055796765,0.4189424,0.41055468,89.98161,2600,262.85052,222.83563,0.010904988,54.57668,70.60952520370483,0.026944717,93.95343,20688.865,1.1113381,52454,87.585625,
27,0.3318655,9.359987,1.3377031,1.0367713,21.24,,103.65079,77.08111,323.64062,195.12451,-1.0,9.359987,118.043396,[0.017 0.075 0.061 0.018 0.023 0.005 0.115 0.025 0.    0.    0.   ],195.12450182376637,0.0022278717,100,0.0033186548,0.4189424,0.22278717,94.46329,2700,205.59723,203.54785,0.010367713,48.39729,73.4918885231018,0.01337703,98.0323,18399.166,1.0586123,54578,95.58623,
28,0.0406742,9.359992,162.20903,2.7018175,22.24,,255.05435,86.063416,408.65723,204.46678,-1.0,9.359992,118.40335,[ 0.022  0.067  0.066  0.027  0.034 -0.004  0.121  0.023  0.     0.  0.   ],204.46676894396683,0.16100791,100,0.00040674198,0.4189424,16.100792,15.339473,2800,290.25388,568.0766,0.027018175,50.104374,76.34486293792725,1.6220902,81.869606,2299987.8,6.519129,56802,2.7387812,
29,0.6428681,9.359951,1.2692871,1.0016767,23.07,,59.42003,85.005066,517.44305,212.08041,-1.0,9.359951,127.075356,[ 0.026  0.076  0.061  0.009  0.015  0.039  0.104 -0.009  0.     0.  0.   ],212.0804213125322,0.0013452126,100,0.006428681,0.4189424,0.13452126,98.096245,2900,390.3677,216.15201,0.010016765,57.07598,79.64460563659668,0.012692871,56.847504,21028.227,1.019407,59109,98.228424,
30,0.44477758,9.35961,1.7100661,1.0343511,23.01,,73.74545,94.16594,474.53906,211.64125,-1.0,9.35961,117.47532,[ 0.03   0.078  0.063  0.01   0.012  0.041  0.114 -0.008  0.     0.  0.   ],211.64125163680038,0.0022288791,100,0.004447776,0.4189424,0.22288792,95.20638,3000,357.06375,219.6471,0.010343511,59.526196,82.93045592308044,0.01710066,69.27956,19571.555,1.0503497,61410,95.562645,
31,0.531727,9.359874,1.6028203,1.046873,24.51,,112.203735,153.55688,408.71448,225.62299,-1.0,9.359874,72.0661,[ 0.028  0.075  0.063  0.015  0.013  0.027  0.119 -0.004  0.     0.  0.   ],225.62298282747676,0.0021102317,100,0.00531727,0.4189424,0.21102317,93.14687,3100,336.64838,239.2486,0.010468729,62.96672,87.35147976875305,0.016028203,103.00864,12238.53,1.0735734,63861,96.09542,
32,0.42272294,9.359752,1.4463751,1.0146499,24.75,,80.42998,109.926926,504.2235,227.9422,-1.0,9.359752,118.015274,[0.028 0.077 0.068 0.011 0.006 0.018 0.133 0.002 0.    0.    0.   ],227.94219581004626,0.0018569098,100,0.0042272294,0.4189424,0.18569097,97.17208,3200,386.20825,233.88234,0.010146498,59.488144,91.12485527992249,0.014463751,76.675156,18657.512,1.0291022,66336,96.759285,
33,0.20363672,9.359905,2.4177873,1.0725418,24.93,,127.45598,120.49101,388.39227,229.56207,-1.0,9.359905,109.07103,[0.027 0.079 0.069 0.013 0.011 0.009 0.14  0.004 0.    0.    0.   ],229.5620491863371,0.003972545,100,0.002036367,0.4189424,0.39725453,85.67551,3300,279.32123,253.33794,0.010725418,57.17044,95.30844235420227,0.024177874,113.044365,23636.455,1.1671947,68829,87.936356,
34,0.58232176,9.359986,2.1324477,1.050888,26.22,,86.2128,95.23288,556.4634,241.64926,-1.0,9.359986,146.41638,[ 0.028  0.08   0.075  0.014  0.009 -0.007  0.164  0.007  0.     0.  0.   ],241.649264276221,0.002455902,100,0.0058232173,0.4189424,0.24559021,95.74417,3400,410.047,256.8217,0.010508879,70.55805,100.72682547569275,0.021324476,74.710236,33909.73,1.04445,71451,94.82136,
35,0.12881735,9.359824,2.1110106,1.0716153,25.8,,121.96953,110.21519,436.41483,237.63379,-1.0,9.359824,127.41861,[0.028 0.092 0.077 0.013 0.004 0.012 0.171 0.011 0.    0.    0.   ],237.63379440005082,0.0034056746,100,0.0012881735,0.4189424,0.34056747,88.387024,3500,308.99622,261.22955,0.010716152,60.556316,105.07765126228333,0.021110104,106.70935,28686.898,1.1313878,74031,90.82638,
36,0.27107865,9.359989,2.8670473,1.1269711,25.03,,113.141495,84.78763,446.13412,230.50488,-1.0,9.359989,145.71729,[ 0.023  0.087  0.076  0.022  0.015 -0.014  0.171  0.007  0.     0.  0.   ],230.50490978467428,0.0057168775,100,0.0027107864,0.4189424,0.5716878,79.44005,3600,300.41684,263.30588,0.01126971,55.44517,109.29796838760376,0.028670473,96.66467,34615.805,1.2588109,76534,79.533554,
37,0.40289772,9.359956,8.377552,1.1094307,26.27,,124.09836,96.07139,427.08032,242.15753,-1.0,9.359956,146.08612,[ 0.024  0.089  0.078  0.027  0.017 -0.01   0.176 -0.005  0.     0.  0.   ],242.15751747143983,0.009220552,100,0.004028977,0.4189424,0.9220551,79.57242,3700,280.9942,267.7298,0.011094307,61.637108,114.04335808753967,0.08377552,114.03342,41500.37,1.2567168,79161,59.145756,
38,0.7601172,9.359626,1.6507891,1.0090257,26.3,,91.53873,114.868225,510.6985,242.24904,-1.0,9.359626,127.38084,[ 0.028  0.102  0.076  0.014  0.009  0.02   0.165 -0.006  0.     0.  0.   ],242.24905881216523,0.0014829001,100,0.0076011717,0.4189424,0.14829001,98.12533,3800,383.31766,246.20486,0.010090256,67.8494,118.87142014503479,0.016507892,89.03952,22783.553,1.0191048,81791,97.885826,
39,0.46936575,9.359871,1.6268747,1.0251164,25.94,,116.356964,103.12026,426.68338,239.06306,-1.0,9.359871,135.94281,[ 0.031  0.108  0.076  0.012  0.007  0.028  0.164 -0.005  0.     0.  0.   ],239.06308167777956,0.00228387,100,0.004693657,0.4189424,0.228387,94.81632,3900,290.74057,247.81448,0.010251165,52.45515,123.7770984172821,0.016268747,111.058075,24149.652,1.0546707,84385,95.27112,
40,0.5914405,9.359738,1.4428842,1.022118,26.95,,92.16196,112.4023,538.91077,248.42168,-1.0,9.359738,136.0194,[ 0.029  0.109  0.077  0.01   0.006  0.013  0.173 -0.004  0.     0.  0.   ],248.42168373225252,0.0017133863,100,0.005914405,0.4189424,0.17133865,96.73226,4000,402.89136,256.54327,0.01022118,68.44188,128.87429070472717,0.014428842,86.748474,25234.969,1.0337813,87080,97.266785,
41,0.2884844,9.359961,1.7208712,1.0293913,26.28,,110.38663,106.24214,463.70264,242.2728,-1.0,9.359961,136.03064,[ 0.018  0.11   0.075  0.013  0.007 -0.001  0.172 -0.008  0.     0.  0.   ],242.27278612332896,0.0026808975,100,0.0028848439,0.4189424,0.26808977,92.5991,4100,327.672,254.94972,0.010293912,55.81169,134.01978373527527,0.017208712,103.162,26270.82,1.0799241,89708,93.64818,
42,0.46637732,9.359956,2.066267,1.0287601,26.81,,118.07268,101.019035,445.7142,246.96742,-1.0,9.359956,145.9484,[ 0.017  0.119  0.076  0.01   0.001 -0.009  0.191 -0.004  0.     0.  0.   ],246.96743521311254,0.0026329006,100,0.004663773,0.4189424,0.26329005,94.39724,4200,299.7658,255.6979,0.0102876,57.32441,140.03721451759338,0.02066267,113.253174,27205.895,1.059353,92389,93.85265,
43,0.6040966,9.359712,1.8797674,1.030299,27.84,,123.39685,139.11913,454.9724,256.82623,-1.0,9.359712,117.7071,[ 0.021  0.119  0.08   0.002 -0.008 -0.004  0.2   -0.003  0.     0.  0.   ],256.8262279069744,0.0018099394,100,0.0060409657,0.4189424,0.18099394,97.793076,4300,337.26532,261.4201,0.010302988,64.676796,146.4320046901703,0.018797673,120.33449,19008.68,1.0225673,95173,97.00635,
44,0.20173422,9.359829,6.1404467,1.1359293,28.38,,139.35983,98.016945,482.45624,261.92657,-1.0,9.359829,163.9096,[ 0.023  0.128  0.082  0.003 -0.005  0.009  0.204  0.001  0.     0.  0.   ],261.9265632811555,0.007138875,100,0.002017342,0.4189424,0.7138876,78.15794,4400,318.54663,303.0764,0.011359292,66.76505,152.05614018440247,0.061404467,117.18968,52748.02,1.2794604,98011,71.68647,
45,0.060572036,9.359771,2.8123286,1.1047714,28.19,,120.09262,114.93465,511.64563,260.04733,-1.0,9.359771,145.1127,[ 0.033  0.137  0.079  0.008 -0.002  0.026  0.211 -0.005  0.     0.  0.   ],260.04735078682245,0.004708874,100,0.0006057203,0.4189424,0.47088742,82.563156,4500,366.53293,289.01895,0.011047713,68.14914,156.7412281036377,0.028123286,106.55365,35980.453,1.211194,100830,84.62582,
46,0.30699468,9.359839,1.8259538,1.042776,28.6,,119.29378,100.23399,521.02075,263.978,-1.0,9.359839,163.744,[ 0.034  0.135  0.083  0.006 -0.001  0.007  0.231  0.     0.     0.  0.   ],263.97800116892233,0.0030025535,100,0.0030699468,0.4189424,0.30025536,91.0083,4600,357.27673,283.13974,0.010427759,61.23223,161.39911317825317,0.018259538,107.67178,36292.793,1.0988009,103690,92.34391,
47,0.66565037,9.359977,1.3676162,1.0346311,29.62,,124.79256,118.89784,521.3239,273.44034,-1.0,9.359977,154.54251,[ 0.029  0.145  0.081  0.006  0.001  0.001  0.239 -0.006  0.     0.  0.   ],273.44034768151664,0.0016037809,100,0.0066565033,0.4189424,0.1603781,96.61677,4700,366.7814,283.90445,0.01034631,72.75955,165.35676550865173,0.013676162,117.0432,31934.14,1.035017,106652,97.65359,
48,0.19866942,9.359942,2.3558712,1.1276963,29.02,,157.91536,84.7317,446.04504,268.00095,-1.0,9.359942,183.26923,[ 0.025  0.153  0.08   0.01   0.005  0.002  0.252 -0.005  0.     0.  0.   ],268.00092574907006,0.0045541087,100,0.001986694,0.4189424,0.45541087,80.74175,4800,262.77582,306.83463,0.011276963,47.965122,171.34931898117065,0.023558712,134.18741,49863.31,1.2385166,109554,85.978004,
49,0.6425582,9.3599205,1.596734,1.0134567,30.39,,53.270264,106.579216,777.9527,280.49112,-1.0,9.3599205,173.9119,[ 0.031  0.157  0.086  0.001 -0.004  0.003  0.275 -0.009  0.     0.  0.   ],280.4911113842496,0.001383354,100,0.006425582,0.4189424,0.1383354,98.24139,4900,604.0408,288.73572,0.010134566,77.93037,177.21710014343262,0.01596734,47.10533,42974.59,1.017901,112593,98.17091,
50,0.7165508,9.359772,1.289999,1.0044286,30.4,,95.83917,116.2832,623.3032,280.64212,-1.0,9.359772,164.35893,[ 0.035  0.161  0.09  -0.001 -0.003  0.01   0.29  -0.005  0.     0.  0.   ],280.6421348504089,0.0011749918,100,0.007165508,0.4189424,0.11749918,98.81921,5000,458.94427,283.944,0.010044285,80.83047,183.75512742996216,0.01289999,93.6512,35122.875,1.0119491,115633,98.65003,
51,0.17716789,9.359926,16.198542,1.173612,30.12,,179.2621,95.244385,490.6769,278.10745,-1.0,9.359926,182.86307,[ 0.036  0.166  0.091  0.003 -0.003  0.01   0.3   -0.003  0.     0.  0.   ],278.107463959138,0.01689122,100,0.0017716789,0.4189424,1.6891222,64.61653,5100,307.81384,362.38602,0.011736119,59.706947,188.2468376159668,0.16198541,130.90436,296869.4,1.5475916,118645,32.557987,
52,0.49660507,9.3597555,1.6829827,1.0292948,30.21,,130.12238,105.08083,511.51886,278.88626,-1.0,9.3597555,173.80539,[ 0.038  0.179  0.087  0.004 -0.009  0.046  0.297 -0.001  0.     0.  0.   ],278.8862255915529,0.0025292055,100,0.0049660504,0.4189424,0.25292057,94.420715,5200,337.71347,288.04678,0.010292948,66.95677,193.24194312095642,0.016829826,125.43056,38496.477,1.0590897,121666,94.305855,
53,0.3080646,9.359833,7.5569444,1.1570247,29.42,,146.90135,90.089264,474.7264,271.72006,-1.0,9.359833,181.6308,[ 0.04   0.182  0.087  0.007 -0.005  0.039  0.309  0.003  0.     0.  0.   ],271.7200597077193,0.010135135,100,0.003080646,0.4189424,1.0135133,74.171745,5300,293.0956,312.26703,0.011570246,62.927765,199.14695191383362,0.07556944,129.30215,67332.805,1.3482223,124608,56.583015,
54,0.5634106,9.3598795,2.0946186,1.0584612,29.16,,114.52109,114.65833,548.2577,269.06192,-1.0,9.3598795,154.40363,[ 0.04   0.182  0.087 -0.007 -0.021  0.041  0.278  0.001  0.     0.  0.   ],269.06194900820964,0.0029198385,100,0.0056341058,0.4189424,0.29198384,92.036674,5400,393.85406,285.96637,0.010584613,69.99552,205.0405514240265,0.020946186,104.584656,33984.97,1.0865234,127524,92.92842,
55,0.63217354,9.359916,1.5362186,1.040654,29.79,,123.55771,91.79486,537.30237,274.91864,-1.0,9.359916,183.12375,[ 0.04   0.183  0.089 -0.008 -0.02   0.03   0.292  0.004  0.     0.  0.   ],274.9186110484005,0.0019728458,100,0.006321735,0.4189424,0.19728458,94.709564,5500,354.17862,289.18927,0.010406538,67.541214,210.78301405906677,0.015362186,113.727905,42778.117,1.0558596,130503,96.53074,
56,0.5090386,9.359943,1.5217943,1.0328448,29.99,,149.4129,93.42505,465.0581,276.92648,-1.0,9.359943,183.50143,[ 0.042  0.19   0.091 -0.012 -0.018  0.031  0.318  0.01   0.     0.  0.   ],276.926485499609,0.0022150313,100,0.005090386,0.4189424,0.22150311,94.42881,5600,281.55667,292.98703,0.0103284465,65.36066,215.46111011505127,0.015217943,137.40903,43327.723,1.0589988,133502,95.60296,
57,0.22116536,9.359907,4.786403,1.125904,31.63,,119.498505,109.69947,667.3853,292.2094,-1.0,9.359907,182.50995,[ 0.043  0.197  0.095 -0.012 -0.021  0.042  0.341  0.012  0.     0.  0.   ],292.20942374397475,0.00696127,100,0.0022116536,0.4189424,0.696127,73.44224,5700,484.87537,353.12653,0.011259038,81.06502,220.66899800300598,0.04786403,91.993835,110230.555,1.3616143,136665,72.34459,
58,0.0013264325,9.359443,698.97296,7.7948256,30.86,,1483.5671,102.63913,590.329,285.0296,-1.0,9.359443,182.39047,[ 0.054  0.201  0.1   -0.015 -0.02   0.036  0.372  0.004  0.     0.  0.   ],285.0296007720914,0.69475806,100,1.32643245e-05,0.4189424,69.475815,1.3517655,5800,407.9385,3006.7942,0.07794826,63.2773,226.58895683288574,6.9897294,107.93092,227509730.0,73.977325,139751,1.2431196,
59,0.30066007,9.359524,2.6937768,1.0926716,30.05,,116.447296,103.27462,623.7002,277.52222,-1.0,9.359524,174.24759,[ 0.026  0.21   0.113 -0.005 -0.024  0.013  0.383  0.047  0.     0.  0.   ],277.5222140590893,0.0039135017,100,0.0030066008,0.4189424,0.39135018,87.40464,5900,449.4526,316.58545,0.010926718,66.648445,233.44074654579163,0.026937768,90.41214,56458.953,1.144104,142756,88.63064,
60,0.10166839,9.359868,5.8772507,1.2357293,31.69,,187.87581,109.67429,482.34857,292.73718,-1.0,9.359868,183.06287,[ 0.028  0.214  0.118 -0.001 -0.025  0.005  0.41   0.047  0.     0.  0.   ],292.73715809053186,0.009732694,100,0.0010166839,0.4189424,0.97326946,59.02836,6000,299.2857,376.21985,0.012357295,66.11794,239.79742693901062,0.058772504,148.0326,88629.09,1.694101,145925,61.715996,
61,0.0026400853,9.359924,798.0619,8.868316,32.17,,4265.9453,104.69595,761.1731,297.2708,-1.0,9.359924,192.57484,[ 0.027  0.213  0.121  0.006 -0.015 -0.009  0.42   0.03   0.     0.  0.   ],297.27080306951467,0.79332757,100,2.6400852e-05,0.4189424,79.332756,1.2331519,6100,568.59827,6322.2925,0.088683166,77.341446,245.68576979637146,7.980619,68.9189,2061414400.0,81.09301,149142,1.2341954,
62,0.45437783,9.359945,4.1792803,1.0405886,28.64,,125.28049,90.94122,492.27026,264.28625,-1.0,9.359945,173.34503,[ 7.097e-02  1.927e-01  1.190e-01 -4.210e-02 -6.459e-02 -3.564e-04  4.065e-01  1.296e-02  0.000e+00  0.000e+00  0.000e+00],264.28625779318253,0.0047800913,100,0.004543778,0.4189424,0.47800913,88.81486,6200,318.92523,281.9852,0.010405886,57.141235,251.79679822921753,0.041792803,116.60518,47249.523,1.1259377,152006,82.575325,
