TimestepsSoFar,EmpiricalD2,Weights,EpLenMean,ReturnStepMax,LearnableVariance,InitialReturnMean,J_sample_variance,Iteration,ESSRenyi,EpRewMean,MaxIWNorm,StdIW,ReturnStepMaxmin,ReturnMeanIW,MinIWNorm,MeanEntropy,MinIW,EpisodesSoFar,MeanIWNorm,OptimizationReturnMin,InitialReturnMin,VarianceInit,ESSClassic,InitialBound,InitialReturnStd,TimeElapsed,EpThisIter,InitialReturnMax,Bound,MaxIW,OptimizationReturnMax,StdIWNorm,OptimizationReturnMean,MeanIW
80557,1.3117495,[ 0.037  0.069  0.068  0.059  0.046 -0.083  0.176  0.007  0.     0.  0.   ],23.95,9.359935,,220.39293,39766.258,36,76.23407,220.39292859388553,0.050211422,0.7773092,9.359935,261.19873,0.0037332796,0.4189424,0.37332797,3600,0.011314295,,127.2215,-1.0,67.93525,92.835335,50.79072,337.30184626579285,100,425.19202,115.10492,5.0211425,297.97052,0.0077730916,93.171425,1.1314296
83003,1.1671598,[ 0.036  0.066  0.066  0.036  0.026 -0.086  0.162  0.003  0.     0.  0.   ],24.46,9.3599825,,225.0116,32719.166,37,85.67807,225.01158006933318,0.02770899,0.48957002,9.3599825,245.28996,0.0043776464,0.4189424,0.43776464,3700,0.010832905,,154.86798,-1.0,83.03998,105.786514,52.266422,349.1994092464447,100,397.41687,116.48497,2.770899,242.54889,0.0048957006,70.14359,1.0832906
85462,1.0511588,[ 0.041  0.072  0.069  0.022  0.01  -0.073  0.17   0.005  0.     0.  0.   ],24.59,9.359775,,226.32222,16970.098,38,95.1331,226.32222536196159,0.016073354,0.21975102,9.359775,234.27048,0.005951426,0.4189424,0.5951426,3800,0.010272235,,108.621445,-1.0,95.62379,117.64585,52.917007,360.95566749572754,100,362.25458,122.8489,1.6073353,253.63313,0.00219751,117.70079,1.0272235
88006,1.0626961,[ 0.038  0.071  0.067  0.014  0.003 -0.077  0.178  0.011  0.     0.  0.   ],25.44,9.359968,,234.23788,18956.484,39,94.10028,234.23789025801037,0.02402607,0.29867685,9.359968,243.2495,0.005120201,0.4189424,0.5120201,3900,0.010449447,,118.19174,-1.0,92.44716,111.62377,45.7879,373.16524147987366,100,408.71375,116.8501,2.402607,290.522,0.0029867683,116.04615,1.0449445
90709,1.2226273,[ 0.042  0.083  0.07   0.012 -0.002 -0.057  0.177  0.01   0.     0.  0.   ],27.03,9.359589,,249.06238,32201.865,40,81.79108,249.06237167149607,0.030318856,0.46409386,9.359589,282.9096,0.0013424109,0.4189424,0.13424109,4000,0.011046627,,126.73842,-1.0,84.99764,110.65762,64.09378,385.21712923049927,100,461.34915,129.87206,3.0318856,334.61072,0.0046409387,122.32395,1.1046627
93346,1.0116856,[ 0.039  0.084  0.074  0.018  0.002 -0.076  0.19   0.003  0.     0.  0.   ],26.37,9.359987,,243.08838,22264.783,41,98.84494,243.08838346820332,0.012273811,0.10445955,9.359987,245.38057,0.007612461,0.4189424,0.76124614,4100,0.010070442,,136.45543,-1.0,98.93547,120.732605,53.495388,396.0672731399536,100,407.8526,122.311966,1.2273811,271.39716,0.0010445955,106.63295,1.0070442
96064,1.0711664,[ 0.042  0.084  0.076  0.016 -0.002 -0.075  0.199  0.005  0.     0.  0.   ],27.18,9.359936,,250.45586,25347.648,42,93.35618,250.4558476216177,0.016571505,0.27161834,9.359936,261.30182,0.003591203,0.4189424,0.3591203,4200,0.01012445,,127.05524,-1.0,93.28585,106.81198,65.1728,408.68473863601685,100,478.81287,112.63449,1.6571506,351.75763,0.0027161834,123.40061,1.012445
98706,1.0693944,[ 0.041  0.092  0.076  0.018  0.001 -0.08   0.214  0.004  0.     0.  0.   ],26.42,9.359867,,243.35974,32737.752,43,93.51087,243.3597583326409,0.020291593,0.2715021,9.359867,255.04712,0.006708972,0.4189424,0.67089725,4300,0.010433392,,163.6795,-1.0,93.65781,131.9111,46.862835,420.11524391174316,100,371.49554,139.79636,2.0291593,207.81604,0.002715021,79.68025,1.0433391
101399,1.042203,[ 0.038  0.099  0.073  0.011 -0.01  -0.081  0.21   0.006  0.     0.  0.   ],26.93,9.359869,,248.14034,27599.156,44,95.9506,248.14032564424383,0.022247115,0.22917458,9.359869,260.03104,0.0039295102,0.4189424,0.39295104,4400,0.010286012,,136.49744,-1.0,95.2707,114.59871,60.874863,434.65275382995605,100,445.13873,123.70061,2.2247117,308.6413,0.0022917455,111.64289,1.0286013
104015,1.0202256,[ 0.029  0.096  0.071  0.015 -0.013 -0.101  0.197 -0.004  0.     0.  0.   ],26.16,9.359917,,240.87833,26137.016,45,98.01753,240.87832615071912,0.014392133,0.13510239,9.359917,245.60735,0.007901685,0.4189424,0.7901685,4500,0.010236212,,145.3488,-1.0,98.28783,107.63081,59.28049,447.9758560657501,100,444.15842,111.01906,1.4392133,298.80963,0.0013510238,95.52953,1.0236213
106668,1.1582085,[ 0.027  0.101  0.066  0.012 -0.011 -0.092  0.189 -0.004  0.     0.  0.   ],26.53,9.359746,,244.53026,31835.846,46,86.34024,244.53024504915703,0.025481245,0.39193395,9.359746,263.37265,0.001694779,0.4189424,0.16947791,4600,0.010550106,,145.52432,-1.0,87.87266,122.1449,49.67127,460.46812868118286,100,407.95117,131.66142,2.5481246,262.42685,0.0039193397,99.00593,1.0550106
109493,1.0624566,[ 0.027  0.105  0.068  0.003 -0.014 -0.101  0.206 -0.006  0.     0.  0.   ],28.25,9.359983,,260.45447,31497.68,47,94.12149,260.45442941111236,0.016524833,0.23670803,9.359983,272.43686,0.0027943628,0.4189424,0.2794363,4700,0.010247392,,154.48251,-1.0,94.93446,104.13156,59.934933,474.53609561920166,100,521.0762,111.306244,1.6524832,366.59366,0.0023670802,105.971924,1.0247391
112275,2.4231489,[ 2.547e-02  1.108e-01  6.929e-02 -2.026e-04 -1.671e-02 -1.029e-01  2.181e-01 -8.461e-03  0.000e+00  0.000e+00  0.000e+00],27.82,9.359893,,256.58163,462455.62,48,41.268616,256.58162838740816,0.41933745,4.188972,9.359893,378.82922,0.00047850359,0.4189424,0.04785036,4800,0.013654839,,163.5888,-1.0,9.605104,107.2612,54.347466,487.1471643447876,100,497.7348,146.39006,41.933746,334.146,0.04188972,92.99282,1.3654838
115084,1.041331,[ 0.055  0.088  0.079  0.024  0.002 -0.088  0.204 -0.029  0.     0.  0.   ],28.09,9.35993,,259.04544,24550.723,49,96.03094,259.04544995397714,0.015102441,0.18632595,9.35993,267.89215,0.0045579574,0.4189424,0.45579576,4900,0.010246073,,135.64395,-1.0,96.798874,105.814514,61.315483,503.0205047130585,100,510.76978,111.52669,1.5102441,375.12582,0.0018632595,123.4015,1.0246073
117906,1.1470859,[ 0.052  0.089  0.078  0.029  0.008 -0.097  0.21  -0.031  0.     0.  0.   ],28.22,9.359799,,260.14026,38265.77,50,87.17743,260.140239601666,0.03176597,0.39774537,9.359799,285.73346,0.0021867403,0.4189424,0.21867403,5000,0.010849192,,163.6896,-1.0,88.15194,129.10924,54.299328,517.9953951835632,100,436.77002,145.3965,3.1765974,273.0804,0.0039774533,96.45064,1.0849192
120831,1.0588185,[ 0.055  0.099  0.079  0.038  0.018 -0.09   0.225 -0.032  0.     0.  0.   ],29.25,9.3599825,,269.95526,39409.863,51,94.44489,269.9552905017171,0.020152248,0.2549675,9.3599825,289.93985,0.0048379097,0.4189424,0.483791,5100,0.01054016,,173.34311,-1.0,94.471886,127.82922,58.83692,534.5797488689423,100,473.75357,143.69368,2.015225,300.41046,0.002549675,96.612175,1.054016
123791,1.2506309,[ 0.053  0.113  0.083  0.036  0.014 -0.086  0.249 -0.025  0.     0.  0.   ],29.6,9.359706,,273.17276,100367.44,52,79.95965,273.1727587256539,0.087487556,0.9746725,9.359706,319.0215,0.00370993,0.4189424,0.37099302,5200,0.011111024,,182.91606,-1.0,56.513103,114.03407,56.50266,550.8540432453156,100,530.46234,141.05415,8.748755,347.54626,0.009746725,90.2567,1.1111023
126643,1.151025,[ 0.066  0.125  0.083  0.038  0.013 -0.052  0.25  -0.02   0.     0.  0.   ],28.52,9.359957,,263.2762,40520.227,53,86.87908,263.27620476657904,0.025049116,0.41038266,9.359957,291.12808,0.0016845833,0.4189424,0.16845833,5300,0.010731559,,163.41753,-1.0,87.24211,121.051865,56.352623,568.6085739135742,100,474.08112,138.54152,2.5049117,310.66357,0.0041038264,99.85868,1.0731559
