eRenyi2,AvgNormIw,MinVanillaIw,MaxNormIw,AvgRet,VarVanillaIw,AvgEpLen,MinNormIw,ESSRenyi,VarNormIw,ESSClassic,VarDiscRet,AvgVanillaIw,AvgDiscRet,MaxVanillaIw,Bound,J,BatchSize,VarJ,VarRet
1.3073692,0.010000002,0.062069234,0.026694218,1999.9969278526305,0.31233,200.0,0.0006759239,76.48948555522162,3.7038764e-05,73.16980829430193,6.36825551544818e-06,0.91828734,866.0175555283812,2.4512963,866.0154,866.01776,100,0.0025275403,7.800501109453066e-06
1.3901188,0.01,0.06066987,0.03442898,1999.9965993309022,0.35872146,200.0,0.0006316872,71.93629588543577,3.8887974e-05,72.20264415322006,5.767589297568639e-06,0.96044165,866.0172354210649,3.3067026,866.0152,866.0176,100,0.002528183,6.890411088093198e-06
1.4969206,0.01,0.011337267,0.0354271,1999.9967353248596,0.59915113,200.0,9.917132e-05,66.80381107709754,4.5844983e-05,68.78216484301325,6.5284131532376205e-06,1.1432003,866.0173374770867,4.050027,866.01514,866.0178,100,0.0026518055,7.744263098772141e-06
1.1691749,0.01,0.051377967,0.018057108,1999.9965900802613,0.14475025,200.0,0.0005202369,85.53040197802758,1.4841159e-05,87.18947155806309,6.746373858615304e-06,0.98758787,866.0172177304223,1.7832981,866.015,866.01746,100,0.0025764194,7.9800239267331e-06
0.00010124391,0.01,,0.9427667,1999.9968320941925,0.0017564667,200.0,,987713.7326815503,0.008906595,1.1213870952027816,5.63623107114533e-06,0.0044408315,866.0174086957293,0.4186668,866.0154,866.02,100,0.0033621546,6.520775211880172e-06
26.402292,0.01,,1.0,1999.9961399364472,,200.0,,3.7875499235862553,0.010000002,inf,6.365620876998665e-06,1.349456e-26,866.0170952498404,1.349456e-24,866.0149,866.01697,100,,1.3699609925599285e-05
18620164.0,0.01,,1.0,1794.594502367787,2.8720065e-26,179.69,,5.370521978216733e-06,0.010000003,1.0,20309.59234097377,1.6946996e-14,810.0576736326574,1.6946997e-12,690.20105,866.0191,100,,205429.90024780468
,0.01,,0.9986271,1999.9978003978729,1.3121506e-24,200.0,,inf,0.009972296,1.0027503202625183,2.9278149859069633e-06,1.1470818e-13,866.0182488040944,1.145507e-11,866.0167,866.02026,100,0.0012206258,3.2516293231310556e-06
1.0880498,0.01,0.29035294,0.019112397,1999.9976062202454,0.10195242,200.0,0.002819057,91.90756049238635,9.610651e-06,91.31206859991312,5.133752334276906e-06,1.0299648,866.0180560113437,1.9685094,866.0162,866.01825,100,0.0021863813,5.653157275428202e-06
1.8849722,0.010000002,2.659872e-06,0.09103691,1999.9979157733917,1.6051879,200.0,2.5205814e-08,53.05117986366683,0.0001441471,41.2021807584405,3.1557249404398117e-06,1.0552613,866.0183523239865,9.606772,866.01685,866.0187,100,0.0022084978,3.49528495793162e-06
1.1758151,0.01,0.23983158,0.028902765,1999.9975127983093,0.22428642,200.0,0.0023091414,85.04738503315066,2.0791762e-05,82.92985380727602,3.678811733207044e-06,1.038618,866.0179624316997,3.0018933,866.01636,866.0182,100,0.0019731894,4.0540670655753625e-06
1.181528,0.010000003,0.24206047,0.03626134,1999.9977584648132,0.2396016,200.0,0.0023520966,84.63616803924783,2.2623108e-05,81.70140878095368,3.8018170614656336e-06,1.0291264,866.018206426749,3.7317502,866.01654,866.0185,100,0.0018782385,4.191879567650801e-06
1.0000312,0.010000002,0.97734195,0.010158044,1999.9975805854797,3.5166297e-05,200.0,0.009768504,99.99687681415972,3.5130956e-09,99.99650758633484,4.5078074160882296e-06,1.0005032,866.0180357750036,1.0163156,866.01624,866.0181,100,0.0021114799,4.971523334038787e-06
0.06088003,0.01,,1.0,1999.9979478740693,1.9462583e-11,200.0,,1642.5747102973323,0.010000002,1.0,3.734323934207818e-06,4.4116405e-07,866.0183814621638,4.4116405e-05,866.0167,866.0202,100,,4.110457091497446e-06
