VarRet,ESSRenyi,MaxNormIw,AvgRet,VarVanillaIw,Bound,EpsThisIter,AvgDiscRet,AvgEpLen,MinVanillaIw,J,IterType,MaxVanillaIw,BatchSize,Delta,VarNormIw,AvgVanillaIw,VarDiscRet,VarJ,AvgNormIw,MinNormIw,eRenyi2,ESSClassic,VanillaAvgRet
2297.53737578,96.4608738529,0.0299999,-439.249189629,1.02461,-456.938,100,-439.249189629,500.0,0.000137288,-426.789,1,5.65006,200,0.8,2.88861e-05,0.94168,2297.53737578,57.5221,0.005,7.28954e-07,2.07338,93.03759786,-439.249189629
2731.43412972,200.0,0.01,-439.85789384,,-470.873,100,-439.85789384,500.0,1.0,-439.858,2,1.0,200,0.8,3.50449e-18,1.0,2731.43412972,52.0012,0.01,0.01,1.0,100.0,-439.85789384
3076.38978497,111.100893901,0.0191172,-431.925032352,0.827803,-453.058,100,-431.925032352,500.0,3.5333e-05,-423.633,1,3.99517,200,0.8,1.89543e-05,1.04491,3076.38978497,53.5165,0.005,1.69071e-07,1.80017,114.000444511,-431.925032352
2556.89452234,200.0,0.01,-428.97259164,,-463.387,100,-428.97259164,500.0,1.0,-428.973,2,1.0,200,0.8,3.50449e-18,1.0,2556.89452234,50.3123,0.01,0.01,1.0,100.0,-428.97259164
2709.99009158,146.272080352,0.0178033,-439.768415238,0.409148,-453.203,100,-439.768415238,500.0,0.010367,-424.748,1,3.54493,200,0.8,1.03197e-05,0.99558,2709.99009158,44.3966,0.005,5.20652e-05,1.36731,141.771026825,-439.768415238
2641.7366454,200.0,0.01,-433.237301692,,-464.228,100,-433.237301692,500.0,1.0,-433.237,2,1.0,200,0.8,3.50449e-18,1.0,2641.7366454,51.1402,0.01,0.01,1.0,100.0,-433.237301692
1785.03716668,134.705350593,0.0355608,-422.164896252,0.689222,-446.058,100,-422.164896252,500.0,0.142616,-419.357,1,7.23156,200,0.8,1.66663e-05,1.01679,1785.03716668,51.0035,0.005,0.000701304,1.48472,120.24163239,-422.164896252
2204.58675124,200.0,0.01,-428.411519644,,-457.707,100,-428.411519644,500.0,1.0,-428.412,2,1.0,200,0.8,3.50449e-18,1.0,2204.58675124,46.7177,0.01,0.01,1.0,100.0,-428.411519644
2398.9451878,123.280924857,0.0515975,-438.467863793,1.25208,-448.627,100,-438.467863793,500.0,0.114176,-421.8,1,11.2213,200,0.8,2.64729e-05,1.08739,2398.9451878,66.9526,0.005,0.000525,1.62231,97.3888222243,-438.467863793
2604.92868015,200.0,0.01,-431.524596975,,-466.819,100,-431.524596975,500.0,1.0,-431.525,2,1.0,200,0.8,3.50449e-18,1.0,2604.92868015,50.7827,0.01,0.01,1.0,100.0,-431.524596975
1415.41290115,159.500556823,0.0140015,-423.103227743,0.234268,-451.048,100,-423.103227743,500.0,0.0158126,-423.102,1,2.62489,200,0.8,6.66555e-06,0.937364,1415.41290115,48.6616,0.005,8.4346e-05,1.25391,158.06673898,-423.103227743
2660.54084451,200.0,0.01,-439.709652094,,-468.139,100,-439.709652094,500.0,1.0,-439.71,2,1.0,200,0.8,3.50449e-18,1.0,2660.54084451,51.3219,0.01,0.01,1.0,100.0,-439.709652094
2723.54466994,41.1929857574,0.505858,-430.650999114,214.898,-421.555,100,-430.650999114,500.0,0.0236751,-372.738,1,207.188,200,0.8,0.00128103,2.04789,2723.54466994,379.626,0.005,5.78037e-05,4.8552,3.84726925762,-430.650999114
2186.72039805,200.0,0.01,-430.507717511,,-457.912,100,-430.507717511,500.0,1.0,-430.508,2,1.0,200,0.8,3.50449e-18,1.0,2186.72039805,46.528,0.01,0.01,1.0,100.0,-430.507717511
2723.54466994,110.197205597,0.0794853,-430.650999114,15.056,-460.155,100,-429.908405054,500.0,0.00482653,-425.686,,42.2384,300,0.8,5.33172e-05,2.657,2639.19297762,73.5876,0.005,9.08268e-06,2.72239,64.0609970257,-430.650999114
2215.33445397,55.8083489838,0.413494,-431.971038445,158.711,-423.645,100,-431.971038445,500.0,0.0143378,-381.704,1,217.799,300,0.8,0.000572049,1.75576,2215.33445397,443.997,0.00333333,2.72205e-05,5.37554,5.73473387018,-431.971038445
1999.4234385,300.0,0.01,-433.693560227,,-461.673,100,-433.693560227,500.0,1.0,-433.694,2,1.0,300,0.8,3.50449e-18,1.0,1999.4234385,44.4908,0.01,0.01,1.0,100.0,-433.693560227
2035.43100053,300.0,0.005,-424.620993889,,-449.714,100,-424.620993889,500.0,1.0,-429.157,2,1.0,300,0.8,2.1793e-19,1.0,2035.43100053,44.9203,0.005,0.005,1.0,200.000000102,-424.620993889
2215.33445397,151.883243783,0.0824648,-431.971038445,29.2649,-453.283,100,-431.016850793,500.0,0.00459139,-426.044,,69.7457,400,0.8,4.09118e-05,2.81921,1622.40232132,65.2535,0.00333333,5.42869e-06,2.6336,64.2426846832,-431.971038445
2068.09097316,67.2601563052,0.372238,-430.565997742,155.469,-423.914,100,-430.565997742,500.0,0.0247012,-385.71,1,248.278,400,0.8,0.00034947,1.66747,2068.09097316,491.273,0.0025,3.7034e-05,5.94706,7.0453123663,-430.565997742
1856.07284376,400.0,0.01,-428.208421586,,-454.957,100,-428.208421586,500.0,1.0,-428.208,2,1.0,400,0.8,3.50449e-18,1.0,1856.07284376,42.8662,0.01,0.01,1.0,100.0,-428.208421586
2080.93612694,400.0,0.005,-431.808447552,,-449.918,100,-431.808447552,500.0,1.0,-430.008,2,1.0,400,0.8,2.1793e-19,1.0,2080.93612694,44.1821,0.005,0.005,1.0,200.000000102,-431.808447552
1701.98709371,400.0,0.00333333,-427.101481528,,-447.48,100,-427.101481528,500.0,1.0,-429.039,2,1.0,400,0.8,5.43914e-20,1.0,1701.98709371,43.1846,0.00333333,0.00333333,1.0,299.999969474,-427.101481528
2068.09097316,182.064168063,0.0369823,-430.565997742,13.5717,-452.939,100,-423.014403258,500.0,0.00402774,-426.474,,40.4838,500,0.8,1.13256e-05,2.7367,2072.46872555,59.9537,0.0025,3.67938e-06,2.74628,142.472369688,-430.565997742
2610.00768341,82.3039543772,0.302114,-432.8764503,102.822,-427.445,100,-432.8764503,500.0,0.00434107,-392.033,1,225.101,500,0.8,0.000185212,1.49018,2610.00768341,488.857,0.002,5.82626e-06,6.07504,10.5908845622,-432.8764503
1823.680368,500.0,0.01,-429.252381286,,-459.07,100,-429.252381286,500.0,1.0,-429.252,2,1.0,500,0.8,3.50449e-18,1.0,1823.680368,42.4905,0.01,0.01,1.0,100.0,-429.252381286
1824.82174449,500.0,0.005,-430.662522068,,-451.042,100,-430.662522068,500.0,1.0,-429.957,2,1.0,500,0.8,2.1793e-19,1.0,1824.82174449,42.503,0.005,0.005,1.0,200.000000102,-430.662522068
2609.14483157,500.0,0.00333333,-425.846350431,,-445.802,100,-425.846350431,500.0,1.0,-428.587,2,1.0,500,0.8,5.43914e-20,1.0,2609.14483157,45.4875,0.00333333,0.00333333,1.0,299.999969474,-425.846350431
1926.99811398,500.0,0.0025,-433.105923207,,-444.626,100,-433.105923207,500.0,1.0,-429.717,2,1.0,500,0.8,5.4346e-20,1.0,1926.99811398,45.0843,0.0025,0.0025,1.0,400.0,-433.105923207
2245.9014613,425.506289408,0.0106486,-433.5329672,0.210944,-443.188,100,-433.5329672,500.0,0.203775,-428.322,1,5.40551,500,0.8,8.18612e-07,1.01525,2245.9014613,46.3943,0.002,0.000401427,1.17507,415.198824866,-433.5329672
2292.84143098,500.0,0.01,-425.322587763,,-454.482,100,-425.322587763,500.0,1.0,-425.323,2,1.0,500,0.8,3.50449e-18,1.0,2292.84143098,47.6436,0.01,0.01,1.0,100.0,-425.322587763
2279.63058691,500.0,0.005,-433.02032058,,-449.79,100,-433.02032058,500.0,1.0,-429.171,2,1.0,500,0.8,2.1793e-19,1.0,2279.63058691,47.7304,0.005,0.005,1.0,200.000000102,-433.02032058
2331.39715808,500.0,0.00333333,-432.866072907,,-447.489,100,-432.866072907,500.0,1.0,-430.403,2,1.0,500,0.8,5.43914e-20,1.0,2331.39715808,47.8663,0.00333333,0.00333333,1.0,299.999969474,-432.866072907
1880.92665675,500.0,0.0025,-434.135303107,,-446.133,100,-434.135303107,500.0,1.0,-431.336,2,1.0,500,0.8,5.4346e-20,1.0,1880.92665675,46.7604,0.0025,0.0025,1.0,400.0,-434.135303107
2459.11246699,352.112864058,0.00820112,-434.359425795,0.430813,-443.316,100,-434.359425795,500.0,0.000606385,-427.51,1,4.14653,500,0.8,1.68525e-06,1.01121,2459.11246699,54.3352,0.002,1.19932e-06,1.42,351.996207537,-434.359425795
2457.99145317,500.0,0.01,-428.319303205,,-458.359,100,-428.319303205,500.0,1.0,-428.319,2,1.0,500,0.8,3.50449e-18,1.0,2457.99145317,49.3296,0.01,0.01,1.0,100.0,-428.319303205
2150.06817361,500.0,0.005,-428.981497897,,-449.892,100,-428.981497897,500.0,1.0,-428.65,2,1.0,500,0.8,2.1793e-19,1.0,2150.06817361,47.7608,0.005,0.005,1.0,200.000000102,-428.981497897
2129.88724465,500.0,0.00333333,-433.575353149,,-447.636,100,-433.575353149,500.0,1.0,-430.292,2,1.0,500,0.8,5.43914e-20,1.0,2129.88724465,47.2121,0.00333333,0.00333333,1.0,299.999969474,-433.575353149
1815.09969473,500.0,0.0025,-430.309339242,,-445.316,100,-430.309339242,500.0,1.0,-430.296,2,1.0,500,0.8,5.4346e-20,1.0,1815.09969473,46.0541,0.0025,0.0025,1.0,400.0,-430.309339242
1837.62191565,338.666335938,0.0157529,-425.305625694,0.581211,-440.126,100,-425.305625694,500.0,0.026886,-423.803,1,7.89396,500,0.8,2.31454e-06,1.00222,1837.62191565,55.2072,0.002,5.36527e-05,1.47638,316.961889475,-425.305625694
2345.32422017,500.0,0.01,-433.542485035,,-461.809,100,-433.542485035,500.0,1.0,-433.542,2,1.0,500,0.8,3.50449e-18,1.0,2345.32422017,48.1858,0.01,0.01,1.0,100.0,-433.542485035
1797.91281051,500.0,0.005,-427.009325001,,-451.337,100,-427.009325001,500.0,1.0,-430.276,2,1.0,500,0.8,2.1793e-19,1.0,1797.91281051,45.4045,0.005,0.005,1.0,200.000000102,-427.009325001
1898.85149964,500.0,0.00333333,-422.882440341,,-445.007,100,-422.882440341,500.0,1.0,-427.811,2,1.0,500,0.8,5.43914e-20,1.0,1898.85149964,44.8681,0.00333333,0.00333333,1.0,299.999969474,-422.882440341
1763.54418386,500.0,0.0025,-429.736164901,,-443.185,100,-429.736164901,500.0,1.0,-428.293,2,1.0,500,0.8,5.4346e-20,1.0,1763.54418386,44.1252,0.0025,0.0025,1.0,400.0,-429.736164901
2518.14056247,241.024970308,0.0354352,-428.303302634,2.21782,-439.214,100,-428.303302634,500.0,0.000402057,-418.814,1,19.1171,500,0.8,7.61996e-06,1.07899,2518.14056247,60.4854,0.002,7.45249e-07,2.07447,172.34370547,-428.303302634
1758.05196615,500.0,0.01,-429.842378908,,-456.948,100,-429.842378908,500.0,1.0,-429.842,2,1.0,500,0.8,3.50449e-18,1.0,1758.05196615,41.719,0.01,0.01,1.0,100.0,-429.842378908
1496.29818218,500.0,0.005,-424.831846415,,-447.374,100,-424.831846415,500.0,1.0,-427.337,2,1.0,500,0.8,2.1793e-19,1.0,1496.29818218,40.2142,0.005,0.005,1.0,200.000000102,-424.831846415
1631.77412492,500.0,0.00333333,-422.586540976,,-442.114,100,-422.586540976,500.0,1.0,-425.754,2,1.0,500,0.8,5.43914e-20,1.0,1631.77412492,40.2693,0.00333333,0.00333333,1.0,299.999969474,-422.586540976
1665.45422141,500.0,0.0025,-428.062305375,,-440.499,100,-428.062305375,500.0,1.0,-426.331,2,1.0,500,0.8,5.4346e-20,1.0,1665.45422141,40.366,0.0025,0.0025,1.0,400.0,-428.062305375
1464.7762683,285.517633384,0.0173433,-421.226715521,1.26671,-434.985,100,-421.226715521,500.0,0.00608172,-418.215,1,9.30214,500,0.8,4.40325e-06,1.07271,1464.7762683,54.4896,0.002,1.1339e-05,1.75121,238.252676892,-421.226715521
