ESSRenyi,MaxNormIw,VarVanillaIw,AvgNormIw,BatchSize,ESSClassic,VanillaAvgRet,VarDiscRet,J,AvgEpLen,VarRet,MinVanillaIw,AvgDiscRet,VarNormIw,MaxVanillaIw,AvgRet,Bound,AvgVanillaIw,MinNormIw,eRenyi2,VarJ
100.0,0.01,,0.009999998,100,100.0,3141.4197803018296,2333557.0414320217,,314.98,2333557.0414320217,1.0,-3.9108272176235914e-13,3.5044917e-18,1.0,-3.9108272176235914e-13,-128.47563,1.0,0.01,1.0,1519.9412
100.0,0.01,,0.009999998,100,100.0,3479.992018846334,2569641.4243251095,9.536743e-06,348.73,2569641.4243251095,1.0,5.002220859751106e-13,3.5044917e-18,1.0,5.002220859751106e-13,-134.818,1.0,0.01,1.0,1594.975
100.0,0.01,,0.009999998,100,100.0,3315.130210564044,2700927.595737351,7.6293945e-06,332.27,2700927.595737351,1.0,-1.1368683772161603e-13,3.5044917e-18,1.0,-1.1368683772161603e-13,-138.21906,1.0,0.01,1.0,1635.212
100.0,0.01,,0.009999998,100,100.0,3311.0399975825144,2456365.962961217,2.0980835e-05,331.86,2456365.962961217,1.0,-2.091837814077735e-13,3.5044917e-18,1.0,-2.091837814077735e-13,-131.81299,1.0,0.01,1.0,1559.4237
100.0,0.01,,0.009999998,100,100.0,3185.965658533435,2529825.381226072,1.5258789e-05,319.4,2529825.381226072,1.0,5.911715561524034e-13,3.5044917e-18,1.0,5.911715561524034e-13,-133.7694,1.0,0.01,1.0,1582.5697
100.0,0.01,,0.009999998,100,100.0,3255.0392550671095,2833469.5241035526,-1.5258789e-05,326.3,2833469.5241035526,1.0,1.0686562745831906e-13,3.5044917e-18,1.0,1.0686562745831906e-13,-141.56985,1.0,0.01,1.0,1674.8535
100.0,0.01,,0.009999998,100,100.0,3108.9999154346133,2849520.8385690334,5.722046e-06,311.7,2849520.8385690334,1.0,-7.412381819449365e-13,3.5044917e-18,1.0,-7.412381819449365e-13,-141.97028,1.0,0.01,1.0,1679.5908
100.0,0.01,,0.009999998,100,100.0,3279.219891141338,2661082.5426384853,-1.9073486e-05,328.67,2661082.5426384853,1.0,2.5920599000528453e-13,3.5044917e-18,1.0,2.5920599000528453e-13,-137.19577,1.0,0.01,1.0,1623.1056
100.0,0.01,,0.009999998,100,100.0,3292.803803259894,2738259.971796188,1.1444092e-05,330.04,2738259.971796188,1.0,8.094502845779061e-13,3.5044917e-18,1.0,8.094502845779061e-13,-139.17104,1.0,0.01,1.0,1646.4742
100.0,0.01,,0.009999998,100,100.0,3074.620222259889,2469155.235116881,-1.5258789e-05,308.31,2469155.235116881,1.0,2.773958840407431e-13,3.5044917e-18,1.0,2.773958840407431e-13,-132.15565,1.0,0.01,1.0,1563.4781
