eRenyi2,AvgRet,EpsThisIter,AvgDiscRet,AvgVanillaIw,Bound,VarDiscRet,AvgEpLen,J,Delta,IterType,ESSClassic,MinVanillaIw,VanillaAvgRet,MaxVanillaIw,VarNormIw,MaxNormIw,ESSRenyi,VarRet,AvgNormIw,MinNormIw,VarVanillaIw,BatchSize,VarJ
1.5641718,-7.821864072823953,100,-7.821864072823953,1.0518067,-8.904051,49.149863410995884,200.0,-6.4942737,0.6,1,66.78348791231099,0.001115713,-7.821864072823953,2.1840925,5.0240003e-05,0.020765152,63.931596625436775,49.149863410995884,0.01,1.0607586e-05,0.55580384,100,7.740661
1.8073994,-7.731538755337697,100,-7.731538755337697,0.94226325,-8.885108,57.915464768314486,200.0,-6.385359,0.6,1,56.046848110139145,5.798599e-07,-7.731538755337697,2.444166,7.921431e-05,0.02593931,55.32811421512225,57.915464768314486,0.010000002,6.1539054e-09,0.7033121,100,8.8600855
1.1584384,-8.737721271245311,100,-8.737721271245311,0.97764856,-10.455168,56.83241681195852,200.0,-8.3652935,0.6,1,85.24234828099388,0.05261093,-8.737721271245311,1.4209497,1.7487451e-05,0.014534361,86.3231020224362,56.83241681195852,0.01,0.00053813745,0.16714445,100,8.151499
1.1268542,-8.871417081327495,100,-8.871417081327495,1.0418649,-10.612463,50.299857941606554,200.0,-8.650826,0.6,1,90.1370691495708,0.04231606,-8.871417081327495,1.3674774,1.1052664e-05,0.013125286,88.74262673946956,50.299857941606554,0.01,0.0004061569,0.119974695,100,7.36994
1.1441324,-6.782313890283384,100,-6.782313890283384,0.96438444,-8.533306,46.174799943345654,200.0,-6.5495934,0.6,1,83.88867173070194,0.04800611,-6.782313890283384,1.4078314,1.9399604e-05,0.014598238,87.40247380668532,46.174799943345654,0.01,0.00049779017,0.18042356,100,7.383603
1.7888726,-7.631312920551574,100,-7.631312920551574,1.0801696,-8.924759,47.64392345767075,200.0,-6.357711,0.6,1,52.163231069694085,0.051679842,-7.631312920551574,4.793205,9.263226e-05,0.04437456,55.9011301432326,47.64392345767075,0.01,0.00047844194,1.0808021,100,7.2055035
1.0325564,-8.434140499130796,100,-8.434140499130796,0.9781096,-10.326467,46.83406575492214,200.0,-8.376874,0.6,1,97.81045230033084,0.8679182,-8.434140499130796,1.7857931,2.2611703e-06,0.018257597,96.84700863374454,46.83406575492214,0.01,0.0088734245,0.021632578,100,6.81023
1.3175855,-8.902496478400586,100,-8.902496478400586,0.93960035,-10.162487,61.04366555226101,200.0,-7.9228425,0.6,1,69.62065938854153,0.00011449539,-8.902496478400586,1.6929016,4.407629e-05,0.018017251,75.89640475438236,61.04366555226101,0.01,1.2185542e-06,0.38912714,100,8.686317
2.5853012,-7.775219823749649,100,-7.775219823749649,1.1340628,-9.098348,49.73791969533537,200.0,-6.0510674,0.6,1,40.305214387593246,2.7743343e-05,-7.775219823749649,4.433421,0.00014960289,0.039093263,38.68021316656859,49.73791969533537,0.01,2.4463677e-07,1.9240401,100,10.263566
1.1611372,-6.414990594358156,100,-6.414990594358156,1.0495914,-8.15433,42.019669237061265,200.0,-6.098143,0.6,1,87.9743807478647,0.06749347,-6.414990594358156,1.4386926,1.380752e-05,0.0137071675,86.12246511281708,42.019669237061265,0.010000002,0.0006430451,0.15210949,100,6.6491723
2.3027494,-7.111834273299068,100,-7.111834273299068,0.859259,-8.724943,44.52963266608007,200.0,-5.80125,0.6,1,38.763741008590564,5.9767772e-12,-7.111834273299068,3.173393,0.0001595687,0.03693174,43.426349476431525,44.52963266608007,0.01,6.955734e-14,1.1781375,100,9.213542
1.7446668,-8.126253620273983,100,-8.126253620273983,0.9016689,-9.604149,49.23645936308683,200.0,-7.0951447,0.6,1,52.721636459980324,4.3368592e-10,-8.126253620273983,2.3532825,9.058124e-05,0.026099185,57.317534300226725,49.23645936308683,0.010000003,4.809813e-12,0.73643154,100,7.234961
1.0138004,-8.17075825701794,100,-8.17075825701794,1.0190474,-10.063656,50.51569765181127,200.0,-8.144378,0.6,1,99.24868212528487,0.71568775,-8.17075825701794,1.1007189,7.646325e-07,0.010801449,98.638747543323,50.51569765181127,0.010000002,0.007023106,0.0079403855,100,7.13963
2.1527154,-8.16377780032553,100,-8.16377780032553,0.8383286,-9.262499,51.15014922345582,200.0,-6.4138374,0.6,1,42.7863630251178,1.2640788e-09,-8.16377780032553,2.9700823,0.00013506999,0.035428617,46.45295793853304,51.15014922345582,0.010000002,1.507856e-11,0.9492651,100,9.85437
1.1370605,-8.56721470019846,100,-8.56721470019846,0.9577278,-10.339173,50.87041520435905,200.0,-8.258615,0.6,1,84.94727250358233,0.037900556,-8.56721470019846,1.3814168,1.7899067e-05,0.0144238975,87.94606617178748,50.87041520435905,0.01,0.0003957341,0.16417785,100,7.4754286
2.7137187,-7.86469632757143,100,-7.86469632757143,0.9883592,-8.191884,56.61117301153835,200.0,-5.08763,0.6,1,33.773764947331635,8.2770873e-11,-7.86469632757143,4.0833807,0.00019806855,0.041314743,36.8498038289917,56.61117301153835,0.01,8.374574e-13,1.9348398,100,10.352246
1.2241088,-7.993870289548978,100,-7.993870289548978,1.0197346,-9.500805,53.22878231855847,200.0,-7.3417287,0.6,1,90.4630105380656,0.79554313,-7.993870289548978,2.852715,1.06489015e-05,0.027975073,81.69208387264086,53.22878231855847,0.01,0.0078014727,0.11073352,100,7.329878
1.1810449,-7.736768457426956,100,-7.736768457426956,1.0484073,-9.482618,54.38963256209285,200.0,-7.3698187,0.6,1,82.61489229839138,0.785356,-7.736768457426956,4.1946535,2.1256103e-05,0.04000977,84.67078341949687,54.38963256209285,0.01,0.0074909437,0.23363815,100,7.41087
10.888732,-8.339030357766923,100,-8.339030357766923,0.64398897,-9.247615,47.201358197670054,200.0,-3.1745734,0.6,1,6.536727761959584,,-8.339030357766923,14.81591,0.0014442598,0.23006466,9.183805827865124,47.201358197670054,0.009999999,,5.989661,100,9.308574
1.1682576,-7.2526541213351186,100,-7.2526541213351186,1.0377997,-8.970231,42.04487040861034,200.0,-6.9096756,0.6,1,85.57868012877947,0.0070066033,-7.2526541213351186,1.448302,1.702172e-05,0.013955506,85.59756042185478,42.04487040861034,0.010000002,6.751402e-05,0.18332878,100,7.247717
1.3651614,-7.958473967454567,100,-7.958473967454567,1.0005276,-9.529159,50.788206754318466,200.0,-7.3080864,0.6,1,74.44401639186067,0.19569388,-7.958473967454567,3.622273,3.4675875e-05,0.036203627,73.25141086941412,50.788206754318466,0.010000002,0.0019559069,0.34712481,100,7.567476
1.0526128,-7.852050818754775,100,-7.852050818754775,0.9861797,-9.722671,55.94014662456988,200.0,-7.7377462,0.6,1,95.96063935012567,0.8218107,-7.852050818754775,1.8490089,4.2518855e-06,0.01874921,95.0016964976949,55.94014662456988,0.010000002,0.008333275,0.041351732,100,7.460518
1.5505782,-8.34504877739998,100,-8.34504877739998,0.9940245,-9.966145,54.473375607209974,200.0,-7.5739794,0.6,1,71.90596952446451,0.13621059,-8.34504877739998,2.8384867,3.946516e-05,0.0285555,64.49206988779208,54.473375607209974,0.01,0.0013702941,0.38994926,100,8.211696
1.045147,-7.780848787359023,100,-7.780848787359023,0.979963,-9.682331,49.02761583448257,200.0,-7.7353597,0.6,1,95.47914645355176,0.5166927,-7.780848787359023,1.3631955,4.7827584e-06,0.013910684,95.68032586439107,49.02761583448257,0.01,0.0052725733,0.04593014,100,6.9641285
9.552911,-8.508079023735558,100,-8.508079023735558,1.2187045,-8.243135,54.06362592944981,200.0,-2.2478878,0.6,1,10.150517397501227,,-8.508079023735558,13.468739,0.00089411257,0.11051685,10.468013576583617,54.06362592944981,0.01,,13.279722,100,6.372492
nan,-8.508079023735558,100,-8.302655936669522,inf,nan,50.023441235561464,200.0,nan,0.6,,nan,0.074246004,-8.508079023735558,inf,nan,nan,nan,54.06362592944981,nan,nan,nan,200,nan
1.0917695,-7.3488156639538875,100,-7.3488156639538875,1.0169685,-9.219737,44.91205917908656,200.0,-7.7837954,0.6,1,186.43684909683597,0.8126795,-7.3488156639538875,2.3256106,1.8278708e-06,0.011434034,183.1888579980883,44.91205917908656,0.005,0.0039955983,0.07561719,200,6.923645
1.0,-7.626677708124803,100,-7.626677708124803,1.0,-9.567778,49.960423564332324,200.0,-7.6266775,0.6,2,100.0,1.0,-7.626677708124803,1.0,3.5044917e-18,0.01,200.0,49.960423564332324,0.009999998,0.01,,200,7.032839
1.9032102,-6.139592334505279,100,-6.139592334505279,0.91291976,-7.825886,40.440769879587656,200.0,-5.9323373,0.6,1,102.47951932705047,2.0606997e-07,-6.139592334505279,2.6066055,2.390978e-05,0.014276203,105.08560950121526,40.440769879587656,0.005,1.1286313e-09,0.797078,200,8.648711
1.0,-7.509254385915039,100,-7.509254385915039,1.0,-9.446604,48.182765649078796,200.0,-7.5092545,0.6,2,100.0,1.0,-7.509254385915039,1.0,3.5044917e-18,0.01,200.0,48.182765649078796,0.009999998,0.01,,200,6.906586
1.0432523,-8.118469817062412,100,-8.118469817062412,0.9867598,-9.173917,55.516473498583764,200.0,-7.7746916,0.6,1,189.86272702069087,0.13801152,-8.118469817062412,1.1825906,1.3415258e-06,0.005992292,191.70817128848012,55.516473498583764,0.005,0.0006993167,0.052249476,200,7.2899184
