VarJ,VarDiscRet,AvgVanillaIw,MinNormIw,AvgDiscRet,Delta,Bound,EpsThisIter,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,J,VarNormIw,AvgNormIw,ESSClassic,eRenyi2,MaxNormIw,VarRet,MinVanillaIw,AvgEpLen,BatchSize,AvgRet,ESSRenyi,IterType
1589.17,14743.913582256015,2.3328269,1.6284004e-11,252.632027749535,0.4,413.9863,100,609.2709,931.0963,252.632027749535,585.07166,0.0010693247,0.0024999997,2.3301302915497795,12.82911,0.6529319,14743.913582256015,1.5195104e-08,27.36,400,252.632027749535,31.17909157075554,1
131.94283,17584.757447801574,1.0,0.01,318.67090577340434,0.4,216.12756,100,1.0,,318.67090577340434,318.67093,3.5044917e-18,0.009999998,100.0,1.0,0.01,17584.757447801574,1.0,34.42,400,318.67090577340434,400.0,2
132.58415,17631.317602085186,1.0,0.005,342.88666411161034,0.4,258.26968,100,1.0,,342.88666411161034,330.7788,2.179301e-19,0.0049999994,200.00000010221265,1.0,0.005,17631.317602085186,1.0,37.03,400,342.88666411161034,400.0,2
138.25797,22326.118574039803,1.0,0.0033333334,342.1247790442908,0.4,256.12103,100,1.0,,342.1247790442908,334.56076,5.4391416e-20,0.0033333336,299.999969473632,1.0,0.0033333334,22326.118574039803,1.0,36.93,400,342.1247790442908,400.0,2
36.403618,19265.863011755013,167593.05,2.4483506e-11,344.1533916010865,0.4,-inf,100,65810676.0,10826879000000.0,252.632027749535,232.30032,0.0024091916,0.0025,1.0375947854139373,0.016146354,0.9817036,14743.913582256015,0.0016413061,27.36,500,252.632027749535,30966.74260437898,
1566.737,10010.705724782116,2.1434047,3.4447675e-14,235.7719447324849,0.4,407.05103,100,585.9239,710.50543,235.7719447324849,583.66296,0.00061861303,0.002,3.2186644366511246,17.089174,0.5467226,10010.705724782116,3.6917656e-11,25.55,500,235.7719447324849,29.25828902449192,1
170.95383,29520.411755682053,1.0,0.01,363.53333732372573,0.4,234.94716,100,1.0,,363.53333732372573,363.53333,3.5044917e-18,0.009999998,100.0,1.0,0.01,29520.411755682053,1.0,39.24,500,363.53333732372573,500.0,2
150.89691,16232.40402364926,1.0,0.005,341.42146817778064,0.4,261.55325,100,1.0,,341.42146817778064,352.47742,2.179301e-19,0.0049999994,200.00000010221265,1.0,0.005,16232.40402364926,1.0,36.86,500,341.42146817778064,500.0,2
147.35822,19634.776533561235,1.0,0.0033333334,336.738350201374,0.4,267.15305,100,1.0,,336.738350201374,347.23108,5.4391416e-20,0.0033333336,299.999969473632,1.0,0.0033333334,19634.776533561235,1.0,36.36,500,336.738350201374,500.0,2
145.1251,19272.083983920133,1.0,0.0025,341.75455169704975,0.4,276.51233,100,1.0,,341.75455169704975,345.86194,5.434597e-20,0.0024999997,400.0,1.0,0.0025,19272.083983920133,1.0,36.89,500,341.75455169704975,500.0,2
