BatchSize,VarVanillaIw,ESSClassic,VanillaAvgRet,AvgRet,AvgDiscRet,MinVanillaIw,ESSRenyi,EpsThisIter,VarRet,MaxNormIw,Bound,IterType,VarNormIw,VarDiscRet,eRenyi2,J,Delta,AvgVanillaIw,VarJ,MinNormIw,MaxVanillaIw,AvgNormIw,AvgEpLen
400,,100.0,-69.7209767498,-69.7209767498,-69.7209767498,1.0,400.0,100,3838.13247936,0.01,-69.721,2,3.50449e-18,3838.13247936,1.0,-69.721,1.0,1.0,61.6421,0.01,1.0,0.01,98.73
400,,200.000000102,-62.4889064717,-62.4889064717,-62.4889064717,1.0,400.0,100,1351.33715221,0.005,-66.1049,2,2.1793e-19,1351.33715221,1.0,-66.1049,1.0,1.0,50.812,0.005,1.0,0.005,90.78
400,,299.999969474,-68.0983114366,-68.0983114366,-68.0983114366,1.0,400.0,100,2608.38087931,0.00333333,-66.7694,2,5.43914e-20,2608.38087931,1.0,-66.7694,1.0,1.0,50.8222,0.00333333,1.0,0.00333333,97.66
500,nan,nan,-312.950046531,-312.950046531,-66.8735316262,2505.44,2.08050694309e+15,100,24218.7599553,nan,nan,,nan,2616.131249,2.40326e-13,nan,1.0,inf,nan,nan,inf,nan,382.91
500,1.00843e-13,1.00000089658,-334.6373127,-334.6373127,-334.6373127,,2.68443248654e-08,100,19275.2947586,1.0,-70.5826,1,0.002,19275.2947586,1.86259e+10,-70.5826,1.0,1.42016e-08,0.000183536,,7.10082e-06,0.002,408.58
500,,100.0,-73.8454091655,-73.8454091655,-73.8454091655,1.0,500.0,100,4995.19910093,0.01,-73.8454,2,3.50449e-18,4995.19910093,1.0,-73.8454,1.0,1.0,70.3224,0.01,1.0,0.01,104.17
500,,200.000000102,-74.3629766531,-74.3629766531,-74.3629766531,1.0,500.0,100,4980.76171188,0.005,-74.1042,2,2.1793e-19,4980.76171188,1.0,-74.1042,1.0,1.0,70.2721,0.005,1.0,0.005,105.17
500,,299.999969474,-69.2897320394,-69.2897320394,-69.2897320394,1.0,500.0,100,3828.90273442,0.00333333,-72.4994,2,5.43914e-20,3828.90273442,1.0,-72.4994,1.0,1.0,67.5337,0.00333333,1.0,0.00333333,98.5
500,,400.0,-58.6515839495,-58.6515839495,-58.6515839495,1.0,500.0,100,51.9141342952,0.0025,-69.0374,2,5.4346e-20,51.9141342952,1.0,-69.0374,1.0,1.0,58.9016,0.0025,1.0,0.0025,86.33
500,2.81312,58.1616129341,-66.303356891,-66.303356891,-66.303356891,1.016e-05,,100,2585.12360157,0.0592222,-65.1109,1,3.04478e-05,2585.12360157,inf,-65.1109,1.0,0.60792,58.2965,3.34256e-08,18.0012,0.002,95.24
500,,100.0,-66.9449355392,-66.9449355392,-66.9449355392,1.0,500.0,100,2583.29751248,0.01,-66.9449,2,3.50449e-18,2583.29751248,1.0,-66.9449,1.0,1.0,50.5714,0.01,1.0,0.01,96.49
500,,200.000000102,-66.6912573816,-66.6912573816,-66.6912573816,1.0,500.0,100,2577.18903889,0.005,-66.8181,2,2.1793e-19,2577.18903889,1.0,-66.8181,1.0,1.0,50.5416,0.005,1.0,0.005,96.17
500,,299.999969474,-68.8757377422,-68.8757377422,-68.8757377422,1.0,500.0,100,2550.13328827,0.00333333,-67.504,2,5.43914e-20,2550.13328827,1.0,-67.504,1.0,1.0,50.4525,0.00333333,1.0,0.00333333,99.84
500,,400.0,-63.7079031108,-63.7079031108,-63.7079031108,1.0,500.0,100,1327.09823257,0.0025,-66.555,2,5.4346e-20,1327.09823257,1.0,-66.555,1.0,1.0,47.3313,0.0025,1.0,0.0025,92.73
500,386.83,4.49654170124,-66.5287203738,-66.5287203738,-66.5287203738,2.39921e-11,,100,2586.24610772,0.464833,-59.171,1,0.00044167,2586.24610772,inf,-59.171,1.0,1.87172,10.4819,2.56363e-14,435.019,0.002,95.87
500,,100.0,-65.4435313717,-65.4435313717,-65.4435313717,1.0,500.0,100,2585.28432602,0.01,-65.4435,2,3.50449e-18,2585.28432602,1.0,-65.4435,1.0,1.0,50.5908,0.01,1.0,0.01,94.22
500,,200.000000102,-63.7436983354,-63.7436983354,-63.7436983354,1.0,500.0,100,1313.71587322,0.005,-64.5936,2,2.1793e-19,1313.71587322,1.0,-64.5936,1.0,1.0,43.94,0.005,1.0,0.005,92.24
500,,299.999969474,-60.4302450196,-60.4302450196,-60.4302450196,1.0,500.0,100,57.8556341747,0.00333333,-63.2058,2,5.43914e-20,57.8556341747,1.0,-63.2058,1.0,1.0,36.1953,0.00333333,1.0,0.00333333,88.92
500,,400.0,-63.5884393089,-63.5884393089,-63.5884393089,1.0,500.0,100,1334.38496252,0.0025,-63.3015,2,5.4346e-20,1334.38496252,1.0,-63.3015,1.0,1.0,36.2334,0.0025,1.0,0.0025,92.52
500,11.0077,40.5499361096,-58.688295117,-58.688295117,-58.688295117,,,100,51.8660064434,0.0760326,-57.9825,1,4.54127e-05,51.8660064434,inf,-57.9825,1.0,0.984668,25.2718,,37.4334,0.002,86.55
500,,100.0,-59.1394702229,-59.1394702229,-59.1394702229,1.0,500.0,100,61.4326134961,0.01,-59.1395,2,3.50449e-18,61.4326134961,1.0,-59.1395,1.0,1.0,7.79861,0.01,1.0,0.01,87.37
500,,200.000000102,-59.9861539428,-59.9861539428,-59.9861539428,1.0,500.0,100,62.4550219983,0.005,-59.5628,2,2.1793e-19,62.4550219983,1.0,-59.5628,1.0,1.0,7.84242,0.005,1.0,0.005,88.13
500,,299.999969474,-60.6031574431,-60.6031574431,-60.6031574431,1.0,500.0,100,67.1283756354,0.00333333,-59.9096,2,5.43914e-20,67.1283756354,1.0,-59.9096,1.0,1.0,7.96212,0.00333333,1.0,0.00333333,89.13
500,,400.0,-64.470194985,-64.470194985,-64.470194985,1.0,500.0,100,1306.15232016,0.0025,-61.0497,2,5.4346e-20,1306.15232016,1.0,-61.0497,1.0,1.0,19.3577,0.0025,1.0,0.0025,93.9
500,0.000594703,1.13317797078,-60.7389840268,-60.7389840268,-60.7389840268,,0.362894594713,100,50.0823374239,0.938777,-40.8853,1,0.00176448,50.0823374239,1377.81,-40.8853,1.0,0.00116111,28.7578,,0.54501,0.002,89.6
500,,100.0,-61.621687405,-61.621687405,-61.621687405,1.0,500.0,100,1343.41926475,0.01,-61.6217,2,3.50449e-18,1343.41926475,1.0,-61.6217,1.0,1.0,36.469,0.01,1.0,0.01,89.45
500,,200.000000102,-58.2711546789,-58.2711546789,-58.2711546789,1.0,500.0,100,44.1234994054,0.005,-59.9464,2,2.1793e-19,44.1234994054,1.0,-59.9464,1.0,1.0,26.261,0.005,1.0,0.005,85.22
500,,299.999969474,-58.2560525168,-58.2560525168,-58.2560525168,1.0,500.0,100,55.9065930251,0.00333333,-59.383,2,5.43914e-20,55.9065930251,1.0,-59.383,1.0,1.0,21.8825,0.00333333,1.0,0.00333333,85.51
500,,400.0,-59.4649340712,-59.4649340712,-59.4649340712,1.0,500.0,100,55.8084389521,0.0025,-59.4035,2,5.4346e-20,55.8084389521,1.0,-59.4035,1.0,1.0,19.3118,0.0025,1.0,0.0025,87.52
500,7.65241,34.1604729163,-57.5924517292,-57.5924517292,-57.5924517292,0.002953,,100,58.7166660033,0.111869,-57.2453,1,5.46565e-05,58.7166660033,inf,-57.2453,1.0,0.748356,21.361,7.89198e-06,41.859,0.002,84.52
500,,100.0,-57.316421923,-57.316421923,-57.316421923,1.0,500.0,100,43.3233956862,0.01,-57.3164,2,3.50449e-18,43.3233956862,1.0,-57.3164,1.0,1.0,6.54906,0.01,1.0,0.01,83.79
500,,200.000000102,-57.7833296542,-57.7833296542,-57.7833296542,1.0,500.0,100,30.0704878268,0.005,-57.5499,2,2.1793e-19,30.0704878268,1.0,-57.5499,1.0,1.0,6.03195,0.005,1.0,0.005,84.54
500,,299.999969474,-61.1037098745,-61.1037098745,-61.1037098745,1.0,500.0,100,1347.45635043,0.00333333,-58.7345,2,5.43914e-20,1347.45635043,1.0,-58.7345,1.0,1.0,21.7192,0.00333333,1.0,0.00333333,88.06
500,,400.0,-57.0466718285,-57.0466718285,-57.0466718285,1.0,500.0,100,53.2174897566,0.0025,-58.3125,2,5.4346e-20,53.2174897566,1.0,-58.3125,1.0,1.0,19.1702,0.0025,1.0,0.0025,83.5
500,3034.79,1.0,-57.8655307129,-57.8655307129,-57.8655307129,,0.0703168191583,100,59.5196789716,1.0,-41.2522,1,0.002,59.5196789716,7110.67,-41.2522,1.0,2.46365,5.15347e-09,,1231.82,0.002,84.75
500,,100.0,-61.92343684,-61.92343684,-61.92343684,1.0,500.0,100,1351.4031251,0.01,-61.9234,2,3.50449e-18,1351.4031251,1.0,-61.9234,1.0,1.0,36.5772,0.01,1.0,0.01,89.67
500,,200.000000102,-57.750614101,-57.750614101,-57.750614101,1.0,500.0,100,42.9943726824,0.005,-59.837,2,2.1793e-19,42.9943726824,1.0,-59.837,1.0,1.0,26.3549,0.005,1.0,0.005,84.4
500,,299.999969474,-61.4835278305,-61.4835278305,-61.4835278305,1.0,500.0,100,1334.94581188,0.00333333,-60.3859,2,5.43914e-20,1334.94581188,1.0,-60.3859,1.0,1.0,30.0697,0.00333333,1.0,0.00333333,89.08
500,,400.0,-58.5789855143,-58.5789855143,-58.5789855143,1.0,500.0,100,37.1184380706,0.0025,-59.9341,2,5.4346e-20,37.1184380706,1.0,-59.9341,1.0,1.0,26.2286,0.0025,1.0,0.0025,85.92
500,4.01651e-11,1.33650231247,-60.2241280712,-60.2241280712,-60.2241280712,,2.58967554369e-05,100,1340.79120035,0.856154,-50.0236,1,0.00149543,1340.79120035,1.93074e+07,-50.0236,1.0,3.27771e-07,17.0565,,0.000140311,0.002,86.87
500,,100.0,-61.433512332,-61.433512332,-61.433512332,1.0,500.0,100,1334.97329664,0.01,-61.4335,2,3.50449e-18,1334.97329664,1.0,-61.4335,1.0,1.0,36.3541,0.01,1.0,0.01,88.98
500,,200.000000102,-62.6465797907,-62.6465797907,-62.6465797907,1.0,500.0,100,1331.49733147,0.005,-62.04,2,2.1793e-19,1331.49733147,1.0,-62.04,1.0,1.0,36.3355,0.005,1.0,0.005,90.61
500,,299.999969474,-61.8687789807,-61.8687789807,-61.8687789807,1.0,500.0,100,1346.36287826,0.00333333,-61.983,2,5.43914e-20,1346.36287826,1.0,-61.983,1.0,1.0,36.3935,0.00333333,1.0,0.00333333,89.59
500,,400.0,-57.9237080845,-57.9237080845,-57.9237080845,1.0,500.0,100,44.931637217,0.0025,-60.9681,2,5.4346e-20,44.931637217,1.0,-60.9681,1.0,1.0,31.7423,0.0025,1.0,0.0025,84.84
500,7.46136e+14,1.88757865778,-69.0361073987,-69.0361073987,-69.0361073987,,,100,3836.76314212,0.622023,-56.5025,1,0.00105767,3836.76314212,inf,-56.5025,1.0,1.67982e+06,44.5813,,5.22444e+08,0.002,97.88
500,,100.0,-59.5790610011,-59.5790610011,-59.5790610011,1.0,500.0,100,38.1189231994,0.01,-59.5791,2,3.50449e-18,38.1189231994,1.0,-59.5791,1.0,1.0,6.1431,0.01,1.0,0.01,87.52
500,,200.000000102,-58.1573648115,-58.1573648115,-58.1573648115,1.0,500.0,100,57.7497975865,0.005,-58.8682,2,2.1793e-19,57.7497975865,1.0,-58.8682,1.0,1.0,6.92534,0.005,1.0,0.005,85.44
500,,299.999969474,-58.3688575618,-58.3688575618,-58.3688575618,1.0,500.0,100,48.5757425772,0.00333333,-58.7018,2,5.43914e-20,48.5757425772,1.0,-58.7018,1.0,1.0,6.93246,0.00333333,1.0,0.00333333,85.97
500,,400.0,-61.5525192204,-61.5525192204,-61.5525192204,1.0,500.0,100,1336.91139529,0.0025,-59.4144,2,5.4346e-20,1336.91139529,1.0,-59.4144,1.0,1.0,19.1951,0.0025,1.0,0.0025,89.34
500,7.99929e-22,1.0,-57.3436273895,-57.3436273895,-57.3436273895,,0.0936699169091,100,43.3053726452,1.0,-50.1868,1,0.002,43.3053726452,5337.89,-50.1868,1.0,1.26485e-12,,,6.32427e-10,0.002,83.99
500,,100.0,-57.867479101,-57.867479101,-57.867479101,1.0,500.0,100,45.1073249017,0.01,-57.8675,2,3.50449e-18,45.1073249017,1.0,-57.8675,1.0,1.0,6.68253,0.01,1.0,0.01,85.27
500,,200.000000102,-61.4235927694,-61.4235927694,-61.4235927694,1.0,500.0,100,1351.93241591,0.005,-59.6455,2,2.1793e-19,1351.93241591,1.0,-59.6455,1.0,1.0,26.3571,0.005,1.0,0.005,89.22
500,,299.999969474,-57.3793320477,-57.3793320477,-57.3793320477,1.0,500.0,100,36.134336542,0.00333333,-58.8901,2,5.43914e-20,36.134336542,1.0,-58.8901,1.0,1.0,21.8219,0.00333333,1.0,0.00333333,84.15
500,,400.0,-61.061171208,-61.061171208,-61.061171208,1.0,500.0,100,1349.8024169,0.0025,-59.4329,2,5.4346e-20,1349.8024169,1.0,-59.4329,1.0,1.0,26.3079,0.0025,1.0,0.0025,88.11
500,0.27768,375.729769484,-58.3862533773,-58.3862533773,-58.3862533773,0.626841,,100,44.7545299815,0.0139204,-58.9499,1,1.32563e-06,44.7545299815,inf,-58.9499,1.0,0.91536,17.6825,0.0013696,6.37109,0.002,85.63
500,,100.0,-61.9203883743,-61.9203883743,-61.9203883743,1.0,500.0,100,1339.75609958,0.01,-61.9204,2,3.50449e-18,1339.75609958,1.0,-61.9204,1.0,1.0,36.4192,0.01,1.0,0.01,89.65
500,,200.000000102,-58.0570491736,-58.0570491736,-58.0570491736,1.0,500.0,100,34.9046416278,0.005,-59.9887,2,2.1793e-19,34.9046416278,1.0,-59.9887,1.0,1.0,26.157,0.005,1.0,0.005,85.17
500,,299.999969474,-57.7647899228,-57.7647899228,-57.7647899228,1.0,500.0,100,45.3767839411,0.00333333,-59.2474,2,5.43914e-20,45.3767839411,1.0,-59.2474,1.0,1.0,21.7301,0.00333333,1.0,0.00333333,84.43
500,,400.0,-57.4464148815,-57.4464148815,-57.4464148815,1.0,500.0,100,57.670243916,0.0025,-58.7972,2,5.4346e-20,57.670243916,1.0,-58.7972,1.0,1.0,19.2102,0.0025,1.0,0.0025,84.29
500,7372.3,5.00000131167,-58.1686220695,-58.1686220695,-58.1686220695,,0.820224706726,100,52.424446075,0.2,-52.8445,1,0.000396794,52.424446075,609.589,-52.8445,1.0,8.62083,37.5395,,862.083,0.002,85.47
500,,100.0,-57.2119578689,-57.2119578689,-57.2119578689,1.0,500.0,100,64.7244422529,0.01,-57.212,2,3.50449e-18,64.7244422529,1.0,-57.212,1.0,1.0,8.00482,0.01,1.0,0.01,83.51
500,,200.000000102,-61.5692133188,-61.5692133188,-61.5692133188,1.0,500.0,100,1331.51642236,0.005,-59.3906,2,2.1793e-19,1331.51642236,1.0,-59.3906,1.0,1.0,26.3796,0.005,1.0,0.005,89.16
500,,299.999969474,-57.180875589,-57.180875589,-57.180875589,1.0,500.0,100,55.6357776656,0.00333333,-58.654,2,5.43914e-20,55.6357776656,1.0,-58.654,1.0,1.0,21.9856,0.00333333,1.0,0.00333333,83.28
500,,400.0,-62.6840710491,-62.6840710491,-62.6840710491,1.0,500.0,100,1344.06790843,0.0025,-59.6615,2,5.4346e-20,1344.06790843,1.0,-59.6615,1.0,1.0,26.424,0.0025,1.0,0.0025,90.78
500,,500.000006643,-61.9054543765,-61.9054543765,-61.9054543765,1.0,500.0,100,1342.82127682,0.002,-60.1103,1,5.43187e-20,1342.82127682,1.0,-60.1103,1.0,1.0,28.7275,0.002,1.0,0.002,89.43
500,,100.0,-62.2767655832,-62.2767655832,-62.2767655832,1.0,500.0,100,1330.20592636,0.01,-62.2768,2,3.50449e-18,1330.20592636,1.0,-62.2768,1.0,1.0,36.2892,0.01,1.0,0.01,90.03
500,,200.000000102,-58.4134398855,-58.4134398855,-58.4134398855,1.0,500.0,100,60.7355141935,0.005,-60.3451,2,2.1793e-19,60.7355141935,1.0,-60.3451,1.0,1.0,26.3106,0.005,1.0,0.005,85.73
500,,299.999969474,-57.6810396115,-57.6810396115,-57.6810396115,1.0,500.0,100,55.8712221994,0.00333333,-59.4571,2,5.43914e-20,55.8712221994,1.0,-59.4571,1.0,1.0,21.9434,0.00333333,1.0,0.00333333,84.32
500,,400.0,-62.1234418708,-62.1234418708,-62.1234418708,1.0,500.0,100,1340.60012926,0.0025,-60.1237,2,5.4346e-20,1340.60012926,1.0,-60.1237,1.0,1.0,26.3489,0.0025,1.0,0.0025,89.78
500,,500.000006643,-61.7390987048,-61.7390987048,-61.7390987048,1.0,500.0,100,1350.44714753,0.002,-60.4468,1,5.43187e-20,1350.44714753,1.0,-60.4468,1.0,1.0,28.6918,0.002,1.0,0.002,89.37
500,,100.0,-61.4574256998,-61.4574256998,-61.4574256998,1.0,500.0,100,1336.07233211,0.01,-61.4574,2,3.50449e-18,1336.07233211,1.0,-61.4574,1.0,1.0,36.3691,0.01,1.0,0.01,88.59
500,,200.000000102,-59.2998234536,-59.2998234536,-59.2998234536,1.0,500.0,100,55.1081791878,0.005,-60.3786,2,2.1793e-19,55.1081791878,1.0,-60.3786,1.0,1.0,26.264,0.005,1.0,0.005,87.61
500,,299.999969474,-57.5636910971,-57.5636910971,-57.5636910971,1.0,500.0,100,45.2333487115,0.00333333,-59.4403,2,5.43914e-20,45.2333487115,1.0,-59.4403,1.0,1.0,21.8301,0.00333333,1.0,0.00333333,84.31
500,,400.0,-61.5100290531,-61.5100290531,-61.5100290531,1.0,500.0,100,1344.88756809,0.0025,-59.9577,2,5.4346e-20,1344.88756809,1.0,-59.9577,1.0,1.0,26.2884,0.0025,1.0,0.0025,88.79
500,,500.000006643,-57.6948203489,-57.6948203489,-57.6948203489,1.0,500.0,100,47.3894716913,0.002,-59.5052,1,5.43187e-20,47.3894716913,1.0,-59.5052,1.0,1.0,23.729,0.002,1.0,0.002,84.41
500,,100.0,-62.8888171315,-62.8888171315,-62.8888171315,1.0,500.0,100,1325.92438292,0.01,-62.8888,2,3.50449e-18,1325.92438292,1.0,-62.8888,1.0,1.0,36.2307,0.01,1.0,0.01,91.63
500,,200.000000102,-58.8733433628,-58.8733433628,-58.8733433628,1.0,500.0,100,52.1169911039,0.005,-60.8811,2,2.1793e-19,52.1169911039,1.0,-60.8811,1.0,1.0,26.1947,0.005,1.0,0.005,86.51
500,,299.999969474,-56.8232263966,-56.8232263966,-56.8232263966,1.0,500.0,100,58.7983673001,0.00333333,-59.5285,2,5.43914e-20,58.7983673001,1.0,-59.5285,1.0,1.0,21.9204,0.00333333,1.0,0.00333333,82.93
500,,400.0,-61.6094771767,-61.6094771767,-61.6094771767,1.0,500.0,100,1342.80276049,0.0025,-60.0487,2,5.4346e-20,1342.80276049,1.0,-60.0487,1.0,1.0,26.335,0.0025,1.0,0.0025,88.88
500,,500.000006643,-58.2063970491,-58.2063970491,-58.2063970491,1.0,500.0,100,51.0806140323,0.002,-59.6802,1,5.43187e-20,51.0806140323,1.0,-59.6802,1.0,1.0,23.7799,0.002,1.0,0.002,85.43
500,,100.0,-58.2431890263,-58.2431890263,-58.2431890263,1.0,500.0,100,51.0431015785,0.01,-58.2432,2,3.50449e-18,51.0431015785,1.0,-58.2432,1.0,1.0,7.10863,0.01,1.0,0.01,85.05
500,,200.000000102,-61.0338193963,-61.0338193963,-61.0338193963,1.0,500.0,100,1347.13928572,0.005,-59.6385,2,2.1793e-19,1347.13928572,1.0,-59.6385,1.0,1.0,26.3448,0.005,1.0,0.005,88.46
500,,299.999969474,-69.8477058849,-69.8477058849,-69.8477058849,1.0,500.0,100,3809.087758,0.00333333,-63.0416,2,5.43914e-20,3809.087758,1.0,-63.0416,1.0,1.0,41.7476,0.00333333,1.0,0.00333333,99.45
500,,400.0,-57.3184755622,-57.3184755622,-57.3184755622,1.0,500.0,100,47.1483505858,0.0025,-61.6108,2,5.4346e-20,47.1483505858,1.0,-61.6108,1.0,1.0,36.3999,0.0025,1.0,0.0025,84.18
500,,500.000006643,-57.7553160775,-57.7553160775,-57.7553160775,1.0,500.0,100,55.0529519875,0.002,-60.8397,1,5.43187e-20,55.0529519875,1.0,-60.8397,1.0,1.0,32.7604,0.002,1.0,0.002,85.27
500,,100.0,-58.4801477417,-58.4801477417,-58.4801477417,1.0,500.0,100,61.6474546264,0.01,-58.4801,2,3.50449e-18,61.6474546264,1.0,-58.4801,1.0,1.0,7.81223,0.01,1.0,0.01,86.15
500,,200.000000102,-58.4630105962,-58.4630105962,-58.4630105962,1.0,500.0,100,46.6748533367,0.005,-58.4716,2,2.1793e-19,46.6748533367,1.0,-58.4716,1.0,1.0,7.32254,0.005,1.0,0.005,86.06
500,,299.999969474,-65.1363187593,-65.1363187593,-65.1363187593,1.0,500.0,100,2602.12096974,0.00333333,-60.6932,2,5.43914e-20,2602.12096974,1.0,-60.6932,1.0,1.0,30.0719,0.00333333,1.0,0.00333333,93.26
500,,400.0,-57.556528226,-57.556528226,-57.556528226,1.0,500.0,100,51.1128576651,0.0025,-59.909,2,5.4346e-20,51.1128576651,1.0,-59.909,1.0,1.0,26.3198,0.0025,1.0,0.0025,84.2
500,,500.000006643,-62.6152219208,-62.6152219208,-62.6152219208,1.0,500.0,100,1353.25557349,0.002,-60.4503,1,5.43187e-20,1353.25557349,1.0,-60.4503,1.0,1.0,28.6933,0.002,1.0,0.002,91.03
500,,100.0,-59.6080085267,-59.6080085267,-59.6080085267,1.0,500.0,100,1351.0614917,0.01,-59.608,2,3.50449e-18,1351.0614917,1.0,-59.608,1.0,1.0,36.5725,0.01,1.0,0.01,85.89
500,,200.000000102,-61.1388779439,-61.1388779439,-61.1388779439,1.0,500.0,100,1342.91271655,0.005,-60.3734,2,2.1793e-19,1342.91271655,1.0,-60.3734,1.0,1.0,36.5254,0.005,1.0,0.005,88.33
500,,299.999969474,-63.0874791937,-63.0874791937,-63.0874791937,1.0,500.0,100,1347.53518002,0.00333333,-61.2781,2,5.43914e-20,1347.53518002,1.0,-61.2781,1.0,1.0,36.5476,0.00333333,1.0,0.00333333,91.62
500,,400.0,-61.5237039095,-61.5237039095,-61.5237039095,1.0,500.0,100,1345.26713879,0.0025,-61.3395,2,5.4346e-20,1345.26713879,1.0,-61.3395,1.0,1.0,36.5344,0.0025,1.0,0.0025,89.39
500,,500.000006643,-62.324270528,-62.324270528,-62.324270528,1.0,500.0,100,1344.50536536,0.002,-61.5365,1,5.43187e-20,1344.50536536,1.0,-61.5365,1.0,1.0,36.5264,0.002,1.0,0.002,90.7
500,,100.0,-60.1085575829,-60.1085575829,-60.1085575829,1.0,500.0,100,1347.1364978,0.01,-60.1086,2,3.50449e-18,1347.1364978,1.0,-60.1086,1.0,1.0,36.5194,0.01,1.0,0.01,86.66
500,,200.000000102,-58.4830506225,-58.4830506225,-58.4830506225,1.0,500.0,100,42.9662062403,0.005,-59.2958,2,2.1793e-19,42.9662062403,1.0,-59.2958,1.0,1.0,26.2443,0.005,1.0,0.005,85.62
500,,299.999969474,-63.0874874254,-63.0874874254,-63.0874874254,1.0,500.0,100,1346.16562701,0.00333333,-60.5597,2,5.43914e-20,1346.16562701,1.0,-60.5597,1.0,1.0,30.1099,0.00333333,1.0,0.00333333,91.71
500,,400.0,-72.7011489022,-72.7011489022,-72.7011489022,1.0,500.0,100,5036.43580847,0.0025,-63.5951,2,5.4346e-20,5036.43580847,1.0,-63.5951,1.0,1.0,44.2053,0.0025,1.0,0.0025,102.35
500,,500.000006643,-61.7874230433,-61.7874230433,-61.7874230433,1.0,500.0,100,1339.91785849,0.002,-63.2335,1,5.43187e-20,1339.91785849,1.0,-63.2335,1.0,1.0,42.7682,0.002,1.0,0.002,89.75
500,,100.0,-60.7431480016,-60.7431480016,-60.7431480016,1.0,500.0,100,1345.34169181,0.01,-60.7431,2,3.50449e-18,1345.34169181,1.0,-60.7431,1.0,1.0,36.495,0.01,1.0,0.01,87.62
500,,200.000000102,-61.8352742729,-61.8352742729,-61.8352742729,1.0,500.0,100,1337.20157119,0.005,-61.2892,2,2.1793e-19,1337.20157119,1.0,-61.2892,1.0,1.0,36.4439,0.005,1.0,0.005,89.75
500,,299.999969474,-58.265826657,-58.265826657,-58.265826657,1.0,500.0,100,40.8201467333,0.00333333,-60.2814,2,5.43914e-20,40.8201467333,1.0,-60.2814,1.0,1.0,30.0157,0.00333333,1.0,0.00333333,85.44
500,,400.0,-57.9525043853,-57.9525043853,-57.9525043853,1.0,500.0,100,43.039766672,0.0025,-59.6992,2,5.4346e-20,43.039766672,1.0,-59.6992,1.0,1.0,26.2178,0.0025,1.0,0.0025,85.22
500,,500.000006643,-61.0809328751,-61.0809328751,-61.0809328751,1.0,500.0,100,1345.36483408,0.002,-59.9755,1,5.43187e-20,1345.36483408,1.0,-59.9755,1.0,1.0,28.576,0.002,1.0,0.002,88.55
500,,100.0,-58.1088981868,-58.1088981868,-58.1088981868,1.0,500.0,100,53.8853290126,0.01,-58.1089,2,3.50449e-18,53.8853290126,1.0,-58.1089,1.0,1.0,7.30387,0.01,1.0,0.01,85.48
500,,200.000000102,-58.9311706957,-58.9311706957,-58.9311706957,1.0,500.0,100,57.8932177383,0.005,-58.52,2,2.1793e-19,57.8932177383,1.0,-58.52,1.0,1.0,7.44979,0.005,1.0,0.005,86.33
