eRenyi2,VarVanillaIw,VarNormIw,AvgNormIw,AvgVanillaIw,BatchSize,MinVanillaIw,J,EpsThisIter,VarJ,AvgEpLen,ESSClassic,IterType,VarDiscRet,Delta,AvgRet,MaxVanillaIw,Bound,VarRet,AvgDiscRet,VanillaAvgRet,MinNormIw,MaxNormIw,ESSRenyi
1.0,,2.1793e-19,0.005,1.0,500,1.0,4475.46,100,488.276,481.53,200.000000102,2,264756.706613,0.1,4451.6688454,1.0,3483.01,264756.706613,4451.6688454,4451.6688454,0.005,0.005,500.0
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,4469.93,100,491.322,481.61,299.999969474,2,249679.88789,0.1,4458.88388591,1.0,3659.61,249679.88789,4458.88388591,4458.88388591,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,4467.09,100,497.793,481.49,400.0,2,269598.295498,0.1,4458.57167872,1.0,3765.33,269598.295498,4458.57167872,4458.57167872,0.0025,0.0025,500.0
1.06669,0.0655105,2.63977e-07,0.002,0.996328,500,0.19127,4525.31,100,362.675,487.9,469.103641605,1,198592.808698,0.1,4524.85728155,1.7813,3877.04,198592.808698,4524.85728155,4524.85728155,0.00038395,0.00357574,468.740022255
1.0,,3.50449e-18,0.01,1.0,500,1.0,4485.51,100,465.661,483.67,100.0,2,219030.477359,0.1,4485.50890119,1.0,3081.9,219030.477359,4485.50890119,4485.50890119,0.01,0.01,500.0
1.0,,2.1793e-19,0.005,1.0,500,1.0,4483.93,100,449.696,484.07,200.000000102,2,189502.480213,0.1,4482.34205259,1.0,3491.42,189502.480213,4482.34205259,4482.34205259,0.005,0.005,500.0
1.0,,5.43914e-20,0.00333333,1.0,500,1.0,4474.8,100,502.38,480.83,299.999969474,2,355761.288845,0.1,4456.54143684,1.0,3664.42,355761.288845,4456.54143684,4456.54143684,0.00333333,0.00333333,500.0
1.0,,5.4346e-20,0.0025,1.0,500,1.0,4491.95,100,476.027,490.85,400.0,2,147191.964042,0.1,4543.39296949,1.0,3790.14,147191.964042,4543.39296949,4543.39296949,0.0025,0.0025,500.0
1.07161,0.0747503,2.96073e-07,0.002,1.00493,500,0.188761,4541.22,100,318.769,484.03,465.605485654,1,327331.537391,0.1,4481.26416142,1.60254,3891.41,327331.537391,4481.26416142,4481.26416142,0.000375669,0.00318934,466.586267762
1.0,,3.50449e-18,0.01,1.0,500,1.0,4482.48,100,468.184,484.12,100.0,2,221410.329134,0.1,4482.48435761,1.0,3080.33,221410.329134,4482.48435761,4482.48435761,0.01,0.01,500.0
1.0,,2.1793e-19,0.005,1.0,500,1.0,4511.06,100,414.813,490.2,200.000000102,2,124555.215806,0.1,4539.63608331,1.0,3518.95,124555.215806,4539.63608331,4539.63608331,0.005,0.005,500.0
