EpsThisIter,VarNormIw,AvgVanillaIw,renyi2,VarJ,MaxVanillaIw,SamplesThisIter,Bound,MaxNormIw,AvgDiscRet,ESSRenyi,VarDiscRet,VarRet,IterType,delta,AvgEpLen,MinVanillaIw,VanillaAvgRet,ESSClassic,BatchSize,AvgRet,VarVanillaIw,AvgNormIw,J,MinNormIw
112,1.4933e-09,0.960959,nan,3282.84,4.43813,50000,4573.08,0.000229089,4462.44138911,nan,1752741.80599,1752741.80599,1,0.6,446.428571429,2.23059e-11,4462.44138911,2.68557509341,100,4462.44138911,0.560453,4.96032e-05,890488.0,1.15139e-15
120,2.22362e-09,0.875837,nan,3163.28,7.91316,50000,4578.84,0.000418286,4164.42369337,nan,2782267.71918,2782267.71918,1,0.6,416.666666667,5.39148e-25,4164.42369337,2.1588399669,100,4164.42369337,0.795818,4.62963e-05,891825.0,2.84991e-29
142,2.98771e-09,1.18773,nan,6648.59,14.8687,50000,4567.45,0.000489775,3517.39846531,nan,4910138.23885,4910138.23885,1,0.6,352.112676056,,3517.39846531,3.07168959736,100,3517.39846531,2.75355,3.91236e-05,883601.0,
120,2.43086e-09,1.10272,nan,4817.43,7.24292,50000,4554.27,0.000304084,4163.48672829,nan,2548421.23346,2548421.23346,1,0.6,416.666666667,6.16615e-34,4163.48672829,2.2226563151,100,4163.48672829,1.37911,4.62963e-05,884687.0,2.58877e-38
117,1.85095e-09,0.895017,nan,3801.82,5.41267,50000,4578.71,0.000287159,4271.44662699,nan,2471590.15904,2471590.15904,1,0.6,427.35042735,2.92712e-37,4271.44662699,1.97391368904,100,4271.44662699,0.657618,4.74834e-05,890680.0,1.55292e-41
111,1.31808e-09,0.997808,nan,3901.72,4.33053,50000,4584.75,0.000217219,4502.84557507,nan,2045305.32395,2045305.32395,1,0.6,450.45045045,1.21469e-16,4502.84557507,1.89875000636,100,4502.84557507,0.523872,5.00501e-05,891054.0,6.09288e-21
118,2.11983e-09,1.01701,nan,4966.14,7.23233,50000,4574.02,0.000334809,4235.14495869,nan,2462415.37935,2462415.37935,1,0.6,423.728813559,,4235.14495869,2.46887019054,100,4235.14495869,0.989157,4.7081e-05,886982.0,
113,1.71985e-09,0.973863,nan,4703.62,6.30734,50000,4564.19,0.000318418,4422.56661258,nan,1974052.84786,1974052.84786,1,0.6,442.477876106,7.95985e-14,4422.56661258,1.86285322186,100,4422.56661258,0.674821,4.91642e-05,886705.0,4.01843e-18
112,1.67582e-09,0.932413,nan,3815.84,4.71632,50000,4562.66,0.000250902,4462.11270881,nan,1586028.9157,1586028.9157,1,0.6,446.428571429,6.09932e-11,4462.11270881,1.82822472891,100,4462.11270881,0.592142,4.96032e-05,888339.0,3.24476e-15
118,2.18367e-09,1.00366,nan,4488.22,10.3142,50000,4570.04,0.00048383,4234.72755331,nan,2689521.70128,2689521.70128,1,0.6,423.728813559,,4234.72755331,2.16501615341,100,4234.72755331,0.992362,4.7081e-05,888146.0,
