MaxVanillaIw,VarDiscRet,MaxNormIw,VarVanillaIw,AvgVanillaIw,AvgDiscRet,AvgRet,AvgNormIw,VarJ,J,MinVanillaIw,VanillaAvgRet,VarNormIw,Bound,VarRet,BatchSize,MinNormIw,eRenyi2,AvgEpLen,ESSClassic,ESSRenyi
3.1534462,676056.9341948234,0.030813135,0.34462273,1.0234097,4361.036532734347,4361.036532734347,0.01,683.12573,4500.404,0.0011682797,4361.036532734347,3.2903707e-05,4016.3916,676056.9341948234,100,1.1415562e-05,1.3229399,436.75,75.42919179527127,75.58922522514729
39.75193,517675.4920914895,0.26254064,16.251453,1.5141248,4302.184815578351,4302.184815578351,0.01,1180.8685,4498.118,0.24409132,4302.184815578351,0.00070887373,3969.051,517675.4920914895,100,0.0016120952,1.5806967,430.95,12.472170110071367,63.26324327320568
5.7656584,813702.3981204804,0.057168845,0.574446,1.0085316,4395.291029734363,4395.291029734363,0.01,707.0612,4557.931,0.051247258,4395.291029734363,5.6476816e-05,4064.5208,813702.3981204804,100,0.0005081374,1.3748127,440.1,64.13871153444849,72.73717967894082
3.1414099,448431.4766806312,0.03306699,0.86263615,0.9500138,4350.516798590118,4350.516798590118,0.01,734.5312,4595.973,3.1559994e-06,4350.516798590118,9.5580195e-05,4025.2031,448431.4766806312,100,3.3220562e-08,1.8397098,435.76,51.38102159802907,54.35640025494077
2.6660316,678036.3713917526,0.028922495,0.5234987,0.9217848,4429.715163647001,4429.715163647001,0.01,683.00916,4599.9,0.002617219,4429.715163647001,6.161076e-05,4075.687,678036.3713917526,100,2.839295e-05,1.5518266,443.55,62.113875477982276,64.44018954244099
2.284587,354017.4581705259,0.022661919,0.1786597,1.0081172,4501.127514353417,4501.127514353417,0.01,581.05634,4568.921,0.30452895,4501.127514353417,1.7579425e-05,4114.088,354017.4581705259,100,0.0030207695,1.1682372,450.78,85.17622491189775,85.59905402961913
2.9797683,515252.25880539435,0.02973119,0.2088693,1.0022365,4433.160224205004,4433.160224205004,0.010000002,706.4163,4512.581,0.23601002,4433.160224205004,2.0793816e-05,4048.9924,515252.25880539435,100,0.0023548335,1.213652,443.96,82.92843761931023,82.39594116444687
2.785587,591411.0258518618,0.027944742,0.11191948,0.99681973,4337.879562803838,4337.879562803838,0.01,731.78705,4386.9688,0.6766001,4337.879562803838,1.1263475e-05,3942.3674,591411.0258518618,100,0.006787587,1.1162679,434.55,89.96779984232606,89.58422816734932
3.3822048,563870.9767048805,0.031883106,0.2611902,1.060814,4457.839444339956,4457.839444339956,0.01,613.83105,4559.7637,0.18899941,4457.839444339956,2.3210167e-05,4098.8525,563870.9767048805,100,0.0017816451,1.1996716,446.47,81.31530713454208,83.35614331885041
6.477441,988093.8950775174,0.06770367,1.418479,0.95673406,4277.185741902488,4277.185741902488,0.01,743.34656,4562.8467,7.980175e-06,4277.185741902488,0.00015496743,3917.6567,988093.8950775174,100,8.341058e-08,2.3507285,428.46,39.4605301035282,42.54000387436902
2.6282027,358182.858936152,0.025545008,0.10589617,1.0288517,4596.855593335426,4596.855593335426,0.010000002,576.32715,4630.598,0.5916475,4596.855593335426,1.00040215e-05,4192.696,358182.858936152,100,0.005750561,1.0828834,460.21,90.98850670371557,92.34604933308263
1.5696402,377105.9285696671,0.01691484,0.1337202,0.92796624,4568.166112543172,4568.166112543172,0.01,530.66486,4632.184,0.11447919,4568.166112543172,1.5528612e-05,4188.3154,377105.9285696671,100,0.0012336569,1.1125916,457.39,86.6751376341685,89.88023801322069
2.277695,399659.1472657394,0.023392491,0.28720096,0.9736864,4527.4078123451,4527.4078123451,0.01,571.7432,4622.9478,0.027589189,4527.4078123451,3.0293377e-05,4144.064,399659.1472657394,100,0.0002833478,1.295053,453.36,76.92874005997156,77.21691667989114
5.942856,663135.1724549751,0.054261163,0.6376634,1.0952319,4400.328143743421,4400.328143743421,0.01,774.1799,4529.253,0.14362147,4400.328143743421,5.3159314e-05,4051.8489,663135.1724549751,100,0.0013113339,1.2870605,440.66,65.51889145017778,77.69642535283643
2.4145014,611713.8544477352,0.024159838,0.44842753,0.9993864,4390.8541344302785,4390.8541344302785,0.01,683.82184,4558.216,0.026113067,4390.8541344302785,4.4897828e-05,4052.5505,611713.8544477352,100,0.000261291,1.4439536,439.73,69.22865726310101,69.25430131082418
4.821119,714498.3825827731,0.04516875,0.6322188,1.0673572,4424.780596389454,4424.780596389454,0.01,664.0154,4591.73,0.036221813,4424.780596389454,5.5494223e-05,4093.2927,714498.3825827731,100,0.0003393598,1.4029704,443.13,64.54142041034825,71.27733958684061
