ESSRenyi,VarRet,AvgEpLen,MinVanillaIw,Delta,AvgVanillaIw,AvgRet,Bound,J,eRenyi2,BatchSize,VarNormIw,MinNormIw,VarJ,ESSClassic,MaxNormIw,EpsThisIter,VarDiscRet,AvgDiscRet,IterType,AvgNormIw,VanillaAvgRet,MaxVanillaIw,VarVanillaIw
400.0,11701.7726354,173.36,1.0,0.9,1.0,-130.058756316,-147.951,-138.118,1.0,400,2.1793e-19,0.005,114.419,200.000000102,0.005,100,11701.7726354,-130.058756316,2,0.005,-130.058756316,1.0,
400.0,14982.0272679,186.3,1.0,0.9,1.0,-141.887550082,-147.403,-139.375,1.0,400,5.43914e-20,0.00333333,116.94,299.999969474,0.00333333,100,14982.0272679,-141.887550082,2,0.00333333,-141.887550082,1.0,
432990.748445,9881.02465048,175.88,0.032369,0.9,inf,-130.40506686,nan,nan,0.00115476,500,nan,nan,nan,nan,nan,100,6509.52696749,-110.806805293,,nan,-130.40506686,inf,nan
24.9939194213,9191.54030008,178.28,,0.9,1.03986,-130.781520339,-115.364,-87.5511,20.0049,500,8.47115e-05,,92.4598,22.588127432,0.075206,100,9191.54030008,-130.781520339,1,0.002,-130.781520339,39.102,22.9
500.0,14011.4738964,185.56,1.0,0.9,1.0,-140.27345652,-154.178,-140.273,1.0,500,3.50449e-18,0.01,117.777,100.0,0.01,100,14011.4738964,-140.27345652,2,0.01,-140.27345652,1.0,
500.0,18991.9652346,217.18,1.0,0.9,1.0,-168.011133489,-163.974,-154.142,1.0,500,2.1793e-19,0.005,128.565,200.000000102,0.005,100,18991.9652346,-168.011133489,2,0.005,-168.011133489,1.0,
500.0,17597.4336731,212.61,1.0,0.9,1.0,-163.504621693,-165.291,-157.263,1.0,500,5.43914e-20,0.00333333,129.792,299.999969474,0.00333333,100,17597.4336731,-163.504621693,2,0.00333333,-163.504621693,1.0,
500.0,10155.8081884,163.29,1.0,0.9,1.0,-121.500620283,-155.275,-148.322,1.0,500,5.4346e-20,0.0025,124.048,400.0,0.0025,100,10155.8081884,-121.500620283,2,0.0025,-121.500620283,1.0,
26.3924859381,15506.1061553,191.67,,0.9,1.29605,-146.010552499,-121.975,-94.9093,18.9448,500,6.17042e-05,,98.2188,30.4967545125,0.0621757,100,15506.1061553,-146.010552499,1,0.002,-146.010552499,40.2912,25.9116
500.0,8220.7971083,159.97,1.0,0.9,1.0,-118.047939466,-131.953,-118.048,1.0,500,3.50449e-18,0.01,90.2141,100.0,0.01,100,8220.7971083,-118.047939466,2,0.01,-118.047939466,1.0,
500.0,9363.80585436,161.78,1.0,0.9,1.0,-119.833474809,-128.773,-118.941,1.0,500,2.1793e-19,0.005,93.3015,200.000000102,0.005,100,9363.80585436,-119.833474809,2,0.005,-119.833474809,1.0,
500.0,12609.046297,175.08,1.0,0.9,1.0,-131.705245555,-131.223,-123.196,1.0,500,5.43914e-20,0.00333333,100.003,299.999969474,0.00333333,100,12609.046297,-131.705245555,2,0.00333333,-131.705245555,1.0,
500.0,9052.03788693,167.01,1.0,0.9,1.0,-124.072445016,-130.367,-123.415,1.0,500,5.4346e-20,0.0025,98.6965,400.0,0.0025,100,9052.03788693,-124.072445016,2,0.0025,-124.072445016,1.0,
65.4929097587,7543.26206777,157.38,7.78197e-19,0.9,0.899931,-116.116423764,-117.018,-99.8367,7.63441,500,2.99357e-05,1.72946e-21,130.197,59.0390743004,0.0512234,100,7543.26206777,-116.116423764,1,0.002,-116.116423764,23.0487,6.06105
500.0,9207.98039935,163.76,1.0,0.9,1.0,-121.134855035,-135.04,-121.135,1.0,500,3.50449e-18,0.01,95.4772,100.0,0.01,100,9207.98039935,-121.134855035,2,0.01,-121.134855035,1.0,
500.0,12617.7029772,175.91,1.0,0.9,1.0,-132.62145548,-136.71,-126.878,1.0,500,2.1793e-19,0.005,104.099,200.000000102,0.005,100,12617.7029772,-132.62145548,2,0.005,-132.62145548,1.0,
500.0,7356.28143598,155.73,1.0,0.9,1.0,-114.77821397,-130.873,-122.845,1.0,500,5.43914e-20,0.00333333,98.4102,299.999969474,0.00333333,100,7356.28143598,-114.77821397,2,0.00333333,-114.77821397,1.0,
500.0,8155.88237315,164.73,1.0,0.9,1.0,-121.846349258,-129.548,-122.595,1.0,500,5.4346e-20,0.0025,96.3442,400.0,0.0025,100,8155.88237315,-121.846349258,2,0.0025,-121.846349258,1.0,
97.9075813818,11019.505032,166.41,2.65436e-05,0.9,1.19802,-124.578646732,-119.261,-105.208,5.10686,500,1.62995e-05,4.43124e-08,106.023,98.6828307516,0.0432212,100,11019.505032,-124.578646732,1,0.002,-124.578646732,25.89,5.8485
500.0,9997.70781298,167.33,1.0,0.9,1.0,-124.4478687,-138.353,-124.448,1.0,500,3.50449e-18,0.01,99.4873,100.0,0.01,100,9997.70781298,-124.4478687,2,0.01,-124.4478687,1.0,
500.0,11069.6266694,168.23,1.0,0.9,1.0,-126.114520416,-135.113,-125.281,1.0,500,2.1793e-19,0.005,102.123,200.000000102,0.005,100,11069.6266694,-126.114520416,2,0.005,-126.114520416,1.0,
500.0,16388.6716068,204.25,1.0,0.9,1.0,-156.471514645,-143.706,-135.678,1.0,500,5.43914e-20,0.00333333,112.148,299.999969474,0.00333333,100,16388.6716068,-156.471514645,2,0.00333333,-156.471514645,1.0,
500.0,10895.6757649,169.02,1.0,0.9,1.0,-126.117722177,-140.24,-133.288,1.0,500,5.4346e-20,0.0025,110.212,400.0,0.0025,100,10895.6757649,-126.117722177,2,0.0025,-126.117722177,1.0,
36.7249504433,6462.69747007,150.94,3.55313e-23,0.9,0.96838,-110.158848025,-117.245,-94.3002,13.6147,500,5.24507e-05,7.3383e-26,78.5368,35.4951136282,0.0630025,100,6462.69747007,-110.158848025,1,0.002,-110.158848025,30.5052,12.2965
500.0,6546.42936754,154.11,1.0,0.9,1.0,-112.924105806,-126.829,-112.924,1.0,500,3.50449e-18,0.01,80.5044,100.0,0.01,100,6546.42936754,-112.924105806,2,0.01,-112.924105806,1.0,
500.0,10823.1290268,174.67,1.0,0.9,1.0,-130.350770743,-131.47,-121.637,1.0,500,2.1793e-19,0.005,93.1335,200.000000102,0.005,100,10823.1290268,-130.350770743,2,0.005,-130.350770743,1.0,
500.0,4601.22566926,149.0,1.0,0.9,1.0,-107.496049286,-124.952,-116.924,1.0,500,5.43914e-20,0.00333333,85.7054,299.999969474,0.00333333,100,4601.22566926,-107.496049286,2,0.00333333,-107.496049286,1.0,
500.0,7259.87024642,160.82,1.0,0.9,1.0,-118.018796117,-124.15,-117.197,1.0,500,5.4346e-20,0.0025,85.4757,400.0,0.0025,100,7259.87024642,-118.018796117,2,0.0025,-118.018796117,1.0,
92.7470763128,8396.46678363,156.38,8.13437e-10,0.9,1.06105,-115.041610574,-114.485,-100.046,5.39101,500,1.72659e-05,1.53326e-12,84.1662,94.2004235084,0.0250243,100,8396.46678363,-115.041610574,1,0.002,-115.041610574,13.2761,4.85964
500.0,9111.21292556,164.03,1.0,0.9,1.0,-121.30445433,-135.209,-121.304,1.0,500,3.50449e-18,0.01,94.9742,100.0,0.01,100,9111.21292556,-121.30445433,2,0.01,-121.30445433,1.0,
500.0,3494.41706029,142.64,1.0,0.9,1.0,-102.7612772,-121.865,-112.033,1.0,500,2.1793e-19,0.005,79.5346,200.000000102,0.005,100,3494.41706029,-102.7612772,2,0.005,-102.7612772,1.0,
500.0,12348.8149999,181.96,1.0,0.9,1.0,-137.033467048,-128.394,-120.366,1.0,500,5.43914e-20,0.00333333,91.8214,299.999969474,0.00333333,100,12348.8149999,-137.033467048,2,0.00333333,-137.033467048,1.0,
500.0,12508.6879125,176.19,1.0,0.9,1.0,-132.868596776,-130.444,-123.492,1.0,500,5.4346e-20,0.0025,97.2038,400.0,0.0025,100,12508.6879125,-132.868596776,2,0.0025,-132.868596776,1.0,
117.80390784,9139.8654232,163.33,7.73595e-05,0.9,1.0618,-121.248184708,-121.142,-108.331,4.24434,500,1.45175e-05,1.45714e-07,100.094,108.175532609,0.0590632,100,9139.8654232,-121.248184708,1,0.002,-121.248184708,31.3566,4.09181
500.0,9018.84898004,166.02,1.0,0.9,1.0,-123.22938402,-137.134,-123.229,1.0,500,3.50449e-18,0.01,94.4916,100.0,0.01,100,9018.84898004,-123.22938402,2,0.01,-123.22938402,1.0,
500.0,6479.58991343,153.87,1.0,0.9,1.0,-113.047771826,-127.971,-118.139,1.0,500,2.1793e-19,0.005,87.7362,200.000000102,0.005,100,6479.58991343,-113.047771826,2,0.005,-113.047771826,1.0,
500.0,8419.54535177,153.91,1.0,0.9,1.0,-113.243031524,-124.535,-116.507,1.0,500,5.43914e-20,0.00333333,88.9693,299.999969474,0.00333333,100,8419.54535177,-113.243031524,2,0.00333333,-113.243031524,1.0,
500.0,9248.00395215,164.08,1.0,0.9,1.0,-122.001766624,-124.833,-117.88,1.0,500,5.4346e-20,0.0025,90.7259,400.0,0.0025,100,9248.00395215,-122.001766624,2,0.0025,-122.001766624,1.0,
98.0397125087,9031.74623197,168.37,4.55465e-27,0.9,1.17567,-124.957728227,-114.981,-100.938,5.09997,500,1.31458e-05,7.74817e-30,101.098,116.825922252,0.0189722,100,9031.74623197,-124.957728227,1,0.002,-124.957728227,11.1526,4.54254
500.0,11779.7096131,174.66,1.0,0.9,1.0,-130.474700386,-144.379,-130.475,1.0,500,3.50449e-18,0.01,107.99,100.0,0.01,100,11779.7096131,-130.474700386,2,0.01,-130.474700386,1.0,
500.0,16330.9706858,193.63,1.0,0.9,1.0,-147.978162385,-149.059,-139.226,1.0,500,2.1793e-19,0.005,118.285,200.000000102,0.005,100,16330.9706858,-147.978162385,2,0.005,-147.978162385,1.0,
500.0,10868.670983,169.95,1.0,0.9,1.0,-127.086345946,-143.208,-135.18,1.0,500,5.43914e-20,0.00333333,113.785,299.999969474,0.00333333,100,10868.670983,-127.086345946,2,0.00333333,-127.086345946,1.0,
500.0,8181.7096085,163.1,1.0,0.9,1.0,-120.635725176,-138.496,-131.544,1.0,500,5.4346e-20,0.0025,108.512,400.0,0.0025,100,8181.7096085,-120.635725176,2,0.0025,-120.635725176,1.0,
49.4432905107,13202.5627434,183.38,,0.9,1.13107,-138.349741779,-109.618,-89.8422,10.1126,500,3.56905e-05,,59.3773,50.4807043837,0.0335595,100,13202.5627434,-138.349741779,1,0.002,-138.349741779,18.979,11.4148
500.0,11837.3799048,174.64,1.0,0.9,1.0,-131.288890051,-145.193,-131.289,1.0,500,3.50449e-18,0.01,108.254,100.0,0.01,100,11837.3799048,-131.288890051,2,0.01,-131.288890051,1.0,
500.0,12788.7913192,171.56,1.0,0.9,1.0,-129.025462725,-139.989,-130.157,1.0,500,2.1793e-19,0.005,110.414,200.000000102,0.005,100,12788.7913192,-129.025462725,2,0.005,-129.025462725,1.0,
500.0,11027.2056453,165.91,1.0,0.9,1.0,-123.632115724,-136.01,-127.982,1.0,500,5.43914e-20,0.00333333,108.517,299.999969474,0.00333333,100,11027.2056453,-123.632115724,2,0.00333333,-123.632115724,1.0,
500.0,15587.1862248,190.9,1.0,0.9,1.0,-145.957104347,-139.428,-132.476,1.0,500,5.4346e-20,0.0025,112.917,400.0,0.0025,100,15587.1862248,-145.957104347,2,0.0025,-145.957104347,1.0,
29.6301721743,11459.174668,178.23,,0.9,0.840949,-134.102550826,-117.305,-91.7608,16.8747,500,7.38377e-05,,102.912,25.7433145486,0.0668303,100,11459.174668,-134.102550826,1,0.002,-134.102550826,28.1004,13.0544
500.0,12532.159829,178.02,1.0,0.9,1.0,-134.158463294,-148.063,-134.158,1.0,500,3.50449e-18,0.01,111.386,100.0,0.01,100,12532.159829,-134.158463294,2,0.01,-134.158463294,1.0,
500.0,10889.8248051,168.87,1.0,0.9,1.0,-125.931046067,-139.877,-130.045,1.0,500,2.1793e-19,0.005,107.753,200.000000102,0.005,100,10889.8248051,-125.931046067,2,0.005,-125.931046067,1.0,
500.0,10916.6992615,168.15,1.0,0.9,1.0,-125.170437322,-136.448,-128.42,1.0,500,5.43914e-20,0.00333333,106.529,299.999969474,0.00333333,100,10916.6992615,-125.170437322,2,0.00333333,-125.170437322,1.0,
500.0,10845.5972109,172.24,1.0,0.9,1.0,-128.5224921,-135.398,-128.446,1.0,500,5.4346e-20,0.0025,105.809,400.0,0.0025,100,10845.5972109,-128.5224921,2,0.0025,-128.5224921,1.0,
274.330838896,13697.9284857,191.57,0.012145,0.9,0.978846,-145.505736073,-134.902,-126.507,1.82262,500,3.41863e-06,2.48149e-05,124.091,269.840209191,0.0195314,100,13697.9284857,-145.505736073,1,0.002,-145.505736073,9.55913,0.818881
500.0,9885.33600429,168.71,1.0,0.9,1.0,-125.272156673,-139.177,-125.272,1.0,500,3.50449e-18,0.01,98.9267,100.0,0.01,100,9885.33600429,-125.272156673,2,0.01,-125.272156673,1.0,
500.0,12437.0109486,178.23,1.0,0.9,1.0,-134.903303851,-139.92,-130.088,1.0,500,2.1793e-19,0.005,105.227,200.000000102,0.005,100,12437.0109486,-134.903303851,2,0.005,-134.903303851,1.0,
500.0,9866.81689613,169.26,1.0,0.9,1.0,-125.455697982,-136.572,-128.544,1.0,500,5.43914e-20,0.00333333,103.163,299.999969474,0.00333333,100,9866.81689613,-125.455697982,2,0.00333333,-125.455697982,1.0,
500.0,11761.6163295,172.63,1.0,0.9,1.0,-129.597740123,-135.76,-128.807,1.0,500,5.4346e-20,0.0025,104.37,400.0,0.0025,100,11761.6163295,-129.597740123,2,0.0025,-129.597740123,1.0,
323.902037006,9284.89373673,160.0,0.511253,0.9,0.99378,-117.91066611,-131.065,-123.339,1.54368,500,2.33496e-06,0.00102891,104.344,315.941270398,0.0236131,100,9284.89373673,-117.91066611,1,0.002,-117.91066611,11.7331,0.5765
500.0,14747.9184055,189.81,1.0,0.9,1.0,-144.08538764,-157.99,-144.085,1.0,500,3.50449e-18,0.01,120.832,100.0,0.01,100,14747.9184055,-144.08538764,2,0.01,-144.08538764,1.0,
500.0,11014.077654,168.52,1.0,0.9,1.0,-125.838647599,-144.794,-134.962,1.0,500,2.1793e-19,0.005,113.294,200.000000102,0.005,100,11014.077654,-125.838647599,2,0.005,-125.838647599,1.0,
500.0,17085.1491084,197.14,1.0,0.9,1.0,-151.50647059,-148.505,-140.477,1.0,500,5.43914e-20,0.00333333,119.398,299.999969474,0.00333333,100,17085.1491084,-151.50647059,2,0.00333333,-151.50647059,1.0,
500.0,13337.0090808,179.21,1.0,0.9,1.0,-134.846069236,-146.022,-139.069,1.0,500,5.4346e-20,0.0025,118.316,400.0,0.0025,100,13337.0090808,-134.846069236,2,0.0025,-134.846069236,1.0,
250.265119193,12787.0478388,189.85,0.0662467,0.9,1.00443,-143.424852052,-141.247,-132.457,1.99788,500,6.78394e-06,0.000131909,125.39,185.694634806,0.0514512,100,12787.0478388,-143.424852052,1,0.002,-143.424852052,25.8395,1.71104
500.0,10914.2945515,167.16,1.0,0.9,1.0,-124.19237311,-138.097,-124.192,1.0,500,3.50449e-18,0.01,103.948,100.0,0.01,100,10914.2945515,-124.19237311,2,0.01,-124.19237311,1.0,
500.0,6561.31799431,154.67,1.0,0.9,1.0,-113.703058854,-128.78,-118.948,1.0,500,2.1793e-19,0.005,93.1554,200.000000102,0.005,100,6561.31799431,-113.703058854,2,0.005,-113.703058854,1.0,
500.0,9166.3011362,165.82,1.0,0.9,1.0,-122.907281627,-128.295,-120.268,1.0,500,5.43914e-20,0.00333333,93.8811,299.999969474,0.00333333,100,9166.3011362,-122.907281627,2,0.00333333,-122.907281627,1.0,
500.0,9158.42744899,163.59,1.0,0.9,1.0,-120.972400226,-127.396,-120.444,1.0,500,5.4346e-20,0.0025,94.2181,400.0,0.0025,100,9158.42744899,-120.972400226,2,0.0025,-120.972400226,1.0,
145.740883707,7605.59412095,149.26,0.000132952,0.9,1.10341,-109.51551461,-118.311,-106.793,3.43075,500,1.25421e-05,2.40984e-07,107.714,121.087122941,0.0431831,100,7605.59412095,-109.51551461,1,0.002,-109.51551461,23.8243,3.81754
500.0,14727.5488959,191.38,1.0,0.9,1.0,-145.382809475,-159.288,-145.383,1.0,500,3.50449e-18,0.01,120.749,100.0,0.01,100,14727.5488959,-145.382809475,2,0.01,-145.382809475,1.0,
500.0,14449.4558542,192.09,1.0,0.9,1.0,-146.203284868,-155.626,-145.793,1.0,500,2.1793e-19,0.005,120.178,200.000000102,0.005,100,14449.4558542,-146.203284868,2,0.005,-146.203284868,1.0,
500.0,12913.2154965,187.39,1.0,0.9,1.0,-141.559791178,-152.41,-144.382,1.0,500,5.43914e-20,0.00333333,117.872,299.999969474,0.00333333,100,12913.2154965,-141.559791178,2,0.00333333,-141.559791178,1.0,
500.0,11866.6889829,171.13,1.0,0.9,1.0,-127.97938289,-147.234,-140.281,1.0,500,5.4346e-20,0.0025,115.792,400.0,0.0025,100,11866.6889829,-127.97938289,2,0.0025,-127.97938289,1.0,
19.0424262473,12334.2247656,179.95,,0.9,0.699409,-135.534394106,-117.618,-85.7525,26.2572,500,0.000118696,,79.7612,16.3320271808,0.126145,100,12334.2247656,-135.534394106,1,0.002,-135.534394106,44.1135,14.5157
500.0,13961.511691,185.14,1.0,0.9,1.0,-139.788109052,-153.693,-139.788,1.0,500,3.50449e-18,0.01,117.567,100.0,0.01,100,13961.511691,-139.788109052,2,0.01,-139.788109052,1.0,
500.0,7506.49850607,157.37,1.0,0.9,1.0,-115.6691052,-137.561,-127.729,1.0,500,2.1793e-19,0.005,103.789,200.000000102,0.005,100,7506.49850607,-115.6691052,2,0.005,-115.6691052,1.0,
500.0,9104.04855329,166.59,1.0,0.9,1.0,-123.560086678,-134.367,-126.339,1.0,500,5.43914e-20,0.00333333,100.944,299.999969474,0.00333333,100,9104.04855329,-123.560086678,2,0.00333333,-123.560086678,1.0,
500.0,12624.1331934,174.56,1.0,0.9,1.0,-131.637936492,-134.616,-127.664,1.0,500,5.4346e-20,0.0025,103.788,400.0,0.0025,100,12624.1331934,-131.637936492,2,0.0025,-131.637936492,1.0,
101.144592137,11668.5596185,175.12,5.99831e-06,0.9,1.1316,-131.481878671,-126.9,-113.075,4.94342,500,6.46781e-05,1.06014e-08,167.532,29.1763074853,0.176714,100,11668.5596185,-131.481878671,1,0.002,-131.481878671,99.9854,20.7055
500.0,12416.5496207,178.2,1.0,0.9,1.0,-133.856595766,-147.761,-133.857,1.0,500,3.50449e-18,0.01,110.871,100.0,0.01,100,12416.5496207,-133.856595766,2,0.01,-133.856595766,1.0,
500.0,15913.0614361,199.95,1.0,0.9,1.0,-152.735876448,-153.128,-143.296,1.0,500,2.1793e-19,0.005,118.795,200.000000102,0.005,100,15913.0614361,-152.735876448,2,0.005,-152.735876448,1.0,
500.0,11569.7346277,176.62,1.0,0.9,1.0,-132.357267432,-147.678,-139.65,1.0,500,5.43914e-20,0.00333333,115.121,299.999969474,0.00333333,100,11569.7346277,-132.357267432,2,0.00333333,-132.357267432,1.0,
500.0,9856.08178648,170.47,1.0,0.9,1.0,-126.482706246,-143.311,-136.358,1.0,500,5.4346e-20,0.0025,111.407,400.0,0.0025,100,9856.08178648,-126.482706246,2,0.0025,-126.482706246,1.0,
68.3687702618,14920.1271756,187.14,8.61489e-08,0.9,0.929,-141.976818129,-134.299,-117.481,7.31328,500,2.45344e-05,1.85466e-10,173.289,70.2116404292,0.0530892,100,14920.1271756,-141.976818129,1,0.002,-141.976818129,24.6599,5.29354
500.0,10084.3664922,165.85,1.0,0.9,1.0,-123.587951224,-137.492,-123.588,1.0,500,3.50449e-18,0.01,99.9176,100.0,0.01,100,10084.3664922,-123.587951224,2,0.01,-123.587951224,1.0,
500.0,9024.41939158,165.41,1.0,0.9,1.0,-122.054235367,-132.653,-122.821,1.0,500,2.1793e-19,0.005,97.2596,200.000000102,0.005,100,9024.41939158,-122.054235367,2,0.005,-122.054235367,1.0,
500.0,9895.2543119,168.67,1.0,0.9,1.0,-125.41933091,-131.715,-123.687,1.0,500,5.43914e-20,0.00333333,97.8429,299.999969474,0.00333333,100,9895.2543119,-125.41933091,2,0.00333333,-125.41933091,1.0,
500.0,8997.91611447,168.64,1.0,0.9,1.0,-125.163396487,-131.009,-124.056,1.0,500,5.4346e-20,0.0025,96.9913,400.0,0.0025,100,8997.91611447,-125.163396487,2,0.0025,-125.163396487,1.0,
49.9313345105,10824.0595265,175.75,,0.9,1.19029,-131.315021131,-118.756,-99.0782,10.0138,500,3.16767e-05,,115.083,56.1587717969,0.0564006,100,10824.0595265,-131.315021131,1,0.002,-131.315021131,33.5664,11.2197
500.0,8195.06922019,160.68,1.0,0.9,1.0,-118.367482741,-132.272,-118.367,1.0,500,3.50449e-18,0.01,90.0728,100.0,0.01,100,8195.06922019,-118.367482741,2,0.01,-118.367482741,1.0,
500.0,12529.9494591,177.02,1.0,0.9,1.0,-133.073115288,-135.553,-125.72,1.0,500,2.1793e-19,0.005,101.553,200.000000102,0.005,100,12529.9494591,-133.073115288,2,0.005,-133.073115288,1.0,
500.0,14951.0939922,185.76,1.0,0.9,1.0,-141.065461158,-138.864,-130.835,1.0,500,5.43914e-20,0.00333333,108.91,299.999969474,0.00333333,100,14951.0939922,-141.065461158,2,0.00333333,-141.065461158,1.0,
500.0,15549.3795704,191.99,1.0,0.9,1.0,-146.533465843,-141.713,-134.76,1.0,500,5.4346e-20,0.0025,113.096,400.0,0.0025,100,15549.3795704,-146.533465843,2,0.0025,-146.533465843,1.0,
92.7619434842,9225.22658577,161.31,9.21412e-05,0.9,1.07185,-119.509814425,-129.272,-114.833,5.39014,500,1.61311e-05,1.71929e-07,121.569,99.5084090939,0.0409093,100,9225.22658577,-119.509814425,1,0.002,-119.509814425,21.9243,4.63311
500.0,12559.5807885,176.0,1.0,0.9,1.0,-132.57489618,-146.48,-132.575,1.0,500,3.50449e-18,0.01,111.508,100.0,0.01,100,12559.5807885,-132.57489618,2,0.01,-132.57489618,1.0,
500.0,10167.7818875,165.24,1.0,0.9,1.0,-122.49459365,-137.367,-127.535,1.0,500,2.1793e-19,0.005,106.186,200.000000102,0.005,100,10167.7818875,-122.49459365,2,0.005,-122.49459365,1.0,
500.0,13263.9791568,183.61,1.0,0.9,1.0,-139.108725054,-139.421,-131.393,1.0,500,5.43914e-20,0.00333333,109.196,299.999969474,0.00333333,100,13263.9791568,-139.108725054,2,0.00333333,-139.108725054,1.0,
500.0,10913.3312974,169.58,1.0,0.9,1.0,-126.427961567,-137.104,-130.152,1.0,500,5.4346e-20,0.0025,107.928,400.0,0.0025,100,10913.3312974,-126.427961567,2,0.0025,-126.427961567,1.0,
150.616776602,12878.8887426,187.74,0.00118749,0.9,1.09695,-141.672693945,-132.03,-120.7,3.31968,500,8.7737e-06,2.16509e-06,134.741,156.787012712,0.0201647,100,12878.8887426,-141.672693945,1,0.002,-141.672693945,11.0598,2.63933
500.0,15499.1891018,195.92,1.0,0.9,1.0,-149.750471658,-163.655,-149.75,1.0,500,3.50449e-18,0.01,123.872,100.0,0.01,100,15499.1891018,-149.750471658,2,0.01,-149.750471658,1.0,
500.0,12490.1597802,176.51,1.0,0.9,1.0,-133.089268184,-151.252,-141.42,1.0,500,2.1793e-19,0.005,118.001,200.000000102,0.005,100,12490.1597802,-133.089268184,2,0.005,-133.089268184,1.0,
500.0,11899.7244173,171.06,1.0,0.9,1.0,-128.027162277,-144.984,-136.956,1.0,500,5.43914e-20,0.00333333,115.107,299.999969474,0.00333333,100,11899.7244173,-128.027162277,2,0.00333333,-128.027162277,1.0,
500.0,15262.0237585,194.51,1.0,0.9,1.0,-147.669126171,-146.586,-139.634,1.0,500,5.4346e-20,0.0025,117.201,400.0,0.0025,100,15262.0237585,-147.669126171,2,0.0025,-147.669126171,1.0,
72.4538331173,13455.0611999,177.13,8.51394e-07,0.9,1.23926,-134.283078305,-140.944,-124.608,6.90095,500,3.57167e-05,1.37404e-09,224.714,50.4473638092,0.0887017,100,13455.0611999,-134.283078305,1,0.002,-134.283078305,54.9622,13.7131
500.0,13808.5183189,188.73,1.0,0.9,1.0,-142.929365901,-156.834,-142.929,1.0,500,3.50449e-18,0.01,116.921,100.0,0.01,100,13808.5183189,-142.929365901,2,0.01,-142.929365901,1.0,
500.0,13210.7900224,181.15,1.0,0.9,1.0,-136.280811623,-149.437,-139.605,1.0,500,2.1793e-19,0.005,115.696,200.000000102,0.005,100,13210.7900224,-136.280811623,2,0.005,-136.280811623,1.0,
500.0,12318.771535,181.86,1.0,0.9,1.0,-136.947969017,-146.747,-138.719,1.0,500,5.43914e-20,0.00333333,113.976,299.999969474,0.00333333,100,12318.771535,-136.947969017,2,0.00333333,-136.947969017,1.0,
