Inner Iteration,EpLenMean,ReturnStepMax,EpRewMean,ReturnStepMaxmin,InitialReturnStd,StdWReturnMean,InitialBound,EmpiricalD2Arithmetic,MinIW,OptimizationReturnMean,Iteration,ESSRenyiArithmetic,Epsilon,InitialReturnMin,ReturnMeanIW,WReturnMean,ESSRenyiHarmonic,MaxIW,EpThisIter,EmpiricalD2Harmonic,MeanIW,EpisodesSoFar,TimestepsSoFar,LearnableVariance,InitialReturnMean,StdIW,MeanD2-0,Penalization,TimeElapsed,Bound,VarianceInitializer,MinTargetPdf,OptimizationReturnMin,InitialReturnMax,DivergenceHarmonic,MeanEntropy,MinBehavPdf,OptimizationReturnMax
2,13.64,9.999996,126.33410156824462,9.999996,78.909355,,-inf,159991.7,1.6432071e-09,126.3341,2,0.0003125162,1.0,,6104.0483,6104.0483,0.0003125162,49.507866,50,159991.7,1.5670404,600,4704,,126.3341,7.0228944,159991.7,True,6.186909198760986,-inf,-1.0,-29.933304,,349.86298,inf,0.4189424,-19.819996,349.86298
3,11.94,9.999982,109.33227309529502,9.999982,79.753365,,-inf,245117.95,2.1183927e-12,109.332275,2,0.00020398342,1.0,,9136369.0,9136369.0,0.00020398342,23311.178,50,245117.95,466.78958,650,5301,,109.332275,3263.4841,245117.95,True,6.582415580749512,-inf,-1.0,-31.563976,,289.86462,inf,0.4189424,-18.123795,289.86462
4,12.86,9.999998,118.52741669344842,9.999998,75.73757,,-6.25558e+19,20514.783,9.005466e-12,108.547585,2,0.0024372668,1.0,9.979823,6432.4697,6432.4697,0.0024372668,51.82045,50,20514.783,2.4212394,700,5944,,118.52742,8.868375,20514.783,True,6.923244953155518,-6.25558e+19,-1.0,-21.871414,,269.92987,1.1056626e+32,0.4189424,-14.443876,259.95004
5,11.78,9.999998,107.73778526623825,9.999998,67.78419,,-3.512641e+20,27026.562,5.962113e-08,97.756516,2,0.0018500318,1.0,9.981258,8584.752,8584.752,0.0018500318,17.919508,50,27026.562,1.319117,750,6533,,107.737785,3.5683315,27026.562,True,7.240375757217407,-3.512641e+20,-1.0,-22.520378,,269.93512,3.4859503e+33,0.4189424,-16.1763,259.95386
6,13.68,9.999998,126.73353983721796,9.999998,81.95511,,-inf,134308.73,7.22581e-11,116.74957,2,0.0003722766,1.0,9.983961,25995.412,25995.412,0.0003722766,237.00233,50,134308.73,6.033639,800,7217,,126.73354,33.23722,134308.73,True,7.5721213817596436,-inf,-1.0,-26.987984,,339.74457,inf,0.4189424,-16.09457,329.76062
7,12.68,9.999999,116.73071546299167,9.999999,68.13478,,-inf,432963.97,4.580933e-10,106.74502,2,0.00011548305,1.0,9.985697,2511.4885,2511.4885,0.00011548306,17.208872,50,432963.94,0.8990544,850,7851,,116.73072,2.5833418,432963.97,True,7.904140949249268,-inf,-1.0,-21.045792,,279.80902,inf,0.4189424,-15.946957,269.82333
8,14.56,9.999999,135.52296410462893,9.999999,79.6205,,-inf,3699338.0,6.3096533e-12,115.55647,2,1.3515932e-05,1.0,19.966488,1539.0167,1539.0167,1.3515931e-05,12.196066,50,3699338.2,0.81994444,900,8579,,135.52296,2.450109,3699338.0,True,8.247773170471191,-inf,-1.0,-24.190145,,319.81995,inf,0.4189424,-13.649723,299.85345
9,12.14,9.999998,111.33970671865583,9.999998,74.80504,,-inf,233272.56,1.3468292e-10,111.33971,2,0.00021434153,1.0,,4648.98,4648.98,0.00021434155,14.61084,50,233272.55,1.1313525,950,9186,,111.33971,2.76874,233272.56,True,8.574865341186523,-inf,-1.0,-23.426418,,249.8031,inf,0.4189424,-16.379198,249.8031
10,13.36,10.0,123.52806764619463,10.0,75.54828,,-inf,163676.7,6.740545e-10,113.5477,2,0.00030548024,1.0,9.980368,1959.6825,1959.6825,0.00030548024,38.29392,50,163676.7,1.2276292,1000,9854,,123.52807,5.4159384,163676.7,True,8.926437854766846,-inf,-1.0,-26.396938,,309.89337,inf,0.4189424,-15.838083,299.913
1,13.18,10.0,121.73172086519818,10.0,78.428444,,-27366.906,1.0,0.11293439,111.74872,3,50.0,1.0,9.983003,2154119.0,20969.63,50.0,1287.4423,50,1.0,69.58968,1050,10513,,121.73172,254.58867,1.0,True,9.297274827957153,-5041569300.0,-1.0,-16.299183,,279.91116,620541250000.0,0.4189424,-16.299183,269.92816
2,16.94,9.999995,159.30131600932754,9.999995,114.40031,,-1.0775731e+19,6464.094,3.252708e-10,149.32027,3,0.007735036,1.0,9.98105,60812.152,60812.152,0.007735036,115.05409,50,6464.094,4.756687,1100,11360,,159.30132,18.474308,6464.094,True,9.730675458908081,-1.0775731e+19,-1.0,-31.524673,,469.74878,3.5770256e+29,0.4189424,-21.551392,459.76773
3,18.9,9.999998,178.89805827346015,9.999998,127.23426,,-inf,150819.52,5.7534675e-09,168.9162,3,0.00033152208,1.0,9.98186,6714.2334,6714.2334,0.00033152208,38.58143,50,150819.52,1.5461155,1150,12305,,178.89807,5.66541,150819.52,True,10.138194561004639,-inf,-1.0,-35.6708,,579.6943,inf,0.4189424,-28.541893,569.7124
4,21.42,9.999998,204.09410207469267,9.999998,131.72662,,-2.5352514e+18,4260.4634,2.1401897e-08,194.11188,3,0.011735813,1.0,9.98221,149842.73,149842.73,0.011735813,253.90027,50,4260.4634,6.5465417,1200,13376,,204.0941,35.652092,4260.4634,True,10.59068489074707,-2.5352514e+18,-1.0,-29.338379,,599.89374,7.4445085e+27,0.4189424,-26.887379,589.9115
5,19.74,9.999998,187.29991277737787,9.999998,106.72542,,-6.9243342e+16,1494.6915,6.470254e-09,177.31836,3,0.033451717,1.0,9.981554,69556.56,69556.56,0.033451717,57.44511,50,1494.6915,2.6928658,1250,14363,,187.29993,9.5134535,1494.6915,True,10.95813274383545,-6.9243342e+16,-1.0,-26.883411,,449.87665,1.7557937e+25,0.4189424,-22.20485,439.89508
6,18.34,9.999998,173.30743974951554,9.999998,113.961784,,-3.860844e+19,7158.7373,1.5489516e-11,163.3259,3,0.006984472,1.0,9.9815235,16270.976,16270.976,0.006984472,16.978703,50,7158.7373,1.3224182,1300,15280,,173.30742,2.7978065,7158.7373,True,11.383065700531006,-3.860844e+19,-1.0,-34.30059,,459.83887,5.0007262e+30,0.4189424,-21.855162,449.85733
7,17.5,9.999998,164.90968459192337,9.999998,146.16096,,-2.0253225e+18,2226.343,2.237839e-09,154.92984,3,0.022458354,1.0,9.9798565,132093.77,132093.77,0.022458354,63.170166,50,2226.343,2.7726002,1350,16155,,164.90968,9.290676,2226.343,True,11.758562564849854,-2.0253225e+18,-1.0,-43.856453,,779.81946,1.663809e+27,0.4189424,-38.163727,769.8396
8,18.12,9.999994,171.09805936515772,9.999994,89.82832,,-2.0919583e+18,3551.5298,2.5461637e-07,161.11658,3,0.01407844,1.0,9.981473,7046.9536,7046.9536,0.014078439,3.5819898,50,3551.53,0.5479411,1400,17061,,171.09807,0.8282594,3551.5298,True,12.141840696334839,-2.0919583e+18,-1.0,-23.434572,,319.83844,6.2729924e+28,0.4189424,-19.66311,309.85696
9,18.1,10.0,170.90896933573936,10.0,116.55638,,-1.277702e+17,1701.6558,1.2441882e-07,160.92519,3,0.029383145,1.0,9.983785,384787.75,384787.75,0.029383145,653.4733,50,1701.6558,16.67817,1450,17966,,170.90897,91.351364,1701.6558,True,12.525150775909424,-1.277702e+17,-1.0,-28.199108,,469.89984,5.0226075e+25,0.4189424,-20.249302,459.91605
10,19.54,9.999999,185.30208843399683,9.999999,123.93085,,-1.647841e+21,15033.275,1.8257039e-10,165.33467,3,0.0033259552,1.0,19.967422,855346.44,855346.44,0.0033259552,1454.9374,50,15033.275,33.535473,1500,18943,,185.30206,203.65889,15033.275,True,12.902301549911499,-1.647841e+21,-1.0,-30.489304,,669.7167,2.0246848e+33,0.4189424,-21.470278,649.74927
1,21.66,9.999999,206.4888036439614,9.999999,108.04259,,-73906.4,1.0,0.096216984,186.5233,4,50.0,1.0,19.9655,4361355.0,54310.83,50.0,1402.2567,50,1.0,65.360306,1550,20026,,206.48882,246.20876,1.0,True,13.25508189201355,-833577100.0,-1.0,-18.915989,,489.8933,1790689800.0,0.4189424,-18.915989,469.9278
2,16.98,9.999994,159.70618645458208,9.999994,100.38098,,-1561512200000.0,40.505646,1.4792191,149.7232,4,1.2343959,1.0,9.982986,843880540000000.0,178152.67,1.2343959,834178100000.0,50,40.505646,17887207000.0,1600,20875,,159.70619,116744870000.0,40.505646,True,13.63071894645691,-1.4824966e+19,-1.0,-24.309494,,439.8613,8.805746e+29,0.4189424,-19.973938,429.8783
3,33.96,9.999995,329.4224919657466,9.999995,238.83281,,-inf,inf,,319.4393,4,,1.0,9.983186,393555.28,393555.28,,281.49316,50,inf,7.64376,1650,22573,,329.4225,40.61293,inf,True,14.193345785140991,-inf,-1.0,-106.00315,,939.58875,inf,0.4189424,-48.195427,929.6055
4,26.68,9.999995,256.64426282128557,9.999995,217.70209,,-inf,inf,,246.66383,4,,1.0,9.98044,86280.63,86280.63,,14.32828,50,inf,1.0087378,1700,23907,,256.64426,2.4452515,inf,True,14.680699348449707,-inf,-1.0,-86.13658,,809.67773,inf,0.4189424,-38.96938,799.69727
5,35.2,9.999995,341.81528303613965,9.999995,219.93472,,-inf,inf,,321.84717,4,,1.0,19.96812,7251.8325,7251.8325,,7.0495834,50,inf,0.45991188,1750,25667,,341.81528,1.4674238,inf,True,15.245609045028687,-inf,-1.0,-92.79824,,799.7818,inf,0.4189424,-34.341713,779.81366
6,35.66,9.999999,346.4137908494159,9.999999,269.95474,,-inf,inf,,346.41382,4,,1.0,,64023.0,64023.0,,181.1692,50,inf,3.8831267,1800,27450,,346.41382,25.340439,inf,True,15.74658727645874,-inf,-1.0,-123.40486,,1189.8013,inf,0.4189424,-49.70972,1189.8013
7,35.78,9.999991,347.6170946097885,9.999991,260.448,,-inf,inf,,317.65286,4,,1.0,29.964228,27029.443,27029.443,,104.75314,50,inf,2.8358197,1850,29239,,347.6171,14.793643,inf,True,16.23952007293701,-inf,-1.0,-95.711784,,1399.6052,inf,0.4189424,-69.00853,1369.641
8,36.64,9.999999,356.216185027615,9.999999,209.27222,,-inf,inf,,336.2468,4,,1.0,19.969429,1464.1461,1464.1461,,5.4787865,50,inf,0.2291003,1900,31071,,356.2162,0.79472506,inf,True,16.75038504600525,-inf,-1.0,-104.67566,,799.8195,inf,0.4189424,-39.29194,779.8501
9,32.56,9.999999,315.4224929472003,9.999999,192.9396,,-inf,inf,,305.44235,4,,1.0,9.980119,954.72797,954.72797,,13.876953,50,inf,0.7485754,1950,32699,,315.4225,2.6510687,inf,True,17.25532364845276,-inf,-1.0,-88.34363,,709.8794,inf,0.4189424,-27.827663,699.8993
10,33.2,9.999999,321.8328815307195,9.999999,205.12534,,-inf,inf,,311.84927,4,,1.0,9.983615,1540181.8,1540181.8,,1137.5331,50,inf,23.30965,2000,34359,,321.8329,159.18518,inf,True,17.73891806602478,-inf,-1.0,-87.43228,,769.8269,inf,0.4189424,-31.898819,759.84326
1,38.72,9.999999,377.009151276055,9.999999,247.07707,,-266376.12,1.0,0.010919509,357.0402,5,50.0,1.0,19.968948,2872703.5,203182.97,50.0,181.43219,50,1.0,8.835913,2050,36295,,377.00916,28.75915,1.0,True,18.282398462295532,-7034518000.0,-1.0,-50.015404,,879.7462,12381566000.0,0.4189424,-50.015404,859.7773
2,37.22,9.999999,362.01135182304597,9.999999,249.40666,,-4534065700.0,11.051841,0.7536657,352.02927,5,4.524133,1.0,9.982104,422842850000000.0,458826.7,4.524133,123831870000.0,50,11.051841,2535539200.0,2100,38156,,362.01135,17330948000.0,11.051841,True,18.848413944244385,-1.3521453e+21,-1.0,-46.882904,,889.8097,4.3747083e+32,0.4189424,-43.840546,879.8276
3,27.3,9.999998,262.8407141472106,9.999998,206.87688,,-inf,3025275.2,1.571756e-09,242.87137,5,1.6527421e-05,1.0,19.969349,1248871.2,1248871.2,1.6527421e-05,352.52176,50,3025275.2,7.458636,2150,39521,,262.84073,49.298954,3025275.2,True,19.295191526412964,-inf,-1.0,-43.005997,,929.7805,inf,0.4189424,-39.164516,909.81116
4,24.4,9.999998,233.83572884907164,9.999998,170.84192,,-inf,279845730000.0,8.002375e-08,223.85588,5,1.7866987e-10,1.0,9.979852,127237.1,127237.1,1.7866987e-10,9.406184,50,279845730000.0,0.6954452,2200,40741,,233.83572,1.5031627,279845730000.0,True,19.732507705688477,-inf,-1.0,-34.994892,,739.78625,inf,0.4189424,-29.449656,729.8064
5,25.72,9.999999,247.04299369980004,9.999999,193.89447,,-inf,11356396000.0,3.9777697e-09,237.06279,5,4.4028052e-09,1.0,9.980188,2591.4702,2591.4702,4.4028052e-09,3.370873,50,11356396000.0,0.44272068,2250,42027,,247.04298,0.7059543,11356396000.0,True,20.196452140808105,-inf,-1.0,-47.19464,,809.7501,inf,0.4189424,-40.2573,799.76996
6,26.96,9.999999,259.44749044461827,9.999999,226.9624,,-inf,142976830000.0,1.3930526e-07,259.4475,5,3.49707e-10,1.0,,4550.8364,4550.8364,3.49707e-10,4.454926,50,142976830000.0,0.5807665,2300,43375,,259.4475,0.93729705,142976830000.0,True,20.673378229141235,-inf,-1.0,-41.88592,,969.7711,inf,0.4189424,-34.71998,969.7711
7,23.48,9.999994,224.64954439346297,9.999994,154.1838,,-inf,37442620000.0,8.9485695e-08,204.68561,5,1.3353766e-09,1.0,19.96392,4029.733,4029.733,1.3353766e-09,1.8948598,50,37442620000.0,0.31494036,2350,44549,,224.64955,0.4963727,37442620000.0,True,21.087153673171997,-inf,-1.0,-39.86631,,739.87976,inf,0.4189424,-31.751717,719.91583
8,28.5,9.999999,274.83668477218197,9.999999,202.57721,,-inf,111896504.0,3.7319413e-08,264.8561,5,4.4684148e-07,1.0,9.980572,580897.2,580897.2,4.4684148e-07,84.17352,50,111896504.0,2.2754042,2400,45974,,274.83667,11.824691,111896504.0,True,21.57463550567627,-inf,-1.0,-40.729637,,1119.7195,inf,0.4189424,-37.63443,1109.7389
9,28.92,9.999998,279.0384908217912,9.999998,227.71494,,-inf,9260582000.0,1.3723227e-09,269.05557,5,5.3992286e-09,1.0,9.982897,948004.0,948004.0,5.3992286e-09,219.49948,50,9260582000.0,5.5099797,2450,47420,,279.03848,30.900526,9260582000.0,True,22.05096673965454,-inf,-1.0,-50.78515,,879.79663,inf,0.4189424,-48.02736,869.8137
10,28.12,10.0,271.03789657938245,10.0,205.64345,,-inf,2187221.0,4.9293758e-05,251.07623,5,2.2860058e-05,1.0,19.961662,8097.0845,8097.0845,2.2860058e-05,3.3474555,50,2187221.0,0.43178025,2500,48826,,271.0379,0.7072323,2187221.0,True,22.56398630142212,-inf,-1.0,-51.413418,,969.5966,inf,0.4189424,-47.32533,949.63495
1,30.54,9.999999,295.23544707382734,9.999999,245.22554,,-316551.94,1.0,0.22107138,285.25354,6,50.0,1.0,9.98189,8118627.5,147299.53,50.0,297.41925,50,1.0,39.33207,2550,50353,,295.23547,56.455486,1.0,True,23.17627739906311,-1.915188e+20,-1.0,-61.423897,,1439.7593,1.280426e+30,0.4189424,-61.423897,1429.7773
2,53.02,9.999999,519.9498562318163,9.999999,356.2126,,-inf,1017201100000.0,1.0694207e-20,509.96884,6,4.915449e-11,1.0,9.981063,246013.62,246013.62,4.915449e-11,86.24923,50,1017201100000.0,4.038155,2600,53004,,519.9498,14.59836,1017201100000.0,True,23.843074798583984,-inf,-1.0,-87.1136,,1739.4905,inf,0.4189424,-74.34537,1729.5094
3,57.86,10.0,568.377874994276,10.0,348.02847,,-inf,5767111000000.0,2.251713e-15,558.39636,6,8.669852e-12,1.0,9.981528,6997.0796,6997.0796,8.669852e-12,8.563922,50,5767111000000.0,0.46574372,2650,55897,,568.37787,1.4588333,5767111000000.0,True,24.609996557235718,-inf,-1.0,-71.194824,,1439.78,inf,0.4189424,-64.83676,1429.7985
4,62.54,10.0,615.1269281505938,10.0,303.5231,,-inf,2.0662248e+17,1.7325295e-17,595.1613,6,2.4198723e-16,1.0,19.96563,67419.42,67419.42,2.4198723e-16,84.318214,50,2.0662248e+17,1.9319844,2700,59024,,615.1269,11.800584,2.0662248e+17,True,25.436638832092285,-inf,-1.0,-88.2354,,1539.6249,inf,0.4189424,-75.03308,1519.6593
5,55.9,10.0,548.7388572043852,10.0,355.10733,,-inf,119285075000000.0,6.1290556e-17,538.7548,6,4.1916392e-13,1.0,9.984016,108052.66,108052.66,4.1916392e-13,7.8235645,50,119285075000000.0,0.80225426,2750,61819,,548.7389,1.9315209,119285075000000.0,True,26.152263164520264,-inf,-1.0,-91.06264,,1649.168,inf,0.4189424,-75.71759,1639.184
6,50.34,9.999997,493.17239607584895,9.999997,300.85455,,-inf,5928914000000.0,1.370471e-16,463.22168,6,8.433248e-12,1.0,29.950727,1280916.0,1280916.0,8.433248e-12,539.27313,50,5928914000000.0,18.258478,2800,64336,,493.17242,87.675606,5928914000000.0,True,26.902824640274048,-inf,-1.0,-64.47663,,1079.4243,inf,0.4189424,-47.41161,1049.4736
7,49.92,9.999997,488.9724590792934,9.999997,309.9034,,-inf,7595453000000.0,2.004684e-18,469.00864,6,6.5828857e-12,1.0,19.963829,58812800.0,58812800.0,6.5828857e-12,7645.668,50,7595453000000.0,154.26797,2850,66832,,488.97247,1070.2115,7595453000000.0,True,27.57552671432495,-inf,-1.0,-74.42508,,1359.6802,inf,0.4189424,-69.92632,1339.7163
8,49.36,9.999999,483.3824499866789,9.999999,324.4584,,-inf,1857011400000.0,2.840248e-16,473.39978,6,2.6924981e-11,1.0,9.982678,65052.562,65052.562,2.6924981e-11,33.72148,50,1857011400000.0,1.7391869,2900,69300,,483.3825,5.456379,1857011400000.0,True,28.207138776779175,-inf,-1.0,-54.08273,,1039.7681,inf,0.4189424,-46.657776,1029.7854
9,53.12,10.0,520.9694414800622,10.0,309.17474,,-inf,106229470000000.0,5.035396e-17,491.0234,6,4.7067916e-13,1.0,29.946028,128847.69,128847.69,4.7067916e-13,90.426865,50,106229470000000.0,2.7569802,2950,71956,,520.9695,12.719066,106229470000000.0,True,28.874666690826416,-inf,-1.0,-70.622604,,1399.3779,inf,0.4189424,-53.28061,1369.4319
10,57.26,10.0,562.3411983443981,10.0,369.25272,,-inf,7557809000000000.0,1.1275521e-14,552.3539,6,6.615674e-15,1.0,9.987319,19838124.0,19838124.0,6.615674e-15,5620.266,50,7557809000000000.0,114.35713,3000,74819,,562.3412,786.59644,7557809000000000.0,True,29.554290294647217,-inf,-1.0,-78.48456,,1559.7905,inf,0.4189424,-71.48079,1549.8032
1,47.88,9.999999,468.5660801877347,9.999999,312.20734,,-412173.12,1.0,0.05502523,458.58505,7,50.0,1.0,9.981045,12676853.0,317027.6,50.0,374.9913,50,1.0,22.107922,3050,77213,,468.56604,58.085796,1.0,True,30.143980979919434,-13243208000000.0,-1.0,-50.48606,,1079.4846,1.9373633e+16,0.4189424,-50.48606,1069.5035
2,56.62,9.999999,555.9700478770985,9.999999,255.50142,,-4.358119e+17,738.9416,1.0957715e-05,536.00665,7,0.06766435,1.0,19.963394,2646374.2,2646374.2,0.06766435,220.65717,50,738.9416,7.602141,3100,80044,,555.97003,35.113335,738.9416,True,30.835017442703247,-4.358119e+17,-1.0,-49.552532,,1209.637,1.3306666e+25,0.4189424,-47.306824,1189.6736
3,55.4,9.999998,543.783577690178,9.999998,328.48093,,-492719600000000.0,122.30597,9.3458175e-06,513.8406,7,0.4088108,1.0,29.943005,852793.06,8267766.0,0.4088108,80.540764,50,122.30597,2.4722865,3150,82814,,543.78357,11.304575,122.30597,True,31.46282720565796,-108935370000.0,-1.0,-70.511795,,1429.3934,426398060000.0,0.4189424,-68.67554,1399.4504
4,46.06,10.0,450.3942401016973,10.0,329.52353,,-4321621000.0,9.381983,0.00024258609,440.41272,7,5.329364,1.0,9.981527,3268019.2,2680888.2,5.329364,175.18123,50,9.381983,7.4299555,3200,85117,,450.39426,27.912012,9.381983,True,32.17841625213623,-3303869000.0,-1.0,-67.138535,,1509.7676,314511700.0,0.4189424,-65.46203,1499.786
5,58.4,10.0,573.7675668736167,10.0,339.95935,,-242146300000.0,20.35858,0.0007645612,543.8207,7,2.455967,1.0,29.946833,5238868.5,3655790.2,2.455967,165.7893,50,20.35858,4.420241,3250,88037,,573.7676,23.224773,20.35858,True,33.019420862197876,-135497920000.0,-1.0,-68.37987,,1729.4736,307798970000.0,0.4189424,-66.407295,1699.5269
6,47.98,9.999994,469.60469224183805,9.999994,320.4237,,-9421528000.0,6.610267,0.0042670323,459.6229,7,7.5639906,1.0,9.981798,311808.9,290504.88,7.5639915,5.8683257,50,6.6102667,0.8111348,3300,90436,,469.60468,1.1686976,6.610267,True,33.66854476928711,-8673276000.0,-1.0,-49.933144,,1329.7303,3608875800.0,0.4189424,-47.658005,1319.7485
7,53.68,10.0,526.5790458723571,10.0,350.84155,,-377044960.0,6.4443274,0.0023165583,516.5951,7,7.758762,1.0,9.983966,613215.3,588735.4,7.758762,15.937531,50,6.4443274,1.1120198,3350,93120,,526.57904,2.4560432,6.4443274,True,34.33248734474182,-330079650.0,-1.0,-55.16735,,1509.5244,3135833.0,0.4189424,-53.6888,1499.5404
8,54.5,9.999999,534.7934473532379,9.999999,318.26312,,-581148160.0,7.3918047,0.0014225048,514.83,7,6.764248,1.0,19.96341,749710.56,935879.06,6.764248,41.571274,50,7.3918047,1.6164066,3400,95845,,534.79346,5.91669,7.3918047,True,35.06490898132324,-520693250.0,-1.0,-56.272858,,1209.5515,18945506.0,0.4189424,-53.273445,1189.5881
9,55.8,10.0,547.780188971213,10.0,351.28888,,-375171780.0,5.3256617,0.0017859231,527.8136,7,9.388505,1.0,19.966614,602995.94,558657.25,9.388505,14.582539,50,5.3256617,1.4351149,3450,98635,,547.7802,2.5895307,5.3256617,True,35.789750814437866,-354009860.0,-1.0,-89.22547,,1869.4908,1533726.4,0.4189424,-86.79355,1849.5242
10,51.8,10.0,507.76665548821757,10.0,280.02603,,-73886430.0,5.2816644,0.0044127894,497.78455,7,9.466713,1.0,9.982142,3395849.2,3180643.0,9.466713,52.533775,50,5.2816644,4.7859263,3500,101225,,507.76663,11.408492,5.2816644,True,36.45447516441345,-73128310.0,-1.0,-50.808163,,1389.0514,195924.2,0.4189424,-51.640556,1379.0692
1,47.72,10.0,466.99011306916645,10.0,302.42157,,-537032.1,1.0,0.11574559,437.0409,8,50.0,1.0,29.949211,133523910.0,309538.53,50.0,7275.732,50,1.0,376.97794,3550,103611,,466.9901,1460.8754,1.0,True,37.14046907424927,-387773170000000.0,-1.0,-62.463226,,1669.1941,2.905488e+18,0.4189424,-62.463226,1639.2449
2,41.82,10.0,408.0065946492685,10.0,207.24942,,-2336117500000000.0,278.24387,0.00053694576,398.0229,8,0.17969848,1.0,9.983686,196043.94,196043.94,0.17969848,12.988447,50,278.24387,0.76076645,3600,105702,,408.00656,1.9677335,278.24387,True,37.70977234840393,-2336117500000000.0,-1.0,-41.670105,,869.75433,1.430521e+21,0.4189424,-41.074425,859.7706
