EpisodesSoFar,MeanIW,Inner Iteration,WReturnMean,MinTargetPdf,MeanEntropy,InitialReturnMean,ReturnStepMax,TimestepsSoFar,EpLenMean,EmpiricalD2Arithmetic,OptimizationReturnMean,ReturnMeanIW,StdWReturnMean,InitialReturnMin,Epsilon,EmpiricalD2Harmonic,OptimizationReturnMax,StdIW,LearnableVariance,MinBehavPdf,Penalization,DivergenceHarmonic,EpRewMean,Iteration,ESSRenyiArithmetic,Bound,EpThisIter,MinIW,InitialReturnStd,VarianceInitializer,OptimizationReturnMin,InitialReturnMax,ESSRenyiHarmonic,ReturnStepMaxmin,MeanD2-0,InitialBound,TimeElapsed,MaxIW
550,11.189902,1,16314.16,-14.925264,0.4189424,103.33249,9.999997,6541,11.34,1.0,93.349365,603061.8,,9.9831295,1.0,1.0,409.94205,20.849808,,-14.925264,True,1.2828842e+32,103.33248925439639,2,50.0,-1.6307671e+20,50,0.035041206,75.077,-1.0,,419.92517,50.0,9.999997,1.0,-30712.04,4.2311718463897705,119.60092
600,2.5532856,2,15981.684,-54.477993,0.4189424,117.72685,9.999999,7180,12.78,2.231866e+34,97.757774,15981.684,,19.969082,1.0,2.231866e+34,389.86115,7.385649,,-24.236969,True,inf,117.72686044367441,2,2.2402779e-33,-inf,50,1.9727452e-34,87.23328,-1.0,,409.83023,2.2402779e-33,9.999999,2.231866e+34,-inf,4.432905435562134,33.62758
650,4.6599097,3,77947.69,-37.825592,0.4189424,127.53383,10.0,7868,13.76,3.566527e+23,107.566605,77947.69,,19.967222,1.0,3.566527e+23,289.9281,14.139526,,-15.068125,True,inf,127.53382578882844,2,1.4019241e-22,-inf,50,2.1990102e-27,80.10708,-1.0,,309.89532,1.4019241e-22,10.0,3.566527e+23,-inf,4.75548529624939,74.34509
700,2.3705134,4,99851.74,-58.37513,0.4189424,125.1325,9.999997,8544,13.52,8.78635e+34,105.16403,99851.74,,19.968464,1.0,8.78635e+34,269.98105,7.543891,,-19.708313,True,inf,125.1324970962489,2,5.6906453e-34,-inf,50,,76.53058,-1.0,,289.94952,5.6906453e-34,9.999997,8.78635e+34,-inf,4.958515167236328,46.797108
750,0.85539544,5,5756.239,-45.55641,0.4189424,116.5417,9.999989,9177,12.66,9.68667e+24,106.55674,5756.239,,9.984976,1.0,9.68667e+24,449.85608,2.6317008,,-15.753986,True,inf,116.54170424277551,2,5.1617327e-24,-inf,50,3.7037385e-35,87.689224,-1.0,,459.84106,5.1617327e-24,9.999989,9.68667e+24,-inf,5.3368940353393555,15.459416
800,5.0108747,6,42909.312,-48.14026,0.4189424,144.91795,9.999999,9952,15.5,1.5194365e+26,134.9349,42909.312,,9.983041,1.0,1.5194365e+26,299.8438,23.100538,,-16.39167,True,inf,144.91795087984403,2,3.2906936e-25,-inf,50,2.0027197e-33,88.64219,-1.0,,309.82684,3.2906936e-25,9.999999,1.5194365e+26,-inf,5.711795330047607,163.21432
850,1.9064057,7,11746.026,-77.876015,0.4189424,110.12986,9.999997,10553,12.02,inf,100.15003,11746.026,,9.979839,1.0,inf,339.78775,3.9039822,,-18.649548,True,inf,110.12986365858012,2,,-inf,50,,80.61326,-1.0,,349.76758,,9.999997,inf,-inf,6.057280540466309,19.733202
900,3.3186922,8,23022.35,-49.54578,0.4189424,119.53549,9.999989,11201,12.96,6.391143e+17,119.53549,23022.35,,,1.0,6.391143e+17,379.83926,12.916071,,-19.051094,True,inf,119.5354830624325,2,7.8233267e-17,-inf,50,3.81628e-36,79.1657,-1.0,,379.83926,7.8233267e-17,9.999989,6.391143e+17,-inf,6.2600016593933105,90.92617
950,1.5692985,9,25726.049,-48.511528,0.4189424,112.13553,9.999999,11812,12.22,1.5198566e+30,102.1512,25726.049,,9.984325,1.0,1.5198566e+30,299.80408,5.1244206,,-14.782887,True,inf,112.13552908285733,2,3.2897842e-29,-inf,50,1.4679015e-32,77.40341,-1.0,,309.7884,3.2897842e-29,9.999999,1.5198566e+30,-inf,6.585916996002197,26.279554
1000,2.8205667,10,78921.15,-25.637684,0.4189424,112.94061,9.999994,12427,12.3,339975400000.0,102.959564,78921.15,,9.981055,1.0,339975400000.0,329.93607,9.730921,,-21.699284,True,inf,112.94061418996925,2,1.4706947e-10,-inf,50,2.5212467e-18,73.496765,-1.0,,339.9171,1.4706947e-10,9.999994,339975400000.0,-inf,6.879530668258667,65.99154
1050,45.894077,1,18906.094,-15.933958,0.4189424,109.52934,9.999994,13025,11.96,1.0,99.545105,988605.25,,9.984244,1.0,1.0,409.82245,158.69795,,-15.933958,True,1.852116e+16,109.52935030089749,3,50.0,-1958337200000.0,50,0.15870899,83.122894,-1.0,,419.8067,50.0,9.999994,1.0,-33295.848,7.199217081069946,894.24945
1100,0.49952275,2,12575.39,-24.314335,0.4189424,177.50027,9.999999,13963,18.76,38.073345,157.53201,8095.0435,,19.968262,1.0,38.073345,409.878,0.8475568,,-19.614197,True,7.0690777e+16,177.50028219836975,3,1.3132547,-4011086300000.0,50,0.00097021204,88.127174,-1.0,,429.84625,1.3132547,9.999999,38.073345,-104649785000.0,7.509610176086426,4.1046243
1150,321.14792,3,114398.97,-17.551247,0.4189424,120.723625,9.999992,14617,13.08,15.083181,110.74299,14163433.0,,9.980637,1.0,15.08318,339.79126,1439.7942,,-16.067749,True,2.1272706e+23,120.72362607203786,3,3.3149505,-4607184000000000.0,50,0.011993717,80.3802,-1.0,,349.77188,3.3149507,9.999992,15.083181,-56894590000.0,7.867252349853516,8869.046
1200,3.431302,4,13198.206,-33.307037,0.4189424,205.88467,9.999998,15697,21.6,183.45013,185.90645,211439.53,,19.978237,1.0,183.45013,739.86273,17.341208,,-26.339336,True,4.0509288e+21,205.88467658475003,3,0.27255362,-3000385500000000.0,50,3.377983e-05,135.43053,-1.0,,759.84094,0.27255362,9.999998,183.45013,-139658840000000.0,8.210798501968384,124.430534
1250,79.43986,5,239810.94,-23.679789,0.4189424,133.12059,9.999997,16413,14.32,21.760412,93.15249,2236287.0,,39.9681,1.0,21.760412,289.86722,469.68295,,-21.723957,True,3.2401292e+20,133.12059251926104,3,2.2977505,-159893160000000.0,50,0.004406969,73.63007,-1.0,,329.83533,2.2977505,9.999997,21.760412,-58185020000.0,8.635005712509155,3358.88
1300,1.8181305,6,57216.195,-30.265995,0.4189424,178.0984,9.999988,17354,18.82,394.74332,168.11598,57216.195,,9.982422,1.0,394.74332,409.89127,4.576632,,-24.12049,True,1.7514635e+21,178.0984010148269,3,0.1266646,-602410100000000.0,50,4.592841e-06,96.91883,-1.0,,419.8737,0.1266646,9.999988,394.74332,-602410100000000.0,9.013628721237183,24.451662
1350,15.622865,7,75998.97,-33.038452,0.4189424,178.70311,9.999999,18298,18.88,30444.365,168.72224,75998.97,,9.980871,1.0,30444.365,459.8666,90.69662,,-27.647831,True,2.0610632e+35,178.70311824654087,3,0.0016423401,-8.183024e+21,50,2.0785761e-05,116.49718,-1.0,,469.84747,0.0016423401,9.999999,30444.365,-8.183024e+21,9.405570983886719,646.80817
1400,1.3508141,8,32486.004,-28.965382,0.4189424,208.08942,10.0,19389,21.82,41873.297,188.12257,32486.004,,19.966839,1.0,41873.297,459.86667,5.3510237,,-23.002697,True,8.574277e+35,208.08942511869034,3,0.0011940784,-1.7407413e+22,50,6.620304e-06,98.73792,-1.0,,479.8335,0.0011940784,10.0,41873.297,-1.7407413e+22,9.72206735610962,34.258335
1450,0.8691056,9,5703.077,-28.873781,0.4189424,182.10051,9.999996,20350,19.22,661.1496,172.11711,5703.077,,9.983404,1.0,661.1496,439.8219,3.3096962,,-23.098244,True,9.2492995e+24,182.10052204976648,3,0.07562585,-5.024096e+16,50,9.62569e-06,107.452705,-1.0,,449.8053,0.07562585,9.999996,661.1496,-5.024096e+16,10.011988878250122,23.478163
1500,33.36635,10,530501.1,-23.582504,0.4189424,199.49863,9.999996,21398,20.96,115.32412,189.51495,588025.1,,9.98368,1.0,115.32412,559.8538,153.8103,,-18.981659,True,1.8281789e+18,199.49863572466123,3,0.43356064,-35848070000000.0,50,8.488427e-05,122.195335,-1.0,,569.8375,0.43356064,9.999996,115.32412,-39274070000000.0,10.330688238143921,817.91895
1550,299.52176,1,32881.188,-19.417866,0.4189424,162.50107,9.999999,22261,17.26,1.0,142.53479,24498422.0,,19.966257,1.0,1.0,309.90546,1722.2648,,-19.417866,True,9.146767e+22,162.50105084084876,4,50.0,-2687065800000000.0,50,0.12159233,80.46489,-1.0,,329.8717,50.0,9.999999,1.0,-41765.93,10.713953018188477,12322.73
1600,8.036435,2,125083.52,-25.443779,0.4189424,133.92609,9.999995,22981,14.4,18596312.0,123.94379,125083.52,,9.982292,1.0,18596312.0,409.8437,46.278812,,-23.14223,True,inf,133.92608399673946,4,2.688705e-06,-inf,50,1.2007867e-09,95.93906,-1.0,,419.826,2.688705e-06,9.999995,18596312.0,-inf,11.098098278045654,331.1967
1650,8.977124,3,966231.94,-25.956371,0.4189424,138.72432,9.99999,23725,14.88,12240951.0,138.72432,966231.94,,,1.0,12240950.0,349.89435,52.39576,,-17.761072,True,inf,138.7243210252763,4,4.08465e-06,-inf,50,1.0178376e-09,89.200775,-1.0,,349.89435,4.0846503e-06,9.99999,12240951.0,-inf,11.351889610290527,374.78894
1700,0.57254386,4,9578.518,-28.343998,0.4189424,153.10782,10.0,24541,16.32,326417320000.0,143.12694,9578.518,,9.980872,1.0,326417320000.0,349.8588,1.252299,,-20.434381,True,inf,153.10781078432458,4,1.5317815e-10,-inf,50,3.0411944e-13,92.65847,-1.0,,359.83966,1.5317815e-10,10.0,326417320000.0,-inf,11.69748330116272,6.497971
1750,0.6669048,5,17599.43,-29.304325,0.4189424,140.73016,9.999998,25295,15.08,100924500.0,120.763626,17599.43,,19.96653,1.0,100924490.0,519.7475,1.3848177,,-25.186415,True,inf,140.73015385716118,4,4.9541984e-07,-inf,50,1.3627153e-14,99.057335,-1.0,,539.71405,4.954199e-07,9.999998,100924500.0,-inf,11.974226951599121,6.7826357
1800,1.0259758,6,17606.525,-34.677715,0.4189424,162.51115,9.999998,26158,17.26,153989810000000.0,152.53102,17606.525,,9.980134,1.0,153989810000000.0,459.75687,2.7917159,,-21.989908,True,inf,162.51115818510954,4,3.246968e-13,-inf,50,1.2799878e-12,101.18281,-1.0,,469.737,3.246968e-13,9.999998,153989810000000.0,-inf,12.245166540145874,17.613878
1850,1.5696504,7,36683.426,-24.40402,0.4189424,169.91324,9.999999,27058,18.0,28987218.0,159.93005,36683.426,,9.983193,1.0,28987216.0,359.86417,4.7862144,,-20.980146,True,inf,169.9132454911469,4,1.7248982e-06,-inf,50,1.05401354e-10,88.26222,-1.0,,369.84735,1.7248983e-06,9.999999,28987218.0,-inf,12.563534498214722,29.875975
1900,0.2427416,8,12822.197,-24.054047,0.4189424,161.316,10.0,27915,17.14,18325704.0,151.33488,12822.197,,9.98113,1.0,18325704.0,409.8799,0.5828453,,-21.164967,True,inf,161.316006046591,4,2.7284082e-06,-inf,50,1.1622589e-12,97.49428,-1.0,,419.86105,2.7284082e-06,10.0,18325704.0,-inf,12.948579549789429,3.1638894
1950,21.50084,9,2908446.0,-28.242485,0.4189424,132.72955,9.999996,28629,14.28,2506542.0,122.74805,2908446.0,,9.981517,1.0,2506542.0,449.8048,140.38303,,-24.398487,True,inf,132.72956052491836,4,1.99478e-05,-inf,50,5.1683e-15,92.7461,-1.0,,459.78632,1.99478e-05,9.999996,2506542.0,-inf,13.292259454727173,1003.5861
2000,116.55878,10,5019269.5,-29.799406,0.4189424,151.52545,9.999997,29437,16.16,10164742000000.0,131.55568,5019269.5,,19.969791,1.0,10164742000000.0,559.89136,782.045,,-24.403975,True,inf,151.5254659822291,4,4.918964e-12,-inf,50,5.5532046e-10,107.75783,-1.0,,579.86115,4.918964e-12,9.999997,10164742000000.0,-inf,13.569159507751465,5590.171
2050,2308.1206,1,35589.867,-21.17303,0.4189424,165.32253,9.999999,30314,17.54,1.0,155.34113,275106660.0,,9.98138,1.0,1.0,359.8649,14410.328,,-21.17303,True,6782491600000000.0,165.32252230639907,5,50.0,-920071050000.0,50,0.032623954,90.87536,-1.0,,369.84628,50.0,9.999999,1.0,-46758.43,13.89562201499939,102977.02
2100,15.841092,2,496002.66,-46.217964,0.4189424,276.4635,9.999999,31747,28.66,52425.504,276.4635,496002.66,,,1.0,52425.504,579.7708,60.78828,,-38.864807,True,1.3523228e+35,276.4635308864261,5,0.00095373427,-1.0092697e+22,50,4.103259e-07,126.5404,-1.0,,579.7708,0.00095373427,9.999999,52425.504,-1.0092697e+22,14.278611421585083,386.7819
2150,0.31609747,3,22974.559,-30.491596,0.4189424,306.8518,9.999999,33332,31.7,18073.32,286.8818,22974.559,,19.970013,1.0,18073.32,679.82513,1.0516015,,-29.880205,True,1.9005557e+31,306.85180329248277,5,0.0027665088,-1.7431571e+20,50,9.795966e-08,145.76877,-1.0,,699.79517,0.0027665088,9.999999,18073.32,-1.7431571e+20,14.703315258026123,7.1483817
2200,5.3144627,4,53458.81,-55.115505,0.4189424,313.06097,9.999998,34948,32.32,898077.7,303.07874,53458.81,,9.982244,1.0,898077.75,689.6951,25.6537,,-44.552197,True,inf,313.06097457293333,5,5.567447e-05,-inf,50,6.680772e-10,161.67583,-1.0,,699.67737,5.5674467e-05,9.999998,898077.7,-inf,15.19935655593872,159.69954
2250,11.346709,5,51407.305,-35.841724,0.4189424,294.46164,10.0,36471,30.46,6206.244,284.47937,51407.305,,9.982276,1.0,6206.244,659.8722,55.0962,,-29.05608,True,3.3382843e+29,294.46161914388546,5,0.008056402,-2.116786e+19,50,2.1909774e-07,139.43896,-1.0,,669.8545,0.008056402,10.0,6206.244,-2.116786e+19,15.58451509475708,357.00217
2300,4.687047,6,114377.41,-38.445507,0.4189424,300.46887,10.0,38024,31.06,4345.4976,280.49677,114377.41,,19.972082,1.0,4345.4976,759.77386,21.359297,,-31.871151,True,5.750594e+28,300.46886681767506,5,0.011506163,-1.1904659e+19,50,1.1020841e-06,140.52884,-1.0,,779.746,0.011506163,10.0,4345.4976,-1.1904659e+19,15.842496633529663,137.9679
2350,15.445265,7,167979.12,-39.287872,0.4189424,281.4648,9.999999,39482,29.16,9241.807,261.50296,167979.12,,19.961824,1.0,9241.807,789.743,72.28209,,-34.368008,True,2.6391869e+31,281.4648007555486,5,0.0054101977,-2.7500647e+20,50,3.211519e-08,168.55067,-1.0,,809.70483,0.0054101977,9.999999,9241.807,-2.7500647e+20,16.172667980194092,495.71036
2400,2.1612513,8,58496.49,-48.328438,0.4189424,297.06708,10.0,41018,30.72,19308.537,287.08585,58496.49,,9.981206,1.0,19308.537,799.83344,6.479577,,-40.508404,True,3.2268594e+33,297.0670672191875,5,0.0025895282,-3.041695e+21,50,1.33286955e-08,152.88924,-1.0,,809.81464,0.0025895282,10.0,19308.537,-3.041695e+21,16.4947612285614,38.373955
2450,3.300959,9,85509.45,-47.356102,0.4189424,315.86047,10.0,42648,32.6,7446656.5,305.87607,85509.45,,9.984415,1.0,7446656.5,859.55475,10.85604,,-38.87622,True,inf,315.8604597309835,5,6.714423e-06,-inf,50,4.309915e-08,171.50797,-1.0,,869.5392,6.714423e-06,10.0,7446656.5,-inf,16.934486389160156,64.14659
2500,0.44607818,10,14860.933,-33.378174,0.4189424,277.27274,9.999997,44085,28.74,5936.965,257.2975,14860.933,,19.97524,1.0,5936.965,629.8286,0.928111,,-27.472757,True,5.9710127e+29,277.27272704084606,5,0.008421811,-2.6640536e+19,50,2.2510535e-06,124.3162,-1.0,,649.80383,0.008421811,9.999997,5936.965,-2.6640536e+19,17.31666350364685,4.5990086
2550,211.08804,1,67089.055,-24.674068,0.4189424,225.6815,9.999999,45264,23.58,1.0,205.71466,15958693.0,,19.96685,1.0,1.0,599.8549,519.20795,,-24.674068,True,4.9730427e+18,225.68151656630653,6,50.0,-69951856000000.0,50,0.09158309,127.109856,-1.0,,619.8218,50.0,9.999999,1.0,-98457.18,17.609527349472046,2838.3206
2600,0.55342877,2,24150.203,-30.318619,0.4189424,245.86163,9.999999,46544,25.6,272.25546,235.87918,24150.203,,9.982488,1.0,272.25546,569.79285,1.7183287,,-27.509474,True,2.892223e+22,245.86163139502887,6,0.18365104,-4667558000000000.0,50,0.00055116357,117.21467,-1.0,,579.7753,0.18365104,9.999999,272.25546,-4667558000000000.0,17.9931640625,11.1942215
2650,8.4902,3,1140050.8,-26.460518,0.4189424,254.26349,10.0,47866,26.44,370.57187,244.2812,1140050.8,,9.982288,1.0,370.57187,559.90063,56.903908,,-23.81496,True,6.6614336e+22,254.2634891338653,6,0.13492659,-6843993000000000.0,50,0.00010490487,116.980354,-1.0,,569.88293,0.13492659,10.0,370.57187,-6843993000000000.0,18.383631944656372,406.78842
2700,0.6358753,4,57356.32,-40.298374,0.4189424,271.66934,10.0,49275,28.18,168.98878,261.68448,57356.32,,9.984854,1.0,168.98878,659.81726,1.9723479,,-36.66198,True,6.437104e+20,271.6693547686816,6,0.29587764,-929378600000000.0,50,9.331678e-05,136.17702,-1.0,,669.8021,0.29587764,10.0,168.98878,-929378600000000.0,18.788477659225464,12.707574
2750,1.319449,5,211974.23,-51.67586,0.4189424,249.86035,10.0,50575,26.0,122.79499,239.87819,178643.45,,9.9821825,1.0,122.79498,869.8823,4.9324503,,-45.240154,True,1.3895118e+18,249.8603578726398,6,0.40718272,-74510435000000.0,50,2.2719998e-06,135.02998,-1.0,,879.8645,0.40718275,10.0,122.79499,-75074810000000.0,19.12821316719055,30.9513
2800,3.4318097,6,142541.28,-29.47998,0.4189424,262.26596,10.0,51937,27.24,345.07578,222.3316,142541.28,,39.93435,1.0,345.07578,549.7887,15.128772,,-28.542807,True,7.625951e+21,262.26596549386596,6,0.14489572,-2479690800000000.0,50,0.00027576828,122.68519,-1.0,,589.723,0.14489572,10.0,345.07578,-2479690800000000.0,19.48649001121521,92.4028
2850,19.695597,7,262048.28,-35.75705,0.4189424,250.66992,9.999999,53241,26.08,234.72652,230.70172,262048.28,,19.968208,1.0,234.72653,499.86005,94.016136,,-34.355957,True,4.5465555e+20,250.66993163441865,6,0.21301386,-470452060000000.0,50,0.0009834289,115.286575,-1.0,,519.82825,0.21301384,9.999999,234.72652,-470452060000000.0,19.846818208694458,524.19446
2900,4.3488955,8,227847.61,-44.701378,0.4189424,299.06833,9.999999,54787,30.92,112.65332,289.084,450978.47,,9.984336,1.0,112.65332,719.87494,17.848553,,-39.407574,True,1.7623289e+19,299.06835728907043,6,0.44383955,-182589630000000.0,50,4.551646e-05,136.31465,-1.0,,729.85925,0.44383955,9.999999,112.65332,-3739009400000.0,20.194533348083496,122.20667
2950,3.0186503,9,340294.2,-24.339695,0.4189424,227.48067,10.0,55975,23.76,73.989784,207.51564,338430.6,,19.965,1.0,73.989784,529.9263,15.2732115,,-23.123936,True,9061258000000000.0,227.48065853046543,6,0.675769,-2350186500000.0,50,0.00021637956,118.53529,-1.0,,549.8913,0.675769,10.0,73.989784,-2355827300000.0,20.6276798248291,108.03601
3000,0.5495251,10,23619.11,-22.778568,0.4189424,200.07486,9.999999,57026,21.02,70.56586,200.07486,23759.744,,,1.0,70.56586,349.9037,1.1593755,,-18.999884,True,5.174871e+16,200.0748508033399,6,0.70855796,-2274056000000.0,50,0.00019526835,78.68331,-1.0,,349.9037,0.70855796,9.999999,70.56586,-2338380800000.0,21.015565872192383,6.441964
3050,1886.9836,1,66609.766,-23.551517,0.4189424,239.07874,9.999999,58272,24.92,1.0,229.096,124011310.0,,9.982734,1.0,1.0,449.77716,9542.751,,-23.551517,True,5.752267e+31,239.07872917456854,7,50.0,-1.3089891e+20,50,0.035811476,97.21689,-1.0,,459.7599,50.0,9.999999,1.0,-83868.83,21.33018732070923,68392.766
3100,0.16596496,2,2739.5466,-121.81607,0.4189424,364.83896,9.999999,60147,37.5,inf,354.8566,2739.5466,,9.982352,1.0,inf,899.7902,0.58809644,,-44.632683,True,inf,364.83895386722,7,,-inf,50,,172.7233,-1.0,,909.7726,,9.999999,inf,-inf,21.8356614112854,3.678386
3150,2.295557,3,56720.62,-86.999054,0.4189424,375.83228,9.999999,62077,38.6,2.1917988e+35,375.83228,56720.62,,,1.0,2.1917988e+35,1239.7596,15.408204,,-47.498528,True,inf,375.8322988280896,7,2.2812314e-34,-inf,50,,235.70972,-1.0,,1239.7596,2.2812314e-34,9.999999,2.1917988e+35,-inf,22.321810007095337,110.1307
3200,0.4328473,4,19166.861,-82.081985,0.4189424,404.01404,9.999998,64148,41.42,inf,384.04938,19166.861,,19.964645,1.0,inf,659.79913,2.5206466,,-38.882584,True,inf,404.01404616739666,7,,-inf,50,,157.72202,-1.0,,679.7638,,9.999998,inf,-inf,22.834484815597534,17.991446
3250,0.59514356,5,47861.465,-63.554005,0.4189424,419.2239,9.999998,66295,42.94,inf,409.24075,47861.465,,9.983177,1.0,inf,949.77893,3.0456083,,-42.291336,True,inf,419.22390356595065,7,,-inf,50,,183.92303,-1.0,,959.7621,,9.999998,inf,-inf,23.232814073562622,20.339983
3300,4.765951,6,453124.5,-58.19901,0.4189424,386.23535,10.0,68277,39.64,5.6695426e+32,346.28442,453124.5,,39.95089,1.0,5.6695426e+32,859.80505,32.883286,,-40.034554,True,inf,386.2353444108768,7,8.8190535e-32,-inf,50,1.0034402e-28,162.22807,-1.0,,899.7559,8.8190535e-32,10.0,5.6695426e+32,-inf,23.658672094345093,234.93584
3350,0.64299285,7,20411.734,-91.18885,0.4189424,408.8174,9.999999,70372,41.9,inf,388.84903,20411.734,,19.968388,1.0,inf,849.6289,3.8082755,,-34.741165,True,inf,408.8173989934021,7,,-inf,50,,178.20161,-1.0,,869.5973,,9.999999,inf,-inf,24.112456560134888,27.189157
3400,0.34625083,8,2199.1118,-75.06933,0.4189424,387.2203,9.999999,72359,39.74,1.031693e+35,337.26804,2199.1118,,49.952282,1.0,1.031693e+35,699.74084,1.6288728,,-30.80606,True,inf,387.22031839038885,7,4.846403e-34,-inf,50,,146.81036,-1.0,,749.6931,4.846403e-34,9.999999,1.031693e+35,-inf,24.571094751358032,9.181904
3450,1.4140702,9,11940.2295,-84.53345,0.4189424,377.03162,9.999998,74295,38.72,inf,317.06726,11940.2295,,59.9643,1.0,inf,819.6875,9.651101,,-42.602768,True,inf,377.0315533199324,7,,-inf,50,,169.2043,-1.0,,879.6518,,9.999998,inf,-inf,25.090312480926514,68.96694
3500,0.022006156,10,139.24492,-71.09288,0.4189424,357.82446,9.999999,76135,36.8,inf,337.85822,139.24492,,19.966204,1.0,inf,649.7621,0.10220044,,-31.061333,True,inf,357.82443536087436,7,,-inf,50,,121.22912,-1.0,,669.7283,,9.999999,inf,-inf,25.509394645690918,0.5601636
3550,40.25864,1,174162.75,-41.570423,0.4189424,381.43036,9.999999,78093,39.16,1.0,371.4488,5947302.5,,9.981578,1.0,1.0,949.2837,112.81205,,-41.570423,True,18726777000000.0,381.4303425870993,8,50.0,-325140600000.0,50,0.017039651,169.33293,-1.0,,959.26526,50.0,9.999999,1.0,-249296.08,26.028215646743774,761.1268
