EmpiricalD2Arithmetic,ReturnStepMaxmin,InitialBound,VarianceInitializer,TimestepsSoFar,InitialReturnMean,OptimizationReturnMax,WReturnMean,EpLenMean,MinTargetPdf,OptimizationReturnMin,EmpiricalD2Harmonic,MinBehavPdf,Penalization,TimeElapsed,InitialReturnMax,InitialReturnMin,MeanIW,EpRewMean,MeanEntropy,EpisodesSoFar,Bound,Inner Iteration,InitialReturnStd,ESSRenyiHarmonic,StdIW,MinIW,ESSRenyiArithmetic,LearnableVariance,ReturnMeanIW,MaxIW,MeanD2-0,Epsilon,StdWReturnMean,OptimizationReturnMean,DivergenceHarmonic,ReturnStepMax,Iteration,EpThisIter
47561.055,9.999999,-7.177696e+21,-1.0,47413,529.37067,1079.8197,5067.98,53.96,-57.12101,,47561.055,-51.332,True,38.24000144004822,1139.7468,59.927067,0.32829106,529.3706603958987,0.4189424,1850,-7.177696e+21,7,255.08737,0.0010512803,1.452445,3.757782e-09,0.0010512803,,5067.98,8.876749,47561.055,1.0,,469.4436,4.5796023e+33,9.999999,4,50
1629464300.0,9.999999,-inf,-1.0,49900,487.16922,1879.46,538442.2,49.74,-77.95364,,1629464400.0,-72.5435,True,39.818607330322266,1879.46,,3.9461942,487.1691739353852,0.4189424,1900,-inf,8,356.12866,3.068493e-08,17.892542,1.7000904e-08,3.068493e-08,,538442.2,121.15347,1629464300.0,1.0,,487.16922,inf,9.999999,4,50
1150528.8,10.0,-inf,-1.0,52802,570.17194,1409.8312,113616.01,58.04,-64.05789,,1150528.8,-53.1415,True,41.3988881111145,1419.8174,9.9862,3.4859805,570.1719261746337,0.4189424,1950,-inf,9,311.1033,4.345828e-05,21.086086,1.1730296e-11,4.345828e-05,,113616.01,150.47685,1150528.8,1.0,,560.1857,inf,10.0,4,50
243372640000.0,9.999999,-inf,-1.0,56221,673.5217,1729.3087,55575796.0,68.38,-99.23692,,243372640000.0,-83.7764,True,43.80861043930054,1739.292,9.983235,347.79504,673.5217184413789,0.4189424,2000,-inf,10,369.42615,2.0544627e-10,2432.3425,3.7252733e-14,2.0544627e-10,,55575796.0,17374.191,243372640000.0,1.0,,663.5385,inf,9.999999,4,50
1.0,10.0,-565943.6,-1.0,59074,560.3761,1369.8699,408225.5,57.06,-59.106785,,1.0,-59.106785,True,45.36701798439026,1389.8342,19.964304,36510.54,560.3760754082485,0.4189424,2050,-2.3157405e+16,1,306.92697,50.0,119973.95,0.16165538,50.0,,10001560000.0,769627.06,1.0,1.0,,540.4118,2.1558508e+22,10.0,5,50
130571170.0,9.999999,-inf,-1.0,61772,529.34863,1559.4979,19247192.0,53.96,-95.518814,,130571170.0,-85.07983,True,47.22511053085327,1579.4609,19.962957,20.148638,529.3486169249318,0.4189424,2100,-inf,2,394.0949,3.8293294e-07,137.37303,8.566639e-10,3.8293294e-07,,19247192.0,981.6891,130571170.0,1.0,,509.38565,inf,9.999999,5,50
761995.5,10.0,-inf,-1.0,64819,599.1157,2039.5555,127828.07,60.94,-87.62819,,761995.5,-80.35256,True,48.64636301994324,2109.4382,69.88267,0.8318417,599.1156869156453,0.4189424,2150,-inf,3,376.9176,6.561718e-05,4.1530137,2.0608146e-10,6.561718e-05,,127828.07,28.887999,761995.5,1.0,,529.23303,inf,10.0,5,50
256662.3,10.0,-inf,-1.0,67546,535.1572,1479.3433,946188100.0,54.54,-67.68641,,256662.3,-58.811096,True,50.44109797477722,1489.3254,9.982143,1480.1173,535.157242312753,0.4189424,2200,-inf,4,325.0707,0.00019480851,10354.04,3.0735712e-09,0.00019480851,,946188100.0,73958.39,256662.3,1.0,,525.17505,inf,10.0,5,50
174887440.0,10.0,-inf,-1.0,70478,576.1322,1739.6179,28607.062,58.64,-78.15572,,174887440.0,-71.70051,True,52.214791774749756,1769.5757,29.957745,0.14293922,576.1321711941042,0.4189424,2250,-inf,5,372.75162,2.8589818e-07,0.5148789,1.0101363e-09,2.8589818e-07,,28607.062,3.0933814,174887440.0,1.0,,546.17444,inf,10.0,5,50
14999677000.0,9.999999,-inf,-1.0,73403,574.75116,1819.3248,76127.805,58.5,-78.4801,,14999677000.0,-72.82938,True,54.17309284210205,1819.3248,,2.1535833,574.7511352411185,0.4189424,2300,-inf,6,392.59363,3.333405e-09,14.24451,2.3440693e-08,3.333405e-09,,76127.805,101.84268,14999677000.0,1.0,,574.75116,inf,9.999999,5,50
55651398000.0,9.999998,-inf,-1.0,76725,654.1013,3068.609,327240670.0,66.44,-110.55148,,55651398000.0,-97.96893,True,56.34518122673035,3088.5747,19.965824,167.65404,654.1013417795698,0.4189424,2350,-inf,7,494.6853,8.9845004e-10,1168.1877,1.1774321e-11,8.9845004e-10,,327240670.0,8344.945,55651398000.0,1.0,,634.1355,inf,9.999998,5,50
18700268.0,10.0,-inf,-1.0,79394,523.5315,1209.2991,320179.25,53.38,-56.947548,,18700268.0,-54.613636,True,57.831071615219116,1219.2798,9.980719,6.2538905,523.5315433369847,0.4189424,2400,-inf,8,319.34756,2.6737584e-06,29.598122,6.744072e-09,2.6737584e-06,,320179.25,173.23413,18700268.0,1.0,,513.55084,inf,10.0,5,50
18903361000000.0,10.0,-inf,-1.0,83048,720.4789,3138.5662,4341.6294,73.08,-140.06474,,18903361000000.0,-126.050995,True,59.88357925415039,3148.5469,9.980654,0.0683993,720.4789492247655,0.4189424,2450,-inf,9,591.2151,2.6450322e-12,0.2202583,6.7268695e-13,2.6450322e-12,,4341.6294,1.0084649,18903361000000.0,1.0,,710.4983,inf,10.0,5,50
45098144000.0,10.0,-inf,-1.0,86031,586.32556,2029.2408,10557.478,59.66,-91.89908,,45098144000.0,-76.98467,True,61.8944251537323,2059.206,29.965229,0.41119534,586.3256031952711,0.4189424,2500,-inf,10,440.2188,1.1086931e-09,1.2494488,6.15526e-14,1.1086931e-09,,10557.478,7.488686,45098144000.0,1.0,,556.36035,inf,10.0,5,50
1.0,9.999998,-1139497.5,-1.0,89422,667.9163,2339.6282,684896.6,67.82,-84.20186,,1.0,-84.20186,True,64.150310754776,2359.5933,19.96513,2.1894581,667.916366522802,0.4189424,2550,-12388099000000.0,1,488.65573,50.0,2.0517375,0.34283593,50.0,,2806296.2,11.511824,1.0,1.0,,647.95123,742594600000000.0,9.999998,6,50
13.519657,9.999999,-180446530000.0,-1.0,93222,749.6883,2089.3523,1164141.5,76.0,-95.806595,,13.519656,-96.05655,True,66.75416111946106,2139.2861,49.933815,5.8786855,749.6882649967064,0.4189424,2600,-177408360000.0,2,471.22437,3.698319,20.013891,0.00020603964,3.6983187,,2969233.8,141.09808,13.519657,1.0,,699.75446,225397640000.0,9.999999,6,50
30.44137,10.0,-1697353300000.0,-1.0,96026,550.5649,1359.4126,1677761.9,56.08,-64.63831,,30.441368,-64.26514,True,69.11974620819092,1379.3784,19.965796,5.0151625,550.5648697342313,0.4189424,2650,-1623078700000.0,3,350.8483,1.6425017,14.70225,4.535715e-06,1.6425016,,1539467.2,96.69778,30.44137,1.0,,530.59906,109153040000000.0,10.0,6,50
85.06924,10.0,-114843820000000.0,-1.0,99777,739.9016,1709.5491,705819.5,75.02,-88.03197,,85.06924,-83.95936,True,71.56043672561646,1709.5491,,1.3433709,739.9016476133665,0.4189424,2700,-112470245000000.0,4,389.90823,0.5877565,3.4555461,1.9197587e-06,0.5877565,,673140.4,18.190542,85.06924,1.0,,739.9016,2.2214694e+17,10.0,6,50
