MinNormIw,AvgEpLen,ESSRenyi,ESSClassic,VanillaAvgRet,MinVanillaIw,VarDiscRet,VarVanillaIw,MaxNormIw,AvgRet,MaxVanillaIw,AvgDiscRet,VarRet,Bound,BatchSize,eRenyi2,AvgVanillaIw,AvgNormIw,J,VarNormIw,VarJ
0.000592096,200.0,270.587339701,265.387801654,-7.52792552141,0.171362,45.6748484035,0.121787,0.00458392,-7.52792552141,1.32666,-7.52792552141,45.6748484035,-8.62385,300,1.1087,0.964721,0.00333333,-7.44033,1.45397e-06,7.26196
0.00314947,200.0,298.499993239,297.727045844,-7.39931645915,0.953506,47.5668749262,0.00780122,0.00484381,-7.39931645915,1.46647,-7.39931645915,47.5668749262,-8.52871,300,1.00503,1.00917,0.00333333,-7.39309,8.51117e-08,6.8728
0.00273695,200.0,274.239982913,271.971678414,-7.49742524698,0.843524,46.5643182959,0.109129,0.00948637,-7.49742524698,2.92368,-7.49742524698,46.5643182959,-8.55478,300,1.09393,1.02733,0.00333333,-7.37242,1.14889e-06,6.86566
1.29056e-05,200.0,266.28050116,257.163143981,-7.85473141772,0.00376355,49.4744803658,0.157927,0.00466906,-7.85473141772,1.3616,-7.85473141772,49.4744803658,-8.88437,300,1.12663,0.972073,0.00333333,-7.68669,1.85702e-06,7.5154
0.00205106,200.0,298.87488247,298.063036245,-7.84679383827,0.610686,50.8659493097,0.00642243,0.00351409,-7.84679383827,1.04629,-7.84679383827,50.8659493097,-8.96589,300,1.00376,0.992471,0.00333333,-7.83816,7.24472e-08,7.15564
4.70337e-06,200.0,254.865183113,221.689120899,-8.08098021668,0.00139842,49.3218218106,0.34813,0.004893,-8.08098021668,1.4548,-8.08098021668,49.3218218106,-9.07349,300,1.17709,0.991075,0.00333333,-7.86998,3.93809e-06,8.20091
0.00248309,200.0,280.931937885,251.728050357,-7.86215069515,0.860398,52.5462934372,0.256676,0.00583932,-7.86215069515,2.02334,-7.86215069515,52.5462934372,-8.93073,300,1.06787,1.15501,0.00333333,-7.7624,2.13782e-06,7.5469
0.0026981,200.0,298.300790196,295.402183751,-8.83179490309,0.791571,56.6936786473,0.0149348,0.00360558,-8.83179490309,1.05781,-8.83179490309,56.6936786473,-9.95721,300,1.0057,0.977935,0.00333333,-8.82617,1.73515e-07,7.47433
0.00120557,200.0,130.259317545,10.9168523514,-7.5837660502,0.72532,46.0380035116,106.858,0.212081,-7.5837660502,127.596,-7.5837660502,46.0380035116,-6.21597,300,2.3031,2.00547,0.00333333,-4.49737,0.000295211,19.8145
0.00100827,200.0,391.249701267,67.2889189596,-7.76420466935,0.785032,46.4736436751,15.6245,0.0663133,-7.76420466935,51.6312,-7.76420466935,46.4736436751,-8.39016,500,1.27796,1.55719,0.002,-7.40051,2.57741e-05,16.403
1.17223e-07,200.0,399.462849981,348.43125251,-7.50807901683,6.22043e-05,44.2996364392,0.490952,0.00298497,-7.50807901683,1.58398,-7.50807901683,44.2996364392,-8.07989,500,1.25168,1.0613,0.002,-7.09921,1.7435e-06,7.48411
0.00127456,200.0,353.122325623,254.475689612,-7.39250952552,0.765174,46.6713073812,1.39373,0.00731992,-7.39250952552,4.39447,-7.39250952552,46.6713073812,-7.76477,500,1.41594,1.20069,0.002,-6.72035,3.86703e-06,9.2903
0.000125213,200.0,486.815950714,466.653156865,-7.82472575271,0.0614548,50.6937747782,0.0689928,0.0023191,-7.82472575271,1.13822,-7.82472575271,50.6937747782,-8.66828,500,1.02708,0.981607,0.002,-7.78187,2.86411e-07,7.40054
0.00147211,200.0,446.947338629,397.154590971,-8.2455397973,0.830948,54.123076262,0.330693,0.00396218,-8.2455397973,2.2365,-8.2455397973,54.123076262,-9.00903,500,1.1187,1.12892,0.002,-8.08111,1.0379e-06,8.40656
