IterType,MaxVanillaIw,AvgDiscRet,VarDiscRet,VarVanillaIw,MaxNormIw,Bound,Delta,VarNormIw,AvgNormIw,AvgVanillaIw,VanillaAvgRet,VarJ,MinNormIw,VarRet,J,AvgRet,EpsThisIter,ESSRenyi,BatchSize,eRenyi2,ESSClassic,AvgEpLen,MinVanillaIw
1,1.72598,-1085.94958111,33578.6993247,0.0456861,0.0175102,-1666.98,0.1,4.70217e-06,0.01,0.985696,-1085.94958111,230.157,0.0053814,33578.6993247,-1070.3,-1085.94958111,100,97.0992936156,100,1.02987,95.5519242112,500.0,0.530443
1,1.86171,-1088.96273257,63382.0055743,0.0540883,0.0189928,-1668.35,0.1,5.62936e-06,0.01,0.980216,-1088.96273257,290.226,0.00564859,63382.0055743,-1067.66,-1088.96273257,100,96.274632291,100,1.0387,94.7211279622,500.0,0.553684
1,1.69448,-1075.7109545,39116.1123596,0.0486482,0.0176725,-1655.03,0.1,5.29158e-06,0.01,0.958827,-1075.7109545,244.999,0.00460297,39116.1123596,-1055.83,-1075.7109545,100,96.2849644731,100,1.03858,95.0220972795,500.0,0.441345
1,1.63145,-1060.84681866,59697.5943953,0.0690299,0.0167544,-1635.29,0.1,7.28029e-06,0.01,0.973742,-1060.84681866,276.453,0.00404716,59697.5943953,-1030.72,-1060.84681866,100,94.6355312614,100,1.05669,93.2770739655,500.0,0.394089
1,2.19387,-1066.44828454,83275.5456644,0.0957891,0.0218446,-1633.38,0.1,9.49689e-06,0.01,1.00431,-1066.44828454,277.013,0.00240359,83275.5456644,-1021.32,-1066.44828454,100,92.3175630458,100,1.08322,91.4060985666,500.0,0.241395
1,2.03834,-1007.931968,54041.3633899,0.0584125,0.0201081,-1583.92,0.1,5.68453e-06,0.01,1.01369,-1007.931968,262.098,0.00446057,54041.3633899,-981.788,-1007.931968,100,95.4161591273,100,1.04804,94.6721807643,500.0,0.452163
1,3.03642,-967.463094816,69144.9655125,0.232533,0.0290664,-1520.02,0.1,2.1308e-05,0.01,1.04465,-967.463094816,257.063,0.00217492,69144.9655125,-888.725,-967.463094816,100,86.817651643,100,1.15184,82.5798028351,500.0,0.227202
1,2.28227,-982.779261191,99250.2887325,0.134885,0.0228045,-1547.01,0.1,1.3467e-05,0.01,1.0008,-982.779261191,298.065,0.00253946,99250.2887325,-929.35,-982.779261191,100,91.081401414,100,1.09792,88.2360208366,500.0,0.254148
1,2.31747,-897.081554815,50460.2171686,0.360409,0.0212814,-1250.86,0.1,3.03926e-05,0.01,1.08896,-897.081554815,207.383,0.000324619,50460.2171686,-796.565,-897.081554815,100,77.0889045972,100,1.2972,76.8706297484,500.0,0.0353499
1,1.70486,-839.124788339,95999.4024135,0.114828,0.0169009,-1394.79,0.1,1.12848e-05,0.01,1.00874,-839.124788339,227.995,0.00301596,95999.4024135,-776.571,-839.124788339,100,90.362193854,100,1.10666,89.9507713136,500.0,0.304231
1,1.37252,-744.450990696,45688.6160656,0.0583119,0.0140576,-1318.6,0.1,6.11709e-06,0.01,0.976352,-744.450990696,168.727,0.00391499,45688.6160656,-715.826,-744.450990696,100,95.2089143951,100,1.05032,94.2898787698,500.0,0.382241
1,1.60627,-720.760768164,27767.1258336,0.0984879,0.0167176,-1091.23,0.1,1.06682e-05,0.01,0.960828,-720.760768164,123.152,0.00116204,27767.1258336,-680.582,-720.760768164,100,90.7446711382,100,1.10199,90.4474326269,500.0,0.111652
1,1.58488,-717.28375919,40590.5903261,0.0790375,0.0160696,-1213.56,0.1,8.12554e-06,0.01,0.986258,-717.28375919,170.076,0.00231191,40590.5903261,-681.668,-717.28375919,100,94.2571784988,100,1.06093,92.554636152,500.0,0.228014
1,1.21816,-684.235417112,32162.3062606,0.019476,0.0121312,-1266.63,0.1,1.93153e-06,0.01,1.00415,-684.235417112,154.753,0.00624754,32162.3062606,-672.825,-684.235417112,100,98.0328014454,100,1.02007,98.123674135,500.0,0.627348
1,1.25641,-653.127778489,28070.3819294,0.0174587,0.0125428,-1236.09,0.1,1.73997e-06,0.01,1.00169,-653.127778489,135.987,0.00561626,28070.3819294,-641.808,-653.127778489,100,98.1687840042,100,1.01865,98.3066201019,500.0,0.562578
1,1.59933,-675.051730105,18902.2086486,0.0948039,0.0163503,-1053.7,0.1,9.90829e-06,0.01,0.978169,-675.051730105,107.567,0.0022789,18902.2086486,-648.165,-675.051730105,100,93.4417928117,100,1.07018,91.0670710938,500.0,0.222915
1,1.5871,-641.700455934,18919.0497823,0.084702,0.01627,-1031.64,0.1,8.90144e-06,0.01,0.975476,-641.700455934,98.4866,0.00202207,18919.0497823,-614.036,-641.700455934,100,94.091972836,100,1.06279,91.9012649776,500.0,0.197248
