VarRet,ESSClassic,Bound,renyi2,BatchSize,J,AvgDiscRet,delta,AvgEpLen,MaxNormIw,EpsThisIter,VanillaAvgRet,VarJ,AvgRet,IterType,AvgVanillaIw,VarVanillaIw,SamplesThisIter,ESSRenyi,MaxVanillaIw,VarDiscRet,AvgNormIw,VarNormIw,MinNormIw,MinVanillaIw
639954.636416,1.08179318689,2870.72,nan,100,702065.0,1504.02202084,0.6,162.866449511,0.0542856,307,1504.02202084,46390.9,1504.02202084,1,30.9051,670976.0,50000,nan,92709.8,639954.636416,1.80963e-05,2.30052e-07,,
842747.58351,3.87181461655,3110.21,nan,100,667059.0,1488.00637689,0.6,161.290322581,0.107112,310,1488.00637689,44328.1,1488.00637689,1,24.5759,1.5983e+06,50000,nan,146886.0,842747.58351,1.79211e-05,8.4991e-07,,
523953.014057,1.94632086286,2420.98,nan,100,641380.0,1166.56099134,0.6,126.262626263,0.39855,396,1166.56099134,58833.7,1166.56099134,1,14570.5,4.93987e+12,50000,nan,4.13928e+08,523953.014057,1.40292e-05,4.57964e-06,,
766135.167318,2.86404397335,3169.17,nan,100,684842.0,1431.67373013,0.6,155.279503106,0.0794664,322,1431.67373013,48773.4,1431.67373013,1,78.5948,1.48435e+07,50000,nan,361998.0,766135.167318,1.72533e-05,7.15308e-07,,
539641.596657,3.32141775867,2665.83,nan,100,665324.0,1410.45443401,0.6,152.905198777,0.156433,327,1410.45443401,50391.5,1410.45443401,1,1789.22,1.90587e+10,50000,nan,1.64745e+07,539641.596657,1.69895e-05,1.71841e-06,,
650145.16774,1.09525340599,2759.76,nan,100,630968.0,1456.17297924,0.6,157.728706625,0.125415,317,1456.17297924,52734.3,1456.17297924,1,43.2763,6.16136e+06,50000,nan,309694.0,650145.16774,1.75254e-05,1.01044e-06,,
808884.969398,5.40812879943,3324.72,nan,100,689090.0,1488.03033495,0.6,161.290322581,0.0694834,310,1488.03033495,44860.5,1488.03033495,1,60.19,6.09817e+06,50000,nan,233367.0,808884.969398,1.79211e-05,5.40608e-07,,
794818.181082,0.612393543372,3055.3,nan,100,654212.0,1636.71155439,0.6,177.304964539,0.0453753,282,1636.71155439,47910.2,1636.71155439,1,7.85311,43263.2,50000,nan,18087.7,794818.181082,1.97005e-05,2.72265e-07,,
893658.444079,1.78868237505,3384.98,nan,100,706670.0,1684.57248418,0.6,182.481751825,0.113175,274,1684.57248418,38505.7,1684.57248418,1,40.0925,2.86019e+06,50000,nan,223789.0,893658.444079,2.02758e-05,7.31513e-07,,
737238.584778,1.23371692157,3289.14,nan,100,692463.0,1613.1289996,0.6,174.825174825,0.0623999,286,1613.1289996,40072.9,1613.1289996,1,92.7744,9.44953e+06,50000,nan,298023.0,737238.584778,1.9425e-05,4.14264e-07,,
648563.573316,1.28967996623,2937.45,nan,100,632197.0,1552.58763318,0.6,168.35016835,0.0964016,297,1552.58763318,53332.9,1552.58763318,1,25.9207,1.15532e+06,50000,nan,133586.0,648563.573316,1.87056e-05,6.01661e-07,,
820618.367343,0.898380409254,2836.5,nan,100,606335.0,1569.77757479,0.6,170.068027211,0.0737674,294,1569.77757479,50561.5,1569.77757479,1,8.76522,101399.0,50000,nan,34217.4,820618.367343,1.88964e-05,4.71267e-07,,
928758.438487,1.12445803423,3406.04,nan,100,677235.0,1590.39124193,0.6,172.413793103,0.0515883,290,1590.39124193,42564.7,1590.39124193,1,20.9196,351784.0,50000,nan,56334.6,928758.438487,1.91571e-05,2.95005e-07,,
910145.063962,1.95774942641,3302.81,nan,100,668941.0,1596.33274498,0.6,173.010380623,0.0328449,289,1596.33274498,40051.4,1596.33274498,1,13.9777,117635.0,50000,nan,23882.2,910145.063962,1.92234e-05,2.22497e-07,,
699540.627932,3.87947329439,3062.51,nan,100,599354.0,1585.4407463,0.6,171.821305842,0.0406209,291,1585.4407463,44175.1,1585.4407463,1,6.41926,14695.8,50000,nan,13658.4,699540.627932,1.90913e-05,1.29985e-07,,
997576.277588,1.12947500264,3373.04,nan,100,688622.0,1773.11881531,0.6,192.307692308,0.02304,260,1773.11881531,38377.3,1773.11881531,1,8.73785,14113.2,50000,nan,9421.78,997576.277588,2.13675e-05,8.43966e-08,,
973695.964337,5.8219738279,3408.1,nan,100,696827.0,1591.97103818,0.6,172.413793103,0.0755095,290,1591.97103818,42259.8,1591.97103818,1,27.5662,1.27001e+06,50000,nan,108655.0,973695.964337,1.91571e-05,6.13357e-07,,
1071003.20515,4.08725150726,3514.26,nan,100,697485.0,1720.8474291,0.6,186.567164179,0.0116222,268,1720.8474291,32502.2,1720.8474291,1,23.8398,140480.0,50000,nan,13365.9,1071003.20515,2.07297e-05,1.06217e-07,,
824325.021451,2.13853639477,3277.74,nan,100,657963.0,1640.21073518,0.6,177.93594306,0.0427191,281,1640.21073518,43068.8,1640.21073518,1,31.6213,736398.0,50000,nan,68325.2,824325.021451,1.97707e-05,2.87869e-07,,
871029.971759,2.45052638782,3086.51,nan,100,597246.0,1740.42270852,0.6,188.679245283,0.0274192,265,1740.42270852,35332.7,1740.42270852,1,3.93522,1627.71,50000,nan,5146.86,871029.971759,2.09644e-05,4.61958e-08,,
707448.728956,2.65517326163,3099.88,nan,100,648778.0,1610.78643551,0.6,174.825174825,0.0445713,286,1610.78643551,49792.4,1610.78643551,1,24.571,478060.0,50000,nan,56378.9,707448.728956,1.9425e-05,2.98786e-07,,
967107.882699,1.61337634638,3246.01,nan,100,651336.0,1634.84792107,0.6,177.304964539,0.0386458,282,1634.84792107,41781.3,1634.84792107,1,14.9051,103654.0,50000,nan,29238.7,967107.882699,1.97006e-05,1.81082e-07,,
827785.22016,2.62858924916,3396.84,nan,100,669368.0,1621.99109188,0.6,176.056338028,0.0267488,284,1621.99109188,39380.9,1621.99109188,1,75.495,3.64924e+06,50000,nan,103232.0,827785.22016,1.95618e-05,2.45011e-07,,
