EpLenMean,InitialBound,MaxIWNorm,Weights,ReturnStepMaxmin,MeanEntropy,EpRewMean,J_sample_variance,InitialReturnMax,ReturnStepMax,EmpiricalD2,InitialReturnMean,EpThisIter,ESSClassic,InitialReturnStd,TimeElapsed,StdIWNorm,StdIW,Bound,MinIWNorm,ESSRenyi,TimestepsSoFar,ReturnMeanIW,MeanIW,MeanIWNorm,MaxIW,EntropyCoefficient,EpisodesSoFar,InitialReturnMin,MinIW,Iteration
231.69,10.307359,2.143885,[-1.196 -0.895 -0.121 -0.797 -0.231],98.20599,1.1542639,-91.98117861798536,103784.09,47.165764,100.0,39.94215,6.4849854e-07,100,2.5427508,23.358784,976.5783805847168,0.21531472,21.531471,41.8142,8.488572e-06,2.5036209,310587,40.207787,3.4779115,0.03477911,214.38849,10.0,4100,-39.838997,0.0008488573,41
270.44,10.186241,0.31558824,[-1.211 -0.9   -0.125 -0.782 -0.265],98.34064,1.1299974,-89.15835535270526,8896.1455,32.342617,100.0,17.164375,-4.5776366e-07,100,9.012434,21.871033,1047.2608618736267,0.046972673,4.6972675,20.921227,3.495504e-05,5.8260202,337631,15.240794,1.4783434,0.014783433,31.558825,10.0,4200,-40.69191,0.0034955041,42
279.51,9.89618,0.06240431,[-1.237 -0.921 -0.131 -0.783 -0.289],98.35887,1.1220369,-89.60126741895337,686.25104,39.468224,100.0,3.0156338,2.9754638e-06,100,42.2853,21.708712,1119.6540517807007,0.0102390945,1.0239094,13.333595,0.00016638968,33.160526,365582,4.5509996,0.8764216,0.008764217,6.240431,10.0,4300,-42.11389,0.016638968,43
379.8,9.290305,0.06706621,[-1.246 -0.917 -0.123 -0.778 -0.297],98.67343,1.1187932,-62.015884153243114,364.38968,29.04885,100.0,1.5547217,1.2588501e-06,100,60.43789,17.493946,1215.2043509483337,0.008686507,0.8686508,11.133323,0.0020669398,64.32019,403562,2.3519585,1.0736436,0.010736436,6.706621,10.0,4400,-57.901955,0.20669398,44
341.31,9.644548,0.040882073,[-1.261 -0.931 -0.123 -0.788 -0.3  ],98.61046,1.1138037,-66.47844494379565,501.34482,33.88171,100.0,1.4855005,-5.722046e-07,100,68.17042,21.411283,1300.2776336669922,0.006506333,0.65063334,11.054939,0.0020027808,67.31738,437693,1.797995,0.95217955,0.009521795,4.0882072,10.0,4500,-46.30152,0.20027807,45
386.01,9.51417,0.07377777,[-1.259 -0.923 -0.123 -0.776 -0.305],98.66791,1.1168139,-64.09471103832404,195.25958,21.763132,100.0,2.0585659,1.1825562e-06,100,52.424522,15.397788,1397.29967212677,0.008902663,0.89026636,11.309493,0.0010422653,48.577507,476294,2.4712343,0.93453526,0.009345354,7.3777776,10.0,4600,-48.71608,0.10422654,46
444.95,9.458175,26.201464,[-1.255 -0.928 -0.117 -0.774 -0.302],98.78911,1.1236424,-46.918876906035955,13822516.0,16.864412,100.0,3936.4885,5.1498415e-07,100,1.0147141,10.882263,1509.6370861530304,2.6068242,260.68246,275.54953,9.976166e-07,0.02540335,520789,371.5987,26.39358,0.26393577,2620.1465,10.0,4700,-51.29892,9.976166e-05,47
477.65,9.90513,0.28951383,[-1.273 -0.923 -0.099 -0.773 -0.295],98.84775,1.14013,-36.359828150861134,911.48267,22.763054,100.0,6.1845675,3.6239624e-07,100,8.842001,8.773151,1630.8076341152191,0.030078715,3.0078716,11.529949,0.000144474,16.16928,568554,3.4394176,0.9367791,0.009367791,28.951384,10.0,4800,-39.938835,0.0144474,48
458.12,9.575821,0.028037915,[-1.255 -0.923 -0.102 -0.778 -0.279],98.80533,1.1367254,-44.59166956864655,96.592224,17.866123,100.0,1.2637106,1.5640259e-06,100,80.17635,10.029866,1746.2760834693909,0.0048473827,0.48473832,9.854285,0.0029122322,79.13204,614366,0.53914344,0.97485167,0.009748517,2.8037915,10.0,4900,-54.76444,0.29122323,49
436.72,9.548012,0.018871788,[-1.25  -0.932 -0.099 -0.782 -0.282],98.77077,1.1367539,-50.05682976695577,163.60196,27.232399,100.0,1.1080141,-4.959106e-07,100,91.89755,13.556215,1852.172743320465,0.0027882592,0.2788259,9.777555,0.004221648,90.25156,658038,0.32499054,0.93902415,0.009390241,1.8871789,10.0,5000,-54.577255,0.42216483,50
451.4,9.607563,7.1330566,[-1.251 -0.932 -0.097 -0.781 -0.282],98.81264,1.1601492,-42.28777551781594,196949.92,23.325954,100.0,170.37723,-7.6293944e-08,100,1.128307,11.3660145,1961.8858852386475,0.7093616,70.936165,32.416916,3.8836433e-06,0.5869329,703178,43.788155,7.577839,0.07577839,713.30566,10.0,5100,-52.79929,0.00038836434,51
480.59,10.483062,0.1580956,[-1.255 -0.931 -0.085 -0.769 -0.259],98.84662,1.1742122,-36.855980362260716,339.21515,16.14603,100.0,4.5066576,-2.670288e-07,100,24.344326,7.3646407,2081.777860403061,0.019221095,1.9221097,12.17218,0.00028425112,22.189394,751237,2.8043592,1.0903256,0.010903255,15.809561,10.0,5200,-33.552883,0.028425112,52
495.02,10.739721,0.049457997,[-1.25  -0.938 -0.077 -0.768 -0.245],98.84886,1.1938471,-37.40968922220686,170.39586,30.07201,100.0,2.2556605,-4.5776366e-07,100,55.80156,8.469626,2206.00066614151,0.008426752,0.8426752,12.21383,0.00095214066,44.332912,800739,1.7808499,0.9468471,0.009468471,4.9458,10.0,5300,-24.097466,0.09521407,53
480.19,10.9076,0.081547074,[-1.246 -0.938 -0.073 -0.772 -0.225],98.84654,1.1954459,-36.84436121537697,157.64171,21.260654,100.0,3.0751595,3.528595e-07,100,39.739227,7.473675,2324.522293329239,0.01417597,1.417597,12.108466,0.00094047975,32.51864,848758,1.9617559,1.151185,0.011511849,8.154708,10.0,5400,-30.926132,0.09404798,54
479.95,10.342596,0.067314684,[-1.246 -0.923 -0.072 -0.773 -0.223],98.84476,1.1938394,-37.25508674211862,274.77414,28.602571,100.0,1.8501788,-9.441376e-07,100,54.037716,9.659315,2444.6357102394104,0.008820212,0.88202125,11.281648,0.0011037514,54.04883,896753,1.5357282,0.95637167,0.009563717,6.7314687,10.0,5500,-48.355854,0.11037514,55
473.98,10.129469,2.0532126,[-1.247 -0.942 -0.068 -0.787 -0.225],98.84714,1.1948326,-36.22557892682367,55303.445,20.4444,100.0,85.81476,3.8146973e-07,100,1.9156775,9.871743,2559.284545660019,0.20414254,20.414253,18.891872,3.472682e-06,1.1653007,944151,23.700756,2.852955,0.02852955,205.32126,10.0,5600,-54.267765,0.00034726821,56
473.44,10.693356,0.029404964,[-1.246 -0.957 -0.083 -0.785 -0.224],98.84691,1.1923845,-36.23805816568244,131.44402,23.907295,100.0,1.3097857,-1.7738342e-06,100,76.92003,9.428133,2676.5328528881073,0.0057778587,0.5777859,11.081066,0.002630161,76.348366,991495,0.5934805,1.054797,0.0105479695,2.9404964,10.0,5700,-37.649055,0.2630161,57
469.84,10.134506,0.12108575,[-1.24  -0.953 -0.08  -0.787 -0.227],98.828476,1.1910187,-40.29429431941455,249.28119,18.512386,100.0,1.5799348,5.722046e-07,100,36.907207,9.927155,2792.8348309993744,0.012262441,1.2262441,10.746616,0.0005145983,63.29375,1038479,1.0855483,0.9378701,0.0093787005,12.108575,10.0,5800,-53.6802,0.05145983,58
475.81,11.108693,0.098775625,[-1.225 -0.96  -0.075 -0.792 -0.228],98.860504,1.1948572,-33.18788326134113,524.5138,24.044819,100.0,3.2803683,4.1007996e-07,100,35.860203,7.69384,2911.7289905548096,0.014974606,1.4974606,13.38307,0.00029298043,30.48438,1086060,2.8861465,1.1196904,0.011196904,9.8775625,10.0,5900,-20.74776,0.029298043,59
448.33,10.516056,0.4155258,[-1.199 -0.948 -0.074 -0.788 -0.224],98.8315,1.1982093,-37.77188668911313,1782.2312,23.77044,100.0,10.713628,-5.7220458e-08,100,7.5904098,11.188222,3024.6986498832703,0.042733572,4.2733574,13.312958,7.8277844e-05,9.333906,1130893,6.019728,1.2247384,0.012247383,41.55258,10.0,6000,-42.975464,0.007827785,60
482.33,11.150254,394.51883,[-1.189 -0.956 -0.063 -0.782 -0.221],98.853714,1.1783261,-35.278505044734004,911661400.0,20.688568,100.0,845930.2,-5.4359435e-07,100,1.000989,7.6414433,3143.756669521332,39.25393,3925.3933,2265.9832,4.5840667e-10,0.000118213065,1179126,3019.2786,394.71387,3.9471383,39451.883,10.0,6100,-24.955143,4.5840668e-08,61
398.74,10.018731,17.889833,[-1.196 -0.982 -0.06  -0.835 -0.241],98.714554,1.1238832,-56.90789176628038,10100965.0,27.839275,100.0,1879.8701,5.722046e-07,100,1.0152355,14.409789,3247.2874825000763,1.7798822,177.9882,251.56006,2.171884e-07,0.053195164,1219000,316.8268,18.025629,0.18025625,1788.9834,10.0,6200,-52.93593,2.171884e-05,62
483.06,10.475567,0.2956175,[-1.207 -0.968 -0.045 -0.819 -0.295],98.88287,1.1118158,-28.29003479865963,2074.9512,22.495188,100.0,21.542713,-2.9563904e-07,100,7.76528,7.5462723,3366.929906606674,0.034497093,3.4497094,14.630224,5.2926407e-05,4.641941,1267306,7.054695,1.0009533,0.010009533,29.56175,10.0,6300,-22.89796,0.005292641,63
484.81,10.206076,0.23173395,[-1.222 -0.977 -0.034 -0.833 -0.307],98.901855,1.1093391,-23.792368954061637,229.43373,21.610157,100.0,5.3879585,1.9550323e-07,100,17.616201,7.623571,3486.4938237667084,0.028265666,2.826567,11.522601,9.267528e-05,18.559906,1315787,2.5463357,1.3070569,0.0130705675,23.173395,10.0,6400,-27.3625,0.009267528,64
468.58,9.763994,0.15670347,[-1.23  -0.968 -0.03  -0.838 -0.31 ],98.85878,1.1414697,-33.08559023053636,2001.616,27.63216,100.0,4.968904,2.0980835e-07,100,25.01634,8.916725,3601.768972158432,0.021025078,2.1025076,13.870216,0.00034359965,20.125162,1362645,5.4188843,1.2144122,0.012144123,15.670348,10.0,6500,-39.881927,0.034359965,65
474.14,10.281509,0.10980516,[-1.219 -0.977 -0.026 -0.84  -0.278],98.865036,1.1302296,-31.997157637268256,245.37291,22.082113,100.0,2.3989222,-3.2424927e-07,100,38.839058,8.3808775,3718.4206659793854,0.014829071,1.482907,11.860177,0.0005082874,41.685387,1410059,2.3130152,1.1817108,0.01181711,10.980516,10.0,6600,-33.99565,0.05082874,66
465.06,9.493744,0.055415463,[-1.237 -0.967 -0.028 -0.835 -0.289],98.85989,1.1305104,-32.57783443794042,113.21054,19.359179,100.0,1.3778054,1.9550323e-07,100,63.958187,12.047844,3832.9312267303467,0.0073537496,0.7353749,9.847447,0.001248737,72.57919,1456565,0.66522,0.9796109,0.009796109,5.5415463,10.0,6700,-54.25655,0.1248737,67
488.55,10.1070595,1.0301954,[-1.241 -0.964 -0.028 -0.829 -0.288],98.89412,1.1230402,-25.863174517902213,24122.889,21.165115,100.0,46.561054,9.441376e-07,100,4.29511,8.404291,3954.0611548423767,0.11696219,11.6962185,21.176586,8.51946e-06,2.1477177,1505420,18.121134,2.477796,0.02477796,103.01954,10.0,6800,-35.94139,0.00085194595,68
