InitialReturnStd,MeanEntropy,InitialReturnMean,MinIWNorm,InitialReturnMax,MeanIWNorm,MaxIWNorm,J_sample_variance,MaxIW,MeanIW,EntropyCoefficient,TimestepsSoFar,ReturnStepMaxmin,ReturnMeanIW,ESSClassic,ReturnStepMax,Bound,StdIW,MinIW,TimeElapsed,InitialBound,EpRewMean,EpThisIter,ESSRenyi,EpisodesSoFar,InitialReturnMin,Iteration,Weights,EmpiricalD2,EpLenMean,StdIWNorm
14.78367,1.2557324,-3.4332274e-06,0.0011268426,48.6228,0.009972469,0.0354089,696.4022,3.54089,0.99724686,10.0,127442,96.14102,3.2984145,65.0655,100.0,13.692143,0.73072577,0.11268426,447.55334067344666,10.742498,-102.03715501394096,100,56.11583,2600,-15.100487,26,[-0.985 -0.879 -0.098 -0.886 -0.183],1.7820283,71.38,0.0073072575
11.819461,1.1925087,2.5177003e-06,1.5315707e-05,41.65931,0.025063066,1.6547734,41379.23,165.47734,2.5063066,10.0,134196,95.93168,19.29543,2.256769,100.0,24.39043,16.494305,0.0015315707,469.00319027900696,11.168683,-103.61722580899497,100,4.13361,2700,-13.600727,27,[-0.969 -0.831 -0.093 -0.851 -0.163],24.19193,67.54,0.16494304
16.869366,1.1644214,-2.0980835e-06,0.00013819107,47.07895,0.02773099,1.2306606,247621.61,123.066055,2.773099,10.0,143218,96.67357,56.916195,4.356368,100.0,58.894302,12.993648,0.013819108,495.8578841686249,10.355786,-104.94503188231077,100,2.6357722,2800,-18.966267,28,[-1.027 -0.837 -0.104 -0.817 -0.226],37.939545,90.22,0.12993649
17.653503,1.1366907,-4.8065185e-06,0.00016146086,41.484154,0.010035673,0.087046795,1280.6349,8.7046795,1.0035673,10.0,152803,96.789,3.4455767,47.47589,100.0,12.758147,1.0555755,0.016146086,524.2755689620972,10.261405,-105.96187617786445,100,45.30842,2900,-20.979153,29,[-1.065 -0.849 -0.124 -0.796 -0.255],2.2070954,95.85,0.010555755
18.27083,1.1391952,1.335144e-06,4.95004e-06,38.788727,0.02440425,1.4680955,40765.49,146.80956,2.4404252,10.0,163760,97.03911,24.42593,2.7076378,100.0,25.4142,14.628829,0.000495004,555.3045737743378,10.073951,-107.42723995155875,100,1.5445232,3000,-24.423126,30,[-1.058 -0.891 -0.118 -0.818 -0.282],64.744896,109.57,0.14628829
16.526287,1.1406518,-3.8146973e-07,4.1874023e-07,46.05206,0.12350031,11.214246,20554202.0,1121.4246,12.350029,10.0,173035,96.72034,454.58484,1.2116643,100.0,362.27298,111.51408,4.1874024e-05,582.899365901947,9.856883,-105.71947045612258,100,0.02190505,3100,-20.234451,31,[-1.059 -0.882 -0.149 -0.82  -0.28 ],4565.157,92.75,1.1151408
15.684269,1.0947242,3.8146972e-08,0.00035425118,37.11108,0.011995628,0.18567087,3992.419,18.567087,1.1995627,10.0,181265,96.423645,8.42172,25.755278,100.0,16.712025,2.0366793,0.03542512,610.4974648952484,10.169481,-106.01715890557229,100,21.67715,3200,-17.87925,32,[-1.064 -0.876 -0.108 -0.848 -0.278],4.6131525,82.3,0.02036679
17.656929,1.097627,-2.5939942e-06,0.000119858734,37.864685,0.00934833,0.15846846,5174.9795,15.846846,0.934833,10.0,190976,96.831314,11.000291,17.455761,100.0,18.600485,2.0328624,0.011985874,638.7502720355988,9.685082,-105.3004335990443,100,13.9766,3300,-21.082382,33,[-1.105 -0.89  -0.134 -0.839 -0.324],7.154816,97.11,0.020328624
18.59384,1.096184,3.1280517e-06,0.0005287755,44.013603,0.017054884,0.60638607,11063.244,60.63861,1.7054887,10.0,201089,96.859085,15.774637,7.1116824,100.0,22.79721,6.1637244,0.05287755,668.0621838569641,9.509153,-108.25555292135601,100,13.870781,3400,-24.294552,34,[-1.102 -0.894 -0.117 -0.826 -0.321],7.209399,101.13,0.061637245
22.152308,1.1226743,-9.536743e-07,0.0005865202,48.112133,0.012073088,0.08602724,1896.2278,8.602724,1.2073088,10.0,213978,97.34781,5.969865,44.218292,100.0,14.717051,1.3560114,0.05865202,703.7516570091248,9.358101,-106.47566159722399,100,41.83294,3500,-27.898754,35,[-1.114 -0.867 -0.125 -0.788 -0.323],2.3904607,128.89,0.0135601135
20.730186,1.1522326,-3.2615662e-06,2.2555232e-06,46.327713,0.15236604,14.12086,18739992.0,1412.086,15.236606,10.0,226953,97.3914,422.50018,1.1635301,100.0,336.58313,140.4294,0.00022555233,738.6373834609985,9.682483,-104.35741915819028,100,0.025117142,3600,-29.06903,36,[-1.139 -0.871 -0.125 -0.8   -0.296],3981.3447,129.75,1.4042939
19.92302,1.164063,9.918213e-07,0.00013776783,48.043713,0.012742307,0.24551916,8021.16,24.551916,1.2742307,10.0,238298,97.13816,10.869434,18.875517,100.0,18.693493,2.6416457,0.013776783,771.8744502067566,9.92087,-105.61287495925632,100,17.606941,3700,-26.023758,37,[-1.17  -0.84  -0.158 -0.795 -0.267],5.6795783,113.45,0.026416458
21.092548,1.1688169,3.967285e-06,0.00042443848,45.10989,0.010919772,0.09485759,2280.9363,9.485759,1.0919772,10.0,251532,97.424576,6.5557885,38.221455,100.0,15.340785,1.3882856,0.04244385,807.65766954422,10.136971,-104.24538617766737,100,26.825962,3800,-27.319641,38,[-1.19  -0.851 -0.144 -0.796 -0.255],3.7277322,132.34,0.013882855
21.452576,1.1854184,2.670288e-07,0.00037979396,38.983696,0.012433385,0.15503424,2363.4036,15.503425,1.2433385,10.0,269338,97.82768,7.2298493,19.90896,100.0,15.921509,2.4937737,0.037979398,856.0316655635834,10.388713,-104.37142273836236,100,16.88325,3900,-34.229187,39,[-1.211 -0.848 -0.151 -0.779 -0.25 ],5.9230304,178.06,0.024937736
