TimestepsSoFar,Weights,InitialReturnMin,EmpiricalD2,EpLenMean,MaxIW,EpRewMean,InitialBound,StdIW,Iteration,MaxIWNorm,ReturnMeanIW,InitialReturnMax,EpThisIter,ESSRenyi,Bound,ESSClassic,MeanIW,TimeElapsed,InitialReturnMean,J_sample_variance,ReturnStepMax,StdIWNorm,ReturnStepMaxmin,MeanIWNorm,MeanEntropy,EpisodesSoFar,EntropyCoefficient,MinIWNorm,InitialReturnStd,MinIW
156165,[-0.017 -0.516  0.032 -0.361  0.165],-38.891216,3.9191525,202.08,12.974643,-117.18067787784983,6.623956,1.5581278,21,0.12974642,7.214003,28.500566,100,25.51572,12.552984,30.763939,1.0386229,468.69331789016724,-4.959106e-07,1531.5953,100.0,0.015581278,97.840256,0.010386229,1.5810786,2100,5.0,0.0006162716,16.748283,0.06162716
181681,[-0.047 -0.549  0.016 -0.376  0.162],-46.381283,6.360036,255.16,14.142767,-108.58701468627136,6.3593526,2.5747845,22,0.14142767,10.656124,33.265488,100,15.723182,14.769955,24.161228,1.4532982,533.152925491333,2.2506713e-06,1963.7396,100.0,0.025747843,98.14887,0.014532982,1.6025628,2200,5.0,0.00014450714,17.274702,0.014450714
211650,[-0.116 -0.532  0.012 -0.368  0.184],-48.829506,12.448255,299.69,82.664566,-100.06996170085624,6.385162,8.206047,23,0.8266456,10.836241,28.518095,100,8.033255,13.2629795,3.9662845,1.6676853,611.2891223430634,-1.5068055e-06,10283.807,100.0,0.082060464,98.332184,0.016676852,1.6338855,2300,5.0,1.9722693e-05,15.820911,0.0019722693
240514,[-0.175 -0.548  0.008 -0.372  0.215],-32.07017,3.4166641,288.64,9.980736,-97.47324553184534,7.0581355,1.6373352,24,0.09980736,2.2497265,33.338703,100,29.268314,8.3353405,40.403454,1.348144,683.9671177864075,-1.5830993e-06,1085.9171,100.0,0.016373351,98.3246,0.013481442,1.6279494,2400,5.0,6.341854e-05,14.977292,0.006341854
263650,[-0.17  -0.549  0.014 -0.394  0.209],-30.116879,13.842146,231.36,56.275223,-102.73476626514737,6.799444,5.940209,25,0.5627522,12.245658,40.209095,100,7.2243133,15.295791,6.865257,1.6127768,744.4004054069519,1.5258789e-07,6771.349,100.0,0.059402086,98.11191,0.016127767,1.607347,2500,5.0,0.00025901018,17.264353,0.02590102
291910,[-0.137 -0.546  0.036 -0.38   0.188],-47.796295,5.3351836,282.6,40.68008,-106.83911283263573,6.443526,4.049438,26,0.4068008,9.307048,32.66771,100,18.743498,13.75355,9.44729,1.3079696,816.7478492259979,9.536743e-08,10548.445,100.0,0.04049438,98.24388,0.0130796945,1.6253003,2600,5.0,0.0002260867,16.045946,0.022608671
318652,[-0.188 -0.536  0.047 -0.383  0.206],-38.455265,3.6712716,267.42,9.944835,-102.10976028499387,6.844658,1.601673,27,0.099448346,5.629715,29.002693,100,27.23852,11.168703,36.223305,1.2070824,886.0836024284363,-1.1253356e-06,990.66595,100.0,0.016016727,98.23633,0.012070825,1.5990139,2700,5.0,0.0006938255,16.26028,0.06938255
349734,[-0.228 -0.538  0.056 -0.372  0.18 ],-44.63871,67.08506,310.82,116.617096,-97.24197047050424,6.507114,14.043411,28,1.166171,41.918373,33.1561,100,1.4906448,37.568134,3.3697748,2.6225064,963.7106473445892,1.5640259e-06,141852.3,100.0,0.14043412,98.37428,0.026225064,1.5673889,2800,5.0,5.591353e-07,16.9423,5.591353e-05
391262,[-0.244 -0.574  0.047 -0.357  0.148],-36.864136,53.06893,415.28,89.89188,-88.99297685829347,6.608143,8.969558,29,0.89891875,21.968615,29.748404,100,1.8843417,21.087883,3.1494997,1.6174872,1067.294881105423,2.4795531e-06,44449.85,100.0,0.08969558,98.57141,0.01617487,1.6141831,2900,5.0,6.075686e-05,12.409475,0.0060756863
435188,[-0.241 -0.623  0.038 -0.369  0.195],-52.886326,6.366495,439.26,18.742899,-90.42536524808934,6.3080373,3.010773,30,0.18742898,6.947534,48.482437,100,15.70723,10.614593,21.371586,1.5696636,1179.5451562404633,-4.386902e-07,1346.2814,100.0,0.030107731,98.58829,0.015696635,1.6230272,3000,5.0,0.00017527361,12.5984535,0.017527362
472663,[-0.238 -0.623  0.048 -0.388  0.204],-33.38272,16.110266,374.75,28.415325,-91.2685373731025,7.0023804,4.367131,31,0.28415325,8.5289755,23.782484,100,6.2072225,12.12257,12.771446,1.6710402,1274.005431175232,1.5830993e-06,2981.297,100.0,0.043671314,98.51291,0.0167104,1.611987,3100,5.0,4.1584153e-05,13.110034,0.0041584154
515597,[-0.231 -0.63   0.063 -0.372  0.193],-39.560867,6.8383803,429.34,22.297813,-102.8298670677763,6.7412395,2.4769652,32,0.22297813,7.1830826,29.63985,100,14.623345,11.732208,16.143179,1.086789,1380.8452563285828,8.392334e-07,1415.7233,100.0,0.02476965,98.52098,0.01086789,1.5995108,3200,5.0,5.134333e-05,12.678472,0.005134333
557792,[-0.247 -0.63   0.045 -0.373  0.18 ],-35.949604,3.8418725,421.95,11.791727,-90.9018284869819,6.7992306,1.7745855,33,0.11791727,3.376894,34.84689,100,26.028975,9.008152,27.611044,1.095979,1484.6971819400787,-3.1280517e-06,697.1822,100.0,0.017745856,98.56914,0.010959788,1.5960099,3300,5.0,0.00032094045,12.708286,0.032094046
601621,[-0.274 -0.635  0.041 -0.388  0.177],-30.672089,1.9918222,438.29,5.057525,-87.12515035558363,6.9576473,0.8729726,34,0.05057525,1.5936037,29.932615,100,50.205284,8.2125635,60.321835,1.0763711,1593.081126689911,1.0871887e-06,297.09497,100.0,0.008729726,98.60243,0.010763709,1.6123796,3400,5.0,0.0016439649,13.012425,0.1643965
642647,[-0.288 -0.631  0.042 -0.396  0.194],-32.906693,30.291435,410.26,78.530815,-88.81650423627997,6.965007,8.286917,35,0.7853081,12.205455,28.012938,100,3.301263,14.3749695,4.112494,1.7161871,1694.1995482444763,-3.4332277e-07,12036.188,100.0,0.08286918,98.56702,0.01716187,1.6413077,3500,5.0,0.000110017834,12.075518,0.011001783
682809,[-0.293 -0.599  0.024 -0.372  0.222],-35.763466,1810.2078,401.62,504.92316,-89.16212152700813,7.0144234,50.71721,36,5.0492315,140.28378,28.961317,100,0.055242278,97.668396,1.5896621,6.445956,1793.8719758987427,7.2479247e-07,2142347.0,100.0,0.50717205,98.555984,0.06445956,1.6209997,3600,5.0,2.2433535e-06,13.604268,0.00022433535
730629,[-0.322 -0.569  0.048 -0.329  0.202],-25.73151,11.299458,478.2,36.692284,-90.74460609224575,7.095931,5.92752,37,0.36692283,7.088578,30.27206,100,8.849982,11.601515,10.978293,2.081577,1914.1586968898773,8.5830686e-07,5356.041,100.0,0.0592752,98.62047,0.020815767,1.5809776,3700,5.0,2.6261987e-05,10.330667,0.0026261988
776823,[-0.314 -0.572  0.056 -0.345  0.162],-30.210484,46.659523,461.94,135.44969,-86.31592867790948,6.454262,13.744193,38,1.3544968,17.267414,43.518776,100,2.1431851,15.358061,3.56435,2.6423516,2027.8956303596497,-1.9073487e-07,45749.05,100.0,0.13744193,98.6263,0.026423512,1.5999099,3800,5.0,7.1240406e-06,10.940628,0.0007124041
822966,[-0.314 -0.559  0.035 -0.324  0.181],-35.979836,4013.3313,461.43,1422.2839,-88.80614524759002,6.8002234,141.4937,39,14.222839,224.17726,21.211262,100,0.024916956,156.46248,1.0919015,14.866643,2143.6268475055695,2.0599366e-06,4717514.5,100.0,1.414937,98.61508,0.14866646,1.652731,3900,5.0,4.2683385e-07,10.711372,4.2683387e-05
866688,[-0.303 -0.547  0.06  -0.338  0.234],-31.300621,2.5708153,437.22,8.04016,-93.35244963016562,7.220301,1.1964773,40,0.0804016,2.7313378,29.524174,100,38.898167,9.370554,46.085518,1.1062008,2250.571875333786,5.7220458e-08,256.41476,100.0,0.011964771,98.572975,0.011062009,1.662421,4000,5.0,0.0009370673,12.793987,0.093706734
909059,[-0.318 -0.534  0.05  -0.339  0.244],-32.332314,3.0413163,423.71,5.824871,-81.09486126959209,7.2343607,1.104589,41,0.05824871,3.013973,21.562197,100,32.8805,9.3086815,47.350723,1.0475332,2355.090784549713,-7.05719e-07,304.98257,100.0,0.01104589,98.61722,0.010475332,1.6348451,4100,5.0,0.00027863408,11.107835,0.027863408
954021,[-0.339 -0.548  0.045 -0.337  0.216],-36.331474,210.44966,449.62,280.2996,-77.37325650430779,6.9631763,28.044449,42,2.802996,66.40179,26.585604,100,0.47517303,57.06418,1.973931,3.9796243,2465.839010477066,-4.196167e-07,399364.53,100.0,0.28044444,98.65582,0.039796248,1.6461881,4200,5.0,1.1655136e-05,11.1881275,0.0011655136
1000159,[-0.384 -0.571  0.018 -0.342  0.227],-33.57105,4.777678,461.38,16.98691,-82.38604532441416,7.111906,1.9950812,43,0.1698691,4.9058056,30.644043,100,20.93067,10.812407,22.459723,1.0737399,2578.3813014030457,5.912781e-07,1383.8427,100.0,0.01995081,98.64287,0.010737399,1.6705153,4300,5.0,0.00047405253,12.245859,0.047405254
1046847,[-0.371 -0.534  0.028 -0.328  0.251],-25.513735,1447.5144,466.88,1485.047,-79.53383395968797,7.461322,147.73477,44,14.85047,170.26706,26.737617,100,0.069083944,144.38855,1.1014037,15.590531,2692.766803741455,-8.5830686e-07,2661410.0,100.0,1.4773479,98.6593,0.15590532,1.6060658,4400,5.0,7.802901e-08,11.060813,7.802902e-06
1091936,[-0.414 -0.495  0.048 -0.333  0.187],-36.91136,1.6418892,450.89,3.8896189,-64.89652842893815,6.7999496,0.6663978,45,0.03889619,1.2128791,27.931759,100,60.90545,7.616813,68.27831,0.97768015,2805.993155002594,-2.479553e-07,238.38419,100.0,0.006663978,98.71214,0.009776801,1.596099,4500,5.0,0.0011602193,12.94701,0.11602194
1134970,[-0.426 -0.495  0.049 -0.342  0.177],-30.456715,37.980385,430.34,76.94094,-69.96982727072388,6.96527,8.69118,46,0.7694094,14.351189,25.118423,100,2.6329381,16.209684,5.8156295,2.1596715,2913.5813965797424,-1.1825562e-06,10234.491,100.0,0.086911805,98.67482,0.021596719,1.6230283,4600,5.0,2.2921213e-05,11.70723,0.0022921213
1171556,[-0.428 -0.476  0.063 -0.355  0.204],-44.26087,2.4468324,365.86,7.396695,-72.58301305761499,6.6397767,1.1245673,47,0.07396695,3.7163177,30.510227,100,40.869167,9.509206,46.256283,1.0432944,3005.15602517128,-1.9836425e-06,728.7342,100.0,0.011245672,98.603226,0.010432945,1.6201404,4700,5.0,0.00018472453,13.6045885,0.018472454
1211684,[-0.468 -0.47   0.061 -0.361  0.201],-39.494934,18.74341,401.28,35.893333,-69.10522108705528,6.784203,4.459993,48,0.35893333,10.450062,29.97224,100,5.3352084,12.916459,9.254814,1.4243155,3105.380087852478,-1.6403199e-06,5946.356,100.0,0.044599928,98.65558,0.014243153,1.6331997,4800,5.0,3.719462e-05,12.032031,0.0037194618
1250219,[-0.465 -0.464  0.038 -0.359  0.214],-40.065243,4.517286,385.35,14.253968,-60.628958387514984,6.8304896,2.2918751,49,0.14253968,3.835966,27.852436,100,22.137186,9.131856,22.734344,1.243194,3202.66063785553,-8.773804e-07,2299.5525,100.0,0.02291875,98.68533,0.012431938,1.6268731,4900,5.0,0.00031991268,12.974754,0.03199127
1285440,[-0.492 -0.468  0.026 -0.373  0.208],-50.318825,4.7183137,352.21,21.806023,-62.44450588977993,6.4570723,2.4279823,50,0.21806023,5.4414682,28.010849,100,21.194012,9.9783745,16.136,1.0650151,3293.203054189682,6.4849854e-07,1336.6261,100.0,0.024279824,98.64542,0.0106501505,1.6360543,5000,5.0,0.00023793882,16.277802,0.023793882
1324626,[-0.5   -0.486  0.015 -0.365  0.217],-47.010155,57.965572,391.86,164.89627,-56.120339082108565,6.6132646,16.396809,51,1.6489626,29.55123,21.07677,100,1.7251619,25.729687,2.1191745,2.4126475,3390.760551929474,-1.1062622e-06,87888.45,100.0,0.16396809,98.71356,0.02412647,1.6217741,5100,5.0,3.3850392e-05,15.643494,0.0033850393
1369200,[-0.559 -0.5    0.031 -0.376  0.203],-44.74559,4.352075,445.74,15.811902,-44.494026395989025,6.6173515,1.95531,52,0.15811902,4.7977567,20.093534,100,22.977545,9.711654,28.753351,1.2421603,3501.183018922806,7.343292e-07,863.20905,100.0,0.019553097,98.800354,0.012421602,1.6050899,5200,5.0,0.00016670441,12.405288,0.016670441
1411304,[-0.581 -0.478  0.022 -0.376  0.186],-53.184628,2.460106,421.04,15.48267,-39.0248394763549,6.252629,1.9623917,53,0.1548267,2.7718928,30.563656,100,40.648655,7.9810843,27.536083,1.2096951,3606.645127773285,1.5258789e-07,635.77246,100.0,0.019623917,98.81462,0.012096951,1.5979625,5300,5.0,0.00051947276,15.0116625,0.051947277
1451468,[-0.592 -0.453  0.011 -0.364  0.179],-47.05421,15.989446,401.64,53.913544,-46.9189546891526,6.42134,5.5474377,54,0.5391354,9.718266,36.04976,100,6.2541256,11.254063,5.200039,1.2992467,3706.764602661133,1.411438e-06,5922.4395,100.0,0.05547438,98.76636,0.012992466,1.5615246,5400,5.0,9.252911e-05,13.690381,0.009252911
1496321,[-0.586 -0.436  0.013 -0.337  0.143],-40.08738,90.46567,448.53,124.39738,-39.35026804864031,6.4713783,13.495071,55,1.2439737,28.387537,23.109428,100,1.1053917,23.75898,3.7616158,2.6680148,3816.6881313323975,1.1062622e-06,62963.85,100.0,0.1349507,98.82454,0.026680153,1.6161873,5500,5.0,3.191145e-05,12.785387,0.0031911451
1540293,[-0.613 -0.433  0.016 -0.347  0.197],-47.938007,3.3584921,439.72,15.846293,-36.60774109757634,6.4830046,2.0544653,56,0.15846293,2.748548,23.544823,100,29.775267,7.8201904,23.734898,1.1461185,3925.8504614830017,1.5735626e-06,1000.645,100.0,0.020544652,98.833496,0.011461185,1.6000092,5600,5.0,0.00014794567,13.025277,0.014794567
1580058,[-0.608 -0.427  0.019 -0.361  0.181],-43.06652,4.1371107,397.65,21.346933,-44.373120429428475,6.564494,2.7034707,57,0.21346933,3.8467114,34.63546,100,24.17146,8.981937,22.057886,1.4381943,4024.359461545944,-5.8174135e-07,675.8104,100.0,0.027034707,98.776825,0.014381942,1.611024,5700,5.0,0.00022550068,15.924754,0.022550069
1623895,[-0.615 -0.458  0.022 -0.364  0.192],-51.035706,2.012597,438.37,3.9470513,-40.444705800508125,6.3539286,0.7676531,58,0.039470512,1.742412,26.031498,100,49.687042,7.494924,64.84251,1.0425239,4129.327997922897,-1.926422e-06,264.5729,100.0,0.0076765306,98.815475,0.010425237,1.6331846,5800,5.0,0.0017276296,11.819188,0.17276296
1668265,[-0.618 -0.457  0.017 -0.367  0.214],-49.01065,4.0349216,443.7,15.094611,-36.15108409577252,6.532233,1.9898398,59,0.15094611,4.448269,33.526566,100,24.783628,9.196895,24.952728,1.1473862,4240.038543701172,-1.3732911e-06,816.9998,100.0,0.019898398,98.83705,0.0114738615,1.6060469,5900,5.0,0.00011153843,13.098596,0.011153843
1710410,[-0.642 -0.458  0.018 -0.379  0.187],-37.474064,2.6192255,421.45,10.610224,-40.04937486565631,6.781099,1.7185603,60,0.106102236,3.9646509,27.398382,100,38.179226,9.967407,35.374287,1.2714696,4346.739928245544,7.6293944e-08,763.2266,100.0,0.017185604,98.80995,0.012714696,1.6048719,6000,5.0,0.0006141671,12.608784,0.061416708
1755374,[-0.672 -0.478  0.022 -0.391  0.186],-49.836987,2.5747046,449.64,6.0539646,-33.07708575249599,6.3631277,1.201993,61,0.060539644,3.1753922,26.195992,100,38.839405,8.46062,44.68506,1.0803434,4459.8619084358215,7.1525574e-07,382.78027,100.0,0.012019929,98.852875,0.010803432,1.5901645,6100,5.0,0.0008625674,14.029781,0.08625674
1799016,[-0.683 -0.479  0.032 -0.396  0.171],-46.831924,2.1446908,436.42,7.608604,-38.96694520511464,6.389759,1.1787422,62,0.07608604,1.7794533,27.656202,100,46.62677,7.3322406,46.075535,1.0895848,4567.684485673904,4.7683716e-07,256.57056,100.0,0.011787421,98.82143,0.010895847,1.5677857,6200,5.0,0.0004850126,13.27711,0.04850126
1845627,[-0.691 -0.494  0.033 -0.398  0.149],-50.13614,128.49524,466.11,179.56306,-28.79194127976497,6.167725,18.355635,63,1.7956306,32.031696,28.145596,100,0.77823895,20.833715,2.0023499,2.6238053,4681.677001953125,1.0681152e-06,71418.266,100.0,0.18355635,98.876465,0.026238048,1.5492165,6300,5.0,5.13317e-06,12.123107,0.000513317
1885056,[-0.682 -0.439  0.02  -0.387  0.13 ],-51.27097,8.845148,394.29,27.628693,-46.34747960006398,6.03705,3.791463,64,0.27628693,6.8439045,28.057098,100,11.305634,9.637203,9.633295,1.2379127,4779.354735851288,-3.8146972e-08,5078.978,100.0,0.037914623,98.76491,0.012379127,1.5752193,6400,5.0,0.00027041294,15.84213,0.027041294
1929986,[-0.701 -0.437  0.02  -0.369  0.156],-45.78363,23.971365,449.3,50.38209,-24.880712079836115,6.3499756,5.12046,65,0.5038209,13.5225525,27.058573,100,4.1716437,14.134542,4.901105,1.1624339,4888.384497880936,2.670288e-07,19215.57,100.0,0.051204596,98.88925,0.011624337,1.6167932,6500,5.0,5.5036646e-05,12.418992,0.0055036647
1973184,[-0.687 -0.43   0.007 -0.365  0.198],-33.551483,312.163,431.98,403.11688,-33.83867971379632,6.965581,40.127407,66,4.031169,46.973328,23.89273,100,0.32034546,35.413414,1.3274146,4.6542115,4991.847784757614,-1.6021728e-06,234085.12,100.0,0.40127403,98.84334,0.0465421,1.6399642,6600,5.0,1.6702506e-05,11.532219,0.0016702507
2018791,[-0.681 -0.394 -0.004 -0.319  0.221],-49.26484,12.016471,456.07,31.38325,-28.11639263721148,6.5576606,4.8420577,67,0.3138325,8.826296,25.04979,100,8.321911,11.341329,11.835475,1.774091,5105.820233106613,3.1471254e-07,2106.5142,100.0,0.048420586,98.87669,0.01774091,1.6415099,6700,5.0,4.01653e-05,12.904091,0.0040165302
2065315,[-0.695 -0.411  0.011 -0.341  0.222],-43.812836,2.1577895,465.24,5.4765544,-27.317295387093203,6.7471213,0.8501578,68,0.05476554,2.0246015,21.923805,100,46.343723,8.039992,54.49538,0.93036133,5218.962072849274,2.670288e-07,245.70662,100.0,0.008501577,98.88257,0.009303613,1.6321348,6800,5.0,0.00090844155,11.658116,0.090844154
2109257,[-0.707 -0.392  0.007 -0.342  0.213],-44.18969,2.3838284,439.42,7.9425707,-29.179116396580334,6.687686,1.4324658,69,0.07942571,1.8584578,27.460052,100,41.94933,7.6880856,41.795303,1.2138609,5322.078308105469,1.4019013e-06,314.86444,100.0,0.014324656,98.86719,0.012138608,1.6207744,6900,5.0,0.0004051752,12.271963,0.04051752
2150424,[-0.72  -0.405 -0.001 -0.356  0.202],-54.772446,136.64204,411.67,205.11566,-40.300584346615864,6.278125,23.513458,70,2.0511565,52.999905,22.788578,100,0.7318392,39.51892,2.5729158,3.821109,5417.078656435013,6.1035155e-07,175782.34,100.0,0.23513456,98.804214,0.038211085,1.5721831,7000,5.0,1.1423778e-06,14.903591,0.00011423777
2196969,[-0.771 -0.386  0.009 -0.338  0.153],-33.29902,1.366185,465.45,3.017778,-25.51866741043133,6.750947,0.5444975,71,0.030177778,0.6990843,23.250298,100,73.19653,7.2533937,77.4989,1.0105128,5525.102335453033,-1.3446808e-06,98.682236,100.0,0.005444975,98.89035,0.0101051275,1.5703366,7100,5.0,0.0025721847,11.019197,0.25721848
2245752,[-0.773 -0.39   0.012 -0.332  0.151],-44.814445,14.506595,487.83,33.82479,-15.572224840936876,6.3578677,4.371774,72,0.3382479,6.906535,19.576097,100,6.8934164,9.113998,10.028512,1.4595653,5621.425409078598,3.1471254e-07,3636.6548,100.0,0.04371774,98.93616,0.014595653,1.579407,7200,5.0,8.7863766e-05,11.306734,0.008786377
