AvgRet,VarRet,AvgEpLen,EpsThisIter,AvgNormIw,BatchSize,IterType,Bound,AvgVanillaIw,ESSClassic,ESSRenyi,delta,VarVanillaIw,VarNormIw,MaxVanillaIw,renyi2,MaxNormIw,VarDiscRet,AvgDiscRet,J,MinVanillaIw,SamplesThisIter,VanillaAvgRet,VarJ,MinNormIw
2245.40818869,3976398.21704,225.225225225,222,2.5025e-05,100,1,4663.35,13.8472,10.9117952708,nan,0.8,2180.47,7.12158e-09,583.681,nan,0.00105485,3976398.21704,2245.40818869,773887.0,,50000,2245.40818869,17586.0,
2008.31225934,3254646.14967,201.612903226,248,2.24014e-05,100,1,4592.05,14.4747,9.68729996451,nan,0.8,26052.2,6.23985e-08,9121.88,nan,0.0141172,3254646.14967,2008.31225934,730306.0,,50000,2008.31225934,19069.9,
2444.35925992,4175556.86872,245.098039216,204,2.72331e-05,100,1,4663.63,14.7909,12.0050087985,nan,0.8,52528.5,1.78073e-07,12568.9,nan,0.023142,4175556.86872,2444.35925992,775005.0,,50000,2444.35925992,16976.3,
2867.53009144,2985943.12274,287.356321839,174,3.19285e-05,100,1,4631.66,3.88339,4.10422120551,nan,0.8,116.862,7.89969e-09,192.691,nan,0.00158427,2985943.12274,2867.53009144,769328.0,,50000,2867.53009144,15785.2,
2772.17135285,4240481.47885,277.777777778,180,3.08642e-05,100,1,4693.84,5.70627,7.02102482474,nan,0.8,304.855,8.91865e-09,592.529,nan,0.00320488,4240481.47885,2772.17135285,805417.0,,50000,2772.17135285,15144.5,
3200.30596332,3962680.75948,320.512820513,156,3.56125e-05,100,1,4694.8,5.98478,11.9565176031,nan,0.8,4680.31,1.65723e-07,3284.79,nan,0.0195462,3962680.75948,3200.30596332,803779.0,,50000,3200.30596332,14900.0,
2772.17040908,3898785.24891,277.777777778,180,3.08642e-05,100,1,4690.41,6.68014,4.6548292285,nan,0.8,295.577,6.30972e-09,360.519,nan,0.0016657,3898785.24891,2772.17040908,806983.0,,50000,2772.17040908,15773.2,
1858.67627184,4415734.46607,186.567164179,268,2.07297e-05,100,1,nan,8.39071,15.0710174628,nan,0.8,2359.01,1.43985e-08,1273.79,nan,0.00314696,4415734.46607,1858.67627184,nan,,50000,1858.67627184,nan,
2571.43443943,4307828.52132,257.731958763,194,2.86369e-05,100,1,4690.26,7.88731,3.8820015649,nan,0.8,545.357,7.1891e-09,504.992,nan,0.0018335,4307828.52132,2571.43443943,772045.0,,50000,2571.43443943,17655.6,
3080.21299591,2961061.75734,308.641975309,162,3.42936e-05,100,1,4655.1,10.4168,11.806328518,nan,0.8,7358.56,7.97533e-08,4071.71,nan,0.0134046,2961061.75734,3080.21299591,815437.0,,50000,3080.21299591,13387.7,
3006.11312512,3813205.8372,301.204819277,166,3.34672e-05,100,1,4657.47,6.91285,5.75918707264,nan,0.8,360.553,8.45071e-09,290.801,nan,0.00140786,3813205.8372,3006.11312512,818338.0,,50000,3006.11312512,12784.8,
3372.95374146,2935342.14602,337.837837838,148,3.75375e-05,100,1,4685.54,4.09668,3.02422042876,nan,0.8,66.4835,5.5819e-09,81.92,nan,0.000750626,2935342.14602,3372.95374146,832025.0,,50000,3372.95374146,11968.7,
2802.86954725,3224481.62884,280.898876404,178,3.1211e-05,100,1,4664.36,42.9589,11.9994055215,nan,0.8,2.69149e+06,1.4207e-06,84671.5,nan,0.0615165,3224481.62884,2802.86954725,795974.0,,50000,2802.86954725,14160.4,
3004.91972744,2728813.06274,301.204819277,166,3.34672e-05,100,1,4611.15,10.3524,13.1034124877,nan,0.8,3367.84,3.51972e-08,1851.01,nan,0.00598393,2728813.06274,3004.91972744,806310.0,,50000,3004.91972744,12618.8,
3467.04582185,2816836.13324,347.222222222,144,3.85802e-05,100,1,4664.94,4.75053,9.24647309446,nan,0.8,238.84,1.57526e-08,561.43,nan,0.00455952,2816836.13324,3467.04582185,832293.0,,50000,3467.04582185,11161.5,
2625.1402338,3936038.7777,263.157894737,190,2.92398e-05,100,1,4658.07,10.4514,11.2137393587,nan,0.8,3985.21,3.11926e-08,2722.81,nan,0.0076176,3936038.7777,2625.1402338,772593.0,,50000,2625.1402338,16289.0,
25.6773639535,4970.99660641,3.56938892062,14008,3.96599e-07,100,1,2163.22,1.06065e+15,8.89305997136,nan,0.8,inf,1.76501e-08,1.68246e+20,nan,0.0629109,4970.99660641,25.6773639535,46251.9,,50000,25.6773639535,51283.4,
76.8554994566,132718.001126,8.68055555556,5760,9.64506e-07,100,1,4489.04,3.42347e+11,8.5867115179,nan,0.8,2.40864e+27,1.91182e-08,1.19082e+16,nan,0.0335494,132718.001126,76.8554994566,522084.0,,50000,76.8554994566,109214.0,
376.450528928,482818.918487,38.6398763524,1294,4.29332e-06,100,1,4065.53,2.00821e+16,9.99998350755,nan,0.8,inf,4.28279e-07,4.67187e+20,nan,0.0998792,482818.918487,376.450528928,441257.0,,50000,376.450528928,25707.3,
277.527957233,486173.959976,28.7356321839,1740,3.19285e-06,100,1,4466.31,2.72406e+11,11.9866850935,nan,0.8,1.79798e+27,2.47005e-07,6.84668e+15,nan,0.0802492,486173.959976,277.527957233,456534.0,,50000,277.527957233,32028.0,
927.178514389,1970047.49309,93.6329588015,534,1.04037e-05,100,1,4570.15,5.37801e+09,8.89424437812,nan,0.8,1.23456e+23,4.61998e-07,2.7076e+13,nan,0.052378,1970047.49309,927.178514389,558274.0,,50000,927.178514389,31735.1,
432.752870585,927136.306884,44.2477876106,1130,4.91642e-06,100,1,4466.24,2.12471e+07,11.5469811858,nan,0.8,1.57679e+18,8.44253e-08,1.26796e+11,nan,0.0293395,927136.306884,432.752870585,478451.0,,50000,432.752870585,36290.5,
484.281971897,777372.789145,49.4071146245,1012,5.48968e-06,100,1,4277.67,2.38355e+21,11.9999992173,nan,0.8,inf,4.57436e-07,3.61819e+25,nan,0.0833324,777372.789145,484.281971897,496615.0,,50000,484.281971897,30957.4,
698.674330895,1304223.58706,70.821529745,706,7.86906e-06,100,1,4466.34,6.05978e+10,11.9925272567,nan,0.8,3.39177e+25,5.7195e-07,5.99055e+14,nan,0.0777916,1304223.58706,698.674330895,526342.0,,50000,698.674330895,26357.8,
1037.23014827,2552941.3317,104.60251046,478,1.16225e-05,100,1,4629.8,7749.16,11.9667238107,nan,0.8,1.56725e+11,3.52556e-07,3.23645e+07,nan,0.0485415,2552941.3317,1037.23014827,583742.0,,50000,1037.23014827,30602.3,
1388.22960394,2696571.87225,139.664804469,358,1.55183e-05,100,1,4613.41,1404.76,8.70144526862,nan,0.8,1.58576e+09,1.93517e-07,2.4359e+06,nan,0.0269092,2696571.87225,1388.22960394,614029.0,,50000,1388.22960394,26559.0,
1752.12910802,3143435.79442,176.056338028,284,1.95618e-05,100,1,4583.3,1186.74,11.9999575257,nan,0.8,5.55011e+09,1.50804e-06,4.86295e+06,nan,0.0801595,3143435.79442,1752.12910802,683190.0,,50000,1752.12910802,25109.7,
1872.75065284,4258500.35475,187.969924812,266,2.08855e-05,100,1,4694.52,18.3192,10.4791617663,nan,0.8,10650.2,1.38432e-08,5044.02,nan,0.00575066,4258500.35475,1872.75065284,683158.0,,50000,1872.75065284,24672.1,
2625.05730974,3264393.94754,263.157894737,190,2.92398e-05,100,1,4620.64,4.37475,5.75716526436,nan,0.8,311.111,1.38982e-08,441.044,nan,0.00294784,3264393.94754,2625.05730974,746202.0,,50000,2625.05730974,18189.5,
1506.847203,3337082.25012,151.515151515,330,1.6835e-05,100,1,nan,6148.55,13.2398656167,nan,0.8,1.2478e+11,9.35465e-07,2.45706e+07,nan,0.0672753,3337082.25012,1506.847203,nan,,50000,1506.847203,nan,
2058.13293475,3165704.55001,206.611570248,242,2.29568e-05,100,1,4592.77,92.7776,10.000456071,nan,0.8,1.17618e+07,7.20129e-07,224580.0,nan,0.0555699,3165704.55001,2058.13293475,684547.0,,50000,2058.13293475,19908.8,
2772.17695165,4081102.3704,277.777777778,180,3.08642e-05,100,1,4690.14,47069.7,12.0000038923,nan,0.8,5.9782e+12,2.57038e-06,1.27069e+08,nan,0.083321,4081102.3704,2772.17695165,762628.0,,50000,2772.17695165,17592.7,
2372.54662479,2388400.99269,238.095238095,210,2.6455e-05,100,1,4458.72,191.006,18.6761051065,nan,0.8,2.71266e+07,5.20377e-07,212967.0,nan,0.0294967,2388400.99269,2372.54662479,725112.0,,50000,2372.54662479,15911.3,
2653.91558401,4504058.74602,265.957446809,188,2.95508e-05,100,1,4694.16,8.02767,11.3148670342,nan,0.8,1598.41,2.16595e-08,1896.45,nan,0.00698106,4504058.74602,2653.91558401,759870.0,,50000,2653.91558401,19081.9,
1692.62196753,3375227.10729,170.068027211,294,1.88964e-05,100,1,4619.63,1.19998e+08,10.0000000719,nan,0.8,7.6189e+19,1.88932e-06,6.35028e+11,nan,0.1,3375227.10729,1692.62196753,665270.0,,50000,1692.62196753,21530.9,
2772.31859468,4592964.75054,277.777777778,180,3.08642e-05,100,1,4718.64,7.63427,11.8780833959,nan,0.8,3757.65,6.14173e-08,3101.01,nan,0.0125369,4592964.75054,2772.31859468,778077.0,,50000,2772.31859468,18838.0,
2204.97887975,3412199.10904,221.238938053,226,2.45821e-05,100,1,4628.91,32.4342,11.9080512531,nan,0.8,238944.0,1.37255e-07,26554.5,nan,0.0201259,3412199.10904,2204.97887975,701758.0,,50000,2204.97887975,19980.4,
2543.97203297,2963764.72269,255.102040816,196,2.83447e-05,100,1,4621.34,48.0992,9.99755529237,nan,0.8,3.47372e+06,1.20632e-06,110658.0,nan,0.0652101,2963764.72269,2543.97203297,742598.0,,50000,2543.97203297,18767.5,
3158.94914171,3551358.84055,316.455696203,158,3.51617e-05,100,1,4679.74,11.146,9.99876413639,nan,0.8,111197.0,1.10661e-06,17783.0,nan,0.056099,3551358.84055,3158.94914171,796073.0,,50000,3158.94914171,14951.0,
2374.20972938,3838624.63885,238.095238095,210,2.6455e-05,100,1,4664.09,12.3127,16.6149576309,nan,0.8,1793.7,8.2805e-09,615.09,nan,0.00132157,3838624.63885,2374.20972938,731767.0,,50000,2374.20972938,20351.0,
2329.67095002,3697037.68736,233.644859813,214,2.59605e-05,100,1,4664.33,13352.8,9.99999811777,nan,0.8,6.55637e+11,2.47824e-06,5.02485e+07,nan,0.0976929,3697037.68736,2329.67095002,723268.0,,50000,2329.67095002,19805.5,
2330.14755448,4355358.68061,233.644859813,214,2.59605e-05,100,1,4692.59,78.4577,10.0002475331,nan,0.8,1.97139e+07,2.15839e-06,275606.0,nan,0.091194,4355358.68061,2330.14755448,731305.0,,50000,2330.14755448,20024.6,
2265.97104558,3935806.33576,227.272727273,220,2.52525e-05,100,1,4669.95,23.9877,11.9915199132,nan,0.8,370158.0,4.10222e-07,34891.0,nan,0.0367307,3935806.33576,2265.97104558,710025.0,,50000,2265.97104558,19216.6,
3158.21072882,2773337.35074,316.455696203,158,3.51617e-05,100,1,4624.3,7.32689,6.55276630465,nan,0.8,450.961,1.03858e-08,270.095,nan,0.00129619,2773337.35074,3158.21072882,786995.0,,50000,3158.21072882,13364.8,
3080.24472122,3364070.45464,308.641975309,162,3.42936e-05,100,1,4653.03,201.699,9.80098565316,nan,0.8,8.18991e+07,2.36754e-06,483663.0,nan,0.0822341,3364070.45464,3080.24472122,773396.0,,50000,3080.24472122,15428.8,
2652.54164189,2491559.71695,265.957446809,188,2.95508e-05,100,1,4610.75,27.4032,9.9830328085,nan,0.8,500115.0,5.81574e-07,41034.7,nan,0.0442506,2491559.71695,2652.54164189,743020.0,,50000,2652.54164189,16423.4,
3420.9346254,3238399.19408,342.465753425,146,3.80518e-05,100,1,4715.21,3.49089,2.88791220397,nan,0.8,45.5374,5.4106e-09,144.306,nan,0.00157298,3238399.19408,3420.9346254,800031.0,,50000,3420.9346254,15296.7,
1976.73351205,3294374.44801,198.412698413,252,2.20459e-05,100,1,4656.91,31.0878,11.9721973159,nan,0.8,528309.0,2.65682e-07,44428.9,nan,0.0315067,3294374.44801,1976.73351205,684193.0,,50000,1976.73351205,21436.7,
2058.80571318,3775811.89658,206.611570248,242,2.29568e-05,100,1,4657.45,499.355,10.0000184643,nan,0.8,9.91447e+08,2.09544e-06,2.07826e+06,nan,0.0955437,3775811.89658,2058.80571318,718471.0,,50000,2058.80571318,20739.0,
1777.34885434,3047562.26986,178.571428571,280,1.98413e-05,100,1,4569.66,381.933,21.9290449648,nan,0.8,1.99846e+08,5.39338e-07,674543.0,nan,0.0350423,3047562.26986,1777.34885434,662305.0,,50000,1777.34885434,22117.2,
2166.82519374,3534157.53155,217.391304348,230,2.41546e-05,100,1,4663.25,26189.2,11.9999978344,nan,0.8,2.3225e+12,1.97565e-06,8.95221e+07,nan,0.0825672,3534157.53155,2166.82519374,722010.0,,50000,2166.82519374,19739.9,
1715.63535366,2732017.0233,172.413793103,290,1.91571e-05,100,1,4546.54,2521.98,20.9154936783,nan,0.8,1.49778e+10,8.64219e-07,7.26371e+06,nan,0.0551756,2732017.0233,1715.63535366,644714.0,,50000,1715.63535366,26149.3,
2803.34673606,3686592.57111,280.898876404,178,3.1211e-05,100,1,4688.64,6.29836,7.76931525767,nan,0.8,366.873,9.00898e-09,694.21,nan,0.0034401,3686592.57111,2803.34673606,757938.0,,50000,2803.34673606,18105.7,
3006.18613738,3202993.91688,301.204819277,166,3.34672e-05,100,1,4662.4,7.28007,2.05448831367,nan,0.8,318.294,6.72661e-09,86.8518,nan,0.000399266,3202993.91688,3006.18613738,781208.0,,50000,3006.18613738,15488.8,
2286.78201229,3775033.3884,229.357798165,218,2.54842e-05,100,1,4669.46,480.685,12.0000145997,nan,0.8,7.07442e+08,1.98843e-06,1.52119e+06,nan,0.0806481,3775033.3884,2286.78201229,720304.0,,50000,2286.78201229,20057.4,
2396.04230347,3447975.13056,240.384615385,208,2.67094e-05,100,1,4588.5,1266.71,10.0000020951,nan,0.8,5.77293e+09,2.56669e-06,4.64962e+06,nan,0.0980405,3447975.13056,2396.04230347,725872.0,,50000,2396.04230347,17036.7,
2868.79010734,4288943.9844,287.356321839,174,3.19285e-05,100,1,4715.2,276.688,12.000013456,nan,0.8,1.5104e+08,2.01126e-06,625061.0,nan,0.072129,4288943.9844,2868.79010734,769478.0,,50000,2868.79010734,17278.5,
2351.63346062,3465530.15426,235.849056604,212,2.62054e-05,100,1,4657.79,15.0926,9.42583229545,nan,0.8,5373.94,1.62011e-08,3202.29,nan,0.00556015,3465530.15426,2351.63346062,725872.0,,50000,2351.63346062,19602.2,
2970.8228864,3072035.45338,297.619047619,168,3.30688e-05,100,1,4690.51,6.37273,5.11756666796,nan,0.8,238.399,6.41934e-09,324.776,nan,0.0016853,3072035.45338,2970.8228864,774726.0,,50000,2970.8228864,16130.2,
2148.62272653,3805753.9001,215.517241379,232,2.39464e-05,100,1,4695.15,13.3423,5.27323974002,nan,0.8,1614.72,5.20135e-09,583.411,nan,0.00104709,3805753.9001,2148.62272653,702743.0,,50000,2148.62272653,23901.8,
2625.07362787,2924902.54937,263.157894737,190,2.92398e-05,100,1,4656.88,11.3136,2.80946641932,nan,0.8,1088.1,7.26805e-09,322.379,nan,0.000833183,2924902.54937,2625.07362787,754270.0,,50000,2625.07362787,16865.4,
2597.7102704,4120141.52824,260.416666667,192,2.89352e-05,100,1,4663.29,8.72803,2.92646479721,nan,0.8,588.127,6.46384e-09,320.814,nan,0.00106356,4120141.52824,2597.7102704,750125.0,,50000,2597.7102704,18502.0,
2653.3188578,3719289.71963,265.957446809,188,2.95508e-05,100,1,4669.87,11.5166,11.7306516149,nan,0.8,8274.59,5.44802e-08,4508.06,nan,0.0115674,3719289.71963,2653.3188578,734880.0,,50000,2653.3188578,18869.5,
2935.15736895,4036625.97991,294.117647059,170,3.26797e-05,100,1,4664.66,5.80652,3.48402119223,nan,0.8,194.39,6.15743e-09,121.216,nan,0.000682219,4036625.97991,2935.15736895,783620.0,,50000,2935.15736895,17029.1,
2625.0693375,3620844.60889,263.157894737,190,2.92398e-05,100,1,4657.53,10.814,4.0312506028,nan,0.8,1174.24,8.58474e-09,720.208,nan,0.00194735,3620844.60889,2625.0693375,734188.0,,50000,2625.0693375,18252.7,
2543.36410832,3393076.78895,255.102040816,196,2.83447e-05,100,1,4605.95,14.6783,3.1264658821,nan,0.8,2291.53,8.54511e-09,490.432,nan,0.000947054,3393076.78895,2543.36410832,723456.0,,50000,2543.36410832,19243.5,
1436.03373586,2671622.26468,144.50867052,346,1.60565e-05,100,1,4466.3,425666.0,21.9995561624,nan,0.8,5.04587e+14,7.17961e-07,1.19614e+09,nan,0.0451196,2671622.26468,1436.03373586,633293.0,,50000,1436.03373586,25424.1,
1872.25441417,3751155.57359,187.969924812,266,2.08855e-05,100,1,4662.71,21.4723,3.17902788989,nan,0.8,8073.82,7.63856e-09,2382.24,nan,0.00231713,3751155.57359,1872.25441417,686410.0,,50000,1872.25441417,25912.3,
2184.98693972,3548136.53651,219.298245614,228,2.43665e-05,100,1,4582.17,33.0265,10.9533744787,nan,0.8,222461.0,1.21092e-07,19099.8,nan,0.0140916,3548136.53651,2184.98693972,689673.0,,50000,2184.98693972,21219.2,
2544.52287333,3151551.82769,255.102040816,196,2.83447e-05,100,1,4663.72,12.8161,5.87128326647,nan,0.8,1448.19,7.08361e-09,323.591,nan,0.000715668,3151551.82769,2544.52287333,752608.0,,50000,2544.52287333,18804.9,
2397.6331111,3718952.89256,240.384615385,208,2.67094e-05,100,1,4689.97,383007.0,12.0000031213,nan,0.8,4.57165e+14,2.22325e-06,1.19448e+09,nan,0.0832981,3718952.89256,2397.6331111,736138.0,,50000,2397.6331111,20537.2,
3466.17608731,2486953.46925,347.222222222,144,3.85803e-05,100,1,4641.6,81.4884,10.0004627595,nan,0.8,1.50078e+07,3.364e-06,197270.0,nan,0.0933965,2486953.46925,3466.17608731,794731.0,,50000,3466.17608731,13105.9,
3005.58332172,2934243.36022,301.204819277,166,3.34672e-05,100,1,4611.83,5.36962,10.0244978672,nan,0.8,8363.56,3.24896e-07,4968.06,nan,0.0309644,2934243.36022,3005.58332172,786299.0,,50000,3005.58332172,14365.9,
2969.58779977,3644829.04305,297.619047619,168,3.30688e-05,100,1,4650.14,299698.0,9.99999725289,nan,0.8,2.71517e+14,3.30573e-06,9.06263e+08,nan,0.0999975,3644829.04305,2969.58779977,791741.0,,50000,2969.58779977,15511.7,
2772.15330152,3981172.90066,277.777777778,180,3.08642e-05,100,1,4690.05,6.51331,2.93503657284,nan,0.8,233.034,5.23271e-09,200.675,nan,0.000950926,3981172.90066,2772.15330152,770581.0,,50000,2772.15330152,17783.3,
3006.78189292,3373285.77894,301.204819277,166,3.34672e-05,100,1,4647.24,4.83067,10.0134157468,nan,0.8,13574.5,6.51553e-07,6364.53,nan,0.0440939,3373285.77894,3006.78189292,764411.0,,50000,3006.78189292,17513.9,
3042.83673547,2769140.08003,304.87804878,164,3.38753e-05,100,1,4657.87,31.4585,10.0001635265,nan,0.8,1.50446e+06,1.7445e-06,66647.8,nan,0.0717682,2769140.08003,3042.83673547,780206.0,,50000,3042.83673547,15110.3,
4029.54269421,2549462.1668,403.225806452,124,4.48029e-05,100,1,4732.31,1.70612,4.0416989674,nan,0.8,4.45922,3.07506e-09,41.0127,nan,0.001077,2549462.1668,4029.54269421,854367.0,4.52378e-26,50000,4029.54269421,10725.9,1.18795e-30
2372.58359934,2308332.12738,238.095238095,210,2.6455e-05,100,1,4504.7,45.9226,10.8900784195,nan,0.8,500836.0,1.6621e-07,37250.5,nan,0.0214592,2308332.12738,2372.58359934,701442.0,,50000,2372.58359934,18167.8,
2836.07179102,4780957.90029,284.090909091,176,3.15657e-05,100,1,4714.97,29.3542,12.0002431747,nan,0.8,1.44412e+06,1.66991e-06,61744.8,nan,0.0663965,4780957.90029,2836.07179102,779092.0,,50000,2836.07179102,18196.7,
2224.65441557,3981493.35054,223.214285714,224,2.48016e-05,100,1,4646.96,2154.41,9.99999991377,nan,0.8,1.65713e+10,2.19613e-06,8.16139e+06,nan,0.093954,3981493.35054,2224.65441557,718749.0,,50000,2224.65441557,20625.2,
2651.3823344,2562990.39824,265.957446809,188,2.95508e-05,100,1,4466.11,1.31698e+11,12.0000007367,nan,0.8,4.88954e+25,2.46177e-06,3.71389e+14,nan,0.0833333,2562990.39824,2651.3823344,726739.0,,50000,2651.3823344,15006.3,
2518.7095297,4091791.83246,252.525252525,198,2.80584e-05,100,1,4663.98,9.8218,3.11795747307,nan,0.8,843.052,6.88013e-09,536.291,nan,0.00153205,4091791.83246,2518.7095297,737132.0,,50000,2518.7095297,19505.5,
