VarDiscRet,Bound,VarVanillaIw,AvgNormIw,MaxNormIw,MaxVanillaIw,MinNormIw,VarJ,VarRet,ESSRenyi,ESSClassic,J,VarNormIw,eRenyi2,AvgVanillaIw,AvgRet,VanillaAvgRet,AvgEpLen,MinVanillaIw,AvgDiscRet,BatchSize
113.40666799594295,-0.89563453,,0.009999998,0.01,1.0,0.01,10.595877,113.40666799594295,100.0,100.0,5.9604645e-08,3.5044917e-18,1.0,1.0,-5.453415496958769e-15,-15.426576919496192,200.0,1.0,-5.453415496958769e-15,100
116.85031456752749,-0.90913117,,0.009999998,0.01,1.0,0.01,10.7555485,116.85031456752749,100.0,100.0,1.1920929e-07,3.5044917e-18,1.0,1.0,1.4210854715202004e-16,-15.98764125455452,200.0,1.0,1.4210854715202004e-16,100
111.90212440451694,-0.88967365,,0.009999998,0.01,1.0,0.01,10.525355,111.90212440451694,100.0,100.0,-1.6763806e-08,3.5044917e-18,1.0,1.0,-4.263256414560601e-16,-14.316574202632424,200.0,1.0,-4.263256414560601e-16,100
118.42631270096132,-0.9152414,,0.009999998,0.01,1.0,0.01,10.827837,118.42631270096132,100.0,100.0,6.7055225e-08,3.5044917e-18,1.0,1.0,-1.2434497875801754e-16,-13.771518411297537,200.0,1.0,-1.2434497875801754e-16,100
112.78229487834638,-0.8931656,,0.009999998,0.01,1.0,0.01,10.566668,112.78229487834638,100.0,100.0,1.1920929e-07,3.5044917e-18,1.0,1.0,7.371880883511039e-16,-14.778205787081026,200.0,1.0,7.371880883511039e-16,100
117.00083787962396,-0.9097165,,0.009999998,0.01,1.0,0.01,10.762474,117.00083787962396,100.0,100.0,-1.1175871e-08,3.5044917e-18,1.0,1.0,-2.966515921798418e-15,-13.923717657504989,200.0,1.0,-2.966515921798418e-15,100
122.21537902814647,-0.92976767,,0.009999998,0.01,1.0,0.01,10.999692,122.21537902814647,100.0,100.0,-2.9802322e-08,3.5044917e-18,1.0,1.0,-1.1723955140041654e-15,-13.455826708234959,200.0,1.0,-1.1723955140041654e-15,100
115.4576233576919,-0.9036971,,0.009999998,0.01,1.0,0.01,10.69126,115.4576233576919,100.0,100.0,-5.9604645e-08,3.5044917e-18,1.0,1.0,-8.348877145181177e-16,-15.061981176250404,200.0,1.0,-8.348877145181177e-16,100
118.2028114450797,-0.91437733,,0.009999998,0.01,1.0,0.01,10.817615,118.2028114450797,100.0,100.0,2.9802322e-08,3.5044917e-18,1.0,1.0,5.506706202140776e-16,-15.413512260974473,200.0,1.0,5.506706202140776e-16,100
104.6149171549319,-0.86021763,,0.009999998,0.01,1.0,0.01,10.176873,104.6149171549319,100.0,100.0,2.2351742e-08,3.5044917e-18,1.0,1.0,9.237055564881303e-16,-14.674819203767534,200.0,1.0,9.237055564881303e-16,100
