MaxVanillaIw,BatchSize,VarDiscRet,EpsThisIter,AvgDiscRet,eRenyi2,VarVanillaIw,VarJ,Bound,MinNormIw,AvgVanillaIw,AvgNormIw,ESSClassic,ESSRenyi,AvgEpLen,AvgRet,MinVanillaIw,VarRet,J,Delta,VarNormIw,VanillaAvgRet,MaxNormIw,IterType
1.38948,100,1879.64280893,100,-446.895418289,1.03266,0.0326528,44.0795,-558.567,0.00514513,0.988321,0.01,96.796535227,96.8370808807,500.0,-446.895418289,0.508504,1879.64280893,-443.398,0.2,3.3429e-06,-446.895418289,0.014059,1
1.64523,100,2098.67240099,100,-445.514250857,1.0622,0.070646,47.7952,-552.562,0.00429344,1.01567,0.01,93.6506356077,94.1443390279,500.0,-445.514250857,0.436069,2098.67240099,-439.4,0.2,6.84835e-06,-445.514250857,0.0161986,1
1.37631,100,1472.70281347,100,-435.988072695,1.02804,0.0251502,36.7606,-543.98,0.00515355,1.01691,0.01,97.6488887787,97.2721476964,500.0,-435.988072695,0.524072,1472.70281347,-432.844,0.2,2.43206e-06,-435.988072695,0.0135342,1
1.57156,100,1918.71804811,100,-431.401380706,1.04741,0.0514559,43.5452,-536.007,0.00377451,1.00706,0.01,95.2172336352,95.4735631491,500.0,-431.401380706,0.380114,1918.71804811,-426.295,0.2,5.07373e-06,-431.401380706,0.0156055,1
1.6034,100,2162.02227117,100,-438.210682837,1.06586,0.0691292,45.5709,-544.818,0.0041436,1.01656,0.01,93.7887880894,93.8205504456,500.0,-438.210682837,0.421223,2162.02227117,-431.291,0.2,6.68947e-06,-438.210682837,0.0157727,1
1.49999,100,2095.46807099,100,-441.890769272,1.04633,0.0541643,45.6863,-554.11,0.00530102,0.974684,0.01,94.6571358812,95.5723735652,500.0,-441.890769272,0.516683,2095.46807099,-436.672,0.2,5.70145e-06,-441.890769272,0.0153895,1
1.47154,100,1674.63448113,100,-435.373019677,1.04182,0.0518602,41.7449,-543.069,0.00426578,0.966289,0.01,94.7879603678,95.9857784743,500.0,-435.373019677,0.412198,1674.63448113,-431.088,0.2,5.55418e-06,-435.373019677,0.0152288,1
6.22042,100,1953.84953935,100,-424.689825545,1.09102,0.327845,64.5473,-532.855,0.00528495,1.03398,0.01,76.7115595965,91.6571689056,500.0,-424.689825545,0.546453,1953.84953935,-417.305,0.2,3.06651e-05,-424.689825545,0.06016,1
40.7543,100,1595.10851594,100,-428.64440577,1.0,16.6082,42.5627,-440.818,,0.422693,0.01,1.0749764764,99.9999880791,500.0,-428.64440577,,1595.10851594,-336.758,0.2,0.00929548,-428.64440577,0.964158,1
inf,200,60734.0259565,100,-657.869701882,nan,nan,nan,nan,nan,inf,nan,nan,nan,500.0,-428.64440577,0.0245373,1595.10851594,nan,0.2,nan,-428.64440577,nan,
15.1562,200,1942.0794771,100,-430.928620304,1.21298,1.39021,84.1494,-502.457,0.00147072,1.12528,0.005,95.5841272585,164.882560157,500.0,-430.928620304,0.330996,1942.0794771,-417.688,0.2,2.74472e-05,-430.928620304,0.0673438,1
1.0,200,1780.42434666,100,-429.334765162,1.0,,41.9836,-538.469,0.01,1.0,0.01,100.0,200.0,500.0,-429.334765162,1.0,1780.42434666,-429.335,0.2,3.50449e-18,-429.334765162,0.01,2
1.31142,200,2101.69044446,100,-423.651371267,1.02759,0.0267769,44.5872,-507.632,0.00221865,0.987068,0.005,194.676408875,194.630327787,500.0,-423.651371267,0.437991,2101.69044446,-424.215,0.2,6.87078e-07,-423.651371267,0.00664299,1
1.0,200,1840.83742417,100,-426.915371494,1.0,,42.6899,-541.273,0.01,1.0,0.01,100.0,200.0,500.0,-426.915371494,1.0,1840.83742417,-426.915,0.2,3.50449e-18,-426.915371494,0.01,2
1.50021,200,2769.40160023,100,-423.486039307,1.03652,0.0343508,46.3906,-508.704,0.00227336,1.00505,0.005,193.454192273,192.953187746,500.0,-423.486039307,0.456968,2769.40160023,-422.164,0.2,8.50159e-07,-423.486039307,0.00746337,1
1.0,200,1709.49746707,100,-423.099930448,1.0,,41.1388,-528.35,0.01,1.0,0.01,100.0,200.0,500.0,-423.099930448,1.0,1709.49746707,-423.1,0.2,3.50449e-18,-423.099930448,0.01,2
2.10571,200,2532.57711683,100,-419.447409973,1.04157,0.05455,45.6822,-507.868,0.00177186,1.00966,0.005,189.889594141,192.018532062,500.0,-419.447409973,0.357795,2532.57711683,-417.58,0.2,1.33777e-06,-419.447409973,0.0104278,1
1.0,200,1638.29007634,100,-414.287796222,1.0,,40.2729,-515.782,0.01,1.0,0.01,100.0,200.0,500.0,-414.287796222,1.0,1638.29007634,-414.288,0.2,3.50449e-18,-414.287796222,0.01,2
1.40982,200,1483.31280989,100,-418.704575132,1.02897,0.0324047,38.9407,-488.786,0.00217873,1.0085,0.005,193.854547877,194.370026551,500.0,-418.704575132,0.43945,1483.31280989,-414.275,0.2,7.96518e-07,-418.704575132,0.00698968,1
1.0,200,1734.36064459,100,-415.79190944,1.0,,41.4369,-526.554,0.01,1.0,0.01,100.0,200.0,500.0,-415.79190944,1.0,1734.36064459,-415.792,0.2,3.50449e-18,-415.79190944,0.01,2
1.71006,200,1447.97429562,100,-415.038064243,1.08135,0.0944186,39.7328,-490.731,0.00169133,1.00213,0.005,182.891105056,184.953447496,500.0,-415.038064243,0.338987,1447.97429562,-409.287,0.2,2.35043e-06,-415.038064243,0.00853208,1
1.0,200,1602.23155037,100,-418.069196051,1.0,,39.8272,-523.189,0.01,1.0,0.01,100.0,200.0,500.0,-418.069196051,1.0,1602.23155037,-418.069,0.2,3.50449e-18,-418.069196051,0.01,2
1.69699,200,2109.68146022,100,-413.243035155,1.05808,0.0697539,42.3777,-489.672,0.00217925,1.00447,0.005,187.12760674,189.021312141,500.0,-413.243035155,0.437797,2109.68146022,-411.512,0.2,1.72837e-06,-413.243035155,0.0084472,1
1.0,200,1331.48517955,100,-408.864321211,1.0,,36.3066,-508.942,0.01,1.0,0.01,100.0,200.0,500.0,-408.864321211,1.0,1331.48517955,-408.864,0.2,3.50449e-18,-408.864321211,0.01,2
1.46839,200,2241.96573491,100,-411.69739015,1.03706,0.0417355,43.1723,-487.86,0.00205496,0.992237,0.005,191.905559406,192.853267417,500.0,-411.69739015,0.407801,2241.96573491,-407.405,0.2,1.05978e-06,-411.69739015,0.00739939,1
