Bound,VarNormIw,MaxVanillaIw,eRenyi2,AvgEpLen,BatchSize,ESSClassic,MinVanillaIw,AvgNormIw,Delta,J,MaxNormIw,VarRet,IterType,VarVanillaIw,VarJ,VarDiscRet,AvgVanillaIw,EpsThisIter,ESSRenyi,AvgRet,MinNormIw,AvgDiscRet,VanillaAvgRet
-1237.74,3.12508e-05,2.5908,1.24992,500.0,100,76.3718367167,0.15008,0.01,0.2,-799.002,0.0269326,87717.1720479,1,0.289183,301.684,87717.1720479,0.961957,100,80.0048068074,-878.776836431,0.00156016,-878.776836431,-878.776836431
-1171.65,2.71457e-05,3.25509,1.20418,500.0,100,78.8182207011,0.0568208,0.01,0.2,-741.501,0.0330999,102534.746879,1,0.262526,239.409,102534.746879,0.983413,100,83.0440548063,-825.296331734,0.000577792,-825.296331734,-825.296331734
-912.056,1.1648e-05,1.71868,1.10751,500.0,100,89.6607617809,0.183526,0.01,0.2,-636.3,0.0171188,19444.2539898,1,0.117408,95.893,19444.2539898,1.00397,100,90.2928254913,-667.495144044,0.001828,-667.495144044,-667.495144044
-1089.9,1.98543e-05,2.43167,1.1588,500.0,100,83.5730557866,0.140345,0.01,0.2,-666.084,0.0230484,112378.176826,1,0.220996,174.018,112378.176826,1.05503,100,86.2961857649,-742.459541824,0.00133025,-742.459541824,-742.459541824
-1043.31,5.35653e-06,1.98587,1.04287,500.0,100,94.9640961127,0.498086,0.01,0.2,-642.976,0.0189875,45369.9032789,1,0.0585938,175.918,45369.9032789,1.04588,100,95.8888739018,-659.230000266,0.00476234,-659.230000266,-659.230000266
-862.583,1.09307e-05,1.52542,1.08853,500.0,100,90.2352819377,0.161242,0.01,0.2,-623.444,0.015813,13202.7827713,1,0.101718,84.2896,13202.7827713,0.964661,100,91.867229278,-646.672513784,0.00167149,-646.672513784,-646.672513784
-866.147,4.83128e-06,1.47401,1.05521,500.0,100,95.4353384405,0.468201,0.01,0.2,-599.26,0.0143746,13245.4437049,1,0.0508008,86.6634,13245.4437049,1.02543,100,94.7682627507,-614.123632268,0.00456592,-614.123632268,-614.123632268
-1001.85,3.95559e-06,1.62857,1.0336,500.0,100,96.2315576851,0.63487,0.01,0.2,-603.367,0.0163775,24303.7568477,1,0.0391134,117.404,24303.7568477,0.994391,100,96.7494182538,-616.774957196,0.00638451,-616.774957196,-616.774957196
-986.328,8.72121e-06,1.40943,1.05589,500.0,100,92.0522274491,0.303404,0.01,0.2,-583.341,0.0146242,41658.985212,1,0.0810061,92.386,41658.985212,0.963763,100,94.7065281351,-610.752547981,0.00314812,-610.752547981,-610.752547981
-751.737,6.20027e-06,1.83922,1.05912,500.0,100,94.2167242668,0.477123,0.01,0.2,-570.118,0.0182407,5865.97403961,1,0.0630369,71.8407,5865.97403961,1.00831,100,94.4179915143,-580.538984337,0.00473193,-580.538984337,-580.538984337
-765.308,9.84457e-06,1.87863,1.07161,500.0,100,91.1193741839,0.197432,0.01,0.2,-576.908,0.0191139,5974.99798002,1,0.0950997,62.5512,5974.99798002,0.982859,100,93.3176791702,-591.826768626,0.00200876,-591.826768626,-591.826768626
-722.211,6.95982e-06,1.8071,1.06928,500.0,100,93.5539294252,0.431159,0.01,0.2,-552.04,0.01763,4132.89127137,1,0.0731237,60.3487,4132.89127137,1.02501,100,93.5207775442,-563.303440365,0.00420637,-563.303440365,-563.303440365
-697.099,5.63131e-06,1.62505,1.05732,500.0,100,94.7193711201,0.390504,0.01,0.2,-550.532,0.0156154,3392.34669345,1,0.060987,57.2066,3392.34669345,1.04067,100,94.5787250499,-558.503350394,0.00375242,-558.503350394,-558.503350394
-697.408,6.04847e-06,2.08461,1.05068,500.0,100,94.3503376299,0.369165,0.01,0.2,-550.254,0.0203082,3067.58394777,1,0.0637317,51.7206,3067.58394777,1.02649,100,95.1765721944,-557.868878834,0.00359638,-557.868878834,-557.868878834
-685.597,1.43317e-05,1.80758,1.11562,500.0,100,87.5745607938,0.138542,0.01,0.2,-537.707,0.0181276,3641.47065493,1,0.1425,58.8573,3641.47065493,0.997143,100,89.636043986,-553.129886139,0.00138939,-553.129886139,-553.129886139
-689.108,7.81501e-06,1.68844,1.05577,500.0,100,92.8187491871,0.294511,0.01,0.2,-544.723,0.017315,2729.45155924,1,0.0743121,51.6488,2729.45155924,0.975136,100,94.7174141175,-552.365702733,0.0030202,-552.365702733,-552.365702733
-661.995,1.15695e-05,2.08785,1.07241,500.0,100,89.7232873499,0.494816,0.01,0.2,-519.921,0.0204208,2571.65081964,1,0.12094,51.5342,2571.65081964,1.02241,100,93.2478364079,-529.753342726,0.00483968,-529.753342726,-529.753342726
-660.508,5.06481e-06,1.86675,1.03758,500.0,100,95.2252489943,0.318942,0.01,0.2,-528.514,0.0190837,2674.41716564,1,0.0484629,54.9526,2674.41716564,0.97819,100,96.3778214722,-533.246037147,0.00326053,-533.246037147,-533.246037147
-663.854,4.61472e-06,1.52665,1.03653,500.0,100,95.6310141235,0.460035,0.01,0.2,-528.823,0.0152333,2647.26636631,1,0.0463488,52.9051,2647.26636631,1.00218,100,96.4757949907,-533.561310579,0.00459034,-533.561310579,-533.561310579
-658.334,2.94566e-06,1.37537,1.03092,500.0,100,97.1663873452,0.633484,0.01,0.2,-524.551,0.013868,2410.78900323,1,0.0289732,48.4716,2410.78900323,0.99176,100,97.0005101755,-528.609611654,0.00638747,-528.609611654,-528.609611654
-650.823,5.3842e-06,1.96152,1.03465,500.0,100,94.9393572727,0.2884,0.01,0.2,-516.335,0.0192605,2341.23540871,1,0.0558437,47.9956,2341.23540871,1.01842,100,96.6510443905,-520.862737358,0.00283184,-520.862737358,-520.862737358
-648.452,1.31253e-05,1.89835,1.09673,500.0,100,88.5002588922,0.275078,0.01,0.2,-513.366,0.0188856,2841.09965063,1,0.132617,54.6528,2841.09965063,1.00518,100,91.1802739666,-525.479896826,0.0027366,-525.479896826,-525.479896826
-640.736,7.51434e-06,1.50826,1.05495,500.0,100,93.0759139889,0.313896,0.01,0.2,-505.882,0.0154381,2278.5770956,1,0.0717229,44.5552,2278.5770956,0.976975,100,94.7914045298,-513.417178647,0.00321294,-513.417178647,-513.417178647
-637.582,3.88158e-06,1.57854,1.0389,500.0,100,96.2994064409,0.503519,0.01,0.2,-507.926,0.0159312,2142.45938538,1,0.0381083,45.2013,2142.45938538,0.990845,100,96.255377254,-512.61114399,0.00508172,-512.61114399,-512.61114399
-639.395,2.89279e-06,1.42121,1.02494,500.0,100,97.2158637796,0.552846,0.01,0.2,-501.881,0.0141979,2451.43721375,1,0.0289861,46.5781,2451.43721375,1.001,100,97.5663904657,-505.309350312,0.00552291,-505.309350312,-505.309350312
-628.619,6.2806e-06,1.41015,1.05022,500.0,100,94.1461715428,0.260682,0.01,0.2,-496.273,0.0140401,2545.60414567,1,0.0633561,47.3825,2545.60414567,1.00437,100,95.2179058437,-503.117463236,0.00259548,-503.117463236,-503.117463236
-630.071,2.8962e-06,1.21731,1.02482,500.0,100,97.2126957304,0.420737,0.01,0.2,-504.003,0.0122861,1852.99345214,1,0.0284317,41.3397,1852.99345214,0.990802,100,97.5778871126,-507.178061704,0.00424643,-507.178061704,-507.178061704
-613.183,4.30996e-06,1.87743,1.03362,500.0,100,95.9077114282,0.678972,0.01,0.2,-491.452,0.0181464,2377.32283507,1,0.0461338,49.3856,2377.32283507,1.0346,100,96.7469411245,-495.412854927,0.00656264,-495.412854927,-495.412854927
-618.702,4.0572e-06,1.60358,1.03602,500.0,100,96.1384586718,0.413851,0.01,0.2,-493.405,0.0164938,1968.18792098,1,0.0383502,41.8875,1968.18792098,0.972234,100,96.5231405166,-497.889156602,0.0042567,-497.889156602,-497.889156602
-611.233,5.10579e-06,1.68251,1.04399,500.0,100,95.1884838551,0.414153,0.01,0.2,-485.344,0.0170366,2851.51831998,1,0.0497983,52.6414,2851.51831998,0.987588,100,95.7864332028,-491.167291464,0.00419358,-491.167291464,-491.167291464
-611.392,9.14374e-06,3.20705,1.04725,500.0,100,91.6991314452,0.62667,0.01,0.2,-484.218,0.0310495,2104.84678147,1,0.0975496,52.2648,2104.84678147,1.03288,100,95.48779995,-489.396996039,0.0060672,-489.396996039,-489.396996039
-594.695,3.01315e-06,1.45164,1.02513,500.0,100,97.1033793126,0.611658,0.01,0.2,-478.847,0.0143365,1924.06666758,1,0.0308923,45.4465,1924.06666758,1.01255,100,97.5483621889,-481.623936747,0.0060408,-481.623936747,-481.623936747
-604.267,3.83836e-06,1.75693,1.0383,500.0,100,96.3391214881,0.546383,0.01,0.2,-478.147,0.0168215,2291.12380512,1,0.0418721,47.7453,2291.12380512,1.04445,100,96.3112082369,-482.901377642,0.00523128,-482.901377642,-482.901377642
-602.602,1.21696e-05,1.95764,1.08608,500.0,100,89.2475376686,0.319854,0.01,0.2,-477.218,0.0195135,2356.02331273,1,0.122481,51.1082,2356.02331273,1.00322,100,92.0739189782,-487.14828815,0.00318827,-487.14828815,-487.14828815
