ESSClassic,Bound,AvgRet,AvgEpLen,VarDiscRet,MaxVanillaIw,eRenyi2,ESSRenyi,AvgDiscRet,VanillaAvgRet,MinNormIw,J,VarRet,AvgVanillaIw,MaxNormIw,BatchSize,VarJ,VarVanillaIw,MinVanillaIw,AvgNormIw,VarNormIw
100.0,-110.93617,-2.1600499167107045e-13,180.57,1739895.3420725735,1.0,1.0,100.0,-2.1600499167107045e-13,1795.405971344233,0.01,-1.1444092e-05,1739895.3420725735,1.0,0.01,100,1312.4391,,1.0,0.009999998,3.5044917e-18
100.0,-107.754105,4.89990270580165e-13,173.99,1641514.215321272,1.0,1.0,100.0,4.89990270580165e-13,1729.520481063605,0.01,5.722046e-06,1641514.215321272,1.0,0.01,100,1274.7937,,1.0,0.009999998,3.5044917e-18
100.0,-102.4565,-4.092726157978177e-14,173.52,1484075.1784019626,1.0,1.0,100.0,-4.092726157978177e-14,1724.5977621353063,0.01,1.9073486e-06,1484075.1784019626,1.0,0.01,100,1212.1198,,1.0,0.009999998,3.5044917e-18
100.0,-100.54676,-2.955857780762017e-14,167.1,1429266.029929044,1.0,1.0,100.0,-2.955857780762017e-14,1660.595618898076,0.01,7.6293945e-06,1429266.029929044,1.0,0.01,100,1189.5265,,1.0,0.009999998,3.5044917e-18
100.0,-101.50075,-3.9108272176235914e-13,159.63,1456516.4296439486,1.0,1.0,100.0,-3.9108272176235914e-13,1585.9130491280334,0.01,3.8146973e-06,1456516.4296439486,1.0,0.01,100,1200.8127,,1.0,0.009999998,3.5044917e-18
100.0,-94.43266,3.1832314562052486e-13,170.62,1260727.891662514,1.0,1.0,100.0,3.1832314562052486e-13,1695.5613975360134,0.01,2.861023e-06,1260727.891662514,1.0,0.01,100,1117.1932,,1.0,0.009999998,3.5044917e-18
100.0,-117.37345,7.958078640513122e-14,173.22,1947675.7702740948,1.0,1.0,100.0,7.958078640513122e-14,1721.9305792147425,0.01,,1947675.7702740948,1.0,0.01,100,1388.5961,,1.0,0.009999998,3.5044917e-18
100.0,-98.56261,2.864908310584724e-13,168.54,1373413.0201673715,1.0,1.0,100.0,2.864908310584724e-13,1674.9042055808052,0.01,-1.1444092e-05,1373413.0201673715,1.0,0.01,100,1166.0526,,1.0,0.009999998,3.5044917e-18
100.0,-88.13169,2.1600499167107045e-13,158.97,1098098.6446100331,1.0,1.0,100.0,2.1600499167107045e-13,1579.080614007024,0.01,1.6212463e-05,1098098.6446100331,1.0,0.01,100,1042.6493,,1.0,0.009999998,3.5044917e-18
100.0,-110.66829,9.094947017729283e-14,171.85,1731502.8649121677,1.0,1.0,100.0,9.094947017729283e-14,1708.2168648665713,0.01,-2.861023e-06,1731502.8649121677,1.0,0.01,100,1309.27,,1.0,0.009999998,3.5044917e-18
100.0,-102.7666,1.602984411874786e-13,168.18,1493072.5166358082,1.0,1.0,100.0,1.602984411874786e-13,1671.3061502020128,0.01,,1493072.5166358082,1.0,0.01,100,1215.7886,,1.0,0.009999998,3.5044917e-18
100.0,-105.739655,2.2737367544323206e-13,187.02,1580711.5104947132,1.0,1.0,100.0,2.2737367544323206e-13,1859.793788426176,0.01,-4.7683716e-06,1580711.5104947132,1.0,0.01,100,1250.9614,,1.0,0.009999998,3.5044917e-18
100.0,-100.82042,4.25188773078844e-13,184.35,1437056.9229695275,1.0,1.0,100.0,4.25188773078844e-13,1832.9795131165765,0.01,,1437056.9229695275,1.0,0.01,100,1192.7642,,1.0,0.009999998,3.5044917e-18
100.0,-108.83559,6.366462912410498e-14,165.25,1674629.0553945943,1.0,1.0,100.0,6.366462912410498e-14,1642.1245875715017,0.01,-1.1444092e-05,1674629.0553945943,1.0,0.01,100,1287.5879,,1.0,0.009999998,3.5044917e-18
100.0,-106.83073,5.0022208597511053e-14,198.08,1613501.0203216567,1.0,1.0,100.0,5.0022208597511053e-14,1970.2651512616771,0.01,1.9073486e-06,1613501.0203216567,1.0,0.01,100,1263.8695,,1.0,0.009999998,3.5044917e-18
100.0,-95.88587,3.637978807091713e-14,168.21,1299828.6353219457,1.0,1.0,100.0,3.637978807091713e-14,1671.675574145023,0.01,,1299828.6353219457,1.0,0.01,100,1134.3854,,1.0,0.009999998,3.5044917e-18
100.0,-92.89141,-8.86757334228605e-14,149.32,1219910.7031390422,1.0,1.0,100.0,-8.86757334228605e-14,1482.7128911312604,0.01,1.9073486e-06,1219910.7031390422,1.0,0.01,100,1098.9592,,1.0,0.009999998,3.5044917e-18
100.0,-101.98088,-8.071765478234738e-14,175.38,1470328.9028629088,1.0,1.0,100.0,-8.071765478234738e-14,1743.3883327490141,0.01,5.722046e-06,1470328.9028629088,1.0,0.01,100,1206.4932,,1.0,0.009999998,3.5044917e-18
