VarVanillaIw,BatchSize,J,AvgDiscRet,Bound,AvgNormIw,VarDiscRet,AvgEpLen,AvgVanillaIw,IterType,AvgRet,eRenyi2,MinVanillaIw,MaxNormIw,EpsThisIter,VarNormIw,ESSClassic,MaxVanillaIw,ESSRenyi,MinNormIw,VanillaAvgRet,VarRet,VarJ
,400,11.357739,11.357739097893896,6.488786,0.009999998,169.3314891414714,49.88,1.0,2,11.357739097893896,1.0,1.0,0.01,100,3.5044917e-18,100.0,1.0,400.0,0.01,11.357739097893896,169.3314891414714,12.947516
,400,11.693272,12.028804831507022,7.6758227,0.0049999994,219.24245130523005,53.62,1.0,2,12.028804831507022,1.0,1.0,0.005,100,2.179301e-19,200.00000010221265,1.0,400.0,0.005,12.028804831507022,219.24245130523005,13.872876
,400,12.2641735,13.405974550574502,8.003515,0.0033333336,204.29666193186748,52.41,1.0,2,13.405974550574502,1.0,1.0,0.0033333334,100,5.4391416e-20,299.999969473632,1.0,400.0,0.0033333334,13.405974550574502,204.29666193186748,14.013357
0.2910579,500,12.679913,12.541423784619953,8.128981,0.0025,297.44215123768475,52.14,1.1800008,,10.183762925865585,1.0535628,1.4278638e-07,0.008024848,100,1.306456e-06,330.9860253125048,3.7877307,474.58017577655386,3.0251332e-10,10.183762925865585,125.68488618923735,15.194175
5455740000000.0,500,74.97008,13.923596881916927,72.04126,0.0020000003,148.69468491121046,52.97,104459.15,1,13.923596881916927,1.0773077,0.18684693,0.9999892,100,0.0019999568,1.000021597308607,52229012.0,464.11995336563274,3.5774161e-09,13.923596881916927,148.69468491121046,0.012640702
,500,13.264327,13.264327166937296,6.3410254,0.009999998,291.0940693685763,54.04,1.0,2,13.264327166937296,1.0,1.0,0.01,100,3.5044917e-18,100.0,1.0,500.0,0.01,13.264327166937296,291.0940693685763,16.975956
,500,13.747809,14.231292836296788,8.852296,0.0049999994,241.9143501707133,52.65,1.0,2,14.231292836296788,1.0,1.0,0.005,100,2.179301e-19,200.00000010221265,1.0,500.0,0.005,14.231292836296788,241.9143501707133,16.25032
,500,14.184329,15.057365671736063,10.187159,0.0033333336,233.50515769602927,54.61,1.0,2,15.057365671736063,1.0,1.0,0.0033333334,100,5.4391416e-20,299.999969473632,1.0,500.0,0.0033333334,15.057365671736063,233.50515769602927,15.921256
,500,13.743793,12.422187549205555,10.282142,0.0024999997,165.22828397771963,51.75,1.0,2,12.422187549205555,1.0,1.0,0.0025,100,5.434597e-20,400.0,1.0,500.0,0.0025,12.422187549205555,165.22828397771963,15.218114
1101114400000.0,500,82.26012,13.308638952800564,79.08734,0.0020000003,209.53926165108652,52.69,46928.887,1,13.308638952800564,1.050081,0.39525053,0.999979,100,0.001999916,1.0000419371091631,23463952.0,476.1537376948609,1.6844657e-08,13.308638952800564,209.53926165108652,0.030739797
,500,12.022027,12.02202715873479,5.9428277,0.009999998,189.81347495690125,51.45,1.0,2,12.02202715873479,1.0,1.0,0.01,100,3.5044917e-18,100.0,1.0,500.0,0.01,12.02202715873479,189.81347495690125,13.708221
,500,12.519782,13.017537692561444,5.59342,0.0049999994,307.7380978271517,52.26,1.0,2,13.017537692561444,1.0,1.0,0.005,100,2.179301e-19,200.00000010221265,1.0,500.0,0.005,13.017537692561444,307.7380978271517,15.701458
,500,11.939463,10.778824316596104,6.284112,0.0033333336,247.9222370640958,53.04,1.0,2,10.778824316596104,1.0,1.0,0.0033333334,100,5.4391416e-20,299.999969473632,1.0,500.0,0.0033333334,10.778824316596104,247.9222370640958,15.711305
,500,12.1274805,12.691532745301002,7.229803,0.0024999997,121.8924392740234,52.43,1.0,2,12.691532745301002,1.0,1.0,0.0025,100,5.434597e-20,400.0,1.0,500.0,0.0025,12.691532745301002,121.8924392740234,14.676792
479078020000.0,500,116.38336,12.715001601981703,111.87098,0.002,190.55701816058803,51.32,30955.164,1,12.715001601981703,1.061065,0.24213482,0.9999655,100,0.0019998616,1.0000690065976692,15477048.0,471.2246841821317,1.5644229e-08,12.715001601981703,190.55701816058803,0.07565617
,500,12.01461,12.014611658190958,5.4162383,0.009999998,261.5136530027773,52.94,1.0,2,12.014611658190958,1.0,1.0,0.01,100,3.5044917e-18,100.0,1.0,500.0,0.01,12.014611658190958,261.5136530027773,16.090322
,500,12.056038,12.097463992702112,7.3902845,0.0049999994,158.67505536108953,51.49,1.0,2,12.097463992702112,1.0,1.0,0.005,100,2.179301e-19,200.00000010221265,1.0,500.0,0.005,12.097463992702112,158.67505536108953,14.422036
,500,11.798187,11.282487920012207,7.988616,0.0033333336,208.56696113476795,55.03,1.0,2,11.282487920012207,1.0,1.0,0.0033333334,100,5.4391416e-20,299.999969473632,1.0,500.0,0.0033333334,11.282487920012207,208.56696113476795,14.409146
,500,10.959011,8.441480276307951,7.6598253,0.0024999997,96.28418652522323,49.77,1.0,2,8.441480276307951,1.0,1.0,0.0025,100,5.434597e-20,400.0,1.0,500.0,0.0025,8.441480276307951,96.28418652522323,13.478152
8777390000.0,500,204.39194,12.27933714391443,196.53247,0.0020000003,597.6416435939105,53.38,4190.825,1,12.27933714391443,1.0432935,0.23355146,0.99976605,100,0.0019990625,1.000468091227461,2094922.2,479.2515351162849,1.1145846e-07,12.27933714391443,597.6416435939105,0.99848336
,500,10.096512,10.096512627967861,3.7399254,0.009999998,181.80738609042388,53.33,1.0,2,10.096512627967861,1.0,1.0,0.01,100,3.5044917e-18,100.0,1.0,500.0,0.01,10.096512627967861,181.80738609042388,13.41601
,500,11.150787,12.205063012386491,6.656002,0.0049999994,198.95866154603544,53.44,1.0,2,12.205063012386491,1.0,1.0,0.005,100,2.179301e-19,200.00000010221265,1.0,500.0,0.005,12.205063012386491,198.95866154603544,13.769194
,500,11.666298,12.697317619088235,7.908122,0.0033333336,288.7025006641443,51.35,1.0,2,12.697317619088235,1.0,1.0,0.0033333334,100,5.4391416e-20,299.999969473632,1.0,500.0,0.0033333334,12.697317619088235,288.7025006641443,14.906279
,500,11.869141,12.477668031453405,8.614465,0.0024999997,142.94330837210867,51.92,1.0,2,12.477668031453405,1.0,1.0,0.0025,100,5.434597e-20,400.0,1.0,500.0,0.0025,12.477668031453405,142.94330837210867,14.2179365
