Bound,EpsThisIter,AvgEpLen,Delta,VarRet,MaxVanillaIw,IterType,VarDiscRet,ESSRenyi,VanillaAvgRet,MinVanillaIw,AvgVanillaIw,eRenyi2,BatchSize,VarNormIw,VarJ,MinNormIw,VarVanillaIw,AvgDiscRet,ESSClassic,AvgRet,J,AvgNormIw,MaxNormIw
35.2403,100,500.0,0.7,1187.30354349,1.0,2,1187.30354349,500.0,41.1722356737,1.0,1.0,1.0,500,2.1793e-19,31.6364,0.005,,41.1722356737,200.000000102,41.1722356737,39.3102,0.005,0.005
33.2995,100,500.0,0.7,534.554135776,1.0,2,534.554135776,500.0,31.2472406785,1.0,1.0,1.0,500,5.43914e-20,29.2932,0.00333333,,31.2472406785,299.999969474,31.2472406785,36.6226,0.00333333,0.00333333
32.7101,100,500.0,0.7,818.244305153,1.0,2,818.244305153,500.0,32.4841914954,1.0,1.0,1.0,500,5.4346e-20,29.1427,0.0025,,32.4841914954,400.0,32.4841914954,35.588,0.0025,0.0025
80.1232,100,500.0,0.7,229.794007147,1121.79,1,229.794007147,101.272571233,34.4912861313,0.000632901,27.9347,4.93717,500,0.00015117,4.44215,4.53128e-08,29491.2,34.4912861313,12.9143088451,34.4912861313,85.8426,0.002,0.0803151
39.0174,100,500.0,0.7,727.221823218,1.0,2,727.221823218,500.0,45.1172513967,1.0,1.0,1.0,500,3.50449e-18,26.8319,0.01,,45.1172513967,100.0,45.1172513967,45.1173,0.01,0.01
41.0914,100,500.0,0.7,337.316722753,1.0,2,337.316722753,500.0,45.6920734256,1.0,1.0,1.0,500,2.1793e-19,22.9571,0.005,,45.6920734256,200.000000102,45.6920734256,45.4047,0.005,0.005
39.3289,100,500.0,0.7,187.245011856,1.0,2,187.245011856,500.0,37.7427482102,1.0,1.0,1.0,500,5.43914e-20,20.6444,0.00333333,,37.7427482102,299.999969474,37.7427482102,42.8507,0.00333333,0.00333333
38.1421,100,500.0,0.7,808.102039545,1.0,2,808.102039545,500.0,36.2159882531,1.0,1.0,1.0,500,5.4346e-20,22.9761,0.0025,,36.2159882531,400.0,36.2159882531,41.192,0.0025,0.0025
85.1252,100,500.0,0.7,343.89468752,245.41,1,343.89468752,98.4415905806,51.0947965909,0.000185929,6.2111,5.07915,500,0.0001462,11.9631,5.987e-08,1410.01,51.0947965909,13.3415819963,51.0947965909,91.2732,0.002,0.0790231
43.5745,100,500.0,0.7,311.263095256,1.0,2,311.263095256,500.0,49.2852470888,1.0,1.0,1.0,500,3.50449e-18,17.5542,0.01,,49.2852470888,100.0,49.2852470888,49.2852,0.01,0.01
49.8118,100,500.0,0.7,334.562566605,1.0,2,334.562566605,500.0,58.6892999672,1.0,1.0,1.0,500,2.1793e-19,18.4876,0.005,,58.6892999672,200.000000102,58.6892999672,53.9873,0.005,0.005
50.0294,100,500.0,0.7,224.72850382,1.0,2,224.72850382,500.0,52.341428844,1.0,1.0,1.0,500,5.43914e-20,17.3961,0.00333333,,52.341428844,299.999969474,52.341428844,53.4387,0.00333333,0.00333333
46.9949,100,500.0,0.7,824.301096189,1.0,2,824.301096189,500.0,39.4734089578,1.0,1.0,1.0,500,5.4346e-20,21.6229,0.0025,,39.4734089578,400.0,39.4734089578,49.9473,0.0025,0.0025
83.4143,100,500.0,0.7,346.31235447,658.633,1,346.31235447,100.274110518,50.6682622435,6.73278e-05,16.2107,4.98633,500,0.000154787,5.75507,8.30657e-09,10169.0,50.6682622435,12.6200925815,50.6682622435,89.3111,0.002,0.081259
52.6126,100,500.0,0.7,445.351956706,1.0,2,445.351956706,500.0,58.4269577765,1.0,1.0,1.0,500,3.50449e-18,20.9976,0.01,,58.4269577765,100.0,58.4269577765,58.427,0.01,0.01
46.3334,100,500.0,0.7,767.363411466,1.0,2,767.363411466,500.0,42.6907118631,1.0,1.0,1.0,500,2.1793e-19,25.7333,0.005,,42.6907118631,200.000000102,42.6907118631,50.5588,0.005,0.005
46.9916,100,500.0,0.7,145.754949475,1.0,2,145.754949475,500.0,50.2073493417,1.0,1.0,1.0,500,5.43914e-20,22.1268,0.00333333,,50.2073493417,299.999969474,50.2073493417,50.4417,0.00333333,0.00333333
47.8927,100,500.0,0.7,389.897343015,1.0,2,389.897343015,500.0,52.1972448742,1.0,1.0,1.0,500,5.4346e-20,21.547,0.0025,,52.1972448742,400.0,52.1972448742,50.8806,0.0025,0.0025
82.2316,100,500.0,0.7,355.099767899,1154.46,1,355.099767899,105.39644989,45.4286286432,0.0102151,28.4222,4.74399,500,0.000154701,4.92557,7.18807e-07,31242.7,45.4286286432,12.6269663479,45.4286286432,88.0522,0.002,0.0812366
43.7913,100,500.0,0.7,489.464640296,1.0,2,489.464640296,500.0,49.2687294893,1.0,1.0,1.0,500,3.50449e-18,22.013,0.01,,49.2687294893,100.0,49.2687294893,49.2687,0.01,0.01
47.1721,100,500.0,0.7,334.835850973,1.0,2,334.835850973,500.0,52.8216400012,1.0,1.0,1.0,500,2.1793e-19,20.2777,0.005,,52.8216400012,200.000000102,52.8216400012,51.0452,0.005,0.005
47.9121,100,500.0,0.7,399.410689701,1.0,2,399.410689701,500.0,51.1331723803,1.0,1.0,1.0,500,5.43914e-20,20.1477,0.00333333,,51.1331723803,299.999969474,51.1331723803,51.0745,0.00333333,0.00333333
48.0457,100,500.0,0.7,158.574395218,1.0,2,158.574395218,500.0,49.9143076679,1.0,1.0,1.0,500,5.4346e-20,18.5458,0.0025,,49.9143076679,400.0,49.9143076679,50.7845,0.0025,0.0025
81.504,100,500.0,0.7,412.792092898,739.664,1,412.792092898,103.743632003,72.225234325,0.00229353,18.3617,4.81957,500,0.000152096,5.06273,2.49816e-07,12819.9,72.225234325,12.8376305551,72.225234325,87.4129,0.002,0.080566
62.7206,100,500.0,0.7,114.87304049,1.0,2,114.87304049,500.0,68.3757978015,1.0,1.0,1.0,500,3.50449e-18,10.6642,0.01,,68.3757978015,100.0,68.3757978015,68.3758,0.01,0.01
63.1014,100,500.0,0.7,189.103744774,1.0,2,189.103744774,500.0,66.1021591356,1.0,1.0,1.0,500,2.1793e-19,12.3191,0.005,,66.1021591356,200.000000102,66.1021591356,67.239,0.005,0.005
65.708,100,500.0,0.7,94.6407845807,1.0,2,94.6407845807,500.0,72.9750420273,1.0,1.0,1.0,500,5.43914e-20,11.8202,0.00333333,,72.9750420273,299.999969474,72.9750420273,69.151,0.00333333,0.00333333
64.9117,100,500.0,0.7,108.832014894,1.0,2,108.832014894,500.0,64.1205947196,1.0,1.0,1.0,500,5.4346e-20,11.682,0.0025,,64.1205947196,400.0,64.1205947196,67.8934,0.0025,0.0025
80.8316,100,500.0,0.7,564.161407332,740.697,1,564.161407332,143.253880212,55.4539172937,0.00268752,18.6031,3.49031,500,0.000148504,3.61646,2.88932e-07,12848.4,55.4539172937,13.1400428194,55.4539172937,85.814,0.002,0.0796314
61.3647,100,500.0,0.7,342.012688243,1.0,2,342.012688243,500.0,67.0390848473,1.0,1.0,1.0,500,3.50449e-18,18.4009,0.01,,67.0390848473,100.0,67.0390848473,67.0391,0.01,0.01
61.4531,100,500.0,0.7,324.685266284,1.0,2,324.685266284,500.0,64.6295487244,1.0,1.0,1.0,500,2.1793e-19,18.2062,0.005,,64.6295487244,200.000000102,64.6295487244,65.8343,0.005,0.005
65.2892,100,500.0,0.7,151.037935332,1.0,2,151.037935332,500.0,75.279772631,1.0,1.0,1.0,500,5.43914e-20,17.0484,0.00333333,,75.279772631,299.999969474,75.279772631,68.9828,0.00333333,0.00333333
66.343,100,500.0,0.7,183.431557551,1.0,2,183.431557551,500.0,71.218398446,1.0,1.0,1.0,500,5.4346e-20,16.258,0.0025,,71.218398446,400.0,71.218398446,69.5417,0.0025,0.0025
88.0394,100,500.0,0.7,470.081769729,505.557,1,470.081769729,118.240336935,59.500369767,0.00139952,12.6936,4.22868,500,0.000148597,4.56589,2.20509e-07,5985.71,59.500369767,13.1320058998,59.500369767,93.9227,0.002,0.0796557
63.4114,100,500.0,0.7,111.165673402,1.0,2,111.165673402,500.0,68.9735207882,1.0,1.0,1.0,500,3.50449e-18,10.4907,0.01,,68.9735207882,100.0,68.9735207882,68.9735,0.01,0.01
62.6936,100,500.0,0.7,127.574310926,1.0,2,127.574310926,500.0,64.2797549392,1.0,1.0,1.0,500,2.1793e-19,11.1213,0.005,,64.2797549392,200.000000102,64.2797549392,66.6266,0.005,0.005
62.5623,100,500.0,0.7,193.520966263,1.0,2,193.520966263,500.0,64.0675378881,1.0,1.0,1.0,500,5.43914e-20,12.1562,0.00333333,,64.0675378881,299.999969474,64.0675378881,65.7736,0.00333333,0.00333333
64.5404,100,500.0,0.7,156.990971715,1.0,2,156.990971715,500.0,72.7581751569,1.0,1.0,1.0,500,5.4346e-20,12.6029,0.0025,,72.7581751569,400.0,72.7581751569,67.5197,0.0025,0.0025
85.5595,100,500.0,0.7,47.9490946091,231.267,1,47.9490946091,123.711826725,82.7233480351,0.00104943,6.10131,4.04165,500,0.000134277,8.26326,3.44003e-07,1249.65,82.7233480351,14.4918772094,82.7233480351,90.996,0.002,0.0758089
66.8561,100,500.0,0.7,121.25564187,1.0,2,121.25564187,500.0,72.8838873164,1.0,1.0,1.0,500,3.50449e-18,10.9564,0.01,,72.8838873164,100.0,72.8838873164,72.8839,0.01,0.01
65.7679,100,500.0,0.7,326.315268364,1.0,2,326.315268364,500.0,67.1765891208,1.0,1.0,1.0,500,2.1793e-19,15.1556,0.005,,67.1765891208,200.000000102,67.1765891208,70.0302,0.005,0.005
68.0658,100,500.0,0.7,300.698654023,1.0,2,300.698654023,500.0,74.6522745617,1.0,1.0,1.0,500,5.43914e-20,16.0345,0.00333333,,74.6522745617,299.999969474,74.6522745617,71.5709,0.00333333,0.00333333
67.2632,100,500.0,0.7,246.348393429,1.0,2,246.348393429,500.0,66.4822602896,1.0,1.0,1.0,500,5.4346e-20,16.0828,0.0025,,66.4822602896,400.0,66.4822602896,70.2987,0.0025,0.0025
85.7665,100,500.0,0.7,139.492695139,178.998,1,139.492695139,122.264778916,77.2384002489,0.000740737,4.28735,4.08949,500,0.000136386,4.98428,3.45545e-07,626.741,77.2384002489,14.274167238,77.2384002489,91.257,0.002,0.0835004
73.9783,100,500.0,0.7,111.451262561,1.0,2,111.451262561,500.0,80.0148776415,1.0,1.0,1.0,500,3.50449e-18,10.5041,0.01,,80.0148776415,100.0,80.0148776415,80.0149,0.01,0.01
74.7353,100,500.0,0.7,153.89541689,1.0,2,153.89541689,500.0,78.1951151564,1.0,1.0,1.0,500,2.1793e-19,11.4967,0.005,,78.1951151564,200.000000102,78.1951151564,79.105,0.005,0.005
72.9692,100,500.0,0.7,74.7956919898,1.0,2,74.7956919898,500.0,71.401033821,1.0,1.0,1.0,500,5.43914e-20,11.2244,0.00333333,,71.401033821,299.999969474,71.401033821,76.537,0.00333333,0.00333333
