meankl,entropy,DiscEpRewMean,TimeElapsed,ev_tdlam_before,TimestepsSoFar,EpLenMean,surrgain,Var_J,optimgain,EpThisIter,EpRewMean,entloss,J_hat,EpisodesSoFar
0.00666594,7.71192,-65.7250779137,163.14283108711243,0.569521546364,85000,500.0,0.0278882,3603.296875,0.0278882,10,-190.31758063,,-42.941959381103516,170
0.00607195,7.66085,-68.7557411636,173.09922289848328,0.362428069115,90000,500.0,0.0273457,3455.186767578125,0.0273457,10,-168.19072011,,-42.56136703491211,180
0.00582604,7.61393,-51.3834647888,184.81532382965088,0.610667914152,95000,500.0,0.0267306,27921.900390625,0.0267306,10,-168.658247515,,-58.395545959472656,190
0.00592123,7.58379,-59.3518180217,194.4935827255249,0.467031896114,100000,500.0,0.0273413,9006608.0,0.0273413,10,-168.566829202,,-1135.2320556640625,200
0.00614145,7.54276,-53.8786648471,201.9153594970703,0.435754954815,105000,500.0,0.0290876,49771.859375,0.0290876,10,-135.978494052,,-82.11936950683594,210
0.00562814,7.50682,-57.7515994051,212.781512260437,0.403200924397,110000,500.0,0.027514,7600.9365234375,0.027514,10,-159.160143316,,-42.677589416503906,220
0.00633502,7.48068,-47.5248131554,223.9884476661682,0.554102897644,115000,500.0,0.0293591,5556736.0,0.0293591,10,-135.523267519,,769.818115234375,230
0.00577994,7.42557,-42.8794644724,236.1647505760193,0.565396934748,120000,500.0,0.0278339,45906.2578125,0.0278339,10,-121.302411578,,34.492149353027344,240
0.00611114,7.39627,-43.8754747603,246.72168064117432,0.443533480167,125000,500.0,0.0297603,3944.84912109375,0.0297603,10,-126.902433252,,-52.384300231933594,250
0.00584667,7.38573,-34.9241819949,257.9779176712036,0.545229941607,130000,500.0,0.0284155,144945.75,0.0284155,10,-122.087867309,,-66.84152221679688,260
0.00561502,7.36323,-40.2614039099,268.35914635658264,0.444804370403,135000,500.0,0.028103,517.4224853515625,0.028103,10,-103.741160446,,-12.923517227172852,270
0.00564526,7.32378,-31.7124057614,279.07786536216736,0.443977057934,140000,500.0,0.0294029,129634.140625,0.0294029,10,-106.975295278,,97.33114624023438,280
0.00595233,7.29097,-33.3451239007,288.78356432914734,0.455874085426,145000,500.0,0.0315116,1986.9287109375,0.0315116,10,-89.7212250733,,19.435405731201172,290
0.00555358,7.2519,-33.8786855289,300.13255548477173,0.346175789833,150000,500.0,0.030207,1587812.625,0.030207,10,-94.0128491142,,487.0478515625,300
0.00637407,7.19255,-15.0873662555,308.9069311618805,0.272029578686,155000,500.0,0.0329379,7016.4052734375,0.0329379,10,-42.8885226266,,60.469444274902344,310
0.00575187,7.17183,-22.2734113503,319.5080783367157,0.604569196701,160000,500.0,0.0322608,156200.453125,0.0322608,10,-61.1041209132,,193.5551300048828,320
0.00520379,7.10791,-35.104581543,329.66976976394653,0.350976467133,165000,500.0,0.0311653,4435827.0,0.0311653,10,-61.5472149506,,1003.1533203125,330
0.00565847,7.06374,-27.7548418084,340.5728302001953,0.264822006226,170000,500.0,0.0316227,9701.5546875,0.0316227,10,-53.680194729,,26.867340087890625,340
0.0057186,7.02956,-12.2884306684,352.28829979896545,0.610263198614,175000,500.0,0.0326902,60363001856.0,0.0326902,10,-49.7847964981,,81986.875,350
0.00525967,6.99316,-16.846932585,363.42138862609863,0.606121301651,180000,500.0,0.0320134,6528.63330078125,0.0320134,10,-36.0371970069,,50.728515625,360
0.00578077,6.95705,-23.720240856,373.2127990722656,0.362856090069,185000,500.0,0.0328856,9542356.0,0.0328856,10,-47.1952767379,,1060.546142578125,370
0.00519266,6.91673,-15.3490715379,384.66308307647705,0.302661955357,190000,500.0,0.031922,254070.421875,0.031922,10,-28.1545204632,,189.5085906982422,380
0.0053281,6.89062,-10.0617379122,394.9317030906677,0.660590291023,195000,500.0,0.0325112,28201.015625,0.0325112,10,-24.7698067159,,91.94931030273438,390
0.00553378,6.84468,-1.83808688464,405.68340826034546,0.765266507864,200000,500.0,0.0362096,15594.6826171875,0.0362096,10,-10.8818869831,,86.02101135253906,400
0.00456905,6.82342,-10.1856481417,416.03043270111084,0.307177484035,205000,500.0,0.0305429,25332.955078125,0.0305429,10,-14.7463964903,,3.1409010887145996,410
