MinNormIw,MaxNormIw,VarVanillaIw,VanillaAvgRet,MaxVanillaIw,AvgRet,VarJ,SamplesThisIter,delta,EpsThisIter,Bound,MinVanillaIw,J,AvgNormIw,AvgEpLen,IterType,AvgVanillaIw,ESSClassic,ESSRenyi,AvgDiscRet,VarRet,VarDiscRet,VarNormIw,BatchSize,renyi2
3.37539e-15,0.0018135,41.7944,-360.777481789,78.3552,-360.777481789,2058.74,50000,0.2,112,-312.56,1.4584e-10,-46879.3,4.96032e-05,446.428571429,1,2.14319,1.16134039334,nan,-360.777481789,12109.4556439,12109.4556439,2.2388e-08,100,nan
,0.0027561,44.9725,-357.768835452,108.239,-357.768835452,2259.24,50000,0.2,112,-294.738,,-47823.0,4.96032e-05,446.428571429,1,1.94804,1.21000331879,nan,-357.768835452,12772.088235,12772.088235,2.91589e-08,100,nan
1.0186e-15,0.0012632,28.6767,-348.23014171,53.205,-348.23014171,1778.43,50000,0.2,114,-300.33,4.29026e-11,-45518.7,4.87329e-05,438.596491228,1,2.05259,0.958282037887,nan,-348.23014171,12546.3220373,12546.3220373,1.61647e-08,100,nan
5.25945e-40,0.00151936,44.2654,-340.548344866,75.8992,-340.548344866,2011.49,50000,0.2,118,-266.864,2.62735e-35,-40134.7,4.7081e-05,423.728813559,1,2.35192,1.37289664877,nan,-340.548344866,15858.2414177,15858.2414177,1.77382e-08,100,nan
5.98074e-42,0.00132581,24.6015,-345.503044293,53.2261,-345.503044293,1959.37,50000,0.2,116,-272.653,2.4012e-37,-41238.5,4.78927e-05,431.034482759,1,1.9227,1.23581378046,nan,-345.503044293,15243.513932,15243.513932,1.52644e-08,100,nan
,0.00119077,27.8241,-347.436812989,49.6561,-347.436812989,1975.44,50000,0.2,115,-284.989,,-42598.0,4.83092e-05,434.782608696,1,2.01454,1.0115881667,nan,-347.436812989,14063.4402268,14063.4402268,1.60003e-08,100,nan
4.62153e-30,0.000813041,13.9705,-311.792345298,34.8661,-311.792345298,1978.49,50000,0.2,127,-230.739,1.98187e-25,-36597.4,4.37445e-05,393.700787402,1,1.87592,1.45265010252,nan,-311.792345298,20437.2145437,20437.2145437,7.59684e-09,100,nan
,0.000858204,25.0865,-325.290002226,39.4343,-325.290002226,2026.93,50000,0.2,121,-247.032,,-37687.7,4.59137e-05,413.223140496,1,2.10973,1.15228175676,nan,-325.290002226,17683.2341653,17683.2341653,1.18815e-08,100,nan
3.65616e-33,0.000961792,31.55,-323.122287831,49.5645,-323.122287831,2023.16,50000,0.2,123,-241.827,1.88414e-28,-37430.3,4.51671e-05,406.504065041,1,2.32762,1.25942981125,nan,-323.122287831,18634.9117874,18634.9117874,1.18801e-08,100,nan
,0.000793225,13.7683,-309.870844025,33.2065,-309.870844025,2037.13,50000,0.2,128,-229.531,,-36012.0,4.34028e-05,390.625,1,1.81696,1.35382460843,nan,-309.870844025,20362.560201,20362.560201,7.85647e-09,100,nan
,0.000485332,5.85271,-290.504869399,17.1259,-290.504869399,1971.28,50000,0.2,135,-211.65,,-33909.7,4.11523e-05,370.37037037,1,1.45214,1.7143722278,nan,-290.504869399,22093.7729981,22093.7729981,4.70033e-09,100,nan
,0.000348246,2.47886,-255.83299469,11.905,-255.83299469,1954.09,50000,0.2,153,-187.91,,-29722.9,3.63108e-05,326.797385621,1,1.24131,1.86291730415,nan,-255.83299469,24992.8228972,24992.8228972,2.12111e-09,100,nan
,0.000365314,1.78433,-246.613859901,11.7303,-246.613859901,1991.87,50000,0.2,158,-176.01,,-28166.0,3.51617e-05,316.455696203,1,1.12905,2.08911618417,nan,-246.613859901,26501.8334017,26501.8334017,1.73057e-09,100,nan
2.42473e-37,0.000249154,1.34908,-231.307823981,7.99897,-231.307823981,1831.67,50000,0.2,166,-173.379,7.7845e-33,-27343.7,3.34672e-05,301.204819277,1,1.07445,1.97631255582,nan,-231.307823981,24479.0767015,24479.0767015,1.30889e-09,100,nan
,0.000288639,1.07483,-222.52029856,9.09744,-222.52029856,1843.51,50000,0.2,172,-163.408,,-25905.0,3.22997e-05,290.697674419,1,1.01804,2.37854636622,nan,-222.52029856,25774.5694588,25774.5694588,1.08196e-09,100,nan
1.28767e-26,0.000251608,0.56772,-195.203095337,7.86409,-195.203095337,1714.49,50000,0.2,195,-153.9,4.02465e-22,-23809.7,2.849e-05,256.41025641,1,0.890465,1.98612451671,nan,-195.203095337,24474.3228303,24474.3228303,5.81147e-10,100,nan
1.6999e-14,0.000141641,0.314911,-146.580094402,5.42054,-146.580094402,1387.0,50000,0.2,255,-132.365,6.50546e-10,-19210.6,2.17865e-05,196.078431373,1,0.833761,2.22053285568,nan,-146.580094402,18903.9016902,18903.9016902,2.1502e-10,100,nan
2.07382e-14,0.000110251,0.285252,-133.519988463,4.53796,-133.519988463,1267.27,50000,0.2,277,-127.099,8.53591e-10,-17884.9,2.00562e-05,180.505415162,1,0.825517,2.67436967544,nan,-133.519988463,16631.6992572,16631.6992572,1.68373e-10,100,nan
1.48401e-08,6.55725e-05,0.163174,-100.925134616,3.56377,-100.925134616,911.716,50000,0.2,354,-116.227,0.00080654,-15086.3,1.56937e-05,141.242937853,1,0.852928,2.83658215269,1.28678676119e-12,-100.925134616,9221.19184639,9221.19184639,5.52427e-11,100,31.984
6.83334e-11,6.30996e-05,0.180385,-102.401099097,3.40529,-102.401099097,954.656,50000,0.2,352,-115.316,3.68774e-06,-15083.1,1.57828e-05,142.045454545,1,0.85175,3.08224770595,3.1715884416e-12,-102.401099097,10214.1967414,10214.1967414,6.19364e-11,100,31.082
2.76026e-10,6.36719e-05,0.177313,-102.432454259,3.48545,-102.432454259,999.912,50000,0.2,357,-114.749,1.51099e-05,-15097.7,1.55618e-05,140.056022409,1,0.851864,3.14590162796,1.09982018189e-12,-102.432454259,11037.4274424,11037.4274424,5.91723e-11,100,32.141
3.72507e-08,4.68888e-05,0.117837,-84.7129403425,3.17489,-84.7129403425,770.775,50000,0.2,422,-106.888,0.00252229,-13375.5,1.31648e-05,118.483412322,1,0.891405,3.29480640828,2.15105275724e-12,-84.7129403425,6586.71701873,6586.71701873,2.57017e-11,100,31.4702
2.44719e-08,4.49102e-05,0.124518,-84.8709400608,3.05311,-84.8709400608,784.622,50000,0.2,423,-106.127,0.00166366,-13278.8,1.31337e-05,118.203309693,1,0.892863,3.33204751058,2.0891669982e-12,-84.8709400608,6972.07990503,6972.07990503,2.69424e-11,100,31.4994
6.37289e-10,5.37213e-05,0.125602,-86.2705051115,3.52653,-86.2705051115,804.778,50000,0.2,411,-106.765,4.18347e-05,-13447.1,1.35172e-05,121.654501217,1,0.887332,3.40246484805,3.5943397947e-12,-86.2705051115,7204.4303111,7204.4303111,2.91472e-11,100,30.9568
2.11007e-07,3.02936e-05,0.0773773,-75.107024344,2.376,-75.107024344,579.604,50000,0.2,466,-103.564,0.0165498,-12482.6,1.19218e-05,107.296137339,1,0.935056,3.08553518906,2.88369653227e-12,-75.107024344,3758.61288841,3758.61288841,1.25783e-11,100,31.1771
1.80732e-07,3.12766e-05,0.059211,-68.7901152863,2.70649,-68.7901152863,460.511,50000,0.2,505,-98.5137,0.0156394,-11673.0,1.10011e-05,99.0099009901,1,0.951967,3.23801365399,2.85375591685e-12,-68.7901152863,2361.82720344,2361.82720344,7.90734e-12,100,31.1876
2.14298e-07,2.58127e-05,0.0647232,-70.7915183102,2.15684,-70.7915183102,490.129,50000,0.2,491,-100.164,0.0179061,-11963.6,1.13148e-05,101.83299389,1,0.945429,3.20041187342,2.64649617006e-12,-70.7915183102,2565.13656377,2565.13656377,9.2703e-12,100,31.263
2.67794e-07,2.5291e-05,0.0508081,-68.6721953417,2.20896,-68.6721953417,426.434,50000,0.2,505,-99.4548,0.0233896,-11767.1,1.10011e-05,99.0099009901,1,0.960857,3.19434910763,2.51905525358e-12,-68.6721953417,2039.74527827,2039.74527827,6.66021e-12,100,31.3123
1.56519e-07,3.01756e-05,0.0737201,-73.0574220247,2.43903,-73.0574220247,573.041,50000,0.2,480,-101.237,0.0126511,-12163.1,1.15741e-05,104.166666667,1,0.93551,3.27794078866,2.5511809967e-12,-73.0574220247,3719.88213569,3719.88213569,1.1284e-11,100,31.2996
1.22364e-07,3.21243e-05,0.0889336,-75.5244800707,2.5095,-75.5244800707,600.287,50000,0.2,468,-101.579,0.00955889,-12375.4,1.18708e-05,106.837606838,1,0.927332,3.18819047826,3.47138986082e-12,-75.5244800707,4194.86309209,4194.86309209,1.45733e-11,100,30.9916
1.88392e-07,2.5132e-05,0.0538417,-68.8281577181,2.18394,-68.8281577181,435.427,50000,0.2,502,-99.3408,0.016371,-11753.8,1.10668e-05,99.6015936255,1,0.961695,3.13449033162,3.11769226501e-12,-68.8281577181,2143.64722413,2143.64722413,7.13002e-12,100,31.0991
3.117e-07,2.54228e-05,0.0361516,-65.2012906173,2.35817,-65.2012906173,318.874,50000,0.2,529,-97.343,0.0289128,-11361.0,1.0502e-05,94.5179584121,1,0.974147,3.21514549777,3.83117899767e-12,-65.2012906173,1126.75709359,1126.75709359,4.20166e-12,100,30.893
4.63041e-07,2.69092e-05,0.0382741,-64.9368967685,2.49276,-64.9368967685,312.596,50000,0.2,528,-97.5707,0.0428943,-11324.8,1.05219e-05,94.696969697,1,0.974705,3.28643606286,3.79113340015e-12,-64.9368967685,912.691034069,912.691034069,4.46012e-12,100,30.9035
3.34544e-07,2.46187e-05,0.0502233,-67.7236547308,2.17675,-67.7236547308,430.486,50000,0.2,511,-99.0473,0.0295799,-11609.9,1.08719e-05,97.8473581213,1,0.96128,3.25552735956,3.60731339568e-12,-67.7236547308,2049.23347526,2049.23347526,6.42419e-12,100,30.9532
5.09856e-07,2.00646e-05,0.0309502,-64.1414826772,1.8962,-64.1414826772,326.244,50000,0.2,537,-96.6508,0.0481839,-11250.8,1.03455e-05,93.1098696462,1,0.977704,3.21359922666,3.61353194239e-12,-64.1414826772,1022.20363035,1022.20363035,3.46541e-12,100,30.9515
3.37069e-07,2.38263e-05,0.048232,-67.5483141443,2.12714,-67.5483141443,444.464,50000,0.2,514,-97.933,0.0300925,-11566.6,1.08085e-05,97.2762645914,1,0.964948,3.1747843816,3.87039974918e-12,-67.5483141443,2221.36122261,2221.36122261,6.05141e-12,100,30.8828
5.61041e-07,2.53494e-05,0.0329056,-64.0907637844,2.39412,-64.0907637844,341.956,50000,0.2,536,-96.3134,0.0529875,-11199.6,1.03648e-05,93.2835820896,1,0.978908,3.27822946536,3.79493144111e-12,-64.0907637844,1229.07550069,1229.07550069,3.68903e-12,100,30.9025
3.9133e-07,2.22905e-05,0.034876,-64.8814312241,2.08012,-64.8814312241,363.081,50000,0.2,531,-97.2427,0.0365185,-11302.5,1.04624e-05,94.1619585687,1,0.976343,3.23658432116,3.02887425557e-12,-64.8814312241,1406.25427405,1406.25427405,4.00486e-12,100,31.128
3.20945e-07,2.72472e-05,0.0332796,-63.3427776245,2.61474,-63.3427776245,352.758,50000,0.2,546,-95.1349,0.0307991,-11055.9,1.0175e-05,91.5750915751,1,0.976432,3.34648626249,2.11683559428e-12,-63.3427776245,1307.23678255,1307.23678255,3.61379e-12,100,31.4863
4.73921e-07,2.30796e-05,0.0342763,-63.1043723441,2.22721,-63.1043723441,342.262,50000,0.2,546,-94.9651,0.0457339,-11017.0,1.0175e-05,91.5750915751,1,0.981901,3.32216108693,1.95806277189e-12,-63.1043723441,1171.02499507,1171.02499507,3.68069e-12,100,31.5642
4.33975e-07,2.02022e-05,0.0359287,-65.1657995162,1.87854,-65.1657995162,381.048,50000,0.2,530,-97.3551,0.0403539,-11337.3,1.04822e-05,94.3396226415,1,0.974703,3.24603761086,2.6097881442e-12,-65.1657995162,1518.7206354,1518.7206354,4.15528e-12,100,31.2769
2.8074e-07,2.57409e-05,0.0570111,-67.3918664395,2.30572,-67.3918664395,483.638,50000,0.2,517,-96.8198,0.0251471,-11452.8,1.07458e-05,96.7117988395,1,0.962543,3.19752946075,3.06102001829e-12,-67.3918664395,2633.91411785,2633.91411785,7.10547e-12,100,31.1174
6.53502e-07,2.03255e-05,0.0301883,-62.8693726347,1.95764,-62.8693726347,306.553,50000,0.2,546,-95.206,0.0629416,-11026.4,1.0175e-05,91.5750915751,1,0.979998,3.36244811624,3.31510947249e-12,-62.8693726347,930.711017041,930.711017041,3.2543e-12,100,31.0377
4.95862e-07,2.9932e-05,0.0331943,-63.3451918712,2.8598,-63.3451918712,302.547,50000,0.2,542,-95.5853,0.0473761,-11068.0,1.02501e-05,92.2509225092,1,0.979326,3.24114173773,2.89182078272e-12,-63.3451918712,1012.92974733,1012.92974733,3.63635e-12,100,31.1743
1.34711e-06,2.36148e-05,0.0154165,-60.923006137,2.36666,-60.923006137,185.974,50000,0.2,560,-94.3638,0.135007,-10848.1,9.92063e-06,89.2857142857,1,0.994242,3.31433566683,2.84703070436e-12,-60.923006137,297.902191061,297.902191061,1.5349e-12,100,31.1899
5.41012e-07,2.14225e-05,0.0312977,-63.6771197041,2.03745,-63.6771197041,324.517,50000,0.2,539,-96.2748,0.0514546,-11128.2,1.03072e-05,92.7643784787,1,0.980293,3.2036551604,2.62177727804e-12,-63.6771197041,1146.0351304,1146.0351304,3.46001e-12,100,31.2723
6.73138e-07,2.04931e-05,0.0233468,-60.6292440755,2.0678,-60.6292440755,270.916,50000,0.2,566,-93.1132,0.0679212,-10700.1,9.81547e-06,88.3392226148,1,0.990404,3.42775254179,2.98498881845e-12,-60.6292440755,730.954387978,730.954387978,2.29311e-12,100,31.1426
7.66381e-07,1.85301e-05,0.0202171,-61.0420842471,1.85269,-61.0420842471,232.154,50000,0.2,561,-94.0094,0.076625,-10805.5,9.90295e-06,89.1265597148,1,0.990125,3.30328014375,2.83003049288e-12,-61.0420842471,549.527393819,549.527393819,2.0224e-12,100,31.1959
1.03476e-07,7.51902e-05,0.171541,-59.3278701515,7.56157,-59.3278701515,227.316,50000,0.2,575,-67.6906,0.0104062,-10320.3,9.66184e-06,86.9565217391,1,0.971652,3.48196065157,2.47655973556e-12,-59.3278701515,118.388735847,118.388735847,1.69616e-11,100,31.3293
1.03921e-06,1.81433e-05,0.0177884,-61.0276626344,1.81469,-61.0276626344,235.456,50000,0.2,561,-94.566,0.103941,-10831.0,9.90295e-06,89.1265597148,1,0.990491,3.35347418029,1.72550110793e-12,-61.0276626344,518.024779242,518.024779242,1.77814e-12,100,31.6907
1.11501e-07,7.25685e-05,0.125679,-59.9980055929,7.07504,-59.9980055929,165.909,50000,0.2,567,-68.0855,0.0108707,-10534.9,9.79816e-06,88.1834215168,1,0.955268,3.50834256693,1.63533947764e-12,-59.9980055929,79.4451009014,79.4451009014,1.32221e-11,100,31.7443
6.8038e-07,2.14665e-05,0.0202579,-60.6112256522,2.1576,-60.6112256522,224.905,50000,0.2,564,-92.915,0.068385,-10737.2,9.85027e-06,88.6524822695,1,0.990051,3.29496226869,1.64798642053e-12,-60.6112256522,496.044306373,496.044306373,2.00528e-12,100,31.7366
7.43224e-07,2.69285e-05,0.0284608,-62.3397576861,2.62704,-62.3397576861,281.294,50000,0.2,551,-94.919,0.0725061,-10964.1,1.00827e-05,90.7441016334,1,0.983628,3.24850326414,1.70038340588e-12,-62.3397576861,782.89832261,782.89832261,2.99046e-12,100,31.7053
3.24008e-08,0.000109467,0.280187,-58.7505286244,11.1172,-58.7505286244,260.816,50000,0.2,579,-63.6345,0.00329053,-10199.8,9.59509e-06,86.3557858377,1,0.974449,3.65414455833,1.34284542261e-12,-58.7505286244,72.6120078822,72.6120078822,2.71661e-11,100,31.9414
1.26649e-06,2.05772e-05,0.0144118,-60.2427796716,2.08631,-60.2427796716,181.387,50000,0.2,567,-93.6739,0.128409,-10734.9,9.79816e-06,88.1834215168,1,0.993428,3.2685140227,1.26467861897e-12,-60.2427796716,280.897349328,280.897349328,1.40196e-12,100,32.0014
1.50504e-07,3.6275e-05,0.0865284,-59.2767267949,3.63121,-59.2767267949,126.867,50000,0.2,574,-70.3399,0.0150658,-10448.9,9.67867e-06,87.1080139373,1,0.968856,3.50078002668,1.2259228495e-12,-59.2767267949,90.5765516281,90.5765516281,8.63517e-12,100,32.0325
5.87231e-07,1.88345e-05,0.0283353,-62.7614699258,1.83014,-62.7614699258,318.841,50000,0.2,547,-95.3699,0.0570611,-11008.9,1.01564e-05,91.407678245,1,0.986896,3.27685880069,1.32294968545e-12,-62.7614699258,1053.70334816,1053.70334816,3.00099e-12,100,31.9563
1.74503e-08,9.79707e-05,0.315757,-59.1704373632,9.72215,-59.1704373632,210.268,50000,0.2,575,-63.222,0.00173169,-10240.5,9.66184e-06,86.9565217391,1,0.958795,3.47763996282,8.03820340941e-13,-59.1704373632,69.264880761,69.264880761,3.20642e-11,100,32.4546
8.29453e-07,2.05868e-05,0.0223958,-61.4146307801,2.04016,-61.4146307801,250.992,50000,0.2,557,-94.0959,0.0821991,-10853.6,9.97407e-06,89.7666068223,1,0.988433,3.2571950983,7.2350906568e-13,-61.4146307801,619.651650542,619.651650542,2.28043e-12,100,32.5598
1.24101e-06,1.71457e-05,0.017129,-60.7895568731,1.72269,-60.7895568731,203.503,50000,0.2,563,-94.172,0.124688,-10804.8,9.86777e-06,88.809946714,1,0.991448,3.27970656818,6.88260402377e-13,-60.7895568731,362.670644809,362.670644809,1.6968e-12,100,32.6098
7.59089e-07,2.58972e-05,0.0210671,-60.8136421701,2.59733,-60.8136421701,226.17,50000,0.2,562,-93.7896,0.076132,-10764.5,9.88533e-06,88.9679715302,1,0.991439,3.35143755136,6.5546868215e-13,-60.8136421701,517.887421349,517.887421349,2.09438e-12,100,32.6586
1.16988e-06,1.98304e-05,0.0134658,-60.2463901336,2.00542,-60.2463901336,180.924,50000,0.2,565,-94.1087,0.118308,-10740.3,9.83284e-06,88.4955752212,1,0.994382,3.23909413693,6.28924149485e-13,-60.2463901336,283.375110683,283.375110683,1.3167e-12,100,32.6999
1.34796e-06,1.76478e-05,0.012616,-59.949481421,1.79558,-59.949481421,175.828,50000,0.2,568,-93.4212,0.137148,-10693.4,9.78091e-06,88.0281690141,1,0.995161,3.27936944503,6.71840011463e-13,-59.949481421,270.902827862,270.902827862,1.21869e-12,100,32.6339
3.84402e-08,8.21118e-05,0.192335,-60.1346006072,8.01402,-60.1346006072,167.701,50000,0.2,567,-66.4659,0.00375172,-10486.2,9.79816e-06,88.1834215168,1,0.956288,3.53545595218,6.21295913686e-13,-60.1346006072,76.572813735,76.572813735,2.01915e-11,100,32.7121
5.13992e-09,8.94005e-05,0.29831,-58.6996514939,8.86861,-58.6996514939,155.635,50000,0.2,582,-62.225,0.000509885,-10198.5,9.54563e-06,85.910652921,1,0.946935,3.68053378199,3.21084577836e-13,-58.6996514939,58.0429119285,58.0429119285,3.03135e-11,100,33.3722
1.1846e-09,6.33064e-05,0.24507,-59.7043950142,6.01377,-59.7043950142,131.94,50000,0.2,571,-63.9667,0.000112531,-10366.5,9.72952e-06,87.5656742557,1,0.924253,3.62271060193,nan,-59.7043950142,66.5013020747,66.5013020747,2.71576e-11,100,nan
6.85131e-07,2.64596e-05,0.0210113,-59.4021421963,2.73063,-59.4021421963,230.312,50000,0.2,578,-91.9952,0.0707056,-10516.9,9.61169e-06,86.5051903114,1,0.991927,3.36313255415,2.97174552789e-13,-59.4021421963,498.43197089,498.43197089,1.97285e-12,100,33.4496
5.77982e-07,2.2665e-05,0.0245843,-60.0176439178,2.30202,-60.0176439178,267.352,50000,0.2,571,-92.7214,0.0587038,-10580.3,9.72952e-06,87.5656742557,1,0.988197,3.3824767948,2.99952367529e-13,-60.0176439178,734.365723537,734.365723537,2.38316e-12,100,33.4403
8.13421e-07,2.22148e-05,0.023355,-60.7658666476,2.2347,-60.7658666476,264.301,50000,0.2,565,-93.2684,0.0818261,-10725.7,9.83284e-06,88.4955752212,1,0.989135,3.30056321974,2.94160862338e-13,-60.7658666476,716.88609624,716.88609624,2.30795e-12,100,33.4598
1.57822e-08,4.79073e-05,0.180323,-59.2781583761,4.59014,-59.2781583761,113.955,50000,0.2,574,-64.4827,0.00151214,-10369.5,9.67867e-06,87.1080139373,1,0.927342,3.65204603743,2.41131618458e-13,-59.2781583761,58.3301873344,58.3301873344,1.96427e-11,100,33.6586
