AvgDiscRet,IterType,MinVanillaIw,BatchSize,VarNormIw,AvgNormIw,AvgEpLen,ESSClassic,J,VarRet,VarJ,EpsThisIter,AvgRet,MaxNormIw,MinNormIw,SamplesThisIter,Bound,ESSRenyi,delta,VarDiscRet,VarVanillaIw,MaxVanillaIw,AvgVanillaIw,VanillaAvgRet,renyi2
-58.1599249525,1,,100,7.27886e-06,5.40541e-05,500.0,3.67647550937,72918.6,51260.1376433,1701.94,100,-58.1599249525,0.175933,,50000,241.842,nan,0.5,51260.1376433,7.13271e+09,5.50736e+06,1692.09,-58.1599249525,nan
-12.1214485478,1,5.18746e-16,100,2.72268e-06,5.40541e-05,500.0,3.93800513578,78121.2,73056.6362353,2884.4,100,-12.1214485478,0.111336,7.64789e-22,50000,227.493,nan,0.5,73056.6362353,1.25263e+06,75517.4,36.6641,-12.1214485478,nan
-62.8551325439,1,3.93761e-30,100,4.68293e-08,5.40541e-05,500.0,1.85407451778,56090.4,69449.0498886,1741.33,100,-62.8551325439,0.00588321,2.17011e-35,50000,152.907,nan,0.5,69449.0498886,1541.77,1067.49,9.80797,-62.8551325439,nan
-69.5094395933,1,,100,2.09314e-06,5.40541e-05,500.0,2.72152917303,62524.5,40862.8775915,2483.57,100,-69.5094395933,0.081148,,50000,158.628,nan,0.5,40862.8775915,8.44451e+06,162992.0,108.572,-69.5094395933,nan
-82.3231383523,1,,100,7.42968e-06,5.40541e-05,500.0,3.76980872818,68338.7,55791.387894,2645.95,100,-82.3231383523,0.179988,,50000,168.436,nan,0.5,55791.387894,2.50817e+10,1.04577e+07,3140.66,-82.3231383523,nan
-24.5780268131,1,4.70469e-14,100,2.5155e-08,5.40541e-05,500.0,1.18856826402,44655.8,36419.289706,391.39,100,-24.5780268131,0.00373207,2.46224e-19,50000,170.28,nan,0.5,36419.289706,918.386,713.1,10.3283,-24.5780268131,nan
-29.6729489711,1,6.40979e-10,100,1.14009e-08,5.4054e-05,500.0,1.39036715577,27620.8,30947.4410613,928.598,100,-29.6729489711,0.00101011,1.10002e-14,50000,61.4706,nan,0.5,30947.4410613,38.7102,58.8588,3.14971,-29.6729489711,nan
-34.3979933495,1,,100,1.30944e-05,5.40541e-05,500.0,3.99959736275,122572.0,60167.3639603,2.00336,100,-34.3979933495,0.246101,,50000,331.282,nan,0.5,60167.3639603,inf,4.11386e+25,9.03575e+21,-34.3979933495,nan
22.2897770403,1,,100,3.47657e-08,5.4054e-05,500.0,0.624771729904,47083.0,24285.1324176,792.905,100,22.2897770403,0.00186292,,50000,169.345,nan,0.5,24285.1324176,1466.77,382.65,11.1029,22.2897770403,nan
-2.20626789835,1,,100,1.29903e-05,5.4054e-05,500.0,3.99839147535,83366.2,35487.092678,1816.23,100,-2.20626789835,0.245084,,50000,248.643,nan,0.5,35487.092678,3.40457e+29,3.96768e+16,8.75086e+12,-2.20626789835,nan
-48.9475405476,1,1.16748e-34,100,9.21938e-06,5.4054e-05,500.0,3.99902114076,79146.6,56948.2344241,2398.16,100,-48.9475405476,0.206488,4.55198e-41,50000,240.676,nan,0.5,56948.2344241,6.06466e+07,529598.0,138.637,-48.9475405476,nan
23.5887813859,1,,100,9.88566e-07,5.40541e-05,500.0,2.33572859119,53115.8,20974.9144889,1582.26,100,23.5887813859,0.0516965,,50000,163.607,nan,0.5,20974.9144889,4.44953e+06,109677.0,114.679,23.5887813859,nan
-21.317570947,1,,100,1.35113e-05,5.40541e-05,500.0,4.0,57615.9,24436.4080884,1155.18,100,-21.317570947,0.25,,50000,116.076,nan,0.5,24436.4080884,inf,1.2206e+21,2.63913e+17,-21.317570947,nan
-38.9253004226,1,1.21983e-12,100,8.55189e-08,5.40541e-05,500.0,4.23121438477,50169.3,34009.4701595,1754.34,100,-38.9253004226,0.0114131,5.52861e-18,50000,108.641,nan,0.5,34009.4701595,4163.22,2518.18,11.9265,-38.9253004226,nan
-30.6169019537,1,,100,6.4697e-08,5.40541e-05,500.0,2.16148430833,53668.5,55313.536778,1661.26,100,-30.6169019537,0.0118439,,50000,157.296,nan,0.5,55313.536778,1574.92,1847.91,8.43363,-30.6169019537,nan
37.8017223741,1,1.77277e-10,100,3.8265e-08,5.4054e-05,500.0,0.960345944519,61790.3,35531.4816251,1513.99,100,37.8017223741,0.00601483,1.16914e-15,50000,199.801,nan,0.5,35531.4816251,879.77,912.026,8.19619,37.8017223741,nan
-17.5442551423,1,1.70508e-12,100,2.99199e-08,5.40541e-05,500.0,0.722529086708,62932.5,59776.609946,1186.01,100,-17.5442551423,0.0022712,9.79456e-18,50000,190.458,nan,0.5,59776.609946,906.734,395.381,9.40997,-17.5442551423,nan
-52.6883662441,1,,100,3.02376e-06,5.40541e-05,500.0,3.16809564758,62257.4,38625.4138918,953.991,100,-52.6883662441,0.0982871,,50000,175.923,nan,0.5,38625.4138918,2.12722e+08,824382.0,453.378,-52.6883662441,nan
49.1425072483,1,,100,1.06314e-05,5.40541e-05,500.0,3.92562968964,90471.8,36275.7543122,2045.12,100,49.1425072483,0.219697,,50000,273.336,nan,0.5,36275.7543122,1.11307e+20,7.10868e+11,1.74901e+08,49.1425072483,nan
107.912312274,1,,100,1.08545e-05,5.40541e-05,500.0,3.96964834295,102219.0,23384.3032622,1507.71,100,107.912312274,0.223231,,50000,287.492,nan,0.5,23384.3032622,1.92792e+19,2.97504e+11,7.20389e+07,107.912312274,nan
47.010861083,1,2.54883e-36,100,1.82167e-06,5.4054e-05,500.0,3.92009891283,88560.6,43228.3874192,2007.2,100,47.010861083,0.0907571,2.35138e-42,50000,290.498,nan,0.5,43228.3874192,2.13996e+06,98366.7,58.5863,47.010861083,nan
-0.869955459353,1,,100,1.35008e-05,5.4054e-05,500.0,4.0,63126.5,31769.7655456,949.075,100,-0.869955459353,0.249902,,50000,228.617,nan,0.5,31769.7655456,3.45397e+13,3.99715e+08,86458.7,-0.869955459353,nan
66.2259195387,1,4.95244e-13,100,2.25942e-07,5.40541e-05,500.0,2.94392282364,77091.5,40999.971712,750.395,100,66.2259195387,0.0264137,1.24043e-18,50000,297.31,nan,0.5,40999.971712,36015.8,10545.7,21.5812,66.2259195387,nan
17.0862040508,1,,100,1.35106e-05,5.40541e-05,500.0,4.0,77744.8,26084.4043316,303.782,100,17.0862040508,0.249993,,50000,211.238,nan,0.5,26084.4043316,inf,2.53217e+26,5.4751e+22,17.0862040508,nan
5.82315551282,1,5.08063e-07,100,1.6904e-08,5.40541e-05,500.0,0.60897137197,43646.3,33039.6522902,1825.1,100,5.82315551282,0.00121064,7.25905e-12,50000,96.8266,nan,0.5,33039.6522902,82.8068,84.7333,3.78326,5.82315551282,nan
106.812367638,1,,100,5.85487e-08,5.40541e-05,500.0,1.4871228449,58944.9,17746.9923145,1534.84,100,106.812367638,0.00609515,,50000,216.963,nan,0.5,17746.9923145,3064.38,1394.43,12.3663,106.812367638,nan
57.5255747256,1,,100,1.30604e-05,5.40541e-05,500.0,3.99991689249,74797.9,23169.6891886,761.782,100,57.5255747256,0.245786,,50000,256.843,nan,0.5,23169.6891886,5.12087e+13,4.86687e+08,107034.0,57.5255747256,nan
