J,EpsThisIter,Bound,VarVanillaIw,VarNormIw,AvgRet,AvgNormIw,VanillaAvgRet,MaxNormIw,IterType,MinNormIw,VarJ,MinVanillaIw,Delta,AvgVanillaIw,VarRet,VarDiscRet,ESSClassic,AvgDiscRet,AvgEpLen,ESSRenyi,eRenyi2,BatchSize,MaxVanillaIw
-50.0166,100,-50.0166,1.0178e-14,0.00179736,-63.1784482698,0.002,-63.1784482698,0.946826,1,,7.75322,,1.0,4.75931e-09,1325.62402971,1325.62402971,1.11249433408,-63.1784482698,91.48,0.0127968545332,39072.1,500,2.25312e-06
-60.7221,100,-60.7221,,3.50449e-18,-60.7221352266,0.01,-60.7221352266,0.01,2,0.01,36.4716,1.0,1.0,1.0,1343.61670943,1343.61670943,100.0,-60.7221352266,88.11,500.0,1.0,500,1.0
-59.4969,100,-59.4969,,2.1793e-19,-58.2716614182,0.005,-58.2716614182,0.005,2,0.005,26.2996,1.0,1.0,1.0,50.6612447246,50.6612447246,200.000000102,-58.2716614182,86.04,500.0,1.0,500,1.0
-60.4812,100,-60.4812,,5.43914e-20,-62.4497936009,0.00333333,-62.4497936009,0.00333333,2,0.00333333,30.045,1.0,1.0,1.0,1332.28512545,1332.28512545,299.999969474,-62.4497936009,90.42,500.0,1.0,500,1.0
-60.9748,100,-60.9748,,5.4346e-20,-62.4555677316,0.0025,-62.4555677316,0.0025,2,0.0025,31.7447,1.0,1.0,1.0,1333.2080762,1333.2080762,400.0,-62.4555677316,90.64,500.0,1.0,500,1.0
-51.3669,100,-51.3669,,0.002,-59.145823195,0.002,-59.145823195,1.0,1,,,,1.0,3.88898e-40,63.7180902911,63.7180902911,inf,-59.145823195,87.02,3.31833613882e-08,1.50678e+10,500,1.94449e-37
-62.5177,100,-62.5177,,3.50449e-18,-62.5177129093,0.01,-62.5177129093,0.01,2,0.01,36.2959,1.0,1.0,1.0,1330.69655376,1330.69655376,100.0,-62.5177129093,90.71,500.0,1.0,500,1.0
-63.8159,100,-63.8159,,2.1793e-19,-65.1141369605,0.005,-65.1141369605,0.005,2,0.005,44.1638,1.0,1.0,1.0,2606.18010918,2606.18010918,200.000000102,-65.1141369605,92.69,500.0,1.0,500,1.0
-64.0584,100,-64.0584,,5.43914e-20,-64.5433089435,0.00333333,-64.5433089435,0.00333333,2,0.00333333,46.4982,1.0,1.0,1.0,2611.12192881,2611.12192881,299.999969474,-64.5433089435,92.47,500.0,1.0,500,1.0
-63.6043,100,-63.6043,,5.4346e-20,-62.2421371047,0.0025,-62.2421371047,0.0025,2,0.0025,44.1728,1.0,1.0,1.0,1329.52560567,1329.52560567,400.0,-62.2421371047,89.97,500.0,1.0,500,1.0
-61.4154,100,-61.4154,5.2732,2.03871e-05,-63.1077651457,0.002,-63.1077651457,0.092745,1,0.000724672,27.3068,0.368554,1.0,1.01716,1334.45879898,1334.45879898,82.1480091176,-63.1077651457,91.79,,inf,500,47.1683
-58.1978,100,-58.1978,,3.50449e-18,-58.1977859187,0.01,-58.1977859187,0.01,2,0.01,6.57887,1.0,1.0,1.0,43.7187734695,43.7187734695,100.0,-58.1977859187,85.54,500.0,1.0,500,1.0
-60.2174,100,-60.2174,,2.1793e-19,-62.2370859101,0.005,-62.2370859101,0.005,2,0.005,26.1217,1.0,1.0,1.0,1326.51626713,1326.51626713,200.000000102,-62.2370859101,90.26,500.0,1.0,500,1.0
-60.0223,100,-60.0223,,5.43914e-20,-59.6318988048,0.00333333,-59.6318988048,0.00333333,2,0.00333333,21.7605,1.0,1.0,1.0,56.2045184625,56.2045184625,299.999969474,-59.6318988048,87.52,500.0,1.0,500,1.0
-60.7244,100,-60.7244,,5.4346e-20,-62.8307528612,0.0025,-62.8307528612,0.0025,2,0.0025,26.2036,1.0,1.0,1.0,1333.36900929,1333.36900929,400.0,-62.8307528612,91.17,500.0,1.0,500,1.0
-59.1514,100,-59.1514,1.82756,7.51475e-06,-58.4310614674,0.002,-58.4310614674,0.0573004,1,7.55764e-05,21.7359,0.0372705,1.0,0.986299,44.924191431,44.924191431,173.91723203,-58.4310614674,86.41,,inf,500,28.2577
-61.2651,100,-61.2651,,3.50449e-18,-61.2650666998,0.01,-61.2650666998,0.01,2,0.01,36.3369,1.0,1.0,1.0,1333.70623851,1333.70623851,100.0,-61.2650666998,88.62,500.0,1.0,500,1.0
-60.278,100,-60.278,,2.1793e-19,-59.2908722344,0.005,-59.2908722344,0.005,2,0.005,26.3154,1.0,1.0,1.0,63.3193585359,63.3193585359,200.000000102,-59.2908722344,87.38,500.0,1.0,500,1.0
-59.771,100,-59.771,,5.43914e-20,-58.757199396,0.00333333,-58.757199396,0.00333333,2,0.00333333,21.8688,1.0,1.0,1.0,48.6786385565,48.6786385565,299.999969474,-58.757199396,86.26,500.0,1.0,500,1.0
-60.4475,100,-60.4475,,5.4346e-20,-62.4768926699,0.0025,-62.4768926699,0.0025,2,0.0025,26.2815,1.0,1.0,1.0,1335.99628462,1335.99628462,400.0,-62.4768926699,91.15,500.0,1.0,500,1.0
-58.32,100,-58.32,3.8236,1.66482e-05,-61.40163298,0.002,-61.40163298,0.0575501,1,3.10598e-09,16.1187,1.48851e-06,1.0,0.958478,1331.41274199,1331.41274199,97.0171236968,-61.40163298,88.7,,inf,500,27.5803
-61.9858,100,-61.9858,,3.50449e-18,-61.9857623972,0.01,-61.9857623972,0.01,2,0.01,36.2752,1.0,1.0,1.0,1329.17958279,1329.17958279,100.0,-61.9857623972,89.78,500.0,1.0,500,1.0
-64.2804,100,-64.2804,,2.1793e-19,-66.5750579762,0.005,-66.5750579762,0.005,2,0.005,44.0705,1.0,1.0,1.0,2583.84411574,2583.84411574,200.000000102,-66.5750579762,95.78,500.0,1.0,500,1.0
-61.6722,100,-61.6722,,5.43914e-20,-56.4556317991,0.00333333,-56.4556317991,0.00333333,2,0.00333333,36.4268,1.0,1.0,1.0,56.0539208707,56.0539208707,299.999969474,-56.4556317991,82.54,500.0,1.0,500,1.0
-60.9666,100,-60.9666,,5.4346e-20,-58.8499352174,0.0025,-58.8499352174,0.0025,2,0.0025,31.7411,1.0,1.0,1.0,43.7268600922,43.7268600922,400.0,-58.8499352174,86.48,500.0,1.0,500,1.0
-57.3,100,-57.3,10.7629,3.23923e-05,-57.9625234987,0.002,-57.9625234987,0.0568356,1,9.58678e-21,19.6453,5.52606e-18,1.0,1.15285,38.3024733437,38.3024733437,55.0547027272,-57.9625234987,84.85,,inf,500,32.7615
-67.0069,100,-67.0069,,3.50449e-18,-67.0069361697,0.01,-67.0069361697,0.01,2,0.01,50.5685,1.0,1.0,1.0,2582.99928184,2582.99928184,100.0,-67.0069361697,96.5,500.0,1.0,500,1.0
-62.7136,100,-62.7136,,2.1793e-19,-58.4202324912,0.005,-58.4202324912,0.005,2,0.005,36.3918,1.0,1.0,1.0,55.2463653728,55.2463653728,200.000000102,-58.4202324912,86.11,500.0,1.0,500,1.0
-61.1691,100,-61.1691,,5.43914e-20,-58.0800883208,0.00333333,-58.0800883208,0.00333333,2,0.00333333,30.0961,1.0,1.0,1.0,54.8315581736,54.8315581736,299.999969474,-58.0800883208,85.15,500.0,1.0,500,1.0
-61.207,100,-61.207,,5.4346e-20,-61.320896356,0.0025,-61.320896356,0.0025,2,0.0025,31.8619,1.0,1.0,1.0,1356.94641529,1356.94641529,400.0,-61.320896356,88.77,500.0,1.0,500,1.0
-55.7267,100,-55.7267,265.241,0.000406499,-57.2654350477,0.002,-57.2654350477,0.422878,1,1.73958e-33,42.4308,1.40519e-30,1.0,1.61555,52.2946771864,52.2946771864,4.881782244,-57.2654350477,83.64,,inf,500,341.59
-66.4992,100,-66.4992,,3.50449e-18,-66.4992427711,0.01,-66.4992427711,0.01,2,0.01,50.611,1.0,1.0,1.0,2587.34300103,2587.34300103,100.0,-66.4992427711,95.75,500.0,1.0,500,1.0
-61.7989,100,-61.7989,,2.1793e-19,-57.0985712962,0.005,-57.0985712962,0.005,2,0.005,36.341,1.0,1.0,1.0,36.0415917673,36.0415917673,200.000000102,-57.0985712962,83.81,500.0,1.0,500,1.0
-60.7604,100,-60.7604,,5.43914e-20,-58.6834576322,0.00333333,-58.6834576322,0.00333333,2,0.00333333,29.9392,1.0,1.0,1.0,41.6750086615,41.6750086615,299.999969474,-58.6834576322,86.62,500.0,1.0,500,1.0
-60.9442,100,-60.9442,,5.4346e-20,-61.4955341952,0.0025,-61.4955341952,0.0025,2,0.0025,31.6573,1.0,1.0,1.0,1332.59928224,1332.59928224,400.0,-61.4955341952,89.14,500.0,1.0,500,1.0
-51.2658,100,-51.2658,2.65993e-21,0.002,-57.7158152458,0.002,-57.7158152458,1.0,1,,8.53183e-05,,1.0,2.30648e-12,40.7717171531,40.7717171531,1.00000019254,-57.7158152458,84.52,0.0109016322724,45864.7,500,1.15324e-09
-61.6646,100,-61.6646,,3.50449e-18,-61.664585395,0.01,-61.664585395,0.01,2,0.01,36.4568,1.0,1.0,1.0,1342.52151793,1342.52151793,100.0,-61.664585395,89.27,500.0,1.0,500,1.0
-61.2616,100,-61.2616,,2.1793e-19,-60.8586452831,0.005,-60.8586452831,0.005,2,0.005,36.4386,1.0,1.0,1.0,1339.52388804,1339.52388804,200.000000102,-60.8586452831,88.49,500.0,1.0,500,1.0
-60.4523,100,-60.4523,,5.43914e-20,-58.8335404393,0.00333333,-58.8335404393,0.00333333,2,0.00333333,30.0602,1.0,1.0,1.0,51.8902105206,51.8902105206,299.999969474,-58.8335404393,86.28,500.0,1.0,500,1.0
-60.8676,100,-60.8676,,5.4346e-20,-62.1136080481,0.0025,-62.1136080481,0.0025,2,0.0025,31.8232,1.0,1.0,1.0,1351.44603816,1351.44603816,400.0,-62.1136080481,90.21,500.0,1.0,500,1.0
-50.9103,100,-50.9103,173.072,0.00105568,-57.8308484694,0.002,-57.8308484694,0.683789,1,,13.5627,,1.0,0.809797,41.2687497402,41.2687497402,1.89112811868,-57.8308484694,84.95,0.185081257721,2701.52,500,276.865
-62.2647,100,-62.2647,,3.50449e-18,-62.2647213252,0.01,-62.2647213252,0.01,2,0.01,36.3453,1.0,1.0,1.0,1334.32708383,1334.32708383,100.0,-62.2647213252,90.07,500.0,1.0,500,1.0
-60.3549,100,-60.3549,,2.1793e-19,-58.4451056039,0.005,-58.4451056039,0.005,2,0.005,26.2818,1.0,1.0,1.0,53.7239221089,53.7239221089,200.000000102,-58.4451056039,86.06,500.0,1.0,500,1.0
-60.9599,100,-60.9599,,5.43914e-20,-62.1698964119,0.00333333,-62.1698964119,0.00333333,2,0.00333333,30.0518,1.0,1.0,1.0,1339.05257975,1339.05257975,299.999969474,-62.1698964119,90.18,500.0,1.0,500,1.0
-60.4824,100,-60.4824,,5.4346e-20,-59.0499831715,0.0025,-59.0499831715,0.0025,2,0.0025,26.3521,1.0,1.0,1.0,66.3333989151,66.3333989151,400.0,-59.0499831715,86.88,500.0,1.0,500,1.0
-58.024,100,-58.024,9.24907,3.62643e-05,-58.6605398993,0.002,-58.6605398993,0.0715399,1,,18.9402,,1.0,1.01004,54.26461078,54.26461078,49.7614957052,-58.6605398993,86.26,,inf,500,36.1292
-56.8894,100,-56.8894,,3.50449e-18,-56.8894353537,0.01,-56.8894353537,0.01,2,0.01,7.18641,1.0,1.0,1.0,52.1661584996,52.1661584996,100.0,-56.8894353537,83.65,500.0,1.0,500,1.0
-59.7955,100,-59.7955,,2.1793e-19,-62.7016587472,0.005,-62.7016587472,0.005,2,0.005,26.3135,1.0,1.0,1.0,1329.56239293,1329.56239293,200.000000102,-62.7016587472,91.08,500.0,1.0,500,1.0
-59.5895,100,-59.5895,,5.43914e-20,-59.1772640699,0.00333333,-59.1772640699,0.00333333,2,0.00333333,21.9144,1.0,1.0,1.0,56.2287067984,56.2287067984,299.999969474,-59.1772640699,86.78,500.0,1.0,500,1.0
-59.1533,100,-59.1533,,5.4346e-20,-57.8446593058,0.0025,-57.8446593058,0.0025,2,0.0025,19.2513,1.0,1.0,1.0,39.8383914948,39.8383914948,400.0,-57.8446593058,84.94,500.0,1.0,500,1.0
-51.8589,100,-51.8589,1.3302,0.002,-62.306134094,0.002,-62.306134094,1.0,1,,6.39845e-09,,1.0,0.0515791,1351.3769792,1351.3769792,1.0,-62.306134094,90.39,0.0135979479847,36770.3,500,25.7895
-59.2245,100,-59.2245,,3.50449e-18,-59.224471411,0.01,-59.224471411,0.01,2,0.01,7.56588,1.0,1.0,1.0,57.8206722953,57.8206722953,100.0,-59.224471411,87.04,500.0,1.0,500,1.0
-60.7311,100,-60.7311,,2.1793e-19,-62.237650743,0.005,-62.237650743,0.005,2,0.005,26.3441,1.0,1.0,1.0,1339.63671996,1339.63671996,200.000000102,-62.237650743,90.3,500.0,1.0,500,1.0
-60.2501,100,-60.2501,,5.43914e-20,-59.2881788754,0.00333333,-59.2881788754,0.00333333,2,0.00333333,21.8612,1.0,1.0,1.0,44.7757924223,44.7757924223,299.999969474,-59.2881788754,87.02,500.0,1.0,500,1.0
-59.8098,100,-59.8098,,5.4346e-20,-58.4889931375,0.0025,-58.4889931375,0.0025,2,0.0025,19.2783,1.0,1.0,1.0,51.0604087559,51.0604087559,400.0,-58.4889931375,86.03,500.0,1.0,500,1.0
-41.615,100,-41.615,,0.002,-61.2666766879,0.002,-61.2666766879,1.0,1,,,,1.0,1.45377e-39,1332.46924553,1332.46924553,inf,-61.2666766879,89.2,0.0001825256679,2.73934e+06,500,7.26884e-37
-59.5368,100,-59.5368,,3.50449e-18,-59.5368490951,0.01,-59.5368490951,0.01,2,0.01,8.2015,1.0,1.0,1.0,67.9440888166,67.9440888166,100.0,-59.5368490951,87.67,500.0,1.0,500,1.0
-58.9385,100,-58.9385,,2.1793e-19,-58.3400708348,0.005,-58.3400708348,0.005,2,0.005,7.56104,1.0,1.0,1.0,46.8261083568,46.8261083568,200.000000102,-58.3400708348,85.32,500.0,1.0,500,1.0
-61.8936,100,-61.8936,,5.43914e-20,-67.8037817851,0.00333333,-67.8037817851,0.00333333,2,0.00333333,36.5023,1.0,1.0,1.0,3869.20790909,3869.20790909,299.999969474,-67.8037817851,96.11,500.0,1.0,500,1.0
-61.0913,100,-61.0913,,5.4346e-20,-58.6846037465,0.0025,-58.6846037465,0.0025,2,0.0025,31.8243,1.0,1.0,1.0,46.6420938911,46.6420938911,400.0,-58.6846037465,86.29,500.0,1.0,500,1.0
-59.4188,100,-59.4188,0.652267,2.91121e-06,-59.1668541886,0.002,-59.1668541886,0.021639,1,0.00105622,22.2126,0.499954,1.0,0.946686,59.2753334207,59.2753334207,289.629186177,-59.1668541886,86.91,,inf,500,10.2427
-64.7586,100,-64.7586,,3.50449e-18,-64.7586403222,0.01,-64.7586403222,0.01,2,0.01,50.6504,1.0,1.0,1.0,2591.37325096,2591.37325096,100.0,-64.7586403222,92.97,500.0,1.0,500,1.0
-61.6914,100,-61.6914,,2.1793e-19,-58.6241527089,0.005,-58.6241527089,0.005,2,0.005,36.2465,1.0,1.0,1.0,43.7856456459,43.7856456459,200.000000102,-58.6241527089,86.08,500.0,1.0,500,1.0
-60.7589,100,-60.7589,,5.43914e-20,-58.8938150111,0.00333333,-58.8938150111,0.00333333,2,0.00333333,29.9559,1.0,1.0,1.0,59.8222727424,59.8222727424,299.999969474,-58.8938150111,86.68,500.0,1.0,500,1.0
-60.0588,100,-60.0588,,5.4346e-20,-57.9586809729,0.0025,-57.9586809729,0.0025,2,0.0025,26.2139,1.0,1.0,1.0,51.2307267647,51.2307267647,400.0,-57.9586809729,85.22,500.0,1.0,500,1.0
-58.3614,100,-58.3614,0.805227,3.56976e-06,-58.1449518044,0.002,-58.1449518044,0.0149893,1,0.00019323,12.0227,0.0917728,1.0,0.949882,55.4423203239,55.4423203239,264.458476136,-58.1449518044,85.42,,inf,500,7.11905
-62.2545,100,-62.2545,,3.50449e-18,-62.2544736229,0.01,-62.2544736229,0.01,2,0.01,36.3739,1.0,1.0,1.0,1336.42672821,1336.42672821,100.0,-62.2544736229,90.05,500.0,1.0,500,1.0
-62.3383,100,-62.3383,,2.1793e-19,-62.4221559714,0.005,-62.4221559714,0.005,2,0.005,36.427,1.0,1.0,1.0,1344.22067266,1344.22067266,200.000000102,-62.4221559714,90.38,500.0,1.0,500,1.0
-63.6315,100,-63.6315,,5.43914e-20,-66.2178609823,0.00333333,-66.2178609823,0.00333333,2,0.00333333,41.816,1.0,1.0,1.0,2607.93381449,2607.93381449,299.999969474,-66.2178609823,95.07,500.0,1.0,500,1.0
-63.1816,100,-63.1816,,5.4346e-20,-61.8319783103,0.0025,-61.8319783103,0.0025,2,0.0025,40.5788,1.0,1.0,1.0,1351.90101842,1351.90101842,400.0,-61.8319783103,89.59,500.0,1.0,500,1.0
-60.0729,100,-60.0729,1.98025,1.04261e-05,-59.276270979,0.002,-59.276270979,0.0359954,1,1.26637e-05,33.2157,0.005519,1.0,0.871623,56.2338983009,56.2338983009,138.837935937,-59.276270979,87.22,,inf,500,15.6872
-62.4034,100,-62.4034,,3.50449e-18,-62.4034269528,0.01,-62.4034269528,0.01,2,0.01,36.2814,1.0,1.0,1.0,1329.63290454,1329.63290454,100.0,-62.4034269528,90.71,500.0,1.0,500,1.0
-60.2891,100,-60.2891,,2.1793e-19,-58.1746929002,0.005,-58.1746929002,0.005,2,0.005,26.4034,1.0,1.0,1.0,69.6982408278,69.6982408278,200.000000102,-58.1746929002,85.32,500.0,1.0,500,1.0
-59.414,100,-59.414,,5.43914e-20,-57.6637635359,0.00333333,-57.6637635359,0.00333333,2,0.00333333,22.0412,1.0,1.0,1.0,59.164693719,59.164693719,299.999969474,-57.6637635359,84.58,500.0,1.0,500,1.0
-58.8998,100,-58.8998,,5.4346e-20,-57.3573680902,0.0025,-57.3573680902,0.0025,2,0.0025,19.4973,1.0,1.0,1.0,60.5590052449,60.5590052449,400.0,-57.3573680902,83.99,500.0,1.0,500,1.0
-57.7864,100,-57.7864,4.21272,1.31595e-05,-62.7781483494,0.002,-62.7781483494,0.038415,1,2.39688e-05,16.9498,0.0135615,1.0,1.1316,1345.87478009,1345.87478009,116.732423551,-62.7781483494,91.36,0.369850068056,1351.9,500,21.7351
-57.8825,100,-57.8825,,3.50449e-18,-57.8824697059,0.01,-57.8824697059,0.01,2,0.01,6.31322,1.0,1.0,1.0,40.2593352603,40.2593352603,100.0,-57.8824697059,84.75,500.0,1.0,500,1.0
-58.0543,100,-58.0543,,2.1793e-19,-58.2260900404,0.005,-58.2260900404,0.005,2,0.005,6.55451,1.0,1.0,1.0,46.4721884037,46.4721884037,200.000000102,-58.2260900404,85.25,500.0,1.0,500,1.0
-59.3623,100,-59.3623,,5.43914e-20,-61.9784265836,0.00333333,-61.9784265836,0.00333333,2,0.00333333,21.6903,1.0,1.0,1.0,1328.50216871,1328.50216871,299.999969474,-61.9784265836,89.65,500.0,1.0,500,1.0
-59.3864,100,-59.3864,,5.4346e-20,-59.4585799253,0.0025,-59.4585799253,0.0025,2,0.0025,19.0982,1.0,1.0,1.0,48.0393369171,48.0393369171,400.0,-59.4585799253,87.65,500.0,1.0,500,1.0
-40.4029,100,-40.4029,,0.002,-58.1112175447,0.002,-58.1112175447,1.0,1,,,,1.0,3.61395e-41,58.1395239145,58.1395239145,inf,-58.1112175447,85.13,4.53583132571e-06,1.10233e+08,500,1.80699e-38
-57.1379,100,-57.1379,,3.50449e-18,-57.1379050069,0.01,-57.1379050069,0.01,2,0.01,7.01683,1.0,1.0,1.0,49.7332828345,49.7332828345,100.0,-57.1379050069,83.72,500.0,1.0,500,1.0
-58.9897,100,-58.9897,,2.1793e-19,-60.8414425896,0.005,-60.8414425896,0.005,2,0.005,26.4542,1.0,1.0,1.0,1357.12959167,1357.12959167,200.000000102,-60.8414425896,88.11,500.0,1.0,500,1.0
-58.7964,100,-58.7964,,5.43914e-20,-58.4099475425,0.00333333,-58.4099475425,0.00333333,2,0.00333333,22.0197,1.0,1.0,1.0,55.2848777529,55.2848777529,299.999969474,-58.4099475425,86.03,500.0,1.0,500,1.0
-61.374,100,-61.374,,5.4346e-20,-69.106569332,0.0025,-69.106569332,0.0025,2,0.0025,36.5476,1.0,1.0,1.0,3847.03964791,3847.03964791,400.0,-69.106569332,98.28,500.0,1.0,500,1.0
-59.259,100,-59.259,8.94814,2.92363e-05,-63.1750673833,0.002,-63.1750673833,0.112994,1,2.52519e-11,35.2226,1.39701e-08,1.0,1.10646,1343.33576051,1343.33576051,60.2811788749,-63.1750673833,91.84,,inf,500,62.5117
-58.2247,100,-58.2247,,3.50449e-18,-58.2247142209,0.01,-58.2247142209,0.01,2,0.01,6.92635,1.0,1.0,1.0,48.4589351302,48.4589351302,100.0,-58.2247142209,85.53,500.0,1.0,500,1.0
-61.3861,100,-61.3861,,2.1793e-19,-64.5475048801,0.005,-64.5475048801,0.005,2,0.005,36.4401,1.0,1.0,1.0,2613.93698335,2613.93698335,200.000000102,-64.5475048801,91.97,500.0,1.0,500,1.0
-62.8099,100,-62.8099,,5.43914e-20,-65.6574867989,0.00333333,-65.6574867989,0.00333333,2,0.00333333,41.8016,1.0,1.0,1.0,2600.2089142,2600.2089142,299.999969474,-65.6574867989,94.08,500.0,1.0,500,1.0
-62.6908,100,-62.6908,,5.4346e-20,-62.3336956736,0.0025,-62.3336956736,0.0025,2,0.0025,40.5309,1.0,1.0,1.0,1342.12105075,1342.12105075,400.0,-62.3336956736,90.29,500.0,1.0,500,1.0
-60.9247,100,-60.9247,0.71195,2.70549e-06,-63.084606548,0.002,-63.084606548,0.0215994,1,0.000442051,30.4216,0.226764,1.0,1.02596,1345.36278528,1345.36278528,298.504027052,-63.084606548,92.16,,inf,500,11.0801
-57.8949,100,-57.8949,,3.50449e-18,-57.8949019977,0.01,-57.8949019977,0.01,2,0.01,6.50667,1.0,1.0,1.0,42.7643385785,42.7643385785,100.0,-57.8949019977,84.68,500.0,1.0,500,1.0
-61.5074,100,-61.5074,,2.1793e-19,-65.1199315193,0.005,-65.1199315193,0.005,2,0.005,36.3454,1.0,1.0,1.0,2599.52874636,2599.52874636,200.000000102,-65.1199315193,93.02,500.0,1.0,500,1.0
-60.4355,100,-60.4355,,5.43914e-20,-58.2917734213,0.00333333,-58.2917734213,0.00333333,2,0.00333333,29.9692,1.0,1.0,1.0,46.0621368327,46.0621368327,299.999969474,-58.2917734213,85.48,500.0,1.0,500,1.0
-62.0618,100,-62.0618,,5.4346e-20,-66.9406067382,0.0025,-66.9406067382,0.0025,2,0.0025,36.339,1.0,1.0,1.0,2581.7119694,2581.7119694,400.0,-66.9406067382,96.11,500.0,1.0,500,1.0
