eRenyi2,MaxVanillaIw,J,VarVanillaIw,VarNormIw,MinVanillaIw,VarDiscRet,AvgEpLen,ESSClassic,AvgDiscRet,Delta,Bound,VanillaAvgRet,MinNormIw,ESSRenyi,AvgRet,BatchSize,AvgNormIw,MaxNormIw,AvgVanillaIw,EpsThisIter,VarJ,VarRet,IterType
1.04071,1.30387,-106.86,0.0451703,4.56884e-06,0.193588,7.53036681787,15.45,95.6725709992,-107.122525178,0.8,-112.799,-107.122525178,0.00194695,96.0886352268,-107.122525178,100,0.01,0.0131133,0.994314,100,2.36151,7.53036681787,1
1.01926,1.28072,-106.843,0.0239305,2.39828e-06,0.487186,4.47614024669,15.46,97.6807491004,-106.96110447,0.8,-112.657,-106.96110447,0.00487719,98.1104235354,-106.96110447,100,0.01,0.0128212,0.998908,100,1.93438,4.47614024669,1
1.01932,1.51592,-106.418,0.0210098,1.99203e-06,0.580219,4.17672511253,14.84,98.0660063022,-106.528447386,0.8,-112.084,-106.528447386,0.00564975,98.1044685405,-106.528447386,100,0.01,0.014761,1.02698,100,1.95098,4.17672511253,1
1.01095,1.21277,-106.849,0.0126331,1.28081e-06,0.624099,3.70180681366,15.28,98.747872664,-106.907570806,0.8,-112.544,-106.907570806,0.00628407,98.9168983758,-106.907570806,100,0.01,0.0122114,0.993144,100,1.85546,3.70180681366,1
1.01796,1.40199,-106.8,0.0164353,1.61662e-06,0.568305,4.49339035544,14.98,98.4247801088,-106.90791547,0.8,-112.525,-106.90791547,0.00563633,98.2357836904,-106.90791547,100,0.01,0.0139046,1.00829,100,2.07421,4.49339035544,1
1.01066,1.14463,-106.564,0.0123655,1.2709e-06,0.517402,3.49432125881,15.07,98.7574620772,-106.628058991,0.8,-112.187,-106.628058991,0.0052454,98.9450751913,-106.628058991,100,0.01,0.0116042,0.986392,100,1.77568,3.49432125881,1
1.00608,1.30341,-106.376,0.00747745,7.3856e-07,0.894834,3.01483821061,15.15,99.2741512745,-106.410032558,0.8,-111.991,-106.410032558,0.00889321,99.395294327,-106.410032558,100,0.01,0.0129538,1.0062,100,1.72825,3.01483821061,1
1.01026,1.42476,-106.418,0.0115607,1.14842e-06,0.87081,3.54750315338,14.73,98.8758847752,-106.473166281,0.8,-112.026,-106.473166281,0.00867925,98.9848417142,-106.473166281,100,0.01,0.0142004,1.00332,100,1.87469,3.54750315338,1
1.00547,1.29426,-106.639,0.00407106,4.1608e-07,0.827783,4.80851411539,15.27,99.589776672,-106.670809904,0.8,-112.535,-106.670809904,0.00836857,99.4561018144,-106.670809904,100,0.01,0.0130845,0.989157,100,2.1653,4.80851411539,1
1.01695,1.19737,-106.959,0.0209684,2.04304e-06,0.382278,4.70550624137,15.4,98.0174683614,-107.071524196,0.8,-112.687,-107.071524196,0.00377342,98.3334923654,-107.071524196,100,0.01,0.0118191,1.01308,100,2.06245,4.70550624137,1
1.00769,1.11283,-106.268,0.00652332,6.46643e-07,0.751146,3.70036328318,15.2,99.3638926907,-106.308292379,0.8,-111.904,-106.308292379,0.00747863,99.2364622376,-106.308292379,100,0.01,0.0110796,1.00439,100,1.87115,3.70036328318,1
1.07942,1.45945,-106.523,0.0618623,6.12585e-06,0.226847,6.2302570582,15.29,94.2821356292,-106.747810784,0.8,-112.527,-106.747810784,0.00225737,92.6424191127,-106.747810784,100,0.01,0.0145231,1.00492,100,2.24533,6.2302570582,1
1.01269,1.25111,-106.41,0.0149629,1.47742e-06,0.712073,4.23069426368,15.03,98.558441001,-106.481019423,0.8,-112.062,-106.481019423,0.00707568,98.7466395263,-106.481019423,100,0.01,0.012432,1.00637,100,1.96128,4.23069426368,1
1.01273,1.27127,-106.337,0.0117707,1.17688e-06,0.639986,2.91046547444,14.87,98.8483181878,-106.406818695,0.8,-111.872,-106.406818695,0.00639935,98.7429199937,-106.406818695,100,0.01,0.0127117,1.00008,100,1.66809,2.91046547444,1
1.00732,1.12331,-106.869,0.0100303,1.01848e-06,0.589029,4.03030017325,14.85,99.0017757002,-106.913329622,0.8,-112.622,-106.913329622,0.00593548,99.273514449,-106.913329622,100,0.01,0.0113193,0.992388,100,1.93589,4.03030017325,1
1.00279,1.07614,-106.382,0.00322172,3.24702e-07,0.768359,3.27234522172,15.41,99.6796063732,-106.39870061,0.8,-111.992,-106.39870061,0.0077137,99.7222411437,-106.39870061,100,0.01,0.0108036,0.996097,100,1.80223,3.27234522172,1
1.0171,1.50377,-106.398,0.0256287,2.5957e-06,0.455617,3.10303528041,15.28,97.4946109124,-106.494817716,0.8,-111.995,-106.494817716,0.00458526,98.3185211847,-106.494817716,100,0.01,0.0151337,0.993655,100,1.72643,3.10303528041,1
1.00491,1.22621,-106.46,0.00472321,4.78767e-07,0.768965,3.02443474357,14.94,99.5282248392,-106.487532905,0.8,-112.04,-106.487532905,0.00774194,99.5113289731,-106.487532905,100,0.01,0.0123455,0.993245,100,1.74479,3.02443474357,1
1.00837,1.36974,-106.541,0.00810467,7.87484e-07,0.777745,3.13268584765,15.08,99.2264480277,-106.589637134,0.8,-112.211,-106.589637134,0.00766638,99.1696151569,-106.589637134,100,0.01,0.0135018,1.01449,100,1.73094,3.13268584765,1
1.01157,1.19131,-106.663,0.0112402,1.13131e-06,0.623307,4.03623969307,15.38,98.8924148533,-106.727700764,0.8,-112.395,-106.727700764,0.00625323,98.8558978035,-106.727700764,100,0.01,0.0119517,0.996775,100,1.93433,4.03623969307,1
1.01376,1.71178,-106.553,0.0162212,1.62576e-06,0.837581,3.80281370472,15.19,98.4159878199,-106.628664124,0.8,-112.186,-106.628664124,0.00838521,98.642830416,-106.628664124,100,0.01,0.017137,0.998878,100,1.9245,3.80281370472,1
1.00441,1.18773,-106.281,0.00414197,4.20541e-07,0.728296,3.83467789602,14.89,99.5853946744,-106.305707326,0.8,-111.904,-106.305707326,0.00733852,99.5605907736,-106.305707326,100,0.01,0.0119679,0.992429,100,1.92162,3.83467789602,1
1.00868,1.86126,-106.4,0.0163006,1.59071e-06,0.807095,3.22431859662,15.41,98.4496169802,-106.447505341,0.8,-112.033,-106.447505341,0.00797293,99.1392481658,-106.447505341,100,0.01,0.0183865,1.01229,100,1.79025,3.22431859662,1
1.01548,1.23686,-106.64,0.0117641,1.17395e-06,0.732628,4.5916240188,14.86,98.8511172275,-106.727356252,0.8,-112.348,-106.727356252,0.0073186,98.4752469157,-106.727356252,100,0.01,0.0123556,1.00105,100,2.02302,4.5916240188,1
1.01797,1.5075,-106.066,0.0235292,2.2604e-06,0.616812,2.69208678378,14.94,97.8112022881,-106.165068266,0.8,-111.696,-106.165068266,0.00604563,98.2344262351,-106.165068266,100,0.01,0.0147756,1.02026,100,1.65346,2.69208678378,1
1.00598,1.15546,-106.554,0.00643403,6.32319e-07,0.635792,3.36488702927,14.97,99.377886526,-106.588264616,0.8,-112.124,-106.588264616,0.00630292,99.4056004384,-106.588264616,100,0.01,0.0114547,1.00873,100,1.82533,3.36488702927,1
1.01252,1.2341,-106.47,0.0152565,1.51516e-06,0.589943,3.66498512557,15.29,98.5221258514,-106.542293603,0.8,-112.159,-106.542293603,0.00587912,98.763287868,-106.542293603,100,0.01,0.0122985,1.00345,100,1.89216,3.66498512557,1
1.00637,1.2328,-106.418,0.0061353,6.19377e-07,0.818476,3.48025097802,15.05,99.3905171917,-106.453036884,0.8,-112.075,-106.453036884,0.00822367,99.3674726126,-106.453036884,100,0.01,0.0123866,0.995269,100,1.84285,3.48025097802,1
1.00563,1.28814,-106.576,0.00558106,5.67399e-07,0.857698,4.18839353598,14.94,99.4414146003,-106.608010968,0.8,-112.218,-106.608010968,0.00864809,99.4403742993,-106.608010968,100,0.01,0.0129882,0.991777,100,2.00566,4.18839353598,1
1.00524,1.22012,-106.765,0.00388263,3.92356e-07,0.880217,3.70647486353,14.79,99.6130652019,-106.794930736,0.8,-112.35,-106.794930736,0.00884844,99.4790889666,-106.794930736,100,0.01,0.0122653,0.994771,100,1.90427,3.70647486353,1
1.00183,1.0564,-106.364,0.00133365,1.33019e-07,0.912331,3.26394527083,15.01,99.8684800548,-106.379441238,0.8,-111.915,-106.379441238,0.00911148,99.81697977,-106.379441238,100,0.01,0.0105503,1.0013,100,1.80052,3.26394527083,1
1.0,66.9073,-104.744,46.5484,0.00528539,,4.12198972369,14.71,1.87528001654,-106.431368954,0.8,-110.38,-106.431368954,,99.9999403954,-106.431368954,100,0.01,0.712952,0.938455,100,3.69415,4.12198972369,1
1.00612,1.22715,-106.743,0.00613337,6.05756e-07,0.781453,5.32036692089,15.72,99.403841382,-106.779883469,0.8,-112.746,-106.779883469,0.00776608,99.3920674812,-106.779883469,100,0.01,0.0121954,1.00624,100,2.27992,5.32036692089,1
1.0163,1.24368,-106.75,0.0190449,1.93696e-06,0.541297,4.29983043888,15.8,98.1184978407,-106.843964139,0.8,-112.453,-106.843964139,0.00545891,98.3959156221,-106.843964139,100,0.01,0.0125423,0.991584,100,1.96016,4.29983043888,1
1.01211,1.57213,-106.722,0.0145183,1.46856e-06,0.501787,3.94857783089,15.82,98.566980009,-106.788499844,0.8,-112.355,-106.788499844,0.00504669,98.8036415243,-106.788499844,100,0.01,0.0158116,0.994289,100,1.99714,3.94857783089,1
1.0078,1.31309,-106.715,0.00707147,7.03724e-07,0.818,4.42533119185,17.03,99.3081261303,-106.762242278,0.8,-112.629,-106.762242278,0.00816018,99.2260737948,-106.762242278,100,0.01,0.013099,1.00243,100,2.02562,4.42533119185,1
1.01922,1.2898,-107.092,0.0204616,2.18765e-06,0.566727,5.71399903842,16.16,97.8801535949,-107.204897529,0.8,-112.993,-107.204897529,0.00585993,98.1144168849,-107.204897529,100,0.01,0.0133365,0.967122,100,2.22242,5.71399903842,1
1.01672,1.26174,-106.756,0.0162152,1.6193e-06,0.561676,5.92166821314,17.41,98.4222091287,-106.856177413,0.8,-112.814,-106.856177413,0.00561292,98.3556751496,-106.856177413,100,0.01,0.0126088,1.00069,100,2.33459,5.92166821314,1
1.01824,1.36332,-106.578,0.0230381,2.28791e-06,0.597373,4.65189705879,16.47,97.7851531385,-106.677577953,0.8,-112.449,-106.677577953,0.00595308,98.2086532083,-106.677577953,100,0.01,0.0135861,1.00347,100,2.03187,4.65189705879,1
1.01339,1.36626,-106.576,0.0145589,1.4423e-06,0.459351,5.37174648968,15.54,98.59221978,-106.656643015,0.8,-112.479,-106.656643015,0.00457202,98.6788137427,-106.656643015,100,0.01,0.0135987,1.0047,100,2.1556,5.37174648968,1
1.00931,1.33787,-106.958,0.00931763,9.25548e-07,0.782112,5.15965600472,16.61,99.0920352298,-107.012001449,0.8,-112.784,-107.012001449,0.00779499,99.0779146201,-107.012001449,100,0.01,0.013334,1.00335,100,2.18603,5.15965600472,1
1.00592,1.15264,-106.465,0.00427382,4.18601e-07,0.79014,3.30693032551,16.18,99.5872820446,-106.497893944,0.8,-112.087,-106.497893944,0.0078198,99.4110782701,-106.497893944,100,0.01,0.0114074,1.01043,100,1.76695,3.30693032551,1
1.01498,1.49888,-107.062,0.0180419,1.81918e-06,0.698723,4.97633648246,15.8,98.2308818556,-107.149162337,0.8,-112.96,-107.149162337,0.00701618,98.5238235842,-107.149162337,100,0.01,0.0150509,0.995874,100,2.17886,4.97633648246,1
1.01236,1.44951,-106.699,0.0172896,1.77918e-06,0.558132,3.96170173979,16.78,98.2691402903,-106.768477668,0.8,-112.319,-106.768477668,0.00566179,98.7790810773,-106.768477668,100,0.01,0.0147041,0.985787,100,1.99888,3.96170173979,1
1.01063,1.73937,-106.566,0.0141871,1.41995e-06,0.820934,3.57867294473,15.78,98.613741962,-106.62006571,0.8,-112.138,-106.62006571,0.00821293,98.9484948368,-106.62006571,100,0.01,0.0174013,0.999563,100,1.90514,3.57867294473,1
1.0203,1.96765,-106.503,0.0267615,2.61695e-06,0.687489,4.66592048704,15.98,97.4746218351,-106.619671805,0.8,-112.224,-106.619671805,0.00679843,98.0102372849,-106.619671805,100,0.01,0.0194577,1.01125,100,2.08334,4.66592048704,1
1.01463,1.29515,-106.613,0.0163079,1.62481e-06,0.638645,8.18194175841,15.96,98.4169254615,-106.717502754,0.8,-113.114,-106.717502754,0.00637472,98.5585042375,-106.717502754,100,0.01,0.0129278,1.00184,100,2.30543,8.18194175841,1
1.00932,1.20426,-106.398,0.0108592,1.102e-06,0.73344,3.20891825759,15.39,98.9207895267,-106.449258503,0.8,-112.008,-106.449258503,0.0073885,99.0762763532,-106.449258503,100,0.01,0.0121314,0.992679,100,1.73635,3.20891825759,1
1.0205,1.40479,-106.755,0.0248091,2.54389e-06,0.627875,8.25882410881,18.2,97.5433796441,-106.884319195,0.8,-113.148,-106.884319195,0.00635795,97.9911403179,-106.884319195,100,0.01,0.0142251,0.987543,100,2.40306,8.25882410881,1
1.00216,1.26405,-106.469,0.00214136,2.12517e-07,0.926336,3.57792562289,15.33,99.790044529,-106.482264252,0.8,-112.078,-106.482264252,0.00922827,99.7843752658,-106.482264252,100,0.01,0.0125926,1.0038,100,1.8821,3.57792562289,1
1.00728,1.23447,-106.754,0.00833272,8.26427e-07,0.812824,4.32539032867,16.67,99.1884736091,-106.79649327,0.8,-112.402,-106.79649327,0.00809478,99.2776147927,-106.79649327,100,0.01,0.0122939,1.00413,100,2.05684,4.32539032867,1
1.00421,1.12435,-106.649,0.00430159,4.34936e-07,0.762613,3.41953067892,15.34,99.5712500822,-106.67157671,0.8,-112.305,-106.67157671,0.00766836,99.5807536273,-106.67157671,100,0.01,0.0113057,0.994493,100,1.82637,3.41953067892,1
1.0,25.156,-104.947,7.50672,0.00442872,,3.90187415346,15.49,2.22993510683,-106.559572628,0.8,-110.592,-106.559572628,,99.9997138985,-106.559572628,100,0.01,0.611019,0.411705,100,4.12537,3.90187415346,1
1.00832,1.28975,-106.55,0.0100319,9.92297e-07,0.705486,3.55114765172,14.58,99.0271575774,-106.594961248,0.8,-112.186,-106.594961248,0.00701645,99.1747973348,-106.594961248,100,0.01,0.0128273,1.00547,100,1.85816,3.55114765172,1
1.02009,1.55021,-107.068,0.0336248,3.44268e-06,0.419972,3.97226411549,14.8,96.7040885698,-107.189384136,0.8,-112.797,-107.189384136,0.00424951,98.0305560178,-107.189384136,100,0.01,0.0156859,0.988284,100,1.88696,3.97226411549,1
1.00399,1.11572,-106.634,0.0043284,4.29649e-07,0.790457,3.87272421947,14.25,99.576472583,-106.655997271,0.8,-112.25,-106.655997271,0.00787538,99.6022255233,-106.655997271,100,0.01,0.011116,1.00371,100,1.96615,3.87272421947,1
1.01005,1.55481,-107.131,0.0131297,1.32896e-06,0.860934,4.2198706232,14.94,98.7014363752,-107.187720906,0.8,-112.764,-107.187720906,0.00866164,99.0053796342,-107.187720906,100,0.01,0.0156425,0.993963,100,2.00602,4.2198706232,1
1.01635,1.67294,-106.918,0.0227618,2.25095e-06,0.843539,3.83202783468,14.66,97.8201522799,-107.00987387,0.8,-112.536,-107.00987387,0.00838851,98.3908606817,-107.00987387,100,0.01,0.0166364,1.00559,100,1.96841,3.83202783468,1
1.01292,1.47191,-107.09,0.0170205,1.63578e-06,0.692814,5.15713932326,14.98,98.4064164868,-107.160235943,0.8,-112.762,-107.160235943,0.00679191,98.7240012098,-107.160235943,100,0.01,0.0144296,1.02006,100,2.27319,5.15713932326,1
1.01162,1.44963,-106.833,0.0121496,1.19268e-06,0.611496,3.82223363646,14.94,98.8330390869,-106.895944915,0.8,-112.446,-106.895944915,0.00605863,98.8517273818,-106.895944915,100,0.01,0.0143628,1.0093,100,1.95761,3.82223363646,1
1.00458,1.20618,-107.221,0.00343538,3.34768e-07,0.811743,4.13955284405,15.03,99.6696541206,-107.241501382,0.8,-112.805,-107.241501382,0.00801316,99.5443931306,-107.241501382,100,0.01,0.0119069,1.01301,100,2.01478,4.13955284405,1
1.01994,1.40738,-107.011,0.0265571,2.6217e-06,0.631785,5.5527664258,14.66,97.4701855242,-107.127272973,0.8,-112.722,-107.127272973,0.00627726,98.0447635175,-107.127272973,100,0.01,0.0139834,1.00647,100,2.28983,5.5527664258,1
1.00167,1.10305,-106.647,0.00132334,1.32273e-07,0.909601,4.20094073604,14.49,99.869203811,-106.656070526,0.8,-112.199,-106.656070526,0.00909392,99.832909816,-106.656070526,100,0.01,0.011028,1.00023,100,2.03778,4.20094073604,1
1.01326,1.24902,-106.828,0.0142047,1.41938e-06,0.65525,4.46376067737,14.53,98.6142894338,-106.901059742,0.8,-112.504,-106.901059742,0.00654997,98.6917583766,-106.901059742,100,0.01,0.0124853,1.00039,100,2.04268,4.46376067737,1
1.00553,1.39732,-106.924,0.00711275,7.13525e-07,0.769034,4.22711240675,14.69,99.2985773996,-106.956411186,0.8,-112.578,-106.956411186,0.0077025,99.4501238294,-106.956411186,100,0.01,0.0139953,0.998422,100,2.02413,4.22711240675,1
1.00775,1.34718,-106.724,0.00953109,9.1854e-07,0.8161,3.85966808212,14.85,99.0988351645,-106.769214191,0.8,-112.361,-106.769214191,0.00801163,99.2310153703,-106.769214191,100,0.01,0.0132253,1.01864,100,1.95452,3.85966808212,1
1.01208,1.3927,-106.805,0.0125917,1.23306e-06,0.780555,4.82203611744,14.52,98.7940205118,-106.871193583,0.8,-112.467,-106.871193583,0.0077242,98.8067138937,-106.871193583,100,0.01,0.0137819,1.01053,100,2.14672,4.82203611744,1
1.00913,1.3127,-106.795,0.00885263,8.61167e-07,0.752718,4.19253380706,14.75,99.154661354,-106.846607787,0.8,-112.4,-106.846607787,0.00742403,99.0948387475,-106.846607787,100,0.01,0.0129471,1.01389,100,2.01051,4.19253380706,1
1.02217,1.2791,-107.184,0.0296334,3.06362e-06,0.484736,4.49198085229,15.1,97.0563030127,-107.305962037,0.8,-112.857,-107.305962037,0.0049287,97.8310099958,-107.305962037,100,0.01,0.0130056,0.983497,100,2.09651,4.49198085229,1
1.00851,1.34732,-106.825,0.00970281,9.86803e-07,0.784999,4.65429842519,14.62,99.0325297723,-106.872905402,0.8,-112.476,-106.872905402,0.00791654,99.1560408874,-106.872905402,100,0.01,0.0135874,0.991593,100,2.07204,4.65429842519,1
1.00757,1.32895,-106.753,0.00933646,9.23522e-07,0.857758,4.07984041064,14.4,99.0939951624,-106.795969127,0.8,-112.412,-106.795969127,0.00853095,99.2485789658,-106.795969127,100,0.01,0.0132172,1.00547,100,2.05249,4.07984041064,1
1.00423,1.16552,-106.712,0.00489864,4.93725e-07,0.808178,3.40413709153,14.6,99.5135677884,-106.734308345,0.8,-112.301,-106.734308345,0.00811356,99.5782948821,-106.734308345,100,0.01,0.011701,0.996082,100,1.83378,3.40413709153,1
1.00198,1.2577,-107.121,0.00314812,3.10862e-07,0.92712,3.98112477291,14.92,99.6931581835,-107.131310759,0.8,-112.82,-107.131310759,0.00921285,99.8022184278,-107.131310759,100,0.01,0.0124978,1.00633,100,1.98531,3.98112477291,1
1.01204,1.13725,-106.582,0.010911,1.08832e-06,0.629306,5.28548256684,14.64,98.9340693648,-106.645401261,0.8,-112.234,-106.645401261,0.00628503,98.810449873,-106.645401261,100,0.01,0.0113579,1.00128,100,2.26142,5.28548256684,1
1.00922,1.66067,-106.796,0.01015,1.0107e-06,0.791624,4.31518931557,14.66,99.0093214006,-106.84790613,0.8,-112.402,-106.84790613,0.00789945,99.0865047064,-106.84790613,100,0.01,0.0165715,1.00212,100,2.04894,4.31518931557,1
1.00164,1.11082,-106.873,0.00167352,1.66192e-07,0.875448,4.47505669243,14.47,99.8357971633,-106.882461666,0.8,-112.444,-106.882461666,0.00872409,99.8367356849,-106.882461666,100,0.01,0.0110696,1.00348,100,2.09808,4.47505669243,1
1.00882,1.19339,-106.921,0.00685312,6.59577e-07,0.7317,3.84892445092,14.81,99.3512500748,-106.974083317,0.8,-112.54,-106.974083317,0.0071783,99.1260453241,-106.974083317,100,0.01,0.0117077,1.01932,100,1.92184,3.84892445092,1
1.00692,1.29161,-107.112,0.00940035,9.46911e-07,0.600365,3.78062826486,15.26,99.0712520781,-107.156672484,0.8,-112.71,-107.156672484,0.00602557,99.313180975,-107.156672484,100,0.01,0.0129632,0.996363,100,1.90148,3.78062826486,1
1.00862,1.52455,-106.661,0.011155,1.09781e-06,0.716288,3.49148518969,14.58,98.9248194579,-106.708069882,0.8,-112.253,-106.708069882,0.00710585,99.1451771164,-106.708069882,100,0.01,0.0151241,1.00803,100,1.84454,3.49148518969,1
1.00929,1.44844,-106.661,0.00955748,9.59745e-07,0.819854,3.69109550706,14.85,99.058790362,-106.716673834,0.8,-112.372,-106.716673834,0.00821566,99.079447619,-106.716673834,100,0.01,0.0145147,0.997916,100,1.91956,3.69109550706,1
1.00903,1.5352,-106.463,0.0128019,1.27725e-06,0.824169,3.80620256183,14.48,98.7513353459,-106.510890739,0.8,-112.07,-106.510890739,0.00823221,99.104883598,-106.510890739,100,0.01,0.0153343,1.00115,100,1.97376,3.80620256183,1
1.01198,1.37434,-106.876,0.014642,1.44681e-06,0.703252,4.27575365237,14.66,98.5878559683,-106.942171556,0.8,-112.498,-106.942171556,0.00699062,98.8157342638,-106.942171556,100,0.01,0.0136616,1.00599,100,2.06324,4.27575365237,1
1.00425,1.09147,-107.005,0.00386057,3.92006e-07,0.76222,4.42517208445,14.67,99.6134289003,-107.029647045,0.8,-112.595,-107.029647045,0.0076807,99.5769709927,-107.029647045,100,0.01,0.0109985,0.992384,100,2.07703,4.42517208445,1
1.0032,1.0673,-107.202,0.00165093,1.62172e-07,0.854925,3.77963455909,14.97,99.8397133117,-107.221881852,0.8,-112.816,-107.221881852,0.00847327,99.6810271963,-107.221881852,100,0.01,0.0105781,1.00897,100,1.91689,3.77963455909,1
1.01681,1.33257,-107.056,0.0209852,2.0834e-06,0.650943,5.37791004935,15.03,97.9790870243,-107.147844445,0.8,-112.69,-107.147844445,0.00648593,98.3466232729,-107.147844445,100,0.01,0.0132776,1.00362,100,2.26277,5.37791004935,1
1.01041,1.15365,-106.272,0.0116056,1.18218e-06,0.643352,3.30436309704,14.78,98.8431788577,-106.331521913,0.8,-111.842,-106.331521913,0.00649315,98.9696715573,-106.331521913,100,0.01,0.0116434,0.990816,100,1.73208,3.30436309704,1
1.0046,1.12724,-107.149,0.00416194,4.24043e-07,0.830437,4.4151151793,14.8,99.5819383032,-107.175459379,0.8,-112.945,-107.175459379,0.00838231,99.5425385946,-107.175459379,100,0.01,0.0113782,0.990702,100,2.05871,4.4151151793,1
1.01267,1.28148,-106.676,0.0139879,1.43785e-06,0.614167,4.15223132807,14.47,98.596503151,-106.744455752,0.8,-112.35,-106.744455752,0.00622683,98.7488946293,-106.744455752,100,0.01,0.0129925,0.986325,100,2.06471,4.15223132807,1
1.00449,1.1605,-106.739,0.00319411,3.18402e-07,0.796302,3.71634091802,14.9,99.6857660526,-106.76651575,0.8,-112.362,-106.76651575,0.00795042,99.5534659968,-106.76651575,100,0.01,0.0115866,1.00158,100,1.88743,3.71634091802,1
1.00588,1.19719,-106.861,0.00680169,6.77387e-07,0.683318,3.69694557757,14.66,99.3338066256,-106.89428084,0.8,-112.496,-106.89428084,0.00681919,99.4154374063,-106.89428084,100,0.01,0.0119474,1.00205,100,1.89205,3.69694557757,1
