ESSRenyi,VarDiscRet,BatchSize,AvgNormIw,VarJ,Bound,MinNormIw,AvgRet,VarVanillaIw,MinVanillaIw,MaxVanillaIw,eRenyi2,AvgVanillaIw,J,AvgDiscRet,AvgEpLen,MaxNormIw,VarNormIw,VarRet,ESSClassic
100.0,21.082100524542057,100,0.009999998,4.5685096,-0.38616097,0.01,-5751.227326907661,,1.0,1.0,1.0,1.0,7.4505806e-08,5.184119800105691e-13,200.0,0.01,3.5044917e-18,21.08210052454206,100.0
100.0,40.06724058708545,100,0.009999998,6.2981396,-0.5323609,0.01,-5750.073435224514,,1.0,1.0,1.0,1.0,7.0780516e-08,5.638867150992155e-13,200.0,0.01,3.5044917e-18,40.06724058708545,100.0
100.0,27.323101376088164,100,0.009999998,5.2009487,-0.4396191,0.01,-5750.033950983315,,1.0,1.0,1.0,1.0,7.450581e-09,-1.5643308870494365e-12,200.0,0.01,3.5044917e-18,27.323101376088168,100.0
100.0,33.23962816065579,100,0.009999998,5.7364826,-0.48488596,0.01,-5749.647076553654,,1.0,1.0,1.0,1.0,-7.450581e-09,-1.9099388737231492e-13,200.0,0.01,3.5044917e-18,33.2396281606558,100.0
100.0,31.19658582748422,100,0.009999998,5.5573936,-0.46974808,0.01,-5750.307245944185,,1.0,1.0,1.0,1.0,1.4901161e-08,8.640199666842818e-13,200.0,0.01,3.5044917e-18,31.19658582748422,100.0
100.0,25.908517296245876,100,0.009999998,5.0645266,-0.42808774,0.01,-5749.530434836933,,1.0,1.0,1.0,1.0,2.2351742e-08,4.3655745685100554e-13,200.0,0.01,3.5044917e-18,25.908517296245876,100.0
100.0,45.188171374046,100,0.009999998,6.6885195,-0.5653585,0.01,-5749.993927588847,,1.0,1.0,1.0,1.0,-5.2154064e-08,-3.092281986027956e-13,200.0,0.01,3.5044917e-18,45.188171374046,100.0
100.0,54.079037477409834,100,0.009999998,7.316983,-0.6184803,0.01,-5748.959603967066,,1.0,1.0,1.0,1.0,1.0803342e-07,1.0913936421275138e-13,200.0,0.01,3.5044917e-18,54.079037477409834,100.0
100.0,35.36722753418185,100,0.009999998,5.9172254,-0.5001635,0.01,-5749.702072995824,,1.0,1.0,1.0,1.0,-1.1175871e-08,-1.77351466845721e-12,200.0,0.01,3.5044917e-18,35.36722753418185,100.0
100.0,20.697383646350172,100,0.009999998,4.5266333,-0.3826214,0.01,-5750.292226358095,,1.0,1.0,1.0,1.0,-2.6077032e-08,1.6461854102090002e-12,200.0,0.01,3.5044917e-18,20.697383646350175,100.0
100.0,22.1442381482072,100,0.009999998,4.6821785,-0.39576918,0.01,-5750.221887770412,,1.0,1.0,1.0,1.0,-2.0489097e-08,-2.2737367544323206e-13,200.0,0.01,3.5044917e-18,22.1442381482072,100.0
100.0,48.74195936643713,100,0.009999998,6.946549,-0.5871688,0.01,-5749.5350195227475,,1.0,1.0,1.0,1.0,6.7055225e-08,-1.8189894035458565e-14,200.0,0.01,3.5044917e-18,48.74195936643713,100.0
