J,AvgDiscRet,eRenyi2,Delta,VarDiscRet,VarNormIw,VarJ,AvgEpLen,EpsThisIter,Bound,VarVanillaIw,MinVanillaIw,AvgNormIw,AvgRet,MaxVanillaIw,ESSRenyi,ESSClassic,AvgVanillaIw,BatchSize,IterType,VarRet,MinNormIw,VanillaAvgRet,MaxNormIw
-618.181,-624.24521645,1.05356,0.4,4665.83936619,7.38739e-06,69.3963,500.0,100,-742.8,0.0694169,0.480584,0.01,-624.24521645,1.72758,94.9166365783,93.1849030426,0.969365,100,1,4665.83936619,0.00495772,-624.24521645,0.0178217
-609.618,-619.264308354,1.08254,0.4,4223.09692446,1.05425e-05,57.4267,500.0,100,-729.432,0.0977396,0.257173,0.01,-619.264308354,1.62303,92.3752856098,90.5493162762,0.962862,100,1,4223.09692446,0.00267092,-619.264308354,0.0168563
-608.083,-623.251102287,1.08847,0.4,11930.7697203,1.27178e-05,91.6146,500.0,100,-756.682,0.114446,0.162427,0.01,-623.251102287,1.52361,91.8724209301,88.8173041908,0.948624,100,1,11930.7697203,0.00171224,-623.251102287,0.0160613
-599.885,-608.13085721,1.05924,0.4,4961.3587212,5.60394e-06,64.5021,500.0,100,-720.814,0.0586479,0.197929,0.01,-608.13085721,1.65945,94.4075992384,94.7437475704,1.02301,100,1,4961.3587212,0.00193477,-608.13085721,0.0162213
-591.035,-599.139946911,1.08021,0.4,4606.47659055,9.47162e-06,61.9422,500.0,100,-704.95,0.0883453,0.395864,0.01,-599.139946911,1.7753,92.5748601325,91.4269800715,0.965783,100,1,4606.47659055,0.0040989,-599.139946911,0.0183819
-586.665,-594.416119877,1.0507,0.4,6913.17836942,5.66344e-06,62.5421,500.0,100,-738.499,0.0550591,0.398334,0.01,-594.416119877,1.34848,95.1749740183,94.6908850535,0.985995,100,1,6913.17836942,0.00403993,-594.416119877,0.0136764
-581.313,-588.659990479,1.07751,0.4,3592.75505314,1.13692e-05,55.4763,500.0,100,-685.307,0.120156,0.342878,0.01,-588.659990479,3.04248,92.8067276239,89.883157049,1.02803,100,1,3592.75505314,0.00333529,-588.659990479,0.0295952
-590.76,-593.843589414,1.02508,0.4,3927.78233305,2.82173e-06,58.5155,500.0,100,-718.499,0.0290496,0.626858,0.01,-593.843589414,1.64258,97.5534897557,97.2824036727,1.01464,100,1,3927.78233305,0.00617813,-593.843589414,0.0161888
-584.942,-594.148857885,1.08248,0.4,5256.83617535,1.12977e-05,57.744,500.0,100,-708.347,0.110949,0.264838,0.01,-594.148857885,1.57528,92.3807688369,89.9403708903,0.990981,100,1,5256.83617535,0.00267248,-594.148857885,0.0158961
-580.433,-585.3659808,1.06453,0.4,2167.04965723,7.95447e-06,53.0887,500.0,100,-669.376,0.0772264,0.701463,0.01,-585.3659808,2.49619,93.9383789637,92.6999248981,0.98532,100,1,2167.04965723,0.00711914,-585.3659808,0.0253338
-574.959,-582.899197994,1.0837,0.4,3383.65390071,9.98165e-06,57.565,500.0,100,-671.975,0.10173,0.170177,0.01,-582.899197994,1.7216,92.2763738894,91.0068514284,1.00954,100,1,3383.65390071,0.00168569,-582.899197994,0.0170533
-584.817,-586.611881018,1.01491,0.4,3774.67206635,1.35969e-06,61.5024,500.0,100,-707.286,0.0133406,0.716659,0.01,-586.611881018,1.26106,98.5306281424,98.6717843453,0.990531,100,1,3774.67206635,0.0072351,-586.611881018,0.0127312
-570.033,-575.042916504,1.05753,0.4,2374.86176481,6.22388e-06,46.0235,500.0,100,-663.938,0.064265,0.401321,0.01,-575.042916504,1.75454,94.5603768434,94.1959750502,1.01615,100,1,2374.86176481,0.00394943,-575.042916504,0.0172665
-580.707,-585.706996937,1.03527,0.4,7528.83656474,4.14063e-06,82.2846,500.0,100,-717.749,0.0401126,0.435989,0.01,-585.706996937,1.3223,96.5930058283,96.0621813745,0.984253,100,1,7528.83656474,0.00442964,-585.706996937,0.0134346
-577.205,-580.794549715,1.02444,0.4,5840.9765288,2.77507e-06,68.2214,500.0,100,-717.535,0.027157,0.424885,0.01,-580.794549715,1.27764,97.6141652697,97.3261801821,0.989246,100,1,5840.9765288,0.00429504,-580.794549715,0.0129153
-570.53,-577.115189585,1.0752,0.4,2018.57952607,8.17843e-06,43.509,500.0,100,-661.634,0.0823167,0.271333,0.01,-577.115189585,1.70966,93.0061619323,92.5097761188,1.00325,100,1,2018.57952607,0.00270454,-577.115189585,0.0170413
-564.341,-570.693187555,1.08224,0.4,2328.34704953,1.04558e-05,48.1061,500.0,100,-653.383,0.107561,0.343907,0.01,-570.693187555,1.88036,92.4008049346,90.6197440458,1.01426,100,1,2328.34704953,0.00339073,-570.693187555,0.0185393
-573.155,-579.346596952,1.04212,0.4,5120.2408259,4.78381e-06,56.9293,500.0,100,-710.479,0.0485851,0.543252,0.01,-579.346596952,1.8874,95.958240829,95.4781619093,1.00778,100,1,5120.2408259,0.00539059,-579.346596952,0.0187283
-569.995,-573.163019621,1.02432,0.4,3928.47924459,2.49794e-06,53.504,500.0,100,-691.867,0.0253481,0.549519,0.01,-573.163019621,1.44499,97.6254005022,97.5867370934,1.00735,100,1,3928.47924459,0.00545508,-573.163019621,0.0143444
-573.616,-579.554328559,1.05558,0.4,4124.84729878,9.45465e-06,58.7703,500.0,100,-699.806,0.0991755,0.321183,0.01,-579.554328559,2.86881,94.7343896935,91.4410456583,1.02419,100,1,4124.84729878,0.00313598,-579.554328559,0.0280106
-562.81,-565.05991292,1.02063,0.4,2581.5909735,2.10398e-06,47.5566,500.0,100,-665.6,0.0218599,0.498414,0.01,-565.05991292,1.56,97.9783215899,97.9595705823,1.0193,100,1,2581.5909735,0.00488975,-565.05991292,0.0153046
-568.619,-571.542223902,1.03652,0.4,1786.87112227,3.95913e-06,42.9125,500.0,100,-652.878,0.0378454,0.442471,0.01,-571.542223902,1.4533,96.4770266068,96.2282863533,0.977702,100,1,1786.87112227,0.00452562,-571.542223902,0.0148644
-562.296,-565.119523885,1.02436,0.4,3943.86223327,3.19357e-06,57.9663,500.0,100,-680.536,0.0309458,0.562318,0.01,-565.119523885,1.73058,97.6222761891,96.9352989778,0.984379,100,1,3943.86223327,0.00571241,-565.119523885,0.0175805
-555.392,-560.095968691,1.05839,0.4,2159.9907416,6.98724e-06,48.9689,500.0,100,-641.003,0.0740568,0.542818,0.01,-560.095968691,1.95638,94.4833941814,93.5302198917,1.02951,100,1,2159.9907416,0.00527259,-560.095968691,0.0190031
-562.523,-568.829273991,1.0474,0.4,4618.83659039,8.69687e-06,53.8628,500.0,100,-699.185,0.0852091,0.323248,0.01,-568.829273991,1.99609,95.4747367095,92.0726467649,0.989832,100,1,4618.83659039,0.00326569,-568.829273991,0.0201659
-560.12,-566.604306052,1.0888,0.4,1979.41244856,9.47617e-06,50.5807,500.0,100,-646.464,0.0844428,0.440011,0.01,-566.604306052,1.88839,91.8446182276,91.423219455,0.943985,100,1,1979.41244856,0.00466121,-566.604306052,0.0200045
-552.945,-557.075039033,1.04536,0.4,2225.77697221,5.1799e-06,45.3382,500.0,100,-644.41,0.0540916,0.485406,0.01,-557.075039033,1.71126,95.6612532495,95.1220466507,1.02189,100,1,2225.77697221,0.00475008,-557.075039033,0.016746
-554.454,-557.912881422,1.03951,0.4,1904.24569656,4.95134e-06,43.0254,500.0,100,-643.734,0.0511183,0.479915,0.01,-557.912881422,1.54238,96.1987173746,95.3272249999,1.01608,100,1,1904.24569656,0.00472321,-557.912881422,0.0151797
-555.513,-559.967558701,1.05254,0.4,2116.07482545,6.15862e-06,46.4392,500.0,100,-637.939,0.0638357,0.511263,0.01,-559.967558701,1.9663,95.0079048594,94.2533600348,1.0181,100,1,2116.07482545,0.00502174,-559.967558701,0.0193134
-560.641,-565.019683949,1.04115,0.4,3245.86461774,4.61308e-06,53.7976,500.0,100,-675.068,0.0449899,0.396733,0.01,-565.019683949,1.46383,96.0472571382,95.6325350154,0.987556,100,1,3245.86461774,0.00401732,-565.019683949,0.0148227
-557.643,-560.34098547,1.03035,0.4,2800.8397923,3.33323e-06,52.5266,500.0,100,-651.535,0.0317134,0.528036,0.01,-560.34098547,1.33675,97.0544018293,96.8055131522,0.975414,100,1,2800.8397923,0.00541346,-560.34098547,0.0137045
-549.535,-556.33821572,1.09569,0.4,2177.34931576,1.05559e-05,53.0149,500.0,100,-635.568,0.103204,0.219609,0.01,-556.33821572,1.94852,91.2668979218,90.5384090673,0.988782,100,1,2177.34931576,0.00222101,-556.33821572,0.0197063
-543.989,-549.936379404,1.07102,0.4,2208.93776318,9.58966e-06,48.6534,500.0,100,-626.628,0.0931058,0.160769,0.01,-549.936379404,2.1408,93.3693427043,91.3293867237,0.985341,100,1,2208.93776318,0.00163161,-549.936379404,0.0217265
-545.191,-547.044475049,1.01292,0.4,4516.32067557,1.75597e-06,64.8237,500.0,100,-675.232,0.0175293,0.584327,0.01,-547.044475049,1.44158,98.7245240518,98.2912951113,0.999134,100,1,4516.32067557,0.00584834,-547.044475049,0.0144283
-541.765,-546.888693974,1.06585,0.4,2344.62666676,6.50113e-06,49.8554,500.0,100,-624.047,0.0720748,0.488172,0.01,-546.888693974,1.75096,93.8219355624,93.9530751524,1.05292,100,1,2344.62666676,0.00463634,-546.888693974,0.0166295
-544.114,-546.488661582,1.02908,0.4,1966.47649805,3.02242e-06,43.5491,500.0,100,-629.917,0.0316984,0.526405,0.01,-546.488661582,1.49672,97.1745658333,97.0947486904,1.0241,100,1,1966.47649805,0.00514019,-546.488661582,0.014615
-546.779,-549.621799196,1.03256,0.4,2762.81813504,3.15166e-06,51.3859,500.0,100,-634.965,0.0325929,0.50453,0.01,-549.621799196,1.51682,96.8465054892,96.9742735983,1.01693,100,1,2762.81813504,0.0049613,-549.621799196,0.0149157
-550.97,-554.078999423,1.03977,0.4,2343.20473593,2.98406e-06,48.2102,500.0,100,-636.747,0.0308645,0.564826,0.01,-554.078999423,1.39673,96.1747952249,97.1305502212,1.01701,100,1,2343.20473593,0.00555379,-554.078999423,0.0137337
-553.418,-555.871019385,1.02854,0.4,1977.71819292,3.71035e-06,42.6561,500.0,100,-636.175,0.0369948,0.53876,0.01,-555.871019385,1.74486,97.2254281932,96.4568773225,0.998534,100,1,1977.71819292,0.00539551,-555.871019385,0.0174742
-551.84,-558.435673308,1.04485,0.4,5830.06861436,5.53088e-06,55.6878,500.0,100,-696.924,0.050495,0.41255,0.01,-558.435673308,1.58141,95.7078024843,94.8087032179,0.955492,100,1,5830.06861436,0.00431767,-558.435673308,0.0165508
-543.783,-545.616567869,1.02233,0.4,2103.93541532,2.1578e-06,45.624,500.0,100,-627.69,0.0226553,0.701478,0.01,-545.616567869,1.39857,97.8158948637,97.9084841686,1.02466,100,1,2103.93541532,0.00684597,-545.616567869,0.0136491
-539.707,-545.622386442,1.07028,0.4,2508.50393451,8.34817e-06,55.4366,500.0,100,-639.627,0.0781316,0.500313,0.01,-545.622386442,2.28173,93.4334978919,92.3662275239,0.967426,100,1,2508.50393451,0.00517159,-545.622386442,0.0235856
-534.333,-541.115726174,1.08347,0.4,2772.11749352,9.89419e-06,50.4471,500.0,100,-625.873,0.0942296,0.274157,0.01,-541.115726174,1.64363,92.2964358092,91.0786329311,0.975896,100,1,2772.11749352,0.00280929,-541.115726174,0.0168423
-540.931,-551.154284274,1.14348,0.4,2427.07974894,2.68232e-05,62.7032,500.0,100,-631.272,0.282957,0.276528,0.01,-551.154284274,4.94209,87.4523245797,79.0170412623,1.02708,100,1,2427.07974894,0.00269237,-551.154284274,0.0481178
-545.998,-551.724562212,1.06831,0.4,1932.96384764,7.40102e-06,44.6524,500.0,100,-633.141,0.0764243,0.443231,0.01,-551.724562212,1.78033,93.606037308,93.1732113498,1.01618,100,1,1932.96384764,0.00436175,-551.724562212,0.0175198
-538.418,-543.650210047,1.06964,0.4,1920.79019673,7.94285e-06,47.8462,500.0,100,-618.675,0.0789206,0.490391,0.01,-543.650210047,2.08385,93.489321837,92.7098458978,0.996798,100,1,1920.79019673,0.00491966,-543.650210047,0.0209054
-538.685,-541.783282026,1.03846,0.4,2039.89536981,3.47322e-06,44.05,500.0,100,-620.326,0.0355946,0.475683,0.01,-541.783282026,1.48789,96.2966474826,96.6758317668,1.01234,100,1,2039.89536981,0.00469885,-541.783282026,0.0146976
-543.411,-547.898296772,1.02638,0.4,5176.43599868,2.52053e-06,50.2671,500.0,100,-682.767,0.0256164,0.438933,0.01,-547.898296772,1.49624,97.4295922447,97.5654462197,1.00812,100,1,5176.43599868,0.00435396,-547.898296772,0.0148419
-534.841,-541.720139394,1.10192,0.4,1777.9651232,2.11096e-05,48.9306,500.0,100,-617.596,0.219469,0.231849,0.01,-541.720139394,3.98075,90.7502962856,82.7139756819,1.01964,100,1,1777.9651232,0.00227383,-541.720139394,0.0390408
-531.22,-536.845225463,1.06581,0.4,2553.429966,8.83882e-06,46.4291,500.0,100,-624.824,0.0859377,0.281137,0.01,-536.845225463,2.47649,93.8254824873,91.9536368716,0.98604,100,1,2553.429966,0.00285117,-536.845225463,0.0251155
-518.55,-532.301887276,1.29085,0.4,1595.94825359,0.00112922,86.8319,500.0,100,-607.966,23.4074,0.274646,0.01,-532.301887276,49.2198,77.4684323781,8.21069908435,1.43975,100,1,1595.94825359,0.00190759,-532.301887276,0.341863
-536.98,-541.751341863,1.03042,0.4,6190.07246121,2.89001e-06,61.7343,500.0,100,-687.228,0.0299937,0.667002,0.01,-541.751341863,1.65067,97.0477996342,97.2185021752,1.01874,100,1,6190.07246121,0.00654729,-541.751341863,0.016203
-538.766,-542.82644899,1.05267,0.4,2207.83317614,6.11405e-06,48.0669,500.0,100,-622.15,0.0620731,0.35628,0.01,-542.82644899,2.03315,94.9964033535,94.2925620893,1.0076,100,1,2207.83317614,0.00353593,-542.82644899,0.0201782
-527.145,-530.794160873,1.04469,0.4,2082.13828184,4.04988e-06,46.4962,500.0,100,-612.25,0.0376849,0.608665,0.01,-530.794160873,1.57235,95.7222512315,96.1451752193,0.964635,100,1,2082.13828184,0.00630979,-530.794160873,0.0162999
-547.933,-550.405986856,1.02651,0.4,2780.89811,2.92156e-06,53.8551,500.0,100,-645.336,0.0278165,0.587849,0.01,-550.405986856,1.33023,97.4173499013,97.1889304556,0.975761,100,1,2780.89811,0.00602452,-550.405986856,0.0136328
-525.948,-528.238687449,1.03017,0.4,1775.17971032,3.28654e-06,42.9457,500.0,100,-601.488,0.0340517,0.596743,0.01,-528.238687449,1.60067,97.0713493294,96.848868902,1.01789,100,1,1775.17971032,0.00586256,-528.238687449,0.0157254
-517.266,-523.443545988,1.08145,0.4,2287.88260603,1.06029e-05,50.6531,500.0,100,-596.832,0.106707,0.32782,0.01,-523.443545988,2.34927,92.4680590545,90.5002876223,1.00319,100,1,2287.88260603,0.00326778,-523.443545988,0.023418
-523.053,-526.678414344,1.04859,0.4,1922.07348903,5.6604e-06,43.0887,500.0,100,-600.935,0.058035,0.594338,0.01,-526.678414344,1.77691,95.3662284322,94.6935289651,1.01256,100,1,1922.07348903,0.00586965,-526.678414344,0.0175487
-516.787,-523.767310193,1.09889,0.4,2064.20078713,1.3415e-05,52.0576,500.0,100,-598.239,0.132609,0.258303,0.01,-523.767310193,2.16962,91.0006273468,88.2761964001,0.99424,100,1,2064.20078713,0.00259799,-523.767310193,0.0218219
-526.622,-532.369451793,1.02897,0.4,7443.8979469,2.4532e-06,55.0343,500.0,100,-682.632,0.0240334,0.369369,0.01,-532.369451793,1.2948,97.1846754999,97.6289248487,0.989785,100,1,7443.8979469,0.00373181,-532.369451793,0.0130816
-527.909,-531.366754918,1.04302,0.4,2014.37095004,5.32835e-06,43.9834,500.0,100,-609.038,0.0514626,0.170555,0.01,-531.366754918,1.71427,95.8752075974,94.9892370295,0.982765,100,1,2014.37095004,0.00173546,-531.366754918,0.0174434
-525.064,-527.256975678,1.03061,0.4,1782.20753702,4.3074e-06,42.5602,500.0,100,-608.601,0.0445391,0.681782,0.01,-527.256975678,2.13713,97.0302767349,95.910125429,1.01686,100,1,1782.20753702,0.00670474,-527.256975678,0.0210169
-526.91,-528.825128308,1.02467,0.4,1596.38118229,2.97119e-06,40.1977,500.0,100,-605.802,0.0307094,0.53266,0.01,-528.825128308,1.57894,97.5927130471,97.1425691129,1.01665,100,1,1596.38118229,0.00523938,-528.825128308,0.0155309
-520.588,-526.253890526,1.07887,0.4,1919.01340558,8.51632e-06,44.9899,500.0,100,-599.082,0.0819354,0.205063,0.01,-526.253890526,1.67858,92.6895683618,92.224388815,0.980866,100,1,1919.01340558,0.00209063,-526.253890526,0.0171132
-521.939,-524.40328732,1.03142,0.4,1645.02905562,2.87708e-06,41.5942,500.0,100,-599.825,0.0285513,0.352232,0.01,-524.40328732,1.46525,96.9540399732,97.2306065826,0.996177,100,1,1645.02905562,0.00353583,-524.40328732,0.0147087
-522.1,-524.744907779,1.03607,0.4,2366.38391202,2.97089e-06,49.5281,500.0,100,-601.06,0.0308433,0.585891,0.01,-524.744907779,1.48218,96.5183205833,97.1428533163,1.01891,100,1,2366.38391202,0.00575016,-524.744907779,0.0145467
-517.999,-522.505199432,1.05614,0.4,1991.99280695,5.36784e-06,43.5781,500.0,100,-602.273,0.0537546,0.373379,0.01,-522.505199432,2.1873,94.6847423008,94.9539952533,1.00071,100,1,1991.99280695,0.00373115,-522.505199432,0.0218574
-520.953,-526.765537037,1.07445,0.4,1925.89587637,1.17631e-05,42.9364,500.0,100,-601.196,0.108585,0.345179,0.01,-526.765537037,2.51342,93.0709650176,89.5692058707,0.960777,100,1,1925.89587637,0.00359271,-526.765537037,0.0261603
-515.318,-517.384702431,1.02852,0.4,1558.80304614,3.19281e-06,39.9656,500.0,100,-590.979,0.0314103,0.632921,0.01,-517.384702431,1.39778,97.2275129282,96.9359679745,0.991857,100,1,1558.80304614,0.00638117,-517.384702431,0.0140925
-519.633,-520.630175487,1.01298,0.4,1826.21891913,1.0835e-06,43.0224,500.0,100,-596.959,0.010736,0.647216,0.01,-520.630175487,1.2,98.7182619314,98.9387210066,0.995418,100,1,1826.21891913,0.00650195,-520.630175487,0.0120552
-519.627,-524.147898177,1.06154,0.4,1787.53026103,6.66736e-06,44.6192,500.0,100,-597.021,0.0720251,0.60335,0.01,-524.147898177,2.11771,94.2031316116,93.8080132977,1.03936,100,1,1787.53026103,0.00580503,-524.147898177,0.0203752
-523.76,-526.692657484,1.03454,0.4,2289.12029244,5.14527e-06,46.5641,500.0,100,-611.516,0.0487696,0.49462,0.01,-526.692657484,1.51974,96.661412975,95.1530914005,0.973577,100,1,2289.12029244,0.00508044,-526.692657484,0.0156099
-514.328,-518.32951611,1.04747,0.4,1990.69498799,7.77619e-06,42.3246,500.0,100,-597.477,0.0805883,0.464753,0.01,-518.32951611,2.91313,95.4681846996,92.8518430779,1.01801,100,1,1990.69498799,0.0045653,-518.32951611,0.0286158
-518.982,-520.401654996,1.02064,0.4,1358.87137665,2.13094e-06,37.4254,500.0,100,-593.148,0.0210259,0.461831,0.01,-520.401654996,1.26773,97.9779439461,97.9339421478,0.993327,100,1,1358.87137665,0.00464934,-520.401654996,0.0127625
-514.561,-518.423251931,1.04974,0.4,1960.69101964,5.04722e-06,46.8547,500.0,100,-594.832,0.0512557,0.53054,0.01,-518.423251931,1.722,95.2616336708,95.2410539197,1.00773,100,1,1960.69101964,0.00526469,-518.423251931,0.0170879
-510.119,-513.809197813,1.04271,0.4,2762.12495822,4.01433e-06,51.9591,500.0,100,-599.43,0.0407172,0.531221,0.01,-513.809197813,1.50946,95.9043970602,96.1777023619,1.00712,100,1,2762.12495822,0.00527465,-513.809197813,0.0149878
-489.398,-513.407903616,1.45279,0.4,1873.99340432,0.00114889,141.876,500.0,100,-593.879,25.0359,0.339837,0.01,-513.407903616,50.741,68.8332130809,8.08144820394,1.47619,100,1,1873.99340432,0.00230212,-513.407903616,0.34373
-514.991,-521.84666137,1.09478,0.4,2571.27711287,1.13984e-05,54.5453,500.0,100,-597.107,0.117685,0.543227,0.01,-521.84666137,2.46698,91.3421476981,89.8598846358,1.01611,100,1,2571.27711287,0.00534615,-521.84666137,0.0242787
-522.447,-526.468425065,1.05957,0.4,2055.51488607,7.44743e-06,49.763,500.0,100,-599.584,0.0701711,0.348254,0.01,-526.468425065,1.72454,94.3776572028,93.1333499623,0.97068,100,1,2055.51488607,0.00358773,-526.468425065,0.0177664
-507.716,-510.223209983,1.03574,0.4,2169.58245295,3.18119e-06,49.0998,500.0,100,-582.846,0.0320189,0.640607,0.01,-510.223209983,1.44743,96.5490031244,96.9467852602,1.00325,100,1,2169.58245295,0.00638533,-510.223209983,0.0144274
-525.44,-527.587465686,1.02507,0.4,2254.54372763,2.86265e-06,44.8137,500.0,100,-610.859,0.0289775,0.689201,0.01,-527.587465686,1.61024,97.5541591018,97.2441011891,1.00611,100,1,2254.54372763,0.00685014,-527.587465686,0.0160046
