ESSRenyi,BatchSize,AvgVanillaIw,AvgDiscRet,AvgRet,VarVanillaIw,MaxVanillaIw,ESSClassic,VarJ,IterType,MinVanillaIw,Delta,Bound,VarRet,J,AvgNormIw,AvgEpLen,MinNormIw,MaxNormIw,eRenyi2,EpsThisIter,VarDiscRet,VarNormIw,VanillaAvgRet
500.0,500,1.0,383.345369421,383.345369421,,1.0,400.0,226.665,2,1.0,0.4,252.373,54276.1646399,368.778,0.0025,41.44,0.0025,0.0025,1.0,100,54276.1646399,5.4346e-20,383.345369421
13.0822874001,500,2.68529,437.917092206,437.917092206,2005.85,1000.32,1.79457724351,15011.3,1,1.11591e-11,0.4,1759.15,223916.651571,3113.61,0.002,47.4,8.31129e-15,0.745036,38.2196,100,223916.651571,0.00111269,437.917092206
500.0,500,1.0,581.734371042,581.734371042,,1.0,100.0,584.536,2,1.0,0.4,17.5703,345133.654769,581.734,0.01,63.0,0.01,0.01,1.0,100,345133.654769,3.50449e-18,581.734371042
500.0,500,1.0,517.061892369,517.061892369,,1.0,200.000000102,547.125,2,1.0,0.4,150.474,257492.156562,549.398,0.005,56.03,0.005,0.005,1.0,100,257492.156562,2.1793e-19,517.061892369
500.0,500,1.0,565.073666233,565.073666233,,1.0,299.999969474,532.603,2,1.0,0.4,228.903,254691.615186,554.623,0.00333333,61.16,0.00333333,0.00333333,1.0,100,254691.615186,5.43914e-20,565.073666233
500.0,500,1.0,622.220268036,622.220268036,,1.0,400.0,535.899,2,1.0,0.4,289.44,297299.403894,571.523,0.0025,67.5,0.0025,0.0025,1.0,100,297299.403894,5.4346e-20,622.220268036
23.0007269326,500,3.03387,612.196489035,612.196489035,2445.98,1105.25,1.87822038367,12632.9,1,5.06032e-10,0.4,1807.42,323101.638212,2983.76,0.002,66.19,3.33588e-13,0.728605,21.7384,100,323101.638212,0.00106296,612.196489035
500.0,500,1.0,1394.92201729,1394.92201729,,1.0,100.0,1164.27,2,1.0,0.4,821.777,1369223.73689,1394.92,0.01,151.28,0.01,0.01,1.0,100,1369223.73689,3.50449e-18,1394.92201729
500.0,500,1.0,1244.81599161,1244.81599161,,1.0,200.000000102,1208.56,2,1.0,0.4,914.594,1570146.05246,1319.87,0.005,134.71,0.005,0.005,1.0,100,1570146.05246,2.1793e-19,1244.81599161
500.0,500,1.0,1275.12790292,1275.12790292,,1.0,299.999969474,1187.78,2,1.0,0.4,974.05,1323153.48298,1304.96,0.00333333,138.16,0.00333333,0.00333333,1.0,100,1323153.48298,5.43914e-20,1275.12790292
500.0,500,1.0,1398.21203158,1398.21203158,,1.0,400.0,1185.65,2,1.0,0.4,1041.7,1398047.01446,1328.27,0.0025,151.21,0.0025,0.0025,1.0,100,1398047.01446,5.4346e-20,1398.21203158
18.1315844352,500,2.35506,1353.03449336,1353.03449336,812.968,620.94,3.39476868377,8226.27,1,9.2342e-18,0.4,2612.2,1339326.92523,3958.21,0.002,146.59,7.84202e-21,0.527325,27.5762,100,1339326.92523,0.000586315,1353.03449336
500.0,500,1.0,2751.39971191,2751.39971191,,1.0,100.0,1508.32,2,1.0,0.4,2178.85,2298007.23435,2751.4,0.01,298.19,0.01,0.01,1.0,100,2298007.23435,3.50449e-18,2751.39971191
500.0,500,1.0,2938.34822035,2938.34822035,,1.0,200.000000102,1510.19,2,1.0,0.4,2439.66,2291749.15406,2844.87,0.005,318.09,0.005,0.005,1.0,100,2291749.15406,2.1793e-19,2938.34822035
500.0,500,1.0,2701.74500424,2701.74500424,,1.0,299.999969474,1494.53,2,1.0,0.4,2466.3,2147356.50292,2797.16,0.00333333,292.54,0.00333333,0.00333333,1.0,100,2147356.50292,5.43914e-20,2701.74500424
500.0,500,1.0,3078.89461378,3078.89461378,,1.0,400.0,1510.51,2,1.0,0.4,2581.01,2390012.80127,2867.6,0.0025,332.61,0.0025,0.0025,1.0,100,2390012.80127,5.4346e-20,3078.89461378
85.1208844072,500,1.25413,2883.54337273,2883.54337273,9.53177,38.0273,70.9409163658,1332.41,1,2.57254e-10,0.4,3610.05,2336349.72721,4231.31,0.002,311.8,4.10252e-13,0.0606435,5.874,100,2336349.72721,2.4241e-05,2883.54337273
500.0,500,1.0,3947.17059552,3947.17059552,,1.0,100.0,1138.43,2,1.0,0.4,3374.11,1309120.94668,3947.17,0.01,426.41,0.01,0.01,1.0,100,1309120.94668,3.50449e-18,3947.17059552
500.0,500,1.0,4150.50251955,4150.50251955,,1.0,200.000000102,1058.26,2,1.0,0.4,3643.6,932441.87444,4048.84,0.005,448.91,0.005,0.005,1.0,100,932441.87444,2.1793e-19,4150.50251955
500.0,500,1.0,4266.32416175,4266.32416175,,1.0,299.999969474,985.846,2,1.0,0.4,3790.42,650832.660207,4121.33,0.00333333,460.74,0.00333333,0.00333333,1.0,100,650832.660207,5.43914e-20,4266.32416175
500.0,500,1.0,4255.71111171,4255.71111171,,1.0,400.0,948.785,2,1.0,0.4,3868.34,678333.97727,4154.93,0.0025,459.23,0.0025,0.0025,1.0,100,678333.97727,5.4346e-20,4255.71111171
236.372112231,500,1.00726,4108.17422438,4108.17422438,1.24168,6.12113,225.082586746,374.598,1,4.00746e-05,0.4,4148.46,1063915.15549,4521.27,0.002,443.59,7.95719e-08,0.0121541,2.11531,100,1063915.15549,4.89542e-06,4108.17422438
500.0,500,1.0,4538.11295259,4538.11295259,,1.0,100.0,405.365,2,1.0,0.4,3964.98,165980.861126,4538.11,0.01,488.72,0.01,0.01,1.0,100,165980.861126,3.50449e-18,4538.11295259
500.0,500,1.0,4438.35861065,4438.35861065,,1.0,200.000000102,538.975,2,1.0,0.4,4082.97,415850.8918,4488.24,0.005,478.51,0.005,0.005,1.0,100,415850.8918,2.1793e-19,4438.35861065
500.0,500,1.0,4433.87200053,4433.87200053,,1.0,299.999969474,563.22,2,1.0,0.4,4139.22,372416.82626,4470.11,0.00333333,478.34,0.00333333,0.00333333,1.0,100,372416.82626,5.43914e-20,4433.87200053
500.0,500,1.0,4511.1311809,4511.1311809,,1.0,400.0,547.881,2,1.0,0.4,4193.78,250282.291935,4480.37,0.0025,485.64,0.0025,0.0025,1.0,100,250282.291935,5.4346e-20,4511.1311809
380.025894976,500,0.982818,4429.90070256,4429.90070256,0.303047,2.74534,380.776006199,240.381,1,0.0017764,0.4,4291.06,524570.8784,4585.08,0.002,477.38,3.61491e-06,0.00558667,1.3157,100,524570.8784,1.25494e-06,4429.90070256
500.0,500,1.0,4515.76201557,4515.76201557,,1.0,100.0,546.045,2,1.0,0.4,3942.64,301176.393134,4515.76,0.01,486.64,0.01,0.01,1.0,100,301176.393134,3.50449e-18,4515.76201557
500.0,500,1.0,4587.80732416,4587.80732416,,1.0,200.000000102,460.398,2,1.0,0.4,4146.49,124417.392489,4551.79,0.005,493.74,0.005,0.005,1.0,100,124417.392489,2.1793e-19,4587.80732416
500.0,500,1.0,4571.97505127,4571.97505127,,1.0,299.999969474,436.622,2,1.0,0.4,4227.59,149203.984384,4558.52,0.00333333,492.48,0.00333333,0.00333333,1.0,100,149203.984384,5.43914e-20,4571.97505127
500.0,500,1.0,4497.58497101,4497.58497101,,1.0,400.0,471.159,2,1.0,0.4,4256.7,316425.475123,4543.28,0.0025,484.71,0.0025,0.0025,1.0,100,316425.475123,5.4346e-20,4497.58497101
431.705025829,500,0.986923,4593.9190645,4593.9190645,0.162848,1.97571,428.501066732,177.27,1,0.0390966,0.4,4335.56,54769.8276023,4611.43,0.002,494.44,7.92292e-05,0.00400378,1.1582,100,54769.8276023,6.6877e-07,4593.9190645
500.0,500,1.0,4612.68956857,4612.68956857,,1.0,100.0,229.435,2,1.0,0.4,4039.53,53172.2394416,4612.69,0.01,496.72,0.01,0.01,1.0,100,53172.2394416,3.50449e-18,4612.68956857
500.0,500,1.0,4578.61298935,4578.61298935,,1.0,200.000000102,306.116,2,1.0,0.4,4190.37,135548.932491,4595.65,0.005,492.81,0.005,0.005,1.0,100,135548.932491,2.1793e-19,4578.61298935
500.0,500,1.0,4622.61252252,4622.61252252,,1.0,299.999969474,269.721,2,1.0,0.4,4273.73,30654.9335126,4604.64,0.00333333,497.22,0.00333333,0.00333333,1.0,100,30654.9335126,5.43914e-20,4622.61252252
500.0,500,1.0,4598.08009542,4598.08009542,,1.0,400.0,272.306,2,1.0,0.4,4316.42,79113.1824762,4603.0,0.0025,494.85,0.0025,0.0025,1.0,100,79113.1824762,5.4346e-20,4598.08009542
461.327367236,500,0.975518,4605.90960607,4605.90960607,0.0919355,1.69063,456.031903736,114.12,1,0.142253,0.4,4364.73,61268.7467283,4631.58,0.002,495.26,0.000291646,0.00346611,1.08383,100,61268.7467283,3.86432e-07,4605.90960607
500.0,500,1.0,4639.56973853,4639.56973853,,1.0,100.0,96.5799,2,1.0,0.4,4066.42,9421.89382119,4639.57,0.01,498.89,0.01,0.01,1.0,100,9421.89382119,3.50449e-18,4639.56973853
500.0,500,1.0,4587.1601139,4587.1601139,,1.0,200.000000102,300.588,2,1.0,0.4,4208.08,171722.926171,4613.37,0.005,492.88,0.005,0.005,1.0,100,171722.926171,2.1793e-19,4587.1601139
500.0,500,1.0,4618.62169123,4618.62169123,,1.0,299.999969474,298.648,2,1.0,0.4,4284.19,87724.6402359,4615.12,0.00333333,496.42,0.00333333,0.00333333,1.0,100,87724.6402359,5.43914e-20,4618.62169123
500.0,500,1.0,4644.64083185,4644.64083185,,1.0,400.0,259.82,2,1.0,0.4,4335.91,1817.16877601,4622.5,0.0025,499.82,0.0025,0.0025,1.0,100,1817.16877601,5.4346e-20,4644.64083185
482.518152653,500,1.00166,4649.78505006,4649.78505006,0.0404238,1.50615,480.672685012,116.936,1,0.27253,0.4,4379.28,2047.05075281,4640.21,0.002,499.7,0.000544155,0.00300731,1.03623,100,2047.05075281,1.61159e-07,4649.78505006
500.0,500,1.0,4620.90292416,4620.90292416,,1.0,100.0,205.547,2,1.0,0.4,4047.8,42676.376846,4620.9,0.01,496.77,0.01,0.01,1.0,100,42676.376846,3.50449e-18,4620.90292416
500.0,500,1.0,4617.99774096,4617.99774096,,1.0,200.000000102,243.28,2,1.0,0.4,4214.18,76885.3231054,4619.45,0.005,496.65,0.005,0.005,1.0,100,76885.3231054,2.1793e-19,4617.99774096
500.0,500,1.0,4619.79444508,4619.79444508,,1.0,299.999969474,219.955,2,1.0,0.4,4288.66,27040.0339386,4619.56,0.00333333,496.68,0.00333333,0.00333333,1.0,100,27040.0339386,5.43914e-20,4619.79444508
500.0,500,1.0,4638.19581371,4638.19581371,,1.0,400.0,193.701,2,1.0,0.4,4337.65,4727.92090442,4624.22,0.0025,499.32,0.0025,0.0025,1.0,100,4727.92090442,5.4346e-20,4638.19581371
483.461490138,500,0.992706,4638.96589978,4638.96589978,0.0374988,1.38281,481.706945037,125.251,1,0.347558,0.4,4376.14,7013.1216317,4636.81,0.002,498.77,0.000700222,0.00278594,1.03421,100,7013.1216317,1.52208e-07,4638.96589978
500.0,500,1.0,4619.22923653,4619.22923653,,1.0,100.0,152.928,2,1.0,0.4,4046.07,23623.3122012,4619.23,0.01,497.03,0.01,0.01,1.0,100,23623.3122012,3.50449e-18,4619.22923653
500.0,500,1.0,4626.73619041,4626.73619041,,1.0,200.000000102,189.136,2,1.0,0.4,4217.69,48615.8010384,4622.98,0.005,497.47,0.005,0.005,1.0,100,48615.8010384,2.1793e-19,4626.73619041
500.0,500,1.0,4625.69872449,4625.69872449,,1.0,299.999969474,184.991,2,1.0,0.4,4292.97,31429.5196776,4623.89,0.00333333,497.32,0.00333333,0.00333333,1.0,100,31429.5196776,5.43914e-20,4625.69872449
500.0,500,1.0,4648.61771693,4648.61771693,,1.0,400.0,162.012,2,1.0,0.4,4343.49,1887.26742329,4630.07,0.0025,499.73,0.0025,0.0025,1.0,100,1887.26742329,5.4346e-20,4648.61771693
475.03796404,500,0.991397,4601.62215652,4601.62215652,0.0604347,1.4828,471.09140401,108.459,1,0.185641,0.4,4378.05,145052.696514,4641.03,0.002,494.26,0.000374504,0.00299134,1.05255,100,145052.696514,2.45952e-07,4601.62215652
500.0,500,1.0,4656.17370643,4656.17370643,,1.0,100.0,33.11,2,1.0,0.4,4083.02,1107.34579096,4656.17,0.01,499.84,0.01,0.01,1.0,100,1107.34579096,3.50449e-18,4656.17370643
500.0,500,1.0,4646.53142811,4646.53142811,,1.0,200.000000102,85.3827,2,1.0,0.4,4246.07,13573.3815563,4651.35,0.005,498.8,0.005,0.005,1.0,100,13573.3815563,2.1793e-19,4646.53142811
500.0,500,1.0,4654.7582918,4654.7582918,,1.0,299.999969474,71.0754,2,1.0,0.4,4321.58,572.711571896,4652.49,0.00333333,500.0,0.00333333,0.00333333,1.0,100,572.711571896,5.43914e-20,4654.7582918
500.0,500,1.0,4657.33249636,4657.33249636,,1.0,400.0,62.6836,2,1.0,0.4,4367.12,549.701949103,4653.7,0.0025,500.0,0.0025,0.0025,1.0,100,549.701949103,5.4346e-20,4657.33249636
498.127643736,500,1.00144,4654.2226556,4654.2226556,0.00361045,1.12697,498.210064295,47.643,1,0.767777,0.4,4398.0,528.068844347,4654.8,0.002,500.0,0.00153335,0.0022507,1.00376,100,528.068844347,1.44004e-08,4654.2226556
500.0,500,1.0,4658.3130893,4658.3130893,,1.0,100.0,22.3668,2,1.0,0.4,4085.14,505.328216002,4658.31,0.01,500.0,0.01,0.01,1.0,100,505.328216002,3.50449e-18,4658.3130893
500.0,500,1.0,4653.7044268,4653.7044268,,1.0,200.000000102,27.014,2,1.0,0.4,4250.71,958.205165303,4656.01,0.005,499.87,0.005,0.005,1.0,100,958.205165303,2.1793e-19,4653.7044268
500.0,500,1.0,4654.5174316,4654.5174316,,1.0,299.999969474,26.5363,2,1.0,0.4,4324.59,658.106851467,4655.51,0.00333333,500.0,0.00333333,0.00333333,1.0,100,658.106851467,5.43914e-20,4654.5174316
500.0,500,1.0,4654.18339741,4654.18339741,,1.0,400.0,27.4993,2,1.0,0.4,4368.59,920.193661926,4655.18,0.0025,499.92,0.0025,0.0025,1.0,100,920.193661926,5.4346e-20,4654.18339741
498.153083438,500,1.00017,4651.05888074,4651.05888074,0.00437326,1.12311,497.827803629,26.9058,1,0.67845,0.4,4398.51,1438.25739425,4655.32,0.002,499.8,0.00135666,0.00224582,1.00371,100,1438.25739425,1.74869e-08,4651.05888074
500.0,500,1.0,4635.7318858,4635.7318858,,1.0,100.0,173.57,2,1.0,0.4,4062.57,30430.6839378,4635.73,0.01,497.89,0.01,0.01,1.0,100,30430.6839378,3.50449e-18,4635.7318858
500.0,500,1.0,4657.00950573,4657.00950573,,1.0,200.000000102,124.167,2,1.0,0.4,4241.08,487.243993855,4646.37,0.005,500.0,0.005,0.005,1.0,100,487.243993855,2.1793e-19,4657.00950573
500.0,500,1.0,4652.25012379,4652.25012379,,1.0,299.999969474,102.34,2,1.0,0.4,4317.41,567.794619769,4648.33,0.00333333,500.0,0.00333333,0.00333333,1.0,100,567.794619769,5.43914e-20,4652.25012379
500.0,500,1.0,4640.89483875,4640.89483875,,1.0,400.0,123.999,2,1.0,0.4,4359.88,30344.3136814,4646.47,0.0025,498.25,0.0025,0.0025,1.0,100,30344.3136814,5.4346e-20,4640.89483875
494.544953755,500,1.00168,4654.74608404,4654.74608404,0.0115186,1.27079,494.336407604,77.4717,1,0.581981,0.4,4393.52,635.381028181,4651.26,0.002,500.0,0.00116201,0.00253732,1.01103,100,635.381028181,4.59199e-08,4654.74608404
500.0,500,1.0,4649.36980231,4649.36980231,,1.0,100.0,55.6503,2,1.0,0.4,4076.22,3128.23395929,4649.37,0.01,499.57,0.01,0.01,1.0,100,3128.23395929,3.50449e-18,4649.36980231
500.0,500,1.0,4654.58124193,4654.58124193,,1.0,200.000000102,42.6132,2,1.0,0.4,4246.7,526.49954509,4651.98,0.005,500.0,0.005,0.005,1.0,100,526.49954509,2.1793e-19,4654.58124193
500.0,500,1.0,4658.46390793,4658.46390793,,1.0,299.999969474,36.3278,2,1.0,0.4,4323.23,302.320496281,4654.14,0.00333333,500.0,0.00333333,0.00333333,1.0,100,302.320496281,5.43914e-20,4658.46390793
500.0,500,1.0,4634.95325796,4634.95325796,,1.0,400.0,94.5395,2,1.0,0.4,4362.76,31834.0024458,4649.34,0.0025,497.65,0.0025,0.0025,1.0,100,31834.0024458,5.4346e-20,4634.95325796
496.304021806,500,0.996463,4659.13946479,4659.13946479,0.00782339,1.2015,496.098824435,58.0805,1,0.626219,0.4,4396.13,354.263472606,4653.41,0.002,500.0,0.00125688,0.00241152,1.00745,100,354.263472606,3.15161e-08,4659.13946479
500.0,500,1.0,4647.53537221,4647.53537221,,1.0,100.0,97.8695,2,1.0,0.4,4074.37,9675.19196881,4647.54,0.01,499.04,0.01,0.01,1.0,100,9675.19196881,3.50449e-18,4647.53537221
500.0,500,1.0,4640.57892764,4640.57892764,,1.0,200.000000102,131.826,2,1.0,0.4,4238.77,25407.5523134,4644.06,0.005,498.1,0.005,0.005,1.0,100,25407.5523134,2.1793e-19,4640.57892764
500.0,500,1.0,4657.63391545,4657.63391545,,1.0,299.999969474,108.971,2,1.0,0.4,4317.67,752.740843874,4648.58,0.00333333,499.94,0.00333333,0.00333333,1.0,100,752.740843874,5.43914e-20,4657.63391545
500.0,500,1.0,4656.86895075,4656.86895075,,1.0,400.0,95.2663,2,1.0,0.4,4364.07,633.322693085,4650.65,0.0025,500.0,0.0025,0.0025,1.0,100,633.322693085,5.4346e-20,4656.86895075
492.20884243,500,0.993353,4637.72704242,4637.72704242,0.0181847,1.47288,490.970088841,73.5503,1,0.517281,0.4,4394.53,40470.0518126,4652.88,0.002,497.87,0.00104149,0.00296548,1.01583,100,40470.0518126,7.37156e-08,4637.72704242
500.0,500,1.0,4649.38739221,4649.38739221,,1.0,100.0,46.2562,2,1.0,0.4,4076.29,2161.25484097,4649.39,0.01,499.5,0.01,0.01,1.0,100,2161.25484097,3.50449e-18,4649.38739221
500.0,500,1.0,4632.16444298,4632.16444298,,1.0,200.000000102,157.674,2,1.0,0.4,4235.53,47913.1288475,4640.78,0.005,497.34,0.005,0.005,1.0,100,47913.1288475,2.1793e-19,4632.16444298
500.0,500,1.0,4659.67891893,4659.67891893,,1.0,299.999969474,129.429,2,1.0,0.4,4316.15,298.198286646,4647.08,0.00333333,500.0,0.00333333,0.00333333,1.0,100,298.198286646,5.43914e-20,4659.67891893
500.0,500,1.0,4659.4193643,4659.4193643,,1.0,400.0,112.609,2,1.0,0.4,4363.57,356.795807621,4650.16,0.0025,500.0,0.0025,0.0025,1.0,100,356.795807621,5.4346e-20,4659.4193643
494.967779272,500,0.998891,4657.90418546,4657.90418546,0.012696,1.32793,493.730144407,43.3821,1,0.314668,0.4,4397.94,634.767893667,4655.58,0.002,499.87,0.000630033,0.00265881,1.01017,100,634.767893667,5.0897e-08,4657.90418546
500.0,500,1.0,4659.1367696,4659.1367696,,1.0,100.0,22.0096,2,1.0,0.4,4085.96,489.316263546,4659.14,0.01,500.0,0.01,0.01,1.0,100,489.316263546,3.50449e-18,4659.1367696
500.0,500,1.0,4659.99941778,4659.99941778,,1.0,200.000000102,21.6401,2,1.0,0.4,4254.27,456.354913697,4659.57,0.005,500.0,0.005,0.005,1.0,100,456.354913697,2.1793e-19,4659.99941778
500.0,500,1.0,4658.42938248,4658.42938248,,1.0,299.999969474,20.3958,2,1.0,0.4,4328.27,313.652428521,4659.19,0.00333333,500.0,0.00333333,0.00333333,1.0,100,313.652428521,5.43914e-20,4658.42938248
500.0,500,1.0,4659.47370042,4659.47370042,,1.0,400.0,20.205,2,1.0,0.4,4372.67,388.830737641,4659.26,0.0025,500.0,0.0025,0.0025,1.0,100,388.830737641,5.4346e-20,4659.47370042
499.457709692,500,1.0015,4658.95991855,4658.95991855,0.00122292,1.0813,499.39225102,19.4093,1,0.849922,0.4,4403.0,343.524388133,4659.48,0.002,500.0,0.00169729,0.00215935,1.00109,100,343.524388133,4.87699e-09,4658.95991855
500.0,500,1.0,4660.12334998,4660.12334998,,1.0,100.0,15.5591,2,1.0,0.4,4086.96,244.530399643,4660.12,0.01,500.0,0.01,0.01,1.0,100,244.530399643,3.50449e-18,4660.12334998
500.0,500,1.0,4636.19535003,4636.19535003,,1.0,200.000000102,98.8555,2,1.0,0.4,4242.87,19208.5363013,4648.16,0.005,497.98,0.005,0.005,1.0,100,19208.5363013,2.1793e-19,4636.19535003
500.0,500,1.0,4658.77300451,4658.77300451,,1.0,299.999969474,81.9532,2,1.0,0.4,4320.78,534.398308269,4651.7,0.00333333,500.0,0.00333333,0.00333333,1.0,100,534.398308269,5.43914e-20,4658.77300451
500.0,500,1.0,4661.38049612,4661.38049612,,1.0,400.0,71.572,2,1.0,0.4,4367.53,273.642555197,4654.12,0.0025,500.0,0.0025,0.0025,1.0,100,273.642555197,5.4346e-20,4661.38049612
491.197670716,500,1.00879,4620.2443567,4620.2443567,0.0168549,1.23678,491.869697382,77.4146,1,0.417988,0.4,4394.87,125401.750021,4653.48,0.002,496.05,0.000828691,0.002452,1.01792,100,125401.750021,6.62496e-08,4620.2443567
500.0,500,1.0,4662.78720986,4662.78720986,,1.0,100.0,13.5974,2,1.0,0.4,4089.61,186.757701214,4662.79,0.01,500.0,0.01,0.01,1.0,100,186.757701214,3.50449e-18,4662.78720986
500.0,500,1.0,4662.50175331,4662.50175331,,1.0,200.000000102,14.5241,2,1.0,0.4,4257.35,239.360193465,4662.64,0.005,500.0,0.005,0.005,1.0,100,239.360193465,2.1793e-19,4662.50175331
500.0,500,1.0,4661.95432556,4661.95432556,,1.0,299.999969474,16.5082,2,1.0,0.4,4331.49,399.339030789,4662.41,0.00333333,500.0,0.00333333,0.00333333,1.0,100,399.339030789,5.43914e-20,4661.95432556
500.0,500,1.0,4659.07452082,4659.07452082,,1.0,400.0,18.2793,2,1.0,0.4,4374.99,515.766523836,4661.58,0.0025,500.0,0.0025,0.0025,1.0,100,515.766523836,5.4346e-20,4659.07452082
495.449202478,500,0.998205,4628.53746284,4628.53746284,0.0105568,1.17275,494.768582758,68.549,1,0.484836,0.4,4400.67,92923.3870565,4658.17,0.002,496.74,0.000971416,0.00234971,1.00919,100,92923.3870565,4.23791e-08,4628.53746284
