Bound,VarNormIw,AvgRet,AvgEpLen,VanillaAvgRet,VarVanillaIw,VarJ,ESSClassic,J,VarRet,Delta,AvgNormIw,AvgDiscRet,MinNormIw,AvgVanillaIw,MinVanillaIw,MaxVanillaIw,IterType,MaxNormIw,ESSRenyi,eRenyi2,EpsThisIter,BatchSize,VarDiscRet
-58.1458,7.90156e-06,-61.5683678335,88.86,-61.5683678335,1.79444,13.0278,168.268709611,-58.1458,1333.79588672,1.0,0.002,-61.5683678335,1.04209e-08,0.9531,4.96607e-06,11.4533,1,0.0240338,,inf,100,500,1333.79588672
-58.1408,3.50449e-18,-58.140766708,84.76,-58.140766708,,7.52219,100.0,-58.1408,57.1548754693,1.0,0.01,-58.140766708,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,57.1548754693
-58.319,2.1793e-19,-58.4973064327,85.6,-58.4973064327,,7.83652,200.000000102,-58.319,66.8436065671,1.0,0.005,-58.4973064327,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,66.8436065671
-59.5122,5.43914e-20,-61.8986197352,89.54,-61.8986197352,,22.0456,299.999969474,-59.5122,1340.06310918,1.0,0.00333333,-61.8986197352,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,1340.06310918
-59.5436,5.4346e-20,-59.6378450035,85.84,-59.6378450035,,26.3967,400.0,-59.5436,1342.52464292,1.0,0.0025,-59.6378450035,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,1342.52464292
-56.2725,2.37968e-05,-58.494235373,85.71,-58.494235373,3.62267,18.2492,72.0741621067,-56.2725,52.9626410309,1.0,0.002,-58.494235373,2.51939e-16,0.780342,9.82994e-14,18.522,1,0.0474715,,inf,100,500,52.9626410309
-58.8781,3.50449e-18,-58.8780638708,86.39,-58.8780638708,,7.45786,100.0,-58.8781,56.181412655,1.0,0.01,-58.8780638708,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,56.181412655
-60.2238,2.1793e-19,-61.5695120302,89.05,-61.5695120302,,26.4738,200.000000102,-60.2238,1356.0433201,1.0,0.005,-61.5695120302,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,1356.0433201
-59.5553,5.43914e-20,-58.2183658026,85.07,-58.2183658026,,22.0049,299.999969474,-59.5553,48.7250633582,1.0,0.00333333,-58.2183658026,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,48.7250633582
-58.9232,5.4346e-20,-57.0267749999,83.15,-57.0267749999,,19.4819,400.0,-58.9232,61.3523727572,1.0,0.0025,-57.0267749999,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,61.3523727572
-49.591,0.002,-58.0873764357,84.56,-58.0873764357,3.44263e-35,9.252e-07,1.0,-49.591,60.0303756024,1.0,0.002,-58.0873764357,,2.62398e-19,,1.31199e-16,1,1.0,0.000688698178798,726007.0,100,500,60.0303756024
-57.7112,3.50449e-18,-57.7111682035,84.49,-57.7111682035,,6.81821,100.0,-57.7112,46.9576243706,1.0,0.01,-57.7111682035,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,46.9576243706
-57.4921,2.1793e-19,-57.2731338994,83.97,-57.2731338994,,6.94211,200.000000102,-57.4921,50.3049644607,1.0,0.005,-57.2731338994,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,50.3049644607
-59.2922,5.43914e-20,-62.8922020638,91.05,-62.8922020638,,21.8247,299.999969474,-59.2922,1326.39107259,1.0,0.00333333,-62.8922020638,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,1326.39107259
-58.7765,5.4346e-20,-57.2293080546,83.53,-57.2293080546,,19.208,400.0,-58.7765,44.0830223591,1.0,0.0025,-57.2293080546,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,44.0830223591
-50.7061,0.002,-58.1430519262,84.96,-58.1430519262,,,inf,-50.7061,52.4974133716,1.0,0.002,-58.1430519262,,9.0479e-41,,4.52396e-38,1,1.0,3.76371724508e-09,1.32847e+11,100,500,52.4974133716
-58.2094,3.50449e-18,-58.2093764813,85.09,-58.2093764813,,7.04422,100.0,-58.2094,50.122235707,1.0,0.01,-58.2093764813,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,50.122235707
-58.3234,2.1793e-19,-58.4375168128,85.7,-58.4375168128,,7.35948,200.000000102,-58.3234,59.2694290913,1.0,0.005,-58.4375168128,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,59.2694290913
-60.0208,5.43914e-20,-63.4155766538,91.5,-63.4155766538,,21.9391,299.999969474,-60.0208,1331.67868035,1.0,0.00333333,-63.4155766538,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,1331.67868035
-59.5269,5.4346e-20,-58.0452674767,85.12,-58.0452674767,,19.4148,400.0,-59.5269,61.4481517165,1.0,0.0025,-58.0452674767,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,61.4481517165
-58.2949,7.60978e-06,-58.66621199,85.85,-58.66621199,2.23568,12.6501,172.494663869,-58.2949,49.3597160347,1.0,0.002,-58.66621199,1.74395e-06,1.08405,0.000945265,13.771,1,0.0254066,1.18878982226,420.596,100,500,49.3597160347
-65.9817,3.50449e-18,-65.9817011568,94.37,-65.9817011568,,50.6986,100.0,-65.9817,2596.30983224,1.0,0.01,-65.9817011568,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,2596.30983224
-61.8553,2.1793e-19,-57.7289570013,84.31,-57.7289570013,,36.4341,200.000000102,-61.8553,50.997695183,1.0,0.005,-57.7289570013,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,50.997695183
-60.3372,5.43914e-20,-57.3009143081,84.0,-57.3009143081,,30.0745,299.999969474,-60.3372,45.1611720476,1.0,0.00333333,-57.3009143081,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,45.1611720476
-59.7029,5.4346e-20,-57.8000206077,84.58,-57.8000206077,,26.3177,400.0,-59.7029,52.7524377345,1.0,0.0025,-57.8000206077,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,52.7524377345
-59.5018,2.1544e-06,-64.721999324,91.95,-64.721999324,0.524772,23.3811,325.198541346,-59.5018,2596.09510457,1.0,0.002,-64.721999324,0.00120432,0.987081,0.594381,8.61982,1,0.0174653,1.0210332468e-35,4.897e+37,100,500,2596.09510457
-64.8042,3.50449e-18,-64.8041760817,92.5,-64.8041760817,,50.7184,100.0,-64.8042,2598.34145298,1.0,0.01,-64.8041760817,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,2598.34145298
-61.9451,2.1793e-19,-59.0861058559,86.56,-59.0861058559,,36.3309,200.000000102,-61.9451,51.6844153115,1.0,0.005,-59.0861058559,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,51.6844153115
-62.1316,5.43914e-20,-62.5045693569,90.3,-62.5045693569,,36.3708,299.999969474,-62.1316,1341.84480979,1.0,0.00333333,-62.5045693569,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,1341.84480979
-60.8171,5.4346e-20,-56.8735721737,82.99,-56.8735721737,,31.761,400.0,-60.8171,46.2569807099,1.0,0.0025,-56.8735721737,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,46.2569807099
-58.5924,4.57966e-05,-58.3024632804,85.59,-58.3024632804,8.08252,14.2522,40.2374270847,-58.5924,58.5580610433,1.0,0.002,-58.3024632804,0.000390187,0.840208,0.163919,58.4129,1,0.139044,,inf,100,500,58.5580610433
-58.7901,3.50449e-18,-58.7901395288,86.35,-58.7901395288,,7.28246,100.0,-58.7901,53.5698933331,1.0,0.01,-58.7901395288,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,53.5698933331
-60.4903,2.1793e-19,-62.1904880694,89.92,-62.1904880694,,26.3948,200.000000102,-60.4903,1348.03910781,1.0,0.005,-62.1904880694,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,1348.03910781
-60.1876,5.43914e-20,-59.5821315703,87.77,-59.5821315703,,22.0058,299.999969474,-60.1876,59.4369588812,1.0,0.00333333,-59.5821315703,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,59.4369588812
-61.5955,5.4346e-20,-65.8190726899,94.44,-65.8190726899,,31.8564,400.0,-61.5955,2608.8582397,1.0,0.0025,-65.8190726899,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,2608.8582397
-59.4211,6.96216e-06,-62.1454112278,89.82,-62.1454112278,1.49878,15.5158,182.677821403,-59.4211,1341.35130383,1.0,0.002,-62.1454112278,3.74151e-05,0.927954,0.0173597,13.7677,1,0.0296731,,inf,100,500,1341.35130383
-64.4071,3.50449e-18,-64.407144199,92.03,-64.407144199,,50.7946,100.0,-64.4071,2606.15664865,1.0,0.01,-64.407144199,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,2606.15664865
-61.0797,2.1793e-19,-57.7521680534,84.31,-57.7521680534,,36.4035,200.000000102,-61.0797,48.6757650761,1.0,0.005,-57.7521680534,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,48.6757650761
-60.2258,5.43914e-20,-58.5180678594,85.32,-58.5180678594,,30.0364,299.999969474,-60.2258,52.2753084565,1.0,0.00333333,-58.5180678594,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,52.2753084565
-59.7117,5.4346e-20,-58.1693531597,85.41,-58.1693531597,,26.2491,400.0,-59.7117,46.7954940751,1.0,0.0025,-58.1693531597,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,46.7954940751
-58.4875,3.86712e-06,-60.8187761019,87.82,-60.8187761019,0.990809,15.887,254.472814063,-58.4875,1330.75549545,1.0,0.002,-60.8187761019,0.000929549,1.01235,0.470515,9.47313,1,0.0187151,,inf,100,500,1330.75549545
-57.3021,3.50449e-18,-57.3021433081,84.03,-57.3021433081,,7.61419,100.0,-57.3021,58.5615536514,1.0,0.01,-57.3021433081,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,58.5615536514
-59.9639,2.1793e-19,-62.6256508669,90.84,-62.6256508669,,26.4736,200.000000102,-59.9639,1342.99056996,1.0,0.005,-62.6256508669,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,1342.99056996
-60.2104,5.43914e-20,-60.7034112599,87.55,-60.7034112599,,30.1552,299.999969474,-60.2104,1339.33550349,1.0,0.00333333,-60.7034112599,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,1339.33550349
-60.3554,5.4346e-20,-60.7902065639,87.82,-60.7902065639,,31.8743,400.0,-60.3554,1349.10727202,1.0,0.0025,-60.7902065639,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,1349.10727202
-59.9713,3.63086e-06,-62.0035434611,89.63,-62.0035434611,0.864653,23.4509,262.343363222,-59.9713,1340.90901824,1.0,0.002,-62.0035434611,0.00107582,0.975992,0.524997,13.663,1,0.0279981,4.45429512104e-26,1.12251e+28,100,500,1340.90901824
-61.6283,3.50449e-18,-61.6282826596,89.08,-61.6282826596,,36.2824,100.0,-61.6283,1329.70704747,1.0,0.01,-61.6282826596,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,1329.70704747
-59.7098,2.1793e-19,-57.7912909913,84.04,-57.7912909913,,26.172,200.000000102,-59.7098,46.6390925732,1.0,0.005,-57.7912909913,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,46.6390925732
-60.6872,5.43914e-20,-62.6420027734,90.04,-62.6420027734,,30.0413,299.999969474,-60.6872,1345.21883984,1.0,0.00333333,-62.6420027734,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,1345.21883984
-59.8857,5.4346e-20,-57.4811538011,84.37,-57.4811538011,,26.2717,400.0,-59.8857,46.1103203521,1.0,0.0025,-57.4811538011,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,46.1103203521
-59.0098,3.15667e-06,-61.5792765661,89.23,-61.5792765661,0.685717,18.5817,279.70633122,-59.0098,1332.38194781,1.0,0.002,-61.5792765661,2.26733e-05,0.932154,0.0105675,9.46441,1,0.0203065,,inf,100,500,1332.38194781
-61.9941,3.50449e-18,-61.9941082145,89.84,-61.9941082145,,36.7,100.0,-61.9941,1360.49264557,1.0,0.01,-61.9941082145,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,1360.49264557
-61.5874,2.1793e-19,-61.1806530204,88.53,-61.1806530204,,36.5618,200.000000102,-61.5874,1339.70273297,1.0,0.005,-61.1806530204,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,1339.70273297
-61.4221,5.43914e-20,-61.0914633635,88.06,-61.0914633635,,36.5666,299.999969474,-61.4221,1351.16679625,1.0,0.00333333,-61.0914633635,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,1351.16679625
-62.1333,5.4346e-20,-64.2667965278,91.97,-64.2667965278,,40.6181,400.0,-62.1333,2607.9965512,1.0,0.0025,-64.2667965278,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,2607.9965512
-49.2341,0.002,-58.6802640241,85.7,-58.6802640241,0.000177238,6.59378e-06,1.0,-49.2341,58.4089785756,1.0,0.002,-58.6802640241,,0.000595379,,0.297689,1,1.0,5.71033285873e-05,8.75606e+06,100,500,58.4089785756
-59.2141,3.50449e-18,-59.2140636663,86.88,-59.2140636663,,7.41754,100.0,-59.2141,55.5757044551,1.0,0.01,-59.2140636663,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,55.5757044551
-62.6783,2.1793e-19,-66.1425473486,94.85,-66.1425473486,,36.3439,200.000000102,-62.6783,2588.617691,1.0,0.005,-66.1425473486,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,2588.617691
-61.3196,5.43914e-20,-58.6023231722,85.8,-58.6023231722,,29.9803,299.999969474,-61.3196,44.0701702214,1.0,0.00333333,-58.6023231722,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,44.0701702214
-60.515,5.4346e-20,-58.1010088764,85.18,-58.1010088764,,26.2929,400.0,-60.515,61.6487854032,1.0,0.0025,-58.1010088764,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,61.6487854032
-59.6735,1.87479e-06,-64.6817760013,92.09,-64.6817760013,0.585001,18.6378,340.654911264,-59.6735,2612.54157013,1.0,0.002,-64.6817760013,2.41356e-05,1.1172,0.0134821,2.84922,1,0.00510063,1.14336526089,437.306,100,500,2612.54157013
-60.271,3.50449e-18,-60.2710456541,86.67,-60.2710456541,,36.6096,100.0,-60.271,1353.80120824,1.0,0.01,-60.2710456541,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,1353.80120824
-61.3641,2.1793e-19,-62.4572439954,90.32,-62.4572439954,,36.4471,200.000000102,-61.3641,1327.40787381,1.0,0.005,-62.4572439954,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,1327.40787381
-60.2749,5.43914e-20,-58.0963631698,85.32,-58.0963631698,,30.0385,299.999969474,-60.2749,43.4567774529,1.0,0.00333333,-58.0963631698,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,43.4567774529
-59.7382,5.4346e-20,-58.128049663,85.03,-58.128049663,,26.2347,400.0,-59.7382,43.0916453291,1.0,0.0025,-58.128049663,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,43.0916453291
-57.8865,5.48345e-06,-57.8542690068,84.55,-57.8542690068,1.52513,9.77408,211.137919752,-57.8865,45.2433023123,1.0,0.002,-57.8542690068,1.92877e-05,1.05477,0.010172,13.9155,1,0.0263859,0.816520669076,612.354,100,500,45.2433023123
-57.3,3.50449e-18,-57.3000459319,83.83,-57.3000459319,,7.06852,100.0,-57.3,50.4686434423,1.0,0.01,-57.3000459319,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,50.4686434423
-59.6338,2.1793e-19,-61.9676470901,89.83,-61.9676470901,,26.4428,200.000000102,-59.6338,1351.10132893,1.0,0.005,-61.9676470901,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,1351.10132893
-60.516,5.43914e-20,-62.2801996963,89.86,-62.2801996963,,30.2169,299.999969474,-60.516,1349.55972788,1.0,0.00333333,-62.2801996963,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,1349.55972788
-60.4509,5.4346e-20,-60.255606261,86.72,-60.255606261,,31.9146,400.0,-60.4509,1348.42156716,1.0,0.0025,-60.255606261,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,1348.42156716
-49.8083,0.002,-61.5132863833,88.83,-61.5132863833,,,inf,-49.8083,1337.75565348,1.0,0.002,-61.5132863833,,2.37352e-41,,1.18673e-38,1,1.0,2.00424063609e-27,2.49471e+29,100,500,1337.75565348
-57.3806,3.50449e-18,-57.3806161688,83.91,-57.3806161688,,7.66577,100.0,-57.3806,59.3575865778,1.0,0.01,-57.3806161688,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,59.3575865778
