Delta,VarVanillaIw,eRenyi2,ESSRenyi,IterType,MinVanillaIw,AvgDiscRet,VanillaAvgRet,VarRet,BatchSize,VarNormIw,VarDiscRet,Bound,J,AvgEpLen,MaxVanillaIw,MinNormIw,EpsThisIter,AvgRet,VarJ,AvgNormIw,AvgVanillaIw,MaxNormIw,ESSClassic
0.4,0.0311401,1.02421,97.6363655833,1,0.811442,-78.985232722,-78.985232722,3712.8252207,100,3.18469e-06,3712.8252207,-129.411,-77.7075,111.31,1.91375,0.00820599,100,-78.985232722,55.5458,0.01,0.988841,0.0193534,96.9435074144
0.4,0.213207,1.18082,84.6871441654,1,0.062478,-88.7833155559,-88.7833155559,8307.67236115,100,2.32142e-05,8307.67236115,-136.992,-81.4762,121.64,1.61716,0.000651934,100,-88.7833155559,81.4756,0.01,0.958349,0.0168744,81.3126804106
0.4,0.00447356,1.00666,99.3388665224,1,0.795863,-76.6097432527,-76.6097432527,3736.73585848,100,4.46641e-07,3736.73585848,-127.507,-76.2495,108.73,1.20361,0.00795227,100,-76.6097432527,59.1925,0.01,1.0008,0.0120264,99.5597499346
0.4,0.126218,1.11543,89.65138101,1,0.119288,-83.6509110238,-83.6509110238,6024.77610006,100,1.26936e-05,6024.77610006,-131.78,-77.8232,116.01,1.44692,0.00119627,100,-83.6509110238,58.7224,0.01,0.997164,0.0145103,88.8362152664
0.4,0.128214,1.11223,89.9097163087,1,0.104868,-83.4410382493,-83.4410382493,6014.83669425,100,1.45485e-05,6014.83669425,-132.696,-78.8169,116.36,1.45199,0.00111708,100,-83.4410382493,61.5019,0.01,0.93877,0.0154669,87.4102818439
0.4,0.168941,1.16096,86.1359245074,1,0.0464968,-83.3894153258,-83.3894153258,6061.04884477,100,2.11252e-05,6061.04884477,-131.571,-76.5236,115.91,1.79304,0.000519944,100,-83.3894153258,53.0156,0.01,0.894267,0.0200504,82.7034380369
0.4,0.0629689,1.05984,94.3541757189,1,0.379844,-94.047393887,-94.047393887,9277.9766162,100,7.232e-06,9277.9766162,-143.965,-91.3703,127.74,1.35135,0.00407073,100,-94.047393887,89.7264,0.01,0.933112,0.0144822,93.3186875339
0.4,0.267245,1.29792,77.0463234539,1,0.0939234,-93.5402495444,-93.5402495444,9312.91105451,100,2.67768e-05,9312.91105451,-138.006,-79.8027,127.32,2.02934,0.000940153,100,-93.5402495444,60.3201,0.01,0.999023,0.0203132,79.0457728875
0.4,0.243917,1.25823,79.4767948464,1,0.0382559,-90.5052176426,-90.5052176426,8227.10161772,100,2.44728e-05,8227.10161772,-138.38,-81.0753,124.23,1.87829,0.000383195,100,-90.5052176426,65.4755,0.01,0.998341,0.0188141,80.4971273538
0.4,0.0213934,1.01229,98.7861652396,1,0.812649,-89.9769343001,-89.9769343001,8226.73407347,100,2.0826e-06,8226.73407347,-140.824,-89.4215,123.35,2.12581,0.00801801,100,-89.9769343001,89.4149,0.01,1.01353,0.0209743,97.9798809968
0.4,0.0968751,1.05666,94.6379548311,1,0.7815,-85.8865557286,-85.8865557286,7206.14067924,100,8.48754e-06,7206.14067924,-135.329,-82.8126,118.72,2.84994,0.00731499,100,-85.8865557286,74.8414,0.01,1.06835,0.026676,92.2486572958
0.4,0.0742794,1.08512,92.1553044892,1,0.783516,-102.578976792,-102.578976792,11194.9352882,100,7.05012e-06,11194.9352882,-150.516,-97.2963,138.63,2.11705,0.00763329,100,-102.578976792,93.7432,0.01,1.02645,0.0206251,93.4757252789
0.4,0.00126937,1.00128,99.8723112895,1,0.916997,-83.5483681047,-83.5483681047,6032.78515808,100,1.2668e-07,6032.78515808,-134.604,-83.4826,116.29,1.06941,0.00916069,100,-83.5483681047,77.3814,0.01,1.00101,0.0106832,99.8747223147
0.4,0.0413922,1.04093,96.0683653013,1,0.358994,-78.9534391813,-78.9534391813,4912.9057588,100,4.05239e-06,4912.9057588,-128.223,-76.0988,110.37,1.2937,0.00355209,100,-78.9534391813,59.4753,0.01,1.01066,0.0128006,96.1428557867
0.4,0.013328,1.01433,98.5871955703,1,0.633388,-78.5668025391,-78.5668025391,4927.6378426,100,1.31956e-06,4927.6378426,-129.177,-77.7259,109.83,1.46959,0.00630233,100,-78.5668025391,66.6945,0.01,1.00501,0.0146227,98.7104896441
0.4,0.223834,1.21124,82.5597899976,1,0.0853854,-93.8194404435,-93.8194404435,9320.86646821,100,2.17274e-05,9320.86646821,-138.296,-82.0691,128.07,1.73509,0.000841248,100,-93.8194404435,72.821,0.01,1.01498,0.0170948,82.2976510707
0.4,0.0314283,1.02987,97.0994846854,1,0.849436,-102.835853064,-102.835853064,12467.778093,100,3.04823e-06,12467.778093,-152.906,-101.06,137.76,1.74311,0.00836554,100,-102.835853064,108.843,0.01,1.0154,0.0171668,97.0706252704
0.4,0.0372713,1.03693,96.4386172109,1,0.704275,-74.5350298241,-74.5350298241,3759.09911385,100,3.57898e-06,3759.09911385,-124.641,-72.6176,105.57,1.82207,0.00690136,100,-74.5350298241,52.2038,0.01,1.02049,0.0178549,96.5780773281
0.4,0.0855023,1.08817,91.8973711785,1,0.252355,-84.9117013305,-84.9117013305,7243.74543343,100,8.8124e-06,7243.74543343,-133.922,-80.6284,116.81,1.64344,0.00256195,100,-84.9117013305,71.4463,0.01,0.985013,0.0166844,91.9757505487
0.4,0.0119393,1.02224,97.8241420134,1,0.853551,-101.537368944,-101.537368944,11305.1617727,100,1.21862e-06,11305.1617727,-152.016,-100.362,136.91,1.56196,0.00862331,100,-101.537368944,102.633,0.01,0.989819,0.0157803,98.8079546614
0.4,0.0402851,1.02603,97.4628159484,1,0.800658,-76.0126232947,-76.0126232947,3815.81533215,100,3.90906e-06,3815.81533215,-126.649,-74.8991,106.91,1.97221,0.00788697,100,-76.0126232947,58.1845,0.01,1.01516,0.0194275,96.2742241277
0.4,0.0233075,1.02898,97.1840224735,1,0.249226,-73.9659097442,-73.9659097442,2578.46805915,100,2.18776e-06,2578.46805915,-123.16,-71.3371,105.03,1.25951,0.0024146,100,-73.9659097442,37.7786,0.01,1.03216,0.0122026,97.8800221311
0.4,0.0115115,1.01501,98.5214746097,1,0.895867,-79.5672981216,-79.5672981216,4939.59125407,100,1.19349e-06,4939.59125407,-130.238,-78.767,111.08,1.67682,0.00912195,100,-79.5672981216,67.1455,0.01,0.9821,0.0170738,98.8322350215
0.4,0.100723,1.08089,92.5163879888,1,0.375263,-93.8126990472,-93.8126990472,9327.24319015,100,9.90648e-06,9327.24319015,-141.246,-88.1306,127.77,2.46106,0.00372162,100,-93.8126990472,81.7042,0.01,1.00833,0.0244072,91.0685629678
0.4,0.0762175,1.05155,95.0972681129,1,0.791492,-78.1666750652,-78.1666750652,4955.94702857,100,6.92987e-06,4955.94702857,-127.55,-75.1601,109.54,2.50404,0.00754713,100,-78.1666750652,58.073,0.01,1.04873,0.0238768,93.5798709605
0.4,0.0494657,1.04455,95.7345519393,1,0.775721,-78.709875702,-78.709875702,4949.71608191,100,4.67998e-06,4949.71608191,-128.397,-76.1829,110.34,1.84057,0.00754528,100,-78.709875702,58.9,0.01,1.02809,0.0179028,95.571970159
0.4,0.216812,1.05192,95.0644091752,1,0.828048,-73.8395199725,-73.8395199725,3785.96472756,100,1.95189e-05,3785.96472756,-123.743,-71.3457,104.52,4.0126,0.00785673,100,-73.8395199725,53.3407,0.01,1.05393,0.0380726,83.8056366974
0.4,0.285548,1.24077,80.5947979963,1,0.0105281,-86.4527414888,-86.4527414888,7164.56128704,100,3.0682e-05,7164.56128704,-125.272,-68.3638,119.16,1.67742,0.000109132,100,-86.4527414888,23.5894,0.01,0.964712,0.0173877,76.7017332927
0.4,0.0817227,1.05207,95.0504814273,1,0.433452,-84.5569635646,-84.5569635646,6006.52879444,100,7.89518e-06,6006.52879444,-134.11,-81.7075,117.52,2.35968,0.0042604,100,-84.5569635646,68.3495,0.01,1.0174,0.0231933,92.7504465771
0.4,0.076479,1.07002,93.4563150689,1,0.476999,-84.1846738088,-84.1846738088,7238.46332363,100,7.50853e-06,7238.46332363,-133.759,-80.9117,116.77,1.73152,0.00472632,100,-84.1846738088,74.3966,0.01,1.00924,0.0171567,93.080903272
0.4,0.106882,1.1351,88.0978071033,1,0.282843,-83.0700065823,-83.0700065823,7306.94778671,100,9.53745e-06,7306.94778671,-131.429,-76.9981,114.46,1.73741,0.00267184,100,-83.0700065823,66.4856,0.01,1.05861,0.0164122,91.3725378526
0.4,0.0196528,1.02513,97.5482714404,1,0.85997,-77.4516559596,-77.4516559596,4959.91793374,100,1.97732e-06,4959.91793374,-127.69,-75.9631,108.81,1.65572,0.008626,100,-77.4516559596,62.6691,0.01,0.996951,0.0166079,98.080044568
0.4,0.191497,1.0951,91.3160168419,1,0.424799,-87.4590865636,-87.4590865636,7125.30779777,100,1.74839e-05,7125.30779777,-135.785,-82.3227,120.64,3.80124,0.00405902,100,-87.4590865636,68.2003,0.01,1.04655,0.0363215,85.2449265706
0.4,0.0194907,1.03042,97.0477547244,1,0.849331,-86.7414588898,-86.7414588898,7158.37656203,100,2.08664e-06,7158.37656203,-136.908,-85.0474,119.61,1.67122,0.00878794,100,-86.7414588898,78.2419,0.01,0.966473,0.017292,97.9760510679
0.4,0.177256,1.16072,86.1534138538,1,0.0343294,-79.1136559741,-79.1136559741,4945.23421886,100,1.93241e-05,4945.23421886,-124.978,-69.9362,110.74,1.52719,0.000358439,100,-79.1136559741,34.3922,0.01,0.957747,0.0159457,83.9412769468
0.4,0.0176887,1.02026,98.0139018226,1,0.839732,-86.6579408187,-86.6579408187,7195.87453803,100,1.78863e-06,7195.87453803,-137.183,-85.5795,119.17,1.58123,0.00844408,100,-86.6579408187,80.2975,0.01,0.994462,0.0159004,98.260075989
0.4,0.0192207,1.01779,98.2519379868,1,0.693328,-72.1843459299,-72.1843459299,2548.67850721,100,1.90451e-06,2548.67850721,-122.72,-71.1782,102.78,1.56144,0.00690154,100,-72.1843459299,43.109,0.01,1.0046,0.015543,98.1494207917
0.4,0.144925,1.08394,92.2559960126,1,0.312883,-88.9492627771,-88.9492627771,8281.59572973,100,1.27696e-05,8281.59572973,-137.653,-84.4637,121.54,3.3634,0.00293698,100,-88.9492627771,76.8272,0.01,1.06532,0.0315716,88.7768903976
0.4,0.0152137,1.01309,98.7079120048,1,0.859187,-79.3742243765,-79.3742243765,4919.9344679,100,1.51327e-06,4919.9344679,-130.097,-78.6758,111.18,1.66236,0.00856895,100,-79.3742243765,66.8399,0.01,1.00267,0.0165792,98.5239879946
0.4,0.0224569,1.03417,96.6957197724,1,0.479758,-79.1595037271,-79.1595037271,4984.13632858,100,2.1676e-06,4984.13632858,-129.439,-77.485,110.29,1.28687,0.00471343,100,-79.1595037271,64.7208,0.01,1.01785,0.012643,97.8991505851
0.4,0.029148,1.02858,97.2212026532,1,0.613549,-82.9216142495,-82.9216142495,7274.55100708,100,2.93016e-06,7274.55100708,-133.236,-81.4216,113.97,1.81339,0.00615164,100,-82.9216142495,80.5417,0.01,0.997375,0.0181816,97.1809129495
0.4,0.111571,1.11933,89.3394588411,1,0.288965,-79.6822898909,-79.6822898909,4939.40011267,100,1.08132e-05,4939.40011267,-127.778,-73.7262,111.23,1.58603,0.00284476,100,-79.6822898909,48.8671,0.01,1.01578,0.0156139,90.3301131875
0.4,0.0190019,1.03098,96.9947900876,1,0.852129,-87.1157175942,-87.1157175942,7140.39555532,100,1.94436e-06,7140.39555532,-137.196,-85.3222,119.82,1.50512,0.00861975,100,-87.1157175942,77.9404,0.01,0.988578,0.0152251,98.1114661325
