J,MinVanillaIw,MaxVanillaIw,MinNormIw,ESSRenyi,AvgRet,ESSClassic,EpsThisIter,VarNormIw,AvgEpLen,BatchSize,IterType,VarJ,AvgNormIw,MaxNormIw,AvgDiscRet,AvgVanillaIw,Delta,eRenyi2,VarDiscRet,Bound,VarRet,VarVanillaIw,VanillaAvgRet
544.58,2.2614e-14,1339.09,1.29362e-17,23.4883892214,272.809754901,1.69964897186,100,0.00117506,29.52,500,1,1027.61,0.002,0.766019,272.809754901,3.49624,0.7,21.2871,11964.04673,424.965,11964.04673,3590.92,272.809754901
322.757,1.0,1.0,0.01,500.0,322.757382789,100.0,100,3.50449e-18,34.85,500,2,104.8,0.01,0.01,322.757382789,1.0,0.7,1.0,11093.8762996,278.494,11093.8762996,,322.757382789
323.688,1.0,1.0,0.005,500.0,324.619517323,200.000000102,100,2.1793e-19,35.02,500,2,104.475,0.005,0.005,324.619517323,1.0,0.7,1.0,10955.0846888,288.895,10955.0846888,,324.619517323
326.557,1.0,1.0,0.00333333,500.0,332.292828203,299.999969474,100,5.43914e-20,35.87,500,2,113.318,0.00333333,0.00333333,332.292828203,1.0,0.7,1.0,16811.651874,292.455,16811.651874,,332.292828203
328.429,1.0,1.0,0.0025,500.0,334.046947349,400.0,100,5.4346e-20,36.07,500,2,112.781,0.0025,0.0025,334.046947349,1.0,0.7,1.0,12437.2871398,298.897,12437.2871398,,334.046947349
868.982,1.50269e-26,1103.83,8.89506e-30,12.2875123394,357.330519833,2.25098686941,100,0.000886272,38.56,500,1,1892.17,0.002,0.6534,357.330519833,3.37871,0.7,40.6917,25003.3132737,674.651,25003.3132737,2529.35,357.330519833
455.693,1.0,1.0,0.01,500.0,455.692860332,100.0,100,3.50449e-18,49.18,500,2,178.478,0.01,0.01,455.692860332,1.0,0.7,1.0,32176.2559017,378.592,32176.2559017,,455.692860332
463.251,1.0,1.0,0.005,500.0,470.808278619,200.000000102,100,2.1793e-19,50.8,500,2,202.067,0.005,0.005,470.808278619,1.0,0.7,1.0,50195.0681849,394.933,50195.0681849,,470.808278619
455.556,1.0,1.0,0.00333333,500.0,440.166586927,299.999969474,100,5.43914e-20,47.5,500,2,196.196,0.00333333,0.00333333,440.166586927,1.0,0.7,1.0,33799.3049472,399.775,33799.3049472,,440.166586927
460.25,1.0,1.0,0.0025,500.0,474.331496561,400.0,100,5.4346e-20,51.23,500,2,202.311,0.0025,0.0025,474.331496561,1.0,0.7,1.0,48460.4953934,411.942,48460.4953934,,474.331496561
1296.84,1.47595e-18,1227.46,9.35473e-22,8.5328766911,498.477248778,1.64523062843,100,0.00121406,53.83,500,1,3185.64,0.002,0.777977,498.477248778,3.15551,0.7,58.5969,56126.3729701,966.096,56126.3729701,3022.18,498.477248778
542.873,1.0,1.0,0.01,500.0,542.872976382,100.0,100,3.50449e-18,58.6,500,2,219.352,0.01,0.01,542.872976382,1.0,0.7,1.0,48601.2651187,463.04,48601.2651187,,542.872976382
555.547,1.0,1.0,0.005,500.0,568.221416104,200.000000102,100,2.1793e-19,61.32,500,2,246.918,0.005,0.005,568.221416104,1.0,0.7,1.0,74242.5442329,472.96,74242.5442329,,568.221416104
562.987,1.0,1.0,0.00333333,500.0,577.866897678,299.999969474,100,5.43914e-20,62.41,500,2,245.574,0.00333333,0.00333333,577.866897678,1.0,0.7,1.0,59243.5198108,495.555,59243.5198108,,577.866897678
560.53,1.0,1.0,0.0025,500.0,553.160180367,400.0,100,5.4346e-20,59.69,500,2,242.349,0.0025,0.0025,553.160180367,1.0,0.7,1.0,54484.743849,502.132,54484.743849,,553.160180367
1034.18,8.69441e-24,842.207,4.94874e-27,27.9255581218,534.298439666,3.14711868484,100,0.000632768,57.66,500,1,1347.08,0.002,0.479373,534.298439666,3.51379,0.7,17.9047,45457.6344353,813.157,45457.6344353,1953.15,534.298439666
635.412,1.0,1.0,0.01,500.0,635.412532862,100.0,100,3.50449e-18,68.57,500,2,239.237,0.01,0.01,635.412532862,1.0,0.7,1.0,57812.4708648,544.243,57812.4708648,,635.412532862
652.432,1.0,1.0,0.005,500.0,669.450787384,200.000000102,100,2.1793e-19,72.31,500,2,220.675,0.005,0.005,669.450787384,1.0,0.7,1.0,39980.9510075,587.965,39980.9510075,,669.450787384
670.111,1.0,1.0,0.00333333,500.0,705.468658167,299.999969474,100,5.43914e-20,76.21,500,2,242.312,0.00333333,0.00333333,705.468658167,1.0,0.7,1.0,77651.9901811,610.591,77651.9901811,,705.468658167
689.333,1.0,1.0,0.0025,500.0,746.999105281,400.0,100,5.4346e-20,80.55,500,2,263.806,0.0025,0.0025,746.999105281,1.0,0.7,1.0,98782.8658234,623.429,98782.8658234,,746.999105281
1140.51,6.32424e-13,741.941,5.59044e-16,21.5745262837,644.012124817,2.31123500708,100,0.000863065,69.51,500,1,2648.65,0.002,0.655854,644.012124817,2.26252,0.7,23.1755,38819.8271961,856.738,38819.8271961,1104.51,644.012124817
833.378,1.0,1.0,0.01,500.0,833.377677174,100.0,100,3.50449e-18,90.02,500,2,310.003,0.01,0.01,833.377677174,1.0,0.7,1.0,97072.8028191,720.912,97072.8028191,,833.377677174
813.018,1.0,1.0,0.005,500.0,792.658899857,200.000000102,100,2.1793e-19,85.57,500,2,290.613,0.005,0.005,792.658899857,1.0,0.7,1.0,72708.4308132,733.493,72708.4308132,,792.658899857
814.804,1.0,1.0,0.00333333,500.0,818.37393371,299.999969474,100,5.43914e-20,88.4,500,2,288.189,0.00333333,0.00333333,818.37393371,1.0,0.7,1.0,81038.3165925,749.872,81038.3165925,,818.37393371
819.099,1.0,1.0,0.0025,500.0,831.984730724,400.0,100,5.4346e-20,89.97,500,2,284.397,0.0025,0.0025,831.984730724,1.0,0.7,1.0,74895.1791255,761.704,74895.1791255,,831.984730724
1592.9,2.38807e-14,2312.96,8.52895e-18,13.8062388669,857.342002111,1.4636701817,100,0.00136516,92.65,500,1,2342.06,0.002,0.826071,857.342002111,5.59991,0.7,36.2155,95637.5559864,1283.97,95637.5559864,10702.5,857.342002111
976.771,1.0,1.0,0.01,500.0,976.771203734,100.0,100,3.50449e-18,105.59,500,2,294.644,0.01,0.01,976.771203734,1.0,0.7,1.0,87691.795407,859.082,87691.795407,,976.771203734
982.612,1.0,1.0,0.005,500.0,988.453590139,200.000000102,100,2.1793e-19,106.93,500,2,300.141,0.005,0.005,988.453590139,1.0,0.7,1.0,94228.8528583,885.384,94228.8528583,,988.453590139
983.348,1.0,1.0,0.00333333,500.0,984.820070048,299.999969474,100,5.43914e-20,106.33,500,2,300.974,0.00333333,0.00333333,984.820070048,1.0,0.7,1.0,92508.0167841,903.962,92508.0167841,,984.820070048
972.512,1.0,1.0,0.0025,500.0,940.003743575,400.0,100,5.4346e-20,101.75,500,2,293.786,0.0025,0.0025,940.003743575,1.0,0.7,1.0,72804.9976165,903.761,72804.9976165,,940.003743575
1439.38,2.49952e-07,692.155,2.13832e-10,28.8925612985,1014.0251666,2.80462014793,100,0.00071053,109.58,500,1,2047.26,0.002,0.592132,1014.0251666,2.33784,0.7,17.3055,76663.7392299,1183.57,76663.7392299,970.849,1014.0251666
1123.19,1.0,1.0,0.01,500.0,1123.19499898,100.0,100,3.50449e-18,121.42,500,2,305.814,0.01,0.01,1123.19499898,1.0,0.7,1.0,94467.1742617,975.521,94467.1742617,,1123.19499898
1113.79,1.0,1.0,0.005,500.0,1104.38753616,200.000000102,100,2.1793e-19,119.68,500,2,295.688,0.005,0.005,1104.38753616,1.0,0.7,1.0,81983.4738375,1009.37,81983.4738375,,1104.38753616
1101.56,1.0,1.0,0.00333333,500.0,1077.09939322,299.999969474,100,5.43914e-20,116.74,500,2,301.399,0.00333333,0.00333333,1077.09939322,1.0,0.7,1.0,97740.8649697,1016.3,97740.8649697,,1077.09939322
1094.55,1.0,1.0,0.0025,500.0,1073.50371412,400.0,100,5.4346e-20,116.5,500,2,294.331,0.0025,0.0025,1073.50371412,1.0,0.7,1.0,74150.578449,1020.71,74150.578449,,1073.50371412
1509.36,2.28266e-07,916.018,1.73915e-10,31.8060749598,1064.06871137,2.04613387098,100,0.000975404,115.2,500,1,2320.96,0.002,0.697909,1064.06871137,2.62504,0.7,15.7203,81449.4480222,1247.51,81449.4480222,1680.33,1064.06871137
1192.59,1.0,1.0,0.01,500.0,1192.5882802,100.0,100,3.50449e-18,129.13,500,2,247.102,0.01,0.01,1192.5882802,1.0,0.7,1.0,61676.0490613,1069.43,61676.0490613,,1192.5882802
1167.43,1.0,1.0,0.005,500.0,1142.26697612,200.000000102,100,2.1793e-19,123.66,500,2,244.757,0.005,0.005,1142.26697612,1.0,0.7,1.0,58067.2278932,1077.35,58067.2278932,,1142.26697612
1164.43,1.0,1.0,0.00333333,500.0,1158.42300224,299.999969474,100,5.43914e-20,125.35,500,2,236.995,0.00333333,0.00333333,1158.42300224,1.0,0.7,1.0,49125.5167511,1090.88,49125.5167511,,1158.42300224
1157.5,1.0,1.0,0.0025,500.0,1136.72659716,400.0,100,5.4346e-20,123.28,500,2,238.553,0.0025,0.0025,1136.72659716,1.0,0.7,1.0,59146.7474521,1093.8,59146.7474521,,1136.72659716
1435.87,0.00018532,1091.37,1.19648e-07,58.5117062362,1149.13790858,2.00948703505,100,0.000993266,124.39,500,1,1191.17,0.002,0.704618,1149.13790858,3.09776,0.7,8.5453,61023.8642914,1261.56,61023.8642914,2382.88,1149.13790858
1169.75,1.0,1.0,0.01,500.0,1169.74861419,100.0,100,3.50449e-18,127.18,500,2,300.686,0.01,0.01,1169.74861419,1.0,0.7,1.0,91325.3590899,1051.7,91325.3590899,,1169.74861419
1185.44,1.0,1.0,0.005,500.0,1201.1255621,200.000000102,100,2.1793e-19,130.28,500,2,309.952,0.005,0.005,1201.1255621,1.0,0.7,1.0,102259.002508,1095.99,102259.002508,,1201.1255621
1192.25,1.0,1.0,0.00333333,500.0,1205.86658185,299.999969474,100,5.43914e-20,130.73,500,2,315.614,0.00333333,0.00333333,1205.86658185,1.0,0.7,1.0,107491.764822,1110.85,107491.764822,,1205.86658185
1173.01,1.0,1.0,0.0025,500.0,1115.31152822,400.0,100,5.4346e-20,120.96,500,2,319.316,0.0025,0.0025,1115.31152822,1.0,0.7,1.0,105631.994618,1094.27,105631.994618,,1115.31152822
1983.89,2.48422e-05,1994.44,1.00613e-08,30.9450247253,1215.08409058,1.53143889547,100,0.00130457,131.71,500,1,3257.16,0.002,0.807762,1215.08409058,4.93819,0.7,16.1577,99304.0154008,1700.8,99304.0154008,7953.23,1215.08409058
1212.27,1.0,1.0,0.01,500.0,1212.27455464,100.0,100,3.50449e-18,131.6,500,2,380.679,0.01,0.01,1212.27455464,1.0,0.7,1.0,146380.026307,1073.01,146380.026307,,1212.27455464
1220.51,1.0,1.0,0.005,500.0,1228.74993477,200.000000102,100,2.1793e-19,133.05,500,2,379.657,0.005,0.005,1228.74993477,1.0,0.7,1.0,144674.122039,1096.66,144674.122039,,1228.74993477
1237.35,1.0,1.0,0.00333333,500.0,1271.01453945,299.999969474,100,5.43914e-20,137.8,500,2,388.761,0.00333333,0.00333333,1271.01453945,1.0,0.7,1.0,165077.402525,1136.22,165077.402525,,1271.01453945
1228.51,1.0,1.0,0.0025,500.0,1202.01202571,400.0,100,5.4346e-20,130.25,500,2,383.883,0.0025,0.0025,1202.01202571,1.0,0.7,1.0,136486.141828,1140.94,136486.141828,,1202.01202571
1603.14,5.70931e-07,372.21,6.88019e-10,70.451587814,1207.59042634,4.89901980569,100,0.000405055,130.91,500,1,3774.85,0.002,0.448544,1207.59042634,1.65964,0.7,7.09707,109777.928177,1394.46,109777.928177,278.921,1207.59042634
1263.9,1.0,1.0,0.01,500.0,1263.90348038,100.0,100,3.50449e-18,137.31,500,2,362.364,0.01,0.01,1263.90348038,1.0,0.7,1.0,132634.224013,1103.77,132634.224013,,1263.90348038
1304.5,1.0,1.0,0.005,500.0,1345.09720264,200.000000102,100,2.1793e-19,146.34,500,2,390.678,0.005,0.005,1345.09720264,1.0,0.7,1.0,172379.047636,1176.72,172379.047636,,1345.09720264
1297.11,1.0,1.0,0.00333333,500.0,1282.32647704,299.999969474,100,5.43914e-20,139.21,500,2,372.686,0.00333333,0.00333333,1282.32647704,1.0,0.7,1.0,112219.744524,1192.78,112219.744524,,1282.32647704
1272.3,1.0,1.0,0.0025,500.0,1197.87520992,400.0,100,5.4346e-20,130.2,500,2,373.366,0.0025,0.0025,1197.87520992,1.0,0.7,1.0,134886.300884,1181.95,134886.300884,,1197.87520992
2611.1,3.70172e-26,3493.47,1.03984e-29,499.998569493,1358.72570717,1.0383707364,100,0.00192595,147.64,500,1,557.576,0.002,0.981338,1358.72570717,7.1198,0.7,1.0,141437.461235,2530.29,141437.461235,24407.3,1358.72570717
1295.72,1.0,1.0,0.01,500.0,1295.71637557,100.0,100,3.50449e-18,140.62,500,2,247.092,0.01,0.01,1295.71637557,1.0,0.7,1.0,61671.2427005,1141.24,61671.2427005,,1295.71637557
1280.43,1.0,1.0,0.005,500.0,1265.14044295,200.000000102,100,2.1793e-19,137.43,500,2,239.665,0.005,0.005,1265.14044295,1.0,0.7,1.0,53895.7747222,1171.2,53895.7747222,,1265.14044295
1289.29,1.0,1.0,0.00333333,500.0,1307.01755533,299.999969474,100,5.43914e-20,141.8,500,2,249.919,0.00333333,0.00333333,1307.01755533,1.0,0.7,1.0,72755.6696638,1200.1,72755.6696638,,1307.01755533
1299.72,1.0,1.0,0.0025,500.0,1330.99982393,400.0,100,5.4346e-20,144.26,500,2,248.406,0.0025,0.0025,1330.99982393,1.0,0.7,1.0,58727.0913827,1222.48,58727.0913827,,1330.99982393
2187.8,5.83382e-06,1951.1,2.46175e-09,19.3360263014,1318.88365166,1.47379740507,100,0.00135575,143.14,500,1,3199.65,0.002,0.823326,1318.88365166,4.73956,0.7,25.8585,81776.0415103,1836.5,81776.0415103,7613.71,1318.88365166
1338.41,1.0,1.0,0.01,500.0,1338.4136954,100.0,100,3.50449e-18,145.45,500,2,330.845,0.01,0.01,1338.4136954,1.0,0.7,1.0,110564.351041,1142.9,110564.351041,,1338.4136954
1352.07,1.0,1.0,0.005,500.0,1365.72721078,200.000000102,100,2.1793e-19,148.53,500,2,304.142,0.005,0.005,1365.72721078,1.0,0.7,1.0,75932.6377034,1213.82,75932.6377034,,1365.72721078
1339.26,1.0,1.0,0.00333333,500.0,1313.65170431,299.999969474,100,5.43914e-20,143.27,500,2,301.449,0.00333333,0.00333333,1313.65170431,1.0,0.7,1.0,87501.2013494,1226.38,87501.2013494,,1313.65170431
1339.01,1.0,1.0,0.0025,500.0,1338.25431194,400.0,100,5.4346e-20,145.61,500,2,297.834,0.0025,0.0025,1338.25431194,1.0,0.7,1.0,83034.2031985,1241.26,83034.2031985,,1338.25431194
2696.89,2.35054e-08,1688.17,1.15194e-11,14.2937358797,1331.91937028,1.45864300441,100,0.00136988,144.79,500,1,5470.08,0.002,0.827326,1331.91937028,4.08102,0.7,34.9804,59059.9274915,2179.75,59059.9274915,5703.75,1331.91937028
1330.8,1.0,1.0,0.01,500.0,1330.80266054,100.0,100,3.50449e-18,145.11,500,2,283.266,0.01,0.01,1330.80266054,1.0,0.7,1.0,81049.8874123,1169.62,81049.8874123,,1330.80266054
1326.88,1.0,1.0,0.005,500.0,1322.95241762,200.000000102,100,2.1793e-19,144.07,500,2,274.521,0.005,0.005,1322.95241762,1.0,0.7,1.0,71164.6592577,1212.9,71164.6592577,,1322.95241762
1328.9,1.0,1.0,0.00333333,500.0,1332.94089109,299.999969474,100,5.43914e-20,145.31,500,2,268.938,0.00333333,0.00333333,1332.94089109,1.0,0.7,1.0,66904.4523515,1233.67,66904.4523515,,1332.94089109
1328.99,1.0,1.0,0.0025,500.0,1329.28119273,400.0,100,5.4346e-20,144.72,500,2,268.425,0.0025,0.0025,1329.28119273,1.0,0.7,1.0,71944.8035389,1246.53,71944.8035389,,1329.28119273
2281.43,1.30813e-06,2243.62,4.89967e-10,21.2197177013,1386.73952973,1.41497887258,100,0.00141227,150.75,500,1,3434.77,0.002,0.840359,1386.73952973,5.33967,0.7,23.563,102663.658537,1923.38,102663.658537,10066.7,1386.73952973
1359.82,1.0,1.0,0.01,500.0,1359.81970362,100.0,100,3.50449e-18,147.82,500,2,346.514,0.01,0.01,1359.81970362,1.0,0.7,1.0,121284.984048,1177.05,121284.984048,,1359.81970362
1347.77,1.0,1.0,0.005,500.0,1335.71793067,200.000000102,100,2.1793e-19,145.54,500,2,307.583,0.005,0.005,1335.71793067,1.0,0.7,1.0,69547.7976994,1218.53,69547.7976994,,1335.71793067
1350.7,1.0,1.0,0.00333333,500.0,1356.54787214,299.999969474,100,5.43914e-20,147.76,500,2,297.082,0.00333333,0.00333333,1356.54787214,1.0,0.7,1.0,76270.026289,1245.18,76270.026289,,1356.54787214
1359.84,1.0,1.0,0.0025,500.0,1387.27799513,400.0,100,5.4346e-20,150.67,500,2,287.629,0.0025,0.0025,1387.27799513,1.0,0.7,1.0,65802.8171027,1268.46,65802.8171027,,1387.27799513
2457.1,1.01231e-07,1232.47,6.26938e-11,14.2510722934,1371.6289952,1.71406618863,100,0.00116515,149.17,500,1,5755.69,0.002,0.763285,1371.6289952,3.22938,0.7,35.0851,92536.8417185,1972.96,92536.8417185,3037.8,1371.6289952
1364.07,1.0,1.0,0.01,500.0,1364.07255262,100.0,100,3.50449e-18,148.47,500,2,272.617,0.01,0.01,1364.07255262,1.0,0.7,1.0,75070.5634345,1188.63,75070.5634345,,1364.07255262
1366.01,1.0,1.0,0.005,500.0,1367.94009969,200.000000102,100,2.1793e-19,149.0,500,2,267.448,0.005,0.005,1367.94009969,1.0,0.7,1.0,69424.0292471,1238.06,69424.0292471,,1367.94009969
1360.5,1.0,1.0,0.00333333,500.0,1349.49566829,299.999969474,100,5.43914e-20,146.85,500,2,266.719,0.00333333,0.00333333,1349.49566829,1.0,0.7,1.0,70887.4218288,1256.03,70887.4218288,,1349.49566829
1350.84,1.0,1.0,0.0025,500.0,1321.86907639,400.0,100,5.4346e-20,144.15,500,2,254.978,0.0025,0.0025,1321.86907639,1.0,0.7,1.0,45978.1506273,1260.37,45978.1506273,,1321.86907639
1537.56,0.00661139,116.195,1.1487e-05,79.2019260271,1375.61130587,22.6228907388,100,8.45751e-05,149.69,500,1,2736.3,0.002,0.201883,1375.61130587,1.15111,0.7,6.31298,112958.565129,1334.24,112958.565129,28.0167,1375.61130587
1408.01,1.0,1.0,0.01,500.0,1408.00645613,100.0,100,3.50449e-18,153.06,500,2,332.128,0.01,0.01,1408.00645613,1.0,0.7,1.0,111423.431424,1222.5,111423.431424,,1408.00645613
1393.11,1.0,1.0,0.005,500.0,1378.2210555,200.000000102,100,2.1793e-19,149.92,500,2,305.455,0.005,0.005,1378.2210555,1.0,0.7,1.0,76619.4567537,1261.94,76619.4567537,,1378.2210555
1405.7,1.0,1.0,0.00333333,500.0,1430.86231993,299.999969474,100,5.43914e-20,155.51,500,2,334.45,0.00333333,0.00333333,1430.86231993,1.0,0.7,1.0,149510.464704,1298.59,149510.464704,,1430.86231993
1395.64,1.0,1.0,0.0025,500.0,1365.47345125,400.0,100,5.4346e-20,148.72,500,2,323.853,0.0025,0.0025,1365.47345125,1.0,0.7,1.0,83572.8134421,1302.89,83572.8134421,,1365.47345125
1451.99,0.104782,15.7721,0.000209915,286.225843938,1366.24425954,250.837936536,100,3.98124e-06,148.45,500,1,552.29,0.002,0.0315972,1366.24425954,0.998325,0.7,1.74687,81736.9693196,1342.34,81736.9693196,0.991979,1366.24425954
1393.58,1.0,1.0,0.01,500.0,1393.57945205,100.0,100,3.50449e-18,151.41,500,2,291.956,0.01,0.01,1393.57945205,1.0,0.7,1.0,86099.1969745,1218.2,86099.1969745,,1393.57945205
1394.86,1.0,1.0,0.005,500.0,1396.14934746,200.000000102,100,2.1793e-19,151.71,500,2,285.744,0.005,0.005,1396.14934746,1.0,0.7,1.0,78846.2864784,1270.85,78846.2864784,,1396.14934746
1371.98,1.0,1.0,0.00333333,500.0,1326.21108253,299.999969474,100,5.43914e-20,144.44,500,2,269.4,0.00333333,0.00333333,1326.21108253,1.0,0.7,1.0,51806.2581221,1270.72,51806.2581221,,1326.21108253
1374.54,1.0,1.0,0.0025,500.0,1382.20847634,400.0,100,5.4346e-20,150.29,500,2,285.221,0.0025,0.0025,1382.20847634,1.0,0.7,1.0,108682.735903,1275.31,108682.735903,,1382.20847634
1468.21,0.0063814,13.0746,1.246e-05,197.414908763,1371.58262459,194.209369536,100,6.31079e-06,149.08,500,1,985.46,0.002,0.0255289,1371.58262459,1.0243,0.7,2.53274,75854.6592252,1326.97,75854.6592252,1.65531,1371.58262459
1365.72,1.0,1.0,0.01,500.0,1365.72467099,100.0,100,3.50449e-18,148.85,500,2,282.165,0.01,0.01,1365.72467099,1.0,0.7,1.0,80421.4441351,1181.11,80421.4441351,,1365.72467099
1374.14,1.0,1.0,0.005,500.0,1382.55439688,200.000000102,100,2.1793e-19,150.28,500,2,270.526,0.005,0.005,1382.55439688,1.0,0.7,1.0,67282.1896053,1243.6,67282.1896053,,1382.55439688
1379.14,1.0,1.0,0.00333333,500.0,1389.14821906,299.999969474,100,5.43914e-20,150.78,500,2,255.986,0.00333333,0.00333333,1389.14821906,1.0,0.7,1.0,50574.2889316,1272.55,50574.2889316,,1389.14821906
1375.95,1.0,1.0,0.0025,500.0,1366.39012537,400.0,100,5.4346e-20,148.52,500,2,253.928,0.0025,0.0025,1366.39012537,1.0,0.7,1.0,61827.6931216,1283.65,61827.6931216,,1366.39012537
1371.48,1.0,1.0,0.002,500.0,1353.57210014,500.000006643,100,5.43187e-20,147.56,500,1,257.776,0.002,0.002,1353.57210014,1.0,0.7,1.0,74668.8652146,1284.81,74668.8652146,,1353.57210014
1347.84,1.0,1.0,0.01,500.0,1347.84309792,100.0,100,3.50449e-18,146.77,500,2,273.1,0.01,0.01,1347.84309792,1.0,0.7,1.0,75337.0421502,1155.89,75337.0421502,,1347.84309792
1369.99,1.0,1.0,0.005,500.0,1392.13060408,200.000000102,100,2.1793e-19,151.57,500,2,299.783,0.005,0.005,1392.13060408,1.0,0.7,1.0,105227.690317,1231.3,105227.690317,,1392.13060408
1372.11,1.0,1.0,0.00333333,500.0,1376.3601018,299.999969474,100,5.43914e-20,149.84,500,2,288.526,0.00333333,0.00333333,1376.3601018,1.0,0.7,1.0,70681.1822434,1258.88,70681.1822434,,1376.3601018
1372.55,1.0,1.0,0.0025,500.0,1373.88199832,400.0,100,5.4346e-20,149.62,500,2,302.056,0.0025,0.0025,1373.88199832,1.0,0.7,1.0,116372.312997,1274.49,116372.312997,,1373.88199832
1372.26,1.0,1.0,0.002,500.0,1371.07768755,500.000006643,100,5.43187e-20,149.11,500,1,305.261,0.002,0.002,1371.07768755,1.0,0.7,1.0,101987.225075,1284.55,101987.225075,,1371.07768755
1429.26,1.0,1.0,0.01,500.0,1429.26269539,100.0,100,3.50449e-18,155.21,500,2,326.232,0.01,0.01,1429.26269539,1.0,0.7,1.0,107502.169074,1226.87,107502.169074,,1429.26269539
