Weights,InitialReturnMean,InitialReturnMin,MeanEntropy,MeanIWNorm,InitialReturnStd,TimeElapsed,MeanIW,ESSRenyi,ReturnStepMax,InitialBound,Bound,StdIWNorm,MinIWNorm,J_sample_variance,StdIW,MaxIWNorm,EpisodesSoFar,EmpiricalD2,ESSClassic,EpLenMean,EpRewMean,MaxIW,MinIW,Iteration,TimestepsSoFar,InitialReturnMax,EpThisIter,ReturnMeanIW,ReturnStepMaxmin
[ 0.859 -0.532 -0.595 -1.022  0.896],4.196167e-07,-9.854851,2.460911,0.009609104,9.105869,187.29607605934143,0.96091044,9.386357,100.0,230.04115,-0.82030153,0.024617417,0.00033293536,2698.369,2.4617417,0.24312681,1100,10.65376,13.221822,25.3,-110.24314111643572,24.312681,0.033293538,11,24835,42.518826,100,3.8057609,90.5044
[ 0.868 -0.522 -0.606 -1.031  1.042],-3.4332274e-06,-9.849022,2.5916739,0.011274202,9.05404,207.99867272377014,1.1274203,20.583778,100.0,244.66585,-4.2735186,0.015700934,0.00042431938,190.81439,1.5700935,0.13800073,1200,4.8581944,34.01993,26.65,-112.2580806099654,13.800073,0.04243194,12,27500,42.757843,100,-1.1320554,90.685844
[ 0.867 -0.514 -0.595 -1.041  1.172],2.4414062e-06,-9.727928,2.7339082,0.010378044,8.975238,225.62503147125244,1.0378042,11.436645,100.0,257.7889,-3.2752435,0.015274551,0.00056608854,248.56923,1.5274551,0.08202352,1300,8.743823,31.583231,26.6,-111.53999455625335,8.202352,0.056608852,13,30160,41.35411,100,0.8008874,90.61356
[ 0.858 -0.542 -0.564 -1.035  1.314],3.5858154e-06,-13.203873,2.8006723,0.010093877,12.37392,245.16403436660767,1.0093876,20.232288,100.0,271.86417,2.6106524,0.010445563,0.0013694572,1438.945,1.0445564,0.0834862,1400,4.9425945,48.288246,32.27,-111.99312174682991,8.34862,0.13694572,14,33387,45.799614,100,6.004701,92.13697
[ 0.744 -0.582 -0.51  -1.148  1.381],-5.0735475e-06,-15.14286,2.886608,0.011151714,14.820101,272.41579389572144,1.1151716,20.617962,100.0,278.3778,-2.8301163,0.016293652,0.0009272556,514.2428,1.6293652,0.13633803,1500,4.85014,31.900148,39.7,-113.28786524411588,13.633802,0.09272556,15,37357,50.68207,100,0.89045995,93.29283
[ 0.736 -0.578 -0.409 -1.179  1.467],4.959106e-07,-18.076324,2.9726543,0.009197129,15.08432,299.1165626049042,0.9197129,30.195662,100.0,286.1063,-2.0017817,0.009516131,0.000375661,656.7038,0.95161307,0.056584254,1600,3.311734,48.295815,42.26,-113.09625434150661,5.6584253,0.037566103,16,41583,76.63503,100,2.6469429,93.6508
[ 0.643 -0.62  -0.403 -1.209  1.554],1.8310546e-06,-16.104263,3.0599477,0.027272243,14.022669,326.16355657577515,2.7272248,1.9098262,100.0,296.01227,33.90939,0.13369188,0.00012529574,166390.58,13.369187,1.0978538,1700,52.360786,3.9950793,41.05,-114.98180435757293,109.78538,0.012529574,17,45688,37.595684,100,42.977562,93.42592
[ 0.54  -0.699 -0.214 -1.176  1.641],-3.3569336e-06,-24.863106,3.1402185,0.009095602,16.951357,362.92976117134094,0.9095604,23.209318,100.0,304.62167,-2.6833346,0.01147407,6.666812e-05,451.09366,1.1474072,0.08672596,1800,4.3086143,38.589584,58.41,-115.48883335132955,8.672596,0.006666812,18,51529,41.193306,100,0.16685796,95.04564
[ 0.485 -0.681 -0.254 -1.246  1.721],-3.4713746e-06,-24.374748,3.2249935,0.010121308,16.214172,396.0243191719055,1.0121309,21.425037,100.0,312.5397,-3.455238,0.015594229,0.00067127746,523.3805,1.559423,0.116155155,1900,4.6674366,29.639673,55.38,-115.33653105918998,11.615516,0.06712775,19,57067,44.46476,100,-0.25314546,94.834724
[ 0.468 -0.728 -0.201 -1.18   1.806],1.7166137e-06,-21.143997,3.1848934,0.01557159,17.468302,430.54002118110657,1.5571591,14.832331,100.0,320.89465,24.29222,0.05392092,0.00023218033,49748.79,5.3920927,0.52739006,2000,6.7420287,7.6977453,58.49,-120.19597261233076,52.73901,0.023218034,20,62916,48.141655,100,28.458946,94.92523
[ 0.204 -1.012 -0.183 -1.069  1.766],-9.918213e-07,-32.4971,3.2268603,0.00845363,18.897964,479.8211717605591,0.845363,25.448029,100.0,317.07413,3.2382445,0.010248904,0.0009524503,684.9388,1.0248904,0.065812044,2100,3.9295774,40.48854,83.98,-122.32855038997184,6.5812044,0.09524503,21,71314,42.45678,100,6.04367,96.08672
[ 0.025 -1.187 -0.144 -1.067  1.808],3.0517577e-07,-34.765392,3.2682815,0.0108935945,20.972382,537.7440960407257,1.0893594,44.581768,100.0,320.87445,0.44703174,0.009279726,0.00093236094,881.8009,0.92797273,0.049202107,2200,2.2430694,57.949127,115.76,-126.14008435238082,4.920211,0.093236096,22,82890,54.34765,100,3.1602259,96.82066
[-0.083 -1.276 -0.144 -1.109  1.849],-6.1035155e-07,-33.340534,3.3019452,0.010589364,20.023003,598.1182353496552,1.0589364,35.98473,100.0,325.40256,3.937607,0.019664038,0.0013197035,3299.8003,1.9664037,0.19656248,2300,2.7789564,22.480467,115.97,-128.9850116485029,19.656248,0.13197036,23,94487,42.767975,100,6.31411,96.77554
[-0.156 -1.348 -0.107 -1.212  1.883],-3.0517579e-06,-42.311092,3.3277411,0.014030691,22.762562,669.7285461425781,1.4030691,10.506761,100.0,328.359,15.548552,0.045961432,0.00020542528,20826.992,4.5961437,0.40515804,2400,9.517681,8.524623,135.38,-127.59743132272614,40.515804,0.020542528,24,108025,55.065186,100,21.211224,97.11498
[-0.413 -1.524 -0.035 -1.188  1.908],-6.5612794e-06,-52.01166,3.3617594,0.011327728,20.739681,779.8832769393921,1.1327729,39.139572,100.0,331.04037,1.7858584,0.013688309,0.00023984913,1339.812,1.3688309,0.106618434,2500,2.554959,40.647007,204.94,-125.16329863342939,10.661843,0.023984915,25,128519,35.27298,100,4.557081,97.778534
[-0.495 -1.589 -0.077 -1.238  1.942],4.043579e-06,-44.157757,3.2718966,0.2872515,20.509752,888.4875199794769,28.725153,0.028569153,100.0,334.704,659.28406,2.791297,5.2322143e-08,55698470.0,279.12973,28.059513,2600,3500.2788,1.0479425,204.04,-127.45348913776841,2805.9514,5.2322143e-06,26,148923,41.25344,100,746.3678,97.7507
[-0.842 -1.582 -0.141 -1.063  1.853],-1.335144e-07,-46.214607,3.2655327,0.017004061,16.72444,1031.5917921066284,1.7004061,7.754205,100.0,325.64917,5.467034,0.05024426,7.381516e-05,11090.984,5.0244265,0.44107482,2700,12.896228,10.276358,270.44,-123.0666772917153,44.107483,0.0073815156,27,175967,30.18021,100,10.9991255,98.089874
[-0.898 -1.562 -0.002 -1.1    1.846],-2.2888185e-06,-50.61201,3.308225,0.02142508,17.490625,1181.6078143119812,2.1425083,9.04898,100.0,324.8662,3.9676046,0.07290316,2.887882e-05,13435.552,7.290316,0.6868739,2800,11.05097,7.9501495,296.15,-119.19801917078445,68.68739,0.002887882,28,205582,40.08452,100,9.575922,98.19502
[-0.967 -1.518  0.069 -1.05   1.889],2.861023e-07,-44.609207,3.3515434,0.014508758,17.359606,1311.901341676712,1.4508761,4.5920024,100.0,329.3355,16.928951,0.060233835,5.8011883e-05,46226.938,6.023384,0.5838191,2900,21.776993,5.483851,295.43,-120.02663340031224,58.381912,0.0058011883,29,235125,36.047424,100,23.868036,98.18744
[-1.072 -1.62   0.025 -0.976  1.932],4.5776366e-07,-47.89437,3.3827178,0.009893614,14.073595,1508.2673950195312,0.9893613,15.572137,100.0,333.5579,0.3977332,0.01834629,3.9141796e-05,1577.3739,1.8346289,0.13363777,3000,6.421726,22.529425,378.19,-132.93260984711816,13.363778,0.0039141797,30,272944,28.559025,100,4.443391,98.29701
[-1.047 -1.63  -0.05  -1.027  1.963],-8.392334e-07,-37.022224,3.437216,0.020289406,15.322726,1692.6271481513977,2.0289404,1.0301023,100.0,337.03772,7.38286,0.107097484,1.0487147e-05,30833.775,10.709749,1.0503268,3100,97.07774,3.464704,359.42,-129.63607290824973,105.032684,0.0010487147,31,308886,32.20704,100,19.54195,98.27864
[-1.103 -1.575 -0.062 -1.123  2.018],-1.14440915e-07,-58.942856,3.4725688,0.009546087,18.914236,1850.7984447479248,0.9546087,27.095451,100.0,341.75687,-2.113779,0.014419986,0.0007247486,1200.1497,1.4419985,0.12699413,3200,3.6906564,30.471022,306.27,-123.36795061930516,12.699414,0.07247486,32,339513,32.75943,100,1.6607409,98.19438
[-1.155 -1.585 -0.04  -1.064  2.053],2.632141e-06,-55.942825,3.4840262,0.009958415,19.343874,2022.07581949234,0.9958415,55.712696,100.0,345.39212,0.66448784,0.0074928487,0.0014266948,460.4495,0.74928486,0.04013879,3300,1.794923,63.8518,337.22,-125.92657180032963,4.013879,0.14266948,33,373235,39.378372,100,3.1627963,98.25314
[-1.34  -1.603 -0.032 -1.102  2.065],-2.9373168e-06,-45.703335,3.523368,0.012568328,16.089703,2195.855811357498,1.2568327,10.354502,100.0,346.87918,2.3523407,0.038763873,9.256658e-05,6797.7896,3.876387,0.32372782,3400,9.657635,9.512394,345.09,-130.46981892835277,32.372784,0.009256658,34,407744,30.943697,100,7.086709,98.24385
[-1.494 -1.689 -0.052 -1.026  2.104],-3.8146972e-08,-44.440033,3.5583057,0.010911,14.422301,2408.9430599212646,1.0911,19.737505,100.0,350.85547,-1.9762111,0.018081898,0.00043144292,1571.8059,1.8081899,0.12762502,3500,5.0664964,26.69251,419.56,-137.13881994308898,12.762503,0.043144293,35,449700,41.34939,100,1.3581066,98.34627
[-1.444 -1.683 -0.105 -0.985  2.139],-8.773804e-07,-40.10038,3.5621407,0.0095335925,15.829096,2613.976375579834,0.95335925,35.994877,100.0,354.4939,1.3007305,0.010301573,0.00086707965,461.84647,1.0301573,0.063841775,3600,2.7781732,46.13398,400.95,-141.70044157589717,6.3841777,0.086707965,36,489795,31.544561,100,3.528688,98.29318
[-1.477 -1.682 -0.074 -1.096  2.143],3.4332277e-07,-34.32466,3.5938168,0.008985749,13.449783,2801.329705476761,0.898575,39.341263,100.0,355.06686,-2.1752017,0.009145971,0.00028707724,185.86269,0.91459715,0.0614339,3700,2.5418603,49.11641,371.21,-141.45167752298968,6.14339,0.028707724,37,526916,34.416634,100,-0.3461626,98.237885
[-1.47  -1.674 -0.07  -1.117  2.175],-2.2888185e-06,-53.728825,3.6158588,0.00995925,17.867336,2973.1474680900574,0.99592507,31.802193,100.0,357.59073,1.569874,0.015001244,0.0005485041,2105.3186,1.5001243,0.13461387,3800,3.1444373,30.592016,355.2,-130.75780269277664,13.461388,0.054850414,38,562436,31.850101,100,4.7457066,98.26375
[-1.516 -1.67  -0.033 -1.216  2.197],4.5776366e-07,-45.473473,3.6523445,0.014784941,17.355349,3143.82159280777,1.4784943,12.081229,100.0,360.06564,1.6123586,0.053610925,0.00010854193,5102.6704,5.3610935,0.5302416,3900,8.277304,7.0680203,342.42,-120.45755326770565,53.024162,0.010854193,39,596678,45.60698,100,5.986114,98.29643
[-1.53  -1.69   0.037 -1.313  2.233],8.010864e-07,-54.10079,3.6690316,0.009759027,19.21692,3310.7632813453674,0.97590274,55.24034,100.0,363.4311,-1.5014641,0.008131547,0.0014276709,354.2007,0.8131547,0.047989573,4000,1.8102713,59.0222,332.52,-124.03993232838802,4.7989573,0.1427671,40,629930,40.920868,100,0.92488986,98.25394
[-1.569 -1.869 -0.006 -1.33   2.25 ],-2.9754638e-06,-59.29418,3.7276127,1.1351353,16.182182,3487.384067773819,113.51354,0.012573958,100.0,364.9267,344.54498,11.228861,9.495102e-08,27166236.0,1122.8861,112.86082,4100,7952.945,1.0115987,352.22,-122.99042280669204,11286.082,9.495102e-06,41,665152,38.024616,100,520.8054,98.30162
[-1.613 -1.824 -0.006 -1.585  2.309],-2.8991699e-06,-57.782307,3.7684312,0.010527479,19.871601,3616.2885897159576,1.052748,26.415194,100.0,370.83517,-0.7202079,0.01791581,0.00022431235,2253.8494,1.7915813,0.1455355,4200,3.7857,25.666225,261.98,-119.83091491464589,14.553551,0.022431236,42,691350,30.566303,100,3.0273361,98.08519
[-1.615 -1.908  0.038 -1.581  2.349],7.6293946e-07,-52.45959,3.788789,0.010548367,19.24654,3743.842477083206,1.0548366,61.024693,100.0,375.09445,-1.2684623,0.0076382915,0.0007191181,463.3133,0.7638292,0.042190116,4300,1.6386809,65.60167,264.41,-120.27242357969484,4.219012,0.07191181,43,717791,36.950134,100,0.9700054,98.090256
[-1.659 -1.906 -0.034 -1.621  2.369],-1.5258789e-07,-54.077152,3.8231509,0.010153525,19.085613,3864.3001101017,1.0153524,46.045956,100.0,377.07632,-3.909134,0.012536278,0.001243723,561.5873,1.2536279,0.111599006,4400,2.1717434,39.613117,251.26,-125.79041141033777,11.159901,0.1243723,44,742917,44.300278,100,-1.2527134,97.99872
[-1.699 -1.953 -0.046 -1.647  2.404],-6.1035155e-07,-56.599335,3.8504832,0.011014965,19.036211,3988.012303352356,1.1014965,62.6071,100.0,380.42844,-2.1210043,0.006850558,0.0019351366,394.50455,0.6850558,0.050566282,4500,1.5972629,72.108475,272.21,-117.83638817183244,5.056628,0.19351366,45,770138,35.399815,100,0.2633912,98.13423
[-1.714 -1.967 -0.046 -1.665  2.431],-3.6239624e-06,-54.165657,3.8629653,0.010005899,19.116453,4084.1536405086517,1.0005901,82.24319,100.0,383.2428,-1.541436,0.0045169643,0.0025520634,363.00647,0.45169646,0.026763577,4600,1.2159061,83.07103,255.51,-130.36748129635066,2.6763577,0.25520635,46,795689,37.853653,100,0.44947952,97.97955
[-1.777 -2.042 -0.065 -1.722  2.443],-2.9754638e-06,-54.21583,3.8487322,0.015787262,19.864462,4184.001891851425,1.5787265,16.81878,100.0,384.48935,19.365814,0.06845201,0.00012645657,56169.418,6.8452,0.6908458,4700,5.945734,5.0504975,257.08,-124.10832948007061,69.08458,0.012645657,47,821397,37.34325,100,23.772455,98.03447
[-1.888 -2.082  0.124 -1.847  2.43 ],-2.632141e-06,-49.516613,3.84377,0.010666189,19.210033,4280.920314073563,1.066619,55.367344,100.0,383.2227,3.3124478,0.010726067,0.0020310434,1106.2667,1.0726068,0.08350581,4800,1.8061187,49.720108,257.72,-115.1642802451309,8.350581,0.20310435,48,847169,36.697044,100,5.5306587,98.10628
[-1.995 -2.131  0.032 -1.732  2.425],-1.7547608e-06,-47.84081,3.8746698,0.010577669,16.657938,4394.62904548645,1.0577669,19.887043,100.0,382.78232,0.7434547,0.024291584,0.0006343132,1206.5118,2.4291587,0.22397171,4900,5.0283995,15.939055,300.37,-119.59762131375327,22.397171,0.06343132,49,877206,35.5745,100,4.319411,98.20366
[-1.947 -2.191 -0.098 -1.643  2.455],-2.0980835e-06,-53.26027,3.9247975,0.016270392,16.41728,4514.259041547775,1.6270392,9.063264,100.0,385.69165,0.13236618,0.04144567,6.018869e-05,5361.823,4.144567,0.37228435,5000,11.033552,13.353329,332.67,-119.38456823053501,37.228436,0.006018869,50,910473,31.434753,100,6.029484,98.28226
[-1.935 -2.206 -0.156 -1.638  2.506],-2.7656556e-06,-40.692146,3.9491537,0.012403312,17.063171,4610.128533124924,1.2403313,11.0092325,100.0,391.12335,4.722454,0.02837552,9.633419e-05,5840.519,2.8375518,0.26679772,5100,9.083285,16.041735,301.82,-123.8569315670126,26.679773,0.009633419,51,940655,35.305145,100,8.810453,98.17926
[-2.037 -2.207 -0.036 -1.826  2.53 ],3.5095215e-06,-54.825157,3.9518304,0.011148777,20.222794,4702.4204621315,1.1148778,54.468044,100.0,393.08786,1.9650407,0.009099674,0.00042386752,912.6527,0.9099675,0.048541658,5200,1.8359389,60.01722,290.54,-120.67327378094876,4.854166,0.04238675,52,969709,38.71462,100,4.441252,98.16931
[-2.173 -2.38  -0.009 -1.955  2.532],-1.9073486e-06,-52.16033,3.9854176,0.0120739415,19.235565,4789.449293136597,1.2073941,25.049961,100.0,393.44437,0.79190683,0.026925232,0.000478459,5143.8945,2.6925232,0.2170729,5300,3.992022,16.74193,297.04,-111.18575859718514,21.70729,0.0478459,53,999413,40.138428,100,4.2657933,98.25137
[-2.22  -2.373  0.105 -1.993  2.567],2.1362305e-06,-39.47725,4.030947,0.010442435,16.250603,4864.2124083042145,1.0442436,20.832884,100.0,397.22583,-2.1648953,0.015866837,0.00025671365,1007.892,1.5866836,0.10729885,5400,4.8001037,30.222883,272.53,-118.83739048565957,10.729885,0.025671367,54,1026666,38.71442,100,0.71814656,98.1279
[-2.272 -2.437  0.053 -2.032  2.611],-1.5258789e-06,-56.539654,4.0730214,0.0104259895,19.07656,4947.503014326096,1.0425991,22.90346,100.0,401.21008,-2.8541079,0.017509319,0.000265297,822.0084,1.7509319,0.12835601,5500,4.366153,26.175573,302.14,-110.556290416174,12.835602,0.026529701,55,1056880,32.8756,100,1.083943,98.26817
[-2.306 -2.465 -0.006 -2.026  2.654],4.196167e-07,-52.90623,4.1130295,0.016791435,18.879097,5028.784604310989,1.6791437,17.236828,100.0,405.5386,5.9975343,0.041304845,0.00024023619,7850.7026,4.130485,0.3464739,5600,5.8015313,14.182409,291.47,-125.73181643430152,34.647392,0.024023619,56,1086027,33.369576,100,10.245264,98.13725
[-2.528 -2.621  0.045 -2.104  2.694],-8.392334e-07,-57.859734,4.135496,0.009556655,19.756647,5105.786386489868,0.9556655,19.00666,100.0,409.3743,0.43263197,0.015631793,0.00018668418,2307.8523,1.5631791,0.121229455,5700,5.2613134,27.207144,300.08,-121.37336429959547,12.122946,0.018668419,57,1116035,43.332985,100,4.856501,98.191055
[-2.803 -2.894  0.179 -2.087  2.716],8.010864e-07,-61.048786,4.1600842,0.009678638,13.993661,5186.430373907089,0.9678638,64.17894,100.0,411.51465,-3.0738864,0.007080054,0.0015705838,229.21944,0.70800537,0.052784543,5800,1.5581436,65.14183,325.94,-129.33580930530346,5.2784543,0.15705839,58,1148629,34.316612,100,-0.5337356,98.20638
[-2.803 -2.893  0.182 -2.087  2.741],-2.1362305e-06,-48.705574,4.2100067,0.014639312,18.276031,5269.276596069336,1.4639313,6.94784,100.0,414.3849,3.0198503,0.059201546,0.0001318499,11142.164,5.920155,0.5777845,5900,14.392962,5.76235,332.94,-124.19498259780545,57.77845,0.01318499,59,1181923,41.63873,100,9.179167,98.25395
[-2.835 -2.89   0.054 -2.098  2.791],9.3460085e-07,-49.480167,4.2499256,0.010587538,17.182909,5355.052047729492,1.0587537,24.593544,100.0,419.35132,-1.4074652,0.013773244,0.00029247205,1618.7776,1.3773245,0.09008358,6000,4.0661077,37.142677,343.97,-136.9819254754607,9.008358,0.029247206,60,1216320,37.426632,100,1.9183595,98.20352
[-2.880e+00 -2.908e+00 -2.728e-03 -2.113e+00  2.831e+00],-1.8692017e-06,-50.726513,4.2761507,0.009502821,19.211533,5437.655544519424,0.95028216,58.290295,100.0,423.30167,-2.7824843,0.0071027395,0.0008417054,506.60455,0.7102739,0.034598127,6100,1.7155515,64.15772,357.1,-123.93440946114627,3.4598129,0.08417054,61,1252030,35.079605,100,-0.56778073,98.30588
[-2.889 -2.917 -0.016 -2.127  2.857],4.119873e-06,-41.129295,4.304673,0.008757581,15.770603,5507.950522184372,0.87575805,54.0716,100.0,426.2441,-2.4783466,0.004717928,0.0008532724,231.88773,0.47179276,0.02208502,6200,1.8493996,77.505875,320.97,-140.45641446331297,2.208502,0.08532724,62,1284127,40.900616,100,-0.6139195,98.1248
[-2.89  -2.917 -0.013 -2.129  2.886],-4.653931e-06,-48.670776,4.338886,0.009662811,16.502394,5584.127598762512,0.9662812,40.746822,100.0,428.84494,-2.8384066,0.0064822277,0.0006633278,305.41513,0.64822274,0.03024641,6300,2.454179,68.96408,335.21,-142.27777195494542,3.024641,0.06633278,63,1317648,41.019123,100,-0.29684782,98.15111
[-2.892 -2.918 -0.014 -2.133  2.919],-1.9073486e-06,-45.053635,4.363044,0.0090117715,18.59405,5655.75985121727,0.9011772,61.300995,100.0,432.38678,-1.667581,0.006542788,0.0011496298,479.32956,0.6542788,0.04695939,6400,1.6312948,65.482956,327.71,-152.45988109255907,4.695939,0.11496299,64,1350419,38.82816,100,0.25053477,98.06955
[-2.921 -2.939 -0.072 -2.172  2.944],7.6293944e-08,-50.00879,4.399382,0.013478284,21.125454,5725.088264703751,1.3478284,13.210724,100.0,434.63742,3.7097163,0.030203251,0.00012231393,6795.5405,3.020325,0.26663482,6500,7.5696077,16.60701,312.07,-146.20596682242157,26.663483,0.012231393,65,1381626,42.02648,100,8.296009,98.062996
[-3.079 -3.064 -0.194 -2.38   2.981],2.1362305e-06,-50.937447,4.401413,0.010260372,21.499445,5784.168560028076,1.0260371,81.74063,100.0,438.2403,1.9597414,0.0047373697,0.0030573832,561.04425,0.47373697,0.026114244,6600,1.2233818,82.42793,306.02,-138.38312253588214,2.6114244,0.30573833,66,1412228,50.73804,100,3.837747,98.0956
[-3.184 -3.155 -0.127 -2.486  2.982],-1.2588501e-06,-46.266167,4.429402,0.008956807,18.595549,5840.043736696243,0.8956808,61.67418,100.0,438.5991,-3.3874555,0.0054190303,0.0015902205,404.13748,0.541903,0.02758821,6700,1.6214241,73.20393,273.94,-133.55850941444862,2.758821,0.15902205,67,1439622,41.108032,100,-1.4236856,98.0249
[-3.192 -3.162 -0.12  -2.482  3.01 ],1.6784668e-06,-46.583584,4.409925,0.009977411,19.682825,5899.466639280319,0.9977411,48.261616,100.0,441.3874,4.5039697,0.012256653,0.00059553713,978.53534,1.2256652,0.07516159,6800,2.07204,39.855484,314.64,-137.9685764353123,7.516159,0.059553716,68,1471086,38.16322,100,6.7391405,98.123
[-3.288 -3.318  0.034 -2.605  2.991],1.5258789e-07,-56.364338,4.3512683,0.027140165,18.258905,5965.475505113602,2.7140162,4.1956253,100.0,439.11368,44.873302,0.1811941,2.1188307e-05,254129.52,18.119411,1.8133358,6900,23.834349,2.1943235,324.02,-137.7808354450749,181.33359,0.0021188308,69,1503488,34.471672,100,54.045742,98.14955
[-3.275 -3.345 -0.203 -2.616  2.932],2.5939942e-06,-51.03594,4.374722,0.010719579,18.922232,6021.075459241867,1.071958,70.83861,100.0,433.42563,-2.3544874,0.0053039514,0.0015659276,509.53085,0.53039515,0.028040566,7000,1.4116596,80.33302,279.88,-125.40281601802788,2.8040566,0.15659277,70,1531476,33.158432,100,-0.33323812,98.10388
[-3.279 -3.346 -0.199 -2.617  2.955],1.4877319e-06,-52.027287,4.369978,0.01201495,18.129375,6082.186080932617,1.2014949,55.468033,100.0,435.73795,2.5708835,0.01573934,0.001019563,1117.3949,1.573934,0.13780671,7100,1.8028402,36.81822,315.04,-130.70913550046455,13.780671,0.1019563,71,1562980,46.282463,100,4.8994493,98.17021
[-3.344 -3.316  0.015 -2.589  2.95 ],-4.4250487e-06,-51.443306,4.393383,0.009848764,17.375021,6144.479198217392,0.98487633,60.812824,100.0,435.28302,-1.3849909,0.005650727,0.0018584181,391.8793,0.5650727,0.028647168,7200,1.64439,75.23385,314.48,-133.37721721077781,2.8647168,0.18584181,72,1594428,40.817657,100,0.8139321,98.151764
[-3.381 -3.383  0.098 -2.607  2.974],2.2888185e-06,-41.545307,4.4285316,0.008920139,15.927627,6206.602454185486,0.8920139,40.76189,100.0,437.67807,-3.9125383,0.006977943,0.00064220495,253.94766,0.69779426,0.05429825,7300,2.4532719,62.036896,306.37,-128.00662820054612,5.429825,0.064220496,73,1625065,49.80794,100,-1.3120782,98.16437
