ReturnMeanIW,EntropyCoefficient,StdIW,TimeElapsed,ReturnStepMax,InitialReturnMax,MaxIWNorm,Weights,InitialReturnStd,EmpiricalD2,MaxIW,MeanIWNorm,ReturnStepMaxmin,MinIW,MeanEntropy,EpRewMean,InitialBound,MeanIW,Iteration,J_sample_variance,ESSRenyi,InitialReturnMean,TimestepsSoFar,EpisodesSoFar,EpThisIter,ESSClassic,MinIWNorm,StdIWNorm,Bound,EpLenMean,InitialReturnMin
2.1888075,7.299999,1.2328814,390.4793577194214,100.0,51.754253,0.11131693,[ 0.985 -0.607 -0.527 -1.194 -0.232],11.916773,2.096233,11.131693,0.010624673,90.2164,0.16032213,1.2372524,-106.3711790469515,6.9365644,1.0624675,27,1048.9211,47.704624,-8.087158e-06,65304,2700,100,42.61638,0.0016032213,0.012328815,-0.30891705,24.22,-10.868141
0.47943532,7.200001,0.4030803,404.85516571998596,100.0,41.00487,0.02851788,[ 0.952 -0.637 -0.534 -1.204 -0.182],13.025743,1.1678332,2.851788,0.010416589,91.025055,0.37917644,1.2409532,-106.6295516838682,7.5413914,1.0416589,28,221.52928,85.62867,3.2424928e-06,67978,2800,100,86.97634,0.0037917644,0.0040308028,-0.9976467,26.74,-12.522591
23.972075,7.1000023,6.221258,416.84730195999146,100.0,45.30015,0.6263285,[ 0.952 -0.639 -0.553 -1.206 -0.178],13.364418,32.867645,62.632854,0.014942044,90.638435,0.014981186,1.3232322,-106.4009633124528,7.300753,1.4942043,29,55380.85,3.0425057,-1.2588501e-05,70523,2900,100,5.453899,0.00014981185,0.062212583,15.315168,25.45,-11.271172
3.217855,7.0,0.9707746,430.50058364868164,100.0,58.077614,0.066516526,[ 0.969 -0.702 -0.564 -1.263 -0.096],15.615129,1.8080772,6.651653,0.012179787,91.1365,0.18960837,1.346595,-105.21649627822039,7.3266997,1.2179787,30,1474.4875,55.307373,-4.577637e-06,73199,3000,100,61.15204,0.0018960836,0.009707746,0.6147239,26.76,-14.005508
22.396679,6.9000015,5.7322574,442.6788880825043,100.0,49.110268,0.5762431,[ 0.98  -0.717 -0.579 -1.235 -0.072],12.742227,12.528888,57.624313,0.01551256,90.75343,0.015997749,1.398494,-106.05113765684426,7.6544924,1.551256,31,55242.316,7.9815545,-6.2561035e-06,75771,3100,100,6.8237166,0.00015997748,0.057322565,16.602295,25.72,-12.677246
14.571991,6.799999,2.879797,455.70322036743164,100.0,49.087696,0.2736351,[ 0.989 -0.739 -0.566 -1.306 -0.02 ],14.356907,3.6751795,27.363508,0.012420066,90.73054,0.0071728285,1.3964728,-106.59356571050928,7.873504,1.2420064,32,18591.602,27.209555,2.5939942e-06,78349,3200,100,15.683305,7.172828e-05,0.02879797,11.4351635,25.78,-12.081444
1.6492317,6.700001,0.41069913,472.05286741256714,100.0,55.864006,0.028988497,[ 1.084 -0.751 -0.604 -1.304 -0.023],17.997183,1.2291055,2.8988497,0.009880563,92.126785,0.14192508,1.3710471,-104.50755237996641,7.494229,0.98805636,33,643.0288,81.359985,-6.4849855e-06,81390,3300,100,85.267746,0.0014192507,0.0041069915,-0.41522312,30.41,-16.250885
6.509322,6.5999985,1.5810486,486.9994795322418,100.0,61.380535,0.13581388,[ 1.066 -0.728 -0.575 -1.296 -0.048],16.626842,3.599352,13.5813875,0.010369674,91.17247,0.065737516,1.3680681,-105.20228187779232,7.0028863,1.0369675,34,7010.438,27.78278,-5.1879883e-06,84078,3400,100,30.078224,0.00065737515,0.015810488,2.627626,26.88,-12.601944
3.095161,6.5,1.1701077,499.74706768989563,100.0,57.002396,0.07518758,[ 1.052 -0.746 -0.536 -1.298 -0.051],14.298691,1.7550473,7.5187583,0.011609585,90.624664,0.09357658,1.377882,-105.65488266543696,6.9923673,1.1609586,35,1182.8013,56.97852,4.5013426e-06,86601,3500,100,49.607533,0.0009357658,0.011701077,0.5779693,25.23,-12.589539
38.888893,6.3999977,12.956806,514.356351852417,100.0,57.17746,1.2937828,[ 0.997 -0.774 -0.548 -1.312 -0.041],15.313288,32.71271,129.37828,0.023054492,91.87795,0.00062520325,1.3135245,-105.76424596970126,6.9125214,2.3054492,36,139102.78,3.0569158,-4.7683716e-06,89571,3600,100,3.068869,6.252032e-06,0.12956806,27.988005,29.7,-15.474098
296.14304,6.299999,86.48898,531.6459391117096,100.0,50.603477,8.69822,[ 0.904 -0.831 -0.553 -1.297 -0.105],16.558262,1685.7289,869.822,0.0936912,92.086,0.00024157629,1.279499,-105.40404628668433,6.5884247,9.369119,37,9110130.0,0.05932152,3.4332274e-06,92620,3700,100,1.1598696,2.4157628e-06,0.8648898,226.88774,30.49,-15.205597
8.696964,6.200001,1.929304,548.3014390468597,100.0,49.88805,0.17726167,[ 0.942 -0.792 -0.52  -1.375 -0.139],14.675679,4.183891,17.726168,0.012053342,91.72284,0.015757974,1.2390633,-104.42856227005097,6.269967,1.2053342,38,4798.5464,23.901197,6.942749e-06,95490,3800,100,28.073788,0.00015757974,0.019293036,5.2955036,28.7,-15.274223
54.95868,6.0999985,14.409124,561.9216318130493,100.0,58.5597,1.4530958,[ 0.935 -0.751 -0.48  -1.397 -0.18 ],15.125698,77.1292,145.30959,0.022835694,91.5579,4.0221875e-07,1.1628625,-105.64107160950503,5.6062956,2.2835696,39,326991.97,1.2965257,1.9073486e-06,98329,3900,100,2.4500797,4.0221875e-09,0.14409123,37.81567,28.39,-13.38102
1.7741463,6.0,1.0399507,573.7102298736572,100.0,47.231937,0.058834553,[ 0.998 -0.724 -0.468 -1.349 -0.256],12.812193,1.7607436,5.8834553,0.011292238,89.7498,0.05155021,1.1149644,-105.82248529518598,5.402776,1.1292237,40,535.436,56.794186,-1.9454956e-06,100617,4000,100,54.108566,0.00051550206,0.010399507,-0.31496978,22.88,-10.305946
59.54609,5.8999977,24.443398,587.595377445221,100.0,51.93986,2.46044,[ 0.978 -0.738 -0.454 -1.349 -0.304],14.451304,88.48993,246.04399,0.03277795,90.860435,0.0045910347,1.1393815,-105.24463138289491,4.84696,3.2777941,41,332153.56,1.1300721,2.0980835e-06,103203,4100,100,1.7664447,4.5910347e-05,0.24443397,43.259636,25.86,-12.188194
3.796643,5.799999,1.17279,602.0268106460571,100.0,51.046185,0.073151164,[ 0.972 -0.719 -0.514 -1.354 -0.28 ],13.933617,2.2999656,7.315117,0.010998576,90.9924,0.1196255,1.1641144,-106.18080228998025,4.906874,1.0998577,42,1768.2816,43.478912,1.7929077e-06,105855,4200,100,46.79416,0.001196255,0.0117279,1.2161498,26.52,-12.148346
79.49496,5.699997,13.707519,614.4832627773285,100.0,57.999855,1.3780056,[ 0.982 -0.682 -0.502 -1.358 -0.255],17.58309,23.612394,137.80057,0.02338137,91.8512,0.0012914361,1.0842103,-104.80135691383272,4.702113,2.338137,43,639469.6,4.235064,-6.2561035e-06,108787,4300,100,2.8272655,1.2914361e-05,0.13707517,70.10041,29.32,-14.695366
4.692812,5.5999985,1.0958419,626.605551481247,100.0,54.958538,0.073674425,[ 0.889 -0.676 -0.473 -1.352 -0.335],13.819376,2.4046159,7.3674426,0.010186422,90.72685,0.048274763,1.0702422,-106.22759170124202,4.2396274,1.0186423,44,1476.6595,41.586685,2.670288e-06,111355,4400,100,46.353874,0.00048274762,0.010958418,1.8520374,25.68,-11.976532
4.150828,5.5,1.854524,638.9788630008698,100.0,49.33088,0.17179279,[ 0.884 -0.726 -0.499 -1.362 -0.349],14.629486,3.7654803,17.17928,0.010561705,90.71307,0.08103685,1.0674015,-105.45118765225841,4.241969,1.0561705,45,3358.859,26.557037,-2.2888183e-07,113900,4500,100,24.490805,0.0008103685,0.018545238,0.9599676,25.45,-11.983124
