VarJ,AvgVanillaIw,MaxNormIw,MinVanillaIw,SamplesThisIter,renyi2,MinNormIw,VanillaAvgRet,AvgRet,IterType,ESSRenyi,AvgNormIw,AvgDiscRet,VarNormIw,AvgEpLen,delta,VarVanillaIw,MaxVanillaIw,Bound,VarRet,EpsThisIter,J,VarDiscRet,BatchSize,ESSClassic
33984.473,1.0068102,0.0001891219,0.00031931527,50000,23.536985,2.1768895e-10,51.74389264268585,51.74389264268585,1,5.998147296101994e-09,6.863794e-07,51.74389264268585,5.439691e-13,6.177415369409439,0.4,1.1704175,277.41193,85.980515,8221.174845208589,8094,13088.871,8221.174845208589,100,40.9222952733115
129608.29,94303310000000.0,0.46677664,,50000,nan,,53.97574860074373,53.97574860074373,1,nan,7.111567e-07,53.97574860074373,3.10273e-07,6.400409626216078,0.4,inf,6.1897174e+19,674.4922,13867.22883003203,7812,332817.2,13867.22883003203,100,1.9975547888212906
17360.807,57278157000.0,0.24292178,,50000,nan,,52.54703737689045,52.54703737689045,1,nan,6.9531364e-07,52.54703737689045,1.2224145e-07,6.257822277847309,0.4,8.295351e+26,2.0011277e+16,255.99402,6620.493804666426,7990,125839.32,6620.493804666426,100,1.3426224577535038
58809.254,2658949400000.0,0.41167128,,50000,nan,,53.6787505325357,53.6787505325357,1,nan,7.0789446e-07,53.6787505325357,2.5091478e-07,6.3710499490316,0.4,3.5400506e+30,1.5462942e+18,625.84326,7047.502222704925,7848,85251.27,7047.502222704925,100,1.912502670291142
38184.195,1.1201509,0.04330931,2.1889296e-08,50000,32.1109,1.4666743e-14,57.513542543492974,57.513542543492974,1,1.1334775953167182e-12,7.5054817e-07,57.513542543492974,2.8279474e-09,6.754931099702783,0.4,6298.94,64636.73,362.08865,10050.022124707588,7402,17825.373,10050.022124707588,100,2.665544650163779
78240.664,104117790000000.0,0.4789314,,50000,nan,,52.7195102226321,52.7195102226321,1,nan,6.972335e-07,52.7195102226321,3.2037636e-07,6.275100401606426,0.4,inf,7.1518776e+19,414.156,7199.376664899106,7968,211429.98,7199.376664899106,100,1.9967495663683037
36121.3,1.935196e+22,0.38618642,,50000,nan,,63.00261389469541,63.00261389469541,1,nan,8.1150387e-07,63.00261389469541,2.6166333e-07,7.303534910896874,0.4,inf,9.209401e+27,691.3179,19443.77017393489,6846,322133.2,19443.77017393489,100,1.850120780059727
61495.758,1279584200000.0,0.3098533,,50000,nan,,50.72267777599072,50.72267777599072,1,nan,6.7503703e-07,50.72267777599072,1.4462546e-07,6.075334143377885,0.4,5.196679e+29,5.873505e+17,281.51367,9424.195218643195,8230,165133.7,9424.195218643195,100,1.7924796720744214
35198.36,13844621.0,0.49913692,2.6671213e-36,50000,nan,,52.56233423155904,52.56233423155904,1,nan,6.954877e-07,52.56233423155904,3.465445e-07,6.259389083625438,0.4,1.3732268e+20,9935994000000.0,476.64124,7086.573231720459,7988,34591.895,7086.573231720459,100,1.9999950096323569
46335.195,9643885000000.0,0.19928977,,50000,nan,,57.88312694873549,57.88312694873549,1,nan,7.5462583e-07,57.88312694873549,1.1632454e-07,6.7916327085031245,0.4,1.8998182e+31,2.5468615e+18,845.8467,16216.628651087758,7362,191692.94,16216.628651087758,100,1.0305953855192314
2349.551,0.9998153,8.633102e-06,0.17799398,50000,inf,1.3141619e-07,56.40584115440411,56.40584115440411,1,,7.3818154e-07,56.40584115440411,1.8935125e-14,6.643635397289397,0.4,0.03473612,11.69293,-2.042076,15248.687500744729,7526,10572.732,15248.687500744729,100,42.50925829561663
