TimestepsSoFar,EpRewMean,EpLenMean,meankl,entropy,surrgain,EpisodesSoFar,TimeElapsed,optimgain,entloss,EpThisIter,ev_tdlam_before,DiscEpRewMean,Step_size
1448186,1111.6383598867271,112.19,0.009961546,0.4189424,0.0042551416,14800,4984.62165760994,0.0042551416,,100,,258.4395089435577,1.0
1459037,1074.841548503137,108.51,0.0075876154,0.4189424,0.007830315,14900,5015.32389998436,0.007830315,,100,,236.64310676574706,1.0
1469621,1048.1382923778508,105.84,0.009735381,0.4189424,0.0073218406,15000,5045.750401496887,0.0073218406,,100,,238.84312706947327,1.0
1480596,1087.2408157663092,109.75,0.00684688,0.4189424,0.0067140316,15100,5079.558593511581,0.0067140316,,100,,220.5432944393158,1.0
1491979,1128.0401198313873,113.83,0.009674046,0.4189424,0.010731541,15200,5111.213595151901,0.010731541,,100,,250.639929561615,1.0
1503461,1137.9435243489684,114.82,0.009924198,0.4189424,0.01214666,15300,5144.96049952507,0.01214666,,100,,276.2399565219879,1.0
1514818,1125.4366732753658,113.57,0.009503299,0.4189424,0.010623284,15400,5174.041172504425,0.010623284,,100,,273.6394315624237,1.0
1525992,1107.135118425467,111.74,0.009670265,0.4189424,0.00810206,15500,5205.442911624908,0.00810206,,100,,271.2374227809906,1.0
1536356,1026.144242900885,103.64,0.008510151,0.4189424,0.007315033,15600,5238.587768316269,0.007315033,,100,,222.04539471626282,1.0
1546957,1049.8378440616113,106.01,0.009434007,0.4189424,0.0056725037,15700,5271.836626291275,0.0056725037,,100,,235.54164234161377,1.0
1558158,1109.8370321795915,112.01,0.009832958,0.4189424,0.011623114,15800,5304.8795919418335,0.011623114,,100,,266.53916628837584,1.0
1568681,1042.0413907681648,105.23,0.008706702,0.4189424,0.008625278,15900,5331.899688243866,0.008625278,,100,,223.6457998943329,1.0
1579113,1032.9421001595265,104.32,0.007900926,0.4189424,0.004963103,16000,5362.530800104141,0.004963103,,100,,202.1456893348694,1.0
1589923,1070.7372985512145,108.1,0.009242653,0.4189424,0.0057831225,16100,5387.6605134010315,0.0057831225,,100,,229.74101797103881,1.0
1600704,1067.8370666712226,107.81,0.009062431,0.4189424,0.008065778,16200,5411.920660734177,0.008065778,,100,,232.8416149997711,1.0
1611621,1081.4363178088568,109.17,0.009363848,0.4189424,0.00468948,16300,5445.346027612686,0.00468948,,100,,235.6425783920288,1.0
1622553,1082.9418084353604,109.32,0.009264439,0.4189424,0.007057813,16400,5474.283262014389,0.007057813,,100,,225.74366857528688,1.0
1633115,1045.9416152229207,105.62,0.0081153875,0.4189424,0.00725927,16500,5496.877001047134,0.00725927,,100,,219.44561661720275,1.0
1643563,1034.5399871988725,104.48,0.0047980845,0.4189424,0.0025664135,16600,5520.660732507706,0.0025664135,,100,,209.04581615447998,1.0
1654461,1079.5422533500828,108.98,0.008713557,0.4189424,0.0060834754,16700,5549.937644958496,0.0060834754,,100,,240.4420545387268,1.0
1665055,1049.1400100493179,105.94,0.009182668,0.4189424,0.004977058,16800,5587.786139011383,0.004977058,,100,,245.74281565666197,1.0
1675816,1065.8339355443607,107.61,0.010113938,0.4189424,0.0055837524,16900,5622.367497205734,0.0055837524,,100,,237.1413292980194,1.0
1685948,1002.938696830087,101.32,0.0076174242,0.4189424,0.009020113,17000,5645.605327367783,0.009020113,,100,,216.24454807281495,1.0
1696224,1017.3300388601212,102.76,0.008919859,0.4189424,0.0045711864,17100,5668.757616758347,0.0045711864,,100,,219.8426729106903,1.0
1706967,1064.0275414455498,107.43,0.009655428,0.4189424,0.0076263584,17200,5694.6246700286865,0.0076263584,,100,,210.64157960891723,1.0
1717587,1051.728296868798,106.2,0.009322285,0.4189424,0.0064127403,17300,5725.110716104507,0.0064127403,,100,,234.94119223594666,1.0
1728402,1071.2341031598799,108.15,0.01019092,0.4189424,0.013657715,17400,5749.836190462112,0.013657715,,100,,227.0427546977997,1.0
1738386,988.1339433415341,99.84,0.009798319,0.4189424,0.0082475655,17500,5778.376422166824,0.0082475655,,100,,202.24638013839723,1.0
1748705,1021.6381936737511,103.19,0.004679317,0.4189424,0.005107342,17600,5812.092300891876,0.005107342,,100,,203.04464560508728,1.0
1759737,1092.931747365731,110.32,0.009130208,0.4189424,0.002757085,17700,5833.742483377457,0.002757085,,100,,267.339605884552,1.0
1770739,1089.9297831118436,110.02,0.0060491236,0.4189424,0.0058982964,17800,5865.4812178611755,0.0058982964,,100,,233.44154527664185,1.0
1781432,1059.0337320564236,106.93,0.009960396,0.4189424,0.008983035,17900,5897.9539704322815,0.008983035,,100,,219.94132468223572,1.0
1792023,1048.825758493228,105.91,0.008426754,0.4189424,0.008260279,18000,5917.842593669891,0.008260279,,100,,226.93928130149843,1.0
1802564,1043.8278472876596,105.41,0.008957299,0.4189424,0.0042961626,18100,5939.440265417099,0.0042961626,,100,,230.44185376167297,1.0
1812822,1015.5344924080975,102.58,0.0035027796,0.4189424,0.0031734228,18200,5965.398344516754,0.0031734228,,100,,230.8420717048645,1.0
1823438,1051.3265544970477,106.16,0.008753179,0.4189424,0.009271701,18300,6001.659857034683,0.009271701,,100,,230.33992042541504,1.0
1833836,1029.5297711360613,103.98,0.009935606,0.4189424,0.0071527087,18400,6032.833366155624,0.0071527087,,100,,206.04367210388185,1.0
1844055,1011.6305381276896,102.19,0.00889483,0.4189424,0.006697046,18500,6058.838921070099,0.006697046,,100,,220.44218002319337,1.0
1854680,1052.2274022540012,106.25,0.009942352,0.4189424,0.013261955,18600,6082.104723930359,0.013261955,,100,,236.04234011650087,1.0
1865633,1085.0226374999475,109.53,0.008787749,0.4189424,0.0015105047,18700,6106.943162918091,0.0015105047,,100,,230.63898121833802,1.0
1876052,1031.6286324970358,104.19,0.009088319,0.4189424,0.00409281,18800,6137.692938089371,0.00409281,,100,,207.1428149986267,1.0
1886263,1010.8302247465691,102.11,0.010042838,0.4189424,0.005173013,18900,6172.300511837006,0.005173013,,100,,209.5425489139557,1.0
1896893,1052.7320315653142,106.3,0.00988663,0.4189424,0.014119175,19000,6197.874657392502,0.014119175,,100,,233.94100284576416,1.0
1907401,1040.5362947088283,105.08,0.009525022,0.4189424,0.009464617,19100,6221.695974826813,0.009464617,,100,,215.54482520103454,1.0
1917918,1041.4388595651892,105.17,0.009196387,0.4189424,0.005442273,19200,6251.4938950538635,0.005442273,,100,,208.3452182865143,1.0
1928259,1023.8355312347102,103.41,0.010097746,0.4189424,0.0072519677,19300,6281.581909894943,0.0072519677,,100,,207.24487278938292,1.0
1938851,1048.9392140197012,105.92,0.009745442,0.4189424,0.013032527,19400,6312.466103076935,0.013032527,,100,,241.44411234855653,1.0
1949752,1079.8398317675292,109.01,0.009762514,0.4189424,0.0013410358,19500,6339.260091781616,0.0013410358,,100,,231.14201474189758,1.0
1961268,1141.3405372588031,115.16,0.010033947,0.4189424,0.007683567,19600,6367.502999305725,0.007683567,,100,,244.8404137611389,1.0
1972038,1066.7392070710825,107.7,0.009798139,0.4189424,0.009791671,19700,6390.708930492401,0.009791671,,100,,233.64238512039185,1.0
1982919,1077.8376018767663,108.81,0.009674026,0.4189424,0.0134417,19800,6417.161979913712,0.0134417,,100,,244.44383335113525,1.0
1993652,1063.0329261296547,107.33,0.00922448,0.4189424,0.007365752,19900,6438.554813861847,0.007365752,,100,,252.84081624984742,1.0
2003872,1011.7371111343929,102.2,0.009406749,0.4189424,0.002240182,20000,6467.21475815773,0.002240182,,100,,217.04433032989502,1.0
2014084,1010.9335122075303,102.12,0.009430699,0.4189424,0.01160972,20100,6491.860657215118,0.01160972,,100,,209.6437658214569,1.0
2024276,1008.9313275884138,101.92,0.00961924,0.4189424,0.0057247113,20200,6512.965589523315,0.0057247113,,100,,196.24347407341003,1.0
2035307,1092.8332333187057,110.31,0.009938253,0.4189424,0.0071341177,20300,6536.112956523895,0.0071341177,,100,,241.14085072517395,1.0
2046214,1080.4363510205428,109.07,0.007963449,0.4189424,0.0009420758,20400,6556.052655220032,0.0009420758,,100,,223.54239773750305,1.0
