EpThisIter,surrgain,EpisodesSoFar,optimgain,EpLenMean,meankl,TimestepsSoFar,DiscEpRewMean,TimeElapsed,entloss,Step_size,entropy,EpRewMean,ev_tdlam_before
100,0.013882508,4200,0.013882508,52.75,0.009943011,111839,49.97957120895386,1562.3491141796112,,1.0,0.4189424,517.3059342199297,
100,0.01993092,4300,0.01993092,55.92,0.009935922,117431,65.8775357246399,1593.9000782966614,,1.0,0.4189424,549.0067319112535,
100,0.017622065,4400,0.017622065,59.19,0.009772723,123350,60.277739963531495,1640.5068707466125,,1.0,0.4189424,581.6845692203865,
100,0.013629922,4500,0.013629922,58.05,0.00970447,129155,77.86912749290467,1672.9638850688934,,1.0,0.4189424,570.2977929053964,
100,0.012396979,4600,0.012396979,55.92,0.00936981,134747,57.778705253601075,1709.983110666275,,1.0,0.4189424,549.0018800835633,
100,0.016433205,4700,0.016433205,57.92,0.009977251,140539,70.87790737152099,1741.5208342075348,,1.0,0.4189424,569.0064911084951,
100,0.014812539,4800,0.014812539,60.89,0.0098668495,146628,77.87500957489014,1764.912070274353,,1.0,0.4189424,598.6925929902176,
100,0.013288814,4900,0.013288814,56.28,0.009175283,152256,65.47943141937256,1802.5845391750336,,1.0,0.4189424,552.578861699256,
100,0.016495602,5000,0.016495602,61.95,0.009590561,158451,79.37295122146607,1836.5646488666534,,1.0,0.4189424,609.2759668873853,
100,0.017173147,5100,0.017173147,64.09,0.009896247,164860,79.27211379051208,1863.1903507709503,,1.0,0.4189424,630.6837820156607,
100,0.0145223085,5200,0.0145223085,68.54,0.009942375,171714,115.56786924362183,1893.792869091034,,1.0,0.4189424,675.1720954310568,
100,0.022567304,5300,0.022567304,69.95,0.009976336,178709,93.76755680084229,1935.109563112259,,1.0,0.4189424,689.2689454257516,
100,0.019996362,5400,0.019996362,72.46,0.009872978,185955,122.96763157844543,1965.5366611480713,,1.0,0.4189424,714.3852033686003,
100,0.021585654,5500,0.021585654,77.69,0.009909437,193724,130.760815076828,1996.4751615524292,,1.0,0.4189424,766.6725486201747,
100,0.02140072,5600,0.02140072,77.84,0.009222809,201508,117.86653817176818,2030.2096781730652,,1.0,0.4189424,768.1726078623713,
100,0.028862532,5700,0.028862532,78.35,0.009574032,209343,102.36606408119202,2068.034541606903,,1.0,0.4189424,773.2718992538851,
100,0.023790618,5800,0.023790618,76.53,0.00995297,216996,134.66246698379516,2095.270852088928,,1.0,0.4189424,755.0775526465884,
100,0.031469464,5900,0.031469464,82.17,0.009908433,225213,131.46370062828063,2133.227070093155,,1.0,0.4189424,811.4591482978502,
100,0.023181563,6000,0.023181563,74.2,0.010002047,232633,124.76141670227051,2162.438660144806,,1.0,0.4189424,731.7676402239302,
100,0.02333046,6100,0.02333046,81.93,0.009611649,240826,147.95688433647155,2197.1432881355286,,1.0,0.4189424,809.055864270753,
100,0.020998398,6200,0.020998398,81.71,0.010027586,248997,133.36185767173768,2225.0475697517395,,1.0,0.4189424,806.8642396971309,
100,0.024346225,6300,0.024346225,82.51,0.0100249015,257248,147.0538927078247,2254.3007130622864,,1.0,0.4189424,814.8460106884828,
100,0.027915226,6400,0.027915226,87.89,0.0098890895,266037,148.75027153015137,2282.2803149223328,,1.0,0.4189424,868.6420960786061,
100,0.014638086,6500,0.014638086,71.61,0.009951581,273198,121.06450944900513,2316.3138768672943,,1.0,0.4189424,705.8762096648238,
100,0.014827673,6600,0.014827673,74.98,0.009905446,280696,107.96305788993836,2351.3144657611847,,1.0,0.4189424,739.5663262783478,
100,0.015050669,6700,0.015050669,84.19,0.009664487,289115,136.05618383407594,2384.191905260086,,1.0,0.4189424,831.6490790130191,
100,0.028046306,6800,0.028046306,78.69,0.0096560735,296984,122.76250302314759,2410.979961872101,,1.0,0.4189424,776.655078391268,
100,0.016226986,6900,0.016226986,70.61,0.00951152,304045,78.4704547214508,2440.960128068924,,1.0,0.4189424,695.8754806342636,
100,0.017743167,7000,0.017743167,73.67,0.009877219,311412,113.56363556861878,2469.852912902832,,1.0,0.4189424,726.4566059684025,
100,0.012502951,7100,0.012502951,73.58,0.009741266,318770,106.8652855873108,2502.5432271957397,,1.0,0.4189424,725.5699154932139,
100,0.0104313195,7200,0.0104313195,68.47,0.009765186,325617,112.16664367675781,2538.80828332901,,1.0,0.4189424,674.479735367958,
100,0.015309603,7300,0.015309603,73.83,0.009659167,333000,95.86793780326843,2567.5054564476013,,1.0,0.4189424,728.0784835158994,
100,0.021679023,7400,0.021679023,78.26,0.009722619,340826,134.95932334899902,2594.5640738010406,,1.0,0.4189424,772.3547410643665,
100,0.023158833,7500,0.023158833,73.33,0.009906749,348159,131.85351977348327,2621.2072989940643,,1.0,0.4189424,723.0619410866723,
100,0.013929248,7600,0.013929248,78.41,0.010000708,356000,151.4543864250183,2647.5518605709076,,1.0,0.4189424,773.8366728922812,
100,0.010930191,7700,0.010930191,71.11,0.010006751,363111,113.16186752319337,2673.469462156296,,1.0,0.4189424,700.8529752727675,
100,0.01958521,7800,0.01958521,76.47,0.010019068,370758,137.76403219223022,2691.8977484703064,,1.0,0.4189424,754.4521427098371,
100,0.019951535,7900,0.019951535,86.26,0.009938025,379384,131.45923643112184,2722.033121109009,,1.0,0.4189424,852.3345304532545,
100,0.021245908,8000,0.021245908,82.23,0.009990338,387607,141.25150334358216,2755.241714000702,,1.0,0.4189424,812.0486155150539,
100,0.018600706,8100,0.018600706,76.45,0.009907481,395252,84.66321583747863,2781.717525959015,,1.0,0.4189424,754.2413201839815,
100,0.023696773,8200,0.023696773,87.96,0.010035072,404048,117.06611317634582,2809.0411381721497,,1.0,0.4189424,869.3458789218798,
100,0.015221327,8300,0.015221327,91.77,0.010004273,413225,159.55007746696472,2842.596736907959,,1.0,0.4189424,907.4292297963406,
