entropy,optimgain,meankl,EpisodesSoFar,ev_tdlam_before,surrgain,DiscEpRewMean,EpLenMean,TimestepsSoFar,entloss,EpRewMean,EpThisIter,TimeElapsed,Step_size
0.4189424,0.004841691,0.009934027,22300,,0.004841691,244.94171904563905,111.2,2207455,,1101.7432446454852,100,2243.969034433365,1.0
0.4189424,0.008158336,0.010091421,22400,,0.008158336,258.94014311790465,112.97,2218752,,1119.4382945315074,100,2255.5408833026886,1.0
0.4189424,0.0077852076,0.01014035,22500,,0.0077852076,250.9402730178833,114.9,2230242,,1138.7415715999775,100,2266.6821513175964,1.0
0.4189424,0.0037202502,0.009503003,22600,,0.0037202502,267.34157965660097,110.65,2241307,,1096.2392091583904,100,2277.836771965027,1.0
0.4189424,0.007481998,0.009367397,22700,,0.007481998,270.8417693805695,110.65,2252372,,1096.2403509277376,100,2288.9161851406097,1.0
0.4189424,0.00527318,0.009805066,22800,,0.00527318,271.0406249332428,114.42,2263814,,1133.9419684387376,100,2300.182949781418,1.0
0.4189424,0.011871276,0.009868945,22900,,0.011871276,320.5347725582123,123.63,2276177,,1226.0399424821421,100,2312.3734183311462,1.0
0.4189424,0.0059535243,0.00870878,23000,,0.0059535243,262.5408899784088,114.18,2287595,,1131.5428462321674,100,2323.743797302246,1.0
0.4189424,0.005474021,0.009005474,23100,,0.005474021,261.1403357028961,114.39,2299034,,1133.6418696788019,100,2335.2121188640594,1.0
0.4189424,0.011680891,0.0095278965,23200,,0.011680891,250.94115206718445,114.04,2310438,,1130.1467541167422,100,2346.1932139396667,1.0
0.4189424,0.01198667,0.0097420085,23300,,0.01198667,283.53800443649294,116.54,2322092,,1155.1431961132591,100,2357.3400540351868,1.0
0.4189424,0.011582263,0.009904342,23400,,0.011582263,292.53694294929505,116.93,2333785,,1159.0414796956463,100,2369.2125046253204,1.0
0.4189424,0.0058978796,0.008335846,23500,,0.0058978796,263.0406111526489,114.17,2345202,,1131.4417320851096,100,2381.0973451137543,1.0
0.4189424,0.0035586255,0.0056887483,23600,,0.0035586255,288.9394397830963,115.62,2356764,,1145.941519183709,100,2391.792475938797,1.0
