LearnableVariance,MinIWNorm,OptimizationReturnMin,EpThisIter,EpLenMean,MaxIW,InitialReturnMin,EmpiricalD2,MeanIWNorm,StdIW,InitialReturnMean,J_sample_variance,MinIW,ESSRenyi,MeanIW,MeanEntropy,TimestepsSoFar,InitialReturnStd,Weights,InitialReturnMax,Iteration,OptimizationReturnMean,ReturnMeanIW,ReturnStepMax,VarianceInit,EpRewMean,InitialBound,MaxIWNorm,StdIWNorm,ReturnStepMaxmin,TimeElapsed,EpisodesSoFar,OptimizationReturnMax,ESSClassic,Bound
,0.00012035069,,100,79.23,186.13058,9.983399,22.817348,0.029276615,18.57606,782.03015,907967600.0,0.012035069,4.3826303,2.9276617,0.4189424,63931,386.9233,[-0.168  0.28  -1.268 -1.039],2329.3086,13,772.0468,3879.6096,10.0,-1.0,782.0301643148126,496.74927,1.8613058,0.18576057,10.0,30.611832857131958,1300,2319.3252,2.4237008,2516.894
,2.939006e-06,,100,99.86,408.16968,9.983483,146.94073,0.05118655,40.568417,988.2684,7399606300.0,0.0002939006,0.68054646,5.1186557,0.4189424,73917,531.09357,[-0.111  0.282 -1.277 -1.101],2569.5947,14,978.285,9685.142,10.0,-1.0,988.2684317291308,673.5586,4.0816965,0.40568417,10.0,35.211040019989014,1400,2559.6113,1.5670261,5870.2573
,0.0020242133,,100,140.69,13.591514,19.968037,1.8532758,0.011776354,1.5010691,1396.393,8587551.0,0.20242134,53.95851,1.1776354,0.4189424,87986,821.5898,[-0.061  0.3   -1.306 -1.242],3658.6665,15,1376.425,1707.3887,10.0,-1.0,1396.3929668341327,948.2996,0.13591513,0.015010689,10.0,40.33474326133728,1500,3638.6985,38.09924,1097.3765
,0.0010883872,,100,152.41,9.941256,59.92244,2.057364,0.0131507395,1.527861,1513.675,8295241.5,0.10883872,48.605885,1.315074,0.4189424,103227,970.54144,[-0.042  0.281 -1.322 -1.27 ],4998.0513,16,1453.7524,2009.3564,10.0,-1.0,1513.675066423063,901.54114,0.09941255,0.01527861,10.0,45.99588418006897,1600,4938.129,42.55693,1131.3416
,3.2666103e-06,,100,125.86,164.7222,29.950935,42.692436,0.026741218,16.41068,1248.1648,1995995400.0,0.00032666104,2.3423352,2.6741216,0.4189424,115813,627.9606,[-0.057  0.261 -1.351 -1.272],2919.405,17,1218.2139,6035.0693,10.0,-1.0,1248.1648603301264,890.6122,1.6472219,0.16410679,10.0,51.493704080581665,1700,2889.454,2.5865922,3698.84
,0.00026346935,,100,196.74,25.620785,39.939503,3.439686,0.012970095,2.8256314,1957.057,123279016.0,0.026346935,29.07242,1.2970096,0.4189424,135487,1258.1935,[-0.039  0.298 -1.337 -1.471],4998.895,18,1917.1177,3156.1213,10.0,-1.0,1957.0569808700022,1344.8198,0.25620785,0.028256316,10.0,59.31104803085327,1800,4958.9556,17.40285,2020.6425
,0.0032352752,,100,165.25,2.2293205,9.979927,1.1388769,0.010410016,0.3966405,1642.13,3497428.0,0.32352751,87.8058,1.0410017,0.4189424,152012,1059.3907,[-0.026  0.318 -1.382 -1.434],4998.4824,19,1632.1501,1866.9923,10.0,-1.0,1642.1300467136998,1029.9434,0.022293204,0.0039664055,10.0,65.2510085105896,1900,4988.5024,87.32291,1213.678
,0.0012215778,,100,221.61,5.058216,29.951483,1.5707176,0.010589996,0.87575066,2205.7666,16618413.0,0.12215778,63.66517,1.0589997,0.4189424,174173,1255.3226,[-0.029  0.334 -1.405 -1.478],4998.553,20,2175.815,2800.5608,10.0,-1.0,2205.7665635053263,1593.571,0.05058216,0.0087575065,10.0,73.79122948646545,2000,4968.6016,59.387238,2033.3071
,0.0018680199,,100,240.49,4.955458,289.7992,1.5533881,0.011153661,0.7837274,2395.2588,16051244.0,0.186802,64.37541,1.1153663,0.4189424,198222,1463.6904,[-0.029  0.337 -1.518 -1.433],4999.102,21,2105.4597,2960.8145,10.0,-1.0,2395.2587520934376,1782.9961,0.04955458,0.007837273,10.0,82.60488748550415,2100,4709.3027,66.946236,2197.7212
,0.006898861,,100,260.96,1.5701463,,1.0324093,0.010178139,0.18648235,2600.485,4602442.5,0.6898861,96.86081,1.0178139,0.4189424,224318,1607.0477,[-0.014  0.326 -1.55  -1.407],4999.215,22,2600.485,2827.0342,10.0,-1.0,2600.4849717622346,1988.2085,0.015701463,0.0018648236,10.0,91.87247920036316,2200,4999.215,96.752106,2204.9153
,0.00031618393,,100,254.04,8.289275,,2.3129,0.011698754,1.2282178,2531.531,25804940.0,0.031618394,43.235764,1.1698754,0.4189424,249722,1677.2694,[-0.012  0.327 -1.59  -1.415],4999.4473,23,2531.531,3411.7075,10.0,-1.0,2531.53106542196,1919.2263,0.08289275,0.012282178,10.0,101.03115892410278,2300,4999.4473,47.568577,2480.501
,0.00030518175,,100,262.55,7.9875054,9.981008,1.9332978,0.011359827,1.0815644,2615.771,28533820.0,0.030518176,51.72509,1.1359828,0.4189424,275977,1446.6461,[-0.03   0.342 -1.64  -1.449],4999.218,24,2605.79,3429.9148,10.0,-1.0,2615.7710041282617,2003.4944,0.07987505,0.010815645,10.0,112.00934982299805,2400,4989.237,52.452515,2578.5864
,0.00011802931,,100,295.76,27.804123,269.80164,8.720188,0.016773583,3.9776843,2948.3804,289353340.0,0.011802931,11.467643,1.6773584,0.4189424,305553,1387.71,[-0.041  0.381 -1.664 -1.48 ],4999.259,25,2678.5784,6332.8916,10.0,-1.0,2948.3801156219015,2336.0981,0.2780412,0.03977684,10.0,122.55581641197205,2500,4729.457,15.097694,4524.826
,0.002508732,,100,316.23,3.4332523,9.983686,1.2851584,0.010292059,0.523967,3154.2437,8502343.0,0.2508732,77.81142,1.029206,0.4189424,337176,1537.4493,[-0.025  0.368 -1.688 -1.55 ],4999.3115,26,3144.26,3503.853,10.0,-1.0,3154.243674313738,2541.9556,0.03433252,0.00523967,10.0,134.80519771575928,2600,4989.3276,79.41671,2809.7336
,0.0031582993,,100,330.89,3.2293513,19.963655,1.3230805,0.010405258,0.55943006,3300.7805,10219254.0,0.31582993,75.58119,1.0405258,0.4189424,370265,1626.144,[-0.024  0.357 -1.715 -1.565],4999.24,27,3280.817,3621.249,10.0,-1.0,3300.7804519298634,2688.501,0.032293513,0.0055943006,10.0,147.12954235076904,2700,4979.2764,77.576004,2916.9731
,0.00030780202,,100,348.48,5.4145727,19.964884,2.0420809,0.011879441,1.1610187,3477.9329,33945040.0,0.030780202,48.969658,1.187944,0.4189424,405113,1667.823,[-0.015  0.344 -1.722 -1.565],4999.2515,28,3457.9678,4569.19,10.0,-1.0,3477.932706408434,2865.6519,0.054145727,0.011610187,10.0,160.51419639587402,2800,4979.2866,51.146122,3694.2322
,0.00016063433,,100,390.29,29.429422,29.950424,4.4210067,0.013262075,3.1260543,3896.8872,240731790.0,0.016063433,22.619282,1.3262076,0.4189424,444142,1522.9075,[-0.013  0.381 -1.759 -1.603],4999.5215,29,3866.9368,5517.249,10.0,-1.0,3896.887233322804,3284.5732,0.2942942,0.031260546,10.0,173.82394647598267,2900,4969.5713,15.25297,4229.786
,0.00062752306,,100,400.46,6.260304,369.74167,2.0186498,0.012876227,1.221612,3999.3496,29800596.0,0.06275231,49.538063,1.2876227,0.4189424,484188,1468.595,[-0.004  0.369 -1.793 -1.66 ],4999.457,30,3629.6082,5111.498,10.0,-1.0,3999.3498712687065,3387.0437,0.06260304,0.012216119,10.0,186.90414881706238,3000,4629.7153,52.628883,4241.5386
,0.00023875207,,100,410.92,12.445436,,2.5482223,0.011306158,1.5294195,4103.9917,60273000.0,0.023875207,39.243046,1.1306157,0.4189424,525280,1370.6677,[-0.005  0.331 -1.821 -1.608],4999.521,31,4103.9917,4929.766,10.0,-1.0,4103.991717421584,3491.678,0.12445435,0.015294195,10.0,200.77367448806763,3100,4999.521,35.337147,3952.3203
,0.0043198173,,100,381.51,2.248168,,1.0734246,0.010067631,0.29501033,3809.65,5010460.0,0.43198174,93.15978,1.0067631,0.4189424,563431,1567.6663,[ 1.631e-03  3.058e-01 -1.843e+00 -1.623e+00],4999.4326,32,3809.65,3946.168,10.0,-1.0,3809.649821739506,3197.347,0.02248168,0.0029501035,10.0,214.6078712940216,3200,4999.4326,92.09243,3311.7842
,0.0037501429,,100,412.79,1.6363479,,1.1083547,0.010279414,0.27381465,4123.5854,4217545.0,0.3750143,90.22382,1.0279415,0.4189424,604710,1505.2754,[ 8.632e-04  3.167e-01 -1.865e+00 -1.635e+00],4999.4473,33,4123.5854,4297.547,10.0,-1.0,4123.585491827863,3511.2808,0.01636348,0.0027381463,10.0,229.85263538360596,3300,4999.4473,93.37469,3652.922
,0.0018786084,,100,405.69,3.6837745,329.69733,1.2965705,0.010665621,0.5620255,4052.1921,9420718.0,0.18786085,77.12654,1.066562,0.4189424,645279,1575.704,[ 0.008  0.314 -1.875 -1.634],4999.342,34,3722.4946,4382.767,10.0,-1.0,4052.192138397441,3439.9004,0.036837745,0.0056202547,10.0,243.03976202011108,3400,4669.6445,78.26704,3685.5684
,0.0036595955,,100,401.33,1.8982521,,1.0797447,0.010337488,0.27961618,4008.498,4817972.5,0.36595955,92.61449,1.0337487,0.4189424,685412,1551.1196,[ 0.01   0.317 -1.886 -1.606],4999.477,35,4008.498,4248.392,10.0,-1.0,4008.4978896221346,3396.1897,0.01898252,0.0027961615,10.0,256.0471086502075,3500,4999.477,93.18246,3612.1377
,0.0021041823,,100,429.37,1.6828623,,1.1006622,0.010207862,0.30071613,4289.9937,4401791.5,0.21041824,90.85439,1.0207863,0.4189424,728349,1405.7269,[ 0.014  0.326 -1.911 -1.618],4999.552,36,4289.9937,4442.8125,10.0,-1.0,4289.993729352389,3677.676,0.016828623,0.0030071614,10.0,271.8751766681671,3600,4999.552,92.014534,3800.415
,0.00020677998,,100,429.34,120.76588,19.963879,17.5491,0.02335011,12.965054,4289.4614,3906975700.0,0.020677999,5.6982975,2.3350108,0.4189424,771283,1414.3365,[ 0.02   0.332 -1.948 -1.631],4999.501,37,4269.4976,10655.7,10.0,-1.0,4289.461515434783,3677.1501,1.2076588,0.12965053,10.0,287.5227761268616,3700,4979.537,3.1417093,8090.627
,0.00031948547,,100,391.99,13.4652,519.8596,3.914626,0.0122072995,2.0155494,3913.9163,78948024.0,0.031948548,25.545225,1.2207298,0.4189424,810482,1319.1505,[-0.011  0.323 -1.978 -1.634],4999.44,38,3394.057,5311.425,10.0,-1.0,3913.9165496834553,3301.6128,0.134652,0.020155495,10.0,301.65528678894043,3800,4479.58,26.837435,4099.956
,0.0011549692,,100,441.84,7.656602,,2.3173141,0.011532609,1.2792059,4414.484,43114316.0,0.11549692,43.153408,1.153261,0.4189424,854666,1089.1366,[-0.009  0.354 -1.983 -1.608],4999.5073,39,4414.484,5356.182,10.0,-1.0,4414.483694706587,3802.1719,0.07656602,0.012792058,10.0,318.2919731140137,3900,4999.5073,44.836185,4424.076
,0.0003889767,,100,416.38,35.553528,49.91384,9.361655,0.015655251,4.7367373,4159.064,547165760.0,0.03889767,10.681871,1.5655252,0.4189424,896304,1334.0149,[ 1.183e-03  3.330e-01 -1.996e+00 -1.623e+00],4999.4175,40,4109.15,6881.709,10.0,-1.0,4159.064141413267,3546.763,0.35553527,0.047367368,10.0,332.8402371406555,4000,4949.5034,9.8477745,5008.262
,0.0042013447,,100,447.13,2.2791064,9.981371,1.1152054,0.010379009,0.30927962,4468.046,3562221.0,0.42013445,89.66958,1.037901,0.4189424,941017,1225.446,[ 0.011  0.319 -1.989 -1.695],4999.532,41,4458.0645,4585.7026,10.0,-1.0,4468.045911117309,3855.7307,0.022791063,0.0030927958,10.0,350.50510430336,4100,4989.551,91.844635,3939.0776
,9.022055e-06,,100,451.99,938.9828,,922.46844,0.1015344,93.38121,4517.121,149463760000.0,0.0009022055,0.10840479,10.153439,0.4189424,986216,1219.6349,[ 0.017  0.32  -1.991 -1.687],4999.568,42,4517.121,41938.438,10.0,-1.0,4517.121148769765,3904.8015,9.389828,0.93381196,10.0,365.66617918014526,4200,4999.568,1.168431,23340.967
,0.00032540754,,100,391.43,12.086709,9.979889,2.5374105,0.012407744,1.6896579,3908.2463,48947412.0,0.032540753,39.410255,1.2407744,0.4189424,1025359,1406.4259,[-0.017  0.378 -1.99  -1.685],4999.5234,43,3898.2666,4633.809,10.0,-1.0,3908.246197413604,3295.9316,0.12086709,0.01689658,10.0,381.18015241622925,4300,4989.5435,35.033184,3658.4385
,0.004384661,,100,392.18,1.5732943,,1.1306409,0.010009271,0.31162125,3915.228,4814717.0,0.4384661,88.44541,1.0009271,0.4189424,1064577,1390.7517,[-0.021  0.347 -2.    -1.696],4999.5356,44,3915.228,4087.421,10.0,-1.0,3915.2280688793962,3302.9124,0.015732942,0.0031162123,10.0,396.27115201950073,4400,4999.5356,91.16369,3436.336
,0.000415161,,100,395.73,13.400379,9.980119,2.421259,0.011424441,1.595432,3951.6262,61321780.0,0.0415161,41.300827,1.1424441,0.4189424,1104150,1497.2107,[-0.015  0.353 -2.004 -1.703],4999.655,45,3941.6462,4766.885,10.0,-1.0,3951.626213834243,3339.296,0.13400379,0.01595432,10.0,411.2399127483368,4500,4989.675,33.89562,3814.0747
,0.00074256567,,100,418.23,7.127635,19.961237,2.9682355,0.01163396,1.288204,4177.5127,40622110.0,0.07425657,33.69005,1.163396,0.4189424,1145973,1326.3578,[-0.01   0.323 -2.034 -1.716],4999.601,46,4157.5513,5367.5405,10.0,-1.0,4177.512452080344,3565.189,0.07127635,0.012882039,10.0,427.8726189136505,4600,4979.6396,44.92228,4312.5947
,0.00286593,,100,459.65,3.892881,399.73453,1.265718,0.010343663,0.59848934,4593.3745,7848673.0,0.28659302,79.00654,1.0343664,0.4189424,1191938,989.1251,[ 0.003  0.337 -2.036 -1.691],4999.5933,47,4193.64,4781.2993,10.0,-1.0,4593.374881437798,3981.0522,0.038928807,0.005984894,10.0,446.10984563827515,4700,4599.859,74.918495,4092.4111
,0.00068059564,,100,441.44,2.1987236,,1.587315,0.0106374705,0.5782947,4410.9927,9589561.0,0.06805956,62.99947,1.063747,0.4189424,1236082,1264.5853,[-1.279e-03  3.465e-01 -2.042e+00 -1.677e+00],4999.5947,48,4410.9927,4766.616,10.0,-1.0,4410.992512914919,3798.67,0.021987235,0.0057829465,10.0,463.3496103286743,4800,4999.5947,77.18768,3995.1587
,0.0012806681,,100,449.57,5.678957,19.960697,1.6128664,0.011015923,0.9424297,4492.8623,21174372.0,0.12806681,62.001415,1.1015923,0.4189424,1281039,1248.2517,[ 0.012  0.345 -2.05  -1.684],4999.4546,49,4472.9014,4989.1436,10.0,-1.0,4492.8620151274345,3880.5566,0.05678957,0.009424298,10.0,481.7549932003021,4900,4979.4937,57.739796,4211.5234
,0.000353975,,100,451.59,14.350531,519.5655,4.0408225,0.014595305,2.7234988,4512.658,64667828.0,0.0353975,24.747437,1.4595306,0.4189424,1326198,1047.4078,[ 0.006  0.338 -2.05  -1.714],4999.4385,50,3993.093,5549.4785,10.0,-1.0,4512.65862695171,3900.355,0.1435053,0.02723499,10.0,499.9221715927124,5000,4479.873,22.3115,4318.638
,0.0020621112,,100,436.17,2.5714402,,1.3580754,0.010589587,0.49859825,4357.38,8117319.0,0.20621112,73.63361,1.0589586,0.4189424,1369815,1230.1252,[-0.008  0.32  -2.052 -1.739],4999.4907,51,4357.38,4812.424,10.0,-1.0,4357.379721156311,3745.0698,0.025714401,0.004985982,10.0,516.0313465595245,5100,4999.4907,81.85392,4098.8594
,0.00021002734,,100,434.09,13.24301,19.962317,4.054714,0.011998547,1.8176395,4337.2812,84749200.0,0.021002734,24.662651,1.1998549,0.4189424,1413224,1271.039,[ 9.585e-04  3.208e-01 -2.055e+00 -1.729e+00],4999.588,52,4317.319,5632.67,10.0,-1.0,4337.281156650567,3724.9587,0.13243009,0.018176394,10.0,533.4156920909882,5200,4979.6255,30.35021,4399.6787
,0.0012576042,,100,454.28,3.2175405,,1.2573899,0.010404498,0.49824503,4540.1562,6722283.5,0.12576042,79.52982,1.0404497,0.4189424,1458652,1166.113,[ 0.018  0.307 -2.068 -1.764],4999.551,53,4540.1562,4802.217,10.0,-1.0,4540.156487439324,3927.8394,0.032175403,0.00498245,10.0,550.8191161155701,5300,4999.551,81.34572,4115.6045
,0.0004661352,,100,461.76,4.6337566,29.946049,1.8953594,0.011614039,0.89382344,4614.937,18409334.0,0.046613522,52.76044,1.161404,0.4189424,1504828,1045.6301,[ 0.012  0.323 -2.078 -1.771],4999.566,54,4584.9907,5371.007,10.0,-1.0,4614.937105687449,4002.6177,0.046337564,0.008938234,10.0,566.7657673358917,5400,4969.6196,62.80251,4528.014
,9.8723656e-05,,100,472.56,37.82933,9.980191,5.579052,0.014100969,4.163872,4723.6157,398589280.0,0.009872366,17.924192,1.410097,0.4189424,1552084,992.6851,[ 0.025  0.314 -2.08  -1.73 ],4999.3984,55,4713.6357,6575.775,10.0,-1.0,4723.615725135778,4111.3174,0.3782933,0.041638713,10.0,584.3695108890533,5500,4989.4185,10.288487,5129.5244
,8.497304e-05,,100,448.16,67.22402,19.966635,11.647019,0.021434808,7.388106,4478.411,615278200.0,0.008497304,8.585888,2.1434805,0.4189424,1596900,1133.5746,[ 0.004  0.345 -2.073 -1.747],4999.512,56,4458.444,8440.452,10.0,-1.0,4478.410887644783,3866.098,0.6722402,0.07388105,10.0,601.3606221675873,5600,4979.5454,7.7637997,6350.768
,0.0045973887,,100,445.19,2.2032137,9.98252,1.1933964,0.010617618,0.383924,4448.626,5363358.5,0.45973888,83.79445,1.061762,0.4189424,1641419,1224.8954,[ 0.008  0.284 -2.062 -1.713],4999.5776,57,4438.643,4840.772,10.0,-1.0,4448.6258086665275,3836.3052,0.022032136,0.00383924,10.0,618.7547118663788,5700,4989.595,88.43701,4171.8564
,0.00010541429,,100,442.36,44.882343,,8.021143,0.014257152,4.5538745,4420.3843,523369950.0,0.01054143,12.4670515,1.4257153,0.4189424,1685655,1313.0277,[ 0.01   0.3   -2.073 -1.74 ],4999.4873,58,4420.3843,6558.4873,10.0,-1.0,4420.383679097444,3808.0742,0.44882342,0.04553875,10.0,634.9097330570221,5800,4999.4873,8.926768,4824.327
,0.00015331218,,100,455.88,41.982254,409.69598,9.077236,0.015909242,4.4864235,4556.0317,387252030.0,0.015331219,11.016569,1.5909243,0.4189424,1731243,1124.3235,[ 0.022  0.256 -2.083 -1.737],4999.4766,59,4146.336,7369.3833,10.0,-1.0,4556.031811644639,3943.7234,0.41982254,0.044864237,10.0,650.9827811717987,5900,4589.781,11.170113,5524.593
,0.0018204502,,100,458.47,2.6056054,9.98402,1.3119686,0.0104358485,0.54932797,4582.2935,8989567.0,0.18204503,76.22134,1.043585,0.4189424,1777090,1187.4635,[ 0.026  0.295 -2.068 -1.726],4999.5015,60,4572.3096,4857.1475,10.0,-1.0,4582.293149684705,3969.9814,0.026056053,0.0054932795,10.0,667.680960893631,6000,4989.5176,78.30352,4155.799
,0.00049493223,,100,457.14,43.109768,,4.479622,0.014064031,4.401775,4568.6978,491200540.0,0.049493227,22.323313,1.4064032,0.4189424,1822804,1126.3564,[ 0.029  0.309 -2.092 -1.719],4999.534,61,4568.6978,6827.214,10.0,-1.0,4568.698000724565,3956.3818,0.43109766,0.04401775,10.0,684.3577659130096,6100,4999.534,9.262937,5531.241
,0.0005733699,,100,455.61,7.9210863,9.980068,2.8793814,0.0125476,1.4448222,4553.6235,51046612.0,0.057336994,34.729683,1.25476,0.4189424,1868365,1141.5529,[ 0.007  0.298 -2.136 -1.677],4999.5264,62,4543.643,5832.2085,10.0,-1.0,4553.623348701045,3941.309,0.07921086,0.014448222,10.0,701.4781756401062,6200,4989.5464,42.994293,4793.188
,0.00075866055,,100,465.14,5.604492,9.979891,1.9557489,0.010855878,1.0157024,4648.998,24409980.0,0.07586606,51.13131,1.0855877,0.4189424,1914879,980.3405,[ 0.016  0.288 -2.139 -1.722],4999.537,63,4639.0176,5069.0703,10.0,-1.0,4648.997711540051,4036.6821,0.05604492,0.010157024,10.0,721.2150645256042,6300,4989.557,53.32216,4212.7583
,0.0006571537,,100,456.66,6.078173,39.935684,2.3662019,0.012275588,1.1378279,4564.153,33771404.0,0.06571537,42.26182,1.2275586,0.4189424,1960545,1133.2205,[ 0.007  0.31  -2.171 -1.718],4999.5146,64,4524.2173,5758.478,10.0,-1.0,4564.15277271829,3951.8398,0.06078173,0.011378278,10.0,739.1362268924713,6400,4959.579,53.788033,4816.59
,1.9164095e-06,,100,484.21,669.2709,19.966682,308.04987,0.0728085,66.54937,4840.4805,110889700000.0,0.00019164095,0.32462278,7.280849,0.4189424,2008966,690.0883,[ 0.013  0.347 -2.177 -1.742],4999.59,65,4820.5137,36138.176,10.0,-1.0,4840.480543730699,4228.158,6.6927085,0.66549367,10.0,758.2199521064758,6500,4979.623,1.182793,25391.096
,0.002283077,,100,463.09,2.2717965,9.980421,1.2573884,0.010460189,0.4482204,4628.483,6375877.0,0.2283077,79.52992,1.0460187,0.4189424,2055275,1113.436,[ 0.028  0.386 -2.174 -1.662],4999.4814,66,4618.503,4880.5693,10.0,-1.0,4628.48318306247,4016.1738,0.022717964,0.004482204,10.0,777.091016292572,6600,4989.501,84.48705,4193.967
,0.0044296244,,100,461.47,2.1370718,359.68164,1.1617297,0.010496992,0.37594205,4612.2783,4460631.5,0.44296244,86.078545,1.0496992,0.4189424,2101422,1108.4136,[ 0.023  0.405 -2.183 -1.669],4999.4307,67,4252.5967,4828.109,10.0,-1.0,4612.277908866686,3999.9756,0.021370718,0.0037594205,10.0,796.9710736274719,6700,4639.749,88.63156,4168.1475
,0.0005009696,,100,463.29,98.56971,319.7732,8.3248415,0.01824108,9.785389,4630.484,2119990300.0,0.05009696,12.01224,1.8241082,0.4189424,2147751,1041.6287,[ 0.029  0.412 -2.208 -1.657],4999.61,68,4310.7104,8990.509,10.0,-1.0,4630.48392592401,4018.1597,0.9856971,0.09785389,10.0,814.9825026988983,6800,4679.837,3.358226,7223.781
,0.0004800843,,100,488.96,18.246496,309.71774,3.4505975,0.012843985,2.3066573,4888.0156,79140320.0,0.04800843,28.980488,1.2843987,0.4189424,2196647,560.9851,[ 8.429e-04  4.454e-01 -2.222e+00 -1.715e+00],4999.5645,69,4578.298,6012.8286,10.0,-1.0,4888.015723122509,4275.6963,0.18246496,0.023066577,10.0,832.8606934547424,6900,4689.8467,23.66711,4875.398
,0.0003047153,,100,473.99,18.620085,29.949558,3.5706048,0.012585537,2.0182822,4737.422,100965600.0,0.03047153,28.00646,1.2585536,0.4189424,2244046,846.788,[-0.016  0.466 -2.223 -1.698],4999.5513,70,4707.4717,6000.2437,10.0,-1.0,4737.421671593952,4125.1045,0.18620084,0.020182824,10.0,849.9609241485596,7000,4969.6016,27.997866,4843.206
