EpisodesSoFar,Inner Iteration,ReturnStepMaxmin,Penalization,MeanD2-0,LearnableVariance,ESSRenyiHarmonic,StdIW,ReturnStepMax,MinBehavPdf,MeanIW,InitialReturnMax,MaxIW,TimestepsSoFar,MinTargetPdf,InitialBound,EpThisIter,MeanEntropy,StdWReturnMean,EmpiricalD2Harmonic,WReturnMean,Bound,EpLenMean,EmpiricalD2Arithmetic,InitialReturnStd,MinIW,Iteration,TimeElapsed,InitialReturnMean,DivergenceHarmonic,Weights,ESSRenyiArithmetic,EpRewMean,ReturnMeanIW,InitialReturnMin,VarianceInitializer
1800,1,9.999999,True,1.0,,100.0,843.75696,9.999999,-106.527534,320.91635,2529.2268,5398.024,125829,-106.527534,-1284902.8,100,0.4189424,,1.0,915570.94,-5.6070144e+22,80.7,1.0,530.05396,0.60771644,18,26.623228788375854,796.62646,2.3048015e+34,[ 0.009  0.285 -0.848 -1.585],100.0,796.6264924585993,281438600.0,29.944176,-1
1900,1,10.0,True,1.0,,100.0,96600.164,10.0,-136.44702,10270.223,2899.4385,971182.94,134130,-136.44702,-1504925.2,100,0.4189424,,1.0,1019559.7,-4.5198683e+18,83.01,1.0,589.43427,0.120036796,19,28.26366400718689,819.83344,8.67196e+25,[-0.094  0.226 -0.872 -1.617],100.0,819.8334656279108,47404413000.0,,-1
2000,1,10.0,True,1.0,,100.0,61.95106,10.0,-115.15449,16.706772,3178.8223,604.409,144860,-115.15449,-2085915.8,100,0.4189424,,1.0,1502505.1,-5006788600.0,107.3,1.0,611.113,0.088873625,20,30.367107152938843,1062.5658,72195460.0,[-0.097  0.346 -0.893 -1.59 ],100.0,1062.5657768581743,49698976.0,,-1
2100,1,10.0,True,1.0,,100.0,726466.4,10.0,-150.19272,176310.58,2959.1873,5702567.0,154347,-150.19272,-1607149.8,100,0.4189424,,1.0,1101573.9,-7.054363e+23,94.87,1.0,470.12253,0.02615061,21,32.07015657424927,938.3809,1.9469152e+36,[-0.146  0.326 -0.922 -1.605],100.0,938.3809052800009,83001230000.0,9.979185,-1
2200,1,10.0,True,1.0,,100.0,138151.27,10.0,-171.86317,14115.366,4168.2363,1388674.0,166900,-171.86317,-3386485.8,100,0.4189424,,1.0,2383379.8,-8.569566e+22,125.53,1.0,913.17224,0.18828763,22,34.879045486450195,1244.7877,7.298431e+33,[-0.072  0.426 -0.923 -1.6  ],100.0,1244.7876816466214,55703120000.0,19.9678,-1
2300,1,10.0,True,1.0,,100.0,743528.44,10.0,-192.98187,177961.31,4308.421,5760682.5,178071,-192.98187,-2702301.0,100,0.4189424,,1.0,1630589.0,-1.3552403e+22,111.71,1.0,637.03076,0.06809552,23,36.74750232696533,1106.6982,1.5991214e+32,[-0.088  0.317 -0.945 -1.655],100.0,1106.6981781187228,147045370000.0,19.962852,-1
2400,1,9.999999,True,1.0,,100.0,1514.9126,9.999999,-114.569496,332.06946,3019.0176,13771.616,187882,-114.569496,-1861551.5,100,0.4189424,,1.0,1335324.9,-1506451600000000.0,98.11,1.0,627.02515,0.21607716,24,38.23962903022766,970.6515,8.195372e+18,[-0.022  0.421 -0.964 -1.643],100.0,970.6514973458546,711769660.0,49.948997,-1
2500,1,10.0,True,1.0,,100.0,5625.826,10.0,-141.82266,968.27295,3499.1492,54693.082,200961,-141.82266,-2932182.0,100,0.4189424,,1.0,2225267.2,-5.0588178e+16,130.79,1.0,736.1234,0.09709832,25,41.06727170944214,1297.4551,5.1211726e+21,[-0.07   0.33  -0.999 -1.705],100.0,1297.4550629412306,3639809800.0,29.94725,-1
2600,1,10.0,True,1.0,,100.0,3.8556025,10.0,-163.25935,5.09299,3808.7312,18.5339,212515,-163.25935,-2760319.5,100,0.4189424,,1.0,1922785.4,-156685620000.0,115.54,1.0,782.28015,0.14166363,26,43.13113570213318,1144.9119,34994643000.0,[ 0.011  0.276 -1.064 -1.66 ],100.0,1144.9118851736866,10223267.0,9.980736,-1
2700,1,10.0,True,1.0,,100.0,98.59537,10.0,-181.88307,25.735195,4428.857,962.0479,225772,-181.88307,-3754712.0,100,0.4189424,,1.0,2622245.0,-5677443400000.0,132.57,1.0,944.6349,0.043970805,27,45.92986726760864,1315.2605,25133096000000.0,[-0.042  0.252 -1.084 -1.647],100.0,1315.2604423480443,93629060.0,9.98355,-1
2800,1,10.0,True,1.0,,100.0,16.35677,10.0,-191.5311,11.934735,4998.9834,121.42183,239378,-191.5311,-4295374.5,100,0.4189424,,1.0,2852575.5,-33539490000000.0,136.06,1.0,1014.71796,0.0813059,28,48.6170711517334,1350.1567,540388420000000.0,[ 0.01   0.224 -1.095 -1.665],100.0,1350.1567232840262,49773572.0,9.980206,-1
2900,1,10.0,True,1.0,,100.0,164.19449,10.0,-205.94342,78.33767,4998.6025,1178.8698,252737,-205.94342,-4021849.0,100,0.4189424,,1.0,2579270.0,-83390350000000.0,133.59,1.0,906.6267,0.027989022,29,50.77645134925842,1325.6312,3341616000000000.0,[-0.047  0.209 -1.114 -1.659],100.0,1325.631241159527,173613970.0,,-1
3000,1,10.0,True,1.0,,100.0,8.618697,10.0,-207.06833,5.523573,4998.6973,52.532173,265228,-207.06833,-3844465.0,100,0.4189424,,1.0,2401832.2,-75391010000000.0,124.91,1.0,931.3483,0.02892037,30,53.329110622406006,1238.7183,2731070400000000.0,[ 0.006  0.235 -1.12  -1.641],100.0,1238.7182016668467,15960377.0,29.951637,-1
3100,1,10.0,True,1.0,,100.0,684.9186,10.0,-177.15837,107.66298,3588.3074,6817.913,277069,-177.15837,-2818908.5,100,0.4189424,,1.0,2075510.8,-10159741000000.0,118.41,1.0,835.43604,0.07195888,31,55.30980849266052,1173.6938,186774700000000.0,[-0.05   0.256 -1.129 -1.625],100.0,1173.6938989666708,115042750.0,19.960499,-1
3200,1,10.0,True,1.0,,100.0,15.811296,10.0,-209.2123,8.995864,4998.9043,111.64928,289207,-209.2123,-3790352.8,100,0.4189424,,1.0,2347600.8,-3606801000000.0,121.38,1.0,948.3714,0.22239086,32,57.64032340049744,1203.4086,6249672000000.0,[ 0.008  0.232 -1.132 -1.626],100.0,1203.4086359517391,37856010.0,29.949104,-1
3300,1,10.0,True,1.0,,100.0,1276.293,10.0,-175.75427,270.40543,4328.752,12325.411,303786,-175.75427,-4043998.2,100,0.4189424,,1.0,2962146.0,-188990420000000.0,145.79,1.0,931.13495,0.07796892,33,60.42361044883728,1447.4578,3.0517388e+16,[-0.049  0.234 -1.156 -1.636],100.0,1447.457697408463,570615360.0,,-1
3400,1,10.0,True,1.0,,100.0,9.258316,10.0,-180.3805,8.062654,4998.7983,67.55359,318065,-180.3805,-4470680.0,100,0.4189424,,1.0,3027988.2,-9061453000000000.0,142.79,1.0,1009.3983,0.0653543,34,63.23074388504028,1417.4282,3.9450693e+19,[ 0.012  0.237 -1.162 -1.652],100.0,1417.4284037463667,38455080.0,39.926758,-1
3500,1,10.0,True,1.0,,100.0,253.30547,10.0,-124.06128,86.64786,3148.6929,1754.7695,331341,-124.06128,-2845790.0,100,0.4189424,,1.0,2273385.5,-184721620000.0,132.76,1.0,733.76324,0.027156672,35,66.19301199913025,1317.1853,103964885000.0,[-0.049  0.232 -1.175 -1.642],100.0,1317.1853343663595,159193060.0,19.965488,-1
3600,1,10.0,True,1.0,,100.0,14944.765,10.0,-229.58365,2086.8352,4998.8213,129791.11,348580,-229.58365,-5787549.0,100,0.4189424,,1.0,4344841.0,-1.830002e+18,172.39,1.0,1187.1426,0.054916404,36,69.27736020088196,1713.34,1.6089923e+24,[-0.006  0.276 -1.176 -1.63 ],100.0,1713.3400089474785,37673100000.0,9.979367,-1
3700,1,10.0,True,1.0,,100.0,373.5245,10.0,-226.76205,150.2022,4998.9604,2684.2505,363164,-226.76205,-4370418.0,100,0.4189424,,1.0,2927632.2,-74283410000000.0,145.84,1.0,911.3976,0.07815414,37,72.59606599807739,1448.0975,2650836600000000.0,[-0.059  0.254 -1.198 -1.631],100.0,1448.097622789452,277919650.0,9.980936,-1
3800,1,10.0,True,1.0,,100.0,65.23154,10.0,-226.38536,11.863578,4998.4746,652.7844,379177,-226.38536,-5155956.0,100,0.4189424,,1.0,3713448.8,-491395480000.0,160.13,1.0,1087.4075,0.050056726,38,76.10307240486145,1590.9097,116019340000.0,[ 5.348e-04  2.697e-01 -1.203e+00 -1.637e+00],100.0,1590.9098355043388,58397148.0,9.980355,-1
3900,1,10.0,True,1.0,,100.0,30931.432,10.0,-202.21843,5548.6436,4999.0225,287243.25,395509,-202.21843,-5343628.0,100,0.4189424,,1.0,3900804.5,-6.562441e+23,163.32,1.0,1125.5958,0.015066724,39,79.6220555305481,1622.9105,2.0687674e+35,[-0.04   0.315 -1.213 -1.624],100.0,1622.9105245216488,68233544000.0,19.969997,-1
4000,1,10.0,True,1.0,,100.0,7.3839345,10.0,-200.56041,7.6616144,4998.144,48.176815,409155,-200.56041,-4043690.0,100,0.4189424,,1.0,2601375.5,-18297905000000.0,136.46,1.0,876.2064,0.07390684,40,82.70674657821655,1354.1189,160948850000000.0,[ 0.028  0.255 -1.241 -1.706],100.0,1354.1187880632028,20242560.0,49.927753,-1
4100,1,10.0,True,1.0,,100.0,1002.4237,10.0,-200.51541,336.65555,4999.1143,6312.9033,428022,-200.51541,-6205325.0,100,0.4189424,,1.0,4762447.0,-5.1061323e+17,188.67,1.0,1114.3186,0.023611233,41,86.74371409416199,1876.3638,1.2523712e+23,[-0.031  0.24  -1.252 -1.717],100.0,1876.3636564368458,996383940.0,29.946766,-1
4200,1,10.0,True,1.0,,100.0,4.5315857,10.0,-215.62729,6.3507795,4998.089,23.724396,443194,-215.62729,-5051374.0,100,0.4189424,,1.0,3609090.5,-437119420000.0,151.72,1.0,1157.1241,0.054867197,42,89.88931655883789,1506.703,91846410000.0,[ 0.025  0.267 -1.257 -1.716],100.0,1506.703093583096,21825016.0,,-1
4300,1,10.0,True,1.0,,100.0,190.33925,10.0,-207.45552,39.82097,4999.2705,1892.0892,458036,-207.45552,-4676500.5,100,0.4189424,,1.0,3233535.2,-69571480000.0,148.42,1.0,1030.1604,0.023834212,43,93.26700830459595,1473.874,2315134700.0,[-0.035  0.256 -1.269 -1.721],100.0,1473.87410696847,142501890.0,29.952507,-1
4400,1,10.0,True,1.0,,100.0,18298.963,10.0,-220.13829,2345.483,4998.796,176630.92,475980,-220.13829,-6096681.0,100,0.4189424,,1.0,4653987.5,-1.7140036e+16,179.44,1.0,1212.9745,0.2093413,44,97.64146518707275,1784.0071,1.41150245e+20,[-0.01   0.308 -1.28  -1.697],100.0,1784.006942623323,29259389000.0,19.964348,-1
4500,1,10.0,True,1.0,,100.0,3.9577446,10.0,-182.05614,4.1912923,3729.071,28.416706,488144,-182.05614,-3031578.0,100,0.4189424,,1.0,2228711.8,-12117038000.0,121.64,1.0,880.0936,0.001986513,45,100.72050189971924,1205.8804,227506980.0,[ 0.045  0.286 -1.3   -1.7  ],100.0,1205.8802611481683,7207839.0,9.980711,-1
4600,1,10.0,True,1.0,,100.0,188.8751,10.0,-246.62648,45.166805,4998.998,1671.8087,508489,-246.62648,-7252848.0,100,0.4189424,,1.0,5810036.5,-64598053000.0,203.45,1.0,1308.3829,0.05611565,46,105.1239902973175,2024.394,1979511600.0,[-0.014  0.267 -1.308 -1.703],100.0,2024.3939632354802,405549100.0,9.98286,-1
4700,1,10.0,True,1.0,,100.0,400.56726,10.0,-216.06366,142.6786,4999.1045,2682.9812,522977,-216.06366,-4730215.5,100,0.4189424,,1.0,3287346.2,-3.554899e+18,144.88,1.0,1103.6411,0.071497284,47,108.37356472015381,1438.514,6.070255e+24,[-0.04   0.231 -1.326 -1.743],100.0,1438.5140162523228,941892000.0,19.967552,-1
4800,1,10.0,True,1.0,,100.0,17.21315,10.0,-228.2588,15.200351,4998.9155,91.05599,540878,-228.2588,-6119994.0,100,0.4189424,,1.0,4677231.0,-1059449250000000.0,179.01,1.0,1228.4833,0.09354825,48,112.69720363616943,1779.9044,5.3923527e+17,[ 0.014  0.262 -1.33  -1.738],100.0,1779.9044726557381,81622504.0,,-1
4900,1,10.0,True,1.0,,100.0,7788.356,10.0,-210.6038,1135.3376,4998.4473,78092.984,557919,-210.6038,-5415085.0,100,0.4189424,,1.0,3972593.2,-1.2502507e+16,170.41,1.0,1050.6107,0.036341723,49,116.95007586479187,1693.7563,7.5123305e+19,[-0.048  0.263 -1.339 -1.745],100.0,1693.7563237733154,4740275000.0,,-1
5000,1,10.0,True,1.0,,100.0,31.51331,10.0,-233.94606,20.900719,4999.006,212.41045,578412,-233.94606,-7608028.0,100,0.4189424,,1.0,6165211.0,-1.0447236e+18,204.93,1.0,1416.9437,0.01889531,50,120.82587218284607,2038.9904,5.2431163e+23,[ 0.012  0.279 -1.344 -1.754],100.0,2038.9903020699585,228784420.0,9.982874,-1
5100,1,10.0,True,1.0,,100.0,937.28625,10.0,-203.85214,317.0833,4999.3857,6243.832,596181,-203.85214,-5719365.5,100,0.4189424,,1.0,4276331.0,-5753037300000000.0,177.69,1.0,1075.079,0.025875542,51,124.92673420906067,1766.504,1.5894571e+19,[-0.048  0.268 -1.357 -1.755],100.0,1766.5040906340862,1396187600.0,,-1
5200,1,10.0,True,1.0,,100.0,92.3354,10.0,-233.05327,35.031387,4999.377,703.6239,617155,-233.05327,-7877064.5,100,0.4189424,,1.0,6434033.0,-2.6056266e+19,209.74,1.0,1441.1597,0.060816836,52,129.6603388786316,2087.3647,3.2604838e+26,[ 0.008  0.296 -1.36  -1.751],100.0,2087.3648800268006,518318900.0,29.9448,-1
5300,1,10.0,True,1.0,,100.0,3201.9158,10.0,-193.89563,750.3024,4649.123,29134.28,633924,-193.89563,-4984384.0,100,0.4189424,,1.0,3736468.8,-4.1253432e+17,167.69,1.0,979.52856,0.046789896,53,133.6907398700714,1666.4314,1.0928417e+23,[-0.054  0.297 -1.37  -1.755],100.0,1666.4312362192475,2246063400.0,39.931515,-1
5400,1,10.0,True,1.0,,100.0,188.21698,10.0,-230.90187,44.97454,4999.348,1543.0121,658530,-230.90187,-9923124.0,100,0.4189424,,1.0,8480107.0,-122888870000.0,246.06,1.0,1572.5491,0.07755186,54,140.0205750465393,2450.9583,7176900600.0,[ 0.008  0.299 -1.373 -1.757],100.0,2450.958374993995,642883200.0,,-1
5500,1,10.0,True,1.0,,100.0,4568.2427,10.0,-221.79288,946.2182,4999.1543,45158.15,682462,-221.79288,-8962048.0,100,0.4189424,,1.0,7519143.0,-2.6390597e+19,239.32,1.0,1355.9299,0.17513153,55,146.35694479942322,2383.4001,3.345288e+26,[-0.031  0.341 -1.397 -1.761],100.0,2383.4002818900926,7687041000.0,9.983326,-1
5600,1,10.0,True,1.0,,100.0,11.339303,10.0,-232.8122,7.1178603,4999.365,88.754166,704342,-232.8122,-8586231.0,100,0.4189424,,1.0,7143206.0,-1.9561115e+16,218.8,1.0,1548.545,0.101431064,56,152.6266303062439,2178.3513,1.8375916e+20,[ 0.025  0.325 -1.414 -1.777],100.0,2178.351345952666,67883690.0,9.9808035,-1
5700,1,10.0,True,1.0,,100.0,8037.564,10.0,-228.18999,2526.436,4998.699,55567.516,728982,-228.18999,-8916522.0,100,0.4189424,,1.0,7473879.0,-3.043618e+18,246.4,1.0,1204.918,0.0639503,57,159.25991296768188,2453.9866,4.4511636e+24,[-0.037  0.33  -1.422 -1.777],100.0,2453.986801092232,16162131000.0,409.78552,-1
5800,1,10.0,True,1.0,,100.0,4.11292,10.0,-213.3812,5.032602,4999.4463,20.31672,750646,-213.3812,-8166872.5,100,0.4189424,,1.0,6723801.0,-1.5678422e+16,216.64,1.0,1439.9264,0.29800877,58,166.09953498840332,2156.4814,1.1804247e+20,[ 0.025  0.327 -1.429 -1.779],100.0,2156.4815376072265,40061230.0,,-1
5900,1,10.0,True,1.0,,100.0,5406.462,10.0,-229.38992,1703.4224,4999.0938,32461.242,775762,-229.38992,-9386369.0,100,0.4189424,,1.0,7943498.0,-3.22718e+16,251.16,1.0,1298.4685,0.063355885,59,173.3063108921051,2501.495,5.0026738e+20,[-0.035  0.339 -1.437 -1.773],100.0,2501.4951516948777,10615882000.0,,-1
6000,1,10.0,True,1.0,,100.0,4.3819537,10.0,-216.12099,5.4690843,4998.6875,27.644518,796648,-216.12099,-7785961.5,100,0.4189424,,1.0,6343328.0,-6388075000000000.0,208.86,1.0,1422.457,0.08454089,60,179.17029356956482,2078.4475,1.9608185e+19,[ 0.017  0.37  -1.448 -1.765],100.0,2078.447579978835,36472304.0,29.94245,-1
6100,1,10.0,True,1.0,,100.0,13789.286,10.0,-233.28543,3443.1616,4999.0117,121706.27,820807,-233.28543,-8832294.0,100,0.4189424,,1.0,7389471.0,-3.114188e+20,241.59,1.0,1265.4357,0.11920174,61,185.65655517578125,2405.8562,4.6588034e+28,[-0.043  0.371 -1.459 -1.776],100.0,2405.856232263378,21834293000.0,49.912537,-1
6200,1,10.0,True,1.0,,100.0,27.449877,10.0,-232.2264,13.48391,4999.1807,233.39406,841942,-232.2264,-8177745.0,100,0.4189424,,1.0,6734826.5,-73907344000000.0,211.35,1.0,1519.9712,0.13008516,62,192.02776718139648,2103.453,2623610600000000.0,[ 0.019  0.372 -1.463 -1.785],100.0,2103.452785825124,139683740.0,,-1
6300,1,10.0,True,1.0,,100.0,26802.39,10.0,-233.22134,6320.9033,4999.382,210017.02,870148,-233.22134,-11696983.0,100,0.4189424,,1.0,10253944.0,-3.1597276e+20,282.06,1.0,1532.7616,0.13240616,63,199.79330039024353,2811.5093,4.7946324e+28,[-0.026  0.332 -1.475 -1.797],100.0,2811.509563194664,94178116000.0,,-1
6400,1,10.0,True,1.0,,100.0,3.710003,10.0,-230.24936,5.314972,4999.498,16.329426,890773,-230.24936,-7960316.0,100,0.4189424,,1.0,6517215.0,-1173817400000000.0,206.25,1.0,1517.8247,0.03340404,64,205.70066022872925,2052.6626,6.6163236e+17,[ 0.03   0.36  -1.48  -1.798],100.0,2052.6623776635975,31214212.0,29.942848,-1
6500,1,10.0,True,1.0,,100.0,27239.938,10.0,-224.86282,5540.991,4999.467,250675.67,916164,-224.86282,-10343135.0,100,0.4189424,,1.0,8900049.0,-1.4048754e+19,253.91,1.0,1580.8643,0.101645656,65,212.85757422447205,2530.0037,9.477681e+25,[-0.029  0.347 -1.495 -1.806],100.0,2530.0034886267317,32663056000.0,39.928238,-1
6600,1,10.0,True,1.0,,100.0,3.7700596,10.0,-242.5099,5.256513,4999.1143,27.986609,936571,-242.5099,-7626424.0,100,0.4189424,,1.0,6183544.5,-1094766000000000.0,204.07,1.0,1435.0333,0.050477043,66,218.40245628356934,2030.8186,5.7569384e+17,[ 0.031  0.361 -1.5   -1.812],100.0,2030.8185212504293,33783148.0,19.958662,-1
6700,1,10.0,True,1.0,,100.0,17511.209,10.0,-245.74358,3021.5244,4999.323,169822.83,964102,-245.74358,-11415687.0,100,0.4189424,,1.0,9972682.0,-1.103166e+16,275.31,1.0,1563.551,0.09008157,67,226.3518784046173,2743.7185,5.844594e+19,[-0.03   0.355 -1.513 -1.81 ],100.0,2743.7184337311646,48332845000.0,,-1
6800,1,10.0,True,1.0,,100.0,14.494884,10.0,-235.16559,8.68482,4999.286,104.31023,989119,-235.16559,-10616354.0,100,0.4189424,,1.0,9173373.0,-2.9534034e+18,250.17,1.0,1720.2504,0.026994104,68,233.74257493019104,2492.812,4.189236e+24,[ 0.017  0.393 -1.524 -1.796],100.0,2492.8117671478067,114235700.0,9.981243,-1
6900,1,10.0,True,1.0,,100.0,20001.611,10.0,-235.23035,4337.149,4999.502,189110.25,1014708,-235.23035,-9763233.0,100,0.4189424,,1.0,8320126.5,-2.8012893e+19,255.89,1.0,1349.4792,0.09840191,69,240.97019863128662,2549.3198,3.768168e+26,[-0.042  0.374 -1.533 -1.804],100.0,2549.3200042945405,29378330000.0,9.979266,-1
7000,1,10.0,True,1.0,,100.0,16.707624,10.0,-217.08466,11.118587,4999.3105,110.26269,1036857,-217.08466,-8591375.0,100,0.4189424,,1.0,7148381.5,-7966190700000.0,221.49,1.0,1511.8185,0.24136434,70,247.4781575202942,2205.1726,30476901000000.0,[ 0.018  0.392 -1.538 -1.806],100.0,2205.1727134195166,104266460.0,29.95,-1
7100,1,10.0,True,1.0,,100.0,56.536217,10.0,-240.18489,19.881529,4999.5225,427.4472,1063302,-240.18489,-10523569.0,100,0.4189424,,1.0,9080450.0,-42049920000.0,264.45,1.0,1461.6359,0.030082408,71,254.37224817276,2635.1606,837194700.0,[-0.034  0.363 -1.548 -1.824],100.0,2635.1606560993914,294810500.0,39.935387,-1
7200,1,10.0,True,1.0,,100.0,326.7942,10.0,-247.62918,73.21485,4999.5283,2853.0566,1094569,-247.62918,-13460622.0,100,0.4189424,,1.0,12017497.0,-588745200000.0,312.67,1.0,1515.4637,0.039552238,72,262.50085496902466,3117.8306,165855990000.0,[-0.01   0.307 -1.557 -1.837],100.0,3117.8304708347255,1035249860.0,349.72357,-1
