OptimizationReturnMean,EmpiricalD2,VarianceInit,J_sample_variance,StdIWNorm,ESSClassic,MeanEntropy,Iteration,TimeElapsed,OptimizationReturnMax,Weights,InitialReturnMean,InitialReturnMin,ReturnStepMax,ReturnStepMaxmin,EpRewMean,MaxIWNorm,EpThisIter,InitialReturnStd,MeanIW,OptimizationReturnMin,InitialBound,InitialReturnMax,EpLenMean,EpisodesSoFar,MaxIW,StdIW,MinIWNorm,MinIW,LearnableVariance,TimestepsSoFar,ESSRenyi,MeanIWNorm,Bound,ReturnMeanIW
885.02466,1.7480224,-1.0,796728.75,0.009225378,63.246212,0.4189424,31,95.85521650314331,2039.3143,[-0.816  0.888 -2.009 -1.326],885.02466,,10.0,10.0,885.0246310474765,0.04689452,100,325.42398,1.2101814,,635.2606,2039.3143,89.53,3100,4.689452,0.9225378,0.0001182419,0.011824191,,164545,57.207504,0.012101813,723.006,1053.226
881.4443,4.873224,-1.0,15305919.0,0.04321294,11.225507,0.4189424,32,100.37202954292297,2139.5894,[-0.788  0.861 -2.011 -1.374],891.4253,9.9810915,9.999999,9.999999,891.4253653240195,0.37354332,100,269.72287,1.536642,,628.15784,2149.5706,90.17,3200,37.354332,4.3212943,0.0004503196,0.04503196,,173562,20.520298,0.015366419,799.7856,1380.9587
901.4157,1.0593772,-1.0,240765.31,0.0021784194,95.585915,0.4189424,33,105.07374620437622,2759.302,[-0.77   0.888 -2.047 -1.29 ],901.4157,,10.0,10.0,901.4157427234239,0.016914994,100,366.5235,1.0137204,,563.4717,2759.302,91.17,3300,1.6914994,0.21784197,0.0056938655,0.56938654,,182679,94.39509,0.010137204,585.0165,932.849
952.9074,5.6548533,-1.0,30517750.0,0.03734463,13.955667,0.4189424,34,110.02153015136719,2389.5212,[-0.764  0.894 -2.054 -1.304],962.88806,9.980623,10.0,10.0,962.8880908814282,0.35671565,100,323.2168,1.5039809,,669.0104,2399.502,97.32,3400,35.671566,3.7344632,4.3889417e-05,0.004388942,,192411,17.683924,0.015039807,924.1769,1623.0164
959.99414,1.2336421,-1.0,569907.5,0.0054308753,79.78847,0.4189424,35,113.71325898170471,1909.3987,[-0.732  0.931 -2.011 -1.297],959.99414,,10.0,10.0,959.9941386022167,0.030490164,100,361.39175,1.0790466,,726.1416,1909.3987,97.03,3500,3.0490165,0.54308754,0.002615369,0.2615369,,202114,81.06079,0.0107904645,818.0703,1077.8091
968.11194,2.786952,-1.0,5038101.5,0.022186983,26.445024,0.4189424,36,119.34164524078369,2259.4148,[-0.769  0.96  -2.074 -1.35 ],978.09467,9.982723,10.0,10.0,978.0946711924308,0.20209362,100,356.89374,1.330345,,700.15137,2269.3975,98.84,3600,20.209362,2.2186985,0.00020284581,0.020284582,,211998,35.881493,0.013303449,911.26575,1375.2689
981.2219,1.4800278,-1.0,706456.25,0.007930283,68.467834,0.4189424,37,124.36726117134094,2179.6848,[-0.776  0.927 -2.07  -1.395],991.20294,9.981082,10.0,10.0,991.2029961314852,0.05002659,100,359.986,1.1685709,,723.0247,2189.666,100.15,3700,5.002659,0.7930283,0.0010468869,0.10468869,,222013,67.5663,0.011685708,812.0088,1138.2648
980.7966,1.6282015,-1.0,2968846.2,0.008977774,58.406384,0.4189424,38,129.12593793869019,2749.3594,[-0.801  0.93  -2.072 -1.363],980.7966,,10.0,10.0,980.7965069975438,0.05644302,100,343.5755,1.0638624,,644.0701,2749.3594,99.11,3800,5.6443024,0.89777744,0.0012962568,0.12962568,,231924,61.41746,0.010638625,711.7449,1141.4111
987.7978,1.0898392,-1.0,311210.44,0.0026248258,94.235085,0.4189424,39,134.27697730064392,2539.418,[-0.791  0.954 -2.104 -1.352],987.7978,,10.0,10.0,987.7978184989031,0.019036511,100,394.7631,1.0612336,,676.78394,2539.418,99.81,3900,1.9036511,0.26248258,0.004476926,0.44769257,,241905,91.75665,0.010612338,745.781,1070.4651
756.73944,227.81026,-1.0,1705751400.0,0.8207339,1.2202699,0.4189424,40,138.78687238693237,2149.7173,[-0.812  0.965 -2.122 -1.378],1026.5985,269.85895,10.0,10.0,1026.598518675881,8.254605,100,316.33905,9.122134,,730.26215,2419.5762,103.69,4000,825.4605,82.0734,5.345867e-06,0.0005345867,,252274,0.4389618,0.09122136,2687.0254,7159.744
903.22626,1.2363818,-1.0,346467.3,0.0047307126,84.57953,0.4189424,41,142.45542693138123,2569.3914,[-0.856  0.898 -2.121 -1.405],903.22626,,10.0,10.0,903.226289418011,0.025979092,100,351.25165,1.1079239,,588.5414,2569.3914,91.35,4100,2.5979092,0.47307128,0.002976648,0.29766482,,261409,80.881165,0.011079238,645.7627,995.6693
913.4549,1.2676986,-1.0,502930.72,0.0056236414,78.09428,0.4189424,42,147.4850890636444,2739.4412,[-0.864  0.882 -2.107 -1.415],933.42053,19.96544,10.0,10.0,933.4204662107348,0.037553877,100,358.4298,1.0618142,,595.4635,2759.4065,94.37,4200,3.7553878,0.56236416,0.0020490284,0.20490284,,270846,78.8831,0.010618142,641.4973,1022.01013
390.85626,1.062971,-1.0,459402.3,0.0025679395,94.20551,0.4189424,43,152.30702257156372,1859.7283,[-0.875  0.921 -2.122 -1.427],950.7076,559.8513,10.0,10.0,950.7075266232437,0.016727492,100,306.32785,1.0354184,,654.3707,2419.5796,96.1,4300,1.6727493,0.25679395,0.0049308,0.49308,,280456,94.07594,0.010354183,675.93604,981.4607
589.6959,1.0938226,-1.0,271001.38,0.0029575196,92.71858,0.4189424,44,156.86115193367004,1749.6624,[-0.904  0.941 -2.141 -1.438],949.618,359.92206,10.0,10.0,949.6180049500653,0.019008737,100,286.74606,1.0553672,,691.2477,2109.5845,95.99,4400,1.9008737,0.29575196,0.0018786268,0.18786268,,290055,91.4225,0.010553674,736.3873,1006.6064
887.3505,1.1470486,-1.0,530896.9,0.0043855314,83.94504,0.4189424,45,161.80045795440674,2309.5818,[-0.914  0.949 -2.156 -1.477],897.33374,9.983222,10.0,10.0,897.3337951861342,0.027388453,100,293.40488,1.002802,,613.2463,2319.565,90.76,4500,2.7388453,0.43855312,0.0042691794,0.42691797,,299131,87.18027,0.010028019,627.5944,931.85315
363.54324,1.5583415,-1.0,689179.3,0.00879866,63.56555,0.4189424,46,165.9529333114624,1459.6311,[-0.884  0.932 -2.159 -1.444],933.3275,569.7842,10.0,10.0,933.3274144181431,0.05444895,100,236.79834,1.1621745,,684.77576,2029.4153,94.36,4600,5.4448953,0.879866,0.0022976978,0.2297698,,308567,64.170784,0.011621744,790.1162,1100.392
930.95026,1.1423941,-1.0,210304.19,0.0035713862,89.62844,0.4189424,47,170.423410654068,1649.6287,[-0.871  0.949 -2.175 -1.491],940.9322,9.981913,10.0,10.0,940.9322003078846,0.021399064,100,290.5002,1.0498749,,737.67224,1659.6106,95.12,4700,2.1399064,0.35713863,0.0022959462,0.22959462,,318079,87.53547,0.010498749,766.3791,983.6291
935.443,16.848392,-1.0,134265580.0,0.09861176,5.3195815,0.4189424,48,175.99088215827942,2369.587,[-0.877  0.943 -2.184 -1.522],955.4121,19.969248,10.0,10.0,955.4121301143034,0.814621,100,318.20612,2.337423,,662.75244,2389.5562,96.57,4800,81.4621,9.861176,8.107314e-05,0.008107315,,327736,5.935284,0.023374228,1366.7045,2567.9785
909.3069,1.2207104,-1.0,603492.2,0.004834694,82.379944,0.4189424,49,181.6686441898346,2889.4165,[-0.835  0.982 -2.142 -1.483],1069.2153,159.9085,10.0,10.0,1069.2154103482642,0.025116444,100,369.23535,1.045385,,695.75085,3049.325,107.95,4900,2.5116444,0.4834694,0.002844588,0.2844588,,338531,81.91951,0.01045385,729.0541,1141.6792
1095.7006,1.0544153,-1.0,328329.47,0.0021235652,95.73934,0.4189424,50,186.99706602096558,2569.423,[-0.817  0.985 -2.128 -1.471],1105.6831,9.982572,10.0,10.0,1105.6831152918976,0.016878996,100,390.0367,1.0066389,,789.7717,2579.4058,111.6,5000,1.6878997,0.21235652,0.0041703857,0.41703856,,349691,94.83929,0.010066389,810.11237,1134.5051
529.9193,1.16936,-1.0,562723.4,0.003800425,88.50244,0.4189424,51,192.18779277801514,1749.3848,[-0.818  0.987 -2.123 -1.495],1069.8165,539.89703,10.0,10.0,1069.8163945572746,0.022442896,100,324.8304,1.0544041,,789.4376,2289.2817,108.01,5100,2.2442896,0.38004252,0.003322932,0.3322932,,360492,85.51686,0.010544041,845.63293,1148.8258
811.3597,1.0256968,-1.0,149848.61,0.0016221257,97.49517,0.4189424,52,197.43624091148376,1489.6022,[-0.826  0.985 -2.127 -1.53 ],991.2179,179.85829,10.0,10.0,991.2179382535192,0.01583273,100,264.6381,1.0120143,,786.7516,1669.4604,100.15,5200,1.5832729,0.16221258,0.0062540607,0.6254061,,370507,97.494705,0.010120142,808.99,1016.0667
1051.3485,1.732649,-1.0,1524790.6,0.008484032,62.436714,0.4189424,53,202.53140115737915,1859.3572,[-0.839  1.003 -2.143 -1.56 ],1061.3285,9.979956,10.0,10.0,1061.3284799572157,0.057268877,100,265.7837,1.0938066,,832.38226,1869.3372,107.16,5300,5.7268877,0.84840316,0.0016909873,0.16909873,,381223,57.715096,0.010938066,921.1946,1222.5566
1082.043,1.6986079,-1.0,1754812.0,0.010046837,54.783764,0.4189424,54,206.8134868144989,2269.7048,[-0.829  1.031 -2.153 -1.57 ],1092.0251,9.982186,10.0,10.0,1092.0251737038227,0.05320609,100,348.3797,1.1058803,,812.82166,2279.687,110.23,5400,5.320609,1.0046837,0.0013288357,0.13288358,,392246,58.87174,0.011058803,871.5392,1235.4269
1086.1592,1.003202,-1.0,148832.33,0.00053430797,99.71532,0.4189424,55,211.87710094451904,2919.5676,[-0.782  0.996 -2.158 -1.584],1116.1112,29.952068,10.0,10.0,1116.1112509785717,0.011423123,100,360.42642,0.99998397,,754.87024,2949.5198,112.64,5500,1.1423123,0.053430792,0.008423698,0.8423698,,403510,99.680824,0.00999984,756.2114,1118.0303
1116.4236,1.0771599,-1.0,297093.2,0.002747186,93.19907,0.4189424,56,217.9013340473175,2449.6418,[-0.782  0.997 -2.157 -1.59 ],1116.4236,,10.0,10.0,1116.4235337281762,0.022652248,100,353.02847,1.0169746,,816.4048,2449.6418,112.67,5600,2.265225,0.27471858,0.0036476236,0.36476237,,414777,92.83673,0.010169745,831.421,1142.7993
1059.6442,2.3137615,-1.0,3528681.2,0.018454703,28.761911,0.4189424,57,222.7154221534729,2029.6188,[-0.769  0.979 -2.165 -1.601],1069.6245,9.980374,10.0,10.0,1069.6244945385888,0.1700027,100,340.15027,1.1726267,,819.82556,2039.5991,107.99,5700,17.00027,1.8454701,0.0010086566,0.100865655,,425576,43.219666,0.011726266,891.02814,1270.9985
480.92834,1.0187142,-1.0,594189.56,0.0013669813,98.1918,0.4189424,58,228.50520420074463,1639.834,[-0.755  1.014 -2.117 -1.652],1160.6207,679.6923,10.0,10.0,1160.6207093529292,0.014759507,100,338.6441,1.0073428,,876.5379,2319.5264,117.09,5800,1.4759507,0.13669813,0.0067264913,0.67264915,,437285,98.16296,0.010073427,882.1216,1168.8502
441.23358,1.811821,-1.0,1400817.2,0.010482506,55.06991,0.4189424,59,234.01512026786804,1839.8856,[-0.758  1.018 -2.123 -1.669],1150.9276,709.694,10.0,10.0,1150.9275537632539,0.06531957,100,345.66116,1.1605226,,838.6692,2549.5796,116.12,5900,6.531957,1.0482507,0.0013022845,0.13022846,,448897,55.193092,0.0116052255,983.04346,1403.3555
1111.1406,1.1631494,-1.0,327642.62,0.0039110766,87.672676,0.4189424,60,238.87041926383972,1829.4312,[-0.765  1.058 -2.122 -1.644],1121.124,9.983278,10.0,10.0,1121.1239770863156,0.022120247,100,320.69498,1.0430231,,895.84265,1839.4144,113.14,6000,2.2120247,0.39110765,0.0031735424,0.31735426,,460211,85.97348,0.010430231,925.3164,1168.281
1145.4314,113.851715,-1.0,1329206700.0,0.361324,2.1442697,0.4189424,61,243.8527901172638,2179.8052,[-0.744  1.023 -2.121 -1.649],1145.4314,,10.0,10.0,1145.431400064655,3.5168195,100,363.5637,5.34864,,878.4609,2179.8052,115.57,6100,351.68195,36.1324,5.479223e-06,0.00054792233,,471768,0.8783355,0.053486403,2668.0557,5516.6665
955.00305,1.4423469,-1.0,826055.7,0.006897292,70.75079,0.4189424,62,249.35221552848816,1719.6879,[-0.792  0.969 -2.121 -1.649],984.95154,29.948505,10.0,10.0,984.9515254716744,0.03759119,100,266.2515,1.0727218,,770.66565,1749.6364,99.52,6200,3.759119,0.6897292,0.0025197526,0.25197527,,481720,69.33144,0.010727218,835.82715,1093.1796
1044.8633,1.1183076,-1.0,191304.0,0.0032330083,91.44024,0.4189424,63,254.09441804885864,2199.7344,[-0.814  1.01  -2.127 -1.623],1054.8452,9.9819565,10.0,10.0,1054.8452367449631,0.019856129,100,296.2861,1.0566825,,784.2113,2209.7163,106.51,6300,1.9856129,0.32330084,0.0042564655,0.42564654,,492371,89.42084,0.010566825,817.34045,1103.5359
1040.8317,3.3867638,-1.0,15269014.0,0.024044843,21.150991,0.4189424,64,259.26119208335876,2219.6838,[-0.836  1.022 -2.142 -1.625],1040.8317,,10.0,10.0,1040.8317786906193,0.19487752,100,291.57098,1.2453437,,768.9772,2219.6838,105.11,6400,19.487753,2.4044843,0.00039284636,0.039284635,,502882,29.526712,0.012453436,977.0745,1477.373
509.01688,1.3022089,-1.0,821563.25,0.006092364,73.92189,0.4189424,65,265.61530017852783,1479.8022,[-0.794  1.018 -2.09  -1.545],1198.8058,689.7889,10.0,10.0,1198.805743307195,0.045124196,100,331.98956,1.0257329,,933.0862,2169.591,120.91,6500,4.5124197,0.6092364,0.0019480116,0.19480117,,514973,76.792595,0.010257328,955.3682,1258.5924
1094.025,128.84834,-1.0,2781982700.0,0.5144883,1.2729142,0.4189424,66,270.52265667915344,2199.5994,[-0.78   1.027 -2.111 -1.56 ],1094.025,,10.0,10.0,1094.0250257740386,5.174339,100,346.0212,5.841938,,824.63025,2199.5994,110.43,6600,517.4339,51.44883,8.4662264e-07,8.4662264e-05,,526016,0.77610624,0.05841938,2913.5337,5971.471
1158.1976,1.1243751,-1.0,461469.62,0.0034898296,89.7012,0.4189424,67,276.6858620643616,2379.4998,[-0.702  1.035 -2.153 -1.48 ],1168.178,9.980199,10.0,10.0,1168.177886959178,0.023694897,100,429.36273,1.0299358,,875.52747,2389.48,117.85,6700,2.3694897,0.34898296,0.0032259112,0.32259113,,537801,88.93829,0.0102993585,911.0099,1221.3262
1219.7928,1.8681177,-1.0,2809563.8,0.011845685,47.65038,0.4189424,68,283.49137926101685,2579.528,[-0.692  1.034 -2.139 -1.502],1219.7928,,10.0,10.0,1219.7927625164252,0.08713571,100,448.26285,1.1301512,,903.86633,2579.528,123.01,6800,8.713572,1.1845685,0.0010698823,0.10698824,,550102,53.52982,0.011301512,1003.5788,1435.3842
1232.5751,2.7277634,-1.0,49932308.0,0.022472339,24.875822,0.4189424,69,288.97439551353455,3819.2083,[-0.662  1.035 -2.15  -1.514],1232.5751,,10.0,10.0,1232.5751027678582,0.18234581,100,482.73563,1.2931447,,764.81934,3819.2083,124.29,6900,18.234581,2.2472339,0.0005431099,0.05431099,,562531,36.660072,0.012931446,1329.3363,2101.8787
1295.7147,5.2905846,-1.0,28451608.0,0.034508828,18.00563,0.4189424,70,296.4949040412903,2489.3765,[-0.614  0.973 -2.539 -1.41 ],1305.6947,9.979909,10.0,10.0,1305.6946372392676,0.23074168,100,390.21103,1.6171205,,999.58716,2499.3564,131.6,7000,23.07417,3.4508832,0.00021742225,0.021742225,,575691,18.901503,0.016171204,1475.228,2179.314
1298.0679,1.1049185,-1.0,725369.9,0.0032579354,90.26236,0.4189424,71,302.43707394599915,3219.3987,[-0.613  1.026 -2.538 -1.374],1308.0503,9.982256,10.0,10.0,1308.0501798300634,0.02354879,100,481.60898,0.99190193,,912.5334,3229.3809,131.84,7100,2.354879,0.32579356,0.0042623472,0.42623475,,588875,90.50442,0.009919019,930.556,1346.3038
