StdIWNorm,MeanEntropy,EmpiricalD2,TimestepsSoFar,MaxIWNorm,LearnableVariance,MeanIW,OptimizationReturnMax,ReturnStepMax,Iteration,J_sample_variance,MinIWNorm,EpThisIter,ReturnMeanIW,Bound,StdIW,InitialReturnMax,OptimizationReturnMean,InitialReturnMean,EpRewMean,EpisodesSoFar,MaxIW,InitialReturnStd,ESSRenyi,ReturnStepMaxmin,ESSClassic,OptimizationReturnMin,TimeElapsed,InitialBound,InitialReturnMin,MinIW,EpLenMean,VarianceInit,MeanIWNorm,Weights
0.01512038,0.4189424,1.8825858,331763,0.11151451,,1.2152892,4999.3735,10.0,28,27994024.0,0.0017337839,100,3943.8647,3103.75,1.5120379,4999.3735,3166.1921,3166.1921,3166.1923480294713,2800,11.151451,1725.8021,53.11843,10.0,39.246735,,183.80494570732117,2553.8965,,0.1733784,317.37,-1.0,0.012152893,[ 1.502e-03  3.223e-01 -1.698e+00 -1.545e+00]
0.006237759,0.4189424,1.3761091,363909,0.03191787,,1.113968,4989.4067,10.0,29,11147820.0,0.0024882236,100,3669.4531,2951.1814,0.6237759,4999.3867,3197.5354,3207.5154,3207.5154305037013,2900,3.1917872,1726.764,72.668655,10.0,76.12936,,206.25620675086975,2595.218,9.980186,0.24882238,321.46,-1.0,0.011139679,[-0.008  0.296 -1.752 -1.51 ]
0.0020952076,0.4189424,1.0408919,396496,0.017826067,,1.0154147,4989.5386,10.0,30,3640629.8,0.005558644,100,3364.9485,2740.2405,0.20952077,4999.5234,3240.7144,3250.6987,3250.6992031513755,3000,1.7826068,1589.4009,96.07146,10.0,95.91626,,228.12817311286926,2638.3848,9.984628,0.5558644,325.87,-1.0,0.010154147,[-0.009  0.288 -1.774 -1.536]
0.014584763,0.4189424,3.033328,431079,0.11665148,,1.2426958,4989.369,10.0,31,51890576.0,0.0005042055,100,4833.4165,3767.0193,1.4584764,4999.352,3441.443,3451.4255,3451.42601207055,3100,11.665149,1604.8375,32.96709,10.0,42.062252,,253.4455428123474,2839.1328,9.983042,0.050420552,345.83,-1.0,0.012426958,[-0.01   0.292 -1.794 -1.552]
0.08770506,0.4189424,20.353474,465877,0.81424505,,2.1539354,4999.522,10.0,32,1402422400.0,1.9916486e-05,100,8664.248,5901.8047,8.770507,4999.522,3472.9695,3472.9695,3472.9694154102053,3200,81.42451,1766.4006,4.913166,10.0,5.6882887,,279.0864610671997,2860.6555,,0.0019916487,347.98,-1.0,0.021539353,[ 0.003  0.32  -1.802 -1.568]
0.003833527,0.4189424,1.1412644,500902,0.02817349,,1.0098178,4999.533,10.0,33,6483464.5,0.0041115587,100,3758.1836,3104.0474,0.3833527,4999.533,3494.561,3494.561,3494.56104595684,3300,2.817349,1451.246,87.62211,10.0,87.40376,,305.2317464351654,2882.2456,,0.41115588,350.25,-1.0,0.010098177,[-0.021  0.353 -1.816 -1.543]
0.0034974625,0.4189424,1.1185061,538619,0.021416247,,1.0177729,4709.626,10.0,34,4656222.5,0.0038462307,100,3896.7366,3249.1807,0.3497463,4999.337,3475.1204,3764.831,3764.831220033383,3400,2.1416247,1448.0754,89.40497,10.0,89.43842,,345.69546723365784,3152.54,289.7107,0.38462308,377.17,-1.0,0.010177729,[-0.02   0.364 -1.88  -1.542]
0.010485226,0.4189424,1.8004749,576441,0.06833846,,1.1746058,4949.583,10.0,35,19704066.0,0.0010573294,100,4403.5273,3581.9172,1.0485226,4999.4995,3725.7532,3775.6694,3775.669502331705,3500,6.833846,1553.946,55.5409,10.0,55.65325,,398.9988839626312,3163.3584,49.916424,0.10573294,378.22,-1.0,0.011746058,[-0.022  0.374 -1.896 -1.537]
0.02033903,0.4189424,4.8530912,611875,0.13730182,,1.1619544,4989.571,10.0,36,106320000.0,0.00025533323,100,5287.407,3938.4875,2.0339031,4999.5537,3526.2039,3536.1868,3536.1868482886616,3600,13.730183,1361.3926,20.605423,10.0,24.606573,,456.90776562690735,2923.8691,9.982872,0.025533324,354.34,-1.0,0.011619543,[-0.034  0.391 -1.931 -1.578]
0.011892127,0.4189424,2.3012805,654610,0.058290157,,1.2082374,4969.486,10.0,37,32258718.0,0.0005797654,100,5162.327,4233.466,1.1892127,4999.4307,4238.475,4268.42,4268.420044104175,3700,5.8290157,1241.316,43.454067,10.0,50.7935,,506.4975528717041,3656.1172,29.944592,0.05797654,427.35,-1.0,0.012082374,[-0.011  0.388 -1.943 -1.596]
0.0509572,0.4189424,13.713053,694320,0.44578287,,1.6509308,4719.6294,10.0,38,574097150.0,4.69212e-05,100,7411.364,5143.908,5.09572,4999.4946,3685.2332,3965.0984,3965.0981489565283,3800,44.57829,1344.1755,7.292322,10.0,9.499436,,553.914746761322,3352.7876,279.86517,0.00469212,397.1,-1.0,0.01650931,[-0.02   0.421 -1.953 -1.6  ]
