Weights,InitialReturnMax,EpisodesSoFar,MinTargetPdf,ESSRenyiArithmetic,ReturnStepMaxmin,DivergenceHarmonic,EpRewMean,EpLenMean,EmpiricalD2Arithmetic,Inner Iteration,WReturnMean,ReturnMeanIW,MinIW,TimeElapsed,InitialBound,ReturnStepMax,MeanEntropy,ESSRenyiHarmonic,MeanIW,InitialReturnStd,InitialReturnMin,MinBehavPdf,TimestepsSoFar,StdIW,Penalization,EmpiricalD2Harmonic,VarianceInitializer,Bound,MaxIW,StdWReturnMean,InitialReturnMean,Iteration,EpThisIter,LearnableVariance,MeanD2-0
[-0.301  0.296 -0.798 -1.346],1419.5955,1100,-60.72981,100.0,10.0,1.8203035e+18,590.780867835968,60.1,1.0,1,403022.3,13208101000.0,0.041578982,16.683639526367188,-519373.25,10.0,0.4189424,100.0,46433.89,232.37953,19.963348,-60.72981,40205,226476.97,True,1.0,-1,-156991810000000.0,1905303.1,,590.7809,11,100,,1.0
[-0.223  0.394 -0.801 -1.335],2919.267,1200,-121.272766,100.0,9.999999,4333264000.0,867.5029942738797,87.78,1.0,1,969601.6,17797704.0,0.12404197,18.472387075424194,-1461628.8,9.999999,0.4189424,100.0,27.901525,465.87573,39.937122,-121.272766,48983,131.92534,True,1.0,-1,-32406575000.0,1316.0979,,867.503,12,100,,1.0
[-0.141  0.353 -0.823 -1.417],2168.8235,1300,-95.60724,100.0,10.0,949619850000.0,818.9703190291984,82.93,1.0,1,881970.5,66296504.0,0.050996907,21.12067151069641,-1153545.5,10.0,0.4189424,100.0,110.28114,459.62833,9.979722,-95.60724,57276,240.36499,True,1.0,-1,-264710680000.0,1544.455,,818.97034,13,100,,1.0
[-0.101  0.404 -0.87  -1.321],2199.185,1400,-91.19377,100.0,10.0,7.957634e+22,825.7511774507494,83.61,1.0,1,971151.0,888837400.0,0.14159338,23.700554609298706,-1250382.8,10.0,0.4189424,100.0,373.51352,537.85315,9.980831,-91.19377,65637,1206.0974,True,1.0,-1,-7.876892e+16,8367.961,,825.7512,14,100,,1.0
[-0.172  0.321 -0.893 -1.378],2719.2217,1500,-88.25565,100.0,10.0,1590260900000.0,907.514993877977,91.78,1.0,1,1026572.8,831810240.0,0.022734782,25.88115930557251,-1453477.2,10.0,0.4189424,100.0,335.97107,450.54352,,-88.25565,74815,1892.9484,True,1.0,-1,-539179420000.0,18154.453,,907.515,15,100,,1.0
[-0.186  0.229 -0.92  -1.456],1629.6735,1600,-65.41108,100.0,10.0,150610260.0,643.3927722190073,65.36,1.0,1,515400.06,44267996.0,0.043833476,28.01716375350952,-668735.3,10.0,0.4189424,100.0,30.28463,318.50558,9.9808445,-65.41108,81351,155.37822,True,1.0,-1,-1926043500.0,1535.9414,,643.39276,16,100,,1.0
[-0.269  0.244 -0.937 -1.366],1539.7233,1700,-74.40268,100.0,10.0,128760590000000.0,576.4734917435715,58.67,1.0,1,409508.2,484864480.0,0.029462436,29.686288833618164,-546383.8,10.0,0.4189424,100.0,2351.8306,277.8246,9.979258,-74.40268,87218,12544.385,True,1.0,-1,-1553644800000.0,113641.086,,576.4735,17,100,,1.0
[-0.187  0.314 -0.954 -1.427],2659.7234,1800,-103.97188,100.0,10.0,302777400000000.0,855.639071647299,86.59,1.0,1,885732.0,6661932500.0,0.05441322,32.550209522247314,-1294158.9,10.0,0.4189424,100.0,12999.275,391.93597,19.960049,-103.97188,95877,61102.27,True,1.0,-1,-7113461500000.0,537907.7,,855.63904,18,100,,1.0
[-0.157  0.43  -0.983 -1.444],2498.9775,1900,-103.62178,100.0,10.0,1866845000000000.0,1058.3080437930626,106.87,1.0,1,1388830.0,114715800.0,0.112846754,34.83434772491455,-1749380.8,10.0,0.4189424,100.0,104.800026,518.47296,19.961033,-103.62178,106564,466.12903,True,1.0,-1,-15578347000000.0,3872.1538,,1058.3081,19,100,,1.0
[-0.234  0.502 -1.018 -1.387],2309.5388,2000,-90.37544,100.0,10.0,3.4189092e+26,1060.2265836002282,107.06,1.0,1,1278626.5,238333670000.0,0.057927433,37.83773922920227,-1586585.1,10.0,0.4189424,100.0,186315.5,393.1235,89.884834,-90.37544,117270,841787.2,True,1.0,-1,-5.6942124e+18,7298704.5,,1060.2266,20,100,,1.0
[-0.119  0.528 -1.037 -1.423],3089.504,2100,-122.349464,100.0,10.0,144525170.0,897.2295474674927,90.76,1.0,1,1180594.9,25022422.0,0.04018613,39.85310506820679,-1731680.2,10.0,0.4189424,100.0,11.560058,612.84094,19.96237,-122.349464,126346,26.73315,True,1.0,-1,-6650064000.0,226.75931,,897.22955,21,100,,1.0
[-0.073  0.46  -1.076 -1.509],4417.703,2200,-173.52733,100.0,10.0,7331346000000.0,1195.9056790698805,120.64,1.0,1,2051141.4,72394376.0,0.04522421,43.77021503448486,-3177911.0,10.0,0.4189424,100.0,16.044235,788.0045,9.981114,-173.52733,138410,59.812935,True,1.0,-1,-3050946400000.0,445.32333,,1195.9058,22,100,,1.0
[-0.128  0.439 -1.092 -1.522],3338.8557,2300,-125.617615,100.0,10.0,3.6578352e+18,1276.2482928782522,128.67,1.0,1,2080080.4,2187662800.0,0.0033509827,47.52663588523865,-2723712.2,10.0,0.4189424,100.0,988.33453,671.76697,29.946968,-125.617615,151277,4940.7925,True,1.0,-1,-1230970100000000.0,41149.6,,1276.2484,23,100,,1.0
[-0.047  0.366 -1.109 -1.58 ],4138.326,2400,-172.24124,100.0,10.0,3.849402e+30,1508.6344708037147,151.92,1.0,1,3102227.5,140107170000.0,0.17438754,51.08532452583313,-4090990.8,10.0,0.4189424,100.0,43582.945,908.98267,9.980178,-172.24124,166469,247926.14,True,1.0,-1,-1.9399274e+21,1908809.5,,1508.6344,24,100,,1.0
[ 0.022  0.403 -1.172 -1.654],4628.625,2500,-200.62672,100.0,9.999999,7.107855e+18,1115.1213073645883,112.56,1.0,1,1877613.6,159464420.0,0.3356846,53.50739645957947,-3114546.0,9.999999,0.4189424,100.0,43.955112,796.3153,19.969284,-200.62672,177725,95.45685,True,1.0,-1,-3297711600000000.0,760.00977,,1115.1213,25,100,,1.0
[-0.083  0.357 -1.2   -1.697],3359.493,2600,-122.17617,100.0,10.0,3440481700000.0,1475.719308723672,148.62,1.0,1,2609078.0,167853890.0,0.048882242,56.84826588630676,-3260691.5,10.0,0.4189424,100.0,49.19046,656.7577,49.921253,-122.17617,192587,143.99979,True,1.0,-1,-1208806500000.0,849.6524,,1475.7192,26,100,,1.0
[-0.025  0.335 -1.203 -1.701],4998.4863,2700,-223.89287,100.0,10.0,1.10278245e+20,1901.0559795203437,191.16,1.0,1,5141916.0,3723981300.0,0.03096259,62.5452446937561,-6584432.0,10.0,0.4189424,100.0,292.7427,1236.0835,9.983813,-223.89287,211703,962.6946,True,1.0,-1,-1.5148213e+16,5831.8037,,1901.0559,27,100,,1.0
[-0.062  0.289 -1.294 -1.763],4658.6523,2800,-194.7193,100.0,10.0,3.8850642e+17,1690.021346120196,170.05,1.0,1,3762016.0,621008600.0,0.10633291,66.64045238494873,-5015052.0,10.0,0.4189424,100.0,209.22183,951.7584,49.922745,-194.7193,228708,589.7398,True,1.0,-1,-781015040000000.0,4728.507,,1690.0212,28,100,,1.0
[-1.760e-04  2.965e-01 -1.297e+00 -1.764e+00],4999.365,2900,-215.41586,100.0,10.0,5.121185e+22,1897.1647418729713,190.77,1.0,1,5138624.5,703209700.0,0.09790206,71.15954327583313,-6581647.5,10.0,0.4189424,100.0,55.874054,1240.7217,9.983801,-215.41586,247785,206.55533,True,1.0,-1,-3.2655348e+17,1769.9362,,1897.1647,29,100,,1.0
[-0.05   0.264 -1.308 -1.781],3468.732,3000,-152.25613,100.0,10.0,4.363364e+17,1485.3709220075282,149.58,1.0,1,3043311.8,4205269000.0,0.03321598,75.13367533683777,-3737990.5,10.0,0.4189424,100.0,1078.1042,914.8688,9.980674,-152.25613,262743,4909.1177,True,1.0,-1,-458876200000000.0,41995.793,,1485.3711,30,100,,1.0
[ 0.009  0.286 -1.309 -1.781],4999.2705,3100,-221.65506,100.0,10.0,1.9975077e+22,1870.845366414723,188.09,1.0,1,5512992.0,472765120.0,0.011925581,80.11974811553955,-6955960.0,10.0,0.4189424,100.0,26.965471,1418.7776,9.982525,-221.65506,281552,107.25081,True,1.0,-1,-2.0393742e+17,866.18555,,1870.8453,31,100,,1.0
[-0.047  0.262 -1.318 -1.77 ],4998.4336,3200,-222.53133,100.0,10.0,7.452213e+16,1584.3310479974334,159.46,1.0,1,3813543.0,1055881860.0,0.08706759,86.133962392807,-5256026.0,10.0,0.4189424,100.0,328.90878,1141.6823,19.969418,-222.53133,297498,918.5111,True,1.0,-1,-393777600000000.0,6616.1685,,1584.331,32,100,,1.0
[ 0.007  0.292 -1.321 -1.774],4998.8145,3300,-217.19916,100.0,10.0,1.756347e+20,1948.3628232919104,195.85,1.0,1,5741292.5,155208260.0,0.12086477,94.03541159629822,-7183998.0,10.0,0.4189424,100.0,19.613577,1394.6951,19.961538,-217.19916,317083,46.9214,True,1.0,-1,-1.9119588e+16,384.80176,,1948.3627,33,100,,1.0
[-0.048  0.309 -1.341 -1.763],4999.0474,3400,-240.6596,100.0,10.0,25963277000000.0,1898.048706420191,190.83,1.0,1,4862846.5,367583200.0,0.08500493,101.86260628700256,-6305686.0,10.0,0.4189424,100.0,73.51393,1122.6123,,-240.6596,336166,384.82657,True,1.0,-1,-7352166600000.0,3817.506,,1898.0486,34,100,,1.0
[ 0.004  0.277 -1.348 -1.772],4999.1436,3500,-249.84326,100.0,10.0,1.04995055e+36,2005.15720742384,201.53,1.0,1,5952530.0,2154679100000.0,0.12898816,109.31883668899536,-7395426.0,10.0,0.4189424,100.0,264435.9,1389.919,369.67798,-249.84326,356319,1653766.8,True,1.0,-1,-1.4784786e+24,16266433.0,,2005.1572,35,100,,1.0
[ 0.02   0.4   -1.366 -1.777],4999.103,3600,-214.14946,100.0,10.0,28334467000.0,1860.9819304489245,187.14,1.0,1,5346055.0,18994338.0,0.16966043,117.64405751228333,-6788926.0,10.0,0.4189424,100.0,3.3022137,1372.1522,39.937622,-214.14946,375033,1.8831064,True,1.0,-1,-242893010000.0,9.326685,,1860.9819,36,100,,1.0
[-0.037  0.398 -1.384 -1.796],4999.242,3700,-225.01163,100.0,10.0,4.272367e+26,2549.072311348826,255.91,1.0,1,8249289.5,95718015000.0,0.011938963,132.34558510780334,-9692246.0,10.0,0.4189424,100.0,6488.0806,1323.4502,329.74786,-225.01163,400624,34627.08,True,1.0,-1,-2.9825106e+19,330120.94,,2549.0723,37,100,,1.0
[ 0.021  0.326 -1.468 -1.802],4999.3193,3800,-234.08942,100.0,10.0,7400004000000000.0,2450.520167053844,246.03,1.0,1,8290450.0,102765160.0,0.034390856,142.79395842552185,-9733450.0,10.0,0.4189424,100.0,10.594885,1511.7543,29.944275,-234.08942,425227,16.216084,True,1.0,-1,-124130200000000.0,102.29268,,2450.5203,38,100,,1.0
[-0.037  0.345 -1.477 -1.796],4999.328,3900,-224.14717,100.0,10.0,3.5575794e+27,2490.9134654573463,250.06,1.0,1,8274248.5,75823820000.0,0.08735769,151.817622423172,-9717254.0,10.0,0.4189424,100.0,7787.044,1438.6101,29.945745,-224.14717,450233,39810.227,True,1.0,-1,-8.606766e+19,379972.7,,2490.9133,39,100,,1.0
[ 0.024  0.347 -1.486 -1.803],4998.933,4000,-200.66798,100.0,10.0,3317172000000.0,2185.9402084313247,219.6,1.0,1,6754430.5,172637920.0,0.12879935,162.82209658622742,-8197206.5,10.0,0.4189424,100.0,16.380394,1405.7369,19.961456,-200.66798,472193,47.135525,True,1.0,-1,-2627886400000.0,461.09586,,2185.9402,40,100,,1.0
[-0.022  0.307 -1.497 -1.808],4999.4663,4100,-236.01389,100.0,10.0,3.3466118e+33,2649.407870243426,265.87,1.0,1,9222490.0,366101040000.0,0.08029492,178.29146575927734,-10665577.0,10.0,0.4189424,100.0,24865.408,1484.2938,9.979712,-236.01389,498780,161896.38,True,1.0,-1,-8.348133e+22,1598158.8,,2649.4077,41,100,,1.0
[ 0.039  0.317 -1.5   -1.808],4998.8965,4200,-222.57549,100.0,10.0,2.5169708e+34,1824.9542288951718,183.5,1.0,1,5225101.5,15460509000.0,1.2628918,190.55655717849731,-6667853.0,10.0,0.4189424,100.0,1167.4077,1376.4607,49.932247,-222.57549,517130,3916.518,True,1.0,-1,-2.2888997e+23,35706.688,,1824.9542,42,100,,1.0
[-0.079  0.318 -1.537 -1.791],4999.4707,4300,-224.77313,100.0,10.0,4.4393203e+18,1678.3798067352761,168.83,1.0,1,3857418.0,470385500.0,0.08164281,202.94225668907166,-5300500.0,10.0,0.4189424,100.0,247.87067,1020.029,19.96381,-224.77313,534013,1351.3683,True,1.0,-1,-3040505000000000.0,13550.766,,1678.3799,43,100,,1.0
[-0.017  0.328 -1.541 -1.791],4999.49,4400,-242.30171,100.0,10.0,1.3399027e+29,3001.1619347918167,300.99,1.0,1,11062976.0,249611060000.0,0.051105574,226.00278759002686,-12506079.0,10.0,0.4189424,100.0,14616.554,1433.8771,339.72455,-242.30171,564112,120402.87,True,1.0,-1,-5.2823536e+20,1209819.1,,3001.1619,44,100,,1.0
[ 0.037  0.308 -1.562 -1.805],4999.409,4500,-227.66422,100.0,10.0,2724454500000.0,2292.0050773983394,230.16,1.0,1,7989454.0,69827500.0,0.0066007706,245.80724954605103,-9432505.0,10.0,0.4189424,100.0,8.327137,1654.1362,19.965961,-227.66422,587128,8.584621,True,1.0,-1,-2381931600000.0,68.44382,,2292.005,45,100,,1.0
[-0.024  0.298 -1.571 -1.807],4999.4873,4600,-245.73279,100.0,10.0,4.853606e+26,2956.031546394772,296.49,1.0,1,10849046.0,22225620000.0,0.08790459,276.48710441589355,-12292148.0,10.0,0.4189424,100.0,2736.68,1452.9017,69.89053,-245.73279,616777,8953.421,True,1.0,-1,-3.1792346e+19,63350.77,,2956.0315,46,100,,1.0
[ 0.027  0.332 -1.581 -1.807],4999.424,4700,-234.73207,100.0,10.0,2440526600000.0,2398.852523830863,240.84,1.0,1,8439921.0,119313864.0,0.41706565,304.4584288597107,-9882981.0,10.0,0.4189424,100.0,10.95179,1638.7277,19.965315,-234.73207,640861,14.512004,True,1.0,-1,-2254467800000.0,102.80279,,2398.8523,47,100,,1.0
[-0.033  0.343 -1.596 -1.804],4999.4424,4800,-238.49507,100.0,10.0,4.1835807e+29,3077.555856375222,308.62,1.0,1,11481089.0,55296920000.0,0.046296317,338.32132959365845,-12924166.0,10.0,0.4189424,100.0,6089.375,1417.6526,29.952778,-238.49507,671723,17148.207,True,1.0,-1,-9.333759e+20,115731.375,,3077.556,48,100,,1.0
[ 0.029  0.349 -1.602 -1.807],4999.2046,4900,-235.2741,100.0,10.0,2083985400000000.0,2550.552267065496,255.95,1.0,1,9200014.0,149927860.0,0.12191872,372.25019431114197,-10642949.0,10.0,0.4189424,100.0,15.176367,1641.5531,19.969936,-235.2741,697318,38.554016,True,1.0,-1,-65870280000000.0,247.10452,,2550.552,49,100,,1.0
[-0.024  0.374 -1.616 -1.79 ],4999.4927,5000,-244.61772,100.0,10.0,1.2913123e+26,3316.057137202203,332.4,1.0,1,13290297.0,70807140000.0,0.045528512,410.5424726009369,-14733404.0,10.0,0.4189424,100.0,6568.073,1514.6165,19.961678,-244.61772,730558,24861.883,True,1.0,-1,-1.6398605e+19,163731.22,,3316.0571,50,100,,1.0
[ 0.028  0.406 -1.619 -1.777],4999.3574,5100,-236.85121,100.0,10.0,909921540.0,2796.5417342683,280.54,1.0,1,10665692.0,125982616.0,0.06151167,440.5597369670868,-12108717.0,10.0,0.4189424,100.0,10.793135,1686.7267,,-236.85121,758612,21.99449,True,1.0,-1,-43654083000.0,163.78781,,2796.542,51,100,,1.0
[-0.01   0.361 -1.632 -1.795],4999.5186,5200,-230.34494,100.0,10.0,5.510357e+22,3368.8746048442404,337.6,1.0,1,14145340.0,200164430000.0,0.10141868,483.2464108467102,-15588462.0,10.0,0.4189424,100.0,13112.103,1672.1318,9.9798,-230.34494,792372,54253.133,True,1.0,-1,-3.387551e+17,375803.84,,3368.875,52,100,,1.0
[ 0.044  0.372 -1.659 -1.809],4999.2324,5300,-231.67345,100.0,10.0,181923150000.0,2606.02234144018,261.48,1.0,1,9608159.0,70430770.0,0.0082971165,516.3394718170166,-11051111.0,10.0,0.4189424,100.0,7.8089623,1678.3346,,-231.67345,818520,11.521426,True,1.0,-1,-615516540000.0,74.27805,,2606.0222,53,100,,1.0
[-0.011  0.349 -1.668 -1.827],4999.422,5400,-239.99858,100.0,10.0,1.4501336e+21,3509.5104429702465,351.65,1.0,1,14829941.0,18009340000.0,0.039237253,570.1133580207825,-16273009.0,10.0,0.4189424,100.0,1255.7432,1585.3315,319.69342,-239.99858,853685,3292.3286,True,1.0,-1,-5.495195e+16,18719.307,,3509.5107,54,100,,1.0
[ 0.03   0.395 -1.679 -1.822],4999.5356,5500,-235.45396,100.0,10.0,1.0382726e+31,3215.8163047770995,322.39,1.0,1,13181268.0,772112100000.0,0.28823245,615.3942668437958,-14624399.0,10.0,0.4189424,100.0,36098.52,1685.1692,,-235.45396,885924,180783.33,True,1.0,-1,-4.6500156e+21,1543986.0,,3215.8162,55,100,,1.0
[-0.052  0.474 -1.73  -1.828],4999.383,5600,-251.2773,100.0,10.0,2.7519906e+30,3218.7864013527865,322.78,1.0,1,12387112.0,204644910000.0,0.025233937,663.6826045513153,-13830155.0,10.0,0.4189424,100.0,24153.516,1423.5615,19.961182,-251.2773,918202,123145.91,True,1.0,-1,-2.3938428e+21,878690.25,,3218.7866,56,100,,1.0
[ 0.01   0.483 -1.732 -1.824],4999.5034,5700,-236.33614,100.0,10.0,2514401000000.0,3411.4892632739757,341.85,1.0,1,14704262.0,541347100.0,0.014480022,709.5290098190308,-16147376.0,10.0,0.4189424,100.0,36.92042,1751.0011,9.980671,-236.33614,952387,147.07797,True,1.0,-1,-2288828000000.0,1411.9778,,3411.4893,57,100,,1.0
[-0.023  0.438 -1.744 -1.85 ],4999.477,5800,-243.22092,100.0,10.0,3.0551407e+32,3750.802859985197,375.72,1.0,1,16480101.0,1194998500000.0,0.03423901,752.4849164485931,-17923202.0,10.0,0.4189424,100.0,84254.17,1552.9264,,-243.22092,989959,270668.12,True,1.0,-1,-2.5223428e+22,1718240.8,,3750.8032,58,100,,1.0
[ 0.039  0.442 -1.75  -1.857],4999.5103,5900,-229.56088,100.0,10.0,1.5695255e+17,3003.0833870938873,301.11,1.0,1,12150079.0,55655656.0,0.07978807,779.8291227817535,-13593194.0,10.0,0.4189424,100.0,4.8241835,1769.6239,259.72296,-229.56088,1020070,3.6110241,True,1.0,-1,-571713570000000.0,17.544598,,3003.0835,59,100,,1.0
[-0.021  0.439 -1.766 -1.868],4999.5747,6000,-255.59445,100.0,10.0,3.052003e+32,3920.3808853064756,392.71,1.0,1,17198462.0,6886403300000.0,0.097302996,829.3810346126556,-18641620.0,10.0,0.4189424,100.0,541328.94,1352.4331,,-255.59445,1059341,2236032.5,True,1.0,-1,-2.521146e+22,16847958.0,,3920.3809,60,100,,1.0
[ 0.038  0.46  -1.771 -1.862],4999.3584,6100,-227.32796,100.0,10.0,1.4794018e+17,3167.6662919659298,317.55,1.0,1,12646403.0,132820350.0,0.17573115,880.1655406951904,-14089431.0,10.0,0.4189424,100.0,9.245901,1616.2589,9.980951,-227.32796,1091096,23.17326,True,1.0,-1,-555023160000000.0,210.70601,,3167.6663,61,100,,1.0
[-0.02   0.438 -1.782 -1.864],4999.4893,6200,-235.97409,100.0,10.0,4.694482e+34,4126.8778088779845,413.21,1.0,1,18798984.0,39340684000000.0,0.14130847,937.4551243782043,-20242094.0,10.0,0.4189424,100.0,3166095.8,1329.6111,39.931416,-235.97409,1132417,28110650.0,True,1.0,-1,-3.1266875e+23,282002900.0,,4126.878,62,100,,1.0
[ 0.04   0.456 -1.789 -1.865],4999.4253,6300,-242.93193,100.0,10.0,20081185000.0,3289.621054629009,329.69,1.0,1,13709285.0,176967410.0,0.048988275,981.6758034229279,-15152352.0,10.0,0.4189424,100.0,11.724739,1699.3173,9.984064,-242.93193,1165386,18.30528,True,1.0,-1,-204667960000.0,89.79489,,3289.6208,63,100,,1.0
[-0.01   0.423 -1.801 -1.878],4999.5347,6400,-243.6403,100.0,10.0,1.6292127e+32,4287.034276901432,429.15,1.0,1,20109188.0,573424660000.0,0.029435813,1048.6850414276123,-21552326.0,10.0,0.4189424,100.0,30227.135,1315.494,,-243.6403,1208301,166739.4,True,1.0,-1,-1.8419906e+22,1439153.2,,4287.034,64,100,,1.0
[ 0.043  0.45  -1.806 -1.861],4999.345,6500,-254.75406,100.0,10.0,359405700.0,3486.4308393904917,349.28,1.0,1,15239600.0,91010710.0,0.20217274,1103.936200618744,-16682622.0,10.0,0.4189424,100.0,6.9873185,1756.246,299.76483,-254.75406,1243229,7.52564,True,1.0,-1,-27447357000.0,45.453094,,3486.431,65,100,,1.0
[-0.012  0.431 -1.821 -1.877],4999.4707,6600,-262.52304,100.0,10.0,1560748800.0,4367.972927026049,437.19,1.0,1,20771150.0,320934820.0,0.18946637,1150.04634141922,-22214252.0,10.0,0.4189424,100.0,20.377928,1300.755,9.981719,-262.52304,1286948,59.08806,True,1.0,-1,-57331310000.0,429.64435,,4367.973,66,100,,1.0
[ 0.018  0.434 -1.828 -1.881],4999.2656,6700,-247.83722,100.0,10.0,162978000000.0,3508.988508465422,351.5,1.0,1,15447740.0,148183000.0,0.107238874,1189.0444693565369,-16890716.0,10.0,0.4189424,100.0,9.184508,1770.5198,,-247.83722,1322098,15.669571,True,1.0,-1,-582675460000.0,104.04317,,3508.9885,67,100,,1.0
[-0.03   0.458 -1.842 -1.912],4999.4775,6800,-261.5778,100.0,10.0,695959230.0,3949.4466588329697,395.52,1.0,1,17712292.0,149867420.0,0.1483784,1242.6646628379822,-19155394.0,10.0,0.4189424,100.0,11.159773,1454.0155,,-261.5778,1361650,27.651978,True,1.0,-1,-38219660000.0,203.70042,,3949.4465,68,100,,1.0
[ 1.466e-03  4.560e-01 -1.843e+00 -1.915e+00],4999.574,6900,-241.70937,100.0,10.0,2.3444138e+23,4186.505448257755,419.09,1.0,1,19395396.0,3167851800.0,0.060681038,1298.2365481853485,-20838556.0,10.0,0.4189424,100.0,133.76166,1366.9553,669.62335,-241.70937,1403559,410.438,True,1.0,-1,-6.987512e+17,3061.537,,4186.5054,69,100,,1.0
[-0.06   0.461 -1.853 -1.911],4999.418,7000,-233.73792,100.0,10.0,2.5477378e+24,3213.948668124292,322.32,1.0,1,11720237.0,24291428000.0,0.0928075,1340.9698739051819,-13163300.0,10.0,0.4189424,100.0,5384.63,1179.31,659.5031,-233.73792,1435791,25733.484,True,1.0,-1,-2.3033273e+18,241735.48,,3213.9485,70,100,,1.0
[ 1.820e-03  4.703e-01 -1.855e+00 -1.914e+00],4999.537,7100,-251.09897,100.0,10.0,1273893500000000.0,3969.9027200643964,397.41,1.0,1,18714148.0,5362073000.0,0.07889943,1389.0880372524261,-20157284.0,10.0,0.4189424,100.0,215.2593,1718.7264,9.979897,-251.09897,1475532,1291.9923,True,1.0,-1,-51512273000000.0,12597.115,,3969.9026,71,100,,1.0
[ 0.044  0.435 -1.87  -1.94 ],4999.3896,7200,-248.1602,100.0,10.0,1091409540000.0,3575.01551048647,358.12,1.0,1,15761051.0,174109820.0,0.12176255,1438.9401924610138,-17204100.0,10.0,0.4189424,100.0,11.01998,1726.3586,319.7944,-248.1602,1511344,26.12641,True,1.0,-1,-1507708400000.0,250.88481,,3575.0156,72,100,,1.0
