InitialReturnMax,InitialReturnStd,MeanEntropy,StdIW,Bound,MinIW,ReturnMeanIW,ESSClassic,TimestepsSoFar,MaxIWNorm,EmpiricalD2,EpThisIter,OptimizationReturnMax,ESSRenyi,Iteration,InitialReturnMin,InitialReturnMean,MinIWNorm,EpisodesSoFar,OptimizationReturnMin,VarianceInit,ReturnStepMax,MaxIW,MeanIW,MeanIWNorm,StdIWNorm,J_sample_variance,EpLenMean,Weights,LearnableVariance,OptimizationReturnMean,EpRewMean,ReturnStepMaxmin,InitialBound,TimeElapsed
1639.671,223.90273,0.1065901,0.8285882,743.0318,0.08856392,998.57135,67.12863,139868,0.04438734,1.619241,100,1179.855,61.757328,26,459.8161,798.6329,0.00088563917,2600,,-1,10.0,4.438734,1.1840872,0.011840872,0.008285882,701329.9,80.89,[-1.063  0.958 -1.502 -2.02  -1.279],True,338.8168,798.6329371151412,10.0,597.81506,138.63567209243774
1599.738,216.41718,0.044019863,6.7626457,1010.85895,0.0033936307,1781.2795,5.013005,147884,0.64825964,15.462039,100,1149.9355,6.4674525,27,449.80246,791.335,3.3936307e-05,2700,,-1,10.0,64.825966,1.5535798,0.015535801,0.067626454,49896750.0,80.16,[-1.085  0.991 -1.507 -1.976 -1.312],True,341.5326,791.3350220794779,10.0,595.4079,146.40707445144653
1829.763,226.88724,0.1517391,47.519028,2304.0283,0.0063965577,4353.1797,1.5127072,156183,4.770492,83.61171,100,1260.0168,1.1960047,28,569.7461,819.63367,6.396558e-05,2800,,-1,10.0,477.04922,5.88918,0.058891803,0.47519022,63204530.0,82.99,[-1.009  0.967 -1.504 -1.99  -1.375],True,249.88754,819.633640667541,10.0,595.5343,154.8204221725464
1439.7432,199.37444,0.18401931,2.6053033,910.32495,0.03391661,1264.9512,20.701813,164791,0.22653429,4.0446434,100,930.025,24.724058,29,509.71817,850.546,0.00033916612,2900,,-1,10.0,22.653429,1.3311616,0.013311615,0.026053032,3401815.0,86.08,[-0.998  0.993 -1.513 -1.955 -1.267],True,340.82785,850.546010468306,10.0,674.21423,162.5249583721161
1759.7073,238.68974,0.1514741,1.6464356,821.6583,0.060035914,1169.016,40.331783,173583,0.11084425,2.5976565,100,1209.9233,38.49624,30,549.78394,868.9405,0.0006003591,3000,,-1,10.0,11.084425,1.3536206,0.0135362055,0.016464354,972243.5,87.92,[-1.026  1.025 -1.492 -1.856 -1.235],True,319.1565,868.9404045972033,10.0,653.421,170.26284217834473
1599.662,241.08557,0.0924422,2.2394156,840.17975,0.029229905,1249.8694,26.143736,181890,0.13380337,4.372826,100,1599.662,22.868505,31,,820.4472,0.00029229905,3100,,-1,10.0,13.380337,1.33237,0.013323699,0.022394154,7229116.0,83.07,[-1.064  1.033 -1.499 -1.825 -1.267],True,820.4472,820.4471923726945,10.0,624.5294,177.49822092056274
1739.7512,227.56526,0.084649004,0.9843874,773.78125,0.19523934,1055.1309,62.070404,190526,0.04658456,1.74352,100,1729.771,57.355236,32,9.980267,853.3448,0.0019523933,3200,,-1,10.0,4.6584563,1.259271,0.012592709,0.009843874,694590.06,86.36,[-1.036  1.044 -1.505 -1.842 -1.326],True,843.36444,853.3447394141255,10.0,640.2696,184.82654929161072
1749.7075,249.51408,0.11031125,0.5877695,733.4363,0.23879595,983.26,75.912,199472,0.03324843,1.3590801,100,1329.8962,73.579185,33,419.8113,884.3473,0.0023879595,3300,,-1,10.0,3.324843,1.043427,0.01043427,0.005877695,545615.94,89.46,[-1.009  1.03  -1.504 -1.888 -1.334],True,464.53598,884.3472734296965,10.0,670.0527,193.01635122299194
1819.7307,231.83669,0.10649853,0.16941124,692.50525,0.64701396,919.58575,97.29379,208587,0.014511108,1.0381356,100,1429.9159,96.32652,34,389.81482,901.2551,0.0064701396,3400,,-1,10.0,1.4511108,1.0157907,0.010157907,0.0016941123,236746.73,91.15,[-1.014  1.05  -1.505 -1.883 -1.309],True,511.44034,901.2551554806236,10.0,678.3845,201.20490145683289
1419.7224,219.27257,0.091717966,1.1362174,747.49304,0.09155135,989.24774,51.692562,217106,0.07387097,1.9330881,100,1419.7224,51.7307,35,,841.65564,0.0009155135,3500,,-1,10.0,7.3870974,1.1753535,0.011753534,0.011362174,1121777.0,85.19,[-1.027  1.058 -1.515 -1.886 -1.312],True,841.65564,841.6556287937343,10.0,667.7759,208.47439408302307
