InitialReturnMin,Penalization,InitialReturnStd,InitialReturnMax,InitialBound,DivergenceHarmonic,MeanIW,MeanD2-0,Weights,MinTargetPdf,MaxIW,MeanEntropy,MinIW,ESSRenyiArithmetic,StdIW,VarianceInitializer,EpThisIter,EmpiricalD2Harmonic,ReturnStepMaxmin,MinBehavPdf,EpisodesSoFar,StdWReturnMean,ESSRenyiHarmonic,Iteration,Bound,ReturnStepMax,TimeElapsed,EpLenMean,EmpiricalD2Arithmetic,EpRewMean,LearnableVariance,ReturnMeanIW,TimestepsSoFar,InitialReturnMean,Inner Iteration,WReturnMean
19.968025,True,712.879,3359.2751,-2451880.0,1.0331314e+16,341.20526,1.0,[-0.055  0.377 -0.865 -1.763],-142.331,10898.569,0.4189424,0.023204776,100.0,1304.2079,-1,100,1.0,10.0,-142.331,2100,,100.0,21,-66224378000000.0,10.0,87.87065553665161,114.72,1.0,1136.7301120871305,,1455447900.0,129630,1136.7301,1,1800351.9
9.980751,True,715.4333,3138.6523,-2061458.2,3811932200000000.0,34.520687,1.0,[-0.066  0.48  -0.916 -1.715],-123.81344,1907.2854,0.4189424,0.010856957,100.0,228.50806,-1,100,1.0,10.0,-123.81344,2200,,100.0,22,-35115700000000.0,10.0,93.97111058235168,100.08,1.0,990.3811973500258,,237555120.0,139638,990.3811,1,1492699.6
19.963478,True,672.02893,3799.0457,-2948811.0,19518358000.0,49.202423,1.0,[-0.128  0.477 -0.924 -1.719],-195.03418,677.3089,0.4189424,0.073623754,100.0,112.4551,-1,100,1.0,10.0,-195.03418,2300,,100.0,23,-116547510000.0,10.0,101.42392063140869,130.04,1.0,1289.9252660835903,,132207390.0,152642,1289.9252,1,2115530.2
19.96738,True,772.07947,4488.5303,-3482035.8,42928630000.0,163.30855,1.0,[-0.115  0.399 -0.963 -1.807],-199.39415,7295.158,0.4189424,0.02552204,100.0,765.59515,-1,100,1.0,10.0,-199.39415,2400,,100.0,24,-241246600000.0,10.0,109.06353569030762,132.3,1.0,1312.5317422832509,,244293090.0,165872,1312.5317,1,2318846.0
49.915733,True,870.14954,3958.5713,-3705928.8,3175516400.0,12.970207,1.0,[-0.054  0.412 -0.966 -1.803],-166.87573,455.86304,0.4189424,0.04907319,100.0,51.343483,-1,100,1.0,10.0,-166.87573,2500,,100.0,25,-51035910000.0,10.0,116.50619745254517,144.03,1.0,1429.6985072501184,,53127388.0,180275,1429.6986,1,2801198.0
29.947746,True,755.3844,3768.6616,-3315799.5,2.0078782e+21,1012.39453,1.0,[-0.109  0.422 -0.994 -1.796],-164.50327,50929.406,0.4189424,0.071311235,100.0,5435.625,-1,100,1.0,10.0,-164.50327,2600,,100.0,26,-3.6743656e+16,10.0,124.51078724861145,139.8,1.0,1387.5116528315616,,4848928300.0,194255,1387.5117,1,2495794.0
39.942894,True,555.6753,3259.6104,-2421671.5,298173380.0,210.13795,1.0,[-0.188  0.513 -1.025 -1.784],-148.05518,12496.6045,0.4189424,0.0077579925,100.0,1285.1348,-1,100,1.0,10.0,-148.05518,2700,,100.0,27,-11167246000.0,10.0,132.06343173980713,123.49,1.0,1224.522221548654,,574582140.0,206604,1224.5222,1,1808229.5
509.65585,True,442.01202,2929.6165,-1961843.2,1.0124094e+29,512890.97,1.0,[-0.248  0.498 -1.027 -1.787],-112.14413,22630102.0,0.4189424,0.21094374,100.0,3015421.8,-1,100,1.0,10.0,-112.14413,2800,,100.0,28,-1.5766634e+20,10.0,139.23524594306946,113.77,1.0,1127.3624532210465,,704248740000.0,217981,1127.3624,1,1466320.6
,True,902.3085,4438.615,-3979961.0,4.9215664e+25,2441.9849,1.0,[-0.135  0.548 -1.033 -1.805],-192.61981,84051.72,0.4189424,0.031119961,100.0,11803.5,-1,100,1.0,10.0,-192.61981,2900,,100.0,29,-7.979691e+18,10.0,149.38333940505981,143.47,1.0,1424.1968201846726,,8867286000.0,232328,1424.1969,1,2842497.0
349.73755,True,654.15924,3558.6294,-3086985.5,3131884800.0,91.22641,1.0,[-0.154  0.436 -1.052 -1.854],-151.55228,3050.4856,0.4189424,0.03637945,100.0,358.7327,-1,100,1.0,10.0,-151.55228,3000,,100.0,30,-41049410000.0,10.0,157.3727421760559,139.89,1.0,1388.4915792608058,,132032980.0,246317,1388.4916,1,2355833.0
9.982864,True,941.12024,4489.1367,-4411806.0,1.5762697e+28,328696.56,1.0,[-0.098  0.463 -1.055 -1.858],-197.50163,28658028.0,0.4189424,0.14068992,100.0,2855563.5,-1,100,1.0,10.0,-197.50163,3100,,100.0,31,-1.4607649e+20,10.0,166.43749165534973,154.76,1.0,1537.07299236394,,1822397600000.0,261793,1537.073,1,3248300.8
29.95163,True,497.4689,3099.4639,-2158154.2,1046599000.0,34.18114,1.0,[-0.173  0.412 -1.132 -1.898],-118.78117,885.4488,0.4189424,0.0029140066,100.0,98.37548,-1,100,1.0,10.0,-118.78117,3200,,100.0,32,-17975974000.0,10.0,174.04783153533936,117.48,1.0,1164.4887053436019,,32659436.0,273541,1164.4886,1,1603509.2
19.961676,True,920.85187,4998.9375,-5071894.5,7822716700000.0,149.50618,1.0,[-0.114  0.434 -1.133 -1.901],-197.03656,5390.5747,0.4189424,0.056483325,100.0,588.16626,-1,100,1.0,10.0,-197.03656,3300,,100.0,33,-4035700900000.0,10.0,183.69929575920105,167.81,1.0,1667.678604744116,,421758300.0,290322,1667.6786,1,3629120.0
,True,1119.4974,4999.083,-5580523.0,4.9440592e+33,930930.06,1.0,[-0.054  0.446 -1.136 -1.911],-209.97939,67096132.0,0.4189424,0.07392488,100.0,6843162.5,-1,100,1.0,10.0,-209.97939,3400,,100.0,34,-1.014523e+23,10.0,194.6272542476654,170.88,1.0,1698.3492523076004,,12864793000000.0,307410,1698.3492,1,4137664.8
,True,759.4181,3909.421,-3683388.0,57737900000.0,108.52377,1.0,[-0.122  0.401 -1.199 -1.981],-176.11093,3180.0237,0.4189424,0.089790985,100.0,347.48654,-1,100,1.0,10.0,-176.11093,3500,,100.0,35,-212211900000.0,10.0,202.32283568382263,150.18,1.0,1491.3980838911018,,183163800.0,322428,1491.3983,1,2800984.0
9.984824,True,1236.4226,4999.217,-6404432.5,181544060.0,79.564865,1.0,[-0.065  0.424 -1.203 -1.982],-240.62372,1485.1008,0.4189424,0.08703903,100.0,228.03752,-1,100,1.0,10.0,-240.62372,3600,,100.0,36,-19856480000.0,10.0,212.13105821609497,186.28,1.0,1852.769473095751,,414774750.0,341056,1852.7695,1,4961495.5
19.96898,True,1431.711,4998.9375,-8214040.0,2.7955008e+23,67.12228,1.0,[-0.025  0.458 -1.231 -2.002],-230.88193,3536.682,0.4189424,0.0073271533,100.0,379.3407,-1,100,1.0,10.0,-230.88193,3700,,100.0,37,-7.628245e+17,10.0,225.3154320716858,218.29,1.0,2172.893382694898,,674337200.0,362885,2172.8933,1,6771262.0
19.962772,True,1020.5387,4998.904,-6629480.0,8.404234e+19,478.93042,1.0,[-0.084  0.469 -1.246 -2.007],-227.04944,5473.584,0.4189424,0.13555023,100.0,1092.6483,-1,100,1.0,10.0,-227.04944,3800,,100.0,38,-1.3226292e+16,10.0,238.54001879692078,204.64,1.0,2035.9823790894804,,2005922200.0,383349,2035.9823,1,5186723.0
,True,1348.4241,4999.166,-7239697.0,2.0819926e+19,9.15058,1.0,[-0.022  0.475 -1.253 -2.005],-238.85725,409.9945,0.4189424,0.20213571,100.0,41.435432,-1,100,1.0,10.0,-238.85725,3900,,100.0,39,-6583761000000000.0,10.0,252.271639585495,200.48,1.0,1994.6281575351636,,153485570.0,403397,1994.6282,1,5796789.0
,True,1187.7406,4999.122,-7205666.5,48796988.0,10.623195,1.0,[-0.068  0.48  -1.282 -1.974],-215.42842,85.76922,0.4189424,0.04672355,100.0,18.534935,-1,100,1.0,10.0,-215.42842,4000,,100.0,40,-10159420000.0,10.0,264.9000780582428,209.67,1.0,2086.1578972890848,,80283930.0,424364,2086.1577,1,5762782.0
9.981248,True,1494.5212,4998.9727,-10147551.0,100091530000000.0,63.993374,1.0,[-0.033  0.443 -1.294 -2.009],-217.53249,810.2369,0.4189424,0.036684923,100.0,164.5128,-1,100,1.0,10.0,-217.53249,4100,,100.0,41,-14435169000000.0,10.0,279.115905046463,255.34,1.0,2543.8467424892888,,741136300.0,449898,2543.847,1,8704750.0
339.71393,True,1454.7947,4999.181,-7823227.5,21250718000000.0,9.372254,1.0,[ 0.01   0.402 -1.31  -2.021],-221.09947,242.03314,0.4189424,0.0325611,100.0,23.915936,-1,100,1.0,10.0,-221.09947,4200,,100.0,42,-6651656000000.0,10.0,290.63144874572754,207.48,1.0,2064.9171980952,,89318430.0,470646,2064.9172,1,6380309.5
69.903496,True,1267.5316,4999.249,-8459070.0,4.917125e+19,1308.5536,1.0,[-0.05   0.388 -1.321 -2.02 ],-224.87993,29620.86,0.4189424,0.0467321,100.0,3943.8384,-1,100,1.0,10.0,-224.87993,4300,,100.0,43,-1.0118241e+16,10.0,302.50345969200134,233.58,1.0,2325.827724985817,,12188026000.0,494004,2325.8276,1,7016111.0
339.7172,True,1455.606,4998.8657,-7638325.0,9.248313e+22,88.37476,1.0,[ 0.009  0.404 -1.328 -2.015],-230.72867,8257.861,0.4189424,0.11579551,100.0,821.09973,-1,100,1.0,10.0,-230.72867,4400,,100.0,44,-4.387464e+17,10.0,314.75985383987427,202.91,1.0,2019.109184135311,,1999338500.0,514295,2019.1094,1,6195590.5
9.980005,True,1325.1089,4998.8945,-7937777.0,9.357147e+25,4534.792,1.0,[-0.051  0.408 -1.339 -2.004],-224.23099,191400.75,0.4189424,0.08607161,100.0,20625.725,-1,100,1.0,10.0,-224.23099,4500,,100.0,45,-1.3955938e+19,10.0,329.23661375045776,218.73,1.0,2176.949856929262,,15935890000.0,536168,2176.95,1,6495024.0
19.966179,True,1333.563,4999.1484,-6515438.0,442949340.0,9.859047,1.0,[ 0.011  0.405 -1.347 -2.006],-219.40894,120.9466,0.4189424,0.16208515,100.0,15.74119,-1,100,1.0,10.0,-219.40894,4600,,100.0,46,-30429876000.0,10.0,340.90378046035767,182.51,1.0,1814.9796368442685,,62417870.0,554419,1814.9797,1,5072541.0
,True,1347.0883,4999.502,-9031141.0,5.167784e+19,1618.6875,1.0,[-0.036  0.368 -1.363 -2.015],-235.05821,65665.63,0.4189424,0.019485595,100.0,7897.2954,-1,100,1.0,10.0,-235.05821,4700,,100.0,47,-1.0373981e+16,10.0,355.74518275260925,241.23,1.0,2402.787829468506,,9549890000.0,578542,2402.7878,1,7588035.5
299.76382,True,1423.2539,4998.9634,-9037898.0,1.1786809e+31,38.61334,1.0,[ 0.013  0.406 -1.372 -2.015],-228.6319,2614.7585,0.4189424,0.06929992,100.0,263.1521,-1,100,1.0,10.0,-228.6319,4800,,100.0,48,-4.9533313e+21,10.0,370.8183796405792,236.99,1.0,2359.9689070520194,,755689700.0,602241,2359.969,1,7595105.0
,True,1444.0306,4999.128,-9319164.0,31912344000.0,31.062542,1.0,[-0.047  0.419 -1.382 -2.009],-228.43242,264.4923,0.4189424,0.12940808,100.0,54.4833,-1,100,1.0,10.0,-228.43242,4900,,100.0,49,-257983320000.0,10.0,387.1988670825958,241.63,1.0,2406.4600324040543,,228221630.0,626404,2406.46,1,7876274.5
9.981252,True,1602.0524,4998.8096,-10209304.0,1.5876158e+21,1018.0435,1.0,[-0.018  0.462 -1.391 -1.976],-223.54463,97866.88,0.4189424,0.07057622,100.0,9735.713,-1,100,1.0,10.0,-223.54463,5000,,100.0,50,-5.74838e+16,10.0,402.4562804698944,249.94,1.0,2489.9851859054816,,25029513000.0,651398,2489.9854,1,8766598.0
19.963024,True,1173.269,4999.1064,-7889417.0,3.062089e+24,1569.111,1.0,[-0.067  0.447 -1.425 -1.986],-204.15457,35517.586,0.4189424,0.009717572,100.0,5048.907,-1,100,1.0,10.0,-204.15457,5100,,100.0,51,-2.5248352e+18,10.0,416.4630048274994,226.21,1.0,2251.661836109172,,8828071000.0,674019,2251.6616,1,6446541.5
39.927963,True,1511.0958,4998.988,-10719172.0,3895924400000.0,11.700018,1.0,[-0.005  0.453 -1.431 -1.984],-245.93445,497.43887,0.4189424,0.09015136,100.0,55.025593,-1,100,1.0,10.0,-245.93445,5200,,100.0,52,-2848020000000.0,10.0,432.5921769142151,265.4,1.0,2644.418981109846,,224852050.0,700559,2644.4187,1,9276362.0
299.75937,True,1271.4125,4999.2446,-10248054.0,1.256181e+32,33958.605,1.0,[-0.047  0.457 -1.477 -1.977],-230.38557,2412262.0,0.4189424,0.047930922,100.0,245043.8,-1,100,1.0,10.0,-230.38557,5300,,100.0,53,-1.617239e+22,10.0,448.0873520374298,269.11,1.0,2681.1575539577966,,252648370000.0,727470,2681.1575,1,8805096.0
29.956059,True,1583.7494,4999.227,-9786313.0,2.0114767e+22,5.7105017,1.0,[ 0.015  0.464 -1.481 -1.972],-246.9538,116.21386,0.4189424,0.011797169,100.0,12.692911,-1,100,1.0,10.0,-246.9538,5400,,100.0,54,-2.0464569e+17,10.0,463.4049189090729,242.49,1.0,2415.595906843644,,75105180.0,751719,2415.596,1,8343365.5
19.969353,True,1416.468,4999.449,-13066626.0,2.7259087e+23,2661.7021,1.0,[-0.046  0.47  -1.496 -1.974],-224.46642,52251.848,0.4189424,0.08269851,100.0,7953.1616,-1,100,1.0,10.0,-224.46642,5500,,100.0,55,-7.5342385e+17,10.0,482.3258559703827,311.01,1.0,3101.1553662350843,,27092556000.0,782820,3101.155,1,11623546.0
,True,1787.6702,4999.1025,-11345592.0,3.659606e+17,9.397626,1.0,[ 0.011  0.488 -1.514 -1.982],-233.97597,63.207523,0.4189424,0.0722565,100.0,12.892942,-1,100,1.0,10.0,-233.97597,5600,,100.0,56,-872852200000000.0,10.0,496.5170633792877,259.87,1.0,2589.777995139833,,113789200.0,808807,2589.7778,1,9902715.0
19.962894,True,1415.1404,4999.2246,-12793893.0,2.1880453e+25,1939.6531,1.0,[-0.043  0.462 -1.526 -1.993],-225.67226,93153.26,0.4189424,0.056968037,100.0,9642.168,-1,100,1.0,10.0,-225.67226,5700,,100.0,57,-6.7495187e+18,10.0,514.4984595775604,306.7,1.0,3057.5023722776705,,14224671000.0,839477,3057.5024,1,11350943.0
19.96085,True,1620.1117,4999.372,-11866851.0,8.798124e+23,12.071908,1.0,[ 0.006  0.498 -1.538 -2.002],-224.94748,232.77522,0.4189424,0.14517806,100.0,29.05854,-1,100,1.0,10.0,-224.94748,5800,,100.0,58,-1.353522e+18,10.0,531.2546133995056,280.16,1.0,2792.6790907196714,,215434850.0,867493,2792.679,1,10423818.0
29.951073,True,1399.9683,4999.4023,-13703851.0,5.104269e+21,3408.6497,1.0,[-0.051  0.495 -1.56  -2.015],-243.21034,111201.016,0.4189424,0.11953142,100.0,13765.217,-1,100,1.0,10.0,-243.21034,5900,,100.0,59,-1.03096154e+17,10.0,551.3463654518127,321.85,1.0,3209.4992323959423,,34855890000.0,899678,3209.4993,1,12260797.0
,True,1619.6458,4999.45,-14349264.0,2.1279992e+24,26.144455,1.0,[ 0.007  0.48  -1.565 -2.034],-236.84908,583.0399,0.4189424,0.006841757,100.0,70.52022,-1,100,1.0,10.0,-236.84908,6000,,100.0,60,-2.1050847e+18,10.0,572.6945350170135,321.45,1.0,3206.7009681877257,,386909630.0,931823,3206.701,1,12906183.0
19.959856,True,1290.2097,4999.301,-11962520.0,4.0708688e+27,4136.936,1.0,[-0.046  0.455 -1.577 -2.053],-237.67838,67743.88,0.4189424,0.10543784,100.0,11610.427,-1,100,1.0,10.0,-237.67838,6100,,100.0,61,-9.206646e+19,10.0,591.1410491466522,298.5,1.0,2975.716134776905,,28681933000.0,961673,2975.7163,1,10519527.0
,True,1724.6505,4999.644,-12933569.0,1455917100000.0,14.678773,1.0,[ 0.01   0.482 -1.581 -2.05 ],-228.63509,158.79704,0.4189424,0.008507951,100.0,24.193,-1,100,1.0,10.0,-228.63509,6200,,100.0,62,-1741533100000.0,10.0,607.977520942688,292.66,1.0,2918.211590722211,,184072220.0,990939,2918.212,1,11490378.0
299.74286,True,1377.7491,4999.5,-14109926.0,5.0463877e+29,9658.492,1.0,[-0.039  0.445 -1.594 -2.054],-231.73303,584655.5,0.4189424,0.05498998,100.0,59757.066,-1,100,1.0,10.0,-231.73303,6300,,100.0,63,-1.0251391e+21,10.0,625.2747972011566,329.07,1.0,3281.5579519770213,,146737820000.0,1023846,3281.558,1,12666815.0
,True,1773.708,4999.451,-13697034.0,1.748564e+22,9.17106,1.0,[ 0.014  0.477 -1.6   -2.053],-238.15926,124.02654,0.4189424,0.41954213,100.0,16.411304,-1,100,1.0,10.0,-238.15926,6400,,100.0,64,-1.908204e+17,10.0,642.9352583885193,302.57,1.0,3017.932059691765,,136383620.0,1054103,3017.9321,1,12253954.0
9.980296,True,1412.1627,4999.394,-13631374.0,4.070698e+21,1568.9478,1.0,[-0.045  0.47  -1.612 -2.065],-229.16264,24304.559,0.4189424,0.046392493,100.0,4651.0757,-1,100,1.0,10.0,-229.16264,6500,,100.0,65,-9.206797e+16,10.0,657.6209347248077,320.19,1.0,3192.8237653801702,,11592692000.0,1086122,3192.8237,1,12188326.0
9.979919,True,1743.2617,4999.194,-14745087.0,5.729217e+27,144.07828,1.0,[-4.478e-05  5.107e-01 -1.617e+00 -2.052e+00],-244.31801,5199.592,0.4189424,0.84840417,100.0,653.5102,-1,100,1.0,10.0,-244.31801,6600,,100.0,66,-1.0921618e+20,10.0,675.2261595726013,321.09,1.0,3203.6216941258253,,3448203300.0,1118231,3203.6216,1,13302154.0
,True,1280.1061,4999.2324,-11578590.0,4.7833874e+29,5545.49,1.0,[-0.059  0.497 -1.634 -2.051],-223.73038,204037.47,0.4189424,0.054598693,100.0,23064.986,-1,100,1.0,10.0,-223.73038,6700,,100.0,67,-9.979615e+20,10.0,692.5415449142456,292.45,1.0,2914.955350926797,,39919284000.0,1147476,2914.955,1,10135637.0
9.984031,True,1724.8369,4999.363,-15169394.0,3.0206564e+31,35.284164,1.0,[-1.067e-04  5.186e-01 -1.635e+00 -2.047e+00],-249.3294,781.6026,0.4189424,0.07442742,100.0,113.374,-1,100,1.0,10.0,-249.3294,6800,,100.0,68,-7.9308423e+21,10.0,711.8254792690277,328.61,1.0,3278.9174192558885,,753116100.0,1180337,3278.9172,1,13726362.0
279.774,True,1349.3922,4999.5386,-14242246.0,1.4648844e+22,4434.306,1.0,[-0.056  0.533 -1.652 -2.032],-234.7114,151912.62,0.4189424,0.05976032,100.0,16678.8,-1,100,1.0,10.0,-234.7114,6900,,100.0,69,-1.7466304e+17,10.0,732.7292311191559,332.23,1.0,3313.3447819313496,,58626765000.0,1213560,3313.3447,1,12799113.0
9.980906,True,1745.9576,4999.405,-13645918.0,9.796516e+27,37.666626,1.0,[-0.004  0.565 -1.659 -2.026],-238.12903,1215.9756,0.4189424,0.06726625,100.0,153.67465,-1,100,1.0,10.0,-238.12903,7000,,100.0,70,-1.4282749e+20,10.0,752.1649327278137,303.34,1.0,3025.6397045128288,,805002300.0,1243894,3025.6396,1,12202864.0
,True,1339.9583,4999.277,-14443964.0,1.0212993e+27,1303.9801,1.0,[-0.059  0.539 -1.672 -2.028],-244.47177,28110.445,0.4189424,0.16948967,100.0,3895.436,-1,100,1.0,10.0,-244.47177,7100,,100.0,71,-4.6113733e+19,10.0,769.868732213974,335.64,1.0,3347.4607566204354,,12195465000.0,1277458,3347.461,1,13000981.0
,True,1678.928,4999.326,-16522904.0,1092964000000.0,19.980328,1.0,[-8.762e-05  5.243e-01 -1.675e+00 -2.041e+00],-235.27365,187.91551,0.4189424,0.058098726,100.0,37.67446,-1,100,1.0,10.0,-235.27365,7200,,100.0,72,-1508949400000.0,10.0,790.4553303718567,350.83,1.0,3501.5844323168667,,380295870.0,1312541,3501.5845,1,15079893.0
