Weights,ReturnMeanIW,InitialReturnMean,Iteration,EmpiricalD2Harmonic,MinTargetPdf,Bound,MinIW,MeanEntropy,MinBehavPdf,MaxIW,EpRewMean,EpLenMean,ReturnStepMaxmin,InitialReturnStd,EpThisIter,InitialReturnMin,LearnableVariance,VarianceInitializer,InitialBound,DivergenceHarmonic,ESSRenyiHarmonic,Penalization,StdWReturnMean,StdIW,MeanIW,EpisodesSoFar,Inner Iteration,EmpiricalD2Arithmetic,ESSRenyiArithmetic,TimeElapsed,InitialReturnMax,ReturnStepMax,MeanD2-0,TimestepsSoFar,WReturnMean
[-0.183  0.358 -0.761 -1.233],457356380.0,708.2034,11,1.0,-71.771454,-4883785700000.0,0.15641363,0.4189424,-71.771454,117892.94,708.2034846962408,71.85,10.0,410.82837,100,9.979941,,-1,-894234.9,475681300000000.0,100.0,True,,11728.587,1363.6211,1100,1,1.0,100.0,57.56292653083801,1969.2881,10.0,1.0,54663,670332.06
[-0.211  0.474 -0.965 -1.152],61014452.0,690.60724,12,1.0,-77.055214,-1386216400000000.0,0.23218335,0.4189424,-77.055214,740.73517,690.6072826947391,70.09,10.0,396.55334,100,9.983132,,-1,-802898.25,6.751615e+19,100.0,True,,150.49226,58.03293,1200,1,1.0,100.0,64.5414969921112,1709.4009,10.0,1.0,61672,634192.94
[-0.108  0.464 -0.99  -1.218],103044160.0,781.9675,13,1.0,-109.47263,-4594965000000.0,0.026431223,0.4189424,-109.47263,2824.5115,781.9675754808425,79.23,10.0,562.3132,100,9.983296,,-1,-1345154.1,121134300000000.0,100.0,True,,289.9727,46.938644,1300,1,1.0,100.0,73.28239893913269,2689.0554,10.0,1.0,69595,927669.4
[-0.041  0.395 -1.03  -1.287],7399801.0,841.04443,14,1.0,-167.61908,-306459250000.0,0.17790098,0.4189424,-167.61908,32.769623,841.0444748979388,85.14,10.0,723.17883,100,9.982083,,-1,-2015940.8,152169760000.0,100.0,True,,4.477992,2.7669718,1400,1,1.0,100.0,81.1051459312439,3688.751,10.0,1.0,78109,1230343.4
[-0.098  0.376 -1.046 -1.294],2248414700.0,993.9285,15,1.0,-126.4122,-5.780603e+17,0.009952268,0.4189424,-126.4122,37112.652,993.9285228499069,100.43,10.0,630.6921,100,49.914787,,-1,-2025387.5,8.165251e+23,100.0,True,,3962.5806,699.22656,1500,1,1.0,100.0,90.69922113418579,3328.6987,10.0,1.0,88152,1385666.4
[-0.14   0.348 -1.17  -1.505],40061600.0,1097.8508,16,1.0,-157.18297,-15443859000.0,0.08079883,0.4189424,-157.18297,2218.0417,1097.850931496837,110.82,10.0,583.72345,100,,,-1,-2302201.5,414950940.0,100.0,True,,225.17612,49.070744,1600,1,1.0,100.0,103.0814414024353,3619.0537,10.0,1.0,99234,1546009.8
[-0.085  0.378 -1.172 -1.503],416001250.0,1414.6896,17,1.0,-195.42241,-1879075300000.0,0.05392638,0.4189424,-195.42241,4820.7383,1414.689507978116,142.51,10.0,863.8618,100,19.96864,,-1,-4189864.0,1696738700000.0,100.0,True,,698.19305,177.1557,1700,1,1.0,100.0,117.10467076301575,4998.05,10.0,1.0,113485,2747603.5
[-0.039  0.415 -1.178 -1.485],48035734000.0,1284.1971,18,1.0,-216.92476,-1.0969359e+22,0.39861098,0.4189424,-216.92476,194168.8,1284.1971372865999,129.46,10.0,962.9563,100,9.980411,,-1,-4019057.0,5.7819015e+31,100.0,True,,22379.078,5230.246,1800,1,1.0,100.0,131.82842302322388,4998.6562,10.0,1.0,126431,2576447.2
[-0.016  0.294 -1.379 -1.57 ],466977300000.0,2166.541,19,1.0,-240.74583,-3.1578568e+19,0.1744594,0.4189424,-240.74583,2704409.8,2166.541024402873,217.66,10.0,1380.0999,100,9.982548,,-1,-8041527.5,4.7895086e+26,100.0,True,,269624.06,33382.164,1900,1,1.0,100.0,154.82521319389343,4999.238,10.0,1.0,148197,6598576.0
[ 0.044  0.301 -1.394 -1.564],8576244.0,1486.7922,20,1.0,-200.68317,-13734920000.0,0.13801506,0.4189424,-200.68317,24.675493,1486.792090868487,149.73,10.0,1080.6277,100,39.926228,,-1,-4820974.0,90528300.0,100.0,True,,3.472693,3.6763043,2000,1,1.0,100.0,171.0057179927826,4998.753,10.0,1.0,163170,3378307.0
[-0.013  0.286 -1.407 -1.578],1007628860.0,2172.732,21,1.0,-223.60257,-1.4833644e+17,0.05896864,0.4189424,-223.60257,1418.9323,2172.7319803257565,218.27,10.0,1420.9473,100,29.953089,,-1,-8182706.0,1.0569687e+22,100.0,True,,205.6557,68.86123,2100,1,1.0,100.0,200.0172152519226,4999.064,10.0,1.0,184997,6739855.5
[-0.073  0.299 -1.42  -1.577],359197300.0,1616.886,22,1.0,-226.55333,-3994753200000.0,0.054313682,0.4189424,-226.55333,4573.2114,1616.8859482842447,162.7,10.0,908.9064,100,,,-1,-4883260.0,7664419500000.0,100.0,True,,627.6128,218.42258,2200,1,1.0,100.0,223.64865255355835,4999.032,10.0,1.0,201267,3440431.0
[-0.015  0.323 -1.422 -1.576],18799786000.0,2365.329,23,1.0,-221.80551,-2.5486716e+16,0.030628024,0.4189424,-221.80551,52317.27,2365.329221292409,237.48,10.0,1419.3789,100,49.918194,,-1,-9052356.0,3.1199133e+20,100.0,True,,5424.3906,1020.92053,2300,1,1.0,100.0,258.74940037727356,4999.211,10.0,1.0,225015,7609418.5
[ 0.033  0.268 -1.504 -1.635],39703484.0,1989.434,24,1.0,-230.69568,-1088035400000000.0,0.053162884,0.4189424,-230.69568,62.46017,1989.433818713288,199.95,10.0,1423.1912,100,39.9294,,-1,-7426070.0,5.687386e+17,100.0,True,,9.238214,6.409886,2400,1,1.0,100.0,278.65508699417114,4998.8906,10.0,1.0,245010,5983320.5
[-0.024  0.283 -1.517 -1.62 ],83775810000.0,2428.3252,25,1.0,-240.90569,-2.821246e+23,0.054896083,0.4189424,-240.90569,656423.75,2428.3252542865307,243.8,10.0,1424.9539,100,9.980592,,-1,-9370189.0,3.8229728e+34,100.0,True,,65374.184,9135.668,2500,1,1.0,100.0,312.8342127799988,4999.1997,10.0,1.0,269390,7927257.0
[ 0.038  0.285 -1.521 -1.621],31604168.0,1992.1655,26,1.0,-242.68527,-48487076000.0,0.14299709,0.4189424,-242.68527,24.649902,1992.1654363583286,200.17,10.0,1502.1276,100,,,-1,-7667978.5,1127823900.0,100.0,True,,4.551843,5.154142,2600,1,1.0,100.0,337.0576503276825,4999.095,10.0,1.0,289407,6225110.5
[-0.021  0.298 -1.536 -1.622],2718767400.0,2400.9102,27,1.0,-241.98334,-66409590000000.0,0.04050502,0.4189424,-241.98334,13368.903,2400.9100738059856,241.06,10.0,1415.0225,100,9.980401,,-1,-9209620.0,2118002600000000.0,100.0,True,,1386.8861,334.01154,2700,1,1.0,100.0,369.11061120033264,4999.254,10.0,1.0,313513,7766657.5
[ 0.015  0.347 -1.548 -1.624],145478880.0,2365.354,28,1.0,-235.55263,-2.2937825e+21,0.14814764,0.4189424,-235.55263,103.59012,2365.3538999598686,237.44,10.0,1740.7906,100,19.967575,,-1,-10068217.0,2.5269845e+30,100.0,True,,14.40107,11.004342,2800,1,1.0,100.0,396.84387612342834,4999.2607,10.0,1.0,337257,8625251.0
[-0.043  0.328 -1.56  -1.63 ],6712060400.0,2481.0059,29,1.0,-227.22699,-4486839900000000.0,0.02694842,0.4189424,-227.22699,30297.398,2481.0058164208585,249.07,10.0,1374.1503,100,9.981001,,-1,-9486677.0,9.668504e+18,100.0,True,,3398.297,996.6987,2900,1,1.0,100.0,432.9154944419861,4999.3145,10.0,1.0,362164,8043678.5
[ 0.01   0.36  -1.565 -1.622],572453600.0,2805.025,30,1.0,-242.73532,-4.3368716e+18,0.123812206,0.4189424,-242.73532,675.7605,2805.0250567420712,281.37,10.0,1682.8824,100,9.9835415,,-1,-12143159.0,9.0342583e+24,100.0,True,,86.21422,28.991657,3000,1,1.0,100.0,468.21796321868896,4999.142,10.0,1.0,390301,10700258.0
[-0.048  0.349 -1.575 -1.64 ],36397950.0,2496.586,31,1.0,-227.81683,-16035966000.0,0.14685127,0.4189424,-227.81683,112.78109,2496.5860321856076,250.65,10.0,1185.0305,100,,,-1,-9080109.0,122962776.0,100.0,True,,15.499786,8.062174,3100,1,1.0,100.0,503.329847574234,4999.091,10.0,1.0,415366,7637239.0
[-0.017  0.351 -1.576 -1.64 ],210487210000.0,2954.239,32,1.0,-239.22966,-1.8164505e+23,0.15720142,0.4189424,-239.22966,353056.53,2954.239144783143,296.25,10.0,1668.1312,100,,,-1,-12953286.0,1.5844184e+34,100.0,True,,47747.465,11774.405,3200,1,1.0,100.0,547.4635319709778,4999.4775,10.0,1.0,444991,11510190.0
[ 0.041  0.342 -1.593 -1.65 ],27121232.0,2153.4841,33,1.0,-221.40642,-8785861000000.0,0.1947364,0.4189424,-221.40642,24.127804,2153.4841630322194,216.3,10.0,1566.0173,100,309.76837,,-1,-8532939.0,37069917000000.0,100.0,True,,3.3285446,4.203049,3300,1,1.0,100.0,573.5145509243011,4999.383,10.0,1.0,466621,7089904.0
[-0.019  0.343 -1.605 -1.661],193607750000.0,3350.2844,34,1.0,-245.74356,-9.317422e+21,0.08139527,0.4189424,-245.74356,421728.88,3350.2843082968448,335.79,10.0,1587.7323,100,9.980149,,-1,-15188347.0,4.169119e+31,100.0,True,,62532.66,18685.445,3400,1,1.0,100.0,613.7608246803284,4999.391,10.0,1.0,500200,13745298.0
[ 0.04   0.343 -1.618 -1.678],14767722000.0,2420.652,35,1.0,-251.66681,-8.957852e+23,0.33279544,0.4189424,-251.66681,15481.01,2420.6521802809525,242.98,10.0,1620.9667,100,9.982386,,-1,-9930100.0,3.8537192e+35,100.0,True,,2487.5798,876.413,3500,1,1.0,100.0,637.8610188961029,4999.335,10.0,1.0,524498,8487090.0
[-0.076  0.341 -1.65  -1.713],749391360.0,1945.475,36,1.0,-212.27962,-1826932100000000.0,0.35069174,0.4189424,-212.27962,3863.7727,1945.474995297921,195.56,10.0,1081.8699,100,,,-1,-6398384.0,1.602799e+18,100.0,True,,572.40515,234.08696,3600,1,1.0,100.0,672.7890682220459,4999.4434,10.0,1.0,544054,4955315.5
[-0.018  0.366 -1.652 -1.712],135259470.0,3570.8394,37,1.0,-249.4687,-25909326000.0,0.17123653,0.4189424,-249.4687,263.94604,3570.8394830117527,357.75,10.0,1669.9944,100,19.965874,,-1,-16982840.0,319013980.0,100.0,True,,33.625237,11.288426,3700,1,1.0,100.0,723.6647415161133,4999.417,10.0,1.0,579829,15539776.0
[ 0.012  0.37  -1.655 -1.71 ],319239040.0,3077.8872,38,1.0,-234.30423,-2.0110594e+20,0.07616916,0.4189424,-234.30423,300.1507,3077.887268167475,308.56,10.0,1724.2566,100,9.980655,,-1,-13889420.0,1.9424497e+28,100.0,True,,38.36816,20.50985,3800,1,1.0,100.0,765.8477160930634,4999.2554,10.0,1.0,610685,12446451.0
[-0.041  0.344 -1.663 -1.725],11770524000.0,2778.2278,39,1.0,-242.23285,-6.1978133e+19,0.06547733,0.4189424,-242.23285,50949.617,2778.2277277887774,278.8,10.0,1250.8577,100,,,-1,-10726088.0,1.8451034e+27,100.0,True,,6132.695,1878.3478,3900,1,1.0,100.0,798.9826002120972,4999.1294,10.0,1.0,638565,9283194.0
[ 0.014  0.372 -1.665 -1.719],391146620.0,2909.4707,40,1.0,-227.79732,-1.7362531e+18,0.004153536,0.4189424,-227.79732,318.72968,2909.4706001314203,291.75,10.0,1735.8376,100,,,-1,-12921199.0,1.4476954e+24,100.0,True,,48.1637,24.681963,4000,1,1.0,100.0,837.3873782157898,4999.396,10.0,1.0,667740,11478151.0
[-0.045  0.357 -1.674 -1.728],11757721000.0,2908.0122,41,1.0,-229.10587,-2.0558803e+18,0.054901112,0.4189424,-229.10587,68673.28,2908.0122924230755,291.77,10.0,1328.2181,100,339.72583,,-1,-11663603.0,2.0301749e+24,100.0,True,,7874.4473,2335.1934,4100,1,1.0,100.0,880.3187787532806,4999.1465,10.0,1.0,696917,10220699.0
[ 0.017  0.358 -1.675 -1.733],1079531500.0,3295.811,42,1.0,-234.46603,-23028857000.0,0.11210448,0.4189424,-234.46603,3117.636,3295.8111508185534,330.3,10.0,1778.0688,100,,,-1,-15466942.0,231365580.0,100.0,True,,311.4611,48.98879,4200,1,1.0,100.0,927.4466738700867,4999.381,10.0,1.0,729947,14023900.0
[-0.006  0.412 -1.698 -1.733],446663460.0,3130.9512,43,1.0,-238.14893,-120410850000.0,0.017652724,0.4189424,-238.14893,568.78687,3130.9510180284847,313.8,10.0,1794.653,100,19.959772,,-1,-14466753.0,6910548000.0,100.0,True,,61.535202,22.590078,4300,1,1.0,100.0,962.451732635498,4999.5166,10.0,1.0,761327,13023633.0
[-0.037  0.382 -1.728 -1.767],48067174000.0,3301.923,44,1.0,-236.69176,-1.7206901e+24,0.06673463,0.4189424,-236.69176,99479.38,3301.9231132142945,331.02,10.0,1419.3,100,,,-1,-14360153.0,1.4218709e+36,100.0,True,,14492.611,5251.125,4400,1,1.0,100.0,988.0563869476318,4999.3853,10.0,1.0,794429,12917108.0
[ 0.025  0.389 -1.73  -1.767],177139400.0,3246.8894,45,1.0,-250.40384,-7.050026e+20,0.2631283,0.4189424,-250.40384,86.45774,3246.889720865118,325.38,10.0,1809.0416,100,9.980984,,-1,-15257986.0,2.3868548e+29,100.0,True,,13.467836,11.027787,4500,1,1.0,100.0,1032.6786346435547,4999.415,10.0,1.0,826967,13814924.0
[-0.034  0.375 -1.742 -1.776],90924350.0,3095.4666,46,1.0,-237.84692,-23490488000.0,0.14821547,0.4189424,-237.84692,92.3799,3095.46617260362,310.44,10.0,1438.3419,100,,,-1,-13093769.0,262953120.0,100.0,True,,16.721628,11.2480345,4600,1,1.0,100.0,1074.3402588367462,4999.3623,10.0,1.0,858011,11650739.0
[-0.004  0.382 -1.743 -1.777],32826229000.0,3578.6526,47,1.0,-246.09726,-4.101993e+23,0.05888232,0.4189424,-246.09726,64691.98,3578.6526972105407,358.48,10.0,1698.2557,100,9.982798,,-1,-17133950.0,8.0797766e+34,100.0,True,,7368.442,1439.6305,4700,1,1.0,100.0,1118.464034795761,4999.5156,10.0,1.0,893859,15690827.0
[-0.062  0.36  -1.752 -1.78 ],2055230500.0,2400.2188,48,1.0,-231.55278,-1.0525988e+20,0.06261682,0.4189424,-231.55278,13787.597,2400.218798999074,241.02,10.0,1164.4746,100,369.73206,,-1,-8560012.0,5.321414e+27,100.0,True,,1555.6368,509.37323,4800,1,1.0,100.0,1149.5315594673157,4999.2515,10.0,1.0,917961,7117051.0
[ 6.688e-04  3.632e-01 -1.753e+00 -1.778e+00],1150982700.0,3635.085,49,1.0,-262.74805,-1738994100000000.0,0.09642358,0.4189424,-262.74805,720.3977,3635.084737439845,364.07,10.0,1769.9055,100,,,-1,-17789532.0,1.4521228e+18,100.0,True,,119.31326,50.106686,4900,1,1.0,100.0,1196.6567120552063,4999.521,10.0,1.0,954368,16346406.0
[-0.044  0.35  -1.776 -1.813],6614910000.0,2802.2432,50,1.0,-229.47186,-5.8748164e+17,0.003645737,0.4189424,-229.47186,11727.836,2802.243069241608,281.13,10.0,1287.6417,100,319.77094,,-1,-10953627.0,1.6574679e+23,100.0,True,,2445.1775,1178.5996,5000,1,1.0,100.0,1225.0730595588684,4999.3804,10.0,1.0,982481,9510588.0
[ 0.018  0.342 -1.776 -1.822],1376383700.0,3766.8225,51,1.0,-241.7705,-1.1383774e+23,0.033480585,0.4189424,-241.7705,1877.6584,3766.82280636842,377.23,10.0,1629.7439,100,29.951462,,-1,-18288176.0,6.222439e+33,100.0,True,,241.53537,67.12942,5100,1,1.0,100.0,1289.8036243915558,4999.577,10.0,1.0,1020204,16845018.0
[-0.041  0.346 -1.789 -1.805],15708962000.0,2720.0344,52,1.0,-228.13794,-1.3270512e+21,0.09598649,0.4189424,-228.13794,29880.525,2720.034467636819,272.96,10.0,1329.7874,100,9.979846,,-1,-10610071.0,8.456001e+29,100.0,True,,6327.901,2643.2312,5200,1,1.0,100.0,1333.0537388324738,4999.5728,10.0,1.0,1047500,9166922.0
[ 0.017  0.368 -1.792 -1.801],642950200.0,3546.6924,53,1.0,-250.82277,-1514135400000000.0,0.2271217,0.4189424,-250.82277,1067.0208,3546.692585150845,355.27,10.0,1728.1759,100,319.6445,,-1,-17008696.0,1.10094484e+18,100.0,True,,122.8854,37.254868,5300,1,1.0,100.0,1381.6460092067719,4999.438,10.0,1.0,1083027,15565619.0
[-0.031  0.341 -1.801 -1.827],67558950000.0,3235.8271,54,1.0,-243.5656,-2.3063736e+20,0.082085,0.4189424,-243.5656,162169.75,3235.827166168202,324.46,10.0,1421.027,100,39.93084,,-1,-13932883.0,2.554742e+28,100.0,True,,18823.068,5883.27,5400,1,1.0,100.0,1437.880773305893,4999.2905,10.0,1.0,1115473,12489894.0
[ 0.03   0.332 -1.801 -1.831],296164670.0,3372.9404,55,1.0,-245.00476,-46174304000000.0,0.027697993,0.4189424,-245.00476,114.317894,3372.940486895297,337.94,10.0,1753.2772,100,9.980392,,-1,-15893856.0,1023735700000000.0,100.0,True,,23.75217,19.387444,5500,1,1.0,100.0,1492.8522927761078,4999.564,10.0,1.0,1149267,14450708.0
[-0.026  0.332 -1.822 -1.849],104505240000.0,3255.9133,56,1.0,-246.13547,-1.3159375e+21,0.033827722,0.4189424,-246.13547,549903.9,3255.9137101432693,326.37,10.0,1492.4807,100,29.9535,,-1,-14271545.0,8.3158924e+29,100.0,True,,56598.727,12835.145,5600,1,1.0,100.0,1544.94509267807,4999.4326,10.0,1.0,1181904,12828473.0
[ 0.031  0.358 -1.822 -1.844],510583420.0,3708.7998,57,1.0,-238.85191,-3.279425e+20,0.26901495,0.4189424,-238.85191,575.0176,3708.7999484841844,371.42,10.0,1701.4337,100,49.916862,,-1,-18093228.0,5.164e+28,100.0,True,,68.69556,28.255709,5700,1,1.0,100.0,1592.0876379013062,4999.5693,10.0,1.0,1219046,16650073.0
[-0.027  0.342 -1.833 -1.86 ],34466180000.0,3276.8481,58,1.0,-234.05745,-2.7052315e+18,0.04610035,0.4189424,-234.05745,76503.11,3276.8482703679033,328.52,10.0,1429.7261,100,19.964779,,-1,-14224880.0,3.5145803e+24,100.0,True,,10758.184,3096.9934,5800,1,1.0,100.0,1627.623560667038,4999.3574,10.0,1.0,1251898,12781852.0
[ 0.023  0.379 -1.837 -1.848],618558900.0,3945.6633,59,1.0,-230.84532,-9243602000000000.0,0.460798,0.4189424,-230.84532,467.72858,3945.6634937392587,395.02,10.0,1703.3398,100,,,-1,-19912708.0,4.1031496e+19,100.0,True,,60.21293,31.050972,5900,1,1.0,100.0,1674.2065269947052,4999.4424,10.0,1.0,1291400,18469626.0
[-0.036  0.37  -1.849 -1.863],383610000000.0,3104.1826,60,1.0,-238.01883,-5.3145217e+23,0.082865246,0.4189424,-238.01883,793321.9,3104.1822020856152,311.29,10.0,1389.7235,100,9.9802,,-1,-13010366.0,1.3563042e+35,100.0,True,,106562.93,27665.922,6000,1,1.0,100.0,1714.7996125221252,4999.4604,10.0,1.0,1322529,11567279.0
[ 0.026  0.376 -1.853 -1.863],1760037600.0,3741.8726,61,1.0,-237.26656,-3730673000000.0,0.15112263,0.4189424,-237.26656,2613.0037,3741.8726741649634,374.79,10.0,1588.956,100,69.876755,,-1,-17969436.0,6677623000000.0,100.0,True,,315.89902,74.17214,6100,1,1.0,100.0,1778.9762587547302,4999.378,10.0,1.0,1360008,16526393.0
[ 0.076  0.339 -1.863 -1.864],59593356.0,2635.4478,62,1.0,-224.79585,-92819570000.0,0.076236606,0.4189424,-224.79585,53.35129,2635.447763406347,264.41,10.0,1631.2449,100,9.981189,,-1,-11049563.0,4132275500.0,100.0,True,,7.720195,6.9946227,6200,1,1.0,100.0,1821.0901067256927,4999.347,10.0,1.0,1386449,9606545.0
[ 0.015  0.335 -1.874 -1.873],660094000.0,4119.774,63,1.0,-242.73976,-31625046000.0,0.06740393,0.4189424,-242.73976,513.84045,4119.773519631063,412.42,10.0,1464.1967,100,419.7746,,-1,-20559520.0,460423070.0,100.0,True,,77.39458,28.930008,6300,1,1.0,100.0,1874.1493668556213,4999.496,10.0,1.0,1427691,19116406.0
[ 0.027  0.28  -1.899 -1.884],13074277000.0,3963.2002,64,1.0,-233.54321,-164021580000000.0,0.04088754,0.4189424,-233.54321,38018.85,3963.200080937498,396.85,10.0,1545.1733,100,9.981144,,-1,-19537668.0,1.2915887e+16,100.0,True,,3905.071,614.47266,6400,1,1.0,100.0,1920.8644301891327,4999.5674,10.0,1.0,1467376,18094514.0
[ 0.05   0.336 -1.912 -1.882],473327200.0,3723.7446,65,1.0,-239.25769,-294540150000.0,0.106980644,0.4189424,-239.25769,482.60532,3723.7444853027996,373.02,10.0,1565.6367,100,349.6986,,-1,-17760586.0,41525862000.0,100.0,True,,70.26881,28.833076,6500,1,1.0,100.0,1962.9334728717804,4999.4663,10.0,1.0,1504678,16317491.0
[ 2.628e-04  3.721e-01 -1.921e+00 -1.874e+00],73236780000000.0,4213.5107,66,1.0,-245.6912,-3.0408877e+18,0.023124892,0.4189424,-245.6912,257347070.0,4213.510924671627,421.78,10.0,1405.0051,100,,,-1,-21170838.0,4.4400794e+24,100.0,True,,25828302.0,2963181.0,6600,1,1.0,100.0,2015.0026257038116,4999.5117,10.0,1.0,1546856,19727714.0
[-0.008  0.313 -1.94  -1.982],378796000.0,4104.531,67,1.0,-259.06027,-24849392000.0,0.15141575,0.4189424,-259.06027,553.1156,4104.530721509644,410.95,10.0,1286.0671,100,379.82715,,-1,-19944276.0,287535740.0,100.0,True,,75.910904,33.561584,6700,1,1.0,100.0,2058.694667816162,4999.535,10.0,1.0,1587951,18501140.0
[ 0.022  0.316 -1.943 -1.989],6233474000.0,4356.842,68,1.0,-242.12976,-1124531400000000.0,0.01979124,0.4189424,-242.12976,7278.202,4356.842072357584,436.02,10.0,1370.0315,100,,,-1,-22302264.0,6.071586e+17,100.0,True,,885.2562,254.91656,6800,1,1.0,100.0,2103.253536462784,4999.6475,10.0,1.0,1631553,20859060.0
[-0.028  0.337 -1.965 -1.966],231778940000.0,3315.5156,69,1.0,-234.01524,-4.5498166e+23,0.0119458875,0.4189424,-234.01524,748653.5,3315.5154838543654,332.32,10.0,1454.3491,100,9.980666,,-1,-14550958.0,9.939375e+34,100.0,True,,91934.77,19706.03,6900,1,1.0,100.0,2134.5929865837097,4999.6255,10.0,1.0,1664785,13107775.0
[ 0.032  0.357 -1.966 -1.961],1553899300.0,4278.896,70,1.0,-234.33598,-8.902604e+21,0.040460546,0.4189424,-234.33598,2590.5334,4278.896040644575,428.22,10.0,1495.8435,100,9.979731,,-1,-21989612.0,3.8058455e+31,100.0,True,,297.48468,79.08753,7000,1,1.0,100.0,2179.3229036331177,4999.494,10.0,1.0,1707607,20546498.0
[-0.027  0.35  -1.975 -1.978],137842320.0,3497.6047,71,1.0,-233.1241,-13934000000.0,0.11930547,0.4189424,-233.1241,139.17894,3497.6046335537853,350.55,10.0,1353.009,100,,,-1,-15506996.0,91395064.0,100.0,True,,23.757399,13.582195,7100,1,1.0,100.0,2217.2227346897125,4999.5244,10.0,1.0,1742662,14063871.0
[ 0.004  0.351 -1.977 -1.98 ],869777500000.0,4502.1206,72,1.0,-255.65163,-1.0625165e+19,0.03570685,0.4189424,-255.65163,4875580.5,4502.120773467981,450.55,10.0,1098.4493,100,9.979561,,-1,-22918796.0,5.4211185e+25,100.0,True,,488872.97,57061.137,7200,1,1.0,100.0,2269.456912755966,4999.492,10.0,1.0,1787717,21475682.0
