StdIWNorm,Weights,ESSClassic,MeanEntropy,InitialReturnMean,Iteration,OptimizationReturnMax,ReturnStepMax,EpisodesSoFar,Bound,InitialReturnMax,VarianceInit,MinIW,TimeElapsed,TimestepsSoFar,EmpiricalD2,MeanIWNorm,LearnableVariance,MeanIW,ReturnStepMaxmin,J_sample_variance,ReturnMeanIW,MinIWNorm,EpLenMean,ESSRenyi,MaxIW,StdIW,OptimizationReturnMean,EpRewMean,EpThisIter,OptimizationReturnMin,InitialReturnMin,MaxIWNorm,InitialReturnStd,InitialBound
0.011028314,[-0.013  0.59  -2.292 -1.874 -0.924],51.045223,0.4860814,4537.062,50,4999.485,10.0,5000,4352.368,4999.485,-1,0.035929017,816.9446139335632,1063892,2.301134,0.011261317,True,1.1261317,10.0,32721584.0,5281.2104,0.00035929016,453.97,43.456833,5.4781294,1.1028315,4537.062,4537.062290213002,100,,,0.05478129,1224.8124,3924.7527
0.0113157965,[-0.013  0.587 -2.315 -1.924 -0.933],48.465553,0.4830317,4632.101,51,4999.5083,10.0,5100,4348.6714,4999.5083,-1,0.050646175,853.1148262023926,1110234,1.8983815,0.010973697,True,1.0973697,10.0,32952754.0,5192.326,0.0005064617,463.42,52.676453,8.203876,1.1315796,4632.101,4632.101244423727,100,,,0.08203875,1167.4913,4019.7883
0.026582025,[-0.023  0.562 -2.324 -1.926 -0.936],23.04203,0.46630925,4685.3657,52,4979.5723,10.0,5200,4822.02,4999.537,-1,0.024129108,888.6052505970001,1157116,4.901765,0.014545265,True,1.4545265,10.0,115379330.0,6177.6826,0.00024129107,468.82,20.400816,14.220852,2.6582024,4665.401,4685.365784629802,100,,19.964928,0.14220852,858.1044,4073.0493
0.009324843,[-0.038  0.555 -2.336 -1.973 -0.953],59.472256,0.4603989,4418.438,53,4989.5737,10.0,5300,4457.597,4999.553,-1,0.052082017,924.0947074890137,1201345,2.2341862,0.0112959435,True,1.1295943,10.0,22671486.0,5372.8403,0.00052082015,442.29,44.759026,4.2735405,0.93248445,4408.4585,4418.437666078071,100,,9.979604,0.042735405,1051.085,3806.12
0.01634834,[-0.023  0.571 -2.333 -1.986 -0.959],34.979435,0.4402879,4736.372,54,3110.171,10.0,5400,4779.5654,4999.5947,-1,0.013584352,961.7283613681793,1248732,3.7379825,0.011990978,True,1.199098,10.0,31490824.0,5963.422,0.00013584351,473.87,26.7524,8.819433,1.634834,2846.9485,4736.372083779779,100,,1889.4237,0.08819433,722.4265,4124.0493
0.014636536,[-0.008  0.599 -2.32  -1.993 -0.979],36.60779,0.42897406,4759.0215,55,4989.5933,10.0,5500,4454.317,4999.5747,-1,0.058244586,992.0929379463196,1296338,2.3342288,0.01112262,True,1.1122621,10.0,53568230.0,5389.831,0.0005824458,476.06,42.840702,12.502493,1.4636537,4749.04,4759.021266114581,100,,9.981658,0.12502493,976.2547,4146.701
0.027540343,[-0.015  0.559 -2.318 -1.979 -0.99 ],20.45082,0.43450657,4859.005,56,4999.6216,10.0,5600,5321.15,4999.6216,-1,0.016619882,1028.5618255138397,1344949,5.9749684,0.013963904,True,1.3963906,10.0,188256480.0,6817.9043,0.0001661988,486.11,16.73649,20.531197,2.7540343,4859.005,4859.004831043073,100,,,0.20531195,573.1438,4246.678
0.16247387,[-0.009  0.549 -2.354 -2.046 -0.984],3.4007604,0.42088658,4736.1445,57,4989.644,10.0,5700,9383.449,4999.6245,-1,0.0009020923,1067.175531387329,1392327,86.86942,0.03048489,True,3.0484896,10.0,6640305700.0,15090.5625,9.020923e-06,473.78,1.1511531,146.54448,16.247387,4726.1636,4736.144396319436,100,,9.980257,1.4654448,973.27576,4123.8174
0.044506885,[ 0.008  0.605 -2.349 -2.006 -0.998],13.631728,0.4387732,4852.5366,58,4439.8286,10.0,5800,6468.5327,4999.5615,-1,0.0095742345,1108.0975840091705,1440866,11.844313,0.017681763,True,1.7681763,10.0,396298700.0,8575.862,9.574234e-05,485.39,8.442871,36.13089,4.450689,4292.8037,4852.53683004233,100,,559.7328,0.3613089,700.2869,4240.218
0.04119593,[ 0.026  0.627 -2.363 -2.104 -0.98 ],11.832658,0.41341934,4784.7964,59,4979.5557,10.0,5900,5373.196,4999.5195,-1,0.008714376,1144.2926268577576,1488730,11.293291,0.015091816,True,1.5091819,10.0,426220320.0,7430.906,8.714376e-05,478.64,8.854815,28.818882,4.1195927,4764.833,4784.796520372801,100,,19.963991,0.28818882,912.15576,4172.4834
0.13470608,[ 0.016  0.601 -2.383 -2.152 -1.006],3.5696328,0.43844375,4856.158,60,4979.6187,10.0,6000,9498.246,4999.5776,-1,0.0011952594,1178.0328969955444,1537303,26.771906,0.025917433,True,2.5917435,10.0,4546268000.0,12666.49,1.1952594e-05,485.73,3.7352588,131.87997,13.47061,4836.199,4856.158272776754,100,,19.959185,1.3187997,814.68066,4243.837
0.05267985,[ 0.045  0.547 -2.315 -2.121 -0.98 ],7.7049313,0.42755187,4731.6313,61,4689.786,10.0,6100,5957.6035,4999.5884,-1,0.022023091,1214.946337223053,1584637,6.740846,0.0152208805,True,1.5220878,10.0,617413600.0,7547.384,0.00022023091,473.34,14.834933,44.50983,5.2679853,4421.829,4731.631439634118,100,,309.80212,0.44509828,962.77844,4119.3096
0.052226827,[ 0.012  0.499 -2.297 -2.064 -0.991],9.292781,0.46503696,4876.7314,62,4659.7866,10.0,6200,6178.4653,4999.5894,-1,0.02340032,1255.5309119224548,1633418,9.625531,0.01671651,True,1.671651,10.0,593149900.0,8078.1973,0.0002340032,487.81,10.389037,45.374336,5.2226834,4536.928,4876.731224322549,100,,339.80273,0.45374334,655.29266,4264.4087
0.006175544,[ 0.023  0.475 -2.316 -1.999 -0.954],74.991425,0.45681775,4806.8623,63,4699.7573,10.0,6300,4422.372,4999.532,-1,0.15845385,1289.5072100162506,1681503,1.3996434,0.010693908,True,1.0693908,10.0,9211812.0,5146.781,0.0015845385,480.85,71.44677,3.0162048,0.6175544,4507.0874,4806.8623966046325,100,,299.7749,0.030162048,776.55237,4194.548
0.034264404,[ 0.025  0.483 -2.314 -2.039 -0.962],16.953993,0.4158512,4799.0435,64,4299.9287,10.0,6400,5817.9775,4999.5874,-1,0.0008706493,1327.8128118515015,1729509,7.499285,0.015481741,True,1.5481741,10.0,221565620.0,7494.8105,8.706493e-06,480.06,13.334604,29.830338,3.4264407,4099.3843,4799.043098980186,100,,699.65875,0.29830337,836.7758,4186.721
0.0913231,[ 0.031  0.511 -2.31  -2.1   -1.003],4.0868716,0.41107118,4875.21,65,4989.578,10.0,6500,7614.5327,4999.56,-1,0.06169886,1362.3655245304108,1778274,8.007612,0.018851122,True,1.885112,10.0,2098161500.0,9347.255,0.0006169886,487.65,12.488117,91.58751,9.132311,4865.2275,4875.209700118744,100,,9.982072,0.9158751,700.8749,4262.8906
0.11674148,[ 4.931e-04  4.945e-01 -2.318e+00 -2.122e+00 -1.008e+00],6.646455,0.46789297,4973.111,66,1460.8667,10.0,6600,10610.016,4999.616,-1,0.0013005091,1396.7036590576172,1828015,65.01261,0.031149764,True,3.114977,10.0,416406720.0,15547.22,1.300509e-05,497.41,1.5381631,98.16666,11.674148,1434.361,4973.110511392596,100,,3538.7495,0.98166656,184.04443,4360.785
0.056527685,[ 0.012  0.469 -2.297 -2.085 -0.951],7.983239,0.4541042,4767.89,67,4609.7085,10.0,6700,5262.9395,4999.5396,-1,0.025868805,1433.7671527862549,1875712,6.9827337,0.016650116,True,1.6650118,10.0,314247680.0,6880.976,0.00025868806,476.97,14.321038,50.027752,5.652768,4378.0596,4767.890444415184,100,,389.83084,0.5002775,856.6211,4155.574
