TimestepsSoFar,MaxIW,ESSClassic,Bound,OptimizationReturnMean,MeanIWNorm,MinIWNorm,InitialBound,InitialReturnMean,EpLenMean,EpisodesSoFar,ReturnStepMax,MeanIW,InitialReturnMax,ESSRenyi,TimeElapsed,EpThisIter,MaxIWNorm,InitialReturnStd,MinIW,ReturnStepMaxmin,Iteration,StdIW,VarianceInit,J_sample_variance,Weights,ReturnMeanIW,MeanEntropy,LearnableVariance,EpRewMean,StdIWNorm,OptimizationReturnMin,OptimizationReturnMax,InitialReturnMin,EmpiricalD2
57572,8.757433,47.19145,1058.043,1098.7455,0.01220242,0.00035300144,784.6282,1128.7013,113.91,1100,10.0,1.220242,2809.345,50.826187,36.31818127632141,100,0.087574326,510.15262,0.035300143,10.0,11,1.2908219,-1,6291406.0,[-0.501  0.985 -1.513 -1.995 -0.701],1540.6648,0.67440534,True,1128.7012886046575,0.012908219,,2779.3892,29.955761,1.9674897
68740,23.344368,16.011782,1023.8261,1096.4598,0.011454634,6.2343526e-05,802.7881,1106.44,111.68,1200,10.0,1.1454635,2479.3071,23.212204,43.052093505859375,100,0.23344368,499.0892,0.0062343525,10.0,12,2.6234362,-1,28831460.0,[-0.502  0.974 -1.551 -1.923 -0.745],1654.0833,0.6143204,True,1106.4399088769715,0.026234362,,2469.327,9.980119,4.308079
80786,1.7607573,93.180016,869.1122,1194.2324,0.010078845,0.0053207064,848.95544,1194.2324,120.46,1300,10.0,1.0078844,2819.1746,92.72163,50.39137291908264,100,0.017607573,447.70853,0.53207064,10.0,13,0.2726718,-1,481349.56,[-0.495  0.94  -1.566 -1.981 -0.805],1227.6848,0.6181319,True,1194.232346967983,0.002726718,,2819.1746,,1.078497
93519,2.139311,90.85285,877.19836,1262.9391,0.010554525,0.0045352913,811.0864,1262.9391,127.33,1400,10.0,1.0554526,3689.3606,89.30728,58.23111128807068,100,0.021393111,498.13464,0.45352915,10.0,14,0.33489785,-1,548246.8,[-0.486  0.944 -1.574 -1.977 -0.801],1355.3364,0.6165531,True,1262.9390106258827,0.0033489782,,3689.3606,,1.1197295
105416,54.940582,6.895734,1256.0435,1179.3362,0.015940813,2.582935e-05,890.35077,1179.3362,118.97,1500,10.0,1.5940814,2359.555,6.495023,66.06507229804993,100,0.5494058,516.8191,0.002582935,10.0,15,5.857402,-1,152965520.0,[-0.502  0.978 -1.586 -1.981 -0.802],2389.9712,0.63065326,True,1179.336173333227,0.05857402,,2359.555,,15.396405
116819,57.524082,8.018124,927.3773,1129.9768,0.018883092,9.017848e-06,784.6892,1129.9768,114.03,1600,10.0,1.8883091,2819.2605,12.256578,74.29987573623657,100,0.5752408,392.5301,0.0009017848,10.0,16,6.395696,-1,50629548.0,[-0.575  0.989 -1.586 -2.039 -0.788],1913.6482,0.6277086,True,1129.9767516421014,0.06395696,,2819.2605,,8.158884
128411,2108.4824,1.132755,70233.266,739.20844,0.22454672,1.0966016e-05,710.52374,1148.8818,115.92,1700,10.0,22.454668,3579.1787,0.4018427,82.77159285545349,100,21.084824,414.14557,0.0010966016,10.0,17,209.78038,-1,446585540000.0,[-0.618  0.945 -1.612 -2.    -0.791],77148.41,0.5172329,True,1148.8819648328927,2.0978036,,3169.5051,409.67352,248.85358
139598,330.088,2.010287,2806.8364,1108.4111,0.047069833,6.235247e-05,641.85925,1108.4111,111.87,1800,10.0,4.7069826,3809.3801,1.935186,91.54031348228455,100,3.30088,500.99765,0.006235247,10.0,18,32.862743,-1,1771666200.0,[-0.491  0.767 -1.557 -1.829 -0.902],6160.6475,0.5556025,True,1108.411084473336,0.3286274,,3809.3801,,51.674618
151530,6.7039847,44.08598,1131.2169,943.03625,0.012116849,0.0005432738,924.49396,1182.8531,119.32,1900,10.0,1.2116851,2109.493,51.794434,100.41727542877197,100,0.06703985,324.16428,0.054327384,10.0,19,1.3645828,-1,2594056.8,[-0.481  0.831 -1.553 -1.743 -0.863],1490.2068,0.50663024,True,1182.8531265695058,0.013645826,,1869.6761,239.8168,1.9307094
163656,5.2427745,59.23174,968.6651,1182.3356,0.011584479,0.0012611056,846.0011,1202.3,121.26,2000,10.0,1.1584479,2909.1675,58.23499,110.83369660377502,100,0.052427743,411.9435,0.12611057,10.0,20,0.96108156,-1,1810703.2,[-0.49   0.868 -1.573 -1.79  -0.912],1435.5635,0.4914576,True,1202.3000236505166,0.009610815,,2889.2031,19.964432,1.7171807
176619,2.5601196,85.099,952.02954,1285.95,0.010351229,0.0032268204,880.63104,1285.95,129.63,2100,10.0,1.0351231,3309.417,84.213615,121.06416082382202,100,0.025601195,537.10675,0.32268205,10.0,21,0.43314922,-1,997658.7,[-0.473  0.885 -1.586 -1.778 -0.927],1393.7078,0.4681295,True,1285.9500621662212,0.0043314924,,3309.417,,1.1874565
188874,7.1675267,49.47138,1053.1738,1215.1549,0.010747056,0.00042277263,900.4807,1215.1549,122.55,2200,10.0,1.0747056,2569.305,54.614353,130.84066820144653,100,0.07167526,477.26065,0.042277265,10.0,22,1.0861286,-1,4409170.5,[-0.473  0.899 -1.593 -1.793 -0.951],1478.9761,0.44929975,True,1215.154958957396,0.010861285,,2569.305,,1.8310205
202787,24.193298,23.352154,1355.6467,1380.9213,0.015077437,0.0009083599,984.16614,1380.9213,139.13,2300,10.0,1.5077438,3239.4917,29.716345,142.1259982585907,100,0.24193297,538.7715,0.09083599,10.0,23,2.731581,-1,17656056.0,[-0.486  0.97  -1.588 -1.859 -0.97 ],2083.468,0.49272907,True,1380.9213092420364,0.027315808,,3239.4917,,3.3651514
216747,3.202763,81.281624,1129.1937,1375.6898,0.011268803,0.0029307425,1003.6212,1385.6704,139.6,2400,10.0,1.1268803,3119.4192,77.455734,153.3149654865265,100,0.03202763,490.25528,0.29307425,10.0,24,0.5407738,-1,833281.6,[-0.467  0.942 -1.563 -1.894 -0.926],1563.2965,0.47063953,True,1385.670530211908,0.0054077376,,3109.4387,9.980548,1.29106
230444,104.3152,3.3773584,2216.7642,1359.3263,0.019387057,5.57354e-05,1015.2189,1359.3263,136.97,2500,10.0,1.9387056,2809.625,4.0103335,165.11648559570312,100,1.043152,487.8051,0.00557354,10.0,25,10.369617,-1,812420600.0,[-0.475  0.93  -1.578 -1.892 -0.948],3935.0828,0.5155412,True,1359.326346558104,0.10369618,,2809.625,,24.935581
244412,1.7419513,93.18484,943.07684,1376.4454,0.010482771,0.0040104785,888.04614,1386.4254,139.68,2600,10.0,1.0482771,4069.2495,93.098656,177.41313481330872,100,0.017419513,585.8444,0.40104786,10.0,26,0.2834926,-1,480988.7,[-0.441  0.959 -1.588 -1.851 -0.903],1459.5981,0.5148084,True,1386.4253726302634,0.002834926,,4059.2695,9.979979,1.0741293
259295,4.753071,66.27568,1122.5059,1288.0764,0.010092156,0.0024749634,1030.9592,1477.9038,148.83,2700,10.0,1.0092157,3649.2864,69.37592,189.71443343162537,100,0.047530707,631.3986,0.24749635,10.0,27,0.7199104,-1,3873297.2,[-0.429  0.932 -1.631 -1.842 -0.904],1659.104,0.49902293,True,1477.9036044898198,0.007199104,,3459.4592,189.82722,1.4414222
273845,13.633191,26.257648,1282.527,1214.8416,0.011800783,0.00026669778,1038.0848,1444.6201,145.5,2800,10.0,1.1800783,3319.3457,32.076965,201.5395746231079,100,0.1363319,537.76776,0.02666978,10.0,28,1.9776134,-1,14816697.0,[-0.406  0.917 -1.627 -1.859 -0.92 ],2000.3237,0.5142541,True,1444.619982440744,0.019776134,,3089.5674,229.77834,3.1175017
288401,798.1258,1.46707,8814.457,1445.1747,0.09701849,8.215504e-05,1055.8088,1445.1747,145.56,2900,10.0,9.701849,3179.159,0.2729163,212.46341109275818,100,7.981258,645.15314,0.008215505,10.0,29,79.50964,-1,19086885000.0,[-0.405  0.972 -1.635 -1.853 -0.905],16267.664,0.6126177,True,1445.1747129097482,0.7950964,,3179.159,,366.41272
302076,7.740977,49.62109,1126.5034,1357.0853,0.011003184,0.00027822104,1014.31836,1357.0853,136.75,3000,10.0,1.1003186,2798.6797,53.518227,224.8611822128296,100,0.07740977,531.36847,0.027822105,10.0,30,1.108689,-1,3970420.8,[-0.413  0.957 -1.636 -1.899 -0.806],1595.0448,0.579561,True,1357.0852676124425,0.01108689,,2798.6797,,1.8685223
317014,4.525261,67.18101,1288.1621,1473.4031,0.0110627785,0.002293336,1084.2148,1483.3838,149.38,3100,10.0,1.106278,3259.2002,67.246506,237.21203565597534,100,0.04525261,577.5724,0.2293336,10.0,31,0.77322114,-1,3381329.5,[-0.395  0.929 -1.638 -1.926 -0.839],1774.9299,0.5829231,True,1483.3837418653657,0.007732212,,3249.2195,9.980665,1.487066
332073,403.84143,1.3538111,11744.045,1495.4912,0.047058955,5.19406e-07,1049.7819,1495.4912,150.59,3200,10.0,4.705896,3639.2026,1.2936035,248.01219844818115,100,4.038414,608.34485,5.19406e-05,10.0,32,40.170143,-1,21581830000.0,[-0.358  0.885 -1.726 -1.855 -0.836],15662.828,0.47064227,True,1495.4912886972324,0.4017014,,3639.2026,,77.30344
347542,292.3202,1.7250721,4352.802,1376.6831,0.038505416,1.1204168e-06,1050.3754,1536.5405,154.69,3300,10.0,3.8505423,3969.5205,1.3509419,259.79362535476685,100,2.9232018,579.9066,0.00011204168,10.0,33,29.062943,-1,4317338000.0,[-0.364  0.922 -1.748 -1.907 -0.948],8535.585,0.37571445,True,1536.5403350060444,0.29062948,,3809.6633,159.85721,74.02243
365033,4.5981545,67.14994,1370.6738,1728.7814,0.010597435,0.0019141214,1278.3098,1738.7661,174.91,3400,10.0,1.0597435,3759.6086,69.835495,274.22223472595215,100,0.045981545,596.3079,0.19141215,10.0,34,0.74121803,-1,3553209.2,[-0.331  0.895 -1.76  -1.958 -1.043],1921.672,0.3448216,True,1738.766010140187,0.0074121803,,3749.6238,9.984784,1.4319366
383007,1.452635,98.18061,1304.8864,837.3221,0.01008382,0.006723223,1294.8124,1787.0631,179.74,3500,10.0,1.0083821,4019.2124,98.06096,288.41124987602234,100,0.01452635,581.8718,0.6723223,10.0,35,0.13727012,-1,1328670.1,[-0.331  0.887 -1.767 -1.966 -1.074],1801.9803,0.3506938,True,1787.0631600946442,0.0013727013,,3069.4712,949.74115,1.0197738
400180,2.9226627,79.08807,1307.7433,1707.0045,0.0104822945,0.0038344387,1222.0746,1707.0045,171.73,3600,10.0,1.0482296,3959.4363,80.82934,300.14841890335083,100,0.029226627,622.761,0.3834439,10.0,36,0.53901124,-1,1787009.8,[-0.333  0.886 -1.775 -1.961 -1.068],1847.1228,0.36322048,True,1707.004635935651,0.005390112,,3959.4363,,1.2371745
418152,2314.2688,1.0935625,68981.875,1776.8867,0.24209565,2.1156816e-06,1306.8464,1786.8665,179.72,3700,10.0,24.209568,3919.3445,0.0407662,313.4922456741333,100,23.142687,727.5824,0.00021156817,10.0,37,230.2383,-1,818331500000.0,[-0.328  0.901 -1.8   -1.966 -1.056],92756.24,0.3651929,True,1786.8663233761504,2.302383,,3909.3647,9.979857,2453.0127
440264,77.276115,4.5904827,3303.7607,1971.1674,0.0169061,0.00025815915,1588.6743,2200.9434,221.12,3800,10.0,1.6906102,4999.1553,8.038943,331.42403078079224,100,0.77276117,956.314,0.025815917,10.0,38,7.707439,-1,1240869200.0,[-0.26   0.916 -1.802 -1.967 -1.054],5463.209,0.41628054,True,2200.9433758337664,0.07707439,,4769.3794,229.77594,12.4394455
461725,1.2556361,99.402084,1619.8967,1655.9275,0.010081768,0.008184729,1598.0803,2135.6602,214.61,3900,10.0,1.0081767,4389.3203,99.283264,348.49859595298767,100,0.012556361,799.12683,0.8184729,10.0,39,0.07819117,-1,936175.2,[-0.248  0.872 -1.806 -1.98  -1.003],2159.4133,0.41783533,True,2135.6603385191265,0.0007819118,,3909.5874,479.73303,1.0072191
484469,6.4205484,50.25713,1830.4497,2254.0632,0.010888867,0.0015271674,1651.8057,2264.0432,227.44,4000,10.0,1.0888869,4998.8984,56.828194,367.0742862224579,100,0.06420548,856.5514,0.15271674,10.0,40,1.0833015,-1,13873078.0,[-0.249  0.874 -1.824 -1.987 -1.001],2642.603,0.44526008,True,2264.0432694462,0.010833015,,4988.918,9.980269,1.7596899
505593,41.621433,11.149155,2980.9014,2092.1538,0.01679128,4.8061625e-05,1489.8511,2102.1353,211.24,4100,10.0,1.6791282,4999.278,11.98651,383.8205223083496,100,0.41621432,897.36536,0.004806163,10.0,41,4.740167,-1,377041000.0,[-0.238  0.859 -1.832 -1.995 -0.974],4749.407,0.3800685,True,2102.1352030453786,0.047401667,,4989.2964,9.98138,8.342711
528713,24.329113,16.391678,2620.5564,2301.6274,0.014641157,0.00040173193,1689.4268,2301.6274,231.2,4200,10.0,1.4641157,4998.596,14.421757,401.3977122306824,100,0.24329112,1016.3662,0.040173195,10.0,42,3.3066518,-1,173444050.0,[-0.235  0.871 -1.847 -1.971 -1.039],4232.629,0.41384944,True,2301.6273467349997,0.03306652,,4998.596,,6.933968
552874,13.531593,27.285183,2503.2886,2155.7004,0.013679903,0.00072975276,1847.1787,2405.551,241.61,4300,10.0,1.3679904,4559.091,24.748013,420.14066791534424,100,0.13531592,711.01434,0.07297528,10.0,43,2.2332177,-1,41985670.0,[-0.227  0.927 -1.855 -2.02  -1.005],3625.7043,0.4315191,True,2405.551127178369,0.022332177,,4309.24,249.85083,4.0407286
576868,4.640471,74.07036,2038.7009,2368.929,0.011140871,0.0014779887,1776.7452,2388.8936,239.94,4400,10.0,1.1140871,4998.168,72.51575,441.6016035079956,100,0.04640471,942.2943,0.14779887,10.0,44,0.6591665,-1,4133126.5,[-0.198  0.916 -1.859 -2.006 -0.987],2757.5542,0.41546923,True,2388.8933817777765,0.0065916646,,4978.2036,19.964283,1.3790108
603550,699.6168,1.2874484,12660.694,2657.674,0.07947007,2.9664811e-06,2045.4172,2657.674,266.82,4500,10.0,7.947006,4999.0566,0.17807373,461.5294671058655,100,6.996168,836.2716,0.00029664813,10.0,45,69.58647,-1,59879625000.0,[-0.191  0.904 -1.847 -2.023 -1.003],27169.57,0.4365227,True,2657.6740559350296,0.6958647,,4999.0566,,561.5651
633514,64.63306,6.7723713,4136.8228,2976.7612,0.017299674,0.00012577204,2374.4849,2986.7422,299.64,4600,10.0,1.7299675,4999.0596,9.981516,486.15952944755554,100,0.64633054,1330.5138,0.012577204,10.0,46,6.4185934,-1,1032720300.0,[-0.15   0.934 -1.83  -1.978 -0.982],6074.742,0.48047864,True,2986.7424398453336,0.06418594,,4989.0786,9.981151,10.018518
661478,119.38054,3.795328,5925.38,2786.4724,0.024900222,3.892045e-05,2174.1946,2786.4724,279.64,4700,10.0,2.4900222,4999.228,2.6757748,506.28497862815857,100,1.1938053,1450.1895,0.0038920452,10.0,47,12.536511,-1,3744841500.0,[-0.134  0.943 -1.858 -1.959 -0.938],9668.414,0.52215636,True,2786.4727352171367,0.12536511,,4999.228,,37.372353
690751,122.791145,3.3421633,5760.7725,2897.9885,0.024721676,1.50890455e-05,2305.674,2917.95,292.73,4800,10.0,2.4721677,4999.212,2.2259014,527.9681828022003,100,1.2279115,1539.5488,0.0015089046,10.0,48,13.294827,-1,3272019500.0,[-0.116  0.924 -1.885 -2.017 -0.897],9864.648,0.5244218,True,2917.9498781474235,0.13294828,,4979.2505,19.96133,44.92562
717046,28.674139,14.920751,3032.215,2429.8508,0.0131679345,0.000369946,2007.4626,2619.7314,262.95,4900,10.0,1.3167936,4999.154,21.465015,547.5403788089752,100,0.28674138,1584.6011,0.036994603,10.0,49,3.1443741,-1,222121220.0,[-0.108  0.998 -1.921 -1.998 -0.895],4353.7437,0.55646646,True,2619.7315966995307,0.031443737,,4809.2734,189.88057,4.6587434
740527,20.175446,17.923138,2258.2905,2338.713,0.011450624,0.00030037988,1726.459,2338.713,234.81,5000,10.0,1.1450626,4999.0293,24.756268,564.9644529819489,100,0.20175445,1702.6566,0.030037988,10.0,50,2.450375,-1,134784590.0,[-0.091  1.012 -1.986 -2.054 -0.862],3488.8108,0.53338623,True,2338.712957139206,0.02450375,,4999.0293,,4.039381
772945,395.52582,1.48364,10969.691,3212.7522,0.04843038,1.1162962e-05,2620.431,3232.7202,324.18,5100,10.0,4.8430376,4999.3184,0.49508697,589.5650730133057,100,3.9552581,1591.8445,0.0011162963,10.0,51,39.464603,-1,28428698000.0,[-0.085  0.988 -2.009 -2.098 -0.886],19671.623,0.51532173,True,3232.719894548926,0.39464608,,4979.3506,19.96783,201.98471
807478,3.0764792,77.26002,2986.0415,3434.6172,0.010667103,0.0022496176,2832.3047,3444.5981,345.33,5200,10.0,1.0667105,4999.3525,75.73212,616.5068221092224,100,0.030764792,1533.1555,0.22496176,10.0,52,0.5787141,-1,9655546.0,[-0.112  0.951 -2.016 -2.151 -0.904],3689.631,0.5195288,True,3444.5979423768144,0.0057871407,,4989.3716,9.98086,1.3204437
844366,6.555085,49.131603,3480.188,3501.199,0.011059527,0.0011600022,3068.758,3681.0476,368.88,5300,10.0,1.1059527,4999.3164,52.32462,644.5090956687927,100,0.06555085,1527.4128,0.11600023,10.0,53,1.1253307,-1,28454292.0,[-0.108  0.969 -2.029 -2.143 -0.899],4326.6416,0.49301165,True,3681.0470764887395,0.011253308,,4819.4683,179.84827,1.9111463
883033,642.9757,1.1833057,22497.977,3859.968,0.0699651,1.483919e-06,3247.6648,3859.968,386.67,5400,10.0,6.9965086,4999.436,0.27640674,675.73566198349,100,6.429757,1475.8605,0.0001483919,10.0,54,63.936386,-1,103212860000.0,[-0.101  0.977 -2.049 -2.145 -0.926],34144.395,0.42518044,True,3859.9682297389704,0.6393639,,4999.436,,361.78568
922766,34.688995,12.075565,4117.4346,3968.5696,0.013215809,0.000396426,3356.266,3968.5696,397.33,5500,10.0,1.321581,4999.4395,19.376982,704.8840582370758,100,0.34688994,1719.5758,0.039642602,10.0,55,3.5661106,-1,311578300.0,[-0.083  1.02  -2.063 -2.127 -0.994],5508.4243,0.45575225,True,3968.569935140766,0.035661105,,4999.4395,,5.1607623
958567,46.658295,8.159903,4149.642,3572.6218,0.014031743,9.880701e-05,2960.3267,3572.6218,358.01,5600,10.0,1.4031744,4999.3677,16.610636,735.6082184314728,100,0.46658292,1633.3478,0.009880701,10.0,56,4.7074456,-1,554784200.0,[-0.1    1.018 -2.1   -2.147 -0.963],5651.98,0.40751272,True,3572.621742538556,0.047074456,,4999.3677,,6.020239
1001578,28.702854,15.147642,4874.0234,4285.9146,0.013582647,3.2718373e-05,3683.5864,4295.894,430.11,5700,10.0,1.3582646,4999.47,17.88365,766.5016717910767,100,0.28702852,1244.6886,0.0032718375,10.0,57,3.2147253,-1,256133260.0,[-0.105  1.043 -2.098 -2.167 -1.011],6321.9336,0.3712965,True,4295.8940409559345,0.03214725,,4989.4907,9.979487,5.5916996
1047300,5.9985332,61.240036,4311.12,4538.3584,0.011074433,0.0011061076,3955.9836,4568.306,457.22,5800,10.0,1.1074435,4999.5884,58.32045,801.526312828064,100,0.059985332,1022.0457,0.11061076,10.0,58,0.88104,-1,20485952.0,[-0.091  1.048 -2.115 -2.199 -1.048],5112.9263,0.3756383,True,4568.305668600815,0.008810399,,4969.641,29.947289,1.7146645
1094211,3.6705923,71.210045,4489.131,4447.177,0.011283688,0.0014668953,4074.7322,4687.0415,469.11,5900,10.0,1.1283689,4999.484,64.28241,838.1265735626221,100,0.036705922,738.8299,0.14668953,10.0,59,0.7174652,-1,9951571.0,[-0.092  1.073 -2.126 -2.189 -1.043],5252.8345,0.37884265,True,4687.041564550005,0.007174652,,4759.6187,239.86517,1.5556356
1136359,6.7733145,45.113453,4170.373,4209.0215,0.011709924,0.0007903939,3596.7185,4209.0215,421.48,6000,10.0,1.1709924,4999.432,47.603203,866.9926116466522,100,0.067733146,1272.031,0.079039395,10.0,60,1.2916176,-1,39979736.0,[-0.104  1.062 -2.133 -2.183 -1.04 ],5057.832,0.38180226,True,4209.021605348152,0.012916176,,4999.432,,2.100699
1179543,9.504574,38.11848,3977.7463,4302.6353,0.011186531,0.00044602243,3700.2983,4312.6167,431.84,6100,10.0,1.1186529,4999.563,36.8113,904.4085147380829,100,0.09504574,1191.5553,0.044602245,10.0,61,1.4253058,-1,51024736.0,[-0.106  1.053 -2.137 -2.22  -1.037],4986.969,0.39735988,True,4312.617025047771,0.0142530585,,4989.5815,9.981335,2.7165573
1224532,145.08575,3.373884,9381.42,4484.686,0.027532063,8.811521e-06,3882.342,4494.667,449.89,6200,10.0,2.7532063,4999.6167,2.7771418,940.4158079624176,100,1.4508575,1100.3679,0.0008811521,10.0,62,14.734009,-1,5413345000.0,[-0.092  1.05  -2.129 -2.249 -1.022],13055.794,0.3961979,True,4494.667370613431,0.14734006,,4989.6353,9.981495,36.008244
1269170,757.3443,1.2314084,20180.889,4458.773,0.08408384,6.27042e-07,3846.448,4458.773,446.38,6300,10.0,8.408384,4999.6074,0.11957432,976.7823176383972,100,7.573443,1026.4476,6.27042e-05,10.0,63,75.304504,-1,119598170000.0,[-0.105  1.077 -2.153 -2.379 -1.023],37888.605,0.36122552,True,4458.772496637923,0.75304496,,4999.6074,,836.2999
1308554,3.7852151,76.71733,3564.3042,3700.887,0.010489801,0.0017669825,3318.3425,3930.6716,393.84,6400,10.0,1.04898,4999.6455,71.08754,1009.1226608753204,100,0.03785215,1066.7473,0.17669825,10.0,64,0.5778786,-1,8341252.5,[-0.144  1.066 -2.158 -2.358 -1.058],4290.5576,0.36764842,True,3930.671600728094,0.005778786,,4769.861,229.78482,1.4067163
1350419,85.544655,4.7507167,6591.2993,3969.6821,0.019341186,0.00016407012,3567.188,4179.5073,418.65,6500,10.0,1.9341184,4999.566,7.6944866,1044.0778708457947,100,0.8554465,979.1713,0.016407013,10.0,65,8.660327,-1,1724569100.0,[-0.135  1.072 -2.154 -2.357 -1.051],8798.735,0.38562274,True,4179.507642390474,0.08660326,,4789.74,209.82587,12.996319
1392825,1.9640285,86.207664,3760.0337,4234.0376,0.010455459,0.0032310719,3621.7168,4234.0376,424.06,6600,10.0,1.045546,4999.5776,83.6874,1081.168906211853,100,0.019640284,1025.2692,0.32310718,10.0,66,0.41820484,-1,4297199.5,[-0.145  1.166 -2.154 -2.395 -1.033],4429.377,0.371856,True,4234.037536217941,0.004182048,,4999.5776,,1.194923
1434053,36.867126,9.885379,4381.3604,4115.291,0.013901085,0.0002759502,3502.983,4115.291,412.28,6700,10.0,1.3901085,4999.4746,14.396371,1110.517961025238,100,0.36867127,1190.4071,0.027595023,10.0,67,4.197103,-1,333262340.0,[-0.146  1.155 -2.157 -2.383 -1.047],5995.137,0.37316626,True,4115.291207594855,0.041971035,,4999.4746,,6.946195
1479746,182.85168,2.6736321,9027.654,4553.9824,0.035830285,3.1283826e-06,3951.6365,4563.963,456.93,6800,10.0,3.5830293,4999.6235,0.6310254,1146.1820697784424,100,1.8285168,832.1603,0.00031283827,10.0,68,21.617964,-1,10733538000.0,[-0.121  1.145 -2.155 -2.399 -1.046],16735.97,0.35458106,True,4563.962954604435,0.21617965,,4989.643,9.980449,158.47223
1524140,36.593346,10.403123,5734.7466,4425.853,0.017023902,6.697336e-05,3823.5078,4435.833,443.94,6900,10.0,1.7023904,4999.614,7.487956,1183.830510854721,100,0.36593345,1333.5897,0.0066973367,10.0,69,4.996015,-1,632106240.0,[-0.105  1.173 -2.159 -2.319 -1.064],7972.4395,0.39890772,True,4435.8328445590605,0.04996015,,4989.634,9.980072,13.354779
