EmpiricalD2Arithmetic,EpLenMean,TimestepsSoFar,MeanD2-0,ReturnStepMax,TimeElapsed,Weights,InitialReturnMin,ESSRenyiArithmetic,Inner Iteration,InitialBound,ReturnMeanIW,EpisodesSoFar,StdWReturnMean,LearnableVariance,Iteration,Penalization,DivergenceHarmonic,MaxIW,ESSRenyiHarmonic,WReturnMean,EpRewMean,StdIW,InitialReturnMax,MeanIW,ReturnStepMaxmin,InitialReturnStd,EpThisIter,MinIW,MeanEntropy,InitialReturnMean,VarianceInitializer,EmpiricalD2Harmonic,MinTargetPdf,MinBehavPdf,Bound
1.0,90.96,79656,1.0,10.0,29.243193864822388,[-0.398  0.662 -0.921 -1.513],9.982898,100.0,1,-1253820.5,15419147000.0,1600,,,16,True,5.5177468e+22,822423.2,100.0,956422.0,899.2902786386221,118118.26,2269.5962,25683.268,10.0,384.31635,100,0.021437835,0.4189424,899.2903,-1,1.0,-103.21287,-103.21287,-6.985823e+16
1.0,84.43,88099,1.0,9.999999,32.02265810966492,[-0.282  0.701 -0.934 -1.531],,100.0,1,-1245549.0,9881511000.0,1700,,,17,True,5.8329875e+22,271744.9,100.0,958719.4,833.9678184532942,27791.336,2228.904,4148.5293,9.999999,513.0469,100,0.0464956,0.4189424,833.96783,-1,1.0,-93.99219,-93.99219,-6.9273596e+16
1.0,102.36,98335,1.0,10.0,35.74000263214111,[-0.397  0.698 -0.981 -1.539],9.98258,100.0,1,-1587609.1,20488692000.0,1800,,,18,True,1.2905542e+18,1839076.6,100.0,1209369.5,1013.2571322180056,182891.81,2559.5442,22402.838,10.0,427.41022,100,0.012165433,0.4189424,1013.2572,-1,1.0,-112.01419,-112.01419,-429708060000000.0
1.0,74.96,105831,1.0,10.0,38.250272274017334,[-0.342  0.801 -1.01  -1.504],9.980868,100.0,1,-1031290.0,80415230.0,1900,,,19,True,104332320000000.0,2024.6642,100.0,771970.9,739.3015696175253,212.02785,2119.3208,49.041103,10.0,474.76736,100,0.0066210967,0.4189424,739.3016,-1,1.0,-96.75166,-96.75166,-2648838000000.0
1.0,108.43,116674,1.0,10.0,41.76147127151489,[-0.372  0.718 -1.044 -1.585],,100.0,1,-2007406.1,308249360000.0,2000,,,20,True,2.611588e+27,17098656.0,100.0,1488054.0,1073.9498610821886,1781743.1,2999.2317,273511.4,10.0,578.52026,100,0.031744763,0.4189424,1073.9498,-1,1.0,-141.97174,-141.97174,-2.6540663e+19
1.0,97.5,126424,1.0,10.0,45.1059684753418,[-0.255  0.759 -1.06  -1.592],29.944172,100.0,1,-1690202.0,340910830000.0,2100,,,21,True,1.460351e+29,6328368.0,100.0,1272615.8,964.6117698878386,630352.7,2689.3809,70625.805,10.0,584.9272,100,0.31757742,0.4189424,964.6117,-1,1.0,-110.6362,-110.6362,-1.5957786e+20
1.0,116.84,138108,1.0,10.0,48.46422624588013,[-0.348  0.686 -1.079 -1.626],,100.0,1,-1855287.6,182031040000.0,2200,,,22,True,4.2462737e+23,2243026.8,100.0,1536633.6,1158.060127359801,374628.38,2349.3013,127581.03,10.0,442.18823,100,0.05677452,0.4189424,1158.06,-1,1.0,-99.44791,-99.44791,-2.0764487e+17
1.0,105.14,148622,1.0,10.0,50.8909957408905,[-0.258  0.768 -1.095 -1.603],,100.0,1,-1850857.8,44820540.0,2300,,,23,True,4145139500.0,228.49074,100.0,1439462.9,1040.9847952859643,40.90195,2669.3687,20.393383,10.0,596.5013,100,0.21372114,0.4189424,1040.9847,-1,1.0,-113.22046,-113.22046,-26531412000.0
1.0,129.59,161581,1.0,10.0,54.99194121360779,[-0.208  0.696 -1.132 -1.685],,100.0,1,-2657992.8,69989600.0,2400,,,24,True,524172900.0,322.595,100.0,2124568.0,1285.4342751464585,46.789444,3039.5933,19.953638,10.0,687.1875,100,0.0469193,0.4189424,1285.4343,-1,1.0,-147.95047,-147.95047,-12282575000.0
1.0,158.4,177421,1.0,10.0,60.34917497634888,[-0.18   0.641 -1.174 -1.785],9.980707,100.0,1,-4711725.0,36281400000.0,2500,,,25,True,1.8154034e+27,464091.2,100.0,3309653.8,1573.4717030397323,55715.8,4927.919,8188.888,10.0,913.14856,100,0.10260127,0.4189424,1573.4717,-1,1.0,-219.10979,-219.10979,-5.9738327e+19
1.0,140.62,191483,1.0,10.0,64.28719711303711,[-0.173  0.753 -1.188 -1.731],19.968647,100.0,1,-3294126.0,191600200.0,2600,,,26,True,1673871500.0,3508.6772,100.0,2654136.0,1395.7041484568222,349.69366,3329.3955,46.516567,10.0,840.32495,100,0.06289259,0.4189424,1395.7042,-1,1.0,-142.85938,-142.85938,-26375310000.0
1.0,146.65,206148,1.0,10.0,69.07044768333435,[-0.225  0.726 -1.206 -1.743],9.980473,100.0,1,-3375307.5,311830050.0,2700,,,27,True,61188214000000.0,1213.603,100.0,2692630.0,1456.0308101428573,237.54263,3438.638,99.786385,10.0,756.7061,100,0.17943244,0.4189424,1456.0308,-1,1.0,-141.0818,-141.0818,-5340372400000.0
1.0,151.37,221285,1.0,10.0,73.61060070991516,[-0.157  0.665 -1.238 -1.822],9.981066,100.0,1,-4117772.5,2887889000.0,2800,,,28,True,1.1881207e+16,23688.35,100.0,3000662.5,1503.1571201975728,2680.3025,4398.723,442.9727,10.0,860.9188,100,0.046992026,0.4189424,1503.1572,-1,1.0,-195.38882,-195.38882,-121768020000000.0
1.0,181.26,239411,1.0,10.0,79.461496591568,[-0.139  0.57  -1.26  -1.898],,100.0,1,-5519754.5,631852100.0,2900,,,29,True,56653824000.0,3317.0862,100.0,4077145.8,1802.2237322538695,473.91968,4998.6484,119.653595,10.0,910.56885,100,0.022403838,0.4189424,1802.2238,-1,1.0,-205.8438,-205.8438,-343999350000.0
1.0,136.05,253016,1.0,9.999999,83.73861956596375,[-0.197  0.557 -1.266 -1.913],,100.0,1,-2558282.0,40259998000.0,3000,,,30,True,8.4597247e+24,444918.2,100.0,2121797.8,1350.1882373735625,62122.582,2749.559,18826.404,9.999999,546.6165,100,0.0033071453,0.4189424,1350.1882,-1,1.0,-117.80684,-117.80684,-1.2695319e+18
1.0,204.8,273496,1.0,10.0,89.94139766693115,[-0.088  0.528 -1.282 -1.964],,100.0,1,-6742409.5,12560735000.0,3100,,,31,True,1.2278131e+21,84587.59,100.0,5299698.5,2037.480701927271,9861.883,4998.8223,2462.8398,10.0,1071.621,100,0.046019524,0.4189424,2037.4806,-1,1.0,-232.25186,-232.25186,-5.055231e+16
1.0,226.16,296112,1.0,10.0,97.03432631492615,[-0.018  0.488 -1.359 -2.02 ],19.964363,100.0,1,-9157564.0,68024635000.0,3200,,,32,True,1.0869517e+26,183482.22,100.0,7714538.0,2252.3823993019873,19536.73,4999.3667,2732.468,10.0,1625.2113,100,0.026657637,0.4189424,2252.3826,-1,1.0,-231.6835,-231.6835,-1.5044387e+19
1.0,223.75,318487,1.0,10.0,103.2868139743805,[-0.073  0.464 -1.376 -2.028],9.980306,100.0,1,-7797599.0,1647232800.0,3300,,,33,True,2147884800000000.0,2414.8638,100.0,6354633.5,2227.2652000259222,446.68582,4999.2617,217.29784,10.0,1180.6453,100,0.012959226,0.4189424,2227.2654,-1,1.0,-226.51056,-226.51056,-66875547000000.0
1.0,240.5,342537,1.0,10.0,110.03499174118042,[-0.025  0.499 -1.383 -2.009],,100.0,1,-9698406.0,180480950000.0,3400,,,34,True,5.063586e+29,848879.4,100.0,8255447.5,2395.4464880481764,84455.31,4999.248,8770.157,10.0,1586.5948,100,0.074958526,0.4189424,2395.4465,-1,1.0,-242.95142,-242.95142,-1.0267812e+21
1.0,229.8,365517,1.0,10.0,116.8686306476593,[-0.083  0.486 -1.403 -2.008],,100.0,1,-7964291.0,6612995000.0,3500,,,35,True,1.5865547e+17,32797.812,100.0,6521223.0,2287.5308695287754,5294.8296,4999.4385,1527.4192,10.0,1135.0887,100,0.030676669,0.4189424,2287.5308,-1,1.0,-219.7602,-219.7602,-574796900000000.0
1.0,257.64,391281,1.0,10.0,124.56002116203308,[-0.022  0.494 -1.407 -2.   ],,100.0,1,-10716221.0,471209280000.0,3600,,,36,True,3.497178e+34,2164780.5,100.0,9273149.0,2567.092872817845,215376.77,4999.4424,21851.773,10.0,1638.0425,100,0.003803627,0.4189424,2567.0928,-1,1.0,-247.18709,-247.18709,-2.698618e+23
1.0,244.01,415682,1.0,10.0,131.63393688201904,[-0.081  0.485 -1.422 -2.005],49.920807,100.0,1,-8903545.0,2859193600.0,3700,,,37,True,3.4089454e+17,9277.199,100.0,7460467.5,2430.172358507245,1160.8015,4999.453,438.8783,10.0,1246.8881,100,0.024199205,0.4189424,2430.1726,-1,1.0,-239.20848,-239.20848,-842550400000000.0
1.0,279.41,443623,1.0,10.0,139.66780877113342,[-0.022  0.502 -1.425 -2.006],19.962074,100.0,1,-11764668.0,321731100.0,3800,,,38,True,5746589000000.0,230.9003,100.0,10321656.0,2784.900862544311,37.417484,4999.336,19.828703,10.0,1601.869,100,0.025451843,0.4189424,2784.901,-1,1.0,-251.77138,-251.77138,-3459469500000.0
1.0,257.53,469376,1.0,10.0,147.98185515403748,[-0.053  0.464 -1.438 -2.042],9.98009,100.0,1,-9706290.0,1985973900.0,3900,,,39,True,16676590000.0,5443.9727,100.0,8263637.0,2565.2879242343,784.63904,4998.7163,238.36205,10.0,1297.2799,100,0.11914174,0.4189424,2565.288,-1,1.0,-224.06166,-224.06166,-188284730000.0
1.0,300.95,499471,1.0,10.0,155.79240942001343,[-0.024  0.512 -1.444 -2.014],9.980804,100.0,1,-13217163.0,605991940.0,4000,,,40,True,9.94184e+16,764.84937,100.0,11774091.0,3001.2073259919057,98.588036,4999.4365,31.813719,10.0,1663.3839,100,0.11340862,0.4189424,3001.2075,-1,1.0,-229.09477,-229.09477,-455004240000000.0
1.0,262.65,525736,1.0,10.0,163.11434364318848,[-0.069  0.546 -1.465 -1.996],9.981878,100.0,1,-10253326.0,19301646000.0,4100,,,41,True,9.104536e+18,47106.316,100.0,8810359.0,2616.8250847722984,5167.782,4999.2603,1313.4663,10.0,1400.9231,100,0.17047006,0.4189424,2616.825,-1,1.0,-234.03362,-234.03362,-4353933000000000.0
1.0,243.2,550056,1.0,10.0,170.09640192985535,[-0.009  0.56  -1.473 -2.005],9.981236,100.0,1,-10186706.0,627075650.0,4200,,,42,True,1.4816616e+21,1108.4431,100.0,8743616.0,2422.848525224642,133.69226,4999.4746,30.19936,10.0,1695.1171,100,0.09956488,0.4189424,2422.8484,-1,1.0,-239.84,-239.84,-5.5547254e+16
1.0,287.39,578795,1.0,10.0,177.77426648139954,[-0.07   0.559 -1.485 -1.996],9.982073,100.0,1,-11414870.0,36471390000.0,4300,,,43,True,1032065940000000.0,214211.52,100.0,9971893.0,2864.2679544210014,21751.95,4999.273,3481.41,10.0,1329.6097,100,0.1141099,0.4189424,2864.2678,-1,1.0,-237.68492,-237.68492,-46392560000000.0
1.0,275.44,606339,1.0,10.0,185.94956302642822,[-0.024  0.598 -1.492 -1.982],,100.0,1,-11773476.0,1136247900.0,4400,,,44,True,1.5155963e+25,3089.695,100.0,10330487.0,2745.2285476384086,311.46005,4999.297,50.194626,10.0,1671.5881,100,0.020934997,0.4189424,2745.2288,-1,1.0,-254.41605,-254.41605,-5.6175764e+18
1.0,250.67,631406,1.0,10.0,193.1983344554901,[-0.078  0.581 -1.512 -1.998],19.962593,100.0,1,-9787188.0,7344309000.0,4500,,,45,True,2076355800000000.0,53793.816,100.0,8344412.0,2496.7152025838104,5997.4775,4998.9307,1210.4086,10.0,1452.8678,100,0.025179321,0.4189424,2496.715,-1,1.0,-231.59988,-231.59988,-65749582000000.0
1.0,226.93,654099,1.0,10.0,198.89768815040588,[-0.026  0.609 -1.513 -1.977],19.968525,100.0,1,-9017715.0,21044150000.0,4600,,,46,True,2.1192268e+32,68491.19,100.0,7574742.0,2259.782988616314,6964.509,4999.2734,863.32275,10.0,1571.0261,100,0.0115442155,0.4189424,2259.783,-1,1.0,-227.35466,-227.35466,-2.1005928e+22
1.0,259.33,680032,1.0,10.0,207.1928837299347,[-0.083  0.587 -1.525 -1.984],279.76657,100.0,1,-9446037.0,10029561000.0,4700,,,47,True,5.2746695e+22,45680.004,100.0,8003064.5,2582.8916343150795,6446.045,4999.2695,2004.0044,10.0,1154.0087,100,0.067464635,0.4189424,2582.8916,-1,1.0,-215.67789,-215.67789,-3.3139816e+17
1.0,287.78,708810,1.0,10.0,215.51542615890503,[-0.024  0.596 -1.533 -1.998],,100.0,1,-12464754.0,175630050.0,4800,,,48,True,5491165700.0,194.69287,100.0,11021701.0,2869.2383625135194,25.830923,4999.4043,12.61962,10.0,1670.0817,100,0.013079215,0.4189424,2869.2385,-1,1.0,-235.01608,-235.01608,-107107740000.0
1.0,297.61,738571,1.0,10.0,223.82816910743713,[-0.051  0.551 -1.545 -2.029],59.897003,100.0,1,-12537210.0,45855207000.0,4900,,,49,True,3.054105e+30,236814.05,100.0,11094189.0,2966.8643583541666,24341.576,4999.348,4238.2173,10.0,1513.9039,100,0.07121338,0.4189424,2966.8643,-1,1.0,-239.97253,-239.97253,-2.5217855e+21
1.0,257.07,764278,1.0,10.0,231.5509660243988,[ 0.01   0.539 -1.55  -2.038],289.7644,100.0,1,-10561051.0,261441600.0,5000,,,50,True,6696745000.0,948.42,100.0,9118042.0,2561.2150982757335,94.779144,4999.333,19.906082,10.0,1599.4434,100,0.00800664,0.4189424,2561.215,-1,1.0,-231.63297,-231.63297,-118346610000.0
1.0,344.65,798743,1.0,10.0,241.7918257713318,[-0.02   0.488 -1.561 -2.057],9.979694,100.0,1,-15777567.0,1513678700.0,5100,,,51,True,64545830000000.0,1891.9808,100.0,14334493.0,3438.8643439774314,255.86719,4999.435,68.16007,10.0,1583.8892,100,0.04483771,0.4189424,3438.8643,-1,1.0,-244.00182,-244.00182,-11595034000000.0
1.0,301.3,828873,1.0,10.0,250.72793054580688,[-0.051  0.455 -1.584 -2.093],9.984084,100.0,1,-12272537.0,71343260000.0,5200,,,52,True,1.3683533e+28,345710.5,100.0,10829507.0,3003.656670381938,38536.035,4999.3647,8980.988,10.0,1344.453,100,0.071766436,0.4189424,3003.657,-1,1.0,-240.38194,-240.38194,-1.6879833e+20
1.0,294.57,858330,1.0,10.0,261.19747829437256,[ 0.01   0.464 -1.591 -2.093],299.72333,100.0,1,-13406682.0,163654480.0,5300,,,53,True,2.7660244e+22,163.47322,100.0,11963618.0,2938.0887174020263,18.65046,4999.425,11.190219,10.0,1825.1719,100,0.00019529779,0.4189424,2938.0889,-1,1.0,-266.55392,-266.55392,-2.3999791e+17
1.0,322.29,890559,1.0,10.0,272.53565883636475,[-0.049  0.467 -1.61  -2.098],9.980886,100.0,1,-13557320.0,211019200000.0,5400,,,54,True,8.7095916e+27,1585189.6,100.0,12114258.0,3213.943376016921,194810.17,4999.417,35585.613,10.0,1335.9741,100,0.025000155,0.4189424,3213.9434,-1,1.0,-240.29715,-240.29715,-1.346719e+20
1.0,300.81,920640,1.0,10.0,282.22002482414246,[ 0.011  0.482 -1.611 -2.094],,100.0,1,-13382720.0,377278750.0,5500,,,55,True,1.2194356e+17,313.78342,100.0,11939711.0,2999.832574897914,49.494106,4999.328,23.298792,10.0,1714.8517,100,0.4314487,0.4189424,2999.8328,-1,1.0,-232.55385,-232.55385,-503897780000000.0
1.0,316.25,952265,1.0,10.0,292.5936951637268,[-0.037  0.45  -1.627 -2.113],9.983272,100.0,1,-13674117.0,35239920000.0,5600,,,56,True,1.3931901e+26,103560.64,100.0,12231039.0,3153.526256601808,14267.759,4999.4473,4003.537,10.0,1512.0555,100,0.09298611,0.4189424,3153.5264,-1,1.0,-242.82,-242.82,-1.7032897e+19
1.0,309.37,983202,1.0,10.0,303.19946336746216,[ 0.016  0.478 -1.632 -2.094],309.81372,100.0,1,-14095060.0,166613540.0,5700,,,57,True,3.4289893e+19,137.53647,100.0,12651970.0,3085.706427098879,17.42069,4999.467,9.765358,10.0,1769.2897,100,0.32834905,0.4189424,3085.7065,-1,1.0,-238.59999,-238.59999,-8450255000000000.0
1.0,357.45,1018947,1.0,10.0,314.8734452724457,[-0.042  0.485 -1.654 -2.097],,100.0,1,-16222939.0,229809160000.0,5800,,,58,True,2.1446845e+28,377954.56,100.0,14779825.0,3566.5085206919607,52497.535,4999.503,17495.293,10.0,1435.2152,100,0.055190887,0.4189424,3566.5085,-1,1.0,-238.0531,-238.0531,-2.1133662e+20
1.0,312.65,1050212,1.0,10.0,326.0580530166626,[ 0.02   0.491 -1.656 -2.101],,100.0,1,-13681434.0,188119520.0,5900,,,59,True,131914530000000.0,155.9444,100.0,12238461.0,3117.871238489236,24.51148,4999.2646,14.688934,10.0,1586.613,100,0.043993287,0.4189424,3117.8716,-1,1.0,-241.51851,-241.51851,-16573066000000.0
1.0,389.47,1089159,1.0,10.0,340.967880487442,[-0.023  0.448 -1.669 -2.097],9.980206,100.0,1,-18487614.0,335374270000000.0,6000,,,60,True,5.4163225e+33,1508526800.0,100.0,17044524.0,3888.0378415657697,155051950.0,4999.458,22059696.0,10.0,1388.4106,100,0.018987797,0.4189424,3888.0378,-1,1.0,-234.31679,-234.31679,-1.06203175e+23
1.0,362.74,1125433,1.0,10.0,355.9609673023224,[-0.048  0.552 -1.699 -2.039],19.964611,100.0,1,-16415346.0,249114230000.0,6100,,,61,True,3.1929038e+29,1274163.4,100.0,14972233.0,3619.73277968466,128701.09,4999.502,21576.115,10.0,1367.3944,100,0.08200237,0.4189424,3619.733,-1,1.0,-241.96638,-241.96638,-8.154283e+20
1.0,348.96,1160329,1.0,10.0,370.6890912055969,[ 0.011  0.572 -1.702 -2.046],,100.0,1,-16501624.0,111793310.0,6200,,,62,True,9621741000000000.0,53.93243,100.0,15058636.0,3482.3825628979475,7.8138657,4999.286,6.7608376,10.0,1712.2057,100,0.1579528,0.4189424,3482.3828,-1,1.0,-236.29976,-236.29976,-141541100000000.0
1.0,381.22,1198451,1.0,10.0,387.3814733028412,[-0.045  0.559 -1.724 -2.057],279.81973,100.0,1,-17541960.0,113846750000.0,6300,,,63,True,2.1663746e+26,178704.81,100.0,16098825.0,3804.516868839706,28983.475,4999.536,11931.784,10.0,1274.5499,100,0.078436084,0.4189424,3804.5168,-1,1.0,-242.92831,-242.92831,-2.1240542e+19
1.0,331.02,1231553,1.0,10.0,400.8390245437622,[ 0.013  0.579 -1.726 -2.046],249.80777,100.0,1,-15642625.0,73030296.0,6400,,,64,True,7.123099e+32,20.749699,100.0,14199509.0,3303.4788633641483,4.622556,4999.509,5.2284813,10.0,1812.8806,100,0.45924672,0.4189424,3303.4788,-1,1.0,-225.82088,-225.82088,-3.8514883e+22
1.0,387.47,1270300,1.0,10.0,417.9818148612976,[-0.047  0.572 -1.739 -2.052],19.965073,100.0,1,-18358394.0,269953570.0,6500,,,65,True,58068696.0,621.4198,100.0,16915362.0,3867.8645391803393,67.14541,4999.3555,20.1482,10.0,1398.2085,100,0.15858795,0.4189424,3867.8643,-1,1.0,-237.98631,-237.98631,-11266049000.0
1.0,401.23,1310423,1.0,10.0,434.0642023086548,[-0.017  0.566 -1.743 -2.053],19.96682,100.0,1,-19853308.0,4157680000000.0,6600,,,66,True,5.7019602e+29,8257275.0,100.0,18410278.0,4007.0488251150346,1211432.6,4999.351,220553.55,10.0,1534.2216,100,0.087696925,0.4189424,4007.0488,-1,1.0,-237.61292,-237.61292,-1.08962925e+21
1.0,305.08,1340931,1.0,10.0,448.2295603752136,[ 0.038  0.558 -1.77  -2.046],9.980131,100.0,1,-13582964.0,84250850000.0,6700,,,67,True,7.771223e+27,743360.3,100.0,12140044.0,3043.3073925034523,73997.03,4999.174,8326.771,10.0,1696.5626,100,0.42771894,0.4189424,3043.3076,-1,1.0,-233.38315,-233.38315,-1.2719806e+20
1.0,372.28,1378159,1.0,10.0,466.73935985565186,[-0.063  0.615 -1.796 -2.006],269.78293,100.0,1,-17027476.0,177544760000.0,6800,,,68,True,1.2182799e+22,554944.56,100.0,15584408.0,3715.192031792224,62681.332,4999.42,14377.219,10.0,1334.8247,100,0.019354029,0.4189424,3715.192,-1,1.0,-234.19496,-234.19496,-1.5927683e+17
1.0,401.01,1418260,1.0,10.0,489.9693138599396,[-1.974e-03  6.036e-01 -1.797e+00 -2.016e+00],9.980443,100.0,1,-19617704.0,70723070.0,6900,,,69,True,5503238000.0,28.21472,100.0,18174620.0,4004.639773297458,4.0137315,4999.4443,3.7835119,10.0,1462.013,100,0.10159061,0.4189424,4004.6394,-1,1.0,-245.41653,-245.41653,-107122030000.0
1.0,384.91,1456751,1.0,10.0,509.75449085235596,[-0.042  0.616 -1.843 -2.019],19.962154,100.0,1,-18749318.0,286497670000.0,7000,,,70,True,1.4538504e+28,712552.06,100.0,17306262.0,3843.3690901603272,88263.055,4999.3984,25437.527,10.0,1592.0978,100,0.07293442,0.4189424,3843.3691,-1,1.0,-255.73026,-255.73026,-1.7399418e+20
1.0,374.96,1494247,1.0,10.0,529.4366254806519,[ 0.015  0.626 -1.848 -1.998],,100.0,1,-18555556.0,369397950.0,7100,,,71,True,153169690000.0,635.3221,100.0,17112484.0,3744.2700814259906,68.49683,4999.4277,19.201675,10.0,1758.6713,100,0.122008055,0.4189424,3744.27,-1,1.0,-239.68253,-239.68253,-565132600000.0
1.0,438.03,1538050,1.0,10.0,553.1976869106293,[-0.029  0.592 -1.86  -2.024],19.963093,100.0,1,-22253844.0,332805860.0,7200,,,72,True,247436500.0,641.0284,100.0,20810694.0,4376.120759247362,71.432846,4999.5537,20.122875,10.0,1288.5121,100,0.34922725,0.4189424,4376.1206,-1,1.0,-247.87376,-247.87376,-23033220000.0
