MinIWNorm,TimeElapsed,InitialReturnMax,MeanIW,EpThisIter,Bound,EpisodesSoFar,ESSClassic,InitialReturnMean,ReturnStepMax,J_sample_variance,ReturnMeanIW,TimestepsSoFar,MeanIWNorm,OptimizationReturnMax,StdIW,InitialBound,MaxIW,MinIW,EmpiricalD2,MeanEntropy,InitialReturnStd,StdIWNorm,EpLenMean,ESSRenyi,InitialReturnMin,ReturnStepMaxmin,Iteration,OptimizationReturnMin,OptimizationReturnMean,Weights,MaxIWNorm,VarianceInit,EpRewMean,LearnableVariance
9.027584e-05,361.1998167037964,4998.7666,1.5668308,100,3839.595,3400,9.213498,2632.3303,10.0,584361200.0,5894.904,449065,0.015668308,4998.7666,4.918361,2020.1089,39.013397,0.009027584,11.270344,0.25123978,1101.8186,0.04918361,264.26,8.872844,,10.0,34,,2632.3303,[-0.156  0.711 -1.621 -1.66  -1.151],0.39013398,-1,2632.330274441425,True
0.0025342663,381.78018140792847,4999.3545,1.0629578,100,2116.4424,3500,72.56608,2523.7515,10.0,6993812.5,2841.573,474405,0.010629578,4999.3545,0.65357167,1911.458,4.1343703,0.25342664,1.4025335,0.2449598,1202.9648,0.006535717,253.4,71.299545,,10.0,35,,2523.7515,[-0.144  0.748 -1.633 -1.638 -1.168],0.041343704,-1,2523.751374924018,True
0.006634998,404.7729823589325,4999.4653,1.0292017,100,2482.6255,3600,97.360435,2936.5078,10.0,2288244.2,3103.6062,503869,0.010292018,4769.6436,0.16946305,2324.2004,1.7018541,0.66349983,1.0285319,0.24134336,1166.136,0.0016946302,294.64,97.22596,229.82193,10.0,36,,2706.6855,[-0.132  0.74  -1.632 -1.643 -1.174],0.01701854,-1,2936.5074641511324,True
0.0011396805,428.1573603153229,4999.4155,1.1459796,100,2837.8564,3700,54.14006,2926.0579,10.0,20488812.0,3655.1472,533228,0.011459797,4969.465,1.0547129,2313.7568,7.5297494,0.11396805,1.7816544,0.26128095,1322.2035,0.0105471285,293.59,56.12761,29.950832,10.0,37,,2896.107,[-0.131  0.746 -1.657 -1.652 -1.178],0.07529749,-1,2926.057781238144,True
0.00017046965,453.6403398513794,4999.5176,1.3993756,100,3056.4678,3800,35.12053,3036.4724,10.0,32320142.0,4146.2036,563691,0.013993758,4999.5176,1.9019865,2424.1592,11.089262,0.017046966,3.1673417,0.22780852,1254.6567,0.019019864,304.63,31.572218,,10.0,38,,3036.4724,[-0.124  0.757 -1.695 -1.679 -1.158],0.110892616,-1,3036.472393105553,True
5.7504298e-05,477.74889516830444,4999.3076,3.7224567,100,8382.86,3900,3.8462174,2787.3635,10.0,4234233600.0,12108.622,591666,0.037224565,4999.3076,18.612125,2175.076,157.00958,0.00575043,37.02705,0.22489505,1174.82,0.18612124,279.75,2.7007282,,10.0,39,,2787.3635,[-0.127  0.734 -1.694 -1.683 -1.191],1.5700958,-1,2787.363689019452,True
0.0019352372,506.68469309806824,4999.5293,1.0741179,100,3104.574,4000,67.62049,3436.6887,10.0,11579311.0,3855.0183,626122,0.010741179,4999.5293,0.7432723,2824.3735,4.1196694,0.19352372,1.5020604,0.22435136,1284.282,0.007432723,344.56,66.57522,,10.0,40,,3436.6887,[-0.093  0.67  -1.688 -1.658 -1.194],0.041196693,-1,3436.688454438292,True
0.00029801743,532.9923965930939,4999.346,1.1860005,100,3303.0554,4100,41.427124,3425.2424,10.0,35291680.0,4301.897,660469,0.011860005,4759.5493,1.4102327,2812.9502,9.155665,0.029801745,2.6611876,0.22243734,1321.1409,0.014102326,343.47,37.577206,239.79675,10.0,41,,3185.4456,[-0.086  0.651 -1.69  -1.665 -1.195],0.09155665,-1,3425.2423628067063,True
0.00010822879,558.3626191616058,4999.537,1.481967,100,4203.8125,4200,8.15389,3242.1506,10.0,626466750.0,5870.689,692977,0.0148196705,4989.554,4.973779,2629.835,48.261246,0.010822879,7.410646,0.26526964,1516.6752,0.04973779,325.08,13.494101,9.982961,10.0,42,,3232.1675,[-0.087  0.63  -1.698 -1.692 -1.197],0.48261246,-1,3242.150676813715,True
0.00023071498,585.8553247451782,4999.183,1.3542039,100,3768.4666,4300,31.27582,3585.714,10.0,80632210.0,4948.745,728922,0.013542039,4999.183,2.0074027,2973.4414,12.333719,0.0230715,3.7160347,0.28239435,1238.5216,0.020074027,359.45,26.910406,,10.0,43,,3585.714,[-0.078  0.64  -1.742 -1.688 -1.154],0.12333719,-1,3585.714093444681,True
4.192919e-06,611.6721625328064,4999.531,3.2599344,100,10225.572,4400,1.805611,3460.6086,10.0,14556348000.0,15330.71,763617,0.032599345,4999.531,24.040312,2848.2937,241.14969,0.0004192919,69.51286,0.24159136,1201.6117,0.2404031,346.95,1.4385827,,10.0,44,,3460.6086,[-0.078  0.605 -1.752 -1.694 -1.137],2.4114969,-1,3460.608641634702,True
0.00012257,641.9452142715454,4999.465,1.4230864,100,4726.356,4500,21.645777,4067.346,10.0,179768240.0,6160.905,804346,0.014230865,4969.5205,2.7075462,3455.0388,22.222435,0.012257,5.4889874,0.20120859,1457.6411,0.02707546,407.29,18.218296,29.944336,10.0,45,,4037.4014,[-0.05   0.609 -1.749 -1.673 -1.177],0.22222434,-1,4067.3458620992383,True
