VarianceInit,LearnableVariance,MeanIWNorm,OptimizationReturnMin,ESSClassic,MeanEntropy,OptimizationReturnMax,ReturnStepMax,ReturnMeanIW,MinIWNorm,InitialBound,InitialReturnMin,InitialReturnStd,EpRewMean,MaxIW,ReturnStepMaxmin,TimestepsSoFar,InitialReturnMax,EpThisIter,EpLenMean,OptimizationReturnMean,MeanIW,TimeElapsed,Bound,InitialReturnMean,StdIW,MaxIWNorm,MinIW,EmpiricalD2,Weights,ESSRenyi,J_sample_variance,EpisodesSoFar,Iteration,StdIWNorm
-1,True,0.010308588,,92.77868,0.6054094,4999.444,10.0,4536.6836,0.004122325,3708.1323,,1408.3787,4320.436723421739,2.1590502,10.0,1419370,4999.444,100,432.4,4320.437,1.0308589,1129.561778306961,3897.501,4320.437,0.2875967,0.021590501,0.41223252,1.0897212,[-0.013  0.54  -2.273 -2.149 -0.817],91.766594,4275343.5,5300,53,0.0028759667
-1,True,0.014822997,,10.926803,0.6448364,4989.443,10.0,6388.4185,0.00024539765,3768.5088,9.980685,1336.7432,4380.810829055164,41.546223,10.0,1463211,4999.4233,100,438.41,4370.83,1.4822994,1164.2443552017212,4640.277,4380.8105,4.2321677,0.41546223,0.024539765,8.15121,[-0.009  0.553 -2.295 -2.164 -0.814],12.268118,446298020.0,5400,54,0.042321682
-1,True,0.01820751,,5.2122536,0.642975,4979.219,10.0,6508.608,0.00070890365,3245.3333,19.966522,1687.4784,3857.6063062510384,73.86904,10.0,1501837,4999.1855,100,386.26,3837.64,1.8207511,1194.9804251194,4583.9507,3857.6064,7.7645073,0.7386904,0.07089037,9.881366,[ 0.008  0.545 -2.291 -2.158 -0.774],10.120058,624111000.0,5500,55,0.07764506
-1,True,0.010832104,,50.479355,0.63909763,4999.302,10.0,4359.0654,0.0015952927,3301.4402,,1457.6823,3913.7271128067364,6.606685,10.0,1541035,4999.302,100,391.98,3913.7273,1.0832102,1225.6442909240723,3546.4683,3913.7273,1.0728747,0.06606685,0.15952927,1.7613298,[-0.027  0.557 -2.289 -2.136 -0.776],56.775284,28264340.0,5600,56,0.010728746
-1,True,0.0104853455,,86.94668,0.64684296,4699.7373,10.0,4448.6846,0.0032139164,3630.4358,299.739,1234.4735,4242.744653045848,2.3875604,10.0,1583512,4999.476,100,424.77,3943.0056,1.0485345,1260.8159148693085,3776.2915,4242.7446,0.40627193,0.023875603,0.32139164,1.2058861,[-0.014  0.52  -2.287 -2.114 -0.78 ],82.92657,4969621.0,5700,57,0.004062719
-1,True,0.0105652725,,89.78526,0.6572577,4979.4595,10.0,4479.1816,0.0032355948,3630.8333,19.96957,1459.151,4243.135856309919,2.3901522,10.0,1625985,4999.429,100,424.73,4223.166,1.0565273,1293.892234325409,3825.187,4243.1357,0.3563622,0.023901522,0.3235595,1.1408178,[-0.006  0.52  -2.298 -2.124 -0.772],87.65642,5240685.0,5800,58,0.0035636218
-1,True,0.017891966,,16.069307,0.61535656,4979.359,10.0,8614.944,4.254598e-05,3768.0205,19.963387,1259.2097,4380.310323576425,32.260162,10.0,1669827,4999.3223,100,438.42,4360.3467,1.7891965,1331.4037382602692,6553.3545,4380.3105,4.0890255,0.32260162,0.004254598,11.336815,[-0.005  0.522 -2.329 -2.115 -0.762],8.82082,421939260.0,5900,59,0.04089025
-1,True,0.012656324,,24.498646,0.59203935,4999.4927,10.0,5831.2153,0.00034522096,3642.2927,,1504.1802,4254.603199452492,16.9003,10.0,1712406,4999.4927,100,425.79,4254.603,1.2656323,1363.9684047698975,4719.868,4254.603,2.2218456,0.16900298,0.034522098,3.2942495,[ 0.009  0.504 -2.332 -2.149 -0.804],30.355928,127534776.0,6000,60,0.022218455
-1,True,0.013517814,,29.30424,0.5536714,4999.4956,10.0,6419.444,0.0001941442,4028.795,,1064.4442,4641.106123956345,13.132292,10.0,1758843,4999.4956,100,464.37,4641.106,1.3517811,1396.194495677948,5134.281,4641.106,2.099606,0.13132292,0.019414421,4.405274,[ 0.003  0.455 -2.348 -2.097 -0.827],22.700064,112747740.0,6100,61,0.020996062
-1,True,0.02005675,,6.36166,0.50732654,4999.5312,10.0,9948.059,7.2317093e-06,4156.788,,873.0591,4769.102532111845,68.975,10.0,1806554,4999.5312,100,477.11,4769.102,2.0056753,1432.0190541744232,7096.546,4769.102,7.694888,0.68974996,0.00072317093,21.687061,[ 0.005  0.433 -2.366 -2.087 -0.865],4.6110444,1496229100.0,6200,62,0.07694887
-1,True,0.011583953,,57.29774,0.50523925,4989.607,10.0,5696.3276,9.4978604e-05,4250.463,9.979978,715.8865,4862.784597574567,4.6083603,10.0,1855196,4999.587,100,486.42,4852.805,1.1583953,1472.34845328331,4768.1035,4862.7847,1.0000311,0.046083603,0.00949786,2.2979798,[ 0.007  0.478 -2.408 -2.181 -0.912],43.516483,25783400.0,6300,63,0.010000312
-1,True,0.043380283,,3.7022715,0.46285,4989.48,10.0,21440.992,6.765472e-09,4108.764,9.9829645,1023.37396,4721.070703630057,194.17693,10.0,1902425,4999.463,100,472.29,4711.088,4.3380284,1507.8242251873016,14466.859,4721.071,22.124136,1.9417692,6.7654724e-07,129.73059,[ 0.023  0.466 -2.391 -2.131 -0.914],0.7708282,12313434000.0,6400,64,0.22124135
-1,True,0.14500825,,1.420521,0.38588503,3620.0205,10.0,72489.016,3.227682e-08,4263.1675,1379.5645,536.96967,4875.489427005205,1199.6643,10.0,1951197,4999.585,100,487.72,3495.925,14.500823,1545.0238966941833,40987.777,4875.4893,120.798645,11.996643,3.2276819e-06,2646.6475,[-1.956e-03  5.093e-01 -2.396e+00 -2.088e+00 -9.561e-01],0.03778365,193540420000.0,6500,65,1.2079865
-1,True,0.035526834,,1.5566001,0.40939328,4999.6294,10.0,17706.668,2.441887e-05,4336.903,,497.41644,4949.230192852445,283.92273,10.0,2000698,4999.6294,100,495.01,4949.23,3.5526838,1583.448860168457,11252.609,4949.23,28.25279,2.8392272,0.002441887,111.09612,[ 0.02   0.47  -2.409 -2.134 -1.033],0.90012145,20149811000.0,6600,66,0.2825279
-1,True,0.024420084,,3.4987645,0.4152833,4989.632,10.0,12082.496,4.7496163e-05,4277.3257,9.982183,685.7667,4889.651488037668,116.47055,10.0,2049606,4999.6143,100,489.08,4879.669,2.4420085,1622.781958580017,8483.303,4889.6514,12.824967,1.1647055,0.0047496166,34.549835,[ 0.045  0.472 -2.388 -2.038 -1.01 ],2.8943698,4136894200.0,6700,67,0.12824968
