VarVanillaIw,BatchSize,eRenyi2,VanillaAvgRet,ESSRenyi,MinNormIw,MinVanillaIw,J,MaxNormIw,VarRet,EpsThisIter,IterType,ESSClassic,AvgEpLen,VarNormIw,MaxVanillaIw,AvgRet,VarJ,AvgNormIw,VarDiscRet,Bound,AvgVanillaIw,AvgDiscRet
2.14459,500,3.216565,4152.868415800405,155.44533268264004,1.7540864e-12,8.139168e-10,4918.8545,0.01784575,1781635.4126589336,100,1,143.4648844236352,415.724,9.960614e-06,8.28064,4152.868415800405,298.94638,0.002,1781635.4126589336,4581.336,0.9280237,4152.868415800405
,500,1.0,4937.684895356508,500.0,0.01,1.0,4937.6846,0.01,149974.92961492116,100,2,100.0,493.83,3.5044917e-18,1.0,4937.684895356508,385.32477,0.009999998,149974.92961492116,4516.874,1.0,4937.684895356508
,500,1.0,4910.305928906451,500.0,0.005,1.0,4910.3057,0.005,262831.1550414559,100,2,200.00000010221265,491.1,2.179301e-19,1.0,4910.305928906451,511.3873,0.0049999994,262831.1550414559,4612.7476,1.0,4910.305928906451
,500,1.0,4921.439955566951,500.0,0.0033333334,1.0,4921.4404,0.0033333334,211937.80898861552,100,2,299.999969473632,492.2133333333333,5.4391416e-20,1.0,4921.439955566951,459.59912,0.0033333336,211937.80898861552,4678.4854,1.0,4921.439955566951
,500,1.0,4920.613120387617,500.0,0.0025,1.0,4920.613,0.0025,204504.53160875887,100,2,400.0,492.13,5.434597e-20,1.0,4920.613120387617,451.65616,0.0024999997,204504.53160875887,4710.2075,1.0,4920.613120387617
0.21610776,500,1.2123338,4914.903663183476,412.42766691514765,0.00010711219,0.052164707,4977.5996,0.004016204,212966.1289955122,100,1,407.3869327374388,491.562,9.1115993e-07,1.9559314,4914.903663183476,133.7449,0.002,212966.1289955122,4770.3887,0.97402,4914.903663183476
,500,1.0,4999.821152922057,500.0,0.01,1.0,4999.8213,0.01,0.0402688644368871,100,2,100.0,500.0,3.5044917e-18,1.0,4999.821152922057,0.19967636,0.009999998,0.0402688644368871,4579.0107,1.0,4999.821152922057
,500,1.0,4999.793336848807,500.0,0.005,1.0,4999.793,0.005,0.10727531729116693,100,2,200.00000010221265,500.0,2.179301e-19,1.0,4999.793336848807,0.3267015,0.0049999994,0.10727531729116693,4702.235,1.0,4999.793336848807
,500,1.0,4974.347429629568,500.0,0.0033333334,1.0,4974.347,0.0033333334,106117.83545390957,100,2,299.999969473632,497.4633333333333,5.4391416e-20,1.0,4974.347429629568,325.21396,0.0033333336,106117.83545390957,4731.392,1.0,4974.347429629568
,500,1.0,4977.407609303342,500.0,0.0025,1.0,4977.4077,0.0025,81714.77322759418,100,2,400.0,497.7725,5.434597e-20,1.0,4977.407609303342,285.5004,0.0024999997,81714.77322759418,4767.0024,1.0,4977.407609303342
