TimeElapsed,VarianceInitializer,EpisodesSoFar,InitialReturnStd,DivergenceHarmonic,EpRewMean,ESSRenyiHarmonic,InitialReturnMean,Epsilon,MaxIW,MeanIW,ESSRenyiArithmetic,MeanEntropy,ReturnMeanIW,Bound,MinTargetPdf,Penalization,OptimizationReturnMin,OptimizationReturnMean,MeanD2-0,OptimizationReturnMax,TimestepsSoFar,ReturnStepMaxmin,StdWReturnMean,WReturnMean,EmpiricalD2Arithmetic,StdIW,InitialReturnMax,MinIW,EpThisIter,EpLenMean,EmpiricalD2Harmonic,Weights,Inner Iteration,LearnableVariance,InitialReturnMin,Iteration,ReturnStepMax,InitialBound,MinBehavPdf
38.95769548416138,-1.0,275,195.12276,8.243962e+18,392.49059144083117,11.0,392.4906,1.0,116.64869,27.29965,11.0,0.41894197,5892713.0,-352583260000000.0,-33.32466,True,,242.68336,1.0,690.0885,9096,9.999945,,192121.75,1.0,36.84319,839.8957,0.11572308,11,40.27272727272727,1.0,[-0.003 -0.057 -0.936 -1.948],1,,149.80722,25,9.999945,-314920.72,-33.32466
41.089526414871216,-1.0,286,305.4171,2.5219262e+20,513.4106366374424,11.0,513.41064,1.0,772993.06,73271.336,11.0,0.41894197,13522867000.0,-4669990000000000.0,-44.896744,True,,473.4699,1.0,1259.788,9672,9.999993,,356870.12,1.0,221335.34,1299.7288,0.7318194,11,52.36363636363637,1.0,[ 0.08   0.036 -0.944 -1.947],1,,39.940742,26,9.999993,-650939.4,-44.896744
43.77185344696045,-1.0,297,386.95422,5.075922e+22,557.0369731057974,11.0,557.037,1.0,147366.88,15249.797,11.0,0.41894197,3332164000.0,-5.552152e+16,-68.41426,True,,507.11642,1.0,1139.8971,10296,9.999989,,460023.75,1.0,42178.84,1189.8176,0.0006986149,11,56.72727272727273,1.0,[ 0.178  0.11  -0.946 -1.972],1,,49.92051,27,9.999989,-706460.3,-68.41426
46.22607707977295,-1.0,308,198.31462,4.3916645e+19,628.8219479448549,11.0,628.82196,1.0,57.097576,12.575739,11.0,0.41894197,9038474.0,-1129810300000000.0,-40.882683,True,,259.12424,1.0,619.9349,10999,9.999999,,434745.72,1.0,16.352726,989.63257,1.183956,11,63.90909090909091,1.0,[ 0.217  0.216 -0.949 -1.92 ],1,,369.6977,28,9.999999,-605233.1,-40.882683
47.9809365272522,-1.0,319,267.7087,7.500553e+16,520.6934078402642,11.0,520.6934,1.0,24952.21,2313.9827,11.0,0.41894197,327369300.0,-51544180000000.0,-43.87874,True,,470.7796,1.0,989.87134,11583,9.999997,,342789.56,1.0,7159.0728,1039.7852,0.06989475,11,53.09090909090909,1.0,[ 0.229  0.092 -0.949 -1.923],1,,49.913834,29,9.999997,-530994.75,-43.87874
50.58042597770691,-1.0,330,109.807274,1.4151663e+18,521.6329158804599,11.0,521.6329,1.0,68637.93,8315.007,11.0,0.41894197,1898593000.0,-116413310000000.0,-38.95859,True,,141.92046,1.0,370.0512,12168,9.999987,,284158.56,1.0,19325.357,749.7637,2.7247288,11,53.18181818181818,1.0,[ 0.128  0.019 -0.955 -1.93 ],1,,379.71246,30,9.999987,-382015.8,-38.95859
52.23534822463989,-1.0,341,221.04279,4736459000.0,360.7066515554911,11.0,360.70663,1.0,524.211,57.786266,11.0,0.41894197,17870504.0,-5231968000.0,-37.402466,True,,360.70663,1.0,659.7124,12576,9.999998,,178969.2,1.0,149.15544,659.7124,0.12425508,11,37.09090909090909,1.0,[ 0.046 -0.075 -0.953 -1.938],1,,,31,9.999998,-254731.47,-37.402466
53.561291217803955,-1.0,352,206.59326,53161517000.0,227.09135496847395,11.0,227.09135,1.0,5.311895,1.7458307,11.0,0.41894197,391234.34,-26321797000.0,-31.885088,True,,207.12383,1.0,789.8435,12837,9.999983,,94251.266,1.0,1.6023561,809.81104,0.5728285,11,23.727272727272727,1.0,[ 0.053 -0.198 -0.932 -1.934],1,,19.967518,32,9.999983,-208410.47,-31.885088
54.648128271102905,-1.0,363,119.25974,4.2782166e+35,235.27430745345035,11.0,235.27432,1.0,448262.38,96389.445,11.0,0.41894197,11279540000.0,-3.1963226e+22,-23.520956,True,,155.41685,1.0,449.97446,13107,9.999998,,69576.89,1.0,159322.4,529.8319,0.2980824,11,24.545454545454547,1.0,[-0.055 -0.256 -0.929 -1.91 ],1,,79.85746,33,9.999998,-118444.33,-23.520956
56.09605407714844,-1.0,374,170.64754,1.0843786e+22,291.67660982265704,11.0,291.67664,1.0,3880.8342,521.39923,11.0,0.41894197,78935840.0,-7654784000000000.0,-29.579859,True,,221.7689,1.0,579.92224,13439,9.999983,,114195.836,1.0,1081.9185,649.82996,2.8262477,11,30.181818181818183,1.0,[-0.319 -0.557 -1.005 -2.2  ],1,,69.90772,34,9.999983,-187705.25,-29.579859
57.573410511016846,-1.0,385,126.6729,15457644000000.0,237.99914210783916,11.0,237.99913,1.0,202.33101,38.997158,11.0,0.41894197,2666995.5,-238063010000.0,-43.415142,True,,188.0869,1.0,539.86255,13712,9.999954,,72689.62,1.0,55.32155,589.7748,1.434821,11,24.818181818181817,1.0,[-0.328 -0.154 -1.109 -1.923],1,,49.912243,35,9.999954,-133239.88,-43.415142
59.63189125061035,-1.0,396,284.20804,5.4397655e+16,426.97592659700217,11.0,426.97595,1.0,315.27,69.58333,11.0,0.41894197,9830489.0,-43050980000000.0,-41.227386,True,,317.15372,1.0,919.91144,14193,9.999987,,263082.66,1.0,111.34873,1029.7336,0.16071063,11,43.72727272727273,1.0,[-0.208  0.044 -1.163 -1.999],1,,109.82223,36,9.999987,-447666.6,-41.227386
61.82577204704285,-1.0,407,276.65408,698494900000000.0,557.0858236180376,11.0,557.0858,1.0,5228.3125,1006.235,11.0,0.41894197,250805710.0,-5565371000000.0,-47.328743,True,,527.1433,1.0,1069.886,14817,9.999985,,386882.12,1.0,1523.4309,1099.8285,1.0427254,11,56.72727272727273,1.0,[-0.145  0.146 -1.167 -1.965],1,,29.942543,37,9.999985,-597450.8,-47.328743
65.39873695373535,-1.0,418,394.3309,17974983000.0,1005.2348975863686,11.0,1005.2349,1.0,69.91846,15.018036,11.0,0.41894197,15206154.0,-64309567000.0,-70.987816,True,,575.438,1.0,1229.9728,15934,9.999999,,1165994.0,1.0,19.440218,1659.7697,1.0842564,11,101.54545454545455,1.0,[-0.1    0.254 -1.192 -2.001],1,,429.79688,38,9.999999,-1645551.8,-70.987816
70.79400157928467,-1.0,429,836.71027,5.5213663e+28,1717.5284918739237,11.0,1717.5286,1.0,4411.8936,671.1031,11.0,0.41894197,4960497000.0,-4.1316892e+20,-140.92732,True,,827.9903,1.0,2288.6577,17835,9.999998,,3649988.2,1.0,1330.4199,3178.196,0.65885514,11,172.8181818181818,1.0,[-0.045  0.284 -1.196 -1.999],1,,889.5382,39,9.999998,-5408350.0,-140.92732
75.84797048568726,-1.0,440,1345.1958,1.403468e+27,1633.1135041792631,11.0,1633.1134,1.0,322645.97,39129.434,11.0,0.41894197,167314000000.0,-1.6294673e+20,-217.93405,True,,1623.1288,1.0,4988.6416,19642,9.999998,,4476611.5,1.0,94799.08,4998.6265,1.130076,11,164.27272727272728,1.0,[-0.067  0.399 -1.207 -2.043],1,,9.984787,40,9.999998,-8826196.0,-217.93405
82.6698944568634,-1.0,451,1695.0408,2.3275058e+24,2229.2970798521205,11.0,2229.297,1.0,98152.52,10209.915,11.0,0.41894197,25501247000.0,-6.63698e+18,-215.52884,True,,1799.5153,1.0,4569.309,22104,10.0,,7842929.0,1.0,27976.57,4999.091,0.0030053146,11,223.8181818181818,1.0,[-0.003  0.303 -1.224 -2.089],1,,429.7818,41,10.0,-12193334.0,-215.52884
