LearnableVariance,ReturnStepMaxmin,EpLenMean,StdIW,EpThisIter,OptimizationReturnMin,OptimizationReturnMax,Bound,EmpiricalD2Arithmetic,Epsilon,Iteration,VarianceInitializer,Penalization,TimestepsSoFar,MaxIW,InitialReturnMax,MinTargetPdf,TimeElapsed,ESSRenyiArithmetic,StdWReturnMean,MeanEntropy,InitialReturnMin,OptimizationReturnMean,MinIW,MeanD2-0,ReturnMeanIW,EmpiricalD2Harmonic,Inner Iteration,MeanIW,EpisodesSoFar,EpRewMean,InitialReturnMean,MinBehavPdf,InitialReturnStd,Weights,WReturnMean,ReturnStepMax,InitialBound,DivergenceHarmonic,ESSRenyiHarmonic
,9.999999,91.27272727272727,970.3539,11,,1739.7335,-3.5698078e+17,1.0,1.0,25,-1.0,True,12857,3246.036,1749.716,-76.74824,20.463289737701416,11.0,,0.41894197,9.982474,892.4985,0.9550661,1.0,1248844200.0,1.0,1,693.6834,275,902.4809515946349,902.481,-76.74824,492.21393,[-0.233  0.409 -0.705 -1.717],1056746.5,9.999999,-1589689.0,4.4867655e+23,11.0
,9.999995,115.0,9.730151,11,,2289.6204,-4523077700000.0,1.0,1.0,26,-1.0,True,14122,32.939068,2329.5522,-97.632545,21.262803554534912,11.0,,0.41894197,39.931892,1099.6714,0.4815215,1.0,18550408.0,1.0,1,7.847503,286,1139.6032019942943,1139.6031,-97.632545,744.91943,[-0.112  0.43  -0.725 -1.735],1853600.5,9.999995,-2798293.5,22923912000000.0,11.0
,10.0,114.45454545454545,1183914.0,11,,2929.408,-2.9163812e+20,1.0,1.0,27,-1.0,True,15381,4125935.5,3199.1748,-142.69421,22.692419290542603,11.0,,0.41894197,269.7669,864.40436,0.15671404,1.0,1120447500000.0,1.0,1,382675.1,297,1134.1713259598694,1134.1713,-142.69421,826.1117,[-0.187  0.526 -0.75  -1.722],1968805.1,10.0,-3750451.0,2.679481e+28,11.0
,9.999997,67.0,96.69619,11,,909.7908,-89896360000000.0,1.0,1.0,28,-1.0,True,16118,343.44516,1189.4987,-61.857647,23.346205234527588,11.0,,0.41894197,279.7079,379.9304,0.041897416,1.0,40694710.0,1.0,1,48.548546,308,659.6382660376456,659.63824,-61.857647,334.49655,[-0.077  0.575 -0.765 -1.754],547010.56,9.999997,-793315.06,1.3321157e+17,11.0
,9.9999895,41.81818181818182,6989.2607,11,,789.7693,-4.0235515e+19,1.0,1.0,29,-1.0,True,16578,22039.576,799.75,-33.247265,23.984076023101807,11.0,,0.41894197,9.980721,398.0081,1.0726644,1.0,1459206900.0,1.0,1,3891.0188,319,407.98877656752825,407.98877,-33.247265,275.19897,[ 0.136  0.477 -0.765 -1.84 ],242189.33,9.9999895,-353529.62,1.3059185e+29,11.0
,10.0,55.90909090909091,3639.6152,11,,1239.4359,-1048178800000000.0,1.0,1.0,30,-1.0,True,17193,12673.175,1259.4023,-55.625427,24.436715126037598,11.0,,0.41894197,19.966463,528.85895,0.07469934,1.0,1346273200.0,1.0,1,1163.9369,330,548.8254009140213,548.8254,-55.625427,370.66565,[ 0.122  0.228 -0.772 -1.856],438602.3,10.0,-714706.75,1.4412044e+19,11.0
,9.999999,102.18181818181819,168.93054,11,,2589.5205,-871658200000000.0,1.0,1.0,31,-1.0,True,18317,560.70825,2629.45,-112.39693,25.752339124679565,11.0,,0.41894197,39.929523,971.4904,0.23874716,1.0,185370660.0,1.0,1,74.02612,341,1011.4198966760749,1011.4199,-112.39693,723.48065,[-0.063  0.382 -0.793 -1.921],1546394.6,9.999999,-2749975.0,5.2450127e+17,11.0
,9.999999,115.54545454545455,39132.78,11,,2379.3032,-363993750000000.0,1.0,1.0,32,-1.0,True,19588,136186.06,2759.0732,-91.57861,27.2239990234375,11.0,,0.41894197,379.77014,765.13043,0.6600022,1.0,41490590000.0,1.0,1,12437.628,352,1144.900511755221,1144.9005,-91.57861,691.28955,[-1.463e-03  3.739e-01 -7.967e-01 -1.928e+00],1788678.5,9.999999,-3113848.8,7.5431e+16,11.0
,9.999997,112.45454545454545,1331.8246,11,,2878.7122,-896649450000000.0,1.0,1.0,33,-1.0,True,20825,4656.548,2928.6294,-116.29823,28.73290181159973,11.0,,0.41894197,49.91735,1064.1041,1.2443184,1.0,1141289300.0,1.0,1,445.8913,363,1114.0215010842721,1114.0215,-116.29823,748.913,[-0.028  0.494 -0.813 -1.911],1801914.6,9.999997,-3294964.5,3.606621e+17,11.0
,9.999997,128.54545454545453,280.16684,11,,1359.6178,-142944710000.0,1.0,1.0,34,-1.0,True,22239,992.54126,2129.243,-93.79181,30.401631116867065,11.0,,0.41894197,769.6251,505.36282,0.35607165,1.0,244118000.0,1.0,1,128.19968,374,1274.9879930401833,1274.988,-93.79181,401.33298,[-0.12   0.416 -0.847 -1.921],1786662.6,9.999997,-2575879.2,32693742000.0,11.0
