ESSRenyiArithmetic,MeanIW,EpThisIter,ReturnStepMax,InitialReturnMin,OptimizationReturnMax,EpRewMean,Penalization,OptimizationReturnMean,EmpiricalD2Harmonic,OptimizationReturnMin,ESSRenyiHarmonic,Inner Iteration,ReturnMeanIW,InitialReturnMax,MinBehavPdf,Weights,DivergenceHarmonic,EpisodesSoFar,TimestepsSoFar,VarianceInitializer,LearnableVariance,Epsilon,EpLenMean,TimeElapsed,InitialReturnMean,Iteration,MeanEntropy,MinTargetPdf,InitialReturnStd,InitialBound,MaxIW,EmpiricalD2Arithmetic,MeanD2-0,StdWReturnMean,StdIW,ReturnStepMaxmin,WReturnMean,MinIW,Bound
11.0,38.109394,11,9.999996,,829.6206,497.0920130299521,True,497.09198,1.0,,11.0,1,20274532.0,829.6206,-38.042503,[-0.526  0.509 -0.864 -1.22 ],40019935000000.0,121,4465,-1.0,,1.0,50.72727272727273,23.77291178703308,497.09198,11,0.41894197,-38.042503,315.06937,-466182.0,237.40796,1.0,1.0,,67.863266,9.999996,346369.2,0.8735601,-757969850000.0
11.0,285.39804,11,9.999985,9.985458,859.75885,457.07066301850045,True,447.08524,1.0,,11.0,1,208646220.0,869.7443,-39.95245,[-0.485  0.623 -0.887 -1.201],1.3380866e+21,132,4979,-1.0,,1.0,46.72727272727273,25.46842932701111,457.07068,12,0.41894197,-39.95245,282.34717,-420315.8,2814.1223,1.0,1.0,,801.36414,9.999985,288633.53,0.20433986,-4816908000000000.0
11.0,5.170499,11,9.999995,149.89822,699.8314,453.405775119373,True,303.50754,1.0,,11.0,1,1004712.6,849.7296,-29.204182,[-0.647  0.741 -0.873 -1.052],673332260000.0,143,5489,-1.0,,1.0,46.36363636363637,27.6997971534729,453.4058,13,0.41894197,-29.204182,199.77151,-371176.9,17.266138,1.0,1.0,,5.6591587,9.999995,245485.47,0.2718322,-103139150000.0
11.0,259.94943,11,9.999998,119.94855,619.80255,465.2357289005068,True,345.28717,1.0,,11.0,1,34256868.0,739.7511,-32.460995,[-0.689  0.637 -0.877 -1.106],642783060000000.0,154,6012,-1.0,,1.0,47.54545454545455,29.716046571731567,465.23572,14,0.41894197,-32.460995,181.01872,-344473.12,2716.2854,1.0,1.0,,777.0455,9.999998,249212.06,0.19517818,-2415197700000.0
11.0,789.2793,11,10.0,9.984818,949.7574,493.41575040598923,True,483.43094,1.0,,11.0,1,581723460.0,959.7422,-41.35694,[-0.586  0.698 -0.884 -1.14 ],4732307700000000.0,165,6566,-1.0,,1.0,50.36363636363637,31.606481552124023,493.41574,15,0.41894197,-41.35694,298.01422,-492615.8,8651.458,1.0,1.0,,2486.2427,10.0,332271.6,0.31111193,-11030917000000.0
11.0,12.069488,11,9.999996,,759.6843,346.21440109530744,True,346.2144,1.0,,11.0,1,3505932.2,759.6843,-40.32683,[-0.48   0.748 -0.903 -1.179],42069926000000.0,176,6958,-1.0,,1.0,35.63636363636363,33.07964730262756,346.2144,16,0.41894197,-40.32683,243.01355,-279383.9,124.62316,1.0,1.0,,35.59991,9.999996,178920.0,0.24017033,-651624700000.0
11.0,57013.63,11,9.999996,159.83293,759.7612,437.9649463275915,True,278.13202,1.0,,11.0,1,34549000000.0,919.5942,-43.430466,[-0.235  0.784 -0.897 -1.212],3.1196577e+24,187,7451,-1.0,,1.0,44.81818181818182,34.54318189620972,437.96494,17,0.41894197,-43.430466,252.34204,-402699.53,623593.56,1.0,1.0,,179169.31,9.999996,255489.81,0.18889122,-2.6000937e+17
11.0,10787.903,11,9.999998,199.8469,1119.753,600.6560917537468,True,400.8092,1.0,,11.0,1,7830680600.0,1319.6,-73.60933,[-0.253  0.639 -0.94  -1.41 ],1.1593499e+26,198,8123,-1.0,,1.0,61.09090909090909,36.610804319381714,600.65607,18,0.41894197,-73.60933,341.70914,-780683.06,62383.355,1.0,1.0,,22709.49,9.999998,477552.88,1.6773734,-3.2638854e+18
11.0,24.906275,11,10.0,269.82117,3208.9316,958.6792620142097,True,688.8581,1.0,,11.0,1,44726456.0,3478.7527,-176.28593,[-0.098  0.51  -0.938 -1.557],7189890000000000.0,209,9189,-1.0,,1.0,96.9090909090909,39.582900047302246,958.6793,19,0.41894197,-176.28593,930.9217,-3892331.0,176.0743,1.0,1.0,,49.915115,10.0,1785681.4,0.36779383,-178628760000000.0
11.0,2.5943305,11,9.999996,19.961788,3429.241,1184.1060744005108,True,1164.1443,1.0,,11.0,1,17450482.0,3449.2026,-124.19359,[-0.053  0.42  -0.986 -1.614],27767005000.0,220,10503,-1.0,,1.0,119.45454545454545,42.77618145942688,1184.1062,20,0.41894197,-124.19359,1075.8286,-4630529.0,14.530786,1.0,1.0,,3.8804166,9.999996,2559514.5,0.08638343,-345117500000.0
11.0,848.5209,11,9.999997,29.94725,2049.5571,988.7603168996287,True,958.81305,1.0,,11.0,1,1282935600.0,2079.5044,-79.271996,[-0.111  0.399 -0.993 -1.622],1.293003e+30,231,11602,-1.0,,1.0,99.9090909090909,45.923720359802246,988.7603,21,0.41894197,-79.271996,568.06946,-2053124.2,5999.826,1.0,1.0,,1708.801,9.999997,1300349.8,1.2896643,-8.559777e+20
11.0,350.58594,11,10.0,549.8644,1259.901,894.3477821614953,True,344.4834,1.0,,11.0,1,635405060.0,1809.7654,-75.95969,[-0.224  0.35  -0.994 -1.644],5.2271924e+17,242,12597,-1.0,,1.0,90.45454545454545,48.512189865112305,894.3477,22,0.41894197,-75.95969,392.69073,-1524214.6,2588.1829,1.0,1.0,,764.0054,10.0,954064.0,0.06891503,-412213780000000.0
11.0,58004.89,11,10.0,49.907104,1769.8632,1187.9329187858723,True,1138.0259,1.0,,11.0,1,40622690000.0,1819.7703,-73.435486,[-0.129  0.333 -1.055 -1.867],4.275212e+26,253,13915,-1.0,,1.0,119.81818181818181,51.71661114692688,1187.9329,23,0.41894197,-73.435486,494.63153,-2232318.0,612120.3,1.0,1.0,,175266.64,10.0,1655845.1,0.942385,-1.1919416e+19
11.0,1414.8635,11,9.999995,19.96323,2278.9746,1132.2416749991621,True,1112.2784,1.0,,11.0,1,2965086500.0,2298.9377,-89.83646,[-0.051  0.408 -1.065 -1.805],898161800000.0,264,15172,-1.0,,1.0,114.27272727272727,55.086966037750244,1132.2417,24,0.41894197,-89.83646,645.57355,-2618762.0,15291.082,1.0,1.0,,4388.3154,9.999995,1698736.5,0.6448953,-874881350000.0
11.0,8.018768,11,9.999999,9.981468,2839.528,1245.0314114320413,True,1235.0499,1.0,,11.0,1,31863752.0,2849.5095,-124.892624,[-1.250e-03  3.138e-01 -1.049e+00 -1.868e+00],2.6504407e+18,275,16553,-1.0,,1.0,125.54545454545455,58.583096504211426,1245.0314,25,0.41894197,-124.892624,910.09937,-3791852.0,22.025675,1.0,1.0,,6.4747643,9.999999,2378384.0,0.80949724,-2301135800000000.0
11.0,33.134808,11,10.0,359.7057,4639.335,1919.4025506049265,True,1559.6969,1.0,,11.0,1,82886820.0,4999.0405,-213.32027,[-0.061  0.312 -1.051 -1.886],477958300000.0,286,18675,-1.0,,1.0,192.9090909090909,63.9726357460022,1919.4025,26,0.41894197,-213.32027,1526.3075,-10364035.0,278.194,1.0,1.0,,78.36183,10.0,6013721.0,0.17022866,-3007622700000.0
11.0,10847.441,11,9.999996,459.65295,2419.266,1468.384324342166,True,1008.7314,1.0,,11.0,1,21360693000.0,2878.919,-141.09389,[-1.257e-04  3.196e-01 -1.056e+00 -1.875e+00],1.17189524e+21,297,20302,-1.0,,1.0,147.9090909090909,68.87155365943909,1468.3844,27,0.41894197,-141.09389,770.2237,-4192193.2,113132.44,1.0,1.0,,32390.31,9.999996,2749397.2,0.040678136,-4.939085e+16
11.0,1998889.2,11,9.999997,339.65695,4448.3257,1802.9084791828222,True,1463.2515,1.0,,11.0,1,13188421000000.0,4787.9824,-234.8677,[-0.042  0.435 -1.068 -1.854],1.1480958e+27,308,22297,-1.0,,1.0,181.36363636363637,74.48924374580383,1802.9083,28,0.41894197,-234.8677,1272.7473,-8861093.0,21987296.0,1.0,1.0,,6320889.0,9.999997,4870365.0,0.31446236,-1.3521885e+20
11.0,79.49462,11,10.0,319.7387,3658.8784,1658.527977729375,True,1338.7892,1.0,,11.0,1,367552770.0,3978.6172,-168.9452,[-0.088  0.545 -1.089 -1.822],2.454958e+21,319,24133,-1.0,,1.0,166.9090909090909,79.78107571601868,1658.5281,29,0.41894197,-168.9452,1147.4802,-6822992.5,353.88528,1.0,1.0,,109.44146,10.0,4067425.8,0.52728873,-1.36530405e+17
11.0,89.51801,11,9.9999895,319.73907,1269.8274,908.6829957641804,True,588.9439,1.0,,11.0,1,153231520.0,1589.5664,-83.28079,[-0.026  0.445 -1.112 -1.859],20752609000000.0,330,25144,-1.0,,1.0,91.9090909090909,82.53041744232178,908.683,30,0.41894197,-83.28079,485.19128,-1500963.1,976.18463,1.0,1.0,,280.3895,9.9999895,1061115.4,0.20003243,-2003871600000.0
11.0,21036.479,11,9.999998,319.66425,1349.7849,810.5457268991173,True,490.88147,1.0,,11.0,1,6697408500.0,1669.4492,-74.91935,[ 0.085  0.435 -1.097 -1.913],5.523866e+23,341,26047,-1.0,,1.0,82.0909090909091,86.13223528862,810.5457,31,0.41894197,-74.91935,375.7816,-1283363.1,133183.14,1.0,1.0,,44677.95,9.999998,798196.25,0.75635284,-3.605878e+17
11.0,14.518466,11,9.999999,259.75858,1059.8428,619.6941314654374,True,359.93555,1.0,,11.0,1,3796502.8,1319.6013,-71.3161,[ 0.239  0.594 -1.129 -2.025],849308860.0,352,26740,-1.0,,1.0,63.0,88.81849575042725,619.69415,32,0.41894197,-71.3161,326.14072,-793519.3,52.64512,1.0,1.0,,15.983423,9.999999,490388.56,0.6065978,-8837877000.0
11.0,150.95451,11,10.0,279.74738,3398.9812,1728.4922465090547,True,1448.745,1.0,,11.0,1,689296830.0,3678.7285,-143.23659,[ 0.01   0.598 -1.209 -2.084],7.6772935e+22,363,28653,-1.0,,1.0,173.9090909090909,96.05383205413818,1728.4922,33,0.41894197,-143.23659,1069.9858,-6488375.0,1271.069,1.0,1.0,,356.96185,10.0,4132555.2,2.8773713,-6.527435e+17
11.0,55.847324,11,10.0,409.6543,3028.9448,1973.8754178961137,True,1564.2212,1.0,,11.0,1,213853540.0,3438.599,-149.46768,[-0.077  0.513 -1.222 -2.112],26044147000000.0,374,30836,-1.0,,1.0,198.45454545454547,103.79415535926819,1973.8754,34,0.41894197,-149.46768,900.29584,-6765024.0,180.9732,1.0,1.0,,56.73034,10.0,4706717.0,0.14710246,-10504371000000.0
11.0,42113.38,11,9.999997,699.65564,4299.258,2150.0240274604625,True,1450.3684,1.0,,11.0,1,358968260000.0,4998.9136,-199.9635,[-0.025  0.484 -1.235 -2.126],1.9050063e+31,385,33212,-1.0,,1.0,216.0,111.47198557853699,2150.0242,35,0.41894197,-199.9635,1486.8448,-11183404.0,446060.2,1.0,1.0,,127795.586,9.999997,6833312.0,4.767677,-1.8986395e+22
11.0,2244488.0,11,9.999998,859.6623,3079.721,1579.5938953931604,True,719.93164,1.0,,11.0,1,14874249000000.0,3939.3833,-181.53311,[-0.132  0.433 -1.265 -2.151],1.511776e+37,396,34961,-1.0,,1.0,159.0,117.87897896766663,1579.5939,36,0.41894197,-181.53311,884.9842,-5979801.0,24466550.0,1.0,1.0,,7027377.5,9.999998,3278314.0,110.9572,-1.0503722e+25
11.0,6429.5435,11,9.999998,,1389.7856,802.5862217414455,True,802.5863,1.0,,11.0,1,4244740000.0,1389.7856,-55.5103,[-0.236  0.376 -1.266 -2.192],5.7419404e+17,407,35855,-1.0,,1.0,81.27272727272727,120.99467492103577,802.5863,37,0.41894197,-55.5103,366.59558,-1114770.0,42587.215,1.0,1.0,,12839.614,9.999998,778537.0,0.9743523,-254785820000000.0
11.0,2522.4353,11,9.999999,789.8409,2779.5234,1577.863326018244,True,788.0225,1.0,,11.0,1,7346460000.0,3569.3643,-193.16754,[-0.139  0.417 -1.312 -2.142],9.771568e+16,418,37602,-1.0,,1.0,158.8181818181818,127.34293127059937,1577.8633,38,0.41894197,-193.16754,813.5018,-5369267.0,14132.232,1.0,1.0,,4525.8853,9.999999,3151437.8,5.632889,-693284400000000.0
11.0,1042.2296,11,10.0,19.963896,4509.039,1869.3788243341785,True,1849.4149,1.0,,11.0,1,2498803700.0,4529.003,-180.26689,[-0.082  0.48  -1.33  -2.052],26460960000000.0,429,39670,-1.0,,1.0,188.0,133.64494132995605,1869.3789,39,0.41894197,-180.26689,1210.894,-8531531.0,11191.206,1.0,1.0,,3210.1934,10.0,4960842.0,0.27164248,-18370040000000.0
11.0,272.23462,11,10.0,29.946789,3718.919,1540.3038493959518,True,1510.357,1.0,,11.0,1,3778108200.0,3748.8657,-142.74619,[-0.021  0.49  -1.33  -2.061],5.6031514e+32,440,41376,-1.0,,1.0,155.0909090909091,139.52818393707275,1540.3038,40,0.41894197,-142.74619,1321.2112,-6564640.0,2934.4739,1.0,1.0,,841.8998,10.0,4118134.8,1.0601771,-5.791072e+22
11.0,363.93973,11,10.0,479.58444,3109.5479,2090.3714034182826,True,1610.787,1.0,,11.0,1,1379859000.0,3589.1323,-160.33263,[-0.082  0.503 -1.333 -2.059],639756500000000.0,451,43687,-1.0,,1.0,210.0909090909091,146.3955798149109,2090.3713,41,0.41894197,-160.33263,967.9445,-7549039.0,3481.0005,1.0,1.0,,988.328,10.0,5306570.0,0.3148681,-56720483000000.0
11.0,38.660503,11,10.0,1049.0957,3948.5928,2997.985378405759,True,1948.8898,1.0,,11.0,1,895993700.0,4997.6885,-213.1753,[-0.025  0.49  -1.343 -2.081],349606180000000.0,462,46996,-1.0,,1.0,300.8181818181818,156.80044627189636,2997.9854,42,0.41894197,-213.1753,1258.0383,-14918554.0,350.8796,1.0,1.0,,99.565,10.0,10570578.0,0.09467841,-81297230000000.0
11.0,2420.8923,11,10.0,309.7475,4059.6855,1739.494083684031,True,1429.7466,1.0,,11.0,1,11553972000.0,4369.433,-166.40787,[-0.074  0.528 -1.354 -2.088],1.3699474e+19,473,48921,-1.0,,1.0,175.0,161.85430765151978,1739.4941,43,0.41894197,-166.40787,1111.8965,-7585662.0,22732.25,1.0,1.0,,6493.1895,10.0,4262154.0,0.33780348,-1.2301146e+16
11.0,3.983662,11,9.999999,619.4839,4379.316,2352.7428965343033,True,1733.2589,1.0,,11.0,1,47540624.0,4998.8,-249.96645,[-0.014  0.545 -1.358 -2.088],6.3404554e+20,484,51520,-1.0,,1.0,236.27272727272728,169.5057246685028,2352.743,44,0.41894197,-249.96645,1601.8207,-12451135.0,12.051225,1.0,1.0,,3.3497941,9.999999,8101229.0,0.21285057,-1.0953043e+17
11.0,112.3928,11,10.0,349.65308,4317.66,2669.856799180572,True,2320.2036,1.0,,11.0,1,2090942600.0,4667.313,-194.72583,[-0.068  0.518 -1.363 -2.099],356703500000.0,495,54469,-1.0,,1.0,268.09090909090907,178.0649220943451,2669.857,45,0.41894197,-194.72583,1321.4723,-12666550.0,922.0497,1.0,1.0,,261.94418,10.0,8874425.0,0.23309386,-2266894400000.0
11.0,168.72931,11,9.999998,949.61084,2659.4119,1657.5396787629109,True,707.9288,1.0,,11.0,1,227026060.0,3609.0227,-124.174286,[-0.092  0.461 -1.37  -2.108],164246910000.0,506,56304,-1.0,,1.0,166.8181818181818,184.63307404518127,1657.5398,46,0.41894197,-124.174286,846.8801,-5732031.0,1059.1776,1.0,1.0,,298.3157,9.999998,3464643.8,0.17702836,-919132640000.0
11.0,116.41096,11,9.999998,699.46906,4299.543,2693.5978787728336,True,1994.1288,1.0,,11.0,1,1474263800.0,4999.012,-217.99158,[-0.038  0.49  -1.368 -2.098],4.4011152e+18,517,59277,-1.0,,1.0,270.27272727272725,193.19581508636475,2693.598,47,0.41894197,-217.99158,1466.8542,-13757409.0,1265.5726,1.0,1.0,,363.4021,9.999998,9407132.0,0.099199414,-9126261000000000.0
11.0,41.385128,11,9.999998,299.74023,3219.2466,1939.1577852832897,True,1639.4176,1.0,,11.0,1,289092670.0,3518.9868,-152.73978,[ 0.022  0.476 -1.377 -2.101],4.6660104e+16,528,61422,-1.0,,1.0,195.0,200.50792336463928,1939.1578,48,0.41894197,-152.73978,1125.8872,-7183624.0,372.99683,1.0,1.0,,105.12505,9.999998,5027955.0,0.5042924,-465641260000000.0
11.0,105799.6,11,9.999995,9.9798,4988.493,2097.361870103252,True,2087.3818,1.0,,11.0,1,2640970500000.0,4998.473,-225.72845,[-0.039  0.57  -1.392 -2.155],1.6634452e+34,539,63738,-1.0,,1.0,210.54545454545453,207.00573873519897,2097.3618,49,0.41894197,-225.72845,1925.3618,-12455272.0,1162442.5,1.0,1.0,,334139.88,9.999995,8105945.0,1.0221437,-5.609472e+23
11.0,1382.3099,11,9.999999,569.59814,4409.4946,2445.678115022953,True,1876.08,1.0,,11.0,1,9735745000.0,4979.093,-231.06989,[-0.097  0.667 -1.42  -2.11 ],1.7480642e+19,550,66440,-1.0,,1.0,245.63636363636363,214.8063793182373,2445.678,50,0.41894197,-231.06989,1252.0953,-11864764.0,12535.947,1.0,1.0,,3566.6858,9.999999,7549085.0,0.27556682,-1.8043568e+16
11.0,64.36761,11,9.999999,1309.785,2089.7993,2090.435144178941,True,780.65,1.0,,11.0,1,550852000.0,3399.5845,-138.92215,[-0.129  0.589 -1.451 -2.198],19677188000.0,561,68751,-1.0,,1.0,210.0909090909091,221.97096061706543,2090.435,51,0.41894197,-138.92215,699.391,-6870932.0,612.8881,1.0,1.0,,173.76514,9.999999,4859067.0,0.29549345,-282763360000.0
11.0,90.65488,11,9.999999,1309.3256,3689.962,3430.894012152698,True,2121.5686,1.0,,11.0,1,1278351500.0,4999.2876,-219.26381,[-0.075  0.588 -1.46  -2.228],35644164000000.0,572,72535,-1.0,,1.0,344.0,232.89769053459167,3430.8943,52,0.41894197,-219.26381,1079.411,-17286934.0,560.7382,1.0,1.0,,179.97073,9.999999,12936162.0,0.07224989,-25976155000000.0
11.0,25.61692,11,9.999999,629.4835,4369.4014,3330.6725864865875,True,2701.1892,1.0,,11.0,1,494404000.0,4998.885,-177.43866,[-0.034  0.635 -1.465 -2.223],4.6722767e+24,583,76209,-1.0,,1.0,334.0,243.2080581188202,3330.6726,53,0.41894197,-177.43866,1493.6355,-17674396.0,69.9398,1.0,1.0,,27.737007,9.999999,13324327.0,0.031872414,-9.402721e+18
11.0,597.86945,11,9.999999,999.36835,4000.0916,3139.9909099819997,True,2140.6226,1.0,,11.0,1,2245531000.0,4999.46,-209.78937,[-0.092  0.645 -1.474 -2.206],346614360000000.0,594,79673,-1.0,,1.0,314.90909090909093,250.99891781806946,3139.9907,54,0.41894197,-209.78937,1236.9672,-15740700.0,5177.6616,1.0,1.0,,1469.2651,9.999999,11389632.0,0.22465555,-81007380000000.0
11.0,22.358126,11,10.0,319.74823,4678.4023,2828.00622713075,True,2508.258,1.0,,11.0,1,284280480.0,4998.1504,-214.41151,[-0.043  0.683 -1.476 -2.212],1718136200000.0,605,82795,-1.0,,1.0,283.8181818181818,258.2308006286621,2828.006,55,0.41894197,-214.41151,1415.3174,-14349522.0,231.02719,1.0,1.0,,65.98868,10.0,10000743.0,0.6253927,-5700489600000.0
11.0,49.987747,11,9.999999,1228.9529,3559.7366,2748.143276823714,True,1519.1903,1.0,,11.0,1,993782700.0,4788.6895,-201.1651,[-1.777e-04  6.397e-01 -1.478e+00 -2.225e+00],4.8989832e+22,616,85830,-1.0,,1.0,275.90909090909093,266.3654522895813,2748.1433,56,0.41894197,-201.1651,1074.7936,-12699397.0,257.42288,1.0,1.0,,86.667465,9.999999,8707473.0,0.1184493,-8.835463e+17
11.0,150.21196,11,9.999999,1479.5242,1839.7014,2125.6549015848236,True,646.13074,1.0,,11.0,1,629070200.0,3319.2256,-132.56357,[-0.11   0.646 -1.473 -2.165],1263274200000000.0,627,88180,-1.0,,1.0,213.63636363636363,273.56052684783936,2125.6548,57,0.41894197,-132.56357,544.25244,-6732498.0,1089.2454,1.0,1.0,,307.82584,9.999999,4814619.5,1.9220582,-68166244000000.0
11.0,972.50006,11,9.999999,309.72498,4689.603,2978.0719040873737,True,2668.3467,1.0,,11.0,1,15231015000.0,4999.328,-228.34464,[-0.056  0.555 -1.409 -2.181],4.0864281e+18,638,91466,-1.0,,1.0,298.72727272727275,282.2209780216217,2978.0718,58,0.41894197,-228.34464,1517.9176,-15523817.0,10658.457,1.0,1.0,,3062.9795,9.999999,11172986.0,0.13286355,-8795064000000000.0
11.0,7065.016,11,10.0,339.71902,4658.9614,2864.3973497939824,True,2524.6782,1.0,,11.0,1,127803810000.0,4998.6807,-245.57083,[ 0.005  0.544 -1.411 -2.193],1.07069e+31,649,94627,-1.0,,1.0,287.3636363636364,290.4728388786316,2864.3975,59,0.41894197,-245.57083,1537.226,-14917537.0,67482.86,1.0,1.0,,19179.154,10.0,10567836.0,10.005996,-1.4232648e+22
11.0,22.225403,11,9.999999,759.4038,4239.6167,2617.3625164659916,True,1857.9589,1.0,,11.0,1,208601170.0,4999.0205,-220.18604,[-0.047  0.458 -1.447 -2.258],1.4604205e+24,660,97516,-1.0,,1.0,262.6363636363636,299.1460964679718,2617.3625,60,0.41894197,-220.18604,1490.695,-13423050.0,109.5767,1.0,1.0,,33.032913,9.999999,9072758.0,0.22783674,-5.2571675e+18
11.0,31.070818,11,10.0,,4999.164,3048.0671509188633,True,3048.0671,1.0,,11.0,1,596520900.0,4999.164,-218.77281,[ 0.015  0.448 -1.448 -2.256],2.468707e+17,671,100878,-1.0,,1.0,305.6363636363636,309.13019275665283,3048.0671,61,0.41894197,-218.77281,1892.1759,-17221594.0,272.40768,1.0,1.0,,76.47257,10.0,12871044.0,0.0027202175,-2161587000000000.0
11.0,7167.0854,11,10.0,389.7159,4609.714,2445.7422546646458,True,2056.0264,1.0,,11.0,1,41481572000.0,4999.4297,-225.97252,[-0.045  0.432 -1.456 -2.253],3.7696906e+29,682,103578,-1.0,,1.0,245.45454545454547,317.75980949401855,2445.7422,62,0.41894197,-225.97252,1359.3828,-12180577.0,37791.547,1.0,1.0,,13756.399,10.0,7829577.0,0.72949207,-2.6713872e+21
11.0,6.243558,11,10.0,389.766,4609.295,1972.9584775177025,True,1583.1925,1.0,,11.0,1,59786616.0,4999.061,-209.80351,[ 0.024  0.346 -1.495 -2.297],256648410000.0,693,105759,-1.0,,1.0,198.27272727272728,323.4720470905304,1972.9585,63,0.41894197,-209.80351,1533.738,-10595266.0,17.966139,1.0,1.0,,5.558042,10.0,6244918.0,0.10421819,-2203946000000.0
11.0,99.35312,11,9.999999,319.792,4679.4326,1557.6979475337614,True,1237.9059,1.0,,11.0,1,287202720.0,4999.2246,-197.23065,[ 0.071  0.383 -1.503 -2.279],9.489492e+18,704,107483,-1.0,,1.0,156.72727272727272,328.50260186195374,1557.698,64,0.41894197,-197.23065,1468.4214,-8933308.0,364.56766,1.0,1.0,,101.87253,9.999999,4582684.5,0.048678298,-1.3402006e+16
